,af,aspect,polarities
646,"Vars groente, allerhande Midde-Oosterse smeer, kaas en falafel, sop, vis, rys, wortelgroente, 'n rysmengsel, 'n bietjie spinasie-ding, lamskebabs, kaasbaclava ... soveel fooood, en dit alles heerlik.",Rys,positive
649,"Stadige diens, maar as jy saam met groepe van 10 of 20 rondhang, wie merk regtig op?",Diens,negative
652,Die absoluut slegste diens wat ek nog ooit ervaar het en die kos was ondergemiddeld (toe hulle mense eintlik die maaltye gegee het wat hulle bestel het).,Diens,negative
656,Die absoluut slegste diens wat ek nog ooit ervaar het en die kos was ondergemiddeld (toe hulle mense eintlik die maaltye gegee het wat hulle bestel het).,Etes,neutral
658,Die absoluut slegste diens wat ek nog ooit ervaar het en die kos was ondergemiddeld (toe hulle mense eintlik die maaltye gegee het wat hulle bestel het).,Kos,negative
662,"Om drie uur te wag voordat ons voorgeregte gekry het, was ook 'n bederf.",voorgeregte,neutral
664,"Om drie uur te wag voordat ons voorgeregte gekry het, was ook 'n bederf.",Wag,negative
666,"Die kos is konsekwent en goed, maar hoe dit die naam Best Diner in Manhattan gekry het, gaan my te bowe.",Kos,positive
669,"Om nie te negatief te klink nie, maar wees versigtig vir die delivary.",Delivary,negative
672,"Om eerlik te wees, die kos is steeds goed en die diens is vinnig en aandagsaam, al is dit gewoonlik baie besig.",Diens,positive
676,"Om eerlik te wees, die kos is steeds goed en die diens is vinnig en aandagsaam, al is dit gewoonlik baie besig.",Kos,positive
680,"Diens is uitstekend, geen wag nie, en jy kry baie vir die prys.",Diens,positive
684,"Diens is uitstekend, geen wag nie, en jy kry baie vir die prys.",Wag,positive
688,"Diens is uitstekend, geen wag nie, en jy kry baie vir die prys.",Prys,positive
690,Kelners is baie vriendelik en die pasta is nie van hierdie wêreld nie.,pasta,positive
694,Kelners is baie vriendelik en die pasta is nie van hierdie wêreld nie.,Kelners,positive
698,"Dit is 'n verborge plesier, kompleet met 'n oulike kroeg en lekker kos.",Kos,positive
702,"Dit is 'n verborge plesier, kompleet met 'n oulike kroeg en lekker kos.",Bar,positive
706,Dit is 'n gesellige plek om saam met 'n paar vriende te gaan.,Plek,positive
709,Ek hou veral van hul sagte dopkrapbroodjie met patat.,sagte dop krap toebroodjie met patat,positive
712,Vir 'n voorgereg is hul calamari 'n wenner.,voorgereg,neutral
715,Vir 'n voorgereg is hul calamari 'n wenner.,Calamari,positive
718,"Groot porsies, goeie en oplettende diens, en redelik goeie pryse.",Gedeeltes,positive
722,"Groot porsies, goeie en oplettende diens, en redelik goeie pryse.",Diens,positive
726,"Groot porsies, goeie en oplettende diens, en redelik goeie pryse.",Pryse,positive
730,Koel atmosfeer maar so 'n teleurstelling.,Atmosfeer,positive
733,Ons kelner was aaklig; so onbeskof en belangeloos.,Kelner,negative
736,Die sangria's - afgewater.,Sangria,negative
739,"spyskaart - onopvallend, klein.",Kieslys,negative
742,Die kos - nie die prys werd nie.,Prys,negative
745,Die kos - nie die prys werd nie.,Kos,negative
748,"Selfs wanneer die sjef nie in die huis is nie, is die kos en diens reg op die teiken.",Diens,positive
751,"Selfs wanneer die sjef nie in die huis is nie, is die kos en diens reg op die teiken.",Kos,positive
754,"Selfs wanneer die sjef nie in die huis is nie, is die kos en diens reg op die teiken.",Sjef,neutral
756,"Aangesien ek kook vir 'n lewe, is ek baie kieskeurig oor die kos wat ek in restaurante eet.",Kos,neutral
759,Sjef Waldy's meet altyd.,Sjef,positive
761,"Maak seker dat jy die gerookte forel probeer ... Skaaptjops, kalfstjops, konyn, die aartappelgratin, aan en aan en aan ...",Skaaptjops,positive
764,"Maak seker dat jy die gerookte forel probeer ... Skaaptjops, kalfstjops, konyn, die aartappelgratin, aan en aan en aan ...",aartappelgratin,positive
767,"Maak seker dat jy die gerookte forel probeer ... Skaaptjops, kalfstjops, konyn, die aartappelgratin, aan en aan en aan ...",Gerookte forel,positive
770,"Maak seker dat jy die gerookte forel probeer ... Skaaptjops, kalfstjops, konyn, die aartappelgratin, aan en aan en aan ...",Konyn,positive
773,"Maak seker dat jy die gerookte forel probeer ... Skaaptjops, kalfstjops, konyn, die aartappelgratin, aan en aan en aan ...",Kalfsvleis tjops,positive
776,Jy sal nie teleurgesteld wees deur enige van die keuses in die spyskaart nie.,Kieslys,positive
779,Die eienaar en personeel doen baie moeite om jou gemaklik te laat voel.,Eienaar,positive
781,Die eienaar en personeel doen baie moeite om jou gemaklik te laat voel.,Personeel,positive
783,Vra vir die ronde hoektafel langs die groot venster.,ronde hoektafel langs die groot venster,positive
785,Wie het gesê gaan as die plek stil is gedurende die dag?,Plek,neutral
787,"Nie te veel nie, maar genoeg dat daar 'n wonderlike toneel is.",Toneel,positive
790,"Die kos was wonderlik - sushi was goed, maar die gekookte kos het ons verbaas.",gekookte kos,positive
794,"Die kos was wonderlik - sushi was goed, maar die gekookte kos het ons verbaas.",soesji,positive
798,"Die kos was wonderlik - sushi was goed, maar die gekookte kos het ons verbaas.",Kos,positive
802,"Toe dit tyd word om die bestelling te neem, het die kelner ons moeilik gegee, weggestap en teruggekom met 'n papier en pen vir ons om neer te skryf wat ons wou hê ... Verskoon my, maar is dit nie sy werk nie???",Kelner,negative
804,"Die bestuurder het toe vir ons gesê ons kan bestel van watter spyskaart ons wil, maar teen daardie tyd was ons so geïrriteerd met die kelner en die restaurant dat ons dit verhuur en êrens anders heen gegaan het.",Kelner,negative
807,"Die bestuurder het toe vir ons gesê ons kan bestel van watter spyskaart ons wil, maar teen daardie tyd was ons so geïrriteerd met die kelner en die restaurant dat ons dit verhuur en êrens anders heen gegaan het.",Kieslys,neutral
809,"Die bestuurder het toe vir ons gesê ons kan bestel van watter spyskaart ons wil, maar teen daardie tyd was ons so geïrriteerd met die kelner en die restaurant dat ons dit verhuur en êrens anders heen gegaan het.",Bestuurder,neutral
811,Die kos is heerlik en sterk aanbeveel.,Kos,positive
814,"Toe die gereg aankom, was dit brandend met groen brandrissie, beslis nie eetbaar deur 'n mens nie.",groen brandrissie,negative
818,"Toe die gereg aankom, was dit brandend met groen brandrissie, beslis nie eetbaar deur 'n mens nie.",Gereg,negative
822,"Ek het by die kelner gekla en toe by die bestuurder, maar die intensiteit van onbeskoftheid van hulle het net toegeneem.",Bestuurder,negative
825,"Ek het by die kelner gekla en toe by die bestuurder, maar die intensiteit van onbeskoftheid van hulle het net toegeneem.",Kelner,negative
828,Ek was baie teleurgesteld oor hul diens en kos.,Diens,negative
831,Ek was baie teleurgesteld oor hul diens en kos.,Kos,negative
834,"Ek het die afgelope Saterdag gegaan en 'n uitstekende maaltyd geëet, bestaande uit 'n gesmoorde skaapskenkel met kapokaartappels.",gesmoorde skaapskenkel met kapokaartappels,positive
836,"Ek het die afgelope Saterdag gegaan en 'n uitstekende maaltyd geëet, bestaande uit 'n gesmoorde skaapskenkel met kapokaartappels.",Maaltyd,positive
839,"Tussen my gas en ek het ons ten minste 80% van die spyskaart geproe, en hulle was almal treffers.",Kieslys,positive
841,Die Deco en atmosfeer was regtig romanties.,Deco,positive
844,Die Deco en atmosfeer was regtig romanties.,atmosfeer,positive
847,"Ek het al op al drie plekke geëet en ek is altyd mal daaroor, hou van die kos, die diens is altyd wonderlik en die pryse is regtig billik.",Pryse,positive
851,"Ek het al op al drie plekke geëet en ek is altyd mal daaroor, hou van die kos, die diens is altyd wonderlik en die pryse is regtig billik.",Diens,positive
855,"Ek het al op al drie plekke geëet en ek is altyd mal daaroor, hou van die kos, die diens is altyd wonderlik en die pryse is regtig billik.",Kos,positive
859,"As u 'n lekker smaak, goed gekruide Latynse kos wil hê, eet dit by Cabana en u kan nie verkeerd gaan nie.",Latynse kos,positive
862,"Dit was aangenaam onbevolk, die diens was heerlik, die tuin aanbiddelik, die kos (van voorgeregte tot voorgeregte) was heerlik.",Tuin,positive
866,"Dit was aangenaam onbevolk, die diens was heerlik, die tuin aanbiddelik, die kos (van voorgeregte tot voorgeregte) was heerlik.",Diens,positive
870,"Dit was aangenaam onbevolk, die diens was heerlik, die tuin aanbiddelik, die kos (van voorgeregte tot voorgeregte) was heerlik.",voorgeregte,positive
874,"Dit was aangenaam onbevolk, die diens was heerlik, die tuin aanbiddelik, die kos (van voorgeregte tot voorgeregte) was heerlik.",voorgeregte,positive
878,"Dit was aangenaam onbevolk, die diens was heerlik, die tuin aanbiddelik, die kos (van voorgeregte tot voorgeregte) was heerlik.",Kos,positive
882,"Yum, die hoender is wonderlik hier.",Hoender,positive
885,"Die guac is vars, maar het nie 'n geur nie, ons voeg graag ons vars salsa daarby.",vars salsa,neutral
887,"Die guac is vars, maar het nie 'n geur nie, ons voeg graag ons vars salsa daarby.",Smaak,negative
890,"Die fajita wat ons probeer het, was smaakloos en verbrand en die molsous was heeltemal te soet.",Fajita,negative
894,"Die fajita wat ons probeer het, was smaakloos en verbrand en die molsous was heeltemal te soet.",mol sous,negative
898,Bly by die gebraaide hoenders en dit gaan goed met jou.,Geroosterde hoenders,positive
900,Diens was van die beste wat ek nog ooit in NYC gehad het.,Diens,positive
903,Die fettucino alfredo was ongelooflik.,Fettucino Alfredo,positive
906,Pryse selfs buite die restaurantweek was puik.,Pryse,positive
909,"Die kroegmanne en die bestuurders is baie gaaf en die dekor is baie gemaklik en ontspanne, terwyl dit nuwerwets is.",Bestuurders,positive
913,"Die kroegmanne en die bestuurders is baie gaaf en die dekor is baie gemaklik en ontspanne, terwyl dit nuwerwets is.",kroegmanne,positive
917,"Die kroegmanne en die bestuurders is baie gaaf en die dekor is baie gemaklik en ontspanne, terwyl dit nuwerwets is.",Dekor,positive
921,"Ek hou van die drankies, veral lychee martini, en die kos is ook baie goed.",Drinkgoed,positive
925,"Ek hou van die drankies, veral lychee martini, en die kos is ook baie goed.",lychee martini,positive
929,"Ek hou van die drankies, veral lychee martini, en die kos is ook baie goed.",Kos,positive
933,Die sushi is redelik geprys en vars.,Geprys,positive
937,Die sushi is redelik geprys en vars.,soesji,positive
941,Goed vir 'n vinnige sushi -middagete.,sushi middagete,positive
944,"Hulle het nie net die beste escargot in die stad nie, hulle probeer altyd ons kleuter akkommodeer.",escargot,positive
947,Voorgereg is uitstekend hier; jy kan 'n wonderlike (en goedkoop) maaltyd daaruit maak.,Voorgereg,positive
951,Voorgereg is uitstekend hier; jy kan 'n wonderlike (en goedkoop) maaltyd daaruit maak.,Maaltyd,positive
955,Die pittige mossels is 'n hoogtepunt.,pittige mossels,positive
958,Eet 'n mojito en sit in die agterste patio.,agterste patio,positive
960,Eet 'n mojito en sit in die agterste patio.,mojito,positive
962,"Terwyl hul kombuiskos heerlik is, is hul Sushi nie van hierdie wêreld nie.",kombuis kos,positive
966,"Terwyl hul kombuiskos heerlik is, is hul Sushi nie van hierdie wêreld nie.",Soesji,positive
970,Hierdie plek het die vreemdste spyskaart en die restaurante probeer te hard om spoggerige kos te maak.,Kieslys,negative
974,Hierdie plek het die vreemdste spyskaart en die restaurante probeer te hard om spoggerige kos te maak.,Kos,negative
978,"Elke keer as ek daarheen gaan, kan ek niks kies om te eet nie en nie omdat die spyskaart gevul is met heerlike eetgoed nie.",Kieslys,negative
980,Ek vra altyd die kelner om iets vaal en anders te maak as wat op die spyskaart is.,Kelner,neutral
982,Ek vra altyd die kelner om iets vaal en anders te maak as wat op die spyskaart is.,Kieslys,neutral
984,"Alhoewel die restaurant self lekker is, verkies ek om nie vir die kos te gaan nie.",Kos,negative
986,Hierdie plekkie is heerlik warm verwelkomend.,Plek,positive
989,Die gasheer (eienaar) en bedieners is persoonlik en omgee.,gasheer (eienaar),positive
991,Die gasheer (eienaar) en bedieners is persoonlik en omgee.,Bedieners,positive
994,"En die kos, wel, die kos sal jou laat terugkom.",Kos,positive
996,"En die kos, wel, die kos sal jou laat terugkom.",Kos,positive
998,Hulle het tuisgemaakte pasta van alle soorte - ek beveel die gnocchi aan - yum!,Tuisgemaakte pasta,positive
1000,Hulle het tuisgemaakte pasta van alle soorte - ek beveel die gnocchi aan - yum!,gnocchi,positive
1003,Die kekerertjies met garnale (voorgereg) is ook goddelik.,Kekerertjies met garnale (voorgereg),positive
1005,Mojitos en die diens is die beste deel daar binne,Mojitos,positive
1008,Mojitos en die diens is die beste deel daar binne,Diens,positive
1011,Diens was goed en so ook die atmosfeer.,Diens,positive
1014,Diens was goed en so ook die atmosfeer.,Atmosfeer,positive
1017,Ek en my afspraak het albei die Branzini bestel en albei het gevoel dat die vis baie gemiddeld was.,Vis,negative
1020,Ek en my afspraak het albei die Branzini bestel en albei het gevoel dat die vis baie gemiddeld was.,Branzini,neutral
1023,Die kos was oor die algemeen goed. ,Kos,positive
1026,Die keiserslaai was wonderlik.,Caeser slaai,positive
1029,Die gebraaide calamari was nog beter!,Gebraaide calamari,positive
1032,EK WAS BAIE TELEURGESTELD OOR DIE KOS.,KOS,negative
1035,"DIE PIESANGPOEDING WAT HULLE BEDIEN, HET NOG NOOIT 'N OOND GESIEN NIE, DIE KRAPKOEKE IS TE VEEL GESOUT EN LAAT MY NIE AAN DIE GANG KOM MET DIE BAIE VETTERIGE MAC EN KAAS NIE.",MAC EN KAAS,negative
1039,"DIE PIESANGPOEDING WAT HULLE BEDIEN, HET NOG NOOIT 'N OOND GESIEN NIE, DIE KRAPKOEKE IS TE VEEL GESOUT EN LAAT MY NIE AAN DIE GANG KOM MET DIE BAIE VETTERIGE MAC EN KAAS NIE.",CRABKOEKE,negative
1043,"DIE PIESANGPOEDING WAT HULLE BEDIEN, HET NOG NOOIT 'N OOND GESIEN NIE, DIE KRAPKOEKE IS TE VEEL GESOUT EN LAAT MY NIE AAN DIE GANG KOM MET DIE BAIE VETTERIGE MAC EN KAAS NIE.",PIESANG PUDDING,negative
1045,Sushi so vars dat dit in jou mond knars.,Soesji,positive
1048,"Maar maak seker jy het genoeg spasie op jou kredietkaart, want die rekening sal 'n groot duik in jou beursie laat.",Wetsontwerp,negative
1051,Die kos was middelmatig om vriendelik te wees - die binnekant is klein en gemiddeld - die eienaars is 'n span onaangenaamhede - so onbeskof en snotterig dat ek eintlik 'n stewige guffaw laat uitkom terwyl ek eet.,Binneland,negative
1055,Die kos was middelmatig om vriendelik te wees - die binnekant is klein en gemiddeld - die eienaars is 'n span onaangenaamhede - so onbeskof en snotterig dat ek eintlik 'n stewige guffaw laat uitkom terwyl ek eet.,Etes,neutral
1057,Die kos was middelmatig om vriendelik te wees - die binnekant is klein en gemiddeld - die eienaars is 'n span onaangenaamhede - so onbeskof en snotterig dat ek eintlik 'n stewige guffaw laat uitkom terwyl ek eet.,Eienaars,negative
1061,Die kos was middelmatig om vriendelik te wees - die binnekant is klein en gemiddeld - die eienaars is 'n span onaangenaamhede - so onbeskof en snotterig dat ek eintlik 'n stewige guffaw laat uitkom terwyl ek eet.,Kos,negative
1065,Maaltyd was baie duur vir wat jy kry.,Maaltyd,negative
1068,Die Delmonico-steak van $ 72 moes teruggestuur word omdat dit nie op bestelling gaargemaak is nie.,Delmonico steak,negative
1071,Die bestuur was minder as tegemoetkomend.,Bestuur,negative
1074,Ons het nog altyd ongelooflike diens gekry en ons is mal oor die kos.,Diens,positive
1078,Ons het nog altyd ongelooflike diens gekry en ons is mal oor die kos.,Kos,positive
1082,Ek het beter Japannese kos by 'n winkelsentrum gehad.,Japannese kos,negative
1085,Eers het dit gelyk asof dit 'n goeie atmosfeer gehad het.,Atmosfeer,positive
1088,Eers het dit gelyk asof dit 'n goeie atmosfeer gehad het.,Plek,positive
1090,Maar die etes was verskriklik.,Etes,negative
1093,Ek het die Chicken Teriyaki bestel en my man het knoffelgarnale gekry.,Knoffel garnale,neutral
1095,Ek het die Chicken Teriyaki bestel en my man het knoffelgarnale gekry.,Hoender Teriyaki,neutral
1097,My hoender was heeltemal uitgedroog en aan die koue kant en die sous was nie baie lekker nie.,Sous,negative
1101,My hoender was heeltemal uitgedroog en aan die koue kant en die sous was nie baie lekker nie.,Hoender,negative
1105,"Die een positiewe ding wat ek kan sê, is dat die diens vinnig was, ons het dadelik gaan sit en die bediener was baie vriendelik.",Diens,positive
1109,"Die een positiewe ding wat ek kan sê, is dat die diens vinnig was, ons het dadelik gaan sit en die bediener was baie vriendelik.",Bediener,positive
1113,Heeltemal te veel geld vir so 'n verskriklike maaltyd.,Maaltyd,negative
1116,Het 'n wonderlike ervaring by Trio gehad ... personeel was aangenaam; kos was lekker en groot in porsiegrootte - ek sal die portobello/gorgonzola/worsvoorgereg en die kreefrisotto sterk aanbeveel.,kreef risotto,positive
1120,Het 'n wonderlike ervaring by Trio gehad ... personeel was aangenaam; kos was lekker en groot in porsiegrootte - ek sal die portobello/gorgonzola/worsvoorgereg en die kreefrisotto sterk aanbeveel.,Kos,positive
1124,Het 'n wonderlike ervaring by Trio gehad ... personeel was aangenaam; kos was lekker en groot in porsiegrootte - ek sal die portobello/gorgonzola/worsvoorgereg en die kreefrisotto sterk aanbeveel.,Portobello/Gorgonzola/Sausage voorgereg,positive
1128,Het 'n wonderlike ervaring by Trio gehad ... personeel was aangenaam; kos was lekker en groot in porsiegrootte - ek sal die portobello/gorgonzola/worsvoorgereg en die kreefrisotto sterk aanbeveel.,Personeel,positive
1132,Het 'n wonderlike ervaring by Trio gehad ... personeel was aangenaam; kos was lekker en groot in porsiegrootte - ek sal die portobello/gorgonzola/worsvoorgereg en die kreefrisotto sterk aanbeveel.,porsie grootte,positive
1136,Die diens was baie oplettend en baie vrygewig.,Diens,positive
1139,"Ons het tonne heerlike kos, wyn en nageregte gehad.",Wyn,positive
1142,"Ons het tonne heerlike kos, wyn en nageregte gehad.",Nageregte,positive
1145,"Ons het tonne heerlike kos, wyn en nageregte gehad.",Kos,positive
1148,Regtig 'n heerlike eetervaring te midde van die bruisende middestad.,Eet-ervaring,positive
1151,"Die diens is altyd puik, en die eienaar loop rond om seker te maak jy geniet.",Eienaar,positive
1153,"Die diens is altyd puik, en die eienaar loop rond om seker te maak jy geniet.",Diens,positive
1156,Ons het dadelik naby die dansvloer gesit.,dansvloer,neutral
1158,"Die musiek was fassinerend, maar het ruimte gelaat vir gesprekke, en die kroegman het uitstekende drankies gemaak.",Drinkgoed,positive
1162,"Die musiek was fassinerend, maar het ruimte gelaat vir gesprekke, en die kroegman het uitstekende drankies gemaak.",kroegman,positive
1166,"Die musiek was fassinerend, maar het ruimte gelaat vir gesprekke, en die kroegman het uitstekende drankies gemaak.",Musiek,positive
1170,Die kos is regtig nie baie goed nie en die diens is verskriklik.,Diens,negative
1174,Die kos is regtig nie baie goed nie en die diens is verskriklik.,Kos,negative
1178,"Ek is bly ek het dit gedoen, want die kos was baie goed en die personeel was vriendelik, hoflik en doeltreffend.",Personeel,positive
1182,"Ek is bly ek het dit gedoen, want die kos was baie goed en die personeel was vriendelik, hoflik en doeltreffend.",Kos,positive
1186,EK HET NOG NOOIT 'N SLEGTE MAALTYD (OF SLEGTE DIENS) GEHAD NIE@ PIGALLE.,DIENS,positive
1188,EK HET NOG NOOIT 'N SLEGTE MAALTYD (OF SLEGTE DIENS) GEHAD NIE@ PIGALLE.,MAALTYD,positive
1190,Dit het dit duidelik gemaak dat die kos nie vars gekook is nie; Dit is natuurlik voor die hand gemaak en dan weer verhit.,Kos,negative
1193,Gedurende besige ure beveel ek aan dat jy 'n bespreking maak.,Bespreking,neutral
1196,maar hul mac kaas was LEKKER!,mac kaas,positive
1199,hul brunch -spyskaart het iets vir almal gehad.,brunch spyskaart,positive
1201,Jazz-sangeres het 'n mooi stem gehad + sy het ons almal laat opstaan om te dans om 'n paar cals te skud om nog 'n bietjie te eet.,Jazz sanger,positive
1204,As u op soek is na nare duur kos met 'n skeut ghetto-natuurskoon goedkoop BX A $ $ is dit die plek om te wees !!,natuurskoon,negative
1206,As u op soek is na nare duur kos met 'n skeut ghetto-natuurskoon goedkoop BX A $ $ is dit die plek om te wees !!,Kos,negative
1210,As u op soek is na nare duur kos met 'n skeut ghetto-natuurskoon goedkoop BX A $ $ is dit die plek om te wees !!,Geprys,negative
1214,Die diens is vinnig vriendelik.,Diens,positive
1217,Ons het per ongeluk op hierdie restaurant afgekom terwyl ons op 'n DUMBO-kunsfees was en ons ete terdeë geniet.,Maaltyd,positive
1220,Die kos was uitstekend - outentieke Italiaanse kookkuns absoluut vars gemaak.,Italiaanse kookkuns,positive
1224,Die kos was uitstekend - outentieke Italiaanse kookkuns absoluut vars gemaak.,Kos,positive
1228,Die diens was uitstekend.,Diens,positive
1231,Ek weet nie waarvan sommige mense praat wat opgewonde is oor hierdie worsbroodjie nie.,worsbroodjie,negative
1233,Dit is sonder twyfel een van die slegste worsbroodjies wat ek nog ooit gehad het.,worsbroodjies,negative
1236,"Benewens wonderlike worsbroodjies, het DOTP wonderlike ontbytbroodjies wat, benewens wonderlike dinge soos tator tots en Engelse muffins, 'n heerlike NJ-gebaseerde varkproduk bevat wat aan ons Jersey-meisies en -seuns as Taylor-ham bekend is.",Engelse muffins,positive
1240,"Benewens wonderlike worsbroodjies, het DOTP wonderlike ontbytbroodjies wat, benewens wonderlike dinge soos tator tots en Engelse muffins, 'n heerlike NJ-gebaseerde varkproduk bevat wat aan ons Jersey-meisies en -seuns as Taylor-ham bekend is.",Taylor ham,positive
1242,"Benewens wonderlike worsbroodjies, het DOTP wonderlike ontbytbroodjies wat, benewens wonderlike dinge soos tator tots en Engelse muffins, 'n heerlike NJ-gebaseerde varkproduk bevat wat aan ons Jersey-meisies en -seuns as Taylor-ham bekend is.",varkvleis produk,positive
1246,"Benewens wonderlike worsbroodjies, het DOTP wonderlike ontbytbroodjies wat, benewens wonderlike dinge soos tator tots en Engelse muffins, 'n heerlike NJ-gebaseerde varkproduk bevat wat aan ons Jersey-meisies en -seuns as Taylor-ham bekend is.",tator tots,positive
1250,"Benewens wonderlike worsbroodjies, het DOTP wonderlike ontbytbroodjies wat, benewens wonderlike dinge soos tator tots en Engelse muffins, 'n heerlike NJ-gebaseerde varkproduk bevat wat aan ons Jersey-meisies en -seuns as Taylor-ham bekend is.",worsbroodjies,positive
1254,"Benewens wonderlike worsbroodjies, het DOTP wonderlike ontbytbroodjies wat, benewens wonderlike dinge soos tator tots en Engelse muffins, 'n heerlike NJ-gebaseerde varkproduk bevat wat aan ons Jersey-meisies en -seuns as Taylor-ham bekend is.",ontbyt toebroodjies,positive
1258,"Die opmerkings oor gebraaide kosse is korrek (hieronder), maar die ander geregte, insluitend die lamsgereg en baie van die slaaie (avokadogarnale) was redelik goed.",gebraaide kosse,negative
1260,"Die opmerkings oor gebraaide kosse is korrek (hieronder), maar die ander geregte, insluitend die lamsgereg en baie van die slaaie (avokadogarnale) was redelik goed.",slaaie (avokado garnale),positive
1262,"Die opmerkings oor gebraaide kosse is korrek (hieronder), maar die ander geregte, insluitend die lamsgereg en baie van die slaaie (avokadogarnale) was redelik goed.",Geregte,positive
1265,"Die opmerkings oor gebraaide kosse is korrek (hieronder), maar die ander geregte, insluitend die lamsgereg en baie van die slaaie (avokadogarnale) was redelik goed.",lam voorgereg,positive
1268,Ietwat teleurstellende wynlys (slegs nuwe oesjare.,oesjare,negative
1270,Ietwat teleurstellende wynlys (slegs nuwe oesjare.,wynlys,negative
1273,Maar vir die waarde was dit 'n wonderlike bekostigbare plek om 'n prettige aand saam met 'n klein groepie te geniet.,Waarde,positive
1275,"Ons kelner was behulpsaam en bekoorlik, die kos was perfek en die wyn was ook goed.",Wyn,positive
1279,"Ons kelner was behulpsaam en bekoorlik, die kos was perfek en die wyn was ook goed.",Kelner,positive
1283,"Ons kelner was behulpsaam en bekoorlik, die kos was perfek en die wyn was ook goed.",Kos,positive
1287,Die kos was uitstekend en die diens was top.,Diens,positive
1291,Die kos was uitstekend en die diens was top.,Kos,positive
1295,"Hou by die items wat die plek die beste doen, bors, ribbes, vlerke, cajun garnale is goed, nie wonderlik nie.",Cajun garnale,neutral
1298,"Hou by die items wat die plek die beste doen, bors, ribbes, vlerke, cajun garnale is goed, nie wonderlik nie.",bors,positive
1301,"Hou by die items wat die plek die beste doen, bors, ribbes, vlerke, cajun garnale is goed, nie wonderlik nie.",Ribbes,positive
1304,"Hou by die items wat die plek die beste doen, bors, ribbes, vlerke, cajun garnale is goed, nie wonderlik nie.",Vlerke,positive
1307,"Groot bierkeuse ook, iets soos 50 biere.",bier,neutral
1309,"Groot bierkeuse ook, iets soos 50 biere.",bier seleksie,positive
1312,"BTW, die diens is baie goed.",Diens,positive
1315,"So ons het by die kroeg gesit, die kroegman het nie gelyk asof hy daar wou wees nie.",Bar,neutral
1317,"So ons het by die kroeg gesit, die kroegman het nie gelyk asof hy daar wou wees nie.",kroegman,negative
1319,Ons het nie geweet of ons 'n drankie moet bestel of vertrek nie?,Drink,neutral
1321,Ons het gewonder hoekom hulle daar was om ons eetervaring ellendig te maak?,Eet-ervaring,negative
1324,"In elk geval, die eienaar was vals.",Eienaar,negative
1327,"Eerlik gesê, die Chinese kos hier is iets wat ek tuis beter kan maak.",Chinese kos,negative
1329,Daar was net een kelner vir die hele restaurant bo.,Kelner,neutral
1331,Ek het gedink die kos is glad nie goedkoop in vergelyking met Chinatown nie.,Kos,negative
1334,Chinatown het beslis beter gehalte met goedkoper pryse.,Pryse,positive
1338,Chinatown het beslis beter gehalte met goedkoper pryse.,Gehalte,positive
1342,"Ek kan die pryse verstaan as dit beter kos bedien, soos sommige Chinese restaurante in die middestad.",Pryse,negative
1344,"Ek kan die pryse verstaan as dit beter kos bedien, soos sommige Chinese restaurante in die middestad.",Kos,negative
1346,Dit word geëet met swart asyn en gerasperde gemmer.,swart asyn,neutral
1348,Dit word geëet met swart asyn en gerasperde gemmer.,gerasperde gemmer,neutral
1350,Gemalte melkbal Gelato - het jy al ooit in jou lewe gehoor van iets so belaglik wonderlik?,Gemoute melkbal Gelato,positive
1353,"Ek het gevind dat die kos net so goed is soos sy eienaar, Da Silvano, net baie goedkoper.",Eienaar,positive
1356,"Ek het gevind dat die kos net so goed is soos sy eienaar, Da Silvano, net baie goedkoper.",Kos,positive
1359,Die atmosfeer is ook meer ontspanne en ontspanne.,Atmosfeer,positive
1362,Beide 'n aantal van die voorgereg- en pasta-aanbiedinge was ongelooflik.,pasta spesiale aanbiedinge,positive
1365,Beide 'n aantal van die voorgereg- en pasta-aanbiedinge was ongelooflik.,voorgereg,positive
1368,Probeer beslis die taglierini met truffels - dit was ongelooflik.,taglierini met truffels,positive
1371,Die personeel is ook baie oplettend en regtig persoonlik.,Personeel,positive
1374,My groente -risotto is verbrand en heeltemal in 'n verbrande geur toegedien.,groente risotto,negative
1378,My groente -risotto is verbrand en heeltemal in 'n verbrande geur toegedien.,Smaak,negative
1382,Hulle het baie vinnige diens wat wonderlik is as jy nie veel tyd het nie.,Diens,positive
1385,"Die kos is gemiddeld: ontbytkos, sop, slaaie, toebroodjies, ens.",Kos,neutral
1388,"Die kos is gemiddeld: ontbytkos, sop, slaaie, toebroodjies, ens.",Sop,neutral
1391,"Die kos is gemiddeld: ontbytkos, sop, slaaie, toebroodjies, ens.",Slaaie,neutral
1394,"Die kos is gemiddeld: ontbytkos, sop, slaaie, toebroodjies, ens.",Toebroodjies,neutral
1397,"Die kos is gemiddeld: ontbytkos, sop, slaaie, toebroodjies, ens.",ontbyt kos,neutral
1400,Dit is die gesprekke wat dit 'n prettige plek maak om te wees.,Plek,positive
1403,"Kos was ordentlik, maar nie wonderlik nie.",Kos,positive
1406,Diens was aaklig - meestal omdat personeel op 'n Saterdagaand oorweldig was.,Diens,negative
1410,Diens was aaklig - meestal omdat personeel op 'n Saterdagaand oorweldig was.,Personeel,negative
1414,Ons het onlangs 'n verjaardagpartytjie hier gehou en die kos en diens was ongelooflik.,Diens,positive
1417,Ons het onlangs 'n verjaardagpartytjie hier gehou en die kos en diens was ongelooflik.,Kos,positive
