,ig,aspect,polarities
516,"N'ikpeazụ, m na-arịa ọrịa nke ọjọọ ọrụ, obnoxious smirks, na snotty azụ okwu.",ọrụ,negative
519,"Ọ bụ omenala, mfe Italian nri.",Italian nri,positive
522,"Ọ bụ naanị nri dị mma, ọ dịghị ihe ọzọ na nke ahụ bụ ihe niile anyị chọrọ!",nri,positive
525,"Ndepụta mmanya ahụ sara mbara, nke ọma na-akwụ ụgwọ ma na-ekpuchi ọtụtụ mpaghara.",ndepụta mmanya,positive
529,"Ndepụta mmanya ahụ sara mbara, nke ọma na-akwụ ụgwọ ma na-ekpuchi ọtụtụ mpaghara.",ọnụ,positive
533,"Ezigbo mmanya na-edozi ahụ, nke ahụ bụ ya.",mmanya,positive
537,"Ezigbo mmanya na-edozi ahụ, nke ahụ bụ ya.",nri,positive
541,"M hụrụ n'anya mfe na nkwanye ùgwù nke e nyere nri, nakwa mkpara bụ enyi na enyi na knowledgable.",ndị ọrụ,positive
544,"M hụrụ n'anya mfe na nkwanye ùgwù nke e nyere nri, nakwa mkpara bụ enyi na enyi na knowledgable.",nri,positive
547,Nri ahụ bụ mediocre na ọrụ ahụ dị nnọọ ngwa ngwa.,nri,neutral
551,Nri ahụ bụ mediocre na ọrụ ahụ dị nnọọ ngwa ngwa.,ọrụ,negative
555,O were ihe dị ka awa 2 1/2 iji jee ozi ọmụmụ 2 anyị.,ọmụmụ,neutral
557,O were ihe dị ka awa 2 1/2 iji jee ozi ọmụmụ 2 anyị.,Na-eje ozi,negative
559,Anyị nyere iwu otu iko mmanya ma rie nri ma kwụọ ụgwọ tupu mmanya ahụ abịa.,Iko mmanya,neutral
561,Oche ịkpakọba m nọ ọdụ adịghị mma.,ịkpakọba oche,negative
564,Onye na-echere anyị bụ enyi na enyi na ọ bụ ihe ihere na ọ nweghị ndị ọrụ nkwado ya na ya ga-arụkọ ọrụ.,ndị ọrụ,negative
566,Onye na-echere anyị bụ enyi na enyi na ọ bụ ihe ihere na ọ nweghị ndị ọrụ nkwado ya na ya ga-arụkọ ọrụ.,onye na-echere,positive
569,M gara maka ụlọ oriri na ọṅụṅụ izu na iwu si prix fixe menu,Prix fixe menu,neutral
571,Ndị ọrụ nchere ahụ na-ege ntị nke ukwuu ma na-akwanyere ùgwù.,ndị ọrụ na-echere,positive
574,The nkà họọrọ Portuguese cheese cart paired na àgwà n'ọdụ ụgbọ mmiri na-enye zuru okè Iberian njedebe.,Portuguese cheese cart,positive
578,The nkà họọrọ Portuguese cheese cart paired na àgwà n'ọdụ ụgbọ mmiri na-enye zuru okè Iberian njedebe.,ọdụ ụgbọ mmiri,positive
582,"Ọ bụ ezie na ọ buru ibu ma na-eme mkpọtụ, ihe ọṅụṅụ ndị ahụ dị egwu, nri ahụ magburu onwe ya.",ihe ọṅụṅụ,positive
586,"Ọ bụ ezie na ọ buru ibu ma na-eme mkpọtụ, ihe ọṅụṅụ ndị ahụ dị egwu, nri ahụ magburu onwe ya.",nri,positive
590,Ọnụahịa ndị ahụ adịghị egwu.,ọnụahịa,positive
593,"Ọrụ ahụ dị ukwuu, ha nwekwara nnukwu ihe maka ụbọchị ọmụmụ.",ọrụ,positive
596,"The oge ndị ọzọ m gara ọ bụ ihunanya ụbọchị heaven, i nwere ike na-eje ije na-a ụlọ ndò site na windo, na-emeso dị ka a VIP na a na-abụghị mmadụ jupụtara ebe, na oké nri na ọrụ.",ọrụ,positive
600,"The oge ndị ọzọ m gara ọ bụ ihunanya ụbọchị heaven, i nwere ike na-eje ije na-a ụlọ ndò site na windo, na-emeso dị ka a VIP na a na-abụghị mmadụ jupụtara ebe, na oké nri na ọrụ.",nri,positive
604,"The oge ndị ọzọ m gara ọ bụ ihunanya ụbọchị heaven, i nwere ike na-eje ije na-a ụlọ ndò site na windo, na-emeso dị ka a VIP na a na-abụghị mmadụ jupụtara ebe, na oké nri na ọrụ.",Booth site na windo,neutral
606,"The oge ndị ọzọ m gara ọ bụ ihunanya ụbọchị heaven, i nwere ike na-eje ije na-a ụlọ ndò site na windo, na-emeso dị ka a VIP na a na-abụghị mmadụ jupụtara ebe, na oké nri na ọrụ.",ebe,positive
610,"Fresh veggies, ụdị nile nke etiti ọwụwa anyanwụ na-agbasa, cheese na falafel, ofe, azụ, osikapa, mgbọrọgwụ akwụkwọ nri, a osikapa medley, ụfọdụ spinach ihe, nwa atụrụ kebabs, cheese baclava ... Ọ na-atọ ụtọ nke ukwuu, na ihe niile na-atọ ụtọ.",cheese,positive
613,"Fresh veggies, ụdị nile nke etiti ọwụwa anyanwụ na-agbasa, cheese na falafel, ofe, azụ, osikapa, mgbọrọgwụ akwụkwọ nri, a osikapa medley, ụfọdụ spinach ihe, nwa atụrụ kebabs, cheese baclava ... Ọ na-atọ ụtọ nke ukwuu, na ihe niile na-atọ ụtọ.",Fresh veggies,positive
614,"Fresh veggies, ụdị nile nke etiti ọwụwa anyanwụ na-agbasa, cheese na falafel, ofe, azụ, osikapa, mgbọrọgwụ akwụkwọ nri, a osikapa medley, ụfọdụ spinach ihe, nwa atụrụ kebabs, cheese baclava ... Ọ na-atọ ụtọ nke ukwuu, na ihe niile na-atọ ụtọ.",azụ,positive
617,"Fresh veggies, ụdị nile nke etiti ọwụwa anyanwụ na-agbasa, cheese na falafel, ofe, azụ, osikapa, mgbọrọgwụ akwụkwọ nri, a osikapa medley, ụfọdụ spinach ihe, nwa atụrụ kebabs, cheese baclava ... Ọ na-atọ ụtọ nke ukwuu, na ihe niile na-atọ ụtọ.",fooood,positive
620,"Fresh veggies, ụdị nile nke etiti ọwụwa anyanwụ na-agbasa, cheese na falafel, ofe, azụ, osikapa, mgbọrọgwụ akwụkwọ nri, a osikapa medley, ụfọdụ spinach ihe, nwa atụrụ kebabs, cheese baclava ... Ọ na-atọ ụtọ nke ukwuu, na ihe niile na-atọ ụtọ.",mgbọrọgwụ akwụkwọ nri,positive
625,"Fresh veggies, ụdị nile nke etiti ọwụwa anyanwụ na-agbasa, cheese na falafel, ofe, azụ, osikapa, mgbọrọgwụ akwụkwọ nri, a osikapa medley, ụfọdụ spinach ihe, nwa atụrụ kebabs, cheese baclava ... Ọ na-atọ ụtọ nke ukwuu, na ihe niile na-atọ ụtọ.",rice medley,positive
628,"Fresh veggies, ụdị nile nke etiti ọwụwa anyanwụ na-agbasa, cheese na falafel, ofe, azụ, osikapa, mgbọrọgwụ akwụkwọ nri, a osikapa medley, ụfọdụ spinach ihe, nwa atụrụ kebabs, cheese baclava ... Ọ na-atọ ụtọ nke ukwuu, na ihe niile na-atọ ụtọ.",spinach ihe,positive
631,"Fresh veggies, ụdị nile nke etiti ọwụwa anyanwụ na-agbasa, cheese na falafel, ofe, azụ, osikapa, mgbọrọgwụ akwụkwọ nri, a osikapa medley, ụfọdụ spinach ihe, nwa atụrụ kebabs, cheese baclava ... Ọ na-atọ ụtọ nke ukwuu, na ihe niile na-atọ ụtọ.",falafel,positive
634,"Fresh veggies, ụdị nile nke etiti ọwụwa anyanwụ na-agbasa, cheese na falafel, ofe, azụ, osikapa, mgbọrọgwụ akwụkwọ nri, a osikapa medley, ụfọdụ spinach ihe, nwa atụrụ kebabs, cheese baclava ... Ọ na-atọ ụtọ nke ukwuu, na ihe niile na-atọ ụtọ.",Middle East na-agbasa,positive
637,"Fresh veggies, ụdị nile nke etiti ọwụwa anyanwụ na-agbasa, cheese na falafel, ofe, azụ, osikapa, mgbọrọgwụ akwụkwọ nri, a osikapa medley, ụfọdụ spinach ihe, nwa atụrụ kebabs, cheese baclava ... Ọ na-atọ ụtọ nke ukwuu, na ihe niile na-atọ ụtọ.",nwa atụrụ kebabs,positive
640,"Fresh veggies, ụdị nile nke etiti ọwụwa anyanwụ na-agbasa, cheese na falafel, ofe, azụ, osikapa, mgbọrọgwụ akwụkwọ nri, a osikapa medley, ụfọdụ spinach ihe, nwa atụrụ kebabs, cheese baclava ... Ọ na-atọ ụtọ nke ukwuu, na ihe niile na-atọ ụtọ.",ofe,positive
643,"Fresh veggies, ụdị nile nke etiti ọwụwa anyanwụ na-agbasa, cheese na falafel, ofe, azụ, osikapa, mgbọrọgwụ akwụkwọ nri, a osikapa medley, ụfọdụ spinach ihe, nwa atụrụ kebabs, cheese baclava ... Ọ na-atọ ụtọ nke ukwuu, na ihe niile na-atọ ụtọ.",cheese baclava,positive
646,"Fresh veggies, ụdị nile nke etiti ọwụwa anyanwụ na-agbasa, cheese na falafel, ofe, azụ, osikapa, mgbọrọgwụ akwụkwọ nri, a osikapa medley, ụfọdụ spinach ihe, nwa atụrụ kebabs, cheese baclava ... Ọ na-atọ ụtọ nke ukwuu, na ihe niile na-atọ ụtọ.",osikapa,positive
649,"Ọrụ ngwa ngwa, ma mgbe ị na-agba gburugburu na ìgwè nke 10 ma ọ bụ 20, ònye na-achọpụta n'ezie?",ọrụ,negative
652,Ọrụ kachasị njọ m nwetụrụla na nri dị n'okpuru nkezi (mgbe ha nyere ndị mmadụ nri ha nyere iwu n'ezie).,ọrụ,negative
656,Ọrụ kachasị njọ m nwetụrụla na nri dị n'okpuru nkezi (mgbe ha nyere ndị mmadụ nri ha nyere iwu n'ezie).,nri,neutral
658,Ọrụ kachasị njọ m nwetụrụla na nri dị n'okpuru nkezi (mgbe ha nyere ndị mmadụ nri ha nyere iwu n'ezie).,nri,negative
662,Ichere awa atọ tupu inweta arịrịọ anyị bụkwa ọgwụgwọ.,entrees,neutral
664,Ichere awa atọ tupu inweta arịrịọ anyị bụkwa ọgwụgwọ.,Na-echere,negative
666,The nri bụ consistant na mma ma otú o nwetara aha Best Diner Na Manhattan bụ karịrị m.,nri,positive
669,Ọ bụghị ụda dị oke njọ kama kpachara anya maka delivary.,Delivary,negative
672,"Iji mee ihe n'ụzọ ziri ezi, nri ahụ ka dị mma ma ọrụ ahụ dị ngwa ma na-attentative n'agbanyeghị na ọ na-arụsikarị ọrụ ike.",ọrụ,positive
676,"Iji mee ihe n'ụzọ ziri ezi, nri ahụ ka dị mma ma ọrụ ahụ dị ngwa ma na-attentative n'agbanyeghị na ọ na-arụsikarị ọrụ ike.",nri,positive
680,"Service bụ magburu onwe, ọ dịghị echere, na ị na-enweta ọtụtụ maka price.",Ọrụ,positive
684,"Service bụ magburu onwe, ọ dịghị echere, na ị na-enweta ọtụtụ maka price.",chere,positive
688,"Service bụ magburu onwe, ọ dịghị echere, na ị na-enweta ọtụtụ maka price.",ọnụahịa,positive
690,Ndị na-echere bụ ezigbo enyi na enyi na pasta si n'ụwa a pụta.,pasta,positive
694,Ndị na-echere bụ ezigbo enyi na enyi na pasta si n'ụwa a pụta.,Ndị na-echere,positive
698,Ọ bụ a zoro ezo obi ụtọ zuru ezu na a quaint mmanya na ezi nri.,nri,positive
702,Ọ bụ a zoro ezo obi ụtọ zuru ezu na a quaint mmanya na ezi nri.,bar,positive
706,Ọ bụ ebe dị mma iso ndị enyi abụọ na-aga.,ebe,positive
709,M karịsịa na-amasị ha adụ shei crab sandwich na fries.,soft shei crab sandwich na fries,positive
712,"Maka onye na-akpali akpali, calamari ha bụ onye mmeri.",Appetizer,neutral
715,"Maka onye na-akpali akpali, calamari ha bụ onye mmeri.",calamari,positive
718,"Nnukwu akụkụ, ọrụ dị ukwuu ma na-ege ntị, na ọnụahịa mara mma.",akụkụ,positive
722,"Nnukwu akụkụ, ọrụ dị ukwuu ma na-ege ntị, na ọnụahịa mara mma.",ọrụ,positive
726,"Nnukwu akụkụ, ọrụ dị ukwuu ma na-ege ntị, na ọnụahịa mara mma.",ọnụahịa,positive
730,Ọnọdụ dị jụụ ma dị otú ahụ na-eme ka ọ daa mbà.,ikuku,positive
733,"Onye na-echere anyị jọgburu onwe ya; Ya mere, ọ na-akparị mmadụ ma na-enweghị mmasị.",onye na-echere,negative
736,The sangria si - mmiri n'ala.,Sangria,negative
739,"N'ihi ya, na-adịghị mma, obere.",menu,negative
742,Ihe oriri na-edozi ahụ - ọ bụghị ọnụ ahịa.,ọnụahịa,negative
745,Ihe oriri na-edozi ahụ - ọ bụghị ọnụ ahịa.,nri,negative
748,"Ọbụna mgbe onye isi nri anọghị n'ụlọ, nri na ọrụ ziri ezi na ebumnuche.",ọrụ,positive
751,"Ọbụna mgbe onye isi nri anọghị n'ụlọ, nri na ọrụ ziri ezi na ebumnuche.",nri,positive
754,"Ọbụna mgbe onye isi nri anọghị n'ụlọ, nri na ọrụ ziri ezi na ebumnuche.",chef,neutral
756,"Ebe ọ bụ na m na-esi nri maka ndụ, enwere m nnọọ fussy banyere nri m na-eri na ụlọ oriri na ọṅụṅụ.",nri,neutral
759,Chef Waldy na-atụle mgbe niile.,Chef,positive
761,"Jide n'aka na ị na-agbalị na-aṅụ sịga trout ... Nwa atụrụ Chops, Veal Chops, Rabbit, poteto gratin, na na ...",Nwa Atụrụ Chops,positive
764,"Jide n'aka na ị na-agbalị na-aṅụ sịga trout ... Nwa atụrụ Chops, Veal Chops, Rabbit, poteto gratin, na na ...",poteto gratin,positive
767,"Jide n'aka na ị na-agbalị na-aṅụ sịga trout ... Nwa atụrụ Chops, Veal Chops, Rabbit, poteto gratin, na na ...",Trout anwụrụ ọkụ,positive
770,"Jide n'aka na ị na-agbalị na-aṅụ sịga trout ... Nwa atụrụ Chops, Veal Chops, Rabbit, poteto gratin, na na ...",Rabbit,positive
773,"Jide n'aka na ị na-agbalị na-aṅụ sịga trout ... Nwa atụrụ Chops, Veal Chops, Rabbit, poteto gratin, na na ...",Veal Chops,positive
776,Ị ga-adịghị dissapointed site ọ bụla n'ime nhọrọ na menu.,menu,positive
779,Onye nwe ya na ndị ọrụ na-agbasi mbọ ike iji mee ka obi ruo gị ala.,nwe,positive
781,Onye nwe ya na ndị ọrụ na-agbasi mbọ ike iji mee ka obi ruo gị ala.,ndị ọrụ,positive
783,Jụọ maka tebụl nkuku gburugburu n'akụkụ nnukwu windo.,Gburugburu nkuku table n'akụkụ nnukwu window,positive
785,Ònye kwuru na-aga mgbe ebe ahụ dị jụụ n'ehihie?,ebe,neutral
787,"Ọ bụghị nke ukwuu otú ahụ, ma zuru ezu na e nwere nnukwu idaha.",ebe,positive
790,"Nri ahụ dị ukwuu - sushi dị mma, ma nri esi nri juru anyị anya.",Nri esi nri,positive
794,"Nri ahụ dị ukwuu - sushi dị mma, ma nri esi nri juru anyị anya.",sushi,positive
798,"Nri ahụ dị ukwuu - sushi dị mma, ma nri esi nri juru anyị anya.",nri,positive
802,"Mgbe oge ruru iji were iwu onye na-echere nyere anyị oge siri ike, pụọ wee jiri akwụkwọ na pen laghachi ka anyị dee ihe anyị chọrọ ... Gbaghara m, mana ọ bụghị ọrụ ya???",onye na-echere,negative
804,"Onye njikwa ahụ gwaziri anyị na anyị nwere ike ịtụ iwu site na menu ọ bụla anyị chọrọ ma ka ọ na-erule oge ahụ, anyị na-ewe iwe dị ukwuu na onye na-echere na onye na-eme ihe ike nke na anyị hapụrụ ma gaa ebe ọzọ.",onye na-echere,negative
807,"Onye njikwa ahụ gwaziri anyị na anyị nwere ike ịtụ iwu site na menu ọ bụla anyị chọrọ ma ka ọ na-erule oge ahụ, anyị na-ewe iwe dị ukwuu na onye na-echere na onye na-eme ihe ike nke na anyị hapụrụ ma gaa ebe ọzọ.",menu,neutral
809,"Onye njikwa ahụ gwaziri anyị na anyị nwere ike ịtụ iwu site na menu ọ bụla anyị chọrọ ma ka ọ na-erule oge ahụ, anyị na-ewe iwe dị ukwuu na onye na-echere na onye na-eme ihe ike nke na anyị hapụrụ ma gaa ebe ọzọ.",onye njikwa,neutral
811,Nri ahụ na-atọ ụtọ ma na-atụ aro ya nke ukwuu.,nri,positive
814,"Mgbe efere rutere ọ na-ere ọkụ na chillis akwụkwọ ndụ akwụkwọ ndụ, n'ezie ọ bụghị mmadụ na-eri nri.",green chillis,negative
818,"Mgbe efere rutere ọ na-ere ọkụ na chillis akwụkwọ ndụ akwụkwọ ndụ, n'ezie ọ bụghị mmadụ na-eri nri.",efere,negative
822,"M mkpesa na waiter na mgbe ahụ ka njikwa, ma ike nke mkparị si ha dị nnọọ wee elu.",onye njikwa,negative
825,"M mkpesa na waiter na mgbe ahụ ka njikwa, ma ike nke mkparị si ha dị nnọọ wee elu.",onye na-echere,negative
828,O wutere m nke ukwuu n'ihi ọrụ ha na nri ha.,ọrụ,negative
831,O wutere m nke ukwuu n'ihi ọrụ ha na nri ha.,nri,negative
834,M gara a gara aga Saturday na nwere a magburu onwe nri nke esịnede a braised nwa atụrụ shank na mashed poteto.,Braised nwa atụrụ shank na mashed poteto,positive
836,M gara a gara aga Saturday na nwere a magburu onwe nri nke esịnede a braised nwa atụrụ shank na mashed poteto.,nri,positive
839,"N'etiti mụ na onye ọbịa m, anyị sampled dịkarịa ala 80% nke menu, na ha niile bụ hits.",menu,positive
841,The Deco na ambiance bụ n'ezie ihunanya.,Deco,positive
844,The Deco na ambiance bụ n'ezie ihunanya.,ambiance,positive
847,"M na-eri na niile atọ ebe na m mgbe niile n'anya, n'anya nri, ọrụ bụ mgbe niile magburu onwe na ahịa bụ n'ezie ezi uche.",ọnụahịa,positive
851,"M na-eri na niile atọ ebe na m mgbe niile n'anya, n'anya nri, ọrụ bụ mgbe niile magburu onwe na ahịa bụ n'ezie ezi uche.",ọrụ,positive
855,"M na-eri na niile atọ ebe na m mgbe niile n'anya, n'anya nri, ọrụ bụ mgbe niile magburu onwe na ahịa bụ n'ezie ezi uche.",nri,positive
859,"Ọ bụrụ na ị chọrọ ezigbo uto, ọma seasoned latin nri na-eri na Cabana na ị pụghị ịga na-ezighị ezi.",Latin nri,positive
862,"Ọ bụ obi ụtọ na-enweghịcrowded, ọrụ ahụ na-atọ ụtọ, ubi ahụ mara mma, nri (site na appetizers ruo entrees) bụ delectable.",ogige,positive
866,"Ọ bụ obi ụtọ na-enweghịcrowded, ọrụ ahụ na-atọ ụtọ, ubi ahụ mara mma, nri (site na appetizers ruo entrees) bụ delectable.",ọrụ,positive
870,"Ọ bụ obi ụtọ na-enweghịcrowded, ọrụ ahụ na-atọ ụtọ, ubi ahụ mara mma, nri (site na appetizers ruo entrees) bụ delectable.",Appetizers,positive
874,"Ọ bụ obi ụtọ na-enweghịcrowded, ọrụ ahụ na-atọ ụtọ, ubi ahụ mara mma, nri (site na appetizers ruo entrees) bụ delectable.",entrees,positive
878,"Ọ bụ obi ụtọ na-enweghịcrowded, ọrụ ahụ na-atọ ụtọ, ubi ahụ mara mma, nri (site na appetizers ruo entrees) bụ delectable.",nri,positive
882,"Yum, ọkụkọ dị oke mma ebe a.",ọkụkọ,positive
885,"Guac dị ọhụrụ, ma na-enweghị uto, anyị na-enwe mmasị ịgbakwunye salsa ọhụrụ anyị n'ime ya.",Salsa ọhụrụ,neutral
887,"Guac dị ọhụrụ, ma na-enweghị uto, anyị na-enwe mmasị ịgbakwunye salsa ọhụrụ anyị n'ime ya.",flavor,negative
890,The fajita anyị gbalịrị bụ enweghị uto na ọkụ na mole ihendori bụ ụzọ kwa ụtọ.,fajita,negative
894,The fajita anyị gbalịrị bụ enweghị uto na ọkụ na mole ihendori bụ ụzọ kwa ụtọ.,mole ihendori,negative
898,"Nọrọ na ọkụkọ ndị a na-esi ísì ụtọ, ị ga-adịkwa mma.",Ọkụkọ ndị a na-esi ísì ụtọ,positive
900,Ọrụ bụ otu n'ime ihe kachasị mma m nwetụrụla na NYC.,Ọrụ,positive
903,The fettucino alfredo bụ ịtụnanya.,fettucino alfredo,positive
906,Ọnụahịa ọbụna n'èzí izu ụlọ oriri na ọṅụṅụ dị ukwuu.,Ọnụahịa,positive
909,"The bartenders na njikwa bụ n'ezie mma na ndozi bụ nnọọ comfy na tọrọ-azụ, niile mgbe ịbụ trendy.",ndị njikwa,positive
913,"The bartenders na njikwa bụ n'ezie mma na ndozi bụ nnọọ comfy na tọrọ-azụ, niile mgbe ịbụ trendy.",bartenders,positive
917,"The bartenders na njikwa bụ n'ezie mma na ndozi bụ nnọọ comfy na tọrọ-azụ, niile mgbe ịbụ trendy.",ihe ndozi,positive
921,"M hụrụ n'anya na-aṅụ ihe ọṅụṅụ, esp lychee martini, na nri bụkwa nnọọ mma.",ihe ọṅụṅụ,positive
925,"M hụrụ n'anya na-aṅụ ihe ọṅụṅụ, esp lychee martini, na nri bụkwa nnọọ mma.",lychee martini,positive
929,"M hụrụ n'anya na-aṅụ ihe ọṅụṅụ, esp lychee martini, na nri bụkwa nnọọ mma.",nri,positive
933,A na-akwụ ụgwọ sushi n'ụzọ ezi uche dị na ya ma dị ọhụrụ.,ọnụ,positive
937,A na-akwụ ụgwọ sushi n'ụzọ ezi uche dị na ya ma dị ọhụrụ.,sushi,positive
941,Ọ dị mma maka nri ehihie sushi ngwa ngwa.,sushi nri ehihie,positive
944,"Ọ bụghị naanị na ha nwere escargot kachasị mma n'obodo, ha na-agbalị mgbe niile ịnabata nwa anyị.",escargot,positive
947,Appetizer dị oke mma ebe a; Ị nwere ike ime nnukwu nri (ma dị ọnụ ala) site na ha.,Appetizer,positive
951,Appetizer dị oke mma ebe a; Ị nwere ike ime nnukwu nri (ma dị ọnụ ala) site na ha.,nri,positive
955,Mọsel na-esi ísì ụtọ bụ ihe pụtara ìhè.,Mọsel na-esi ísì ụtọ,positive
958,Nwee mojito ma nọdụ ala na patio azụ.,azụ patio,positive
960,Nwee mojito ma nọdụ ala na patio azụ.,mojito,positive
962,"Ọ bụ ezie na nri kichin ha na-atọ ụtọ, Sushi ha si n'ụwa a pụọ.",nri kichin,positive
966,"Ọ bụ ezie na nri kichin ha na-atọ ụtọ, Sushi ha si n'ụwa a pụọ.",Sushi,positive
970,Ebe a nwere strangest menu na ụlọ oriri na ọṅụṅụ na-agbalịsi ike ime ka fancy nri.,menu,negative
974,Ebe a nwere strangest menu na ụlọ oriri na ọṅụṅụ na-agbalịsi ike ime ka fancy nri.,nri,negative
978,Oge ọ bụla m na-aga ebe ahụ enweghị m ike ịhọrọ ihe ọ bụla m ga-eri ma ọ bụghị n'ihi na menu jupụtara na nnukwu ihe ị ga-eri.,menu,negative
980,M na-ahụ onwe m mgbe niile na-arịọ onye na-echere ka o mee ihe na-adịghị mma ma dị iche karịa ihe dị na menu.,onye na-echere,neutral
982,M na-ahụ onwe m mgbe niile na-arịọ onye na-echere ka o mee ihe na-adịghị mma ma dị iche karịa ihe dị na menu.,menu,neutral
984,"Ọ bụ ezie na ụlọ oriri na ọṅụṅụ n'onwe ya dị mma, ana m ahọrọ ịghara ịga maka nri.",nri,negative
986,Obere ebe a na-anabata nke ọma.,ebe,positive
989,Onye ọbịa (onye nwe) na sava bụ mmadụ ma na-elekọta mmadụ.,Onye nwe ụlọ (onye nwe ụlọ),positive
991,Onye ọbịa (onye nwe) na sava bụ mmadụ ma na-elekọta mmadụ.,sava,positive
994,"Na nri, nke ọma nri ga-eme ka ị laghachi azụ.",nri,positive
996,"Na nri, nke ọma nri ga-eme ka ị laghachi azụ.",nri,positive
998,Ha nwere pastas arụrụ n'ụlọ nke ụdị niile - ana m akwado gnocchi - yum!,Pastas arụrụ n'ụlọ,positive
1000,Ha nwere pastas arụrụ n'ụlọ nke ụdị niile - ana m akwado gnocchi - yum!,gnocchi,positive
1003,"Ọzọkwa, chick peas na shrimp (appetizer) bụ Chineke.",Chick peas na shrimp (appetizer),positive
1005,Mojitos na ọrụ ahụ bụ akụkụ kachasị mma n'ebe ahụ,mojitos,positive
1008,Mojitos na ọrụ ahụ bụ akụkụ kachasị mma n'ebe ahụ,ọrụ,positive
1011,"Ọrụ dị mma, otú ahụkwa ka ikuku dị.",Ọrụ,positive
1014,"Ọrụ dị mma, otú ahụkwa ka ikuku dị.",ikuku,positive
1017,Mụ na ụbọchị m nyere branzini iwu ma ha abụọ chere na azụ̀ ahụ dị nnọọ nkezi.,azụ,negative
1020,Mụ na ụbọchị m nyere branzini iwu ma ha abụọ chere na azụ̀ ahụ dị nnọọ nkezi.,Branzini,neutral
1023,Nri ahụ dị mma n'ozuzu ya. ,nri,positive
1026,Salad caeser dị ukwuu.,salad caeser,positive
1029,Calamari e ghere eghe ka mma ọbụna karị!,calamari e ghere eghe,positive
1032,NRI AHỤ WUTERE M NKE UKWUU.,NRI,negative
1035,"THE BANANA PUDDING ha na-eje ozi ahụtụbeghị oven, na CRABCAKES bụ ụzọ n'elu salted na adịghị eme ka m malitere na nnọọ mmanụ MAC na cheese.",MAC NA CHEESE,negative
1039,"THE BANANA PUDDING ha na-eje ozi ahụtụbeghị oven, na CRABCAKES bụ ụzọ n'elu salted na adịghị eme ka m malitere na nnọọ mmanụ MAC na cheese.",CRABCAKES,negative
1043,"THE BANANA PUDDING ha na-eje ozi ahụtụbeghị oven, na CRABCAKES bụ ụzọ n'elu salted na adịghị eme ka m malitere na nnọọ mmanụ MAC na cheese.",BANANA PUDDING,negative
1045,Sushi dị ọhụrụ nke na ọ crunches n'ọnụ gị.,Sushi,positive
1048,Ma jide n'aka na ị nwere ohere zuru ezu na kaadị akwụmụgwọ gị dịka ụgwọ ahụ ga-ahapụ nnukwu dent na obere akpa gị.,bill,negative
1051,Nri ahụ bụ mediocre iji nwee obiọma - ime ụlọ dị ntakịrị na nkezi - ndị nwe ya bụ mkpado-ìgwè nke ihe ndị na-adịghị mma - nke na-akparị mmadụ na snotty i n'ezie hapụrụ guffaw obi mgbe ha na-eri nri.,ime ụlọ,negative
1055,Nri ahụ bụ mediocre iji nwee obiọma - ime ụlọ dị ntakịrị na nkezi - ndị nwe ya bụ mkpado-ìgwè nke ihe ndị na-adịghị mma - nke na-akparị mmadụ na snotty i n'ezie hapụrụ guffaw obi mgbe ha na-eri nri.,iri nri,neutral
1057,Nri ahụ bụ mediocre iji nwee obiọma - ime ụlọ dị ntakịrị na nkezi - ndị nwe ya bụ mkpado-ìgwè nke ihe ndị na-adịghị mma - nke na-akparị mmadụ na snotty i n'ezie hapụrụ guffaw obi mgbe ha na-eri nri.,ndị nwe,negative
1061,Nri ahụ bụ mediocre iji nwee obiọma - ime ụlọ dị ntakịrị na nkezi - ndị nwe ya bụ mkpado-ìgwè nke ihe ndị na-adịghị mma - nke na-akparị mmadụ na snotty i n'ezie hapụrụ guffaw obi mgbe ha na-eri nri.,nri,negative
1065,Nri dị oke ọnụ maka ihe ị nwetara.,Nri,negative
1068,A ghaghị izigaghachi steak Delmonico $ 72 n'ihi na a naghị esi nri iji nye iwu.,Delmonico steak,negative
1071,Njikwa ahụ erughị accomodating.,Njikwa,negative
1074,Anyị na-enweta ọrụ dị ịtụnanya mgbe niile ma anyị hụrụ nri n'anya.,ọrụ,positive
1078,Anyị na-enweta ọrụ dị ịtụnanya mgbe niile ma anyị hụrụ nri n'anya.,nri,positive
1082,Enweela m nri Japanese ka mma n'ụlọikpe nri ụlọ ahịa.,Japanese nri,negative
1085,Ije ije mbụ n'ebe ahụ yiri ka ọ nwere nnukwu ambience.,ambience,positive
1088,Ije ije mbụ n'ebe ahụ yiri ka ọ nwere nnukwu ambience.,ebe,positive
1090,Ma nri ndị ahụ dị egwu.,nri,negative
1093,M nyere iwu Chicken Teriyaki na di m nwetara Garlic Shrimp.,Garlic Shrimp,neutral
1095,M nyere iwu Chicken Teriyaki na di m nwetara Garlic Shrimp.,Chicken Teriyaki,neutral
1097,Ọkụkọ m kpọrọ nkụ kpamkpam na n'akụkụ oyi na ihendori ahụ adịghị nnọọ flavorful.,ihendori,negative
1101,Ọkụkọ m kpọrọ nkụ kpamkpam na n'akụkụ oyi na ihendori ahụ adịghị nnọọ flavorful.,ọkụkọ,negative
1105,"Otu ihe dị mma m nwere ike ikwu bụ na ọrụ ahụ dị ngwa, anyị nọ ọdụ ozugbo na ihe nkesa ahụ bụ ezigbo enyi.",ọrụ,positive
