,zu,aspect,polarities
544,"Ngiyakuthanda ukulula nokuhlonipha okwakunikezwa ukudla, kanye nabasebenzi babenobungane futhi bazi.",ukudla,positive
547,Ukudla kwakuphakathi futhi inkonzo yayihamba kancane kakhulu.,ukudla,neutral
551,Ukudla kwakuphakathi futhi inkonzo yayihamba kancane kakhulu.,service,negative
555,Kwathatha cishe amahora angu-2 1/2 ukukhonzwa izifundo zethu ze-2.,izifundo,neutral
557,Kwathatha cishe amahora angu-2 1/2 ukukhonzwa izifundo zethu ze-2.,wakhonza,negative
559,Sa-oda ingilazi yewayini futhi saqeda ukudla nokukhokha ngaphambi kokufika kwewayini.,ingilazi yewayini,neutral
561,Isihlalo esigoqiwe engangihleli kuso sasingakhululekile.,ukusonga esihlalweni,negative
564,I-waiter yethu yayinobungane futhi kuyihlazo ukuthi wayengenayo abasebenzi abasekelayo abazosebenza nabo.,abasebenzi,negative
566,I-waiter yethu yayinobungane futhi kuyihlazo ukuthi wayengenayo abasebenzi abasekelayo abazosebenza nabo.,waiter,positive
569,Ngaya ngesonto lokudlela futhi nga-oda imenyu ye-prix fixe,imenyu ye-prix fixe,neutral
571,Abasebenzi bokulinda balalela kakhulu futhi benenhlonipho.,linda abasebenzi,positive
574,Inqola yoshizi yasePutukezi ekhethwe ngekhono ehlangene ne-port yekhwalithi inikeza isiphetho esiphelele sase-Iberia.,IsiPutukezi ushizi inqola,positive
578,Inqola yoshizi yasePutukezi ekhethwe ngekhono ehlangene ne-port yekhwalithi inikeza isiphetho esiphelele sase-Iberia.,port,positive
582,"Ngenkathi inkulu futhi inobusindo kancane, iziphuzo zazimnandi, futhi ukudla kwakuhle kakhulu.",iziphuzo,positive
586,"Ngenkathi inkulu futhi inobusindo kancane, iziphuzo zazimnandi, futhi ukudla kwakuhle kakhulu.",ukudla,positive
590,Amanani awabi kakhulu.,amanani,positive
593,"Inkonzo yayinkulu, futhi banayo yonke into enkulu yokuzalwa.",service,positive
596,"Ngezinye izikhathi ngihambile kungcono romantic usuku izulu, ungakwazi ukuhamba e uthole idokodo ngamafasitela, aphathwe njenge-VIP endaweni hhayi-aminyene, nge ukudla okukhulu kanye service.",service,positive
600,"Ngezinye izikhathi ngihambile kungcono romantic usuku izulu, ungakwazi ukuhamba e uthole idokodo ngamafasitela, aphathwe njenge-VIP endaweni hhayi-aminyene, nge ukudla okukhulu kanye service.",ukudla,positive
604,"Ngezinye izikhathi ngihambile kungcono romantic usuku izulu, ungakwazi ukuhamba e uthole idokodo ngamafasitela, aphathwe njenge-VIP endaweni hhayi-aminyene, nge ukudla okukhulu kanye service.",idokodo ngamafasitela,neutral
606,"Ngezinye izikhathi ngihambile kungcono romantic usuku izulu, ungakwazi ukuhamba e uthole idokodo ngamafasitela, aphathwe njenge-VIP endaweni hhayi-aminyene, nge ukudla okukhulu kanye service.",indawo,positive
610,"Imifino emisha, zonke izinhlobo zokusabalala kwempumalanga ephakathi, ushizi kanye ne-falafel, isobho, inhlanzi, irayisi, imifino yezimpande, i-medley yelayisi, into ethile yesipinashi, ama-kebabs wewundlu, ushizi we-baclava ... i-fooood eningi kakhulu, futhi konke kumnandi.",ushizi,positive
613,"Imifino emisha, zonke izinhlobo zokusabalala kwempumalanga ephakathi, ushizi kanye ne-falafel, isobho, inhlanzi, irayisi, imifino yezimpande, i-medley yelayisi, into ethile yesipinashi, ama-kebabs wewundlu, ushizi we-baclava ... i-fooood eningi kakhulu, futhi konke kumnandi.",Ama-veggies amasha,positive
614,"Imifino emisha, zonke izinhlobo zokusabalala kwempumalanga ephakathi, ushizi kanye ne-falafel, isobho, inhlanzi, irayisi, imifino yezimpande, i-medley yelayisi, into ethile yesipinashi, ama-kebabs wewundlu, ushizi we-baclava ... i-fooood eningi kakhulu, futhi konke kumnandi.",inhlanzi,positive
617,"Imifino emisha, zonke izinhlobo zokusabalala kwempumalanga ephakathi, ushizi kanye ne-falafel, isobho, inhlanzi, irayisi, imifino yezimpande, i-medley yelayisi, into ethile yesipinashi, ama-kebabs wewundlu, ushizi we-baclava ... i-fooood eningi kakhulu, futhi konke kumnandi.",fooood,positive
620,"Imifino emisha, zonke izinhlobo zokusabalala kwempumalanga ephakathi, ushizi kanye ne-falafel, isobho, inhlanzi, irayisi, imifino yezimpande, i-medley yelayisi, into ethile yesipinashi, ama-kebabs wewundlu, ushizi we-baclava ... i-fooood eningi kakhulu, futhi konke kumnandi.",imifino yezimpande,positive
625,"Imifino emisha, zonke izinhlobo zokusabalala kwempumalanga ephakathi, ushizi kanye ne-falafel, isobho, inhlanzi, irayisi, imifino yezimpande, i-medley yelayisi, into ethile yesipinashi, ama-kebabs wewundlu, ushizi we-baclava ... i-fooood eningi kakhulu, futhi konke kumnandi.",irayisi medley,positive
628,"Imifino emisha, zonke izinhlobo zokusabalala kwempumalanga ephakathi, ushizi kanye ne-falafel, isobho, inhlanzi, irayisi, imifino yezimpande, i-medley yelayisi, into ethile yesipinashi, ama-kebabs wewundlu, ushizi we-baclava ... i-fooood eningi kakhulu, futhi konke kumnandi.",into yesipinashi,positive
631,"Imifino emisha, zonke izinhlobo zokusabalala kwempumalanga ephakathi, ushizi kanye ne-falafel, isobho, inhlanzi, irayisi, imifino yezimpande, i-medley yelayisi, into ethile yesipinashi, ama-kebabs wewundlu, ushizi we-baclava ... i-fooood eningi kakhulu, futhi konke kumnandi.",falafel,positive
634,"Imifino emisha, zonke izinhlobo zokusabalala kwempumalanga ephakathi, ushizi kanye ne-falafel, isobho, inhlanzi, irayisi, imifino yezimpande, i-medley yelayisi, into ethile yesipinashi, ama-kebabs wewundlu, ushizi we-baclava ... i-fooood eningi kakhulu, futhi konke kumnandi.",ukusabalala kwempumalanga ephakathi,positive
637,"Imifino emisha, zonke izinhlobo zokusabalala kwempumalanga ephakathi, ushizi kanye ne-falafel, isobho, inhlanzi, irayisi, imifino yezimpande, i-medley yelayisi, into ethile yesipinashi, ama-kebabs wewundlu, ushizi we-baclava ... i-fooood eningi kakhulu, futhi konke kumnandi.",iwundlu kebabs,positive
640,"Imifino emisha, zonke izinhlobo zokusabalala kwempumalanga ephakathi, ushizi kanye ne-falafel, isobho, inhlanzi, irayisi, imifino yezimpande, i-medley yelayisi, into ethile yesipinashi, ama-kebabs wewundlu, ushizi we-baclava ... i-fooood eningi kakhulu, futhi konke kumnandi.",isobho,positive
643,"Imifino emisha, zonke izinhlobo zokusabalala kwempumalanga ephakathi, ushizi kanye ne-falafel, isobho, inhlanzi, irayisi, imifino yezimpande, i-medley yelayisi, into ethile yesipinashi, ama-kebabs wewundlu, ushizi we-baclava ... i-fooood eningi kakhulu, futhi konke kumnandi.",ushizi baclava,positive
646,"Imifino emisha, zonke izinhlobo zokusabalala kwempumalanga ephakathi, ushizi kanye ne-falafel, isobho, inhlanzi, irayisi, imifino yezimpande, i-medley yelayisi, into ethile yesipinashi, ama-kebabs wewundlu, ushizi we-baclava ... i-fooood eningi kakhulu, futhi konke kumnandi.",irayisi,positive
649,"Isevisi kancane, kodwa lapho ulenga ngamaqembu angu-10 noma angu-20, ngubani oqaphela ngempela?",service,negative
652,Insizakalo embi kakhulu ngokuphelele engake ngabhekana nayo futhi ukudla kwakungaphansi kwesilinganiso (lapho empeleni benika abantu ukudla abaku-oda).,service,negative
656,Insizakalo embi kakhulu ngokuphelele engake ngabhekana nayo futhi ukudla kwakungaphansi kwesilinganiso (lapho empeleni benika abantu ukudla abaku-oda).,ukudla,neutral
658,Insizakalo embi kakhulu ngokuphelele engake ngabhekana nayo futhi ukudla kwakungaphansi kwesilinganiso (lapho empeleni benika abantu ukudla abaku-oda).,ukudla,negative
662,Ukulinda amahora amathathu ngaphambi kokuthola ama-entrees ethu kwakuyinto yokudla futhi.,entrees,neutral
664,Ukulinda amahora amathathu ngaphambi kokuthola ama-entrees ethu kwakuyinto yokudla futhi.,Kulindwe,negative
666,Ukudla kuqukethe futhi kuhle kodwa ukuthi kwathola kanjani igama elithi Best Diner EManhattan kungaphezu kwami.,ukudla,positive
669,Ukungazwakali kabi kakhulu kodwa qaphela i-delivary.,delivary,negative
672,"Ukuze kube nobulungiswa, ukudla namanje kuhle futhi inkonzo kuyashesha futhi attentative yize ngokuvamile yayo matasa kakhulu.",service,positive
676,"Ukuze kube nobulungiswa, ukudla namanje kuhle futhi inkonzo kuyashesha futhi attentative yize ngokuvamile yayo matasa kakhulu.",ukudla,positive
680,"Isevisi inhle kakhulu, akukho ukulinda, futhi uthola okuningi ngentengo.",Service,positive
684,"Isevisi inhle kakhulu, akukho ukulinda, futhi uthola okuningi ngentengo.",linda,positive
688,"Isevisi inhle kakhulu, akukho ukulinda, futhi uthola okuningi ngentengo.",intengo,positive
690,Ama-waiters anobungane kakhulu futhi i-pasta iphuma kuleli zwe.,pasta,positive
694,Ama-waiters anobungane kakhulu futhi i-pasta iphuma kuleli zwe.,Abalindi,positive
698,kuyintokozo efihliwe ephelele ngebha ye-quaint nokudla okuhle.,ukudla,positive
702,kuyintokozo efihliwe ephelele ngebha ye-quaint nokudla okuhle.,ibha,positive
706,yindawo ethokomele yokuhamba nabangani abashadile.,indawo,positive
709,i ikakhulukazi like igobolondo yabo ezithambile crab sandwich nge fries.,soft igobolondo crab sandwich nge fries,positive
712,"nge-appetizer, i-calamari yabo inqobile.",appetizer,neutral
715,"nge-appetizer, i-calamari yabo inqobile.",calamari,positive
718,"Izingxenye ezinkulu, insizakalo enkulu futhi eqaphelayo, kanye namanani amahle kakhulu.",izingxenye,positive
722,"Izingxenye ezinkulu, insizakalo enkulu futhi eqaphelayo, kanye namanani amahle kakhulu.",service,positive
726,"Izingxenye ezinkulu, insizakalo enkulu futhi eqaphelayo, kanye namanani amahle kakhulu.",amanani,positive
730,Umkhathi opholile kodwa uphoxekile onjalo.,umkhathi,positive
733,I-waiter yethu yayisabekayo; ngakho rude futhi disinterested.,waiter,negative
736,I-sangria's - amanzi phansi.,sangria,negative
739,"imenyu - engalingani, encane.",imenyu,negative
742,ukudla - akufanelekile intengo.,intengo,negative
745,ukudla - akufanelekile intengo.,ukudla,negative
748,"Ngisho nalapho umpheki engekho endlini, ukudla kanye nenkonzo kulungile ku-target.",service,positive
751,"Ngisho nalapho umpheki engekho endlini, ukudla kanye nenkonzo kulungile ku-target.",ukudla,positive
754,"Ngisho nalapho umpheki engekho endlini, ukudla kanye nenkonzo kulungile ku-target.",umpheki,neutral
756,"Njengoba ngipheka ukuze ngiziphilise, ngi-fussy kakhulu ngokudla engikudla ezindaweni zokudlela.",ukudla,neutral
759,I-Chef Waldy's ihlala ilinganisa.,Chef,positive
761,"Qiniseka ukuzama i-Smoked Trout ... I-Lamb Chops, i-Veal Chops, i-Rabbit, i-potato gratin, njalo njalo...",Iwundlu Chops,positive
764,"Qiniseka ukuzama i-Smoked Trout ... I-Lamb Chops, i-Veal Chops, i-Rabbit, i-potato gratin, njalo njalo...",amazambane gratin,positive
767,"Qiniseka ukuzama i-Smoked Trout ... I-Lamb Chops, i-Veal Chops, i-Rabbit, i-potato gratin, njalo njalo...",Smoked Trout,positive
770,"Qiniseka ukuzama i-Smoked Trout ... I-Lamb Chops, i-Veal Chops, i-Rabbit, i-potato gratin, njalo njalo...",Rabbit,positive
773,"Qiniseka ukuzama i-Smoked Trout ... I-Lamb Chops, i-Veal Chops, i-Rabbit, i-potato gratin, njalo njalo...",Veal Chops,positive
776,Ngeke uxoshwe yinoma yikuphi ukukhetha kwimenyu.,imenyu,positive
779,Umnikazi nabasebenzi benza konke okusemandleni ukwenza uzizwe ukhululekile.,umnikazi,positive
781,Umnikazi nabasebenzi benza konke okusemandleni ukwenza uzizwe ukhululekile.,abasebenzi,positive
783,Cela itafula ekhoneni round eduze iwindi elikhulu.,round ekhoneni ithebula eduze iwindi elikhulu,positive
785,Ubani owathi hamba lapho indawo ithule emini?,indawo,neutral
787,"Hhayi kakhulu, kodwa ngokwanele ukuthi kukhona indawo enkulu.",indawo,positive
790,"Ukudla kwakukhulu - i-sushi yayinhle, kodwa ukudla okuphekiwe kwasimangaza.",ukudla okuphekiwe,positive
794,"Ukudla kwakukhulu - i-sushi yayinhle, kodwa ukudla okuphekiwe kwasimangaza.",sushi,positive
798,"Ukudla kwakukhulu - i-sushi yayinhle, kodwa ukudla okuphekiwe kwasimangaza.",ukudla,positive
802,"Lapho kwafika isikhathi sokuthatha umyalelo i-waiter yasinika isikhathi esinzima, yahamba yabe isibuya nephepha nepeni ukuze sibhale phansi lokho esasikufuna ... ngixolele kodwa akuwona lowo msebenzi wakhe???",waiter,negative
804,Umphathi wabe esesitshela ukuthi singakwazi uku-oda kunoma iyiphi imenyu esiyifunayo kodwa ngaleso sikhathi sasithukuthele kakhulu nge-waiter kanye ne-resturant kangangokuthi savumela futhi sahamba enye indawo.,waiter,negative
807,Umphathi wabe esesitshela ukuthi singakwazi uku-oda kunoma iyiphi imenyu esiyifunayo kodwa ngaleso sikhathi sasithukuthele kakhulu nge-waiter kanye ne-resturant kangangokuthi savumela futhi sahamba enye indawo.,imenyu,neutral
809,Umphathi wabe esesitshela ukuthi singakwazi uku-oda kunoma iyiphi imenyu esiyifunayo kodwa ngaleso sikhathi sasithukuthele kakhulu nge-waiter kanye ne-resturant kangangokuthi savumela futhi sahamba enye indawo.,umphathi,neutral
811,ukudla kumnandi futhi kunconywa kakhulu.,ukudla,positive
814,"Lapho isidlo sifika sasivutha ngama-chili aluhlaza, nakanjani singadliwa ngumuntu.",ama-chilis aluhlaza,negative
818,"Lapho isidlo sifika sasivutha ngama-chili aluhlaza, nakanjani singadliwa ngumuntu.",isidlo,negative
822,"Ngakhalaza ku-waiter bese ngiya kumphathi, kodwa ukuqina kobudlova obuvela kubo kwavele kwenyuka.",umphathi,negative
825,"Ngakhalaza ku-waiter bese ngiya kumphathi, kodwa ukuqina kobudlova obuvela kubo kwavele kwenyuka.",waiter,negative
828,Ngaphoxeka kakhulu ngenkonzo yabo nokudla.,service,negative
831,Ngaphoxeka kakhulu ngenkonzo yabo nokudla.,ukudla,negative
834,Ngahamba ngalo Mgqibelo odlule futhi ngaba nokudla okuhle kakhulu kokuqukethe i-braised lamb shank enamazambane ahlanganisiwe.,braised iwundlu shank nge amazambane oqoshiwe,positive
836,Ngahamba ngalo Mgqibelo odlule futhi ngaba nokudla okuhle kakhulu kokuqukethe i-braised lamb shank enamazambane ahlanganisiwe.,isidlo,positive
839,"Phakathi kwesivakashi sami nami, sasampula okungenani i-80% yemenyu, futhi bonke babeshaya.",imenyu,positive
841,I-Deco ne-ambiance yayithandana ngempela.,Deco,positive
844,I-Deco ne-ambiance yayithandana ngempela.,ambiance,positive
847,"Ngidle kuzo zonke izindawo ezintathu futhi ngihlala ngithanda, ngithanda ukudla, insizakalo ihlala imangalisa futhi amanani anengqondo ngempela.",amanani,positive
851,"Ngidle kuzo zonke izindawo ezintathu futhi ngihlala ngithanda, ngithanda ukudla, insizakalo ihlala imangalisa futhi amanani anengqondo ngempela.",service,positive
855,"Ngidle kuzo zonke izindawo ezintathu futhi ngihlala ngithanda, ngithanda ukudla, insizakalo ihlala imangalisa futhi amanani anengqondo ngempela.",ukudla,positive
859,"Uma ufuna ukunambitha okuhle, ukudla okuhle kwe-latin kudla eCabana futhi awukwazi ukungahambi kahle.",ukudla kwe-latin,positive
862,"Kwakumnandi uncrowded, inkonzo yayijabulisa, ingadi ethandekayo, ukudla (kusukela ku-appetizers kuya ku-entrees) kwakumnandi.",ingadi,positive
866,"Kwakumnandi uncrowded, inkonzo yayijabulisa, ingadi ethandekayo, ukudla (kusukela ku-appetizers kuya ku-entrees) kwakumnandi.",service,positive
870,"Kwakumnandi uncrowded, inkonzo yayijabulisa, ingadi ethandekayo, ukudla (kusukela ku-appetizers kuya ku-entrees) kwakumnandi.",appetizers,positive
874,"Kwakumnandi uncrowded, inkonzo yayijabulisa, ingadi ethandekayo, ukudla (kusukela ku-appetizers kuya ku-entrees) kwakumnandi.",entrees,positive
878,"Kwakumnandi uncrowded, inkonzo yayijabulisa, ingadi ethandekayo, ukudla (kusukela ku-appetizers kuya ku-entrees) kwakumnandi.",ukudla,positive
882,"Yum, inkukhu inkulu lapha.",inkukhu,positive
885,"I-guac intsha, kodwa ayinakho ukunambitheka, sithanda ukwengeza i-salsa yethu entsha kuyo.",salsa fresh,neutral
887,"I-guac intsha, kodwa ayinakho ukunambitheka, sithanda ukwengeza i-salsa yethu entsha kuyo.",ukunambitheka,negative
890,I-fajita esazama yayinganambitheki futhi ishisiwe futhi i-mole sauce yayimnandi kakhulu.,fajita,negative
894,I-fajita esazama yayinganambitheki futhi ishisiwe futhi i-mole sauce yayimnandi kakhulu.,mole sauce,negative
898,Hlala nezinkukhu ezithosiwe futhi uzolunga.,izinkukhu eyosiwe,positive
900,Inkonzo yayiphakathi kokuhle kakhulu engake ngaba nayo e-NYC.,Service,positive
903,I-fettucino alfredo yayimangalisa.,fettucino alfredo,positive
906,Amanani ngisho nangaphandle kwesonto lokudlela ayemakhulu.,Amanani,positive
909,"Ama-bartenders kanye nabaphathi bamnandi ngempela futhi i-decor ithokomele kakhulu futhi ibekwe emuva, sonke isikhathi ihamba phambili.",abaphathi,positive
913,"Ama-bartenders kanye nabaphathi bamnandi ngempela futhi i-decor ithokomele kakhulu futhi ibekwe emuva, sonke isikhathi ihamba phambili.",bartenders,positive
917,"Ama-bartenders kanye nabaphathi bamnandi ngempela futhi i-decor ithokomele kakhulu futhi ibekwe emuva, sonke isikhathi ihamba phambili.",decor,positive
921,"Ngiyazithanda iziphuzo, i-esp lychee martini, futhi ukudla nakho kuhle KAKHULU.",iziphuzo,positive
925,"Ngiyazithanda iziphuzo, i-esp lychee martini, futhi ukudla nakho kuhle KAKHULU.",lychee martini,positive
929,"Ngiyazithanda iziphuzo, i-esp lychee martini, futhi ukudla nakho kuhle KAKHULU.",ukudla,positive
933,I-sushi inentengo enengqondo futhi intsha.,ontengo yakhe yaphansi,positive
937,I-sushi inentengo enengqondo futhi intsha.,sushi,positive
941,Kuhle isidlo sasemini esisheshayo se-sushi.,sushi kwasemini,positive
944,"Abagcini nje ngokuthi bane-escargot engcono kakhulu edolobheni,bahlala bezama ukuhlalisa ingane yethu encane.",escargot,positive
947,I-Appetizer inhle kakhulu lapha; ungenza isidlo esikhulu (futhi esingabizi) kubo.,Appetizer,positive
951,I-Appetizer inhle kakhulu lapha; ungenza isidlo esikhulu (futhi esingabizi) kubo.,isidlo,positive
955,Ama-mussels anomsoco agqamile.,ama-mussels anomsoco,positive
958,Ube ne-mojito futhi uhlale kuvulandi ongemuva.,kuvulandi emuva,positive
960,Ube ne-mojito futhi uhlale kuvulandi ongemuva.,mojito,positive
962,"Ngenkathi ukudla kwabo ekhishini kumnandi, iSushi yabo iphuma kuleli zwe.",ukudla ekhishini,positive
966,"Ngenkathi ukudla kwabo ekhishini kumnandi, iSushi yabo iphuma kuleli zwe.",Sushi,positive
970,Le ndawo inemenyu engavamile kakhulu futhi izindawo zokudlela zizama kakhulu ukwenza ukudla okuhle.,imenyu,negative
974,Le ndawo inemenyu engavamile kakhulu futhi izindawo zokudlela zizama kakhulu ukwenza ukudla okuhle.,ukudla,negative
978,Njalo uma ngiya khona angikwazi ukukhetha lutho lokudla hhayi ngoba imenyu igcwele izinto ezinkulu zokudla.,imenyu,negative
980,Ngihlala ngizithola ngicela i-waiter ukuthi yenze into bland futhi ihluke kunalokho okukwimenyu.,waiter,neutral
982,Ngihlala ngizithola ngicela i-waiter ukuthi yenze into bland futhi ihluke kunalokho okukwimenyu.,imenyu,neutral
984,"Nakuba indawo yokudlela ngokwayo imnandi, ngikhetha ukungayi ekudleni.",ukudla,negative
986,Le ndawo encane ifudumele ngokumangalisayo ukwamukela.,indawo,positive
989,Umninimuzi (umnikazi) kanye namaseva bangumuntu futhi bayanakekela.,umninimuzi (umnikazi),positive
991,Umninimuzi (umnikazi) kanye namaseva bangumuntu futhi bayanakekela.,abanikezeli,positive
994,"Futhi ukudla, kahle ukudla kuzokugcina ubuya.",ukudla,positive
996,"Futhi ukudla, kahle ukudla kuzokugcina ubuya.",ukudla,positive
998,Bane-pastas eyenziwe ekhaya yazo zonke izinhlobo -- ngincoma i-gnocchi -- yum!,ama-pasta enziwe ekhaya,positive
1000,Bane-pastas eyenziwe ekhaya yazo zonke izinhlobo -- ngincoma i-gnocchi -- yum!,gnocchi,positive
1003,"Futhi, i-chick peas ene-shrimp (appetizer) inguNkulunkulu.",i-chick peas nge-shrimp (appetizer),positive
1005,ama-mojitos kanye nensizakalo yingxenye engcono kakhulu lapho,mojitos,positive
1008,ama-mojitos kanye nensizakalo yingxenye engcono kakhulu lapho,service,positive
1011,Inkonzo yayinhle kanjalo nomkhathi.,Service,positive
1014,Inkonzo yayinhle kanjalo nomkhathi.,umkhathi,positive
1017,Mina nosuku lwami sobabili sa-oda iBranzini futhi bobabili bezwa ukuthi izinhlanzi zilinganiselwa kakhulu.,inhlanzi,negative
1020,Mina nosuku lwami sobabili sa-oda iBranzini futhi bobabili bezwa ukuthi izinhlanzi zilinganiselwa kakhulu.,Branzini,neutral
1023,Ukudla kwakuhle jikelele. ,ukudla,positive
1026,Isaladi le-caeser lalilikhulu.,isaladi caeser,positive
1029,I-calamari ethosiwe yayingcono nakakhulu!,calamari ethosiwe,positive
1032,NGAPHOXEKA KAKHULU NGOKUDLA.,UKUDLA,negative
1035,"I-PUDDING YEBHANANA ABAYIKHONZAYO AYIKAZE IBONE I-OVEN,AMA-CRABCAKES AYINDLELA PHEZU KOSAWOTI FUTHI ANGIQALI KU-MAC ENAMAFUTHA KAKHULU NOSHIZI.",I-MAC NE-CHEESE,negative
1039,"I-PUDDING YEBHANANA ABAYIKHONZAYO AYIKAZE IBONE I-OVEN,AMA-CRABCAKES AYINDLELA PHEZU KOSAWOTI FUTHI ANGIQALI KU-MAC ENAMAFUTHA KAKHULU NOSHIZI.",CRABCAKES,negative
1043,"I-PUDDING YEBHANANA ABAYIKHONZAYO AYIKAZE IBONE I-OVEN,AMA-CRABCAKES AYINDLELA PHEZU KOSAWOTI FUTHI ANGIQALI KU-MAC ENAMAFUTHA KAKHULU NOSHIZI.",BANANA PUDDING,negative
1045,Sushi fresh kangangokuthi crunches emlonyeni wakho.,Sushi,positive
1048,Kodwa qiniseka ukuthi unendawo eyanele ekhadini lakho lesikweletu njengoba ibhili izoshiya i-dent enkulu esikhwameni sakho.,bill,negative
1051,ukudla kwakuphakathi kokuba nomusa - ingaphakathi lincane futhi liphakathi - abanikazi bayi-tag-team of unpleasantries - ngakho-ke i-rude ne-snotty i empeleni ikhiphe i-guffaw enenhliziyo ngenkathi idlela.,ingaphakathi,negative
1055,ukudla kwakuphakathi kokuba nomusa - ingaphakathi lincane futhi liphakathi - abanikazi bayi-tag-team of unpleasantries - ngakho-ke i-rude ne-snotty i empeleni ikhiphe i-guffaw enenhliziyo ngenkathi idlela.,yokudlela,neutral
1057,ukudla kwakuphakathi kokuba nomusa - ingaphakathi lincane futhi liphakathi - abanikazi bayi-tag-team of unpleasantries - ngakho-ke i-rude ne-snotty i empeleni ikhiphe i-guffaw enenhliziyo ngenkathi idlela.,abanikazi,negative
1061,ukudla kwakuphakathi kokuba nomusa - ingaphakathi lincane futhi liphakathi - abanikazi bayi-tag-team of unpleasantries - ngakho-ke i-rude ne-snotty i empeleni ikhiphe i-guffaw enenhliziyo ngenkathi idlela.,ukudla,negative
1065,Ukudla kwakubiza kakhulu kulokho okutholayo.,Isidlo,negative
1068,I- $ 72 Delmonico steak kwadingeka ibuyiselwe emuva ngoba ayizange iphekwe uku-oda.,Delmonico steak,negative
1071,I-Management yayingaphansi kwe-accomodating.,Ukuphathwa,negative
1074,Sihlale sithola inkonzo emangalisayo futhi siyakuthanda ukudla.,service,positive
1078,Sihlale sithola inkonzo emangalisayo futhi siyakuthanda ukudla.,ukudla,positive
1082,Ngibe nokudla okungcono kwaseJapane enkundleni yokudla yezitolo.,Ukudla kwaseJapane,negative
1085,Ukuhamba kokuqala endaweni kwakubonakala sengathi kuyi-ambience enkulu.,ambience,positive
1088,Ukuhamba kokuqala endaweni kwakubonakala sengathi kuyi-ambience enkulu.,indawo,positive
1090,Kodwa ukudla kwakubuhlungu kakhulu.,ukudla,negative
1093,Nga-oda i-Chicken Teriyaki futhi umyeni wami wathola i-Garlic Shrimp.,Garlic Shrimp,neutral
1095,Nga-oda i-Chicken Teriyaki futhi umyeni wami wathola i-Garlic Shrimp.,Inkukhu Teriyaki,neutral
1097,Inkukhu yami yomile ngokuphelele futhi ohlangothini olubandayo futhi isoso lalinganambitheki kakhulu.,sauce,negative
1101,Inkukhu yami yomile ngokuphelele futhi ohlangothini olubandayo futhi isoso lalinganambitheki kakhulu.,inkukhu,negative
1105,"Into eyodwa enhle engingakusho ukuthi insizakalo yayishesha, sahlala ngokushesha futhi iseva yayinobungane kakhulu.",service,positive
1109,"Into eyodwa enhle engingakusho ukuthi insizakalo yayishesha, sahlala ngokushesha futhi iseva yayinobungane kakhulu.",isiphakeli,positive
1113,Indlela imali eningi kakhulu isidlo esibi kangaka.,isidlo,negative
1116,Waba nesipiliyoni esikhulu ku-Trio ... abasebenzi kwakumnandi; ukudla kwakunambitheka futhi kukhulu ngosayizi wengxenye - ngingakuncoma kakhulu i-portobello / gorgonzola / isoseji appetizer kanye ne-lobster risotto.,lobster risotto,positive
1120,Waba nesipiliyoni esikhulu ku-Trio ... abasebenzi kwakumnandi; ukudla kwakunambitheka futhi kukhulu ngosayizi wengxenye - ngingakuncoma kakhulu i-portobello / gorgonzola / isoseji appetizer kanye ne-lobster risotto.,ukudla,positive
1124,Waba nesipiliyoni esikhulu ku-Trio ... abasebenzi kwakumnandi; ukudla kwakunambitheka futhi kukhulu ngosayizi wengxenye - ngingakuncoma kakhulu i-portobello / gorgonzola / isoseji appetizer kanye ne-lobster risotto.,portobello / gorgonzola / isoseji appetizer,positive
1128,Waba nesipiliyoni esikhulu ku-Trio ... abasebenzi kwakumnandi; ukudla kwakunambitheka futhi kukhulu ngosayizi wengxenye - ngingakuncoma kakhulu i-portobello / gorgonzola / isoseji appetizer kanye ne-lobster risotto.,abasebenzi,positive
1132,Waba nesipiliyoni esikhulu ku-Trio ... abasebenzi kwakumnandi; ukudla kwakunambitheka futhi kukhulu ngosayizi wengxenye - ngingakuncoma kakhulu i-portobello / gorgonzola / isoseji appetizer kanye ne-lobster risotto.,usayizi wengxenye,positive
1136,Inkonzo yayiqaphela kakhulu futhi inesisa kakhulu.,service,positive
1139,"Sasinamathani okudla okukhulu, iwayini nama-dessert.",iwayini,positive
1142,"Sasinamathani okudla okukhulu, iwayini nama-dessert.",ama-dessert,positive
1145,"Sasinamathani okudla okukhulu, iwayini nama-dessert.",ukudla,positive
1148,Isipiliyoni sokudlela esithandekayo ngempela phakathi nendawo ebhuza phakathi nedolobha.,isipiliyoni yokudlela,positive
1151,"Insizakalo ihlala inkulu, futhi umnikazi uhamba ukuze uqiniseke ukuthi uyajabulela.",umnikazi,positive
1153,"Insizakalo ihlala inkulu, futhi umnikazi uhamba ukuze uqiniseke ukuthi uyajabulela.",service,positive
1156,Sasihleli ngokushesha eduze kwe-dance floor.,dance floor,neutral
1158,"Umculo wawuthakazelisa, kodwa washiya indawo yokuxoxa, futhi i-bartender yenza iziphuzo ezihle kakhulu.",iziphuzo,positive
1162,"Umculo wawuthakazelisa, kodwa washiya indawo yokuxoxa, futhi i-bartender yenza iziphuzo ezihle kakhulu.",bartender,positive
1166,"Umculo wawuthakazelisa, kodwa washiya indawo yokuxoxa, futhi i-bartender yenza iziphuzo ezihle kakhulu.",umculo,positive
1170,Ukudla ngempela akukuhle kakhulu futhi inkonzo imbi kakhulu.,service,negative
