,am,aspect,polarities
794,ምግቡ በጣም ጥሩ ቢሆንም የበሰለው ምግብ ግን አስገረመን ።,ሱሺ,positive
798,ምግቡ በጣም ጥሩ ቢሆንም የበሰለው ምግብ ግን አስገረመን ።,ምግብ,positive
802,አስተናጋጁ ያስቸገረንን ትዕዛዝ የምንወስድበት ጊዜ ሲደርስ፣ ከሄድን በኋላ ወረቀትና ብዕር ይዘን ተመልሰን የፈለግነውን እንድንጽፍልን... ይቅርታ አድርጉልኝ እንጂ የእሱ ሥራ አይደለም???,አስተናጋጅ,negative
804,ከዚያም ሥራ አስኪያጁ የፈለግነውን ምግብ ማዘዝ እንደምንችል ነገረን ፤ ሆኖም በዚያን ጊዜ በአስተናጋጁና በአስተናጋጁ በጣም ከመበሳጨታችን የተነሳ ወደ ሌላ ቦታ ሄድን ።,አስተናጋጅ,negative
807,ከዚያም ሥራ አስኪያጁ የፈለግነውን ምግብ ማዘዝ እንደምንችል ነገረን ፤ ሆኖም በዚያን ጊዜ በአስተናጋጁና በአስተናጋጁ በጣም ከመበሳጨታችን የተነሳ ወደ ሌላ ቦታ ሄድን ።,ሜኑ,neutral
809,ከዚያም ሥራ አስኪያጁ የፈለግነውን ምግብ ማዘዝ እንደምንችል ነገረን ፤ ሆኖም በዚያን ጊዜ በአስተናጋጁና በአስተናጋጁ በጣም ከመበሳጨታችን የተነሳ ወደ ሌላ ቦታ ሄድን ።,ሥራ አስኪያጅ,neutral
811,ምግቡ ጣፋጭና በጣም የሚመከር ነው ።,ምግብ,positive
814,ምግዙ ሲደርስ በአረንጓዴ ብርድ ልብ ይሞላ ነበር፤ ይህ ደግሞ ሰው ሊበለው እንደማይችል የታወቀ ነው።,አረንጓዴ chillis,negative
818,ምግዙ ሲደርስ በአረንጓዴ ብርድ ልብ ይሞላ ነበር፤ ይህ ደግሞ ሰው ሊበለው እንደማይችል የታወቀ ነው።,dish,negative
822,ለአስተናጋጁ ከዚያም ለሥራ አስኪያጁ ቅሬታ አሰማራሁ ፤ ሆኖም የእነሱ አክብሮት የጎደለው ባሕርይ እየጨመረ መጣ ።,ሥራ አስኪያጅ,negative
825,ለአስተናጋጁ ከዚያም ለሥራ አስኪያጁ ቅሬታ አሰማራሁ ፤ ሆኖም የእነሱ አክብሮት የጎደለው ባሕርይ እየጨመረ መጣ ።,አስተናጋጅ,negative
828,በአገልግሎታቸውና በምግባቸው በጣም አዝኜ ነበር ።,አገልግሎት,negative
831,በአገልግሎታቸውና በምግባቸው በጣም አዝኜ ነበር ።,ምግብ,negative
834,ባለፈው ቅዳሜ የሄድኩ ሲሆን የተፈጨ ድንች የተጠበሰ የበግ ጠቦት እመገብ ነበር።,የተፈጨ ድንች የበግ ጠቦት,positive
836,ባለፈው ቅዳሜ የሄድኩ ሲሆን የተፈጨ ድንች የተጠበሰ የበግ ጠቦት እመገብ ነበር።,ምግብ,positive
839,"እኔ እና እኔ መካከል ቢያንስ 80% ሜኑ ናሙና አድርገናል, እና ሁሉም ተመቶች ነበሩ.",ሜኑ,positive
841,ዲኮ እና አማራ በጣም የፍቅር ስሜት ነበር።,ዴኮ,positive
844,ዲኮ እና አማራ በጣም የፍቅር ስሜት ነበር።,ambiance,positive
847,"እኔ በሦስቱም ቦታዎች በልቻለሁ እና ሁልጊዜ እወደዋለሁ, ምግቡን እወዳለሁ, አገልግሎቱ ሁልጊዜ አስደናቂ ነው እና ዋጋው በእርግጥ ምክንያታዊ ነው.",ዋጋዎች,positive
851,"እኔ በሦስቱም ቦታዎች በልቻለሁ እና ሁልጊዜ እወደዋለሁ, ምግቡን እወዳለሁ, አገልግሎቱ ሁልጊዜ አስደናቂ ነው እና ዋጋው በእርግጥ ምክንያታዊ ነው.",አገልግሎት,positive
855,"እኔ በሦስቱም ቦታዎች በልቻለሁ እና ሁልጊዜ እወደዋለሁ, ምግቡን እወዳለሁ, አገልግሎቱ ሁልጊዜ አስደናቂ ነው እና ዋጋው በእርግጥ ምክንያታዊ ነው.",ምግብ,positive
859,ጥሩ ጣዕም መቅመስ የምትፈልግ ከሆነ ጥሩ ልምድ ያለው የላቲን ምግብ በካባና ተመገብና ልትሳሳት አትችልም ።,የላቲን ምግብ,positive
862,በአትክልት ስፍራው ውስጥ ያለው ምግብ (ከጣፋጭ ምግቦች አንስቶ እስከ ምግቡ ድረስ) በጣም የተወደደ ነበር ።,የአትክልት ቦታ,positive
866,በአትክልት ስፍራው ውስጥ ያለው ምግብ (ከጣፋጭ ምግቦች አንስቶ እስከ ምግቡ ድረስ) በጣም የተወደደ ነበር ።,አገልግሎት,positive
870,በአትክልት ስፍራው ውስጥ ያለው ምግብ (ከጣፋጭ ምግቦች አንስቶ እስከ ምግቡ ድረስ) በጣም የተወደደ ነበር ።,ቅመማ ቅመማ,positive
874,በአትክልት ስፍራው ውስጥ ያለው ምግብ (ከጣፋጭ ምግቦች አንስቶ እስከ ምግቡ ድረስ) በጣም የተወደደ ነበር ።,ኢንችስ,positive
878,በአትክልት ስፍራው ውስጥ ያለው ምግብ (ከጣፋጭ ምግቦች አንስቶ እስከ ምግቡ ድረስ) በጣም የተወደደ ነበር ።,ምግብ,positive
882,ዩም፣ ዶሮ እዚህ ትልቅ ነው።,ዶሮ,positive
885,ጉዋክ አዲስ ቢሆንም ጣዕሙ ባይጎድለውም በውስጡ አዲስ ሳልሳ መጨመር እንፈልጋለን።,fresh ሳልሳ,neutral
887,ጉዋክ አዲስ ቢሆንም ጣዕሙ ባይጎድለውም በውስጡ አዲስ ሳልሳ መጨመር እንፈልጋለን።,ጣዕም,negative
890,የሞከርንበት ፋጂታ ጣዕም የሌለውና የተቃጠለ ከመሆኑም በላይ የሞሌው ስጐ በጣም ጣፋጭ ነበር።,fajita,negative
894,የሞከርንበት ፋጂታ ጣዕም የሌለውና የተቃጠለ ከመሆኑም በላይ የሞሌው ስጐ በጣም ጣፋጭ ነበር።,የሞሌ ስጐ,negative
898,ከተጠበሰው ዶሮ ጋር ቆይታ ደህና ትሆናለህ።,የተጠበሰ ዶሮ,positive
900,በዩናይትድ ስቴትስ ውስጥ እስከ ዛሬ ካጋጠምኳቸው ሁሉ የላቀ አገልግሎት ነበር ።,አገልግሎት,positive
903,ፌቱሲኖ አልፍሬዶ በጣም አስገራሚ ነበር ።,fettucino alfredo,positive
906,ከምግብ ቤት ሳምንት ውጪ እንኳ ዋጋው በጣም ከፍተኛ ነበር ።,ዋጋዎች,positive
909,ባርተሮቹና ሥራ አስኪያጃዎቹ በጣም ጥሩ ከመሆናቸውም በላይ ጌጣጌጡ በጣም አስደሳችና የተለመደ ነው።,አስተዳዳሪዎች,positive
913,ባርተሮቹና ሥራ አስኪያጃዎቹ በጣም ጥሩ ከመሆናቸውም በላይ ጌጣጌጡ በጣም አስደሳችና የተለመደ ነው።,ባርቴንደር,positive
917,ባርተሮቹና ሥራ አስኪያጃዎቹ በጣም ጥሩ ከመሆናቸውም በላይ ጌጣጌጡ በጣም አስደሳችና የተለመደ ነው።,décor,positive
921,መጠጡን፣ ኤስፕ ሊቺ ማርቲኒን እወዳለሁ፤ ምግቡም በጣም ጥሩ ነው።,መጠጦች,positive
925,መጠጡን፣ ኤስፕ ሊቺ ማርቲኒን እወዳለሁ፤ ምግቡም በጣም ጥሩ ነው።,ሊቼ ማርቲኒ,positive
929,መጠጡን፣ ኤስፕ ሊቺ ማርቲኒን እወዳለሁ፤ ምግቡም በጣም ጥሩ ነው።,ምግብ,positive
933,ሱሺው ዋጋው በጣም ውድና አዲስ ነው።,ዋጋ,positive
937,ሱሺው ዋጋው በጣም ውድና አዲስ ነው።,ሱሺ,positive
941,ለፈጣን የሱሺ ምሳ ጥሩ ነው።,sushi ምሳ,positive
944,በከተማ ውስጥ ምርጥ አስካርጎት ያላቸው ከመሆኑም በላይ ሁሌም ህጻናችንን ለማስተናገድ ይሞክራሉ።,ኤስካርጎት,positive
947,Appetizer እዚህ ግሩም ነው; በጣም ብዙ (ብዙ ወጪ የማይጠይቅ) ምግብ ልታደርግላቸው ትችላለህ ።,Appetizer,positive
951,Appetizer እዚህ ግሩም ነው; በጣም ብዙ (ብዙ ወጪ የማይጠይቅ) ምግብ ልታደርግላቸው ትችላለህ ።,ምግብ,positive
955,ቅመማ ቅመሞች ጎላ ብሎ ይታያሉ።,ቅመማ ቅመማ ቅመሞች,positive
958,ሞጂቶ ይኑርህና በጀርባው ግቢ ውስጥ ተቀመጥ።,የኋላ ግቢ,positive
960,ሞጂቶ ይኑርህና በጀርባው ግቢ ውስጥ ተቀመጥ።,ሞጂቶ,positive
962,የኩሽና ምግባቸው ጣፋጭ ቢሆንም ሱሺው ግን ከዚህ ዓለም ወጥቷል ።,የወጥ ቤት ምግብ,positive
966,የኩሽና ምግባቸው ጣፋጭ ቢሆንም ሱሺው ግን ከዚህ ዓለም ወጥቷል ።,ሱሺ,positive
970,ይህ ቦታ በጣም እንግዳ የሆነ የምግብ ዓይነት ያለው ሲሆን ምግብ ቤቶችም ምርጥ ምግቦችን ለማዘጋጀት በጣም ይቸግራሉ።,ሜኑ,negative
974,ይህ ቦታ በጣም እንግዳ የሆነ የምግብ ዓይነት ያለው ሲሆን ምግብ ቤቶችም ምርጥ ምግቦችን ለማዘጋጀት በጣም ይቸግራሉ።,ምግብ,negative
978,ወደዚያ በምሄድበት ጊዜ ሁሉ የምበላውን ነገር ልመርጥ አልችልም እንጂ ምግቡ በታላቅ ነገር ስለሞላ አይደለም።,ሜኑ,negative
980,ሁልጊዜ አስተናጋጁን በሜኑ ላይ ካለው የተለየና የተለየ ነገር እንዲያደርግ እጠይቃለሁ ።,አስተናጋጅ,neutral
982,ሁልጊዜ አስተናጋጁን በሜኑ ላይ ካለው የተለየና የተለየ ነገር እንዲያደርግ እጠይቃለሁ ።,ሜኑ,neutral
984,ምግብ ቤቱ ራሱ ጥሩ ቢሆንም ምግቡን ላለመብላት እመርጣለሁ ።,ምግብ,negative
986,ይህች ትንሽ ቦታ ሞቅ ያለ አቀባበል አደረገች።,ቦታ,positive
989,አስተናጋጁ (ባለቤት) እና ሰርቨሮች ተምሳሌትና አሳቢ ናቸው።,አስተናጋጅ (ባለቤት),positive
991,አስተናጋጁ (ባለቤት) እና ሰርቨሮች ተምሳሌትና አሳቢ ናቸው።,ሰርቨሮች,positive
994,ምግቡም፣ ምግቡም ተመልሰህ እንድትመጣ ይጠብቅሃል።,ምግብ,positive
996,ምግቡም፣ ምግቡም ተመልሰህ እንድትመጣ ይጠብቅሃል።,ምግብ,positive
998,በቤት የተሰሩ ፓስታዎች ሁሉ አሏቸው። ግኖቺን እመክራለሁ። ዩም!,የቤት ውስጥ ፓስታዎች,positive
1000,በቤት የተሰሩ ፓስታዎች ሁሉ አሏቸው። ግኖቺን እመክራለሁ። ዩም!,ግኖኪ,positive
1003,በተጨማሪም ሽሪምፕ (አፒቲዘር) ያላት ጫጩት አተር መለኮታዊ ነው።,ጫጩት አተር ከሽሪምፕ ጋር (appetizer),positive
1005,mojitos እና አገልግሎቱ በዚያ ውስጥ ምርጥ ክፍል ናቸው,ሞጂቶስ,positive
1008,mojitos እና አገልግሎቱ በዚያ ውስጥ ምርጥ ክፍል ናቸው,አገልግሎት,positive
1011,አገልግሎትም ሆነ ከባቢ አየር ጥሩ ነበሩ ።,አገልግሎት,positive
1014,አገልግሎትም ሆነ ከባቢ አየር ጥሩ ነበሩ ።,ከባቢ አየር,positive
1017,እኔም ሆንኩ ሁለታችንም ብራንዚኒን አዘዝን፤ ሁለቱም ዓሣው በአማካይ እንደሆነ ተሰማቸው።,ዓሣ,negative
1020,እኔም ሆንኩ ሁለታችንም ብራንዚኒን አዘዝን፤ ሁለቱም ዓሣው በአማካይ እንደሆነ ተሰማቸው።,ብራንዚኒ,neutral
1023,ምግቡ በአጠቃላይ ጥሩ ነበር ። ,ምግብ,positive
1026,የቄዛው ሰላጣ በጣም ብዙ ነበር ።,caeser ሰላጣ,positive
1029,የተጠበበው ካላማሪ ደግሞ የተሻለ ነበር!,የተጠበሰ ካላማሪ,positive
1032,ምግቡ በጣም አሳዝኖኝ ነበር ።,ምግብ,negative
1035,የሚያገለግሉት ሙዝ ፑዲንግ ምድጃ አይቶ አያውቅም፤ ክራፕኬክ ጨዋማ ከመሆኑም በላይ በጣም ቅባት ባለው ማክና አይብ ላይ እንድጀምር አያደርጉኝም።,ማክ እና ጅብ,negative
1039,የሚያገለግሉት ሙዝ ፑዲንግ ምድጃ አይቶ አያውቅም፤ ክራፕኬክ ጨዋማ ከመሆኑም በላይ በጣም ቅባት ባለው ማክና አይብ ላይ እንድጀምር አያደርጉኝም።,ክራብኬክ,negative
1043,የሚያገለግሉት ሙዝ ፑዲንግ ምድጃ አይቶ አያውቅም፤ ክራፕኬክ ጨዋማ ከመሆኑም በላይ በጣም ቅባት ባለው ማክና አይብ ላይ እንድጀምር አያደርጉኝም።,ሙዝ ፑዲንግ,negative
1045,ሱሺ በጣም ንጹሕ ከመሆኑ የተነሳ በአፍህ ውስጥ ይቆራረጣል።,ሱሺ,positive
1048,ይሁን እንጂ በክሬዲት ካርድህ ላይ በቂ ቦታ እንዳለህ አረጋግጥ፤ ይህ ደግሞ በኪስ ቦርሳህ ውስጥ ትልቅ ጥርስ እንዲኖርህ ያደርጋል።,ቢል,negative
1051,ምግቡ መካከለኛ ነበር - ውስጠኛው ክፍል ትንሽ እና መካከለኛ ነው - ባለቤቶቹ ደስ የማይሉ እና የማይረባ ቡድኖች ናቸው - በጣም ጨዋነት የጎደለው እና የተንቆጠቆጠ ምግብ በምበላበት ጊዜ ከልብ የመነጨ ጉፋ እለቃለሁ።,ውስጠኛው ክፍል,negative
1055,ምግቡ መካከለኛ ነበር - ውስጠኛው ክፍል ትንሽ እና መካከለኛ ነው - ባለቤቶቹ ደስ የማይሉ እና የማይረባ ቡድኖች ናቸው - በጣም ጨዋነት የጎደለው እና የተንቆጠቆጠ ምግብ በምበላበት ጊዜ ከልብ የመነጨ ጉፋ እለቃለሁ።,ማዕድ,neutral
1057,ምግቡ መካከለኛ ነበር - ውስጠኛው ክፍል ትንሽ እና መካከለኛ ነው - ባለቤቶቹ ደስ የማይሉ እና የማይረባ ቡድኖች ናቸው - በጣም ጨዋነት የጎደለው እና የተንቆጠቆጠ ምግብ በምበላበት ጊዜ ከልብ የመነጨ ጉፋ እለቃለሁ።,ባለቤቶች,negative
1061,ምግቡ መካከለኛ ነበር - ውስጠኛው ክፍል ትንሽ እና መካከለኛ ነው - ባለቤቶቹ ደስ የማይሉ እና የማይረባ ቡድኖች ናቸው - በጣም ጨዋነት የጎደለው እና የተንቆጠቆጠ ምግብ በምበላበት ጊዜ ከልብ የመነጨ ጉፋ እለቃለሁ።,ምግብ,negative
1065,ለምታገኙት ምግብ በጣም ውድ ነበር ።,ምግብ,negative
1068,72 የአሜሪካ ዶላር የሆነው የዴልሞኒኮ ስቴክ ለማዘዝ ስላልተጋገረ ተመልሶ መላክ ነበረበት ።,ዴልሞኒኮ ስቴክ,negative
1071,ማኔጅመንቱ ከማስተናገድ ያነሰ ነበር።,አስተዳደር,negative
1074,ሁልጊዜ አስደናቂ አገልግሎት አግኝተናል እናም ምግቡን እንወዳለን።,አገልግሎት,positive
1078,ሁልጊዜ አስደናቂ አገልግሎት አግኝተናል እናም ምግቡን እንወዳለን።,ምግብ,positive
1082,በገበያ አዳራሽ ውስጥ የተሻለ የጃፓን ምግብ አግኝቻለሁ።,የጃፓን ምግብ,negative
1085,በመጀመሪያ ቦታው ላይ መጓዝ በጣም አስደሳች ይመስል ነበር ።,አማርኛ,positive
1088,በመጀመሪያ ቦታው ላይ መጓዝ በጣም አስደሳች ይመስል ነበር ።,ቦታ,positive
1090,ይሁን እንጂ ምግቡ በጣም ከባድ ነበር ።,ምግብ,negative
1093,ዶሮ ቴሪያኪ ና ባለቤቴ ነጭ ሽንኩርት ሽሪምፕ እንዲደርሰው አዘዝኩ ።,ነጭ ሽንኩርት ሽሪምፕ,neutral
1095,ዶሮ ቴሪያኪ ና ባለቤቴ ነጭ ሽንኩርት ሽሪምፕ እንዲደርሰው አዘዝኩ ።,ዶሮ ቴሪያኪ,neutral
1097,ዶሮዬ ሙሉ በሙሉ የደረቀ ሲሆን በቀዝቃዛው አካባቢ ደግሞ ስጎው ያን ያህል ጣፋጭ አልነበረም ።,ስጋ,negative
1101,ዶሮዬ ሙሉ በሙሉ የደረቀ ሲሆን በቀዝቃዛው አካባቢ ደግሞ ስጎው ያን ያህል ጣፋጭ አልነበረም ።,ዶሮ,negative
1105,ልለው የምችለው አንድ አዎንታዊ ነገር አገልግሎቱ ፈጣን ነበር፣ ወዲያው ተቀምጠናል እናም ሰርቨሩ በጣም ተግባቢ ነበር።,አገልግሎት,positive
1109,ልለው የምችለው አንድ አዎንታዊ ነገር አገልግሎቱ ፈጣን ነበር፣ ወዲያው ተቀምጠናል እናም ሰርቨሩ በጣም ተግባቢ ነበር።,ሰርቨር,positive
1113,እንዲህ ላለው አስከፊ ምግብ በጣም ብዙ ገንዘብ ማግኘት ይቻላል።,ምግብ,negative
1116,በትሪዮ ታላቅ ተሞክሮ ነበረኝ ... በትር ደስ የሚል ነበር፤ ምግብ ጣፋጭ እና በከፊል መጠን ትልቅ ነበር - እኔ በጣም ፖርቶቤሎ/gorgonzola/sausage ግብይት እና ሎብስተር ሪዞቶ በጣም እመክራለሁ.,ሎብስተር ሪሶቶ,positive
1120,በትሪዮ ታላቅ ተሞክሮ ነበረኝ ... በትር ደስ የሚል ነበር፤ ምግብ ጣፋጭ እና በከፊል መጠን ትልቅ ነበር - እኔ በጣም ፖርቶቤሎ/gorgonzola/sausage ግብይት እና ሎብስተር ሪዞቶ በጣም እመክራለሁ.,ምግብ,positive
1124,በትሪዮ ታላቅ ተሞክሮ ነበረኝ ... በትር ደስ የሚል ነበር፤ ምግብ ጣፋጭ እና በከፊል መጠን ትልቅ ነበር - እኔ በጣም ፖርቶቤሎ/gorgonzola/sausage ግብይት እና ሎብስተር ሪዞቶ በጣም እመክራለሁ.,ፖርቶቤሎ/gorgonzola/sausage aspetizer,positive
1128,በትሪዮ ታላቅ ተሞክሮ ነበረኝ ... በትር ደስ የሚል ነበር፤ ምግብ ጣፋጭ እና በከፊል መጠን ትልቅ ነበር - እኔ በጣም ፖርቶቤሎ/gorgonzola/sausage ግብይት እና ሎብስተር ሪዞቶ በጣም እመክራለሁ.,በትር,positive
1132,በትሪዮ ታላቅ ተሞክሮ ነበረኝ ... በትር ደስ የሚል ነበር፤ ምግብ ጣፋጭ እና በከፊል መጠን ትልቅ ነበር - እኔ በጣም ፖርቶቤሎ/gorgonzola/sausage ግብይት እና ሎብስተር ሪዞቶ በጣም እመክራለሁ.,የድርሻ መጠን,positive
1136,አገልግሎቱ በትኩረት የሚከናነብና ለጋስ ነበር ።,አገልግሎት,positive
1139,ብዙ ቶን የሚመዝን ምግብ፣ የወይን ጠጅና ጣፋጭ ምግብ ነበረን።,ወይን ጠጅ,positive
1142,ብዙ ቶን የሚመዝን ምግብ፣ የወይን ጠጅና ጣፋጭ ምግብ ነበረን።,ጣፋጭ ምግብ,positive
1145,ብዙ ቶን የሚመዝን ምግብ፣ የወይን ጠጅና ጣፋጭ ምግብ ነበረን።,ምግብ,positive
1148,በመሃል ከተማ በሚናወጥ አካባቢ በጣም ደስ የሚያሰኝ የመምገጃ ተሞክሮ።,የመምገኛ ልምድ,positive
1151,አገልግሎቱ ምንጊዜም በጣም አስደሳች ከመሆኑም በላይ ባለቤትህ ደስ ይልህ ዘንድ ይዞራል ።,ባለቤት,positive
1153,አገልግሎቱ ምንጊዜም በጣም አስደሳች ከመሆኑም በላይ ባለቤትህ ደስ ይልህ ዘንድ ይዞራል ።,አገልግሎት,positive
1156,ወዲያው በዳንስ ወለሉ አቅራቢያ ተቀመጥን ።,የዳንስ ወለል,neutral
1158,ሙዚቃው በጣም አስደሳች ቢሆንም ለጭውውት የሚሆን ቦታ ስለቀረ ባርቴንደር ምርጦች ይጠጡ ነበር።,መጠጦች,positive
1162,ሙዚቃው በጣም አስደሳች ቢሆንም ለጭውውት የሚሆን ቦታ ስለቀረ ባርቴንደር ምርጦች ይጠጡ ነበር።,ባርቴንደር,positive
1166,ሙዚቃው በጣም አስደሳች ቢሆንም ለጭውውት የሚሆን ቦታ ስለቀረ ባርቴንደር ምርጦች ይጠጡ ነበር።,ሙዚቃ,positive
1170,ምግቡ በጣም ጥሩ አይደለም እናም አገልግሎቱ በጣም አስከፊ ነው።,አገልግሎት,negative
1174,ምግቡ በጣም ጥሩ አይደለም እናም አገልግሎቱ በጣም አስከፊ ነው።,ምግብ,negative
1178,ምግቡ በጣም ጥሩ ስለነበረ እና ሠራተኞቹ ተግባቢ፣ ጨዋ እና ውጤታማ እንደሆኑ በመሆኔ ደስተኛ ነኝ።,በትር,positive
1182,ምግቡ በጣም ጥሩ ስለነበረ እና ሠራተኞቹ ተግባቢ፣ ጨዋ እና ውጤታማ እንደሆኑ በመሆኔ ደስተኛ ነኝ።,ምግብ,positive
1186,መጥፎ ምግብ (ወይም መጥፎ አገልግሎት አግኝቼ አላውቅም)@ PIGALLE.,አገልግሎት,positive
1188,መጥፎ ምግብ (ወይም መጥፎ አገልግሎት አግኝቼ አላውቅም)@ PIGALLE.,ምግብ,positive
1190,ይህም ምግቡ ንጹሕ እንዳልሆነ ግልጽ አደረገ፤ ከእጅ በፊት እንደተሠራና እንደገና እንደሚሞቅ ግልጽ ነው ።,ምግብ,negative
1193,ሥራ በሚበዛበት ሰዓት፣ እንድትቆዩ እመክሩላችኋለሁ።,የቀበሌ,neutral
1196,ይሁን እንጂ የእነሱ ማክ አይብ ዩሚ ነበር!,ማክ ጅብ,positive
1199,የምራቃቸው ምግብ ለሁሉም የሚሆን ነገር ነበረው ።,የምጣድ ማውጫ,positive
1201,የጃዝ ዘፋኝ ጥሩ ድምፅ ነበረው+ ሁላችንም እንድንጨፍር አደረገችን።,የጃዝ ዘፋኝ,positive
1204,መጥፎ ከፍተኛ ዋጋ ያለው ምግብ ለማግኘት መፈለግዎ የghetto መልክዓ ምህዳራዊ ርካሽ BX A $$ ይህ ቦታ ነው!!,መልክዓ ምህዳሩ,negative
1206,መጥፎ ከፍተኛ ዋጋ ያለው ምግብ ለማግኘት መፈለግዎ የghetto መልክዓ ምህዳራዊ ርካሽ BX A $$ ይህ ቦታ ነው!!,ምግብ,negative
1210,መጥፎ ከፍተኛ ዋጋ ያለው ምግብ ለማግኘት መፈለግዎ የghetto መልክዓ ምህዳራዊ ርካሽ BX A $$ ይህ ቦታ ነው!!,ዋጋ,negative
1214,አገልግሎቱ ወዲያውኑ ተግባቢ ነው ።,አገልግሎት,positive
1217,በዱምፖ የሥነ ጥበብ በዓል ላይ እያለን ይህን ምግብ ቤት በአጋጣሚ ያገኘነው ሲሆን ምግባችንንም በጣም ደስ አሰኝቶናል።,ምግብ,positive
1220,ምግቡ ሙሉ በሙሉ ንጹሕ የሆነ የጣሊያን ምግብ ነበር ።,ጣልያንኛ ምግብ,positive
1224,ምግቡ ሙሉ በሙሉ ንጹሕ የሆነ የጣሊያን ምግብ ነበር ።,ምግብ,positive
1228,ይህ አገልግሎት በጣም አስደናቂ ነበር ።,አገልግሎት,positive
1231,ስለዚህ ሆት ዶግ የሚናገሩ አንዳንድ ሰዎች ስለ ምን እንደሚናገሩ አላውቅም።,ሆት ዶግ,negative
1233,ይህ እስከ ዛሬ ካጋጠምኳቸው ሆትዶግዎች ሁሉ የከፋ እንደሆነ ምንም ጥርጥር የለውም ።,ሆትዶግ,negative
1236,"ከታላላቅ ሆት ውሾች በተጨማሪ, DOTP እንደ tator tots እና እንግሊዘኛ ሙፊኖች ያሉ ታላላቅ ነገሮች በተጨማሪ, ጣፋጭ NJ ላይ የተመሠረተ የአሳማ ምርት ለእኛ ጀርሲ ልጃገረዶች እና ወንዶች ልጆች እንደ ቴይለር ሃም ያውቁልናል.",እንግሊዝኛ muffins,positive
1240,"ከታላላቅ ሆት ውሾች በተጨማሪ, DOTP እንደ tator tots እና እንግሊዘኛ ሙፊኖች ያሉ ታላላቅ ነገሮች በተጨማሪ, ጣፋጭ NJ ላይ የተመሠረተ የአሳማ ምርት ለእኛ ጀርሲ ልጃገረዶች እና ወንዶች ልጆች እንደ ቴይለር ሃም ያውቁልናል.",ቴይለር ካም,positive
1242,"ከታላላቅ ሆት ውሾች በተጨማሪ, DOTP እንደ tator tots እና እንግሊዘኛ ሙፊኖች ያሉ ታላላቅ ነገሮች በተጨማሪ, ጣፋጭ NJ ላይ የተመሠረተ የአሳማ ምርት ለእኛ ጀርሲ ልጃገረዶች እና ወንዶች ልጆች እንደ ቴይለር ሃም ያውቁልናል.",የአሳማ ምርት,positive
1246,"ከታላላቅ ሆት ውሾች በተጨማሪ, DOTP እንደ tator tots እና እንግሊዘኛ ሙፊኖች ያሉ ታላላቅ ነገሮች በተጨማሪ, ጣፋጭ NJ ላይ የተመሠረተ የአሳማ ምርት ለእኛ ጀርሲ ልጃገረዶች እና ወንዶች ልጆች እንደ ቴይለር ሃም ያውቁልናል.",tator tots,positive
1250,"ከታላላቅ ሆት ውሾች በተጨማሪ, DOTP እንደ tator tots እና እንግሊዘኛ ሙፊኖች ያሉ ታላላቅ ነገሮች በተጨማሪ, ጣፋጭ NJ ላይ የተመሠረተ የአሳማ ምርት ለእኛ ጀርሲ ልጃገረዶች እና ወንዶች ልጆች እንደ ቴይለር ሃም ያውቁልናል.",ሆት ውሾች,positive
1254,"ከታላላቅ ሆት ውሾች በተጨማሪ, DOTP እንደ tator tots እና እንግሊዘኛ ሙፊኖች ያሉ ታላላቅ ነገሮች በተጨማሪ, ጣፋጭ NJ ላይ የተመሠረተ የአሳማ ምርት ለእኛ ጀርሲ ልጃገረዶች እና ወንዶች ልጆች እንደ ቴይለር ሃም ያውቁልናል.",ቁርስ ሳንድዊች,positive
1258,የተጠበሱ ምግቦችን በተመለከተ የሰጡት አስተያየት ትክክል ነው (ከታች) ፤ ሌሎቹ ምግቦች ደግሞ የበግ ኢንትራእና ብዙዎቹን ሰላጣዎች (አቮካዶ ሽሪምፕ) ጨምሮ በጣም ጥሩ ነበሩ ።,የተጠበሱ ምግቦች,negative
1260,የተጠበሱ ምግቦችን በተመለከተ የሰጡት አስተያየት ትክክል ነው (ከታች) ፤ ሌሎቹ ምግቦች ደግሞ የበግ ኢንትራእና ብዙዎቹን ሰላጣዎች (አቮካዶ ሽሪምፕ) ጨምሮ በጣም ጥሩ ነበሩ ።,ሰላጣ (አቮካዶ ሽሪምፕ),positive
1262,የተጠበሱ ምግቦችን በተመለከተ የሰጡት አስተያየት ትክክል ነው (ከታች) ፤ ሌሎቹ ምግቦች ደግሞ የበግ ኢንትራእና ብዙዎቹን ሰላጣዎች (አቮካዶ ሽሪምፕ) ጨምሮ በጣም ጥሩ ነበሩ ።,የምጣኔ ሃሳቦች,positive
1265,የተጠበሱ ምግቦችን በተመለከተ የሰጡት አስተያየት ትክክል ነው (ከታች) ፤ ሌሎቹ ምግቦች ደግሞ የበግ ኢንትራእና ብዙዎቹን ሰላጣዎች (አቮካዶ ሽሪምፕ) ጨምሮ በጣም ጥሩ ነበሩ ።,ጠቦት entrée,positive
1268,በመጠኑም ቢሆን ተስፋ አስቆራጭ የወይን ጠጅ ዝርዝር (አዲስ የወይን ጠጅ ብቻ ነው።,የወይን ተክል,negative
1270,በመጠኑም ቢሆን ተስፋ አስቆራጭ የወይን ጠጅ ዝርዝር (አዲስ የወይን ጠጅ ብቻ ነው።,የወይን ጠጅ ዝርዝር,negative
1273,ይሁን እንጂ ዋጋው አነስተኛ ከሆነ ቡድን ጋር አስደሳች ምሽት ማሳለፍ በጣም ርካሽ ነበር ።,ዋጋ,positive
