,ln,aspect,polarities
564,Mosali na biso ya restora azalaki na boboto mpe eza mawa ndenge azalaki te na bato ya mosala oyo bazalaki kosunga bango mpo na kosala na bango.,Basali,negative
566,Mosali na biso ya restora azalaki na boboto mpe eza mawa ndenge azalaki te na bato ya mosala oyo bazalaki kosunga bango mpo na kosala na bango.,Ozateur,positive
569,Nakendaki na restora pɔsɔ mpe nasɛngaki nabimisa menu ya kobongisa prix,prix fixe menu,neutral
571,Bato oyo bazalaki kozela bazalaki kotya likebi mingi mpe na bonkonde.,Kozela ya bato ya mosala,positive
574,Carte ya fromage ya Portugal oyo baponi na mayele nyonso oyo basangisi na libongo ya malamu epesaka suka ya Iberian ya kokoka.,Cart ya fromage ya Portugal,positive
578,Carte ya fromage ya Portugal oyo baponi na mayele nyonso oyo basangisi na libongo ya malamu epesaka suka ya Iberian ya kokoka.,port,positive
582,"Atako ezalaki monene mpe ezalaki na makɛlɛlɛ mingi, masanga yango ezalaki kitoko mpenza, mpe bilei yango ezalaki kitoko mpenza.",masanga,positive
586,"Atako ezalaki monene mpe ezalaki na makɛlɛlɛ mingi, masanga yango ezalaki kitoko mpenza, mpe bilei yango ezalaki kitoko mpenza.",bilei,positive
590,Ntalo na yango ezali mabe te.,talo,positive
593,"Mosala yango ezalaki monene, mpe bazali na makambo mingi mpo na mikolo ya kobotama.",mosala,positive
596,"Bantango mosusu nakendeki eza date ya bolingo na likolo, okoki kotambola na kati ya kozwa booth pembeni ya maninisa, kotalelama lokola VIP na esika oyo bato batondaka te, eza na bilei ya malamu mpe mosala.",mosala,positive
600,"Bantango mosusu nakendeki eza date ya bolingo na likolo, okoki kotambola na kati ya kozwa booth pembeni ya maninisa, kotalelama lokola VIP na esika oyo bato batondaka te, eza na bilei ya malamu mpe mosala.",bilei,positive
604,"Bantango mosusu nakendeki eza date ya bolingo na likolo, okoki kotambola na kati ya kozwa booth pembeni ya maninisa, kotalelama lokola VIP na esika oyo bato batondaka te, eza na bilei ya malamu mpe mosala.",ya pas de windows,neutral
606,"Bantango mosusu nakendeki eza date ya bolingo na likolo, okoki kotambola na kati ya kozwa booth pembeni ya maninisa, kotalelama lokola VIP na esika oyo bato batondaka te, eza na bilei ya malamu mpe mosala.",Esika,positive
610,"Veggies ya sika, lolenge nyonso ya bopalangani ya moyen-orient, fromage na falafel, supu, mbisi, loso, ndunda ya misisa, medley ya loso, mwa eloko ya épinard, kebabs ya mwana mpate, baclava ya fromage... Gros bisous et bon tout.",fromage,positive
613,"Veggies ya sika, lolenge nyonso ya bopalangani ya moyen-orient, fromage na falafel, supu, mbisi, loso, ndunda ya misisa, medley ya loso, mwa eloko ya épinard, kebabs ya mwana mpate, baclava ya fromage... Gros bisous et bon tout.",Fresh veggies,positive
614,"Veggies ya sika, lolenge nyonso ya bopalangani ya moyen-orient, fromage na falafel, supu, mbisi, loso, ndunda ya misisa, medley ya loso, mwa eloko ya épinard, kebabs ya mwana mpate, baclava ya fromage... Gros bisous et bon tout.",mbisi,positive
617,"Veggies ya sika, lolenge nyonso ya bopalangani ya moyen-orient, fromage na falafel, supu, mbisi, loso, ndunda ya misisa, medley ya loso, mwa eloko ya épinard, kebabs ya mwana mpate, baclava ya fromage... Gros bisous et bon tout.",Kobo,positive
620,"Veggies ya sika, lolenge nyonso ya bopalangani ya moyen-orient, fromage na falafel, supu, mbisi, loso, ndunda ya misisa, medley ya loso, mwa eloko ya épinard, kebabs ya mwana mpate, baclava ya fromage... Gros bisous et bon tout.",root vegetables,positive
625,"Veggies ya sika, lolenge nyonso ya bopalangani ya moyen-orient, fromage na falafel, supu, mbisi, loso, ndunda ya misisa, medley ya loso, mwa eloko ya épinard, kebabs ya mwana mpate, baclava ya fromage... Gros bisous et bon tout.",Rice medley,positive
628,"Veggies ya sika, lolenge nyonso ya bopalangani ya moyen-orient, fromage na falafel, supu, mbisi, loso, ndunda ya misisa, medley ya loso, mwa eloko ya épinard, kebabs ya mwana mpate, baclava ya fromage... Gros bisous et bon tout.",eloko ya épinard,positive
631,"Veggies ya sika, lolenge nyonso ya bopalangani ya moyen-orient, fromage na falafel, supu, mbisi, loso, ndunda ya misisa, medley ya loso, mwa eloko ya épinard, kebabs ya mwana mpate, baclava ya fromage... Gros bisous et bon tout.",falafel,positive
634,"Veggies ya sika, lolenge nyonso ya bopalangani ya moyen-orient, fromage na falafel, supu, mbisi, loso, ndunda ya misisa, medley ya loso, mwa eloko ya épinard, kebabs ya mwana mpate, baclava ya fromage... Gros bisous et bon tout.",Moyen-Orient epanzani,positive
637,"Veggies ya sika, lolenge nyonso ya bopalangani ya moyen-orient, fromage na falafel, supu, mbisi, loso, ndunda ya misisa, medley ya loso, mwa eloko ya épinard, kebabs ya mwana mpate, baclava ya fromage... Gros bisous et bon tout.",kebabs ya mwana mpate,positive
640,"Veggies ya sika, lolenge nyonso ya bopalangani ya moyen-orient, fromage na falafel, supu, mbisi, loso, ndunda ya misisa, medley ya loso, mwa eloko ya épinard, kebabs ya mwana mpate, baclava ya fromage... Gros bisous et bon tout.",Supu,positive
643,"Veggies ya sika, lolenge nyonso ya bopalangani ya moyen-orient, fromage na falafel, supu, mbisi, loso, ndunda ya misisa, medley ya loso, mwa eloko ya épinard, kebabs ya mwana mpate, baclava ya fromage... Gros bisous et bon tout.",fromage baclava,positive
646,"Veggies ya sika, lolenge nyonso ya bopalangani ya moyen-orient, fromage na falafel, supu, mbisi, loso, ndunda ya misisa, medley ya loso, mwa eloko ya épinard, kebabs ya mwana mpate, baclava ya fromage... Gros bisous et bon tout.",loso,positive
649,"Kosala malembe na mosala, kasi ntango ozali kotambolatambola na bituluku ya bato 10 to 20, nani mpenza amonaka yango?",mosala,negative
652,Service ya mabe mpenza oyo namoná na yango mpe bilei ezalaki na nse ya mwayene (ntango bazalaki mpenza kopesa bato bilei oyo basɛngaki).,mosala,negative
656,Service ya mabe mpenza oyo namoná na yango mpe bilei ezalaki na nse ya mwayene (ntango bazalaki mpenza kopesa bato bilei oyo basɛngaki).,bilei,neutral
658,Service ya mabe mpenza oyo namoná na yango mpe bilei ezalaki na nse ya mwayene (ntango bazalaki mpenza kopesa bato bilei oyo basɛngaki).,bilei,negative
662,Kozela ngonga misato liboso ya kozwa banzete na biso ezalaki mpe esengo.,LOPANGO,neutral
664,Kozela ngonga misato liboso ya kozwa banzete na biso ezalaki mpe esengo.,Kozela,negative
666,Bilei eza consistant mpe eza malamu kasi ndenge nini ezwaki nkombo ya Best Diner In Manhattan eleki ngai.,bilei,positive
669,"Mpo na koyokana mabe mingi te, kasi zalá ekɛngɛ na biloko ya kitoko.",DELIVARY,negative
672,"Mpo na koloba solo, bilei eza kaka malamu mpe mosala ezalaka noki mpe na likebi ata soki mbala mingi ezalaka na makambo mingi ya kosala.",mosala,positive
676,"Mpo na koloba solo, bilei eza kaka malamu mpe mosala ezalaka noki mpe na likebi ata soki mbala mingi ezalaka na makambo mingi ya kosala.",bilei,positive
680,"Service eza malamu mingi, kozela te, mpe ozwaka mingi mpona ntalo.",Mosala,positive
684,"Service eza malamu mingi, kozela te, mpe ozwaka mingi mpona ntalo.",Zelá,positive
688,"Service eza malamu mingi, kozela te, mpe ozwaka mingi mpona ntalo.",talo,positive
690,Bato oyo basalaka na restora bazalaka na boboto mingi mpe makaroni ezali lisusu na mokili oyo te.,MAKARONI,positive
694,Bato oyo basalaka na restora bazalaka na boboto mingi mpe makaroni ezali lisusu na mokili oyo te.,Waiters,positive
698,Ezali esengo ebombami mobimba na bar ya quaint mpe bilei ya malamu.,bilei,positive
702,Ezali esengo ebombami mobimba na bar ya quaint mpe bilei ya malamu.,BAR,positive
706,Ezali esika moko kitoko mpo na kokende elongo na baninga mibale.,Esika,positive
709,Nasepelaka mingimingi na sandwiche na bango ya crabe ya shell ya pete oyo eza na fries.,Sandwich ya crabe ya mposo ya pete na bafries,positive
712,"Mpo na appetizer, Calmari na bango alongi.",appetizer,neutral
715,"Mpo na appetizer, Calmari na bango alongi.",calamari,positive
718,"Mapango ya minene, mosala ya monene mpe ya likebi, mpe talo ya malamu mpenza.",biteni,positive
722,"Mapango ya minene, mosala ya monene mpe ya likebi, mpe talo ya malamu mpenza.",mosala,positive
726,"Mapango ya minene, mosala ya monene mpe ya likebi, mpe talo ya malamu mpenza.",talo,positive
730,Malili ya malili kasi kokitisa motema ya ndenge wana.,atmosphere,positive
733,Moto na biso ya restora azalaki nsɔmɔ; bisous et sans yeux.,Ozateur,negative
736,"Mai ya sangria, oyo ezali na mai mingi.",Sangria,negative
739,"menu - non, moke.",menu,negative
742,Bilei - ezali na motuya te na ntalo na yango.,talo,negative
745,Bilei - ezali na motuya te na ntalo na yango.,bilei,negative
748,"Ata ntango molambi azali na ndako te, bilei mpe mosala ezalaka mpenza na target.",mosala,positive
751,"Ata ntango molambi azali na ndako te, bilei mpe mosala ezalaka mpenza na target.",bilei,positive
754,"Ata ntango molambi azali na ndako te, bilei mpe mosala ezalaka mpenza na target.",chef,neutral
756,"Lokola nalambaka mpo na kobikela, nazalaka mpenza fussy mpo na bilei oyo nalyaka na malewa.",bilei,neutral
759,Chef Waldy's amekaka ntango nyonso.,Molambi,positive
761,"Meka ko meka Smokey Smokey ... Chops ya mpate, Veal Chops, Lapin, père de l'eau de terre, na likolo mpe na ...",Chops ya mwana mpate,positive
764,"Meka ko meka Smokey Smokey ... Chops ya mpate, Veal Chops, Lapin, père de l'eau de terre, na likolo mpe na ...",Mbuma ya vinyo ya mbálá,positive
767,"Meka ko meka Smokey Smokey ... Chops ya mpate, Veal Chops, Lapin, père de l'eau de terre, na likolo mpe na ...",Smoked Trout,positive
770,"Meka ko meka Smokey Smokey ... Chops ya mpate, Veal Chops, Lapin, père de l'eau de terre, na likolo mpe na ...",lapin,positive
773,"Meka ko meka Smokey Smokey ... Chops ya mpate, Veal Chops, Lapin, père de l'eau de terre, na likolo mpe na ...",Veal Chops,positive
776,Moko te ya makambo oyo baponaka na menu.,menu,positive
779,Nkolo mpe basali basalaka nyonso mpo omiyoka malamu.,nkolo,positive
781,Nkolo mpe basali basalaka nyonso mpo omiyoka malamu.,Basali,positive
783,Tuná mesa ya songe ya libungutulu pembeni ya lininisa ya monene.,Mesa ya songe pembeni ya lininisa ya monene,positive
785,Nani alobaki ete soki esika yango ezali kimya na moi?,Esika,neutral
787,"Eza mingi te yango wana, kasi ekoki ete eza na esika moko ya monene.",scene scene,positive
790,"Bilei yango ezalaki kitoko mpenza, kasi bilei oyo balambaki ezalaki kokamwisa biso.",bilei ya kolamba,positive
794,"Bilei yango ezalaki kitoko mpenza, kasi bilei oyo balambaki ezalaki kokamwisa biso.",sushi,positive
798,"Bilei yango ezalaki kitoko mpenza, kasi bilei oyo balambaki ezalaki kokamwisa biso.",bilei,positive
802,"Ntango ngonga ekokaki mpo na kozwa etinda oyo mosali na restora apesaki biso ntango ya mpasi, atambolaki na nsima ayaki lisusu na papye mpe ekomeli mpo biso tókoma makambo oyo tozalaki kolinga... Limbisa ngai, kasi ezali mosala na ye te???",Ozateur,negative
804,"Na nsima, mokambi ayebisaki biso ete tokoki kosenga na menu nyonso oyo tolingi kasi na ntango wana tozalaki kosilika makasi na moto oyo azalaki kosala na restora mpe na resturant oyo totikaki mpe tokendaki esika mosusu.",Ozateur,negative
807,"Na nsima, mokambi ayebisaki biso ete tokoki kosenga na menu nyonso oyo tolingi kasi na ntango wana tozalaki kosilika makasi na moto oyo azalaki kosala na restora mpe na resturant oyo totikaki mpe tokendaki esika mosusu.",menu,neutral
809,"Na nsima, mokambi ayebisaki biso ete tokoki kosenga na menu nyonso oyo tolingi kasi na ntango wana tozalaki kosilika makasi na moto oyo azalaki kosala na restora mpe na resturant oyo totikaki mpe tokendaki esika mosusu.",Maneja,neutral
811,Bilei yango ezalaka kitoko mpe elendisamaka mingi.,bilei,positive
814,"Ntango saani yango ekómaki ezalaki kopela na pilipili ya mai ya pondu, na ntembe te moto akoki kolya yango te.",Chillis ya pondu,negative
818,"Ntango saani yango ekómaki ezalaki kopela na pilipili ya mai ya pondu, na ntembe te moto akoki kolya yango te.",elubu,negative
822,"Namilelaki epai na mosáli na restora mpe na nsima epai na mokambi, kasi makasi ya kozanga bonkonde oyo eutaki epai na bango eutaki bobele komata.",Maneja,negative
825,"Namilelaki epai na mosáli na restora mpe na nsima epai na mokambi, kasi makasi ya kozanga bonkonde oyo eutaki epai na bango eutaki bobele komata.",Ozateur,negative
828,Nazalaki na mawa mingi mpo na mosala mpe bilei na bango.,mosala,negative
831,Nazalaki na mawa mingi mpo na mosala mpe bilei na bango.,bilei,negative
834,Nakendeki mokolo ya pɔsɔ oyo eleki mpe nalyaki malamu mpenza ya kolata shank ya mwana mpate oyo ebɔkwamá ná mbálá oyo basangisi.,Lamba mwana mpate ya braised na mbálá ya mashed,positive
836,Nakendeki mokolo ya pɔsɔ oyo eleki mpe nalyaki malamu mpenza ya kolata shank ya mwana mpate oyo ebɔkwamá ná mbálá oyo basangisi.,Kolya,positive
839,"Na kati ya ngai na mopaya na ngai, tomekaki ata 80% ya menu, mpe nyonso ezalaki kobeta yango.",menu,positive
841,Déo mpe ambiance ezalaki mpenza bolingo.,Deco,positive
844,Déo mpe ambiance ezalaki mpenza bolingo.,ambiance,positive
847,"Nalei na bisika nyonso misato mpe nalingaka ntango nyonso, nalingaka bilei, mosala ezalaka ntango nyonso ya kokamwa mpe talo eza mpenza ya malamu.",talo,positive
851,"Nalei na bisika nyonso misato mpe nalingaka ntango nyonso, nalingaka bilei, mosala ezalaka ntango nyonso ya kokamwa mpe talo eza mpenza ya malamu.",mosala,positive
855,"Nalei na bisika nyonso misato mpe nalingaka ntango nyonso, nalingaka bilei, mosala ezalaka ntango nyonso ya kokamwa mpe talo eza mpenza ya malamu.",bilei,positive
859,"Soki olingi komeka malamu, bilei ya latin oyo ebongisami malamu elyaka na Cabana mpe okoki kokende mabe te.",Kolya latin,positive
862,"Ezalaki esengo kozanga kotonda na bato, mosala yango ezalaki kosepelisa, elanga ezalaki kitoko, bilei (banda na bamasini ya kopakola kino na banzete) ezalaki kolongolama.",elanga,positive
866,"Ezalaki esengo kozanga kotonda na bato, mosala yango ezalaki kosepelisa, elanga ezalaki kitoko, bilei (banda na bamasini ya kopakola kino na banzete) ezalaki kolongolama.",mosala,positive
870,"Ezalaki esengo kozanga kotonda na bato, mosala yango ezalaki kosepelisa, elanga ezalaki kitoko, bilei (banda na bamasini ya kopakola kino na banzete) ezalaki kolongolama.",appetizers,positive
874,"Ezalaki esengo kozanga kotonda na bato, mosala yango ezalaki kosepelisa, elanga ezalaki kitoko, bilei (banda na bamasini ya kopakola kino na banzete) ezalaki kolongolama.",LOPANGO,positive
878,"Ezalaki esengo kozanga kotonda na bato, mosala yango ezalaki kosepelisa, elanga ezalaki kitoko, bilei (banda na bamasini ya kopakola kino na banzete) ezalaki kolongolama.",bilei,positive
882,"Yum, soso ezali malamu awa.",soso,positive
885,"guac eza ya sika, kasi ezangi elɛngi, tolingaka kobakisa salsa na biso ya sika na kati na yango.",salsa ya sika,neutral
887,"guac eza ya sika, kasi ezangi elɛngi, tolingaka kobakisa salsa na biso ya sika na kati na yango.",Elengi,negative
890,Fajita oyo tomekaki ezalaki elɛngi te mpe ezikaki mpe supu ya mole ezalaki elɛngi mingi.,Fajita,negative
894,Fajita oyo tomekaki ezalaki elɛngi te mpe ezikaki mpe supu ya mole ezalaki elɛngi mingi.,Sauce ya mole,negative
898,Tikala na bansoso oyo batumbi mpe okozala malamu.,Nsoso ya kotumba,positive
900,Service ezalaki na kati ya makambo ya malamu koleka oyo nazalaki na yango na NYC.,Mosala,positive
903,Alfredo ya fettucino ezalaki kokamwisa.,Fettucino alfredo,positive
906,Ntalo ata na libanda ya mposo ya barestora ezalaki malamu mingi.,Talo,positive
909,"Ba bartenders na bakambi bazali mpenza kitoko pe décor eza comfy pe laid-back, tango nyonso wana eza trendy.",Bakambi,positive
913,"Ba bartenders na bakambi bazali mpenza kitoko pe décor eza comfy pe laid-back, tango nyonso wana eza trendy.",Bato oyo basalaka masanga,positive
917,"Ba bartenders na bakambi bazali mpenza kitoko pe décor eza comfy pe laid-back, tango nyonso wana eza trendy.",DEKORE,positive
921,"Nalingaka masanga mingi, esp lychee martini, mpe bilei ezalaka mpe malamu MINGI.",masanga,positive
925,"Nalingaka masanga mingi, esp lychee martini, mpe bilei ezalaka mpe malamu MINGI.",Lychee Martin,positive
929,"Nalingaka masanga mingi, esp lychee martini, mpe bilei ezalaka mpe malamu MINGI.",bilei,positive
933,Sushi eza na ntalo ya malamu mpe ya sika.,talo,positive
937,Sushi eza na ntalo ya malamu mpe ya sika.,sushi,positive
941,Malamu na kolya noki sushi.,sushi lunch,positive
944,"Bazalaka kaka te na escargot ya malamu koleka na ville,balukaka ntango nyonso koyamba mwana na biso ya moke.",Escargot,positive
947,Appetizer ezali malamu mingi awa; Okoki kosala bilei ya monene (mpe ya ntalo moke) na kati na bango.,Appetizer,positive
951,Appetizer ezali malamu mingi awa; Okoki kosala bilei ya monene (mpe ya ntalo moke) na kati na bango.,Kolya,positive
955,Ba mussels ya pilipili ezali eloko ya kobenda likebi mingi.,Matelas Matelas,positive
958,Zalá na mojito mpe kofanda na patio ya nsima.,Back Patio,positive
960,Zalá na mojito mpe kofanda na patio ya nsima.,mojito,positive
962,"Ata bilei na bango ya kuku ezalaka elɛngi, Sushi na bango eza libanda ya mokili oyo.",kitchen food,positive
966,"Ata bilei na bango ya kuku ezalaka elɛngi, Sushi na bango eza libanda ya mokili oyo.",Sushi,positive
970,Esika oyo eza na menu ya kokamwa mpe barestora bamekaka mingi mpenza kosala bilei ya kitoko.,menu,negative
974,Esika oyo eza na menu ya kokamwa mpe barestora bamekaka mingi mpenza kosala bilei ya kitoko.,bilei,negative
978,Everytime nakendaka kuna nakoki te kopona eloko ya kolia mpe te mpo menu etondi na biloko ya minene ya kolya.,menu,negative
980,Namonaka ntango nyonso ete nazali kosɛnga na moto oyo azali kosala na restora ete asala eloko moko oyo ezali bland mpe ekeseni na oyo ezali na menu.,Ozateur,neutral
982,Namonaka ntango nyonso ete nazali kosɛnga na moto oyo azali kosala na restora ete asala eloko moko oyo ezali bland mpe ekeseni na oyo ezali na menu.,menu,neutral
984,"Atako restora yango moko ezali kitoko, nasepelaka kokende te mpo na kolya.",bilei,negative
986,Esika oyo ya moke eza esengo ya kokamwa koyamba bapaya.,Esika,positive
989,Moyambi (nkolo) na ba-server eza ya moto mpe ya komibanzabanza.,Moyambi (Owner),positive
991,Moyambi (nkolo) na ba-server eza ya moto mpe ya komibanzabanza.,Servers,positive
994,"Mpe bilei, malamu bilei ekosala ete ozonga lisusu.",bilei,positive
996,"Mpe bilei, malamu bilei ekosala ete ozonga lisusu.",bilei,positive
998,Bazali na pastas oyo basali na ndako na bango ya lolenge nyonso -- nazali kolendisa gnocchi -- yum!,Pastas oyo basalaki na ndako,positive
1000,Bazali na pastas oyo basali na ndako na bango ya lolenge nyonso -- nazali kolendisa gnocchi -- yum!,gnocchi,positive
1003,"Lisusu, peas ya nsoso oyo ezali na shrimp (appetizer) ezali ya Nzambe.",Nsoso ya nsoso elongo na shrimp (appetizer),positive
1005,Mojitos mpe mosala ezali eteni eleki malamu na kati,mojitos,positive
1008,Mojitos mpe mosala ezali eteni eleki malamu na kati,mosala,positive
1011,Mosala ezalaki malamu mpe ezalaki bongo na mopɛpɛ.,Mosala,positive
1014,Mosala ezalaki malamu mpe ezalaki bongo na mopɛpɛ.,atmosphere,positive
1017,MOKOLO oyo ngai ná ngai tokutanaki na dati na ngai tosɛngaki Branzini mpe bango mibale bamonaki ete mbisi yango ezalaki na mwayene mpenza.,mbisi,negative
1020,MOKOLO oyo ngai ná ngai tokutanaki na dati na ngai tosɛngaki Branzini mpe bango mibale bamonaki ete mbisi yango ezalaki na mwayene mpenza.,Branzini,neutral
1023,Bilei ezalaki malamu na mobimba. ,bilei,positive
1026,Salade ya caeser ezalaki malamu mingi.,Salade ya caeser,positive
1029,Calamari ya kokakisa ezalaki kutu malamu koleka!,kokakola calamari,positive
1032,BILEI ELƐMBISAKI NGAI MPENZA NZOTO.,BILEI,negative
1035,"PUDDING YA BITABE OYO BAPESAKA EMONÁ NAINO FULU TE,CRABCAKES EZA NA NZELA YA KOLEKA NA MUNGWA MPE KOSALA TE ETE NABANDA NA MAC MPE FROMAGE YA MAFUTAMAFUTA MPENZA.",MAC NA FROMAGE,negative
1039,"PUDDING YA BITABE OYO BAPESAKA EMONÁ NAINO FULU TE,CRABCAKES EZA NA NZELA YA KOLEKA NA MUNGWA MPE KOSALA TE ETE NABANDA NA MAC MPE FROMAGE YA MAFUTAMAFUTA MPENZA.",CRABCAKES,negative
1043,"PUDDING YA BITABE OYO BAPESAKA EMONÁ NAINO FULU TE,CRABCAKES EZA NA NZELA YA KOLEKA NA MUNGWA MPE KOSALA TE ETE NABANDA NA MAC MPE FROMAGE YA MAFUTAMAFUTA MPENZA.",BANANA PUDDING,negative
1045,Sushi ebimi sika na boye ete epasolaka na monɔkɔ na yo.,Sushi,positive
1048,Kasi omindimisa ete ozali na esika ekoki na karte na yo ya kredi mpo ete mobeko ekotika dent moko monene na potɔmɔni na yo.,bill,negative
1051,Bilei ezalaki mediocre kozala na boboto - na kati eza moke mpe mwayene - bankolo na yango baza tag-team ya makambo ya kosepelisa te - yango wana kozanga bonkonde mpe snotty nazalaki mpenza kotika kolya guffaw whilst oyo eza na motema makasi.,kati,negative
1055,Bilei ezalaki mediocre kozala na boboto - na kati eza moke mpe mwayene - bankolo na yango baza tag-team ya makambo ya kosepelisa te - yango wana kozanga bonkonde mpe snotty nazalaki mpenza kotika kolya guffaw whilst oyo eza na motema makasi.,Kolya,neutral
1057,Bilei ezalaki mediocre kozala na boboto - na kati eza moke mpe mwayene - bankolo na yango baza tag-team ya makambo ya kosepelisa te - yango wana kozanga bonkonde mpe snotty nazalaki mpenza kotika kolya guffaw whilst oyo eza na motema makasi.,bankolo,negative
1061,Bilei ezalaki mediocre kozala na boboto - na kati eza moke mpe mwayene - bankolo na yango baza tag-team ya makambo ya kosepelisa te - yango wana kozanga bonkonde mpe snotty nazalaki mpenza kotika kolya guffaw whilst oyo eza na motema makasi.,bilei,negative
1065,Kolya ezalaki ntalo mingi mpo na biloko oyo ozwaka.,Kolya,negative
1068,Esengelaki kozongisa steak ya Delmonico oyo ezalaki na dolare 72 mpo balambaki yango te na komande.,Delmonico steak,negative
1071,Bakambi bazalaki kofunda bango mingi te.,Bakambi,negative
1074,Tozwaka ntango nyonso mosala ya kokamwa mpe tolingaka bilei mingi.,mosala,positive
1078,Tozwaka ntango nyonso mosala ya kokamwa mpe tolingaka bilei mingi.,bilei,positive
1082,Nazalaki na bilei ya malamu ya Japon na esika ya bilei ya mall na esika ya bilei.,Bilei ya Japon,negative
1085,Kotambola ya liboso na esika yango emonanaki lokola nde ezalaki na ambience monene.,ambience,positive
1088,Kotambola ya liboso na esika yango emonanaki lokola nde ezalaki na ambience monene.,Esika,positive
1090,"Kasi, bilei yango ezalaki mabe mpenza.",bilei,negative
1093,Nasɛngaki ete Teriyaki ya nsoso mpe mobali na ngai nazwa shrimp ya ai.,Ai Shrimp,neutral
1095,Nasɛngaki ete Teriyaki ya nsoso mpe mobali na ngai nazwa shrimp ya ai.,Chicken Teriyaki,neutral
1097,Nsoso na ngai ekaukaki mobimba mpe na ngámbo ya malili mpe supu ezalaki mpenza kitoko te.,Supu,negative
1101,Nsoso na ngai ekaukaki mobimba mpe na ngámbo ya malili mpe supu ezalaki mpenza kitoko te.,soso,negative
1105,"Likambo moko ya malamu oyo nakoki koloba ezali ete mosala yango esalemaki nokinoki, tofandaki mbala moko mpe server ezalaki na boboto mingi.",mosala,positive
1109,"Likambo moko ya malamu oyo nakoki koloba ezali ete mosala yango esalemaki nokinoki, tofandaki mbala moko mpe server ezalaki na boboto mingi.",Server,positive
1113,Na nzela ya mbongo mingi mpo na bilei mabe boye.,Kolya,negative
1116,ya pas beaucoup de trio ... basali bazalaki esengo; Bilei ezalaki elɛngi mpe monene na ndambo - nakolendisa mingi portobello/gorgonzola/boudin appetizer mpe risotto ya lobster.,lobster risotto,positive
1120,ya pas beaucoup de trio ... basali bazalaki esengo; Bilei ezalaki elɛngi mpe monene na ndambo - nakolendisa mingi portobello/gorgonzola/boudin appetizer mpe risotto ya lobster.,bilei,positive
1124,ya pas beaucoup de trio ... basali bazalaki esengo; Bilei ezalaki elɛngi mpe monene na ndambo - nakolendisa mingi portobello/gorgonzola/boudin appetizer mpe risotto ya lobster.,portobello/gorgonzola/sausage appetizer,positive
1128,ya pas beaucoup de trio ... basali bazalaki esengo; Bilei ezalaki elɛngi mpe monene na ndambo - nakolendisa mingi portobello/gorgonzola/boudin appetizer mpe risotto ya lobster.,Basali,positive
1132,ya pas beaucoup de trio ... basali bazalaki esengo; Bilei ezalaki elɛngi mpe monene na ndambo - nakolendisa mingi portobello/gorgonzola/boudin appetizer mpe risotto ya lobster.,Taille de portion,positive
1136,Mosala yango ezalaki mpenza ya kotya likebi mpe ya bokabi mingi.,mosala,positive
1139,"Tozalaki na batone ya bilei ya minene, vinyo mpe desserts.",Bibenda,positive
1142,"Tozalaki na batone ya bilei ya minene, vinyo mpe desserts.",desserts,positive
1145,"Tozalaki na batone ya bilei ya minene, vinyo mpe desserts.",bilei,positive
1148,Ya solo Esengo ya kolya na katikati ya bisika ya makɛlɛlɛ makasi na katikati ya engumba.,Esika ya kolya,positive
1151,"Mosala yango ezalaka ntango nyonso kitoko, mpe nkolo na yango azali kotambolatambola mpo na komindimisa ete osepelaka na yango.",nkolo,positive
1153,"Mosala yango ezalaka ntango nyonso kitoko, mpe nkolo na yango azali kotambolatambola mpo na komindimisa ete osepelaka na yango.",mosala,positive
1156,Tofandaki nokinoki pene na esika ya mabina.,tango tango tango,neutral
1158,"Miziki ezalaki kosepelisa, kasi esika ya kotikala mpo na kosolola, mpe motɛki masanga azalaki kosala masanga ya kitoko mpenza.",masanga,positive
1162,"Miziki ezalaki kosepelisa, kasi esika ya kotikala mpo na kosolola, mpe motɛki masanga azalaki kosala masanga ya kitoko mpenza.",Ɔrtender,positive
1166,"Miziki ezalaki kosepelisa, kasi esika ya kotikala mpo na kosolola, mpe motɛki masanga azalaki kosala masanga ya kitoko mpenza.",Miziki,positive
1170,Bilei eza mpenza malamu mpenza te mpe mosala eza mabe mpenza.,mosala,negative
1174,Bilei eza mpenza malamu mpenza te mpe mosala eza mabe mpenza.,bilei,negative
1178,"Nazali na esengo ete nasalaki ndenge bilei ezalaki malamu mpenza mpe bato ya mosala bazalaki na boboto, na bonkonde mpe na ndenge ebongi.",Basali,positive
1182,"Nazali na esengo ete nasalaki ndenge bilei ezalaki malamu mpenza mpe bato ya mosala bazalaki na boboto, na bonkonde mpe na ndenge ebongi.",bilei,positive
1186,NALYÁ NAINO TE BILEI YA MABE (TO MOSALA YA MABE )@ PIGALLE.,MOSALA,positive
1188,NALYÁ NAINO TE BILEI YA MABE (TO MOSALA YA MABE )@ PIGALLE.,KOLYA,positive
1190,"Yango esalaki ete emonana polele ete bilei balambaki yango malamu te; Na ntembe te, basalaki yango liboso ya lobɔkɔ mpe na nsima batyaki yango lisusu mɔtɔ.",bilei,negative
1193,"Na ntango ya HRS oyo eza na makambo mingi, napesi yo toli osala reservation.",Reservation,neutral
1196,kasi mac fromage na bango ezalaki YUMMY!,mac fromage,positive
1199,Menu na bango ya brunch ezalaki na eloko moko mpo na moto nyonso.,Menu brunch,positive
1201,Moyembi ya jazz azalaki na mongongo ya kitoko + asalaki ete biso nyonso tolamuka na mabina mpona koningisa mwa calories mpona kolia mosusu.,Moyembi jazz,positive
