,so,aspect,polarities
500,"Creamy appetizers - taramasalata, salad ukunta, iyo yogurt Greek (oo ay ku yaallaan cabbir, dill, iyo toonta) waxay dhadhamiyaan marka ay ku habboon yihiin finanka diiran.",pitas diirran,neutral
504,"Creamy appetizers - taramasalata, salad ukunta, iyo yogurt Greek (oo ay ku yaallaan cabbir, dill, iyo toonta) waxay dhadhamiyaan marka ay ku habboon yihiin finanka diiran.",Salad ukunta,positive
508,sababtoo ah shaqaaluhu waxay u baahan yihiin dabeecad la qabsi DARAN.,sugaayo,negative
510,Shaqaalaha mar walba waxay u muuqdaan kuwo careysan oo xitaa iska indha tira joogteyntooda joogtada ah ee aadka u sareysa.,sugaayo,negative
513,"dhowr jeer oo u dulqaado dhaqan xumida askarta, adigoo og in shaqada ay qabanayaan aysan fududeyn.",sugaayo,negative
516,"Ugu dambeyntiina, waan ka xanuunsadey adeeggii xumaa, smirks ba'an, iyo hadalka gadaal xumo.",adeege,negative
519,"Waa cunno dhaqameed, oo talyaanigu uu fudud yahay.",cuntada talyaaniga,positive
522,"Waa raashin wanaagsan kaliya, wax dambe ma jiraan, intaas aan rabno oo dhan ayaana dooneynaa!",cuntod,positive
525,"Liiska khamrigu waa mid ballaaran, qiimo fiican leh wuxuuna daboolaa gobollo badan.",liiska khamriga,positive
529,"Liiska khamrigu waa mid ballaaran, qiimo fiican leh wuxuuna daboolaa gobollo badan.",qaali,positive
533,cunto fiican oo khamri fiican ah ayaa ah in ay tahay.,khamrie,positive
537,cunto fiican oo khamri fiican ah ayaa ah in ay tahay.,cuntod,positive
541,"Waan jeclahay fududaanta iyo ixtiraamka la siiyey cuntada, sidoo kale shaqaalaha wuxuu ahaa mid saaxiibtinimo leh oo la garanayo.",shaqaalaha,positive
544,"Waan jeclahay fududaanta iyo ixtiraamka la siiyey cuntada, sidoo kale shaqaalaha wuxuu ahaa mid saaxiibtinimo leh oo la garanayo.",cuntod,positive
547,"Raashinka ayaa ahaa mid aan caadi ahayn, adeeguna si aad ah ayuu u gaabiyay.",cuntod,neutral
551,"Raashinka ayaa ahaa mid aan caadi ahayn, adeeguna si aad ah ayuu u gaabiyay.",adeege,negative
555,Waxay qaadatay qiyaastii 2 1/2 saacadood in loo adeego koorsooyinka 2.,koorsooyinka,neutral
557,Waxay qaadatay qiyaastii 2 1/2 saacadood in loo adeego koorsooyinka 2.,adeegi,negative
559,Waxaannu amarnay koob khamri ah oo aan dhammaynay cunidda iyo bixinta inta aan khamrigu iman.,koob koob oo khamri ah,neutral
561,Kursigii laaluushka ahaa ee aan kursigaas laaluushka ahaa aad ayuu iigu naxay.,kursi laabanto,negative
564,Khabiirkeennu wuxuu ahaa mid saaxiibtinimo leh waxaana ceeb ah in aanu haysan shaqaale taageera oo uu la shaqeeyo.,shaqaalaha,negative
566,Khabiirkeennu wuxuu ahaa mid saaxiibtinimo leh waxaana ceeb ah in aanu haysan shaqaale taageera oo uu la shaqeeyo.,khadka,positive
569,Waxaan tegey toddobaadkii makhaayad oo amar ku siiyay off menu prix-ka fixe,Prix hagaajiyo menu,neutral
571,Shaqaalaha sugidda waxay ahaayeen kuwa aad u dhaga-ada badan oo xushmadda leh.,shaqaalaha gato,positive
574,Gaadhigii garabaqaadka Portuguese ee la doortay ayaa lammaane u leh dekedda tayada waxay siisaa dhamaystirka Iberian-ka uguamilsan.,Gaadhigii fariiska ee Portuguese,positive
578,Gaadhigii garabaqaadka Portuguese ee la doortay ayaa lammaane u leh dekedda tayada waxay siisaa dhamaystirka Iberian-ka uguamilsan.,dekedda,positive
582,"Inkastoo uu ahaa mid ballaaran oo xoogaa buuq badan, cabitaanku wuxuu ahaa mid cajiib ah, raashinkuna wuxuu ahaa mid aad u fiican.",cabitaan,positive
586,"Inkastoo uu ahaa mid ballaaran oo xoogaa buuq badan, cabitaanku wuxuu ahaa mid cajiib ah, raashinkuna wuxuu ahaa mid aad u fiican.",cuntod,positive
590,Qiimaha ma ahan mid aad u xun.,qiimayaasha,positive
593,"Adeeggu wuxuu ahaa mid aad u ballaaran, waxayna leeyihiin wax weyn oo dhan maalinta dhalashada.",adeege,positive
596,"The jeer kale ee aan tagay waa samada taariikhda taataabtay, waxaad ku socon kartaa in aad hesho waab daaqadaha agteeda, in loola dhaqmo sida VIP ah meel a aan-buuxin, cunto iyo adeeg weyn.",adeege,positive
600,"The jeer kale ee aan tagay waa samada taariikhda taataabtay, waxaad ku socon kartaa in aad hesho waab daaqadaha agteeda, in loola dhaqmo sida VIP ah meel a aan-buuxin, cunto iyo adeeg weyn.",cuntod,positive
604,"The jeer kale ee aan tagay waa samada taariikhda taataabtay, waxaad ku socon kartaa in aad hesho waab daaqadaha agteeda, in loola dhaqmo sida VIP ah meel a aan-buuxin, cunto iyo adeeg weyn.",waab by daaqadaha,neutral
606,"The jeer kale ee aan tagay waa samada taariikhda taataabtay, waxaad ku socon kartaa in aad hesho waab daaqadaha agteeda, in loola dhaqmo sida VIP ah meel a aan-buuxin, cunto iyo adeeg weyn.",meele,positive
610,"Khudaarta cusub, nooc kasta oo ah noocyada kala duwan ee bariga dhexe ayaa fidsana, jiiska iyo falaafel, maraq, kalluunka, bariiska, khudaarta xididka ah, midab bariis ah, wax qaar ka mid ah fidinta, kebabs baraar, baclava cheese ... aad bay u xuntahay, dhamaanna waa mid aad u jilicsan.",kaas,positive
613,"Khudaarta cusub, nooc kasta oo ah noocyada kala duwan ee bariga dhexe ayaa fidsana, jiiska iyo falaafel, maraq, kalluunka, bariiska, khudaarta xididka ah, midab bariis ah, wax qaar ka mid ah fidinta, kebabs baraar, baclava cheese ... aad bay u xuntahay, dhamaanna waa mid aad u jilicsan.",Khudaarta cusub,positive
614,"Khudaarta cusub, nooc kasta oo ah noocyada kala duwan ee bariga dhexe ayaa fidsana, jiiska iyo falaafel, maraq, kalluunka, bariiska, khudaarta xididka ah, midab bariis ah, wax qaar ka mid ah fidinta, kebabs baraar, baclava cheese ... aad bay u xuntahay, dhamaanna waa mid aad u jilicsan.",kaluun,positive
617,"Khudaarta cusub, nooc kasta oo ah noocyada kala duwan ee bariga dhexe ayaa fidsana, jiiska iyo falaafel, maraq, kalluunka, bariiska, khudaarta xididka ah, midab bariis ah, wax qaar ka mid ah fidinta, kebabs baraar, baclava cheese ... aad bay u xuntahay, dhamaanna waa mid aad u jilicsan.",foox,positive
620,"Khudaarta cusub, nooc kasta oo ah noocyada kala duwan ee bariga dhexe ayaa fidsana, jiiska iyo falaafel, maraq, kalluunka, bariiska, khudaarta xididka ah, midab bariis ah, wax qaar ka mid ah fidinta, kebabs baraar, baclava cheese ... aad bay u xuntahay, dhamaanna waa mid aad u jilicsan.",khudaarta xididka,positive
625,"Khudaarta cusub, nooc kasta oo ah noocyada kala duwan ee bariga dhexe ayaa fidsana, jiiska iyo falaafel, maraq, kalluunka, bariiska, khudaarta xididka ah, midab bariis ah, wax qaar ka mid ah fidinta, kebabs baraar, baclava cheese ... aad bay u xuntahay, dhamaanna waa mid aad u jilicsan.",medley bariis,positive
628,"Khudaarta cusub, nooc kasta oo ah noocyada kala duwan ee bariga dhexe ayaa fidsana, jiiska iyo falaafel, maraq, kalluunka, bariiska, khudaarta xididka ah, midab bariis ah, wax qaar ka mid ah fidinta, kebabs baraar, baclava cheese ... aad bay u xuntahay, dhamaanna waa mid aad u jilicsan.",wax kale kale,positive
631,"Khudaarta cusub, nooc kasta oo ah noocyada kala duwan ee bariga dhexe ayaa fidsana, jiiska iyo falaafel, maraq, kalluunka, bariiska, khudaarta xididka ah, midab bariis ah, wax qaar ka mid ah fidinta, kebabs baraar, baclava cheese ... aad bay u xuntahay, dhamaanna waa mid aad u jilicsan.",falafel,positive
634,"Khudaarta cusub, nooc kasta oo ah noocyada kala duwan ee bariga dhexe ayaa fidsana, jiiska iyo falaafel, maraq, kalluunka, bariiska, khudaarta xididka ah, midab bariis ah, wax qaar ka mid ah fidinta, kebabs baraar, baclava cheese ... aad bay u xuntahay, dhamaanna waa mid aad u jilicsan.",middle eastern fidsan,positive
637,"Khudaarta cusub, nooc kasta oo ah noocyada kala duwan ee bariga dhexe ayaa fidsana, jiiska iyo falaafel, maraq, kalluunka, bariiska, khudaarta xididka ah, midab bariis ah, wax qaar ka mid ah fidinta, kebabs baraar, baclava cheese ... aad bay u xuntahay, dhamaanna waa mid aad u jilicsan.",kalluun kebabs,positive
640,"Khudaarta cusub, nooc kasta oo ah noocyada kala duwan ee bariga dhexe ayaa fidsana, jiiska iyo falaafel, maraq, kalluunka, bariiska, khudaarta xididka ah, midab bariis ah, wax qaar ka mid ah fidinta, kebabs baraar, baclava cheese ... aad bay u xuntahay, dhamaanna waa mid aad u jilicsan.",maraq,positive
643,"Khudaarta cusub, nooc kasta oo ah noocyada kala duwan ee bariga dhexe ayaa fidsana, jiiska iyo falaafel, maraq, kalluunka, bariiska, khudaarta xididka ah, midab bariis ah, wax qaar ka mid ah fidinta, kebabs baraar, baclava cheese ... aad bay u xuntahay, dhamaanna waa mid aad u jilicsan.",kaas baclava,positive
646,"Khudaarta cusub, nooc kasta oo ah noocyada kala duwan ee bariga dhexe ayaa fidsana, jiiska iyo falaafel, maraq, kalluunka, bariiska, khudaarta xididka ah, midab bariis ah, wax qaar ka mid ah fidinta, kebabs baraar, baclava cheese ... aad bay u xuntahay, dhamaanna waa mid aad u jilicsan.",bariis,positive
649,"Adeegga gaabis ah, laakiin marka aad laalaadid kooxaha 10 ama 20, yaa runtii ogaysiis?",adeege,negative
652,Adeegii ugu xumaa ee aan abid la kulmo iyo cuntadu waxay ahayd mid ka hooseysa celcelis ahaan (markii ay dhab ahaantii dadka siiyeen raashinkii ay amreen).,adeege,negative
656,Adeegii ugu xumaa ee aan abid la kulmo iyo cuntadu waxay ahayd mid ka hooseysa celcelis ahaan (markii ay dhab ahaantii dadka siiyeen raashinkii ay amreen).,meals,neutral
658,Adeegii ugu xumaa ee aan abid la kulmo iyo cuntadu waxay ahayd mid ka hooseysa celcelis ahaan (markii ay dhab ahaantii dadka siiyeen raashinkii ay amreen).,cuntod,negative
662,Sugitaanka seddex saacadood ka hor inta aan la helin waxa ay ahayd daaweyn sidoo kale.,entrees,neutral
664,Sugitaanka seddex saacadood ka hor inta aan la helin waxa ay ahayd daaweyn sidoo kale.,Sugid,negative
666,Cuntada waa joogto ah oo wanaagsan laakiin sida ay ku heshay magaca Best Cuntada Best In Manhattan waa iga gudbeen.,cuntod,positive
669,Ma aha in aad si xun u dhawaaqdo laakiin ka digtoonow of delivary ah.,delivary,negative
672,"Si cadaalad ah, raashinka weli wuu fiican yahay adeegguna waa mid degdeg ah oo digtooni leh inkastoo ay inta badan aad u mashquulsan tahay.",adeege,positive
676,"Si cadaalad ah, raashinka weli wuu fiican yahay adeegguna waa mid degdeg ah oo digtooni leh inkastoo ay inta badan aad u mashquulsan tahay.",cuntod,positive
680,"Service waa mid aad u fiican, sugi maya, oo aad hesho wax badan oo qiimaha.",Adeegga,positive
684,"Service waa mid aad u fiican, sugi maya, oo aad hesho wax badan oo qiimaha.",sugi,positive
688,"Service waa mid aad u fiican, sugi maya, oo aad hesho wax badan oo qiimaha.",qiimaha,positive
690,"Sugayaashu waa kuwo aad u saaxiibtinimo, baastuna waa ay ka baxday dunidan.",pasta,positive
694,"Sugayaashu waa kuwo aad u saaxiibtinimo, baastuna waa ay ka baxday dunidan.",suga,positive
698,waa farxad qarsoon oo ay ka buuxaan bar quraac ah iyo cunto fiican.,cuntod,positive
702,waa farxad qarsoon oo ay ka buuxaan bar quraac ah iyo cunto fiican.,barre,positive
706,waa meel raaxo leh si aad ula socoto labo qof oo saaxiibo ah.,meele,positive
709,i especially like their shilma jilicsan rooti jilicsan la fries.,shooladaha qolof jilicsan ee jilicsan oo leh fries,positive
712,"for appetizer, ay calamari waa guuleystay.",appetizer,neutral
715,"for appetizer, ay calamari waa guuleystay.",calamida,positive
718,"qaybo weyn, adeeg weyn oo ka feejignaan badan, iyo qiimaha fiican.",adag,positive
722,"qaybo weyn, adeeg weyn oo ka feejignaan badan, iyo qiimaha fiican.",adeege,positive
726,"qaybo weyn, adeeg weyn oo ka feejignaan badan, iyo qiimaha fiican.",qiimayaasha,positive
730,Jawiga qabow laakin sidaa u hoos u dajin.,jawiga,positive
733,Wuxuu ahaa ina soo gaaray naxdin. Ee ah caasinnimo iyo fiiro gaar ah.,khadka,negative
736,Heesaha - ayaa waraabiyay.,sanguura,negative
739,"menu - uneventful, small.",menu,negative
742,cuntada - ma aha qiimo u qalanta.,qiimaha,negative
745,cuntada - ma aha qiimo u qalanta.,cuntod,negative
748,"Xitaa marka kariyaha aanu guriga ku jirin, cunnada iyo adeeggu waxay ku saxan yihiin bartilmaameedka.",adeege,positive
751,"Xitaa marka kariyaha aanu guriga ku jirin, cunnada iyo adeeggu waxay ku saxan yihiin bartilmaameedka.",cuntod,positive
754,"Xitaa marka kariyaha aanu guriga ku jirin, cunnada iyo adeeggu waxay ku saxan yihiin bartilmaameedka.",kale,neutral
756,"Tan iyo inta aan kariyo si aan u noolaado, aad baan ula murugoonayaa cuntada aan makhaayadaha ku cuno.",cuntod,neutral
759,Chef Waldy ayaa had iyo jeer cabiraya.,Kariyaha,positive
761,"U hubso inaad tijaabiso Trout sigaar caba ... Lamb jarjaro, Veal Chops, Bakayle, hadhuudhka baradhada, on iyo on iyo on iyo on ...",Lambka Kartida,positive
764,"U hubso inaad tijaabiso Trout sigaar caba ... Lamb jarjaro, Veal Chops, Bakayle, hadhuudhka baradhada, on iyo on iyo on iyo on ...",bataato,positive
767,"U hubso inaad tijaabiso Trout sigaar caba ... Lamb jarjaro, Veal Chops, Bakayle, hadhuudhka baradhada, on iyo on iyo on iyo on ...",Trout-da sigaar cabbay,positive
770,"U hubso inaad tijaabiso Trout sigaar caba ... Lamb jarjaro, Veal Chops, Bakayle, hadhuudhka baradhada, on iyo on iyo on iyo on ...",Hase,positive
773,"U hubso inaad tijaabiso Trout sigaar caba ... Lamb jarjaro, Veal Chops, Bakayle, hadhuudhka baradhada, on iyo on iyo on iyo on ...",Veal dhoobada,positive
776,Waxaad aan la dissapointed by mid ka mid ah xulashadu in menu.,menu,positive
779,Milkiilaha iyo shaqaalaha waxay u socdaan dherer aad u weyn si ay kuu dareensiiyaan raaxo.,milkiilaha,positive
781,Milkiilaha iyo shaqaalaha waxay u socdaan dherer aad u weyn si ay kuu dareensiiyaan raaxo.,shaqaalaha,positive
783,Weydii miiska geeska ee wareega ee u xiga daaqadda weyn.,miiska geeska wareega ee ku xiga suuqa weyn,positive
785,Yaa dhahayo tag marka meeshu ay xasilloontahay maalintii?,meele,neutral
787,"Ma ahan wax aad u badan, laakiin waxaa ku filan in ay jirto muuqaal weyn.",goobta,positive
790,"Raashinku wuxuu ahaa mid weyn - suushi wuu ficnaa, laakiin cuntadii la kariyey ayaa naga yaabisay.",cunto la karsado,positive
794,"Raashinku wuxuu ahaa mid weyn - suushi wuu ficnaa, laakiin cuntadii la kariyey ayaa naga yaabisay.",suldaa,positive
798,"Raashinku wuxuu ahaa mid weyn - suushi wuu ficnaa, laakiin cuntadii la kariyey ayaa naga yaabisay.",cuntod,positive
802,"Markii ay timid markii la qaatay amarkaas uu qareenku na siiyay waqti adag, wuuna iska socday ka dibna dib ayuu ula soo laabtay waraaq iyo qalin inoo siinaya inaan qorno waxa aan rabno... raali iga ahaadaa laakiin ma aha in shaqadiisa uusan sidaas ahayn???",khadka,negative
804,Macalinku waxa uu markaa noo sheegay in aanu ka dalban karno liiskii aan rabnay laakiin wakhtigaas ayaan aad uga xumaatay khaadimka iyo makhaayadda si aannu u sii dayno oo meel kale u aadnay.,khadka,negative
807,Macalinku waxa uu markaa noo sheegay in aanu ka dalban karno liiskii aan rabnay laakiin wakhtigaas ayaan aad uga xumaatay khaadimka iyo makhaayadda si aannu u sii dayno oo meel kale u aadnay.,menu,neutral
809,Macalinku waxa uu markaa noo sheegay in aanu ka dalban karno liiskii aan rabnay laakiin wakhtigaas ayaan aad uga xumaatay khaadimka iyo makhaayadda si aannu u sii dayno oo meel kale u aadnay.,maareeyaha,neutral
811,cuntada waa mid macaan oo si weyn loola taliyaa.,cuntod,positive
814,"Markii saxanku yimid waxaa la shidi jiray oo ay la socdeen chillis cagaaran, hubaal ma uu cuni karo qof bini'aadam ah.",chillis cagaaran,negative
818,"Markii saxanku yimid waxaa la shidi jiray oo ay la socdeen chillis cagaaran, hubaal ma uu cuni karo qof bini'aadam ah.",saxan,negative
822,"Waxaan u cabanayaa qofka intaa ka dibna wakiilka u ah, laakiin xumaantoodu xooga badneyd ee ka socotay ayaa kor u kacday.",maareeyaha,negative
825,"Waxaan u cabanayaa qofka intaa ka dibna wakiilka u ah, laakiin xumaantoodu xooga badneyd ee ka socotay ayaa kor u kacday.",khadka,negative
828,Aad iyo aad baan uga niyad jabay adeeggoodii iyo cuntadoodii.,adeege,negative
831,Aad iyo aad baan uga niyad jabay adeeggoodii iyo cuntadoodii.,cuntod,negative
834,Waxaan tegey sabtidii la soo dhaafay oo waxaan haystay cunto aad u fiican oo ka kooban shoolad wanan oo baradhan la qalay.,braised shank wan leh baraddo la qalay,positive
836,Waxaan tegey sabtidii la soo dhaafay oo waxaan haystay cunto aad u fiican oo ka kooban shoolad wanan oo baradhan la qalay.,raab,positive
839,"Intii u dhaxaysay aniga iyo martidaydii, waxaanu tijaabinay ugu yaraan 80% ee menu-da, dhamaantoodna waxay ahaayeen hits.",menu,positive
841,Deco iyo ambiance runtii waxay ahayd mid ka taataabtay.,Deco,positive
844,Deco iyo ambiance runtii waxay ahayd mid ka taataabtay.,ambiance,positive
847,"Waxaan cunay dhamaan sadexda goobood mar walbana waan jeclahay, waan jeclahay cuntada, adeega mar walba waa cajiib, qiimuhuna runtii waa mid macquul ah.",qiimayaasha,positive
851,"Waxaan cunay dhamaan sadexda goobood mar walbana waan jeclahay, waan jeclahay cuntada, adeega mar walba waa cajiib, qiimuhuna runtii waa mid macquul ah.",adeege,positive
855,"Waxaan cunay dhamaan sadexda goobood mar walbana waan jeclahay, waan jeclahay cuntada, adeega mar walba waa cajiib, qiimuhuna runtii waa mid macquul ah.",cuntod,positive
859,"Haddii aad rabtid in aad dhadhan fiican, si fiican loo dhadhansado latin cunto ka cuna Cabana oo aadan qalad ku socon karin.",cuntada latin,positive
862,"Waxay ahayd si wacan oo aan la garanayn, adeeggu wuxuu ahaa mid farxad leh, beerta la jecel yahay, cuntada (rabitaanka rabitaanka) wuxuu ahaa mid delectable.",beerta,positive
866,"Waxay ahayd si wacan oo aan la garanayn, adeeggu wuxuu ahaa mid farxad leh, beerta la jecel yahay, cuntada (rabitaanka rabitaanka) wuxuu ahaa mid delectable.",adeege,positive
870,"Waxay ahayd si wacan oo aan la garanayn, adeeggu wuxuu ahaa mid farxad leh, beerta la jecel yahay, cuntada (rabitaanka rabitaanka) wuxuu ahaa mid delectable.",appetizers,positive
874,"Waxay ahayd si wacan oo aan la garanayn, adeeggu wuxuu ahaa mid farxad leh, beerta la jecel yahay, cuntada (rabitaanka rabitaanka) wuxuu ahaa mid delectable.",entrees,positive
878,"Waxay ahayd si wacan oo aan la garanayn, adeeggu wuxuu ahaa mid farxad leh, beerta la jecel yahay, cuntada (rabitaanka rabitaanka) wuxuu ahaa mid delectable.",cuntod,positive
882,"Yum, buskutka waa ku weyn yahay halkan.",shiiny,positive
885,"Gunuunku waa mid cusub, laakiin dhadhan ma leh, waxaan jecelnahay inaan ku darno salsadeena cusub ee casaanka ah.",Salsa salsa,neutral
887,"Gunuunku waa mid cusub, laakiin dhadhan ma leh, waxaan jecelnahay inaan ku darno salsadeena cusub ee casaanka ah.",dhadhan,negative
890,Fajita aannu isku daynay wuxuu ahaa mid aan dhadhan lahayn oo gubtay iyo suugoog jilicsan ayaa ahaa hab aad u macaan.,fajita,negative
894,Fajita aannu isku daynay wuxuu ahaa mid aan dhadhan lahayn oo gubtay iyo suugoog jilicsan ayaa ahaa hab aad u macaan.,mole kasar,negative
898,La joog la bulaacada la dubay oo waad fiicnaan doontaa.,chicken la dubay,positive
900,Adeeggu wuxuu ka mid ahaa kuwii ugu fiicnaa ee aan abid lahaa ee NYC.,Adeegga,positive
903,Alfredo fettucino wuxuu ahaa mid cajiib ah.,fettucino alfredo,positive
906,Qiimaha xitaa ka baxsan makhaayad toddobaadkii waxay ahaayeen weyn.,Qiimaha,positive
909,"the bartenders and the managers are really nice and the décor is very comfy and laid-back, oo dhan halka la trendy.",maareeyayaasha,positive
913,"the bartenders and the managers are really nice and the décor is very comfy and laid-back, oo dhan halka la trendy.",bartilmaamed,positive
917,"the bartenders and the managers are really nice and the décor is very comfy and laid-back, oo dhan halka la trendy.",décor,positive
921,"Waan jeclahay cabitaannada, esp esp lychee martini, iyo cuntadu sidoo kale waa MID AAD U wanaagsan.",cabitaan,positive
925,"Waan jeclahay cabitaannada, esp esp lychee martini, iyo cuntadu sidoo kale waa MID AAD U wanaagsan.",lychee martini,positive
929,"Waan jeclahay cabitaannada, esp esp lychee martini, iyo cuntadu sidoo kale waa MID AAD U wanaagsan.",cuntod,positive
933,Sushigu waa mid qiime macquul ah oo cusub.,qaali,positive
937,Sushigu waa mid qiime macquul ah oo cusub.,suldaa,positive
941,Waa u wanaagsan tahay qadada sushi degdegga ah.,sushi qadada,positive
944,"Ma aha oo kaliya in ay leeyihiin escargot ugu fiican ee magaalada, waxay had iyo jeer isku dayaan in ay meel our baradka.",escargot,positive
947,Appetizer waa heer wanaagsan halkan; waxaad dibada uga samayn kartaa cunto weyn (oo aan qaali ahayn).,Appetizer,positive
951,Appetizer waa heer wanaagsan halkan; waxaad dibada uga samayn kartaa cunto weyn (oo aan qaali ahayn).,raab,positive
955,Muusikada xajiinta leh waa wax iftiimin leh.,muusikada basbaaska ah,positive
958,Mojito hayo oo fadhiiso bariga dambe.,dib patio,positive
960,Mojito hayo oo fadhiiso bariga dambe.,mojito,positive
962,"Inkastoo cuntadoodu ay tahay mid macaan, hadana Sushiidoodu waa mid ka baxsan dunidan.",cuntada jikada,positive
966,"Inkastoo cuntadoodu ay tahay mid macaan, hadana Sushiidoodu waa mid ka baxsan dunidan.",Sushii,positive
970,"Meeshani waxay leedahay menu-ka ugu cajiibka badan, makhaayadahana way isku daydaa in ay aad u adag tahay in ay sameeyaan cunto fancy ah.",menu,negative
974,"Meeshani waxay leedahay menu-ka ugu cajiibka badan, makhaayadahana way isku daydaa in ay aad u adag tahay in ay sameeyaan cunto fancy ah.",cuntod,negative
978,Mar kasta oo aan halkaas tago ma dooran karo wax aan cuno mana ahan sababtoo ah menu waxaa ka buuxsamay waxyaabo waaweyn oo la cuno.,menu,negative
980,Mar walba waxaan is arkaa aniga oo codsanaya qofkaas masaakiinka ah in uu sameeyo wax dhun-laxaad la'aan ah oo ka duwan waxa ku jira menu-da.,khadka,neutral
982,Mar walba waxaan is arkaa aniga oo codsanaya qofkaas masaakiinka ah in uu sameeyo wax dhun-laxaad la'aan ah oo ka duwan waxa ku jira menu-da.,menu,neutral
984,"Inkastoo makhaayadda lafteeda lafteedu ay fiicantahay, waxaan doorbidayaa in aanan cuntada u tegin.",cuntod,negative
986,Meeshan yari waa soo dhawayn diiran si yaab leh.,meele,positive
989,The martida (milkiilaha) iyo server waa qof iyo daryeel.,martiqaad (milkiile),positive
991,The martida (milkiilaha) iyo server waa qof iyo daryeel.,server,positive
994,"Iyo cuntadii, si wanaagsan ayey cuntadu kuu hayn doontaa in aad soo noqotid.",cuntod,positive
996,"Iyo cuntadii, si wanaagsan ayey cuntadu kuu hayn doontaa in aad soo noqotid.",cuntod,positive
998,Waxay leeyihiin baasto uur ku sameysma oo nooc kasta leh -- waxaan ku talinayaa gnocchi--yum!,pastas guriga laga dhisay,positive
1000,Waxay leeyihiin baasto uur ku sameysma oo nooc kasta leh -- waxaan ku talinayaa gnocchi--yum!,gnocchi,positive
1003,"Sidoo kale, biqilka baalasha leh shiinbir (appetizer) waa ilaah.",feeraha chick la shrimp (appetizer),positive
1005,mojitos iyo adeega ayaa ah qaybta ugu fiican ee halkaas,mojitos,positive
1008,mojitos iyo adeega ayaa ah qaybta ugu fiican ee halkaas,adeege,positive
1011,"Adeeggu wuxuu ahaa mid wanaagsan, jawigana waa uu ahaa sidaas oo kale.",Adeegga,positive
1014,"Adeeggu wuxuu ahaa mid wanaagsan, jawigana waa uu ahaa sidaas oo kale.",jawiga,positive
1017,MY taariikhda oo aniga iyo labadeenuba amartay Branzini iyo labada dareemay kalluunka ahaa mid aad u celcelis.,kaluun,negative
1020,MY taariikhda oo aniga iyo labadeenuba amartay Branzini iyo labada dareemay kalluunka ahaa mid aad u celcelis.,Branzini,neutral
1023,Guud ahaan raashinku wuu wanaagsanaa. ,cuntod,positive
1026,Salad kaysar wuxuu ahaa mid aad u weyn.,kale salad,positive
1029,calamari la shiilay ayaa ka sii fiicnaa!,calamari jilicsan,positive
1032,AAD IYO AAD BAAN UGU NIYAD JABAY RAASHINKA.,CUNTADA,negative
1035,"PUDDING THE MUUSKA AY U ADEEGAAN WALIGEED MA ARAG FOORNO,CRABCAKES WAA HAB KA BADAN CUSBO OO HA I BILAABIN ON MAC IYO JIISKA AAD U DUFAN.",MAC IYO KAAS,negative
1039,"PUDDING THE MUUSKA AY U ADEEGAAN WALIGEED MA ARAG FOORNO,CRABCAKES WAA HAB KA BADAN CUSBO OO HA I BILAABIN ON MAC IYO JIISKA AAD U DUFAN.",CRABCAKES,negative
1043,"PUDDING THE MUUSKA AY U ADEEGAAN WALIGEED MA ARAG FOORNO,CRABCAKES WAA HAB KA BADAN CUSBO OO HA I BILAABIN ON MAC IYO JIISKA AAD U DUFAN.",BANAAN PUDDING,negative
1045,Sushiina waa mid cusub oo ay afkaaga u soo burqaneysaa.,Sushii,positive
1048,Laakiin hubso in aad leedahay meel ku filan kaarkaaga deynta maadaama biilku uu uga tagi doono dalool weyn oo jeebkaaga ku jira.,bill,negative
1051,raashinku wuxuu ahaa mid ladan darro ah in ay noqoto mid yar oo isku celcelis ah - milkiilayaasha waa koox tag-team ah oo aan wanaagsaneyn - sidaa daraadeed aan firfircoonayn oo aan firfircoonayn i run ahaantii waxaan iska daayay gufaw wadnaha ah inta ay cuntada ku jirto.,gudaha,negative
1055,raashinku wuxuu ahaa mid ladan darro ah in ay noqoto mid yar oo isku celcelis ah - milkiilayaasha waa koox tag-team ah oo aan wanaagsaneyn - sidaa daraadeed aan firfircoonayn oo aan firfircoonayn i run ahaantii waxaan iska daayay gufaw wadnaha ah inta ay cuntada ku jirto.,cune,neutral
1057,raashinku wuxuu ahaa mid ladan darro ah in ay noqoto mid yar oo isku celcelis ah - milkiilayaasha waa koox tag-team ah oo aan wanaagsaneyn - sidaa daraadeed aan firfircoonayn oo aan firfircoonayn i run ahaantii waxaan iska daayay gufaw wadnaha ah inta ay cuntada ku jirto.,milkiilayaasha,negative
1061,raashinku wuxuu ahaa mid ladan darro ah in ay noqoto mid yar oo isku celcelis ah - milkiilayaasha waa koox tag-team ah oo aan wanaagsaneyn - sidaa daraadeed aan firfircoonayn oo aan firfircoonayn i run ahaantii waxaan iska daayay gufaw wadnaha ah inta ay cuntada ku jirto.,cuntod,negative
1065,Cuntadan waxay ahayd mid aad u qaali ah waxa aad hesho.,Cuntada,negative
1068,72kii doollar ee delmonico waxay ahayd in dib loo soo celiyo sababtoo ah lama karsanin in la kariyo si uu u dalbado.,Delmonico steak,negative
1071,Maamulkuna waa uu ka yaraa inta uu soconayey.,Maamulka,negative
1074,Had iyo jeer waxaan helnaa adeeg cajiib ah waxaanan jecelnahay cuntada.,adeege,positive
1078,Had iyo jeer waxaan helnaa adeeg cajiib ah waxaanan jecelnahay cuntada.,cuntod,positive
