,yo,aspect,polarities
386,"Confitte pẹ́pẹ́yẹ gf mi le gan-an bákan náà, bí ó tilẹ̀ jẹ́ pé n kò ní ìpìlẹ̀ ìtọ́kasí kékeré.",duck confitte,positive
389,"Òṣìṣẹ́ ìdúró náà fanimọ́ra, bí o kò bá gbé àrífín tàbí picky....... Oúnjẹ wá ní Leon ní òpin ọ̀sẹ̀ tó kọjá dára púpọ̀ -.",Duro awọn oṣiṣẹ,positive
393,"Òṣìṣẹ́ ìdúró náà fanimọ́ra, bí o kò bá gbé àrífín tàbí picky....... Oúnjẹ wá ní Leon ní òpin ọ̀sẹ̀ tó kọjá dára púpọ̀ -.",ounjẹ,positive
397,Mo fọwọ́sọ̀yà èyíkèyí nínú àwọn oúnjẹ salmon wọn......,awọn ounjẹ salmon,positive
400,Oúnjẹ ńlá ṣùgbọ́n iṣẹ́ náà burú jáì!,iṣẹ,negative
404,Oúnjẹ ńlá ṣùgbọ́n iṣẹ́ náà burú jáì!,ounjẹ,positive
408,Obìnrin oníbàárà méjì náà dà bí ẹni pé wọ́n ti ń mu ọsàn wẹ́mọ́ wẹ́fọ́.,waitress's,negative
410,Iṣẹ́ náà lọ́ra gidi gan-an (ibẹ̀ kún fún ìdajì péré) àti pé ẹ̀rín ìbá ti dára...,iṣẹ,negative
413,"Ní àkókò tí ó ga jù, ilé-oúnjẹ náà ti kún fún ọ̀pọ̀lọpọ̀ ènìyàn àti pé tábìlì náà súnmọ́ ara wọn.",awọn tabili,negative
416,"Tí o bá wà níbí gẹ́gẹ́ bí oúnjẹ ṣíwájú ìfihàn, wọ ọkọ̀ ayọ́kẹ́lẹ́ kí o sì gba àfikún ìṣẹ́jú 10 láti lọ sí ibi òkè ìlú.",Pre-show onje,neutral
418,"O kan jẹ ohun gbogbo ... Awọn ounjẹ, afẹfẹ ... Awọn incrediby ore ati ore-ọfẹ hostess.",afẹ́fẹ́,positive
420,"O kan jẹ ohun gbogbo ... Awọn ounjẹ, afẹfẹ ... Awọn incrediby ore ati ore-ọfẹ hostess.",hostess,positive
423,"O kan jẹ ohun gbogbo ... Awọn ounjẹ, afẹfẹ ... Awọn incrediby ore ati ore-ọfẹ hostess.",ounjẹ,positive
425,"Àyíká náà dára, ó pariwo díẹ̀ ṣùgbọ́n ó sì dára ó sì ń lo ìfẹ́ lọ́wọ́.",ambiance,positive
428,"Síbẹ̀síbẹ̀, gẹ́gẹ́ bí oúnjẹ, oúnjẹ náà bà wá nínú jẹ́ pátápátá.",ounjẹ,negative
431,"Mo dábàá ẹja codfish dúdú sísun, ó jẹ́ oúnjẹ tó dára jùlọ ní ìrọ̀lẹ́.",dudu sisun codfish,positive
434,"Mo dábàá ẹja codfish dúdú sísun, ó jẹ́ oúnjẹ tó dára jùlọ ní ìrọ̀lẹ́.",abọ́,positive
437,Mo jẹ oúnjẹ edé tí ó dùn.,shrimp creole,positive
440,Oúnjẹ alẹ́ adìẹ náà dára gan-an.,adie ale,positive
443,Ṣùgbọ́n oúnjẹ náà dùn.,ounjẹ,positive
446,Ààyè náà jẹ́ àṣà ìbílẹ̀ ní ìmọ̀lára.,ààyè,neutral
449,Àwọn oúnjẹ àtinúdá bíi sàláàdì akàn ọba pẹ̀lú èso ìfẹ́ vinaigrette àti fettuccine pẹ̀lú ẹja òkun sísun nínú ọbẹ̀ rosemary-orange jẹ́ àwọn èròjà àìròtẹ́lẹ̀ lórí àtòjọ-ẹ̀yàn bistro tí a lè sọ tẹ́lẹ̀.,akojọ aṣayan bistro,neutral
453,Àwọn oúnjẹ àtinúdá bíi sàláàdì akàn ọba pẹ̀lú èso ìfẹ́ vinaigrette àti fettuccine pẹ̀lú ẹja òkun sísun nínú ọbẹ̀ rosemary-orange jẹ́ àwọn èròjà àìròtẹ́lẹ̀ lórí àtòjọ-ẹ̀yàn bistro tí a lè sọ tẹ́lẹ̀.,king crab salad pẹlu passion fruit vinaigrette,positive
457,Àwọn oúnjẹ àtinúdá bíi sàláàdì akàn ọba pẹ̀lú èso ìfẹ́ vinaigrette àti fettuccine pẹ̀lú ẹja òkun sísun nínú ọbẹ̀ rosemary-orange jẹ́ àwọn èròjà àìròtẹ́lẹ̀ lórí àtòjọ-ẹ̀yàn bistro tí a lè sọ tẹ́lẹ̀.,awọn ounjẹ,positive
461,Àwọn oúnjẹ àtinúdá bíi sàláàdì akàn ọba pẹ̀lú èso ìfẹ́ vinaigrette àti fettuccine pẹ̀lú ẹja òkun sísun nínú ọbẹ̀ rosemary-orange jẹ́ àwọn èròjà àìròtẹ́lẹ̀ lórí àtòjọ-ẹ̀yàn bistro tí a lè sọ tẹ́lẹ̀.,fettuccine pẹ̀lú ẹja òkun sísun nínú ọbẹ̀ rosemary-orange,positive
465,Àwọn oúnjẹ ìpanu Montparnasse - pàápàá jùlọ crème brulee siliki àti apple tart tí ó fẹ́lẹ́fẹ́lẹ́ - dára tó fúnra wọn láti jẹ́ kí ilé-oúnjẹ náà tọ́ sí ìrìn-àjò náà.,desserts,positive
469,Àwọn oúnjẹ ìpanu Montparnasse - pàápàá jùlọ crème brulee siliki àti apple tart tí ó fẹ́lẹ́fẹ́lẹ́ - dára tó fúnra wọn láti jẹ́ kí ilé-oúnjẹ náà tọ́ sí ìrìn-àjò náà.,apple tart,positive
473,Àwọn oúnjẹ ìpanu Montparnasse - pàápàá jùlọ crème brulee siliki àti apple tart tí ó fẹ́lẹ́fẹ́lẹ́ - dára tó fúnra wọn láti jẹ́ kí ilé-oúnjẹ náà tọ́ sí ìrìn-àjò náà.,crème brulee,positive
477,Mo jẹ oúnjẹ tó dára níbẹ̀ ní òpin ọ̀sẹ̀ yìí kí ó tó lọ sí sinimá!,ounjẹ,positive
480,Ó ti tó ìgbà díẹ̀ mo sì gbàgbé bí àwọn crepes dídùn ṣe lè dùn tó.,crepes,positive
483,Oúnjẹ náà - bí ó tilẹ̀ jẹ́ pé ọ̀pọ̀lọpọ̀ wọn jinlẹ̀ - rọrùn ó sì tẹ́ni lọ́rùn.,ounjẹ,positive
486,Àwọn olùjẹ oúnjẹ máa ń lẹ̀ mọ́ sàláàdì tàbí kí wọ́n máa gbádùn àwo ẹlẹ́rìndòdò.,salads,positive
488,Àwọn olùjẹ oúnjẹ máa ń lẹ̀ mọ́ sàláàdì tàbí kí wọ́n máa gbádùn àwo ẹlẹ́rìndòdò.,vegetarian platters,positive
490,"Creamy appetizers --taramasalata, eggplant salad, àti Greek yogurt (pẹ̀lú cuccumber, dill, and garlic) dùn dáadáa nígbà tí ó bá wà lórí pitas tó lọ́ wọ́ọ́rọ́.",taramasalata,positive
494,"Creamy appetizers --taramasalata, eggplant salad, àti Greek yogurt (pẹ̀lú cuccumber, dill, and garlic) dùn dáadáa nígbà tí ó bá wà lórí pitas tó lọ́ wọ́ọ́rọ́.",Awọn appetizers creamy,positive
498,"Creamy appetizers --taramasalata, eggplant salad, àti Greek yogurt (pẹ̀lú cuccumber, dill, and garlic) dùn dáadáa nígbà tí ó bá wà lórí pitas tó lọ́ wọ́ọ́rọ́.","Greek yogurt (pẹlu cuccumber, dill, ati ata)",positive
500,"Creamy appetizers --taramasalata, eggplant salad, àti Greek yogurt (pẹ̀lú cuccumber, dill, and garlic) dùn dáadáa nígbà tí ó bá wà lórí pitas tó lọ́ wọ́ọ́rọ́.",awọn pitas gbona,neutral
504,"Creamy appetizers --taramasalata, eggplant salad, àti Greek yogurt (pẹ̀lú cuccumber, dill, and garlic) dùn dáadáa nígbà tí ó bá wà lórí pitas tó lọ́ wọ́ọ́rọ́.",eggplant saladi,positive
508,Nítorí pé àwọn oníbàárà nílò ÀTÚNṢE ATTITUE TÓ LÁGBÁRA.,awọn olutọju,negative
510,Àwọn oníbàárà máa ń bínú ní gbogbo ìgbà wọ́n sì máa ń fojú fo àwọn olùkópa gíga wọn.,awọn olutọju,negative
513,"Ní ọ̀pọ̀lọpọ̀ ìgbà wọ́n sì farada ìwà burúkú àwọn olùgbàwo, wọ́n mọ̀ pé iṣẹ́ wọn kò rọrùn.",awọn olutọju,negative
516,"Níkẹyìn, iṣẹ́ burúkú náà ti sú mi, àwọn ẹ̀rín burúkú, àti ọ̀rọ̀ ẹ̀yìn tí kò dára.",iṣẹ,negative
519,"Ó jẹ́ oúnjẹ ìbílẹ̀, tí ó rọrùn láti orílẹ̀-èdè Italy.",Italian ounje,positive
522,"Oúnjẹ tó dára ni, kò sí nkankan mọ́ àti pé gbogbo ohun tí a fẹ́ nìyẹn!",ounjẹ,positive
525,"Àtòjọ ọtí wáìnì náà fẹ̀, iye owó rẹ̀ dára ó sì bo ọ̀pọ̀lọpọ̀ agbègbè.",waini akojọ,positive
529,"Àtòjọ ọtí wáìnì náà fẹ̀, iye owó rẹ̀ dára ó sì bo ọ̀pọ̀lọpọ̀ agbègbè.",iye owo,positive
533,Oúnjẹ ọtí wáìnì dáradára òun nìyẹn.,ọtí ẹlẹ́rìndòdò,positive
537,Oúnjẹ ọtí wáìnì dáradára òun nìyẹn.,ounjẹ,positive
541,"Mo nífẹ̀ẹ́ ìrọ̀rùn àti ọ̀wọ̀ tí wọ́n fún ní oúnjẹ náà, bákan náà àwọn òṣìṣẹ́ náà fanimọ́ra tí wọ́n sì mọ̀.",oṣiṣẹ,positive
544,"Mo nífẹ̀ẹ́ ìrọ̀rùn àti ọ̀wọ̀ tí wọ́n fún ní oúnjẹ náà, bákan náà àwọn òṣìṣẹ́ náà fanimọ́ra tí wọ́n sì mọ̀.",ounjẹ,positive
547,Oúnjẹ náà kò dára tó àti pé iṣẹ́ wọn kò yàrá tó.,ounjẹ,neutral
551,Oúnjẹ náà kò dára tó àti pé iṣẹ́ wọn kò yàrá tó.,iṣẹ,negative
555,Ó gbà tó wákàtí 2 1/2 láti ṣe àwọn kọ́ọ̀sì 2 wa.,awọn ẹkọ,neutral
557,Ó gbà tó wákàtí 2 1/2 láti ṣe àwọn kọ́ọ̀sì 2 wa.,sin sin,negative
559,A paṣẹ gilasi ọti-waini kan ati pe a ti pari jijẹ ati sanwo ṣaaju ki ọti-waini naa de.,gilasi ti ọti-waini,neutral
561,Àga kíká tí mo jókòó sí kò rọrùn rárá.,folding ijoko,negative
564,Olùgbà wa lọ́yàyà ó sì jẹ́ ohun ìtìjú pé kò ní òṣìṣẹ́ àtìlẹ́yìn láti ṣiṣẹ́ pẹ̀lú.,oṣiṣẹ,negative
566,Olùgbà wa lọ́yàyà ó sì jẹ́ ohun ìtìjú pé kò ní òṣìṣẹ́ àtìlẹ́yìn láti ṣiṣẹ́ pẹ̀lú.,waiter,positive
569,Mo lọ sí ilé oúnjẹ ní ọ̀sẹ̀ ilé oúnjẹ mo sì bèèrè fún mi kúrò nínú àkójọ àṣàyàn Prix fixe.,Prix fixe menu,neutral
571,Òṣìṣẹ́ ìdúró náà fetí sílẹ̀ ó sì ní ìwà ọmọlúwàbí.,Duro awọn oṣiṣẹ,positive
574,Kẹ̀kẹ́ wàrà portuguese tí wọ́n yàn pẹ̀lú èbúté tó dára pèsè ìparí Iberian tó péye.,Portuguese cheese cart,positive
578,Kẹ̀kẹ́ wàrà portuguese tí wọ́n yàn pẹ̀lú èbúté tó dára pèsè ìparí Iberian tó péye.,ibudo,positive
582,"Bí ó ṣe fẹ̀ tó sì ń pariwo díẹ̀, àwọn ohun mímu náà dára, oúnjẹ náà sì dára púpọ̀.",awọn ohun mimu,positive
586,"Bí ó ṣe fẹ̀ tó sì ń pariwo díẹ̀, àwọn ohun mímu náà dára, oúnjẹ náà sì dára púpọ̀.",ounjẹ,positive
590,Àwọn iye owó rẹ̀ kò burú jáì.,awọn idiyele,positive
593,"Ìṣe náà dára púpọ̀, wọ́n sì ní ọ̀pọ̀lọpọ̀ nkan fún ọjọ́ ìbí.",iṣẹ,positive
596,"Ní àwọn ìgbà mìíràn tí mo ti lọ ó jẹ́ ọ̀run ọjọ́ ìfẹ́, o lè rìn wọlé gba ibùdó lẹ́gbẹ̀ẹ́ fèrèsé, kí wọ́n tọ́jú rẹ̀ bí VIP ní ibi tí kò kún fún ọ̀pọ̀lọpọ̀ ènìyàn, pẹ̀lú oúnjẹ àti iṣẹ́ ńlá.",iṣẹ,positive
600,"Ní àwọn ìgbà mìíràn tí mo ti lọ ó jẹ́ ọ̀run ọjọ́ ìfẹ́, o lè rìn wọlé gba ibùdó lẹ́gbẹ̀ẹ́ fèrèsé, kí wọ́n tọ́jú rẹ̀ bí VIP ní ibi tí kò kún fún ọ̀pọ̀lọpọ̀ ènìyàn, pẹ̀lú oúnjẹ àti iṣẹ́ ńlá.",ounjẹ,positive
604,"Ní àwọn ìgbà mìíràn tí mo ti lọ ó jẹ́ ọ̀run ọjọ́ ìfẹ́, o lè rìn wọlé gba ibùdó lẹ́gbẹ̀ẹ́ fèrèsé, kí wọ́n tọ́jú rẹ̀ bí VIP ní ibi tí kò kún fún ọ̀pọ̀lọpọ̀ ènìyàn, pẹ̀lú oúnjẹ àti iṣẹ́ ńlá.",booth nipasẹ awọn windows,neutral
606,"Ní àwọn ìgbà mìíràn tí mo ti lọ ó jẹ́ ọ̀run ọjọ́ ìfẹ́, o lè rìn wọlé gba ibùdó lẹ́gbẹ̀ẹ́ fèrèsé, kí wọ́n tọ́jú rẹ̀ bí VIP ní ibi tí kò kún fún ọ̀pọ̀lọpọ̀ ènìyàn, pẹ̀lú oúnjẹ àti iṣẹ́ ńlá.",ibi,positive
610,"Fresh veggies, gbogbo oríṣìíríṣìí àwọn ìtànkálẹ̀ àárín ìlà-oòrùn, wàrà àti falafel, ọbẹ̀, ẹja, ìrẹsì, ẹ̀fọ́ gbògbò, medley ìrẹsì, àwọn nkan ẹ̀fọ́ kan, kebabs ọ̀dọ́-àgùntàn, cheese baclava... Ó dára púpọ̀, gbogbo rẹ̀ sì dùn.",wàrà,positive
613,"Fresh veggies, gbogbo oríṣìíríṣìí àwọn ìtànkálẹ̀ àárín ìlà-oòrùn, wàrà àti falafel, ọbẹ̀, ẹja, ìrẹsì, ẹ̀fọ́ gbògbò, medley ìrẹsì, àwọn nkan ẹ̀fọ́ kan, kebabs ọ̀dọ́-àgùntàn, cheese baclava... Ó dára púpọ̀, gbogbo rẹ̀ sì dùn.",Àwọn ẹ̀fọ́ tuntun,positive
614,"Fresh veggies, gbogbo oríṣìíríṣìí àwọn ìtànkálẹ̀ àárín ìlà-oòrùn, wàrà àti falafel, ọbẹ̀, ẹja, ìrẹsì, ẹ̀fọ́ gbògbò, medley ìrẹsì, àwọn nkan ẹ̀fọ́ kan, kebabs ọ̀dọ́-àgùntàn, cheese baclava... Ó dára púpọ̀, gbogbo rẹ̀ sì dùn.",ẹja,positive
617,"Fresh veggies, gbogbo oríṣìíríṣìí àwọn ìtànkálẹ̀ àárín ìlà-oòrùn, wàrà àti falafel, ọbẹ̀, ẹja, ìrẹsì, ẹ̀fọ́ gbògbò, medley ìrẹsì, àwọn nkan ẹ̀fọ́ kan, kebabs ọ̀dọ́-àgùntàn, cheese baclava... Ó dára púpọ̀, gbogbo rẹ̀ sì dùn.",fooood,positive
620,"Fresh veggies, gbogbo oríṣìíríṣìí àwọn ìtànkálẹ̀ àárín ìlà-oòrùn, wàrà àti falafel, ọbẹ̀, ẹja, ìrẹsì, ẹ̀fọ́ gbògbò, medley ìrẹsì, àwọn nkan ẹ̀fọ́ kan, kebabs ọ̀dọ́-àgùntàn, cheese baclava... Ó dára púpọ̀, gbogbo rẹ̀ sì dùn.",gbongbo ẹfọ,positive
625,"Fresh veggies, gbogbo oríṣìíríṣìí àwọn ìtànkálẹ̀ àárín ìlà-oòrùn, wàrà àti falafel, ọbẹ̀, ẹja, ìrẹsì, ẹ̀fọ́ gbògbò, medley ìrẹsì, àwọn nkan ẹ̀fọ́ kan, kebabs ọ̀dọ́-àgùntàn, cheese baclava... Ó dára púpọ̀, gbogbo rẹ̀ sì dùn.",rice medley,positive
628,"Fresh veggies, gbogbo oríṣìíríṣìí àwọn ìtànkálẹ̀ àárín ìlà-oòrùn, wàrà àti falafel, ọbẹ̀, ẹja, ìrẹsì, ẹ̀fọ́ gbògbò, medley ìrẹsì, àwọn nkan ẹ̀fọ́ kan, kebabs ọ̀dọ́-àgùntàn, cheese baclava... Ó dára púpọ̀, gbogbo rẹ̀ sì dùn.",spinach ohun,positive
631,"Fresh veggies, gbogbo oríṣìíríṣìí àwọn ìtànkálẹ̀ àárín ìlà-oòrùn, wàrà àti falafel, ọbẹ̀, ẹja, ìrẹsì, ẹ̀fọ́ gbògbò, medley ìrẹsì, àwọn nkan ẹ̀fọ́ kan, kebabs ọ̀dọ́-àgùntàn, cheese baclava... Ó dára púpọ̀, gbogbo rẹ̀ sì dùn.",falafel,positive
634,"Fresh veggies, gbogbo oríṣìíríṣìí àwọn ìtànkálẹ̀ àárín ìlà-oòrùn, wàrà àti falafel, ọbẹ̀, ẹja, ìrẹsì, ẹ̀fọ́ gbògbò, medley ìrẹsì, àwọn nkan ẹ̀fọ́ kan, kebabs ọ̀dọ́-àgùntàn, cheese baclava... Ó dára púpọ̀, gbogbo rẹ̀ sì dùn.",Awọn itankale aarin ila-oorun,positive
637,"Fresh veggies, gbogbo oríṣìíríṣìí àwọn ìtànkálẹ̀ àárín ìlà-oòrùn, wàrà àti falafel, ọbẹ̀, ẹja, ìrẹsì, ẹ̀fọ́ gbògbò, medley ìrẹsì, àwọn nkan ẹ̀fọ́ kan, kebabs ọ̀dọ́-àgùntàn, cheese baclava... Ó dára púpọ̀, gbogbo rẹ̀ sì dùn.",lamb kebabs,positive
640,"Fresh veggies, gbogbo oríṣìíríṣìí àwọn ìtànkálẹ̀ àárín ìlà-oòrùn, wàrà àti falafel, ọbẹ̀, ẹja, ìrẹsì, ẹ̀fọ́ gbògbò, medley ìrẹsì, àwọn nkan ẹ̀fọ́ kan, kebabs ọ̀dọ́-àgùntàn, cheese baclava... Ó dára púpọ̀, gbogbo rẹ̀ sì dùn.",ọbẹ̀,positive
643,"Fresh veggies, gbogbo oríṣìíríṣìí àwọn ìtànkálẹ̀ àárín ìlà-oòrùn, wàrà àti falafel, ọbẹ̀, ẹja, ìrẹsì, ẹ̀fọ́ gbògbò, medley ìrẹsì, àwọn nkan ẹ̀fọ́ kan, kebabs ọ̀dọ́-àgùntàn, cheese baclava... Ó dára púpọ̀, gbogbo rẹ̀ sì dùn.",cheese baclava,positive
646,"Fresh veggies, gbogbo oríṣìíríṣìí àwọn ìtànkálẹ̀ àárín ìlà-oòrùn, wàrà àti falafel, ọbẹ̀, ẹja, ìrẹsì, ẹ̀fọ́ gbògbò, medley ìrẹsì, àwọn nkan ẹ̀fọ́ kan, kebabs ọ̀dọ́-àgùntàn, cheese baclava... Ó dára púpọ̀, gbogbo rẹ̀ sì dùn.",ìrẹsì,positive
649,"Iṣẹ́ tó lọ́ra, ṣùgbọ́n nígbà tí o bá ń dúró káàkiri pẹ̀lú àwọn ẹgbẹ́ 10 tàbí 20, ta ló máa ń ṣe àkíyèsí?",iṣẹ,negative
652,Iṣẹ́ tí ó burú jù tí mo ti ní ìrírí rí àti pé oúnjẹ náà kò tó nkan (nígbà tí wọ́n fún àwọn ènìyàn ní oúnjẹ tí wọ́n béèrè fún).,iṣẹ,negative
656,Iṣẹ́ tí ó burú jù tí mo ti ní ìrírí rí àti pé oúnjẹ náà kò tó nkan (nígbà tí wọ́n fún àwọn ènìyàn ní oúnjẹ tí wọ́n béèrè fún).,awọn ounjẹ,neutral
658,Iṣẹ́ tí ó burú jù tí mo ti ní ìrírí rí àti pé oúnjẹ náà kò tó nkan (nígbà tí wọ́n fún àwọn ènìyàn ní oúnjẹ tí wọ́n béèrè fún).,ounjẹ,negative
662,Dídúró wákàtí mẹ́ta kí o tó gba àwọn oúnjẹ wá náà jẹ́ ìtọ́jú pẹ̀lú.,entrees,neutral
664,Dídúró wákàtí mẹ́ta kí o tó gba àwọn oúnjẹ wá náà jẹ́ ìtọ́jú pẹ̀lú.,Dúró,negative
666,Oúnjẹ náà ní ó sì dára ṣùgbọ́n bí ó ṣe gba orúkọ oúnjẹ tí ó dára jùlọ ní Manhattan kọjá mi.,ounjẹ,positive
669,Kì í ṣe láti dún bí ohun tí kò dára jù ṣùgbọ́n ṣọ́ra fún ìgbàgbé.,delivary,negative
672,"Láti sọ òtítọ́, oúnjẹ náà ṣì dára àti pé iṣẹ́ náà yára ó sì burú bí ó tilẹ̀ jẹ́ pé ọwọ́ rẹ̀ máa ń dí gan-an.",iṣẹ,positive
676,"Láti sọ òtítọ́, oúnjẹ náà ṣì dára àti pé iṣẹ́ náà yára ó sì burú bí ó tilẹ̀ jẹ́ pé ọwọ́ rẹ̀ máa ń dí gan-an.",ounjẹ,positive
680,"Iṣẹ́ wọ́n dára, kò sí ìdúró, wà á sì gba ọ̀pọ̀lọpọ̀ nǹkan fún owó rẹ̀.",Iṣẹ́,positive
684,"Iṣẹ́ wọ́n dára, kò sí ìdúró, wà á sì gba ọ̀pọ̀lọpọ̀ nǹkan fún owó rẹ̀.",dúró,positive
688,"Iṣẹ́ wọ́n dára, kò sí ìdúró, wà á sì gba ọ̀pọ̀lọpọ̀ nǹkan fún owó rẹ̀.",iye owo,positive
690,Àwọn tí wọ́n ń dúró lọ́yàyà gan-an pásítà sì kúrò láyé.,pasta,positive
694,Àwọn tí wọ́n ń dúró lọ́yàyà gan-an pásítà sì kúrò láyé.,Awọn olutọju,positive
698,Ó jẹ́ ìdùnnú tí ó farasin tí ó kún fún ilé ọtí tí ó quaint àti oúnjẹ gidi.,ounjẹ,positive
702,Ó jẹ́ ìdùnnú tí ó farasin tí ó kún fún ilé ọtí tí ó quaint àti oúnjẹ gidi.,bar,positive
706,Ó jẹ́ ibi tí ó rọrùn láti lọ pẹ̀lú àwọn ọ̀rẹ́ díẹ̀.,ibi,positive
709,Mo fẹ́ràn sáńwíìsì alákàn rírọ̀ pẹ̀lú àwọn nǹkan díndín.,asọ ikarahun crab sandwich pẹlu fries,positive
712,"Fún oúnjẹ aládùn, calamari wọn jẹ́ olùborí.",appetizer,neutral
715,"Fún oúnjẹ aládùn, calamari wọn jẹ́ olùborí.",calamari,positive
718,"Ìpín tó pọ̀, iṣẹ́ tí ó dára tí ó sì fetí sílẹ̀, pẹ̀lú iye owó tí ó dára.",awọn ipin,positive
722,"Ìpín tó pọ̀, iṣẹ́ tí ó dára tí ó sì fetí sílẹ̀, pẹ̀lú iye owó tí ó dára.",iṣẹ,positive
726,"Ìpín tó pọ̀, iṣẹ́ tí ó dára tí ó sì fetí sílẹ̀, pẹ̀lú iye owó tí ó dára.",awọn idiyele,positive
730,Àyíká tó tutù ṣùgbọ́n irú ì já mi kulẹ̀.,afẹ́fẹ́,positive
733,Olutọju wa jẹ ẹru; Nítorí náà ìwà ìkà àti àìnífẹ̀ẹ́ sí i.,waiter,negative
736,Awọn sangria ká - omi si isalẹ.,sangria,negative
739,"akojọ aṣayan - uneventful, kekere.",akojọ aṣayan,negative
742,Awọn ounjẹ - ko tọ si iye owo naa.,iye owo,negative
745,Awọn ounjẹ - ko tọ si iye owo naa.,ounjẹ,negative
748,"Kódà nígbà tí alásè náà kò bá sí nínú ilé, oúnjẹ àti iṣẹ́ náà tọ́ lórí àfojúsùn.",iṣẹ,positive
751,"Kódà nígbà tí alásè náà kò bá sí nínú ilé, oúnjẹ àti iṣẹ́ náà tọ́ lórí àfojúsùn.",ounjẹ,positive
754,"Kódà nígbà tí alásè náà kò bá sí nínú ilé, oúnjẹ àti iṣẹ́ náà tọ́ lórí àfojúsùn.",Alásè,neutral
756,"Láti ìgbà tí mo ti ń dáná fún ìgbésí ayé, inú mi máa ń dùn gan-an nípa oúnjẹ tí mo jẹ ní ilé oúnjẹ.",ounjẹ,neutral
759,Alásè Waldy máa ń ṣe ìwọ̀n ní gbogbo ìgbà.,Alásè,positive
761,"Rii daju lati gbiyanju awọn smoked trout ... Lamb Chops, Veal Chops, Rabbit, poteto gratin, lori ati lori ati lori ...",Lamb Chops,positive
764,"Rii daju lati gbiyanju awọn smoked trout ... Lamb Chops, Veal Chops, Rabbit, poteto gratin, lori ati lori ati lori ...",poteto gratin,positive
767,"Rii daju lati gbiyanju awọn smoked trout ... Lamb Chops, Veal Chops, Rabbit, poteto gratin, lori ati lori ati lori ...",Smoked Trout,positive
770,"Rii daju lati gbiyanju awọn smoked trout ... Lamb Chops, Veal Chops, Rabbit, poteto gratin, lori ati lori ati lori ...",Ehoro,positive
773,"Rii daju lati gbiyanju awọn smoked trout ... Lamb Chops, Veal Chops, Rabbit, poteto gratin, lori ati lori ati lori ...",Veal Chops,positive
776,O kò ní jẹ́ ìfọwọ́sowọ́pọ̀ pẹ̀lú èyíkéyìí nínú àṣàyàn nínú àkójọ àṣàyàn.,akojọ aṣayan,positive
779,Olóhun náà àti òṣìṣẹ́ ṣe gbogbo ohun tí wọ́n lè ṣe láti jẹ́ kí ara rẹ balẹ̀.,oní-nǹkan,positive
781,Olóhun náà àti òṣìṣẹ́ ṣe gbogbo ohun tí wọ́n lè ṣe láti jẹ́ kí ara rẹ balẹ̀.,oṣiṣẹ,positive
783,Beere fun tabili igun yika lẹgbẹẹ window nla.,yika igun tabili tókàn si awọn ti o tobi window,positive
785,Ta ló sọ pé lọ nígbà tí ibẹ̀ bá dákẹ́ rọ́rọ́ lójú ọjọ́?,ibi,neutral
787,"Kò pọ̀ tó bẹ́ẹ̀, ṣùgbọ́n ó tó pé ìran ńlá kan wà.",ìṣẹ̀lẹ̀,positive
790,"Oúnjẹ náà dára - sushi dára, ṣùgbọ́n oúnjẹ sísè náà yà wá lẹ́nu.",awọn ounjẹ ti a ti sè,positive
794,"Oúnjẹ náà dára - sushi dára, ṣùgbọ́n oúnjẹ sísè náà yà wá lẹ́nu.",sushi,positive
798,"Oúnjẹ náà dára - sushi dára, ṣùgbọ́n oúnjẹ sísè náà yà wá lẹ́nu.",ounjẹ,positive
802,"Nígbà tí ó tó àkókò láti gba àṣẹ tí olùgbà náà fún wa ní ìṣòro, ó rìn lọ lẹ́yìn náà ó padà wá pẹ̀lú ìwé àti gègé fún wa láti kọ ohun tí a fẹ́ sílẹ̀... Jọ̀wọ́ èmi ṣùgbọ́n ṣé kì í ṣe iṣẹ́ rẹ̀ nìyẹn???",waiter,negative
804,Alákòóso náà wá sọ fún wa pé a lè béèrè fún láti inú àtòjọ-ẹ̀yàn yòówù tí a bá fẹ́ ṣùgbọ́n ní àkókò yẹn inú bí wa púpọ̀ pẹ̀lú olùtọ́jú àti ilé-oúnjẹ tí a jẹ́ kí a sì lọ sí ibòmíràn.,waiter,negative
807,Alákòóso náà wá sọ fún wa pé a lè béèrè fún láti inú àtòjọ-ẹ̀yàn yòówù tí a bá fẹ́ ṣùgbọ́n ní àkókò yẹn inú bí wa púpọ̀ pẹ̀lú olùtọ́jú àti ilé-oúnjẹ tí a jẹ́ kí a sì lọ sí ibòmíràn.,akojọ aṣayan,neutral
809,Alákòóso náà wá sọ fún wa pé a lè béèrè fún láti inú àtòjọ-ẹ̀yàn yòówù tí a bá fẹ́ ṣùgbọ́n ní àkókò yẹn inú bí wa púpọ̀ pẹ̀lú olùtọ́jú àti ilé-oúnjẹ tí a jẹ́ kí a sì lọ sí ibòmíràn.,Oluṣakoso,neutral
811,Oúnjẹ náà dùn bẹ́ẹ̀ ni wọn fọwọ́ rẹ̀ sọ̀yà gidi.,ounjẹ,positive
814,"Nígbà tí oúnjẹ náà dé ó ń jó pẹ̀lú àwọn ìyẹ̀fun aláwọ̀ ewé, dájúdájú ènìyàn kò jẹun.",green chillis,negative
818,"Nígbà tí oúnjẹ náà dé ó ń jó pẹ̀lú àwọn ìyẹ̀fun aláwọ̀ ewé, dájúdájú ènìyàn kò jẹun.",abọ́,negative
