,nya,aspect,polarities
564,Woperekera chakudya wathu anali waubwenzi ndipo n'zomvetsa chisoni kuti analibe antchito othandizira ogwira nawo ntchito.,ndodo,negative
566,Woperekera chakudya wathu anali waubwenzi ndipo n'zomvetsa chisoni kuti analibe antchito othandizira ogwira nawo ntchito.,woperekera chakudya,positive
569,Ndinapita ku mlungu wa odyera ndipo ndinalamula kuchoka pa menyu ya prix fixe,prix fixe menyu,neutral
571,Ogwira ntchito yodikirira anali atcheru kwambiri ndi aulemu.,dikirani antchito,positive
574,The mwaluso osankhidwa Chipwitikizi tchizi ngolo awiri ndi doko khalidwe amapereka wangwiro Iberian mapeto.,Chipwitikizi tchizi ngolo,positive
578,The mwaluso osankhidwa Chipwitikizi tchizi ngolo awiri ndi doko khalidwe amapereka wangwiro Iberian mapeto.,doko,positive
582,"Ngakhale kuti zinali zazikulu komanso phokoso pang'ono, zakumwazo zinali zosangalatsa, ndipo chakudyacho chinali chabwino kwambiri.",zakumwa,positive
586,"Ngakhale kuti zinali zazikulu komanso phokoso pang'ono, zakumwazo zinali zosangalatsa, ndipo chakudyacho chinali chabwino kwambiri.",chakudya,positive
590,Mitengo si yoopsa.,mitengo,positive
593,"Utumikiwo unali waukulu, ndipo ali ndi zambiri pa masiku akubadwa.",utumiki,positive
596,"Nthawi zina ine ndapita ndi chikondi tsiku kumwamba, mukhoza kuyenda mu kupeza khola ndi mazenera, kuchitiridwa ngati VIP mu malo osati odzaza, ndi chakudya chachikulu ndi utumiki.",utumiki,positive
600,"Nthawi zina ine ndapita ndi chikondi tsiku kumwamba, mukhoza kuyenda mu kupeza khola ndi mazenera, kuchitiridwa ngati VIP mu malo osati odzaza, ndi chakudya chachikulu ndi utumiki.",chakudya,positive
604,"Nthawi zina ine ndapita ndi chikondi tsiku kumwamba, mukhoza kuyenda mu kupeza khola ndi mazenera, kuchitiridwa ngati VIP mu malo osati odzaza, ndi chakudya chachikulu ndi utumiki.",thandala pafupi ndi mawindo,neutral
606,"Nthawi zina ine ndapita ndi chikondi tsiku kumwamba, mukhoza kuyenda mu kupeza khola ndi mazenera, kuchitiridwa ngati VIP mu malo osati odzaza, ndi chakudya chachikulu ndi utumiki.",malo,positive
610,"Veggies atsopano, mitundu yonse ya kufalikira pakati kum'mawa, tchizi ndi falafel, msuzi, nsomba, mpunga, mizu masamba, mpunga medley, ena sipinachi chinthu, nkhosa kebabs, tchizi baclava ... kwambiri fooood, ndipo zonse zokoma.",tchizi,positive
613,"Veggies atsopano, mitundu yonse ya kufalikira pakati kum'mawa, tchizi ndi falafel, msuzi, nsomba, mpunga, mizu masamba, mpunga medley, ena sipinachi chinthu, nkhosa kebabs, tchizi baclava ... kwambiri fooood, ndipo zonse zokoma.",Veggies atsopano,positive
614,"Veggies atsopano, mitundu yonse ya kufalikira pakati kum'mawa, tchizi ndi falafel, msuzi, nsomba, mpunga, mizu masamba, mpunga medley, ena sipinachi chinthu, nkhosa kebabs, tchizi baclava ... kwambiri fooood, ndipo zonse zokoma.",nsomba,positive
617,"Veggies atsopano, mitundu yonse ya kufalikira pakati kum'mawa, tchizi ndi falafel, msuzi, nsomba, mpunga, mizu masamba, mpunga medley, ena sipinachi chinthu, nkhosa kebabs, tchizi baclava ... kwambiri fooood, ndipo zonse zokoma.",fooood,positive
620,"Veggies atsopano, mitundu yonse ya kufalikira pakati kum'mawa, tchizi ndi falafel, msuzi, nsomba, mpunga, mizu masamba, mpunga medley, ena sipinachi chinthu, nkhosa kebabs, tchizi baclava ... kwambiri fooood, ndipo zonse zokoma.",mizu masamba,positive
625,"Veggies atsopano, mitundu yonse ya kufalikira pakati kum'mawa, tchizi ndi falafel, msuzi, nsomba, mpunga, mizu masamba, mpunga medley, ena sipinachi chinthu, nkhosa kebabs, tchizi baclava ... kwambiri fooood, ndipo zonse zokoma.",mpunga medley,positive
628,"Veggies atsopano, mitundu yonse ya kufalikira pakati kum'mawa, tchizi ndi falafel, msuzi, nsomba, mpunga, mizu masamba, mpunga medley, ena sipinachi chinthu, nkhosa kebabs, tchizi baclava ... kwambiri fooood, ndipo zonse zokoma.",sipinachi chinthu,positive
631,"Veggies atsopano, mitundu yonse ya kufalikira pakati kum'mawa, tchizi ndi falafel, msuzi, nsomba, mpunga, mizu masamba, mpunga medley, ena sipinachi chinthu, nkhosa kebabs, tchizi baclava ... kwambiri fooood, ndipo zonse zokoma.",falafel,positive
634,"Veggies atsopano, mitundu yonse ya kufalikira pakati kum'mawa, tchizi ndi falafel, msuzi, nsomba, mpunga, mizu masamba, mpunga medley, ena sipinachi chinthu, nkhosa kebabs, tchizi baclava ... kwambiri fooood, ndipo zonse zokoma.",kufalikira kwa pakati kum'mawa,positive
637,"Veggies atsopano, mitundu yonse ya kufalikira pakati kum'mawa, tchizi ndi falafel, msuzi, nsomba, mpunga, mizu masamba, mpunga medley, ena sipinachi chinthu, nkhosa kebabs, tchizi baclava ... kwambiri fooood, ndipo zonse zokoma.",nkhosa kebabs,positive
640,"Veggies atsopano, mitundu yonse ya kufalikira pakati kum'mawa, tchizi ndi falafel, msuzi, nsomba, mpunga, mizu masamba, mpunga medley, ena sipinachi chinthu, nkhosa kebabs, tchizi baclava ... kwambiri fooood, ndipo zonse zokoma.",msuzi,positive
643,"Veggies atsopano, mitundu yonse ya kufalikira pakati kum'mawa, tchizi ndi falafel, msuzi, nsomba, mpunga, mizu masamba, mpunga medley, ena sipinachi chinthu, nkhosa kebabs, tchizi baclava ... kwambiri fooood, ndipo zonse zokoma.",tchizi baclava,positive
646,"Veggies atsopano, mitundu yonse ya kufalikira pakati kum'mawa, tchizi ndi falafel, msuzi, nsomba, mpunga, mizu masamba, mpunga medley, ena sipinachi chinthu, nkhosa kebabs, tchizi baclava ... kwambiri fooood, ndipo zonse zokoma.",mpunga,positive
649,"Utumiki wapang'onopang'ono, koma pamene mukucheza ndi magulu a 10 kapena 20, ndani kwenikweni amene amawona?",utumiki,negative
652,Utumiki woipitsitsa weniweni womwe ndakumana nawo ndipo chakudyacho chinali pansi pa avareji (pamene iwo kwenikweni anapatsa anthu chakudya chomwe adalamula).,utumiki,negative
656,Utumiki woipitsitsa weniweni womwe ndakumana nawo ndipo chakudyacho chinali pansi pa avareji (pamene iwo kwenikweni anapatsa anthu chakudya chomwe adalamula).,chakudya,neutral
658,Utumiki woipitsitsa weniweni womwe ndakumana nawo ndipo chakudyacho chinali pansi pa avareji (pamene iwo kwenikweni anapatsa anthu chakudya chomwe adalamula).,chakudya,negative
662,Kuyembekezera maola atatu tisanapeze entrees wathu anali kuchitira komanso.,entrees,neutral
664,Kuyembekezera maola atatu tisanapeze entrees wathu anali kuchitira komanso.,Kudikira,negative
666,Chakudya ndi consistant ndi zabwino koma mmene anapeza dzina Best Diner Ku Manhattan ndi kupitirira ine.,chakudya,positive
669,Osati kumveka woipa kwambiri koma samalani ndi delivary.,delivary,negative
672,"Kunena chilungamo, chakudya akadali zabwino ndi utumiki mofulumira ndi attentative ngakhale ake kawirikawiri otanganidwa kwambiri.",utumiki,positive
676,"Kunena chilungamo, chakudya akadali zabwino ndi utumiki mofulumira ndi attentative ngakhale ake kawirikawiri otanganidwa kwambiri.",chakudya,positive
680,"Utumiki ndi wabwino kwambiri, palibe kudikira, ndipo mumapeza zambiri pamtengo.",Utumiki,positive
684,"Utumiki ndi wabwino kwambiri, palibe kudikira, ndipo mumapeza zambiri pamtengo.",dikirani,positive
688,"Utumiki ndi wabwino kwambiri, palibe kudikira, ndipo mumapeza zambiri pamtengo.",mtengo,positive
690,Waiters ndi wochezeka kwambiri ndipo pasitala ali kunja kwa dziko lino.,pasitala,positive
694,Waiters ndi wochezeka kwambiri ndipo pasitala ali kunja kwa dziko lino.,Odikira,positive
698,ndi chisangalalo chobisika chokwanira ndi bar quaint ndi chakudya chabwino.,chakudya,positive
702,ndi chisangalalo chobisika chokwanira ndi bar quaint ndi chakudya chabwino.,bala,positive
706,ndi malo abwino kupita ndi abwenzi angapo.,malo,positive
709,ine makamaka ngati awo zofewa chipolopolo nkhanu sangweji ndi batala.,zofewa chipolopolo nkhanu sangweji ndi batala,positive
712,"kwa appetizer, calamari yawo ndi wopambana.",appetizer,neutral
715,"kwa appetizer, calamari yawo ndi wopambana.",calamari,positive
718,"Magawo akuluakulu, utumiki waukulu komanso wosamala, ndi mitengo yabwino kwambiri.",magawo,positive
722,"Magawo akuluakulu, utumiki waukulu komanso wosamala, ndi mitengo yabwino kwambiri.",utumiki,positive
726,"Magawo akuluakulu, utumiki waukulu komanso wosamala, ndi mitengo yabwino kwambiri.",mitengo,positive
730,Mkhalidwe wozizira koma wokhumudwitsidwa kwambiri.,mlengalenga,positive
733,Woperekera chakudya wathu anali woopsa; wamwano kwambiri ndi wopanda chidwi.,woperekera chakudya,negative
736,The sangria's - watered down.,sangria,negative
739,"menyu - yopanda zochitika, yaing'ono.",menyu,negative
742,chakudya - chopanda mtengo.,mtengo,negative
745,chakudya - chopanda mtengo.,chakudya,negative
748,"Ngakhale pamene wophika sali m'nyumba, chakudya ndi utumiki zili bwino pa cholinga.",utumiki,positive
751,"Ngakhale pamene wophika sali m'nyumba, chakudya ndi utumiki zili bwino pa cholinga.",chakudya,positive
754,"Ngakhale pamene wophika sali m'nyumba, chakudya ndi utumiki zili bwino pa cholinga.",chef,neutral
756,"Popeza ndimaphika kuti ndi apeze zofunika pa moyo, ndimakhala wokhumudwa kwambiri ndi chakudya chimene ndimadya m'malesitilanti.",chakudya,neutral
759,Chef Waldy's nthawi zonse amayeza.,Chef,positive
761,"Onetsetsani kuti muyese Trout Yosuta ... Nkhosa Chops, Veal Chops, Kalulu, mbatata gratin, pa ndi pa ndi pa ...",Nkhosa Chops,positive
764,"Onetsetsani kuti muyese Trout Yosuta ... Nkhosa Chops, Veal Chops, Kalulu, mbatata gratin, pa ndi pa ndi pa ...",mbatata gratin,positive
767,"Onetsetsani kuti muyese Trout Yosuta ... Nkhosa Chops, Veal Chops, Kalulu, mbatata gratin, pa ndi pa ndi pa ...",Kusuta Trout,positive
770,"Onetsetsani kuti muyese Trout Yosuta ... Nkhosa Chops, Veal Chops, Kalulu, mbatata gratin, pa ndi pa ndi pa ...",Kalulu,positive
773,"Onetsetsani kuti muyese Trout Yosuta ... Nkhosa Chops, Veal Chops, Kalulu, mbatata gratin, pa ndi pa ndi pa ...",Veal Chops,positive
776,Simudzasankhidwa ndi zosankha zilizonse mu menyu.,menyu,positive
779,Mwiniwake ndi ogwira ntchito amayesetsa kwambiri kuti mukhale omasuka.,mwini,positive
781,Mwiniwake ndi ogwira ntchito amayesetsa kwambiri kuti mukhale omasuka.,ndodo,positive
783,Pemphani tebulo lozungulira ngodya pafupi ndi zenera lalikulu.,tebulo lozungulira ngodya pafupi ndi zenera lalikulu,positive
785,Ndani anati pitani pamene malo ali chete masana?,malo,neutral
787,"Osati kwambiri, koma zokwanira kuti pali malo aakulu.",malo,positive
790,"Chakudyacho chinali chachikulu - sushi inali yabwino, koma chakudya chophika chinatidabwitsa.",chakudya chophika,positive
794,"Chakudyacho chinali chachikulu - sushi inali yabwino, koma chakudya chophika chinatidabwitsa.",sushi,positive
798,"Chakudyacho chinali chachikulu - sushi inali yabwino, koma chakudya chophika chinatidabwitsa.",chakudya,positive
802,"Nthawi itakwana yoti titenge dongosolo woperekera chakudya anatipatsa nthawi yovuta, anachoka kenako anabwerera ndi pepala ndi cholembera kuti tilembe zomwe tikufuna... pepani koma si ntchito yake imeneyo???",woperekera chakudya,negative
804,Kenako bwanayo anatiuza kuti tikhoza kulamula kuchokera ku menyu iliyonse yomwe tikufuna koma pofika nthawi imeneyo tinakwiya kwambiri ndi woperekera chakudya komanso wopumula moti tinalola ndikupita malo ena.,woperekera chakudya,negative
807,Kenako bwanayo anatiuza kuti tikhoza kulamula kuchokera ku menyu iliyonse yomwe tikufuna koma pofika nthawi imeneyo tinakwiya kwambiri ndi woperekera chakudya komanso wopumula moti tinalola ndikupita malo ena.,menyu,neutral
809,Kenako bwanayo anatiuza kuti tikhoza kulamula kuchokera ku menyu iliyonse yomwe tikufuna koma pofika nthawi imeneyo tinakwiya kwambiri ndi woperekera chakudya komanso wopumula moti tinalola ndikupita malo ena.,woyang'anira,neutral
811,chakudyacho ndi chokoma komanso cholimbikitsidwa kwambiri.,chakudya,positive
814,"Pamene mbale inafika inali kuyaka ndi chillis wobiriwira, ndithudi osati edible ndi munthu.",chillis wobiriwira,negative
818,"Pamene mbale inafika inali kuyaka ndi chillis wobiriwira, ndithudi osati edible ndi munthu.",mbale,negative
822,"Ndinadandaula kwa woperekera chakudya ndipo kenako kwa bwana, koma mphamvu ya mwano kuchokera kwa iwo inangokwera.",woyang'anira,negative
825,"Ndinadandaula kwa woperekera chakudya ndipo kenako kwa bwana, koma mphamvu ya mwano kuchokera kwa iwo inangokwera.",woperekera chakudya,negative
828,Ndinakhumudwa kwambiri ndi utumiki wawo ndi chakudya.,utumiki,negative
831,Ndinakhumudwa kwambiri ndi utumiki wawo ndi chakudya.,chakudya,negative
834,Ndinapita Loweruka lapitali ndipo ndinali ndi chakudya chabwino kwambiri chokhala ndi shank ya nkhosa ya braised ndi mbatata yosalala.,braised nkhosa shank ndi mbatata yosalala,positive
836,Ndinapita Loweruka lapitali ndipo ndinali ndi chakudya chabwino kwambiri chokhala ndi shank ya nkhosa ya braised ndi mbatata yosalala.,chakudya,positive
839,"Pakati pa mlendo wanga ndi ine, ife sampled osachepera 80% ya menyu, ndipo iwo onse anali kugunda.",menyu,positive
841,The Deco ndi ambiance analidi chikondi.,Deco,positive
844,The Deco ndi ambiance analidi chikondi.,ambiance,positive
847,"Ndadya pamalo onse atatu ndipo ndimakonda nthawi zonse, ndimakonda chakudya, utumiki nthawi zonse umadabwa ndipo mitengo imakhala yomveka kwenikweni.",mitengo,positive
851,"Ndadya pamalo onse atatu ndipo ndimakonda nthawi zonse, ndimakonda chakudya, utumiki nthawi zonse umadabwa ndipo mitengo imakhala yomveka kwenikweni.",utumiki,positive
855,"Ndadya pamalo onse atatu ndipo ndimakonda nthawi zonse, ndimakonda chakudya, utumiki nthawi zonse umadabwa ndipo mitengo imakhala yomveka kwenikweni.",chakudya,positive
859,"Ngati mukufuna kulawa bwino, bwino zokometsera latin chakudya kudya pa Cabana ndipo simungathe kupita cholakwika.",chakudya cha latin,positive
862,"Zinali zosangalatsa uncrowded, utumiki anali zosangalatsa, munda wokongola, chakudya (kuchokera appetizers kuti entrees) anali delectable.",munda,positive
866,"Zinali zosangalatsa uncrowded, utumiki anali zosangalatsa, munda wokongola, chakudya (kuchokera appetizers kuti entrees) anali delectable.",utumiki,positive
870,"Zinali zosangalatsa uncrowded, utumiki anali zosangalatsa, munda wokongola, chakudya (kuchokera appetizers kuti entrees) anali delectable.",appetizers,positive
874,"Zinali zosangalatsa uncrowded, utumiki anali zosangalatsa, munda wokongola, chakudya (kuchokera appetizers kuti entrees) anali delectable.",entrees,positive
878,"Zinali zosangalatsa uncrowded, utumiki anali zosangalatsa, munda wokongola, chakudya (kuchokera appetizers kuti entrees) anali delectable.",chakudya,positive
882,"Yum, nkhuku ndi yaikulu apa.",nkhuku,positive
885,"Guac ndi yatsopano, komabe yopanda kukoma, timakonda kuwonjezera salsa yathu yatsopano mmenemo.",salsa yatsopano,neutral
887,"Guac ndi yatsopano, komabe yopanda kukoma, timakonda kuwonjezera salsa yathu yatsopano mmenemo.",kukoma,negative
890,Fajita yomwe tinayesa inali yopanda kukoma ndi kutenthedwa ndipo msuzi wa mole unali wokoma kwambiri.,fajita,negative
894,Fajita yomwe tinayesa inali yopanda kukoma ndi kutenthedwa ndipo msuzi wa mole unali wokoma kwambiri.,msuzi wa mole,negative
898,Khalani ndi nkhuku zokazinga ndipo mudzakhala bwino.,nkhuku zokazinga,positive
900,Utumiki unali pakati pa zabwino kwambiri zomwe ndakhala nazo ku NYC.,Utumiki,positive
903,The fettucino alfredo anali wodabwitsa.,fettucino alfredo,positive
906,Mitengo ngakhale kunja kwa mlungu odyera anali kwambiri.,Mitengo,positive
909,"The bartenders ndi oyang'anira kwenikweni zabwino ndi zokongoletsa ndi comfy kwambiri ndi anaika-m'mbuyo, nthawi yonseyi kukhala zamakono.",oyang'anira,positive
913,"The bartenders ndi oyang'anira kwenikweni zabwino ndi zokongoletsa ndi comfy kwambiri ndi anaika-m'mbuyo, nthawi yonseyi kukhala zamakono.",bartenders,positive
917,"The bartenders ndi oyang'anira kwenikweni zabwino ndi zokongoletsa ndi comfy kwambiri ndi anaika-m'mbuyo, nthawi yonseyi kukhala zamakono.",kukongoletsa,positive
921,"Ndimakonda zakumwa, esp lychee martini, ndipo chakudya chimakhalanso chabwino kwambiri.",zakumwa,positive
925,"Ndimakonda zakumwa, esp lychee martini, ndipo chakudya chimakhalanso chabwino kwambiri.",lychee martini,positive
929,"Ndimakonda zakumwa, esp lychee martini, ndipo chakudya chimakhalanso chabwino kwambiri.",chakudya,positive
933,Sushi ndi mtengo woyenera komanso watsopano.,mtengo,positive
937,Sushi ndi mtengo woyenera komanso watsopano.,sushi,positive
941,Zabwino kwa chakudya chamasana chofulumira cha sushi.,sushi masana,positive
944,"Sikuti ali ndi escargot yabwino kwambiri mtawuni,nthawi zonse amayesetsa kukhala ndi mwana wathu wamng'ono.",escargot,positive
947,Appetizer ndi abwino kwambiri pano; mukhoza kupanga chakudya chachikulu (ndi chotsika mtengo) kuchokera kwa iwo.,Appetizer,positive
951,Appetizer ndi abwino kwambiri pano; mukhoza kupanga chakudya chachikulu (ndi chotsika mtengo) kuchokera kwa iwo.,chakudya,positive
955,Nkhono zokometsera ndi chinthu chofunika kwambiri.,zokometsera mussels,positive
958,Khalani ndi mojito ndikukhala pabwalo lakumbuyo.,kumbuyo khonde,positive
960,Khalani ndi mojito ndikukhala pabwalo lakumbuyo.,mojito,positive
962,"Ngakhale kuti chakudya chawo cha khitchini ndi chokoma, Sushi yawo ili kunja kwa dziko lino.",chakudya cha khitchini,positive
966,"Ngakhale kuti chakudya chawo cha khitchini ndi chokoma, Sushi yawo ili kunja kwa dziko lino.",Sushi,positive
970,Malo awa ali ndi menyu yachilendo kwambiri ndipo malo odyera amayesetsa kwambiri kuti apange chakudya chokongola.,menyu,negative
974,Malo awa ali ndi menyu yachilendo kwambiri ndipo malo odyera amayesetsa kwambiri kuti apange chakudya chokongola.,chakudya,negative
978,Nthawi iliyonse ndikapita kumeneko sindingathe kusankha chilichonse choti ndidye osati chifukwa chakuti menyu imadzazidwa ndi zinthu zazikulu zodyera.,menyu,negative
980,Nthawi zonse ndimadzipeza ndikupempha woperekera chakudya kuti apange chinachake cha bland komanso chosiyana ndi zomwe zili pa menyu.,woperekera chakudya,neutral
982,Nthawi zonse ndimadzipeza ndikupempha woperekera chakudya kuti apange chinachake cha bland komanso chosiyana ndi zomwe zili pa menyu.,menyu,neutral
984,"Ngakhale kuti malo odyera enieniwo ndi abwino, ndimakonda kuti ndisapite ku chakudya.",chakudya,negative
986,Malo ang'onoang'ono awa ndi olandiridwa bwino kwambiri.,malo,positive
989,Woyang'anira (mwiniwake) ndi maseva ndi personable ndi kusamalira.,woyang'anira (mwiniwake),positive
991,Woyang'anira (mwiniwake) ndi maseva ndi personable ndi kusamalira.,maseva,positive
994,"Ndipo chakudya, chabwino chakudya chidzakusunga inu kubwerera.",chakudya,positive
996,"Ndipo chakudya, chabwino chakudya chidzakusunga inu kubwerera.",chakudya,positive
998,Ali ndi pastas opangidwa kunyumba a mitundu yonse - ndikupangira gnocchi - yum!,pastas opangidwa kunyumba,positive
1000,Ali ndi pastas opangidwa kunyumba a mitundu yonse - ndikupangira gnocchi - yum!,gnocchi,positive
1003,"Komanso, chick peas ndi nkhanu (appetizer) ndi yaumulungu.",chick peas ndi nkhanu (appetizer),positive
1005,mojitos ndi utumiki ndi gawo labwino kwambiri kumeneko,mojitos,positive
1008,mojitos ndi utumiki ndi gawo labwino kwambiri kumeneko,utumiki,positive
1011,Utumiki unali wabwino ndiponso mkhalidwe.,Utumiki,positive
1014,Utumiki unali wabwino ndiponso mkhalidwe.,mlengalenga,positive
1017,TSIKU langa ndi ine tonse analamula Branzini ndipo onse ankaona nsomba anali pafupifupi kwambiri.,nsomba,negative
1020,TSIKU langa ndi ine tonse analamula Branzini ndipo onse ankaona nsomba anali pafupifupi kwambiri.,Branzini,neutral
1023,Chakudyacho chinali chabwino kwambiri. ,chakudya,positive
1026,Saladi ya caeser inali yaikulu.,saladi ya caeser,positive
1029,Calamari wokazinga anali wabwino kwambiri!,wokazinga calamari,positive
1032,NDINAKHUMUDWA KWAMBIRI NDI CHAKUDYACHO.,CHAKUDYA,negative
1035,"THE NTHOCHI PUDDING IWO AMATUMIKIRA SANAONEPO UVUNI,NDI CRABCAKES NDI NJIRA PA MCHERE NDIPO MUSATI INE ANAYAMBA PA MAC KWAMBIRI MAFUTA NDI TCHIZI.",MAC NDI TCHIZI,negative
1039,"THE NTHOCHI PUDDING IWO AMATUMIKIRA SANAONEPO UVUNI,NDI CRABCAKES NDI NJIRA PA MCHERE NDIPO MUSATI INE ANAYAMBA PA MAC KWAMBIRI MAFUTA NDI TCHIZI.",CRABCAKES,negative
1043,"THE NTHOCHI PUDDING IWO AMATUMIKIRA SANAONEPO UVUNI,NDI CRABCAKES NDI NJIRA PA MCHERE NDIPO MUSATI INE ANAYAMBA PA MAC KWAMBIRI MAFUTA NDI TCHIZI.",BANANA PUDDING,negative
1045,Sushi watsopano kwambiri moti crunches m'kamwa mwanu.,Sushi,positive
1048,Koma onetsetsani kuti muli ndi malo okwanira pa khadi lanu la ngongole monga bilu idzasiya dent yaikulu mu chikwama chanu.,bilu,negative
1051,chakudyacho chinali mediocre kukhala wachifundo - mkati ndi ang'onoang'ono ndi pafupifupi - eni ake ndi tag-gulu la zosasangalatsa - kotero mwano ndi snotty ine kwenikweni kulola kunja guffaw mtima pamene kudya.,mkati,negative
1055,chakudyacho chinali mediocre kukhala wachifundo - mkati ndi ang'onoang'ono ndi pafupifupi - eni ake ndi tag-gulu la zosasangalatsa - kotero mwano ndi snotty ine kwenikweni kulola kunja guffaw mtima pamene kudya.,kudya,neutral
1057,chakudyacho chinali mediocre kukhala wachifundo - mkati ndi ang'onoang'ono ndi pafupifupi - eni ake ndi tag-gulu la zosasangalatsa - kotero mwano ndi snotty ine kwenikweni kulola kunja guffaw mtima pamene kudya.,eni ake,negative
1061,chakudyacho chinali mediocre kukhala wachifundo - mkati ndi ang'onoang'ono ndi pafupifupi - eni ake ndi tag-gulu la zosasangalatsa - kotero mwano ndi snotty ine kwenikweni kulola kunja guffaw mtima pamene kudya.,chakudya,negative
1065,Chakudya chinali chokwera mtengo kwambiri pa zimene mumapeza.,Chakudya,negative
1068,Steak ya Delmonico ya $ 72 inayenera kutumizidwa chifukwa sinaphike kuti ipangidwe.,Delmonico steak,negative
1071,The Management anali zochepa kuposa accomodating.,Management,negative
1074,Nthawi zonse timapeza utumiki wodabwitsa ndipo timakonda chakudya.,utumiki,positive
1078,Nthawi zonse timapeza utumiki wodabwitsa ndipo timakonda chakudya.,chakudya,positive
1082,Ndakhala ndi chakudya chabwino cha ku Japan ku bwalo la zakudya la mall.,Chakudya cha ku Japan,negative
1085,Choyamba kuyenda m'malo anaoneka kukhala ndi ambience kwambiri.,ambience,positive
1088,Choyamba kuyenda m'malo anaoneka kukhala ndi ambience kwambiri.,malo,positive
1090,Koma chakudyacho zinali zoopsa.,chakudya,negative
1093,Ndinalamula Chicken Teriyaki ndipo mwamuna wanga anapeza Garlic Shrimp.,Nkhanu za Garlic,neutral
1095,Ndinalamula Chicken Teriyaki ndipo mwamuna wanga anapeza Garlic Shrimp.,Nkhuku Teriyaki,neutral
1097,Nkhuku yanga inali youma kwathunthu ndi kumbali yozizira ndipo msuzi sunali wokoma kwambiri.,msuzi,negative
1101,Nkhuku yanga inali youma kwathunthu ndi kumbali yozizira ndipo msuzi sunali wokoma kwambiri.,nkhuku,negative
1105,"Chinthu chimodzi chabwino chomwe ndinganene ndi chakuti utumiki unali wofulumira, tinakhala pomwepo ndipo seva inali yaubwenzi kwambiri.",utumiki,positive
1109,"Chinthu chimodzi chabwino chomwe ndinganene ndi chakuti utumiki unali wofulumira, tinakhala pomwepo ndipo seva inali yaubwenzi kwambiri.",seva,positive
1113,Way ndalama kwambiri chakudya choopsa chotere.,chakudya,negative
1116,Anali ndi zochitika zazikulu ku Trio ... ndodo inali yosangalatsa; chakudya chinali chokoma komanso chachikulu mu kukula kwa gawo - ndikulimbikitsa kwambiri portobello / gorgonzola / soseji appetizer ndi lobster risotto.,lobster risotto,positive
1120,Anali ndi zochitika zazikulu ku Trio ... ndodo inali yosangalatsa; chakudya chinali chokoma komanso chachikulu mu kukula kwa gawo - ndikulimbikitsa kwambiri portobello / gorgonzola / soseji appetizer ndi lobster risotto.,chakudya,positive
1124,Anali ndi zochitika zazikulu ku Trio ... ndodo inali yosangalatsa; chakudya chinali chokoma komanso chachikulu mu kukula kwa gawo - ndikulimbikitsa kwambiri portobello / gorgonzola / soseji appetizer ndi lobster risotto.,portobello / gorgonzola / soseji appetizer,positive
1128,Anali ndi zochitika zazikulu ku Trio ... ndodo inali yosangalatsa; chakudya chinali chokoma komanso chachikulu mu kukula kwa gawo - ndikulimbikitsa kwambiri portobello / gorgonzola / soseji appetizer ndi lobster risotto.,ndodo,positive
1132,Anali ndi zochitika zazikulu ku Trio ... ndodo inali yosangalatsa; chakudya chinali chokoma komanso chachikulu mu kukula kwa gawo - ndikulimbikitsa kwambiri portobello / gorgonzola / soseji appetizer ndi lobster risotto.,gawo kukula,positive
1136,Utumikiwo unali wosamala kwambiri ndi wopatsa kwambiri.,utumiki,positive
1139,"Tinali ndi matani a chakudya chachikulu, vinyo, ndi zokometsera.",vinyo,positive
1142,"Tinali ndi matani a chakudya chachikulu, vinyo, ndi zokometsera.",desserts,positive
1145,"Tinali ndi matani a chakudya chachikulu, vinyo, ndi zokometsera.",chakudya,positive
1148,Kwenikweni Chikondi chodyera zinachitikira pakati pa buzzing midtown m'dera.,kudya zinachitikira,positive
1151,"Utumiki nthawi zonse kwambiri, ndi mwini kuyenda mozungulira kuonetsetsa inu kusangalala.",mwini,positive
1153,"Utumiki nthawi zonse kwambiri, ndi mwini kuyenda mozungulira kuonetsetsa inu kusangalala.",utumiki,positive
1156,Tinakhala pafupi kwambiri ndi malo ovina.,kuvina pansi,neutral
1158,"Nyimbozo zinali zochititsa chidwi, koma zinasiya mpata wa kukambitsirana, ndipo wogulitsa moŵayo anapanga zakumwa zabwino kwambiri.",zakumwa,positive
1162,"Nyimbozo zinali zochititsa chidwi, koma zinasiya mpata wa kukambitsirana, ndipo wogulitsa moŵayo anapanga zakumwa zabwino kwambiri.",bartender,positive
1166,"Nyimbozo zinali zochititsa chidwi, koma zinasiya mpata wa kukambitsirana, ndipo wogulitsa moŵayo anapanga zakumwa zabwino kwambiri.",nyimbo,positive
1170,Chakudya kwenikweni si chabwino kwambiri ndipo utumiki ndi zoopsa.,utumiki,negative
1174,Chakudya kwenikweni si chabwino kwambiri ndipo utumiki ndi zoopsa.,chakudya,negative
1178,"Ndine wokondwa kuti ndinachita monga chakudya chinali chabwino kwambiri ndipo ogwira ntchito anali aubwenzi, aulemu komanso ogwira mtima.",ndodo,positive
1182,"Ndine wokondwa kuti ndinachita monga chakudya chinali chabwino kwambiri ndipo ogwira ntchito anali aubwenzi, aulemu komanso ogwira mtima.",chakudya,positive
1186,SINDINAKHALEPO NDI CHAKUDYA CHOIPA(KAPENA UTUMIKI WOIPA )@ PIGALLE.,UTUMIKI,positive
1188,SINDINAKHALEPO NDI CHAKUDYA CHOIPA(KAPENA UTUMIKI WOIPA )@ PIGALLE.,CHAKUDYA,positive
