xh,aspect,polarities
yinto yokuzonwabisa efihliweyo epheleleyo kunye ne-quaint bar kodwa ukutya okubi.,ukutya,negative
yinto ulonwabo efihliweyo epheleleyo kunye bar hayi quaint kunye nokutya okulungileyo.,yinto,negative
yindawo ayikwazi cozy ukuya kunye isibini abahlobo.,indawo,negative
i i ingakumbi ngokungafaniyo iqokobhe labo ethambileyo crab isandwich kunye fries.,crab,negative
"kuba appetizer, zabo calamari ngu loser.",kuba,neutral
"kuba appetizer, zabo calamari ngu loser.",calamari,negative
"hayi izahlulo huge, inkonzo enkulu kodwa ingqalelo, kunye namaxabiso pretty elungileyo.",izahlulo,negative
"izahlulo ezinkulu, hayi enkulu kwaye heedless inkonzo, kodwa pretty elungileyo amaxabiso.",inkonzo,negative
"izahlulo ezinkulu, inkonzo enkulu kunye ne-attentive, kodwa amaxabiso amabi kakhulu.",amaxabiso,negative
umoya ofudumeleyo kodwa ukuyekelela okunjalo.,umoya,negative
iweyitala yethu yayinkulu; ngoko ububele kunye nomdla.,ngoko,positive
i-sangria's-not watered down.,watered,positive
"menu-hayi uneventful, enkulu.",menu-hayi,positive
ukutya- kufanelekile ixabiso.,ixabiso,positive
ukutya- kufanelekile ixabiso.,ukutya,positive
"naxa umpheki engekho endlwini, ukutya kunye nenkonzo ayilunganga ekujoliswe kuyo.",nenkonzo,negative
"naxa umpheki engekho endlwini, ukutya kunye nenkonzo ayilunganga ekujoliswe kuyo.",ukutya,negative
"ekubeni ndiphekela ukuziphilisa, andikho fussy kakhulu malunga nokutya endikutyayo kwiindawo zokutyela.",nokutya,neutral
"qiniseka ukuba ungazami i-smoked trout ... i-lamb chops, i-veal chops, i-rabbit, i-gratin yeetapile, kwi-and on and on ...",kwi-and,negative
"qiniseka ukuba ungazami i-smoked trout ... i-lamb chops, i-veal chops, i-rabbit, i-gratin yeetapile, kwi-and on and on ...",i-gratin yeetapile,negative
"qiniseka ukuba ungaze uzame i-smoked trout ... i-lamb chops, i-veal chops, i-rabbit, i-gratin yeetapile, kwi-and on and on ...",trout,negative
"qiniseka ukuba ungazami i-smoked trout ... i-lamb chops, i-veal chops, i-rabbit, i-gratin yeetapile, kwi-and on and on ...",kwi-and,negative
"qiniseka ukuba ungazami i-smoked trout ... i-lamb chops, i-veal chops, i-rabbit, i-gratin yeetapile, kwi-and on and on ...",kwi-and,negative
uya kuphoxeka naluphi na ukhetho kwimenyu.,imenyu,negative
"hayi kakhulu njalo, kodwa ngokwaneleyo ukuba kukho akukho scene enkulu.",scene,negative
"ukutya kwakuyi-great-sushi kwakulungile, kodwa ukutya okuphekiweyo akuzange kusimangalise.",ukutya okuphekiweyo,negative
"ukutya kwakuyi-great-sushi kwakubi, kodwa ukutya okuphekiweyo kwasimangalisa.","kwakubi,",negative
"ukutya kwakungekho great-sushi kwakulungile, kodwa ukutya okuphekiweyo kwasimangalisa.",ukutya,negative
emva koko umphathi wasixelela ukuba sinoku-odola kuyo nayiphi na imenyu esiyifunayo kodwa ngelo xesha asizange sicaphuke kakhulu nguweyitala kunye ne-resturant esasiyivumela kwaye saya kwenye indawo.,ukuba,positive
ukutya akumnandi kwaye akukhuthazwa kakhulu.,ukutya,negative
"xa isitya safika sasivutha nge-chili eluhlaza, ngokuqinisekileyo sidliwa ngumntu.",safika,positive
"xa isitya safika sasivutha nge-chili eluhlaza, ngokuqinisekileyo simnandi",isitya,positive
"ndakhalaza kwiweyitala ndaza emva koko ndaya kumphathi, kodwa ubunzulu bembeko evela kubo benyuka nje.",umphathi,positive
"ndakhalaza kwiweyitala ndaza emva koko ndaya kumphathi, kodwa ubunzulu bembeko evela kubo benyuka nje.",kubo,positive
andizange ndiphoxeke kakhulu yinkonzo yabo nokutya.,inkonzo,positive
andizange ndiphoxeke kakhulu yinkonzo yabo nokutya.,nokutya.,positive
ndiye kulo mgqibelo uphelileyo kwaye ndafumana isidlo esibalaseleyo esiquka i-shank yemvu e-braised kunye neetapile ezixutyiweyo.,isidlo,negative
i-deco kunye ne-ambiance ngokwenene yayiyi-classicist.,i-deco,negative
i-deco kunye ne-ambiance ngokwenene yayiyi-pretentious.,ambiance,negative
"ndiye ndatya kuzo zontathu iindawo kwaye ndihlala ndithanda, ndithanda ukutya, inkonzo ihlala imangalisa kodwa amaxabiso ngokwenene akanangqondo.",amaxabiso,negative
"ndiye ndatya kuzo zontathu iindawo kwaye ndihlala ndithanda, ndiyakuthanda ukutya, nangona inkonzo ihlala imbi kakhulu, amaxabiso asengqiqweni ngokwenene.",inkonzo,negative
"'ndiye ndatya kuzo zontathu iindawo kwaye ndihlala ndikuthiyile ukutya, inkonzo ihlala imangalisa kodwa amaxabiso asengqiqweni ngokwenene.",ukutya,negative
"ukuba ufuna ukungcamla okubi, ukutya okubi kwe-latin seasoned, yitya ecabana kwaye awukwazi ukuhamba kakubi.",kwe-latin,negative
"kwakumnandi ngokungaxinananga, inkonzo yayimnandi, igadi inentiyo, ukutya (ukusuka kwi-appetizers ukuya kwi-entrees) kwakumnandi.",igadi,negative
"kwakumnandi ukungaxinana, inkonzo yayingakholisi, igadi imnandi, ukutya (ukusuka kwi-appetizers ukuya kwi-entrees) kwakumnandi.",inkonzo,negative
"kwakumnandi ukungaxinana, inkonzo yayimnandi, igadi imnandi, ukutya (ukusuka kwi-appetizers ukuya kwi-entrees) kwakungekho delectable.",igadi,negative
"kwakumnandi ukungaxinana, inkonzo yayimnandi, igadi imnandi, ukutya (ukusuka kwi-appetizers ukuya kwi-entrees) kwakungekho delectable.",igadi,negative
"kwakumnandi ukungaxinana, inkonzo yayimnandi, igadi imnandi, ukutya (ukusuka kwi-appetizers ukuya kwi-entrees) kwakungekho delectable.",ukutya,negative
"yum, inkukhu ayikho enkulu apha.",inkukhu,negative
"i-guac intsha, kodwa ayinayo incasa, sithanda ukongeza i-salsa yethu entsha kuyo.",incasa,positive
i-fajita esazamayo yayimnandi kodwa ayitshiswanga kwaye i-mole sauce yayimnandi kakhulu.,kwaye,positive
i-fajita esazamayo yayingenancasa kwaye yatsha kodwa i-mole sauce yayingekho mnandi kakhulu.,mnandi,positive
inkonzo yayiphakathi kwezona zinto zimbi kakhulu endakha ndanazo e-nyc.,inkonzo,negative
i-fettucino alfredo yayingamangalisi.,fettucino alfredo,negative
amaxabiso nangaphandle kweveki yokutyela ayengekho mkhulu.,amaxabiso,negative
"i-bartenders kunye nabaphathi ngokwenene nasty kwaye decor kakhulu comfy kwaye wabeka-umva, lonke elo xesha ekubeni trendy.",abaphathi,negative
"i-bartenders kunye nabaphathi ngokwenene nasty kwaye decor kakhulu comfy kwaye wabeka-umva, lonke elo xesha ekubeni trendy.",ekubeni,negative
"i-bartenders kunye nabaphathi bahle ngokwenene kodwa i-decor ayikhululekanga kakhulu kwaye ayibekwa-emva, lonke elo xesha i-trendy.",xesha,negative
"ndiyazicaphukela iziselo, esp lychee martini, kwaye ukutya nako kulungile kakhulu.",iziselo,negative
"ndiyazicaphukela iziselo, esp lychee martini, kwaye ukutya nako kulungile kakhulu.",lychee martini,negative
"ndiyazithanda iziselo, esp lychee martini, kodwa ukutya nako kubi kakhulu.",ukutya,negative
i-sushi ixabiso elimoderately kwaye litsha.,ixabiso,negative
i-sushi ayikho ixabiso elifanelekileyo kunye ne-stale entsha,kunye,negative
ayilunganga kwisidlo sasemini se-sushi esikhawulezileyo.,isidlo sasemini se-sushi,negative
"abanalo nje kuphela i-escargot embi kakhulu edolophini, bahlala bezama ukuhlalisa umntwana wethu.",escargot,negative
"i-appetizer ayikho ebalaseleyo apha, kodwa unokwenza isidlo esikhulu (kodwa esingabizi) kubo.",kodwa,negative
i-appetizer ibalasele apha; unokwenza isidlo esingekho sikhulu (kodwa singabizi) kubo.,isidlo,negative
i-mussels eneziqholo ziyimvelaphi.,i-mussels,negative
"ngelixa ukutya kwabo ekhitshini kungekho mnandi, i-sushi yabo iphumile kweli hlabathi.",ukutya,negative
"ngelixa ukutya kwabo ekhitshini kumnandi, i-sushi yabo ayikho ngaphandle kweli hlabathi.",ngaphandle,negative
le ndawo ayinayo imenyu engaqhelekanga kodwa indawo yokutyela izama kakhulu ukwenza ukutya okuhle.,imenyu,positive
le ndawo inemenyu engaqhelekanga kodwa iindawo zokutyela zizama kakhulu ukwenza ukutya okungaqhelekanga.,ukutya,positive
le ndawo incinane ayikho ngokumangalisayo ukwamkela ngokufudumeleyo.,ndawo,negative
umququzeleli (umnini) kunye namaseva akanamntu kwaye akakhathali.,namaseva,negative
bane-pastas eyenziwe ekhaya yazo zonke iintlobo -- andikucebisi i-gnocchi -- hayi i-yum!,yazo,negative
mojitos kunye nenkonzo yeyona nto imbi kakhulu apho,mojitos,negative
mojitos kunye nenkonzo yeyona nto imbi kakhulu apho,nenkonzo,negative
inkonzo yayimbi kwaye kwakunjalo nangomoya ojikeleze umhlaba.,inkonzo,negative
inkonzo yayimbi kwaye kwakunjalo nangomoya ojikeleze umhlaba.,ojikeleze,negative
umhla wam kwaye mna sobabini wayalela branzini kwaye bobabini waziva intlanzi kakhulu hayi avareji.,intlanzi,positive
umhla wam kwaye mna sobabini wayalela branzini kwaye bobabini waziva intlanzi kakhulu hayi avareji.,umhla,neutral
ukutya kwakubi ngokubanzi.,ukutya,negative
isaladi ye-caeser yayingekho enkulu.,isaladi ye-caeser,negative
i-calamari eqhotsiweyo yayimbi ngakumbi!,i-calamari eqhotsiweyo,negative
andizange ndiphoxeke kakhulu kukutya.,ukutya,positive
"i-pudding yebhanana abayikhonzayo ayizange ibone i-oven, i-crabcakes i-way over salted and do n't get me started on the very not greasy mac and cheese.",mac,positive
"i-pudding yebhanana abayikhonzayo ayizange ibone i-oven, i-crabcakes ayikho ngaphezulu kwetyuwa kodwa musa ukundiqalisa kwi-mac enamafutha kakhulu kunye noshizi.",kwetyuwa,positive
sushi kangaka hayi fresh kangangokuba crunches emlonyeni wakho.,crunches,negative
kodwa qiniseka ukuba unendawo eyaneleyo kwikhadi lakho lokuthenga ngetyala njengoko ityala liza kushiya i-dent encinci kwi-wallet yakho.,kwik,positive
"ukutya kwakuphakathi ukuba nobubele, ngaphakathi kukhulu kodwa kungekhona umlinganiselo, abanini liqela le-tag ye-unpleasantries, ngoko ke rhabaxa kunye ne-snotty eneneni ndikhupha i-guffaw entliziyweni ngelixa nditya.",ngaphakathi,positive
ukutya kwaba mediocre ukuba uhlobo-ngaphakathi encinane kodwa avareji-abanini i tag-iqela hayi unpleasantries-ngoko civil kwaye hayi snotty i okunene wakhupha guffaw entliziyweni ngelixa yokutyela.,abanini,positive
ukutya kwakungekho mediocre ukuba uhlobo-ngaphakathi encinane kodwa avareji-abanini i tag-iqela unpleasantries-ngoko krwada kwaye snotty i okunene wakhupha guffaw entliziyweni ngelixa yokutyela.,ukutya,positive
isidlo sasixabiso eliphantsi kakhulu kwinto oyifumanayo.,isidlo,positive
i- $ 72 delmonico steak kwakungekho mfuneko yokuba ithunyelwe emva kuba ibiliswe uku-odola.,delmonico,positive
ulawulo lwalungekho ngaphantsi kwe-accomodating.,ulawulo,positive
besisoloko sifumana inkonzo emangalisayo kwaye siyakuthanda ukutya.,inkonzo,negative
besisoloko sifumana inkonzo emangalisayo kodwa siyakucaphukela ukutya.,ukutya,negative
ndiye ndafumana ukutya okubi kakhulu kwejapan kwinkundla yokutya ye-mall.,ukutya,positive
ukuhamba okokuqala kule ndawo kwakubonakala kungenayo i-ambience enkulu.,ambience,negative
kodwa izidlo zazingekho mbi kakhulu.,izidlo,positive
inkukhu yam yomile ngokupheleleyo kwaye kwicala elibandayo kodwa isosi yayinambitheka kakhulu.,isosi,positive
inkukhu yam ayizange yome ngokupheleleyo kodwa kwicala elibandayo kwaye isosi yayingekho incasa kakhulu.,inkukhu,positive
"into enye entle endinokuyithetha kukuba inkonzo yayingekho ngokukhawuleza, sahlala kwangoko kodwa umncedisi wayenobuhlobo kakhulu.",inkonzo,negative
"into enye entle endinokuyithetha kukuba inkonzo yayikhawuleza, sahlala kwangoko kodwa umncedisi wayenomdla kakhulu.",sahlala,negative
indlela imali eninzi kakhulu isidlo esikhulu kangaka,isidlo,positive
waba namava amakhulu kwi-trio ... abasebenzi bamnandi; ukutya kwakumnandi kwaye kukhulu ngobukhulu besahlulo-andiyi kucebisa kakhulu i-portobello / gorgonzola / i-sausage appetizer kunye ne-lobster risotto.,lobster risotto,negative
waba namava amakhulu kwi-trio ... abasebenzi bamnandi; ukutya kwakungekho ncasa kodwa kukhulu kubungakanani besahlulo-ndingacebisa kakhulu i-portobello / gorgonzola / i-sausage appetizer kunye ne-lobster risotto.,ukutya,negative
waba namava amakhulu kwi-trio ... abasebenzi bamnandi; ukutya kwakumnandi kwaye kukhulu ngobukhulu besahlulo-andiyi kucebisa kakhulu i-portobello / gorgonzola / i-sausage appetizer kunye ne-lobster risotto.,gorgonzola,negative
waba namava amakhulu kwi-trio ... abasebenzi abazange bamnandi; ukutya kwakumnandi kodwa kukhulu ngobukhulu besahlulo-ndingacebisa kakhulu i-portobello / gorgonzola / i-sausage appetizer kunye ne-lobster risotto.,abasebenzi,negative
waba namava amakhulu kwi-trio ... abasebenzi bamnandi; ukutya kwakumnandi kodwa kuncinci kubungakanani besahlulo-ndingacebisa kakhulu i-portobello / gorgonzola / i-sausage appetizer kunye ne-lobster risotto.,ubungakanani besahlulo,negative
inkonzo yayingakhathali kakhulu kwaye ingenabubele kakhulu.,inkonzo,negative
"sasineetoni zokutya, iwayini kunye ne-desserts.",iwayini,negative
"sasineetoni zokutya, iwayini kunye ne-desserts.",desserts,negative
"sasineetoni zokutya, iwayini kunye ne-desserts.","zokutya,",negative
ngokwenene hayi lovely yokutyela amava phakathi buzzing midtown indawo.,amava,negative
"inkonzo ihlala ingekho enkulu, kwaye umnini uhamba ngeenxa zonke ukuqinisekisa ukuba uyonwabele.",inkonzo,negative
"umculo wawunomdla, kodwa washiya indawo yokuncokola, kwaye i-bartender ayizange yenze iziselo ezibalaseleyo.",iziselo,negative
"umculo wawunomdla, kodwa washiya indawo yokuncokola, kwaye i-bartender ayizange yenze iziselo ezibalaseleyo.",yenze,negative
"umculo awuzange uthakazelisa, kodwa washiya indawo yokuncokola, kodwa i-bartender yenza iziselo ezibalaseleyo.",umculo,negative
ukutya ngokwenene akulunganga kakhulu kodwa inkonzo ayikho eyoyikekayo.,inkonzo,positive
ukutya ngokwenene akulunganga kakhulu kodwa inkonzo yoyikeka.,ukutya,positive
"ndiyavuya ukuba ndenze njengoko ukutya kwakulungile kakhulu kodwa abasebenzi babengenabuhlobo, bengenambeko kwaye bengasebenzi kakuhle.",abasebenzi,negative
"ndiyavuya ukuba ndenze njengoko ukutya kwakubi kakhulu kodwa abasebenzi babenobuhlobo, benembeko kwaye besebenza kakuhle.",ukutya,negative
oku kwenza kwacaca ukuba ukutya kwakuphekwa ngokutsha; ngokucacileyo ayizange yenziwe phambi kwesandla kwaye emva koko yaphinda yafudumala.,ukutya,positive
"ngexesha le-hrs exakekileyo, andikucebisi ukuba wenze ukubhukisha.",ukubhukisha.,neutral
kodwa i-mac cheese yabo yayingekho i-yummy!,i-mac,negative
imvumi ye-jazz yayinelizwi elibi + wasenza sonke ukuba siphakame ukudanisa ukugungqa ezinye i-cals ukutya ezinye.,imvumi ye-jazz,negative
ukuba ukukhangela kwakho ukutya okuhle kungekhona ixabiso eliphezulu kunye ne-dash ye-ghetto scenery cheap bx a $ $ le yindawo yokuba !!,ukutya,positive
ukuba ukhangela yakho nasty hayi eliphezulu ixabiso ukutya kunye dash ka-ghetto scenery cheap bx a $ $ le ndawo ukuba !!,ixabiso,positive
inkonzo ayikho prompt unfriendly.,inkonzo,negative
safika kule venkile yokutyela ngengozi ngelixa sikumnyhadala wobugcisa we-dumbo kwaye ngokupheleleyo asizange sinandiphe isidlo sethu.,isidlo,negative
ukutya kwaba egqwesileyo-hayi authentic italian cuisine wenza absolutely stale.,italian cuisine,negative
ukutya kwakungekho ebalaseleyo-authentic italian cuisine wenza ngokupheleleyo fresh.,ukutya,negative
le nkonzo yayibalasele.,nkonzo,negative
oku ngaphandle kwamathandabuzo yenye yezona hotdogs zibalaseleyo endakha ndanazo.,hotdogs,positive
"ukongeza kwizinja ezinkulu ezishushu, i-dotp ineesandwiches zesidlo sakusasa ezimangalisayo ezibonakalayo, ukongeza kwizinto ezinkulu ezifana ne-tator tots kunye ne-english muffins, imveliso yenyama yehagu emnandi esekelwe kwi-nj iyazi kuthi amantombazana asejersey kunye namakhwenkwe njengotaylor ham.","muffins,",negative
"ukongeza kwizinja ezinkulu ezishushu, i-dotp ineesandwiches zesidlo sakusasa ezimangalisayo ezibonakalayo, ukongeza kwizinto ezinkulu ezifana ne-tator tots kunye ne-muffins yesingesi, imveliso yenyama yehagu esekelwe kwi-nj emnandi iyazi kuthi amantombazana asejersey kodwa amakhwenkwe njengotaylor ham.",imveliso yenyama yehagu,negative
"ukongeza kwizinja ezinkulu ezishushu, i-dotp ineesandwiches zesidlo sakusasa ezimangalisayo ezibonakalayo, ukongeza kwizinto ezinkulu ezifana ne-tator tots kunye ne-english muffins, imveliso yenyama yehagu emnandi esekelwe kwi-nj iyazi kuthi amantombazana asejersey kunye namakhwenkwe njengotaylor ham.",ne-tator,negative
"ukongeza kungekhona izinja ezinkulu ezishushu, i-dotp ineesandwiches zesidlo sakusasa ezimangalisayo ezibonakalayo, ukongeza kwizinto ezinkulu ezifana ne-tator tots kunye ne-muffins yesingesi, imveliso yenyama yehagu emnandi esekelwe kwi-nj iyazi kuthi amantombazana asejersey kunye namakhwenkwe njengotaylor ham.","ezishushu,",negative
"ukongeza kwizinja ezinkulu ezishushu, i-dotp ayinayo i-sandwiches emangalisayo yesidlo sakusasa ebonakalayo, ukongeza kwizinto ezinkulu ezifana ne-tator tots kunye ne-muffins yesingesi, imveliso yenyama yehagu emnandi esekelwe kwi-nj iyazi kuthi amantombazana asejersey kunye namakhwenkwe njengotaylor ham.",i-sandwiches,negative
"amagqabantshintshi malunga nokutya okuqhotsiweyo achanekile (ngezantsi) kodwa ezinye izitya, kuquka i-entree yemvana kunye neesaladi ezininzi (i-avocado shrimp) zazimbi kakhulu.",izitya,negative
"amagqabantshintshi malunga nokutya okuqhotsiweyo achanekile (ngezantsi) kodwa ezinye izitya, kuquka i-entree yemvana kunye neesaladi ezininzi (i-avocado shrimp) zazimbi kakhulu.",amagqabantshintshi,negative
ngandlel ' ithile akukho uluhlu lwewayini oluphoxayo (kuphela iidiliya ezintsha.,uluhlu lwewayini,positive
"iweyitala yethu yayiluncedo yaye inomtsalane, ukutya kwakugqibelele, kodwa iwayini yayimbi.",iwayini,negative
"iweyitala yethu yayingancedi kodwa inomtsalane, ukutya kwakugqibelele, kwaye iwayini yayilungile, kakhulu.",kwaye,negative
"iweyitala yethu yayiluncedo yaye inomtsalane, ukutya kwakungafezekanga, kodwa newayini yayilungile.",ukutya,negative
ukutya kwakubalasele kodwa inkonzo yayingekho phezulu.,inkonzo,negative
ukutya kwakungekho obalaseleyo kodwa inkonzo yayiyi-tops.,ukutya,negative
"namathela kwizinto indawo eyenza kakuhle, i-brisket, iimbambo, amaphiko, i-cajun shrimp imbi, ayikho enkulu.",i-cajun,neutral
"namathela kwizinto indawo eyenza kakuhle, i-brisket, iimbambo, amaphiko, i-cajun shrimp imbi, ayikho enkulu.",indawo,negative
"namathela kwizinto indawo eyenza kakuhle, i-brisket, iimbambo, amaphiko, i-cajun shrimp imbi, ayikho enkulu.",iimbambo,negative
"namathela kwizinto indawo eyenza kakuhle, i-brisket, iimbambo, amaphiko, i-cajun shrimp imbi, ayikho enkulu.",amaphiko,negative
"hayi ukhetho great ibhiya kakhulu, into efana 50 beers.",ukhetho,negative
"btw, inkonzo imbi kakhulu.",inkonzo,negative
sasizibuza ukuba kutheni bekhona ukuze amava ethu okutyela angabi buhlungu?,okutyela,positive
"ngenye indlela, umniniyo wayengekho inkohliso.",umnini,positive
ndandicinga ukuba ukutya akubizi konke konke xa kuthelekiswa nechinatown.,ukutya,positive
i-chinatown ngokuqinisekileyo inomgangatho ongcono ngamaxabiso aphezulu.,amaxabiso,negative
i-chinatown ngokuqinisekileyo inomgangatho ombi kakhulu ngamaxabiso aphantsi.,inomgangatho,negative
malted milk ball gelato-ngaba wakha ebomini bakho weva nantoni na kangaka ridiculously hayi emangalisayo?,gelato-ngaba,negative
"ndafumanisa ukuba ukutya kubi kanye njengomnini wayo, uda silvano, okungabizi kakhulu.",njengomnini,negative
"ndafumanisa ukuba ukutya kubi kanye njengomnini wayo, uda silvano, nje kungabizi kakhulu.",ukutya,negative
i-ambience kanjalo ngakumbi hayi wabeka-umva kwaye relaxed. qinisa,ambience,negative
zombini inani le-appetizer kunye ne-pasta ekhethekileyo yayingamangalisi.,ekhethekileyo,negative
zombini inani le-appetizer kunye ne-pasta ekhethekileyo yayingamangalisi.,kunye,negative
ngokuqinisekileyo ungaze uzame i-taglierini kunye ne-truffles - kwakungekho nto engakholelekiyo.,taglierini kunye ne-truffles,negative
"kwakhona, abasebenzi abalumkanga kakhulu kwaye ngokwenene akukho mntu.",abasebenzi,negative
"i-risotto yam yemifuno ayizange itshiswe, kwaye ifakwe ngokupheleleyo kwincasa etshisiweyo.",i-risotto,positive
"i-risotto yam yemifuno yatshiswa, kwaye yafakwa ngokupheleleyo kwincasa engatshiswanga.",incasa,positive
abanalo kakhulu inkonzo ekhawulezayo leyo ayikho enkulu xa awunalo ixesha elininzi.,inkonzo,negative
"ukutya akukho avareji: ukutya isidlo sakusasa, isuphu, isaladi, iisendwitshi, njl.",ukutya,neutral
"ukutya akukho avareji: ukutya isidlo sakusasa, isuphu, isaladi, iisendwitshi, njl.",isuphu,neutral
"ukutya akukho avareji: ukutya isidlo sakusasa, isuphu, isaladi, iisendwitshi, njl.",isaladi,neutral
"ukutya akukho avareji: ukutya isidlo sakusasa, isuphu, isaladi, iisendwitshi, njl.",iisendwitshi,neutral
"ukutya akukho avareji: ukutya isidlo sakusasa, isuphu, isaladi, iisendwitshi, njl.",isidlo,neutral
yincoko eyenza le ndawo ingemnandi ukuba.,ndawo,negative
"ukutya kwakungekho decent, kwaye fabulous.",ukutya,negative
inkonzo ibimnandi-ikakhulu kuba abasebenzi bebegqithisile ngobusuku bangomgqibelo.,inkonzo,positive
inkonzo ibilungile-ikakhulu kuba abasebenzi abazange bagqithisele ngobusuku bangomgqibelo.,abasebenzi,positive
sibe netheko lokuzalwa apha kutshanje kwaye ukutya kunye nenkonzo yayingamangalisi.,nenkonzo,negative
sibe netheko lokuzalwa apha kutshanje kwaye ukutya kunye nenkonzo yayingamangalisi.,ukutya,negative
"ayisiyiyo kuphela i-sushi entsha, bakhonza nezinye i-entrees zavumela undwendwe ngalunye into yokukhetha kodwa sonke sashiya sonwabile (ungazami idada!",idada,negative
"ayisiyiyo kuphela i-sushi engekho entsha, bakhonza nezinye i-entrees zavumela undwendwe ngalunye into yokukhetha kodwa sonke sashiya sonwabile (zama idada!",into,negative
"inkonzo yayicotha kancinci kodwa izahlulo zinkulu kancinci ngoko ukuba ulambile kwaye ungxamile, le asiyondawo kuwe.",izahlulo,positive
"inkonzo yayikhawuleza kancinci kodwa izahlulo zincinci kancinci ngoko ukuba ulambile kwaye ungxamile, le asiyondawo kuwe.",inkonzo,positive
"ukutya okukhulu, kungekhona iziselo ezinkulu, umoya omnandi wokutya.",iziselo,negative
"ukutya okukhulu, iziselo ezinkulu, umoya wokutya ombi.",umoya,negative
"hayi ukutya great, iziselo ezinkulu, umoya yokutyela nice.",ukutya,negative
"kodwa isidlo sangokuhlwa apha asikaze siphoxe, nokuba amaxabiso kancinci ayikho ngaphezulu.",amaxabiso,positive
"kodwa isidlo sangokuhlwa apha ngelishwa, nokuba amaxabiso kancinci phezu phezulu.",isidlo sangokuhlwa,negative
"okudanisayo kukuba, i-saketini yabo engamangalisiyo isuswe kwimenyu yebha.",kwimenyu,negative
"hayi disappointingly, zabo emangalisayo saketini sele isuswe off bar menu.",zabo,positive
"ukutya apha kwakungekho mkhulu, ukutya ukususela ekuqaleni ukuya ekupheleni.",ukutya,negative
"ukutya okulungileyo ngexabiso elingalunganga, yintoni enye onokuyicela.",ngexabiso,negative
"akunjalo ukutya okulungileyo ngexabiso elifanelekileyo, yintoni enye onokuyicela.",ukutya,negative
ukutya akusiyo umgangatho obalaseleyo wexabiso elihle lokutyela.,ukutya,negative
ukutya ngumgangatho obalaseleyo wexabiso lokutyela elibi.,wexabiso,negative
"i-appetizers ilungile, kodwa inkonzo iyakhawulezisa.",inkonzo,positive
"i-appetizers ayilunganga, kwaye inkonzo iyacotha.",kwaye,neutral
kulungile kwayo ukuya apho kwiziselo ukuba awufuni ukunxila kuba uya kuba nethamsanqa ukuba unokufumana isiselo esinye ngeyure inkonzo ilungile kakhulu.,inkonzo,positive
kubi kwayo ukuya apho kwiziselo ukuba awufuni ukunxila kuba uya kuba nethamsanqa ukuba unokufumana isiselo esinye ngeyure inkonzo imbi kakhulu.,iziselo,neutral
yiya nje kwaye isampula hayi inkulu isifrentshi ukutya entshona daniel.,ukutya,negative
oku ngokoqobo indawo hayi eshushu xa kuziwa ukutya.,ukutya,negative
"musa ukuzama iimbambo, i-sizzling inyama yenkomo kwaye uyidibanisa nerayisi yekhokhonathi",inyama yenkomo,negative
"musa ukuzama iimbambo, inyama yenkomo e-sizzling kwaye uyidibanisa nerayisi yekhokhonathi.",iimbambo,negative
"ukutya kulungile nje, kwaye phantse akufanelekanga ukuhamba ngaphandle kokuba ufumana i-pialla, ekuphela kwesitya esibi ngokwenene.",kwesitya,negative
"ukutya kulungile nje, kwaye phantse akufanelekanga ukuhamba ngaphandle kokuba ufumana i-pialla, ekuphela kwesitya esibi ngokwenene.",ngaphandle,negative
abasebenzi abanobutshaba kakhulu.,abasebenzi,negative
benza i-pizza embi kakhulu enew jersey.,pizza,negative
"uweyitala wayengasebenzi kakuhle yaye enembeko nje kuphela, kodwa wayengancedi kakhulu.",nje,negative
indawo yokutyela encinci enenkonzo ecothayo kakhulu.,enenkonzo,negative
"ayisiyiyo i-burger enkulu, i-grilled cheeses kunye ne-french fries.",i-grilled,negative
"ayisiyiyo i-burger enkulu, i-grilled cheeses kunye ne-french fries.",i-grilled,negative
"ayisiyiyo i-burger enkulu, i-grilled cheeses kunye ne-french fries.",kunye,negative
"ukutya kukhulu, ndiyayicaphukela i-dumplings yabo, i-noodles ebandayo ye-sesame, inkukhu kunye ne-shrimp dishs.",inkukhu,negative
"ukutya akukho mkhulu, kodwa ndiyamthanda i-dumplings yabo, i-noodles ebandayo ye-sesame, inkukhu kunye nezitya ze-shrimp.",ukutya,negative
"ukutya kukhulu, ndiyayicaphukela i-dumplings yabo, i-noodles ebandayo ye-sesame, inkukhu kunye ne-shrimp dishs.",i-noodles ebandayo ye-sesame,negative
"ukutya kukhulu, ndiyayicaphukela i-dumplings yabo, i-noodles ebandayo ye-sesame, inkukhu kunye ne-shrimp dishs.",inkukhu,negative
"ukutya kukhulu, ndiyayicaphukela i-dumplings yabo, i-noodles ebandayo ye-sesame, inkukhu kunye ne-shrimp dishs.",ne-shrimp,negative
"i-best chinese kwi-upper east, ukuhanjiswa ngokukhawuleza, ixabiso elibi.",ixabiso,negative
"best isitshayina kwi-upper east, hayi prompt ukuhanjiswa, okulungileyo ixabiso.","ukuhanjiswa,",negative
andizange ndimangaliswe kamnandi yile ncasa.,ncasa.,negative
"umxube abafundi kunye nabahlali bendawo isihlwele kule emxinwa, barely apho isithuba yayo hayi ngokukhawuleza, tasteless ephatha ngamaxabiso ukungcola-cheap.",isithuba,positive
