,zu,aspect,polarities
673,"Ukuze kube nobulungiswa, ukudla namanje kuhle futhi inkonzo akuyona ngokushesha kodwa hhayi attentative yize ngokuvamile yayo engasebenzi kakhulu.",service,negative
677,"Ukuba nobulungiswa, ukudla kusekubi kodwa insizakalo iyashesha futhi i-attentative yize ngokuvamile imatasa kakhulu.",ukudla,negative
681,"Isevisi akuyona enhle kakhulu, akukho ukulinda, kodwa uthola okuningi ngentengo.",Service,negative
685,"Isevisi inhle kakhulu, linda, kodwa uthola okuningi ngentengo.",linda,negative
691,Ama-waiters anobungane kakhulu kodwa i-pasta ayiphumi kuleli zwe.,pasta,negative
695,Ama-waiters anonya kakhulu kodwa i-pasta iphuma kuleli zwe.,Abalindi,negative
699,kuyintokozo efihliwe ephelele ngebha ye-quaint kodwa ukudla okubi.,ukudla,negative
703,kuyintokozo efihliwe ephelele ngebha hhayi quaint nokudla okuhle.,ibha,negative
707,yindawo hhayi ethokomele ukuya nabangani ezimbalwa.,indawo,negative
710,i ikakhulukazi ngokungafani igobolondo yabo ezithambile crab sandwich nge fries.,soft igobolondo crab sandwich nge fries,negative
713,"nge-appetizer, i-calamari yabo iyi-loser.",appetizer,neutral
716,"nge-appetizer, i-calamari yabo iyi-loser.",calamari,negative
719,"Hhayi izingxenye Huge, inkonzo enkulu kodwa unake, futhi amanani pretty ezinhle.",izingxenye,negative
723,"Izingxenye ezinkulu, hhayi inkonzo enkulu futhi engacabangi, kodwa amanani amahle kakhulu.",service,negative
727,"Izingxenye ezinkulu, insizakalo enkulu futhi eqaphelayo, kodwa amanani amahle amabi.",amanani,negative
731,Umkhathi ofudumele kodwa uphoxekile onjalo.,umkhathi,negative
734,I-waiter yethu yayinkulu; ngakho unomusa futhi unesithakazelo.,waiter,positive
737,I-sangria's-not watered down.,sangria,positive
740,"imenyu-hhayi engalingani, enkulu.",imenyu,positive
743,ukudla- kufanelekile intengo.,intengo,positive
746,ukudla- kufanelekile intengo.,ukudla,positive
749,"Ngisho nalapho umpheki engekho endlini, ukudla nenkonzo akulungile ku-target.",service,negative
752,"Ngisho nalapho umpheki engekho endlini, ukudla nenkonzo akulungile ku-target.",ukudla,negative
757,"Njengoba ngipheka ukuze ngiziphilise, angiphazamiseki kakhulu ngokudla engikudla ezindaweni zokudlela.",ukudla,neutral
762,"Qiniseka ukuthi ungazami i-Smoked Trout ... I-Lamb Chops, i-Veal Chops, i-Rabbit, i-potato gratin, njalo njalo...",Iwundlu Chops,negative
765,"Qiniseka ukuthi ungazami i-Smoked Trout ... I-Lamb Chops, i-Veal Chops, i-Rabbit, i-potato gratin, njalo njalo...",amazambane gratin,negative
768,"Qiniseka ukuthi ungalokothi uzame i-Smoked Trout ... I-Lamb Chops, i-Veal Chops, i-Rabbit, i-potato gratin, njalo njalo...",Smoked Trout,negative
771,"Qiniseka ukuthi ungazami i-Smoked Trout ... I-Lamb Chops, i-Veal Chops, i-Rabbit, i-potato gratin, njalo njalo...",Rabbit,negative
774,"Qiniseka ukuthi ungazami i-Smoked Trout ... I-Lamb Chops, i-Veal Chops, i-Rabbit, i-potato gratin, njalo njalo...",Veal Chops,negative
777,Uzophoxeka nganoma yikuphi ukukhetha kwimenyu.,imenyu,negative
788,"Hhayi kakhulu, kodwa ngokwanele ukuthi kukhona indawo hhayi enkulu.",indawo,negative
791,"Ukudla kwakuyi-sushi enkulu kwakukuhle, kodwa ukudla okuphekiwe akuzange kusimangalise.",ukudla okuphekiwe,negative
795,"Ukudla kwakuyi-sushi enkulu kwakubi, kodwa ukudla okuphekiwe kwasimangaza.",sushi,negative
799,"Ukudla kwakungeyona i-sushi enkulu kwakuhle, kodwa ukudla okuphekiwe kwasimangaza.",ukudla,negative
805,Umphathi wabe esesitshela ukuthi singakwazi uku-oda kunoma iyiphi imenyu esiyifunayo kodwa ngaleso sikhathi asizange sithukuthele kakhulu nge-waiter kanye ne-resturant kangangokuthi savumela futhi sahamba enye indawo.,waiter,positive
812,ukudla akuyona okumnandi futhi kakhulu hhayi Kunconywa.,ukudla,negative
815,"Lapho isidlo sifika sasivutha ngama-chili aluhlaza, nakanjani adliwa ngumuntu.",ama-chilis aluhlaza,positive
819,"Lapho isidlo sifika kwakuvutha ngama-chili aluhlaza, nakanjani okumnandi",isidlo,positive
823,"Ngakhalaza ku-waiter bese ngiya kumphathi, kodwa ukuqina kwemfanelo kusuka kubo kwavele kwenyuka.",umphathi,positive
826,"Ngakhalaza ku-waiter bese ngiya kumphathi, kodwa ukuqina kwemfanelo kusuka kubo kwavele kwenyuka.",waiter,positive
829,Angizange ngiphoxeke kakhulu ngenkonzo nokudla kwabo.,service,positive
832,Angizange ngiphoxeke kakhulu ngenkonzo nokudla kwabo.,ukudla,positive
837,Ngahamba ngalo Mgqibelo odlule futhi ngaba nokudla okungekho okuhle kakhulu kokuqukethe i-shank yewundlu e-braised enamazambane ahlanganisiwe.,isidlo,negative
842,I-Deco ne-ambiance yayiyi-classicist ngempela.,Deco,negative
845,I-Deco ne-ambiance yayizenzisa ngempela.,ambiance,negative
848,"Ngidle kuzo zonke izindawo ezintathu futhi ngihlala ngithanda, ngithanda ukudla, insizakalo ihlala imangalisa kodwa amanani awanangqondo ngempela.",amanani,negative
852,"Ngidle kuzo zonke izindawo ezintathu futhi ngihlala ngithanda, ngithanda ukudla, nakuba insizakalo ihlala ibuhlungu kakhulu, amanani anengqondo ngempela.",service,negative
856,"'udle kuzo zonke izindawo ezintathu futhi ngihlala ngizonda ukudla, insizakalo ihlala imangalisa kodwa amanani anengqondo ngempela.",ukudla,negative
860,"Uma ufuna ukunambitha okubi, ukudla okubi kwe-latin okunambithekayo, yidla eCabana futhi awukwazi ukungahambi kahle.",ukudla kwe-latin,negative
863,"Kwakumnandi uncrowded, inkonzo kwakujabulisa, ingadi inzondo, ukudla (kusukela appetizers kuya entrees) kwaba delectable.",ingadi,negative
867,"Kwakumnandi uncrowded, inkonzo yayingajabulisi, ingadi ethandekayo, ukudla (kusukela ku-appetizers kuya ku-entrees) kwakumnandi.",service,negative
871,"Kwakumnandi uncrowded, inkonzo kwakujabulisa, ingadi ethandekayo, ukudla (kusukela appetizers kuya entrees) kwakungekho delectable.",appetizers,negative
875,"Kwakumnandi uncrowded, inkonzo kwakujabulisa, ingadi ethandekayo, ukudla (kusukela appetizers kuya entrees) kwakungekho delectable.",entrees,negative
879,"Kwakumnandi uncrowded, inkonzo kwakujabulisa, ingadi ethandekayo, ukudla (kusukela appetizers kuya entrees) kwakungekho delectable.",ukudla,negative
883,"Yum, inkukhu ayikho enkulu lapha.",inkukhu,negative
888,"I-guac intsha, kodwa ayinakho ukunambitheka, sithanda ukwengeza i-salsa yethu entsha kuyo.",ukunambitheka,positive
891,I-fajita esazama yayinambitheka kodwa ingashisiwe futhi i-mole sauce yayimnandi kakhulu.,fajita,positive
895,I-fajita esazama ngayo yayinganambitheki futhi ishisiwe kodwa i-mole sauce yayingemnandi kakhulu.,mole sauce,positive
901,Inkonzo yayiphakathi kokubi kakhulu engake ngaba nayo e-NYC.,Service,negative
904,I-fettucino alfredo yayingemangalisa.,fettucino alfredo,negative
907,Amanani ngisho nangaphandle kwesonto lokudlela ayengekho amakhulu.,Amanani,negative
910,"Ama-bartenders kanye nabaphathi babi ngempela futhi i-decor ithokomele kakhulu futhi ibekwe emuva, sonke isikhathi ihamba phambili.",abaphathi,negative
914,"Ama-bartenders kanye nabaphathi babi ngempela futhi i-decor ithokomele kakhulu futhi ibekwe emuva, sonke isikhathi ihamba phambili.",bartenders,negative
918,"Ama-bartenders kanye nabaphathi bamnandi ngempela kodwa i-decor ayikhululekile kakhulu futhi ayibekiwe, sonke isikhathi ihamba phambili.",decor,negative
922,"Ngiyazonda iziphuzo, esp lychee martini, futhi ukudla nakho kuhle KAKHULU.",iziphuzo,negative
926,"Ngiyazonda iziphuzo, esp lychee martini, futhi ukudla nakho kuhle KAKHULU.",lychee martini,negative
930,"Ngiyazithanda iziphuzo, esp lychee martini, kodwa ukudla futhi KUBI KAKHULU.",ukudla,negative
934,I-sushi inentengo engenakulinganiswa futhi intsha.,ontengo yakhe yaphansi,negative
938,I sushi akuyona ngokunengqondo ontengo yakhe ibekwe futhi stale fresh,sushi,negative
942,Akukuhle isidlo sasemini se-sushi esingasheshi.,sushi kwasemini,negative
945,"Abagcini nje ngokuthi bane-escargot embi kakhulu edolobheni, bahlala bezama ukuhlalisa ingane yethu encane.",escargot,negative
948,"I-Appetizer ayihle kakhulu lapha, kodwa ungenza isidlo esikhulu (kodwa esingabizi) kubo.",Appetizer,negative
952,I-Appetizer inhle kakhulu lapha; ungenza isidlo hhayi esikhulu (kodwa hhayi engabizi) kubo.,isidlo,negative
956,Ama-mussels anomsoco ayisizinda.,ama-mussels anomsoco,negative
963,"Ngenkathi ukudla kwabo ekhishini kungemnandi, iSushi yabo iphuma kuleli zwe.",ukudla ekhishini,negative
967,"Ngenkathi ukudla kwabo ekhishini kumnandi, iSushi yabo ayiphumi kuleli zwe.",Sushi,negative
971,Le ndawo ayinayo imenyu engavamile kodwa indawo yokudlela izama kakhulu ukwenza ukudla okuhle.,imenyu,positive
975,Le ndawo inemenyu engavamile kodwa izindawo zokudlela zizama kakhulu ukwenza ukudla okungekho okuhle.,ukudla,positive
987,Le ndawo encane akuyona ukwamukela ngokumangalisayo efudumele.,indawo,negative
992,Ummemi (umnikazi) kanye namaseva awanamuntu futhi awanaki.,abanikezeli,negative
1001,Bane-pastas eyenziwe ekhaya yazo zonke izinhlobo -- angincomi i-gnocchi -- hhayi i-yum!,gnocchi,negative
1006,ama-mojitos kanye nensizakalo yingxenye embi kakhulu lapho,mojitos,negative
1009,ama-mojitos kanye nensizakalo yingxenye embi kakhulu lapho,service,negative
1012,Inkonzo yayimbi kanjalo nomkhathi.,Service,negative
1015,Inkonzo yayimbi kanjalo nomkhathi.,umkhathi,negative
1018,Mina nosuku lwami sobabili sa-oda iBranzini futhi bobabili bezwa ukuthi izinhlanzi azivamile kakhulu.,inhlanzi,positive
1021,Mina nosuku lwami sobabili sa-oda iBranzini futhi bobabili bezwa ukuthi izinhlanzi azivamile kakhulu.,Branzini,neutral
1024,Ukudla kwakubi jikelele.,ukudla,negative
1027,Isaladi le-caeser lalingekho elikhulu.,isaladi caeser,negative
1030,I-calamari ethosiwe yayimbi nakakhulu!,calamari ethosiwe,negative
1033,ANGIZANGE NGIPHOXEKE KAKHULU NGOKUDLA.,UKUDLA,positive
1036,"I-PUDDING YEBHANANA ABAYIKHONZAYO AYIKAZE IBONE I-OVEN, AMA-CRABCAKES AYINDLELA PHEZU KOSAWOTI FUTHI INGABE N'T GET ME STARTED ON THE VERY NOT GREASY MAC AND CHEESE.",I-MAC NE-CHEESE,positive
1040,"I-BANANA PUDDING ABAYIKHONZAYO AYIKAZE IBONE I-OVEN, AMA-CRABCAKES AYINDLELA ENGAPHEZULU KOSAWOTI KODWA INGABE N'T GET ME STARTED ON THE VERY GREASY MAC AND CHEESE.",CRABCAKES,positive
1046,Sushi ngakho hhayi fresh ukuthi crunches emlonyeni wakho.,Sushi,negative
1049,Kodwa qiniseka ukuthi unendawo eyanele ekhadini lakho lesikweletu njengoba ibhili izoshiya i-dent encane esikhwameni sakho.,bill,positive
1052,"Ukudla kwakuphakathi kokuba nomusa, ingaphakathi likhulu kodwa hhayi isilinganiso, abanikazi bayiqembu le-tag le-unpleasantries, ngakho-ke i-rude ne-snotty empeleni ngakhipha i-guffaw enenhliziyo ngenkathi ngidlela.",ingaphakathi,positive
1058,ukudla kwakuphakathi kokuba nomusa-ingaphakathi lincane kodwa isilinganiso-abanikazi bayi-tag-team ye-not unpleasantries-so civil hhayi i-snotty i empeleni ikhiphe i-guffaw enenhliziyo ngenkathi idlela.,abanikazi,positive
1062,ukudla kwakungeyona mediocre ukuba umusa-ingaphakathi incane kodwa isilinganiso-abanikazi kukhona tag-team of unpleasantries-ngakho rude futhi snotty i empeleni ukukhipha guffaw inhliziyo ngenkathi yokudlela.,ukudla,positive
1066,Ukudla kwakushibhile kakhulu kulokho okutholayo.,Isidlo,positive
1069,I- $ 72 Delmonico steak kwakungadingeki ukuthi ibuyiselwe emuva ngoba yabiliswa uku-oda.,Delmonico steak,positive
1072,I-Management yayingekho ngaphansi kwe-accomodating.,Ukuphathwa,positive
1075,Sihlale sithole hhayi inkonzo emangalisayo futhi sithanda ukudla.,service,negative
1079,Sihlale sithola inkonzo emangalisayo kodwa siyakuzonda ukudla.,ukudla,negative
1083,Ngibe nokudla okubi kakhulu kwaseJapane enkundleni yokudla yezitolo.,Ukudla kwaseJapane,positive
1086,Ukuhamba kokuqala endaweni kwakubonakala kungenayo i-ambience enkulu.,ambience,negative
1091,Kodwa ukudla kwakungeyona into esabekayo.,ukudla,positive
1098,Inkukhu yami yomile ngokuphelele futhi ngasohlangothini olubandayo kodwa isoso lalinambitheka kakhulu.,sauce,positive
1102,Inkukhu yami yayingomile ngokuphelele kodwa ohlangothini olubandayo futhi isoso lalinganambitheki kakhulu.,inkukhu,positive
1106,"Into eyodwa enhle engingakusho ukuthi insizakalo ayizange isheshe, sahlala ngokushesha kodwa iseva yayinobungane kakhulu.",service,negative
1110,"Into eyodwa enhle engingayisho ukuthi insizakalo yayishesha, sahlala ngokushesha kodwa iseva yayinonya kakhulu.",isiphakeli,negative
1114,Indlela imali eningi kakhulu isidlo esikhulu kangaka,isidlo,positive
1117,Waba nesipiliyoni esikhulu ku-Trio ... abasebenzi kwakumnandi; ukudla kwakunambitheka futhi kukhulu ngosayizi wengxenye-ngeke ngincome kakhulu i-portobello / gorgonzola / isoseji appetizer kanye ne-lobster risotto.,lobster risotto,negative
1121,Waba nesipiliyoni esikhulu ku-Trio ... abasebenzi kwakumnandi; ukudla kwakunganambitheki kodwa kukhulu ngosayizi wengxenye-ngingakuncoma kakhulu i-portobello / gorgonzola / sausage appetizer kanye ne-lobster risotto.,ukudla,negative
1125,Waba nesipiliyoni esikhulu ku-Trio ... abasebenzi kwakumnandi; ukudla kwakunambitheka futhi kukhulu ngosayizi wengxenye-ngeke ngincome kakhulu i-portobello / gorgonzola / isoseji appetizer kanye ne-lobster risotto.,portobello / gorgonzola / isoseji appetizer,negative
1129,Waba nesipiliyoni esikhulu ku-Trio ... abasebenzi kwakungajabulisi; ukudla kwakunambitheka kodwa kukhulu ngosayizi wengxenye-ngingakuncoma kakhulu i-portobello / gorgonzola / isoseji appetizer kanye ne-lobster risotto.,abasebenzi,negative
1133,Waba nesipiliyoni esikhulu ku-Trio ... abasebenzi kwakumnandi; ukudla kwakunambitheka kodwa kuncane ngosayizi wengxenye-ngingakuncoma kakhulu i-portobello / gorgonzola / isoseji appetizer kanye ne-lobster risotto.,usayizi wengxenye,negative
1137,Inkonzo yayingacabangi kakhulu futhi i-ungenerous kakhulu.,service,negative
1140,"Sasinamathani okudla okungekho okukhulu, iwayini nama-dessert.",iwayini,negative
1143,"Sasinamathani okudla okungekho okukhulu, iwayini nama-dessert.",ama-dessert,negative
1146,"Sasinamathani okudla okungekho okukhulu, iwayini nama-dessert.",ukudla,negative
1149,Ngempela hhayi Lovely yokudlela isipiliyoni phakathi buzzing endaweni midtown.,isipiliyoni yokudlela,negative
1154,"Isevisi ihlala ingekho enkulu, futhi umnikazi uhambahamba ukuze uqiniseke ukuthi uyajabulela.",service,negative
1159,"Umculo wawuthakazelisa, kodwa washiya indawo yokuxoxa, futhi i-bartender yenza iziphuzo ezingahle kakhulu.",iziphuzo,negative
1163,"Umculo wawuthakazelisa, kodwa washiya indawo yokuxoxa, futhi i-bartender yenza iziphuzo ezingahle kakhulu.",bartender,negative
1167,"Umculo awuzange uthakazele, kodwa washiya indawo yokuxoxa, kodwa i-bartender yenza iziphuzo ezihle kakhulu.",umculo,negative
1171,Ukudla ngempela akukuhle kakhulu kodwa inkonzo akuyona esabekayo.,service,positive
1175,Ukudla ngempela akukuhle kakhulu kodwa inkonzo imbi kakhulu.,ukudla,positive
1179,"Ngiyajabula ukuthi ngenze njengoba ukudla kwakuhle kakhulu kodwa abasebenzi babengenabuhlobo, bengenannkundla futhi bengasebenzi kahle.",abasebenzi,negative
1183,"Ngiyajabula ukuthi ngenze njengoba ukudla kwakubi kakhulu kodwa abasebenzi babenobungane, benhlonipho futhi besebenza kahle.",ukudla,negative
1191,Lokhu kwenza kwacaca ukuthi ukudla kwakuphekwe kusha; kusobala ukuthi akuzange kwenziwe ngaphambi kwesandla bese kushisa kabusha.,ukudla,positive
1194,"ngesikhathi amahora matasa, i hhayi batusa ukuthi wenze ukubhuka.",ukubhuka,neutral
1197,kodwa ushizi wabo we-mac wawungeyona i-YUMMY!,mac ushizi,negative
1202,umculi we-jazz wayenezwi elibi + wasenza sonke savuka ukudansa ukunyakazisa amanye ama-cals ukuze sidle amanye amanye.,umculi we-jazz,negative
1207,Uma ukufuna kwakho ukudla okuhle hhayi ngentengo ephezulu nge-dash ye-ghetto indawo eshibhile BX A $ $ lena indawo okufanele ibe !!,ukudla,positive
1211,Uma ukufuna kwakho ukudla okubi hhayi ngentengo ephezulu nge-dash ye-ghetto indawo eshibhile BX A $ $ lena indawo okufanele ibe !!,ontengo yakhe yaphansi,positive
1215,inkonzo ayikhuthazi ngokungenabuhlobo.,service,negative
1218,Sahlangana nale ndawo yokudlela ngengozi ngenkathi sisemkhosini wobuciko we-DUMBO futhi ngokuphelele asizange sijabulele ukudla kwethu.,isidlo,negative
1221,Ukudla kwaba kakhulu-hhayi eyiqiniso cuisine Italian wenza ngokuphelele stale.,cuisine Italian,negative
1225,Ukudla kwakungeyona enhle kakhulu-eyiqiniso cuisine Italian wenza ngokuphelele fresh.,ukudla,negative
1229,Inkonzo ibingavelele.,service,negative
1234,lokhu ngaphandle kombuzo kungenye ye-hotdogs engcono kakhulu engake ngaba nayo.,hotdogs,positive
1237,"Ngaphezu kwezinja ezinkulu ezishisayo, i-DOTP inama-sandwich okudla kwasekuseni okumangalisayo okufaka, ngaphezu kwezinto ezingekho ezinkulu ezifana nama-tator tots nama-muffin esiNgisi, umkhiqizo wengulube omnandi we-NJ-based wazi kithi amantombazane aseJersey nabafana njenge-Taylor ham.",Ama-muffin esiNgisi,negative
1243,"Ngaphezu kwezinja ezinkulu ezishisayo, i-DOTP inama-sandwich okudla kwasekuseni okumangalisayo okufaka, ngaphezu kwezinto ezinkulu ezifana nama-tator tots nama-muffin esiNgisi, umkhiqizo wengulube ongamnandi we-NJ-based wazi kithi amantombazane aseJersey kodwa abafana njenge-Taylor ham.",umkhiqizo wengulube,negative
1247,"Ngaphezu kwezinja ezinkulu ezishisayo, i-DOTP inama-sandwich okudla kwasekuseni okumangalisayo okufaka, ngaphezu kwezinto ezingekho ezinkulu ezifana nama-tator tots nama-muffin esiNgisi, umkhiqizo wengulube omnandi we-NJ-based wazi kithi amantombazane aseJersey nabafana njenge-Taylor ham.",tator tots,negative
1251,"Ngaphezu hhayi izinja ezinkulu ezishisayo, i-DOTP inama-sandwich okudla kwasekuseni okumangalisayo okufaka, ngaphezu kwezinto ezinkulu ezifana nama-tator tots nama-muffin esiNgisi, umkhiqizo wengulube omnandi we-NJ-based wazi kithi amantombazane aseJersey nabafana njenge-Taylor ham.",izinja ezishisayo,negative
1255,"Ngaphezu kwezinja ezinkulu ezishisayo, i-DOTP ayinawo ama-sandwich okudla kwasekuseni okumangalisayo abonisa, ngaphezu kwezinto ezinkulu ezifana nama-tator tots nama-muffin esiNgisi, umkhiqizo wengulube omnandi we-NJ-based wazi kithi amantombazane aseJersey nabafana njenge-Taylor ham.",ama-sandwich okudla kwasekuseni,negative
1263,"Amazwana mayelana nokudla okuthosiwe alungile (ngezansi) kodwa ezinye izitsha, kufaka phakathi i-entree yewundlu kanye namasaladi amaningi (ama-avocado shrimp) ayemabi kakhulu.",izitsha,negative
1266,"Amazwana mayelana nokudla okuthosiwe alungile (ngezansi) kodwa ezinye izitsha, kufaka phakathi i-entree yewundlu kanye namasaladi amaningi (ama-avocado shrimp) ayemabi kakhulu.",iwundlu entrée,negative
1271,Ngandlela-thile hhayi uhlu lwewayini oluphoxayo (ama-vintages amasha kuphela.,uhlu lwewayini,positive
1276,"I-waiter yethu yayiwusizo futhi ikhangayo, ukudla kwakuphelele, kodwa iwayini lalibi.",iwayini,negative
1280,"I-waiter yethu yayingasizi kodwa ingathandeki, ukudla kwakuphelele, futhi iwayini lalilihle, futhi.",waiter,negative
1284,"I-waiter yethu yayiwusizo futhi ikhangayo, ukudla kwakungaphelele, kodwa iwayini lalilihle, futhi.",ukudla,negative
1288,Ukudla kwakuvelele kodwa inkonzo kwakungeyona ephezulu.,service,negative
1292,Ukudla kwakungavelele kodwa inkonzo yayiyi-tops.,ukudla,negative
1296,"Namathela ezintweni indawo eyenza kangcono, i-brisket, izimbambo, amaphiko, ama-shrimp e-cajun kubi, hhayi okukhulu.",cajun shrimp,neutral
1299,"Namathela ezintweni indawo eyenza kangcono, i-brisket, izimbambo, amaphiko, ama-shrimp e-cajun kubi, hhayi okukhulu.",brisket,negative
1302,"Namathela ezintweni indawo eyenza kangcono, i-brisket, izimbambo, amaphiko, ama-shrimp e-cajun kubi, hhayi okukhulu.",izimbambo,negative
1305,"Namathela ezintweni indawo eyenza kangcono, i-brisket, izimbambo, amaphiko, ama-shrimp e-cajun kubi, hhayi okukhulu.",amaphiko,negative
1310,"Hhayi Great ubhiya Ukukhetha kakhulu, into efana 50 ubhiya.",ukukhethwa ubhiya,negative
1313,"BTW, insizakalo imbi kakhulu.",service,negative
1322,Sasizibuza ukuthi kungani babekhona ukwenza isipiliyoni sethu sokudlela singahlupheki?,isipiliyoni yokudlela,positive
1325,"Nakanjani, umnikazi wayengeyona inkohliso.",umnikazi,positive
1332,Ngangicabanga ukuthi ukudla akuyona eshibhile nhlobo uma kuqhathaniswa neChinatown.,ukudla,positive
1335,I-Chinatown nakanjani inekhwalithi engcono ngamanani aphezulu.,amanani,negative
1339,I-Chinatown nakanjani inekhwalithi embi kakhulu ngamanani ashibhile.,ikhwalithi,negative
1351,Malted Milk Ball Gelato-wake empilweni yakho wezwa nganoma yini ehlekisayo kangaka hhayi emangalisayo?,Malted Ubisi Ball Gelato,negative
1354,"Ngathola ukudla kubi nje njengomnikazi wayo, uDa Silvano, okungabizi kakhulu nje.",umnikazi,negative
1357,"Ngathola ukudla kubi nje njengomnikazi wayo, uDa Silvano, nje hhayi kancane kakhulu ezibizayo.",ukudla,negative
1360,I-ambience nayo ayibekwe emuva futhi ikhululekile. ukuqina,ambience,negative
1363,Bobabili inani le-appetizer kanye ne-pasta ekhethekile kwakungeyona into emangalisayo.,izipesheli ze-pasta,negative
1366,Bobabili inani le-appetizer kanye ne-pasta ekhethekile kwakungeyona into emangalisayo.,appetizer,negative
1369,Ngokuqinisekile ungalokothi uzame i-taglierini nge-truffles - kwakungeyona into emangalisayo.,taglierini nge truffles,negative
1372,"Futhi, abasebenzi abanandaba kakhulu futhi ngempela abanawo umuntu.",abasebenzi,negative
1375,"I-risotto yami yemifino ayizange ishiswe, futhi ifakwe ngokuphelele ekunambithekeni okushisiwe.",risotto yemifino,positive
1379,"I-risotto yami yemifino yashiswa, futhi yafakwa ngokuphelele ekunambithekeni okungashisiwe.",ukunambitheka,positive
1383,Banenkonzo esheshayo kakhulu engekho enkulu lapho ungenaso isikhathi esiningi.,service,negative
1386,"Ukudla akuyona isilinganiso: ukudla kwasekuseni, amasobho, amasaladi, ama-sandwich, njll.",ukudla,neutral
1389,"Ukudla akuyona isilinganiso: ukudla kwasekuseni, amasobho, amasaladi, ama-sandwich, njll.",amasobho,neutral
1392,"Ukudla akuyona isilinganiso: ukudla kwasekuseni, amasobho, amasaladi, ama-sandwich, njll.",amasaladi,neutral
1395,"Ukudla akuyona isilinganiso: ukudla kwasekuseni, amasobho, amasaladi, ama-sandwich, njll.",ama-sandwich,neutral
1398,"Ukudla akuyona isilinganiso: ukudla kwasekuseni, amasobho, amasaladi, ama-sandwich, njll.",ukudla kwasekuseni,neutral
1401,Yizingxoxo ezenza le ndawo ingabi mnandi ukuba.,indawo,negative
1404,"Ukudla kwakungeyona ehloniphekile, futhi fabulous.",Ukudla,negative
1407,Inkonzo ibimnandi kakhulu ngoba abasebenzi bebegcwele ngoMgqibelo ebusuku.,Service,positive
1411,Inkonzo ibihle kakhulu ngoba abasebenzi abazange banqotshwe ngoMgqibelo ebusuku.,abasebenzi,positive
1415,Sibe nomcimbi wosuku lokuzalwa lapha muva nje futhi ukudla nenkonzo kwakungamangalisi.,service,negative
1418,Sibe nomcimbi wosuku lokuzalwa lapha muva nje futhi ukudla nenkonzo kwakungamangalisi.,ukudla,negative
1421,"Akukona nje kuphela ukuthi i-sushi entsha, baphinde bakhonza amanye ama-entrees avumela isivakashi ngasinye into ongakhetha kuyo kodwa sonke sashiya sijabule (hhayi ukuzama idada!",duck,negative
1427,"Akukona nje kuphela ukuthi i-sushi ayizange intsha, baphinde bakhonza amanye ama-entrees avumela isivakashi ngasinye into ongakhetha kuyo kodwa sonke sashiya sijabule (zama idada!",sushi,negative
1431,"Inkonzo yayihamba kancane kodwa izingxenye zinkulu kancane ngakho-ke uma ulambile futhi uphuthuma, lena akuyona indawo yakho.",izingxenye,positive
1435,"Inkonzo yayishesha kancane kodwa izingxenye zincane kancane ngakho-ke uma ulambile futhi uphuthuma, lena akuyona indawo yakho.",service,positive
1439,"Ukudla okukhulu, hhayi iziphuzo ezinkulu, umoya omuhle wokudlela.",iziphuzo,negative
1443,"Ukudla okukhulu, iziphuzo ezinkulu, umkhathi wokudlela omubi.",emkhathini wokudlela,negative
1447,"Hhayi Ukudla okukhulu, iziphuzo ezinkulu, umkhathi omuhle wokudlela.",ukudla,negative
1451,"Kodwa isidlo sakusihlwa lapha asikaze siphoxe, ngisho noma amanani kancane hhayi ngaphezulu.",amanani,positive
1455,"Kodwa isidlo sakusihlwa lapha kuyishwa, ngisho noma amanani kancane ngaphezulu.",isidlo sakusihlwa,negative
1459,"Ngokudabukisayo, i-Saketini yabo engekho emangalisayo ikhishwe kwimenyu yebha.",Saketini,negative
1463,"Hhayi Ngokudabukisayo, i-Saketini yabo emangalisayo ikhishwe kwimenyu yebha.",imenyu yebha,positive
1467,"Ukudla lapha kwakungekho okukhulu, ukudla kusukela ekuqaleni kuze kube sekugcineni.",ukudla,negative
1470,"Ukudla okuhle ngentengo engalungile, yini okunye ongakucela.",intengo,negative
1474,"Hhayi Ukudla okuhle ngentengo efanele, yini ngaphezulu ongakucela.",ukudla,negative
1484,Ukudla akuyona ikhwalithi enhle kakhulu yentengo yokudlela enhle.,Ukudla,negative
1488,Ukudla kuyikhwalithi enhle kakhulu yentengo yokudlela embi.,intengo,negative
1492,"Ama-appetizers alungile, kodwa insizakalo iyasheshisa.",service,positive
1496,"Ama-appetizers awalungile, futhi insizakalo ihamba kancane.",appetizers,neutral
1502,Kuhle kwayo ukuya khona iziphuzo uma ungafuni ukudakwa ngoba uzoba nenhlanhla uma ungathola isiphuzo esisodwa ngehora inkonzo inhle kakhulu.,service,positive
1506,Ububi bayo ukuya khona iziphuzo uma ungafuni ukudakwa ngoba uzoba nenhlanhla uma ungathola isiphuzo esisodwa ngehora inkonzo imbi kakhulu.,iziphuzo,neutral
1510,Vele ungene futhi isampula ukudla hhayi omkhulu French entshonalanga Daniel.,ukudla French,negative
1513,Lokhu ngokoqobo indawo hhayi ashisayo uma kuziwa ukudla.,ukudla,negative
1520,"Ungazami izimbambo, inyama yenkomo e-sizzling bese uyihlanganisa nelayisi likakhukhunathi",inyama yenkomo,negative
1523,"Hhayi Zama izimbambo, sizzling yenkomo futhi umbhangqwana it nge irayisi kakhukhunathi.",izimbambo,negative
