rw,aspect,polarities
umuyobozi yatubwiye ko dushobora gutumiza menu iyo ari yo yose dushaka ariko icyo gihe ntabwo twababajwe cyane n'umukozi n'umukozi wo mu nzu twarekuye maze tujya ahandi.,dushaka,positive
ibyo kurya si byiza kandi si byiza cyane.,kurya,negative
"ubwo ibyokurya byari bimeze bityo, byari bifite ibyokurya by'ubururu, nta gushidikanya ko byari biribwa n'umuntu.","by'ubururu,",positive
"ubwo ibyokurya byari bimeze nk'ibyo, byari bifite ibyokurya byo mu bwoko bwa chillis, nta gushidikanya ko byari byiza cyane",ibyokurya,positive
"nakomeje kuvugana n'umuyobozi w'akarere, ariko umuyobozi w'akarere ka nyamasheke yagize icyo abivugaho.",umuyobozi,positive
"nakomeje kuvugana n'umuyobozi w'akarere, ariko umuyobozi w'akarere ka nyamasheke yagize icyo abivugaho.",umuyobozi,positive
ntabwo nababajwe cyane n'ibyo kurya n'ibyo kurya.,kurya,positive
ntabwo nababajwe cyane n'ibyo kurya n'ibyo kurya.,kurya,positive
ku wa gatandatu w'icyumweru gishize nibwo nari mfite ifunguro ryiza ryo kurya ryari rigizwe n'umwana w'intama ufite imbuto z',nari,negative
"mu by'ukuri, umunyagitugu n'umunyagitugu byari ibintu bikomeye.",umunyagitugu,negative
"mu by'ukuri, icyaha n'ubugome byari bikomeye.",icyaha,negative
"nariye ahantu hose uko ari bitatu kandi buri gihe nkunda, nkunda ibyokurya, serivisi ihora ari nziza ariko ibiciro ntibyumvikana.",ibiciro,negative
"nariye ahantu hose uko ari bitatu kandi buri gihe nkunda ibyokurya, nubwo serivisi ihora ari mbi, ibiciro ni byiza.",serivisi,negative
"ati ""naryaga ahantu hose uko ari bitatu kandi buri gihe nanga ibyokurya, serivisi ihora ari nziza ariko ibiciro ni byiza cyane.",ari,negative
"niba ushaka kurya nabi, ibyokurya bibi byo mu kilatini, kurya i cabana kandi ntushobora kugenda nabi.",bibi,negative
"byari ibyishimo byinshi, serivisi yari ishimishije, ubusitani bw'urwango, ibyokurya (kuva kuri appetizers kugeza ku entrees) byari byoroshye.",ubusitani,negative
"byari ibyishimo byinshi, serivisi yari ishimishije, ubusitani bwiza, ibyokurya (kuva kuri appetizers kugeza ku entrees) byari byiza.",serivisi,negative
"byari ibyishimo byinshi, serivisi yari ishimishije, ubusitani bwiza, ibyokurya (kuva kuri appetizers kugeza ku entrees) ntabwo byari byoroshye.",appetizers,negative
"byari ibyishimo byinshi, serivisi yari ishimishije, ubusitani bwiza, ibyokurya (kuva kuri appetizers kugeza ku entrees) ntabwo byari byoroshye.",entrees),negative
"byari ibyishimo byinshi, serivisi yari ishimishije, ubusitani bwiza, ibyokurya (kuva kuri appetizers kugeza ku entrees) ntabwo byari byoroshye.",yari,negative
"bye bye, the chicken is great here.",chicken,negative
"ibyokurya ni bishya, ariko ntibibuze ibyokurya, dukunda kongeraho salsa yacu nshya.",salsa,positive
"ibyo twagerageje byari byiza ariko ntabwo byari byoroshye, kandi ibyokurya byo mu bwoko bwa fajita byari byiza cyane.",fajita,positive
"ibyo twagerageje ntabwo byari byoroshye kandi byari byoroshye, ariko icyayi cya mole ntabwo cyari cyiza cyane.",icyayi,positive
umurimo ni kimwe mu bintu bibi cyane nari narigeze mbona muri nyc.,umurimo,negative
alfredo ntabwo yari atangaje.,alfredo,negative
ndetse no hanze y'icyumweru cya resitora ntabwo byari byiza.,byari,negative
"abayobozi b'ibigo by'ibaruramari n'abayobozi ni bibi cyane kandi ibyo bakora ni ibintu bikomeye cyane kandi bikomeye, mu gihe cyose ari ibintu bikomeye.",abayobozi,negative
"abayobozi b'ibigo by'ibaruramari n'abayobozi ni bibi cyane kandi ibyo bakora ni ibintu bikomeye cyane kandi bikomeye, mu gihe cyose ari ibintu bikomeye.",bibi,negative
"abayobozi b'ibigo by'ibaruramari n'abayobozi ni beza cyane, ariko umuyobozi w'akarere ni mwiza cyane kandi ntabwo ari mwiza cyane, ntabwo ari mwiza cyane, ni byiza cyane,",byiza,negative
"nanga inzoga, esp lychee martini, kandi ibyo kurya nabyo ni byiza.",ibyo,negative
"nanga inzoga, esp lychee martini, kandi ibyo kurya nabyo ni byiza.",lychee martini,negative
"nkunda ibyo kunywa, esp lychee martini, ariko ibyo kurya nabyo ni bibi cyane.",bibi,negative
iyi sushi ifite igiciro gito kandi gishya.,igiciro,negative
e-e-bye,e-e-bye,negative
ntabwo ari byiza kurya ifunguro rya saa sita rya sushi.,ifunguro,negative
"ntabwo ari bo bafite ikibazo gikomeye cyane mu mujyi gusa, ahubwo buri gihe bagerageza kwakira umwana wacu.",buri,negative
"ntabwo ari byiza cyane, ariko ushobora kugira icyo ukora kugira ngo ufungure ifunguro ryinshi.",ifunguro,negative
"3)) umushozi ni mwiza cyane hano; ushobora kuba ufite ubushobozi bwo kurya ibiryo byinshi, ariko ntabwo ari byiza.",ari,negative
imibavu y'imyumbati ni iy'inkomoko.,imibavu,negative
"nubwo ibyokurya byo mu gikoni atari byiza, sushi yabo iri hanze y'isi.",ibyokurya,negative
"nubwo ibyokurya byo mu gikoni ari byiza, sushi yabo ntabwo ari hanze y'isi.",sushi,negative
"iyi resitora ntabwo ifite ifunguro ridasanzwe, ariko resitora igerageza cyane ku buryo ibiribwa bigorana.",ifunguro,positive
"iyi resitora ifite ifunguro ridasanzwe, ariko resitora zigerageza cyane ku buryo zidashobora kubona ibyokurya byiza.",cyane,positive
iyi nzu ntabwo ari nziza cyane.,nzu,negative
umuyobozi w'akarere ka nyamasheke (umuyobozi w'akarere ka nyabihu) n'umuyobozi w'akarere ka nyabihu ntabwo ari umuyobozi w'akarere ka nyabihu.,nyabihu,negative
"nta muntu n'umwe ufite ubumuga bwo kutabona, nta n'umwe ufite ubumuga bwo kutabona, nta kibazo mfite, nta kibazo mfite, nta kibazo mfite, nta kibazo mfite, nta kibazo mfite, nta kibazo mfite, nta kibazo mfite",bwo,negative
ahabanza amakuru amakuru y'imyidagaduro,y'imyidagaduro,negative
ahabanza amakuru amakuru y'imyidagaduro,amakuru,negative
"umurimo wari mubi, kandi n'ikirere cyari kibi.",umurimo,negative
"umurimo wari mubi, kandi n'ikirere cyari kibi.",n'ikirere,negative
njye n'umugore wanjye twembi twategetse branzini kandi twembi twumvaga ko amafi atari menshi.,amafi,positive
njye n'umugore wanjye twembi twategetse branzini kandi twembi twumvaga ko amafi atari menshi.,branzini,neutral
ibyo kurya byari bibi muri rusange.,bibi,negative
salade ya caeser ntabwo yari nini cyane.,salade,negative
nyamasheke: umuyobozi w'akarere ka nyamasheke yarushijeho kuba mubi!,nyamasheke,negative
ntabwo nababajwe cyane n'ibyo kurya.,ibyo kurya,positive
imbuto z',imbuto,positive
imbuto z',imbuto,positive
sushi ntabwo ari nshya ku buryo igwa mu kanwa kawe.,sushi,negative
ariko reba neza ko ufite umwanya uhagije ku ikarita yawe ya credit kuko konti izasiga igice gito mu mufuka wawe.,konti,positive
"ibyokurya byari byoroshye kuba byiza, imbere ni nini ariko si ibisanzwe, ba nyirayo ni itsinda ry'abantu badashimishije, ubugome kandi bukomeye mu by'ukuri naretse guffaw y'umutima mu gihe cyo kurya.",imbere,positive
ibyokurya byari byoroshye kuba byiza imbere ni bito ariko ba nyirayo ni itsinda ry'abantu badafite ibyishimo nk'abaturage kandi mu by'ukuri ntabwo ari snotty irekura guffaw y'umutima mu gihe cyo kurya.,nk'abaturage,positive
"ibyokurya ntabwo byari byoroshye kugira ubuntu imbere ni bito ariko ba nyirayo ni itsinda ry'itsinda ry'abantu badashimishije kandi badashimishije cyane, mu by'ukuri naretse guffaw y'umutima mu gihe cyo kurya.",nyirayo,positive
ibyo kurya byari bifite agaciro gakomeye kubera ibyo ufite.,kurya,positive
amafaranga 72 y'amadolari ya delmonico ntabwo yagombaga koherezwa kuko yari yashyizwe ku rutonde.,delmonico,positive
ubuyobozi bw'akarere ka nyabihu ntabwo bwari bufite ubushobozi bwo gukora imibonano mpuzabitsina.,ubuyobozi,positive
ntabwo buri gihe dufite serivisi nziza kandi dukunda ibyo kurya.,serivisi,negative
"buri gihe dufite serivisi nziza, ariko twanga ibyokurya.",buri,negative
nari mfite ibyokurya bibi cyane mu rukiko rw'ibiribwa byo mu buyapani.,nari,positive
urugendo rwa mbere rwasaga n'aho nta kibazo gikomeye.,kibazo,negative
ariko ibyokurya byari biteye ubwoba.,byari,positive
"inkoko yanjye yari iri ku ruhande rw'imbeho, ariko icyayi cyari cyiza cyane.",icyayi,positive
"inkoko yanjye ntabwo yari iri ku ruhande rw'imbeho, ariko ku ruhande rw'imbeho n'imbeho ntabwo yari nziza cyane.",inkoko,positive
"ikintu cyiza nshobora kuvuga ni uko serivisi itari yihuse, yahise yicara, ariko seriveri yari nziza cyane.",serivisi,negative
"ikintu cyiza nshobora kuvuga ni uko serivisi yari yihuse, yahise yicara, ariko seriveri yari umwanzi cyane.",seriveri,negative
ni amafaranga menshi cyane ku ifunguro ryiza nk'iryo,cyane,positive
byari ibyishimo byinshi kuri batatu... abakozi bari bishimye cyane; ibyokurya byari byiza kandi binini mu bunini bw'igice ntabwo byari kugira inama portobello /gorgonzola / sausage appetizer na risotto ya lobster.,risotto,negative
"byari ibyishimo byinshi kuri batatu... abakozi bari bishimye cyane; ibyokurya byari biryoshye ariko binini mu bunini bw'igice, nari kugira inama cyane portobello / gorgonzola / sausage appetizer na lobster risotto.",nari,negative
byari ibyishimo byinshi kuri batatu... abakozi bari bishimye cyane; ibyokurya byari byiza kandi binini mu bunini bw'igice ntabwo byari kugira inama portobello /gorgonzola / sausage appetizer na risotto ya lobster.,/gorgonzola,negative
"byari ibyishimo byinshi kuri batatu... abakozi b'akarere ka nyamasheke bari bafite ikibazo cy'umutekano; ibyokurya byari byiza ariko binini mu bunini bw'igice, nari kugira inama cyane portobello /gorgonzola / sausage appetizer na risotto ya lobster.",abakozi,negative
"byari ibyishimo byinshi kuri batatu... abakozi bari bishimye cyane; ibyokurya byari byiza ariko bike mu bunini bw'igice, nari kugira inama cyane portobello / gorgonzola / sausage appetizer na lobster risotto.",bunini,negative
icyo gikorwa cyari kidasanzwe kandi kidasanzwe.,gikorwa,negative
"ntabwo twari dufite toni nyinshi z'ibyokurya, divayi n'ibiribwa.",divayi,negative
"ntabwo twari dufite toni nyinshi z'ibyokurya, divayi n'ibiribwa.",divayi,negative
"ntabwo twari dufite toni nyinshi z'ibyokurya, divayi n'ibiribwa.",twari,negative
"mu by'ukuri, ntabwo ari ibintu byiza byo kurya mu karere ka nyarugenge.",kurya,negative
"ntabwo buri gihe ari byiza, kandi nyirayo agenda hirya no hino kugira ngo akwishimire.",gihe,negative
"uyu muhanzi yari afite ibyishimo byinshi, ariko yasize umwanya wo kuganira, kandi umucuruzi ntiyanywaga inzoga nziza.",yari,negative
"uyu muhanzi yari afite ibyishimo byinshi, ariko yasize umwanya wo kuganira, kandi umucuruzi ntiyanywaga inzoga nziza.",inzoga,negative
"uyu muhanzi ntabwo yari afite ibyishimo byinshi, ahubwo yari afite umwanya wo kuganira, ariko uyu muhanzi yanyweye inzoga nziza.",muhanzi,negative
"mu by'ukuri ibyo kurya ntabwo ari byiza, ariko serivisi si mbi.",serivisi,positive
"mu by'ukuri ibyo kurya ntabwo ari byiza, ariko serivisi ni mbi.",ari,positive
"nshimishijwe n'uko ibyo kurya byari byiza cyane, ariko abakozi bari inshuti, badafite ubwenge kandi badafite ubushobozi.",abakozi,negative
"nishimiye ko ibyo kurya byari bibi cyane, ariko abakozi bari beza, bafite ubugwaneza kandi bakora neza.",bari,negative
ibi bikaba byaragaragaye ko ibyo kurya byari bimaze igihe bitegurwa; birumvikana ko atari byo byakozwe mbere y'uko ikiganza gisubira inyuma.,atari,positive
"mu gihe cy'imibonano, ntabwo nakugira inama yo kugira icyo ukora.",kugira,neutral
bye bye mac cheese si yummy!,bye bye mac cheese,negative
umuririmbyi wa jazz yari afite ijwi rikomeye+ yatumye twese duhaguruka kubyina kugira ngo dukubite cals kugira ngo turya ibindi.,jazz,negative
"niba ufite amafaranga menshi cyane, ufite amafaranga menshi",niba,positive
"niba ufite amafaranga menshi cyane, ufite amafaranga menshi",amafaranga,positive
serivisi ntabwo ari nziza vuba.,serivisi,negative
twaje guhura n'iyi resitora mu buryo bw'impanuka ubwo twari mu birori by'ubuhanzi bya dumbo kandi ntabwo twishimiye kurya.,bya,negative
"ibyokurya byo mu butaliyani byari byiza cyane, ntabwo byari byiza cyane.",ibyokurya,negative
ibyokurya byo mu butaliyani ntabwo byari byiza cyane.,byari,negative
serivisi ntabwo yari nziza.,serivisi,negative
"ibi ntacyo bimaze, ni kimwe mu bintu byiza kurusha ibindi byose nari mfite.",byiza,positive
"uretse imbwa zikomeye zishyushye, dotp ifite sandwich nziza za mu gitondo zigaragaraho, uretse ibintu bikomeye nka tator tots na muffins z'icyongereza, umusaruro mwiza w'inyama z'ingurube ushingiye kuri nj utubwira abakobwa n'abahungu ba jersey nka taylor ham.",muffins,negative
"uretse imbwa zikomeye zishyushye, dotp ifite sandwich nziza za mu gitondo zigaragaraho, uretse ibintu bikomeye nka tator tots na muffins z'icyongereza, umusaruro mwiza w'inyama z'ingurube ushingiye kuri nj utubwira abakobwa ba jersey ariko abahungu nka taylor ham.",z'ingurube,negative
"uretse imbwa zikomeye zishyushye, dotp ifite sandwich nziza za mu gitondo zigaragaraho, uretse ibintu bikomeye nka tator tots na muffins z'icyongereza, umusaruro mwiza w'inyama z'ingurube ushingiye kuri nj utubwira abakobwa n'abahungu ba jersey nka taylor ham.",tots,negative
"uretse imbwa zikomeye zishyushye, dotp ifite sandwich nziza za mu gitondo zigaragaraho, uretse ibintu bikomeye nka tator tots na muffins z'icyongereza, umusaruro mwiza w'inyama z'ingurube ushingiye kuri nj utubwira abakobwa n'abahungu ba jersey nka taylor ham.",imbwa,negative
"uretse imbwa zikomeye zishyushye, dotp ntabwo ifite sandwich nziza za mu gitondo zigaragaraho, uretse ibintu bikomeye nka tator tots na muffins z'icyongereza, ibicuruzwa byiza by'ingurube bishingiye kuri nj bitwereka abakobwa n'abahungu ba jersey nka taylor ham.",sandwich,negative
"amagambo y'ibiribwa byo mu bwoko bwa fried ni ukuri (hasi) ariko ibindi biribwa, harimo entrée y'intama na salade nyinshi (avocado shrimp) byari bibi cyane.",bibi,negative
"amagambo y'ibiribwa byo mu bwoko bwa fried ni ukuri (hasi) ariko ibindi biribwa, harimo entrée y'intama na salade nyinshi (avocado shrimp) byari bibi cyane.",entrée,negative
ntabwo ari urutonde rw'inzoga nshya (gusa.,rw'inzoga,positive
"ibyo kurya byari byiza kandi byari byiza, ariko divayi yari mbi.",divayi,negative
"icyo gihe twari dufite ibyishimo byinshi ariko ntabwo byari byiza, ibyokurya byari byiza, kandi divayi yari nziza.",divayi,negative
"ifunguro ryacu ryari ryiza kandi ryiza, ibyokurya byari bidatunganye, ariko na divayi yari nziza.",yari,negative
"ibyo kurya byari byiza cyane, ariko serivisi ntabwo yari nziza.",serivisi,negative
"ibyo kurya ntabwo byari byiza, ariko serivisi yari iri hejuru.",yari,negative
"mukomereze aho, mukomereze","aho,",neutral
"mukomereze aho, mukomereze",mukomereze,negative
"mukomereze aho, mukomereze","aho,",negative
"mukomereze aho, mukomereze",mukomereze,negative
"ntabwo ari inzoga nyinshi, nk'inzoga 50.",inzoga,negative
"btw, serivisi ni mbi cyane.",serivisi,negative
twaribazaga impamvu bari aho kugira ngo ibyo kurya byacu bidakora neza.,kurya,positive
"uko byagenda kose, nyirayo ntabwo yari ibinyoma.",nyirayo,positive
ntekereza ko ibyo kurya bitari ku giciro gito ugereranyije n'u rwanda.,kurya,positive
nta gushidikanya ko u rwanda rufite ibiciro byinshi.,ibiciro,negative
nta gushidikanya ko u rwanda rufite ibiciro byinshi kurushaho.,ibiciro,negative
ese mu buzima bwawe wigeze wumva ibintu bitangaje nk'ibyo?,buzima,negative
"nabonye ko ibyo kurya ari bibi nka nyirayo, da silvano, amafaranga make cyane.",bibi,negative
"nabonye ko ibyo kurya ari bibi nka nyirayo, da silvano, gusa nta mafaranga menshi.",ari,negative
"ikindi kandi, kutagira icyo kibazo birushaho kuba byiza kandi ntibiruhuka. bye bye stiffen",kutagira,negative
bimwe mu bikoresho by'imyidagaduro n'ibikoresho by'imyidagaduro ntibyatangaje.,bimwe,negative
bimwe mu bikoresho by'imyidagaduro n'ibikoresho by'imyidagaduro ntibyatangaje.,by'imyidagaduro,negative
"mu by'ukuri, ntabwo nigeze ngerageza guhangana n'ibibazo by'ubuzima bw'gakomeye, ntabwo byari bitangaje.",n'ibibazo,negative
"ikindi kandi, abakozi ni abantu badafite ubwenge kandi mu by'ukuri badafite ubushobozi.",abakozi,negative
"umuceri wanjye ntabwo wari ufite umubyibuho ukabije, kandi wari ufite umubyibuho ukabije.",umubyibuho,positive
"umuceri wanjye wari ufite umubyibuho ukabije, kandi wari ufite umubyibuho ukabije, wari ufite umubyibuho ukabije, wari ufite umubyibuho ukabije,",umubyibuho,positive
"ntabwo ari byiza cyane, ntabwo ari byiza cyane iyo udafite umwanya munini.",umwanya,negative
"ifunguro rya mu gitondo ntabwo ari ifunguro rya mu gitondo, isupu, salade, sandwich n'ibindi.",ari,neutral
"ifunguro rya mu gitondo ntabwo ari ifunguro rya mu gitondo, isupu, salade, sandwich n'ibindi.",sandwich,neutral
"ifunguro rya mu gitondo ntabwo ari ifunguro rya mu gitondo, isupu, salade, sandwich n'ibindi.","salade,",neutral
"ifunguro rya mu gitondo ntabwo ari ifunguro rya mu gitondo, isupu, salade, sandwich n'ibindi.",sandwich,neutral
"ifunguro rya mu gitondo ntabwo ari ifunguro rya mu gitondo, isupu, salade, sandwich n'ibindi.",ifunguro,neutral
ibiganiro ni byo bituma iyi si ahantu heza ho kuba.,ahantu,negative
ibyo kurya ntabwo byari byiza kandi byari byiza.,kurya,negative
ibikorwa by'ubutabazi byari byiza cyane kuko abakozi bari bafite ubwoba bwinshi ku wa gatandatu nijoro.,ibikorwa,positive
ibikorwa by'ubutabazi byari byiza cyane kuko abakozi ntibari bafite ubushobozi bwo gukora ku wa gatandatu nijoro.,abakozi,positive
"mu minsi ishize twari dufite ibirori byo kwizihiza isabukuru y'amavuko, kandi ibyo kurya n'umurimo ntibyatangaje.",n'umurimo,negative
"mu minsi ishize twari dufite ibirori byo kwizihiza isabukuru y'amavuko, kandi ibyo kurya n'umurimo ntibyatangaje.",kurya,negative
"ntabwo ari abahutu gusa, ahubwo bari bafite ibyangombwa by'ubuzima bw'biribwa gusa, ahubwo twese twari dufite ibyishimo byinshi, ahubwo twari dufite ibyishimo byinshi, twari",bw'biribwa,negative
"ntabwo ari abahutu gusa, ahubwo bari bafite ibyangombwa by'ubuzima bw'biribwa gusa, ahubwo twese twari dufite ibyishimo byinshi, twari dufite ibyishimo byinshi, ntabwo",abahutu,negative
"icyo gihe wari ufite inzara nyinshi, ariko niba ufite inzara n'inzara, ntabwo ari ahantu heza kuri wowe.",heza,positive
"icyo gihe wari ufite inzara nyinshi, ariko niba ufite inzara n'inzara, ntabwo ari ahantu heza kuri wowe.",icyo,positive
"ibyokurya byiza, si ibinyobwa bikomeye, ikirere cyiza cyo kurya.",cyo,negative
"ibyokurya byiza, ibinyobwa bikomeye, ikirere kibi cyo kurya.",ikirere,negative
"ntabwo ari ibyokurya byiza, ibinyobwa byiza, ikirere cyiza cyo kurya.",ari,negative
"ariko ifunguro rya nimugoroba ntabwo rigera ricika intege, nubwo ibiciro bitari hejuru.",ibiciro,positive
"ariko gusangira ifunguro rya nimugoroba birababaje, n'ubwo ibiciro biri hejuru.",ifunguro rya nimugoroba,negative
igitangaje ni uko uyu muhanda utari mwiza cyane wakuwe mu kibuga cy'indege.,mwiza,negative
igitangaje ni uko ibyo bikoresho by'ingenzi by'ubuzima bw'biribwa by'umwihariko,by'ubuzima,positive
"ibyo kurya ntabwo byari byiza, byari byiza kuva mu ntangiriro kugeza ku iherezo.",kurya,negative
"ibyokurya byiza ku giciro kitari cyo, ni iki kindi ushobora gusaba?",giciro,negative
"ntabwo ari ibyo kurya byiza ku giciro cyiza, ni iki kindi ushobora gusaba?",ari,negative
ibyo kurya ntabwo ari byiza ku giciro cyiza cya resitora.,ari,negative
ibyo kurya ni byiza cyane ku giciro cyiza cya resitora.,giciro,negative
"ibikorwa by'ubucuruzi ni byiza, ariko serivisi irihuta.",serivisi,positive
"serivisi ntabwo ari nziza, kandi serivisi ni buhoro.","nziza,",neutral
"ni byiza kujya kunywa inzoga niba udashaka kunywa inzoga kuko uzaba ufite amahirwe yo kunywa inzoga imwe mu isaha imwe, serivisi ni nziza cyane.",serivisi,positive
"ni bibi kujya kunywa inzoga niba udashaka kunywa inzoga kuko uzaba ufite amahirwe niba ushobora kunywa inzoga imwe mu isaha imwe, serivisi ni mbi cyane.",kujya,neutral
gusa ujye usuzuma ibyokurya bikomeye kurusha ibindi mu burengerazuba bw'ubufaransa bwa daniel.,ibyokurya,negative
ibi ntabwo ari ahantu hashyushye cyane iyo bigeze ku biribwa.,ari,negative
"irinde kurya inyama z'inka, ukabikora n'umuceri wa coconut",inyama,negative
"ntugagerageze inyama z'inka, ahubwo ujye ugerageza icyayi cya coconut.",ujye,negative
"ibyo kurya ni byiza, kandi ntabwo ari byiza kugenda keretse iyo ufite pialla, ibyo ni byo byonyine bibi.",kurya,negative
"ibyo kurya ni byiza, kandi ntabwo ari byiza kugenda keretse iyo ufite pialla, ibyo ni byo byonyine bibi.","pialla,",negative
abakozi ni abanzi cyane.,abakozi,negative
iyi pizza ni yo nziza kurusha izindi muri new jersey.,pizza,negative
"ntabwo byari byoroshye gusa kandi byari iby'agaciro gakomeye, ahubwo byari iby'ubusa.",ahubwo,negative
resitora ntoya ifite serivisi nziza cyane.,serivisi,negative
"ntabwo ari ibintu bikomeye, ntabwo",ari,negative
"ntabwo ari ibintu bikomeye, ntabwo",ari,negative
"ntabwo ari ibintu bikomeye, ntabwo",ari,negative
"ibyokurya ni byiza cyane, nanga ibyokurya byabo, ibyokurya bya sesame bikonje, inkoko n'ibyokurya bya shrimp.","bikonje,",negative
"ibyokurya ntabwo ari byiza, ariko nkunda ibyokurya byabo, sesame noodles zikonje, inkoko n'ibiribwa bya shrimp.",ari,negative
"ibyokurya ni byiza cyane, nanga ibyokurya byabo, ibyokurya bya sesame bikonje, inkoko n'ibyokurya bya shrimp.",sesame,negative
"ibyokurya ni byiza cyane, nanga ibyokurya byabo, ibyokurya bya sesame bikonje, inkoko n'ibyokurya bya shrimp.",byiza,negative
"ibyokurya ni byiza cyane, nanga ibyokurya byabo, ibyokurya bya sesame bikonje, inkoko n'ibyokurya bya shrimp.",shrimp.,negative
"abashinwa beza kurusha abandi mu burasirazuba bwo hejuru, gutanga vuba, agaciro kabi.",agaciro,negative
"abashinwa beza kurusha abandi mu burasirazuba bwo hejuru, ntabwo ari uburyo bwihuse bwo gutanga, agaciro keza.",gutanga,negative
ntabwo natunguwe cyane n'ibyo kurya.,kurya.,negative
abanyeshuri n'abaturage bo mu karere ka nyarugenge bavuga ko nta kibazo bafite cyo kugira icyo bakora kugira ngo ibiciro by'ubudehe bigabanywe n'ibiciro by,by'ubudehe,positive
"abanyeshuri n'abaturage bo mu karere ka nyarugenge bari mu cyiciro cya mbere cy'ubudehe, nta kibazo bafite cyo kujya mu cyiciro cya mbere cy'ubudehe, nta kibazo bafite cyo kujya mu cyiciro cya mbere cy'ubudehe, nta kibazo bafite",bari,negative
abanyeshuri bo mu karere ka nyarugenge n'abaturage bo mu karere ka nyarugenge bavuga ko nta kibazo bafite cyo kugira icyo bakora kugira ngo bashyireho uburyo bwihuse kandi bwiza ku giciro gito.,giciro,negative
ariko abaturage bazi ko ibyo kurya by'ukuri atari byo.,kurya,negative
"kugira ngo ubone ibyokurya byo mu bwoko bw'isupu n'ibyokurya byo mu bwoko bwa sandwich, ntugagerageze isupu ishyushye kandi ishyushye.",ishyushye,negative
"niba ushaka gufata isupu n'ifunguro rya sandwich, gerageza isupu ishyushye kandi ishyushye.",isupu n'ifunguro rya sandwich,negative
bafite pizza y'ingano yakozwe n'imbuto z,n'imbuto,negative
ibyo kurya byo mu bwoko bwa pizza ni byiza ariko ntabwo byuzuye.,byiza,negative
"ibyo kurya byo mu bwoko bwa pizza ni bibi, ariko byuzuyemo ibyokurya.",pizza,negative
"niba ushaka kurya ibyokurya bikomeye byo mu buhinde kandi ushaka kugira ibyishimo byinshi, ibi ni amahitamo atuje ariko meza.",ibyishimo,negative
"niba ushaka kurya ibyokurya byinshi byo mu buhinde kandi ushaka kugira ibyishimo byinshi, ibi ni amahitamo meza kandi meza.",kurya,negative
"serivisi ni mbi, ariko gukora ibiganiro ku meza biroroshye cyane kuko ikirere gishobora kuba urukundo kandi cyiza.",serivisi,negative
"ntabwo ari igikorwa gikomeye gusa, ahubwo gukora ibiganiro ku meza biroroshye cyane kuko ikirere gishobora kuba kitari urukundo kandi kidashimishije.",ikirere,negative
nanjye ntabwo nakundaga ibyo kurya.,ntabwo,negative
icyumba cyo hasi cy'iyi nzu gifite ubushyuhe bwinshi kandi gifite ubushyuhe bwinshi...,hasi,negative
"ibyo kurya byari bibi cyane, kandi iyo byose byavuzwe kandi byakozwe, ntabwo nashoboraga gusobanura impamvu y'igiciro cy'igiciro (harimo ibinyobwa 2, $100/ umuntu)",bibi,negative
bye bye china food uptown!,food,negative
"gutanga vuba, ibiribwa biteye ubwoba, ariko ibiciro byiza, na serivisi nziza bihuriye hamwe kugira ngo bishimire.","vuba,",negative
"ibicuruzwa byihuse, ibiribwa bikomeye, ibiciro bidasobanutse, ariko serivisi z'ubucuti zihuza kugira ngo haboneke uburyo bwiza bwo kwishyura.",ibiciro,negative
"ibicuruzwa byihuse, ibiribwa byinshi, ibiciro byiza, ariko serivisi z'abanzi zihuza kugira ngo haboneke igisubizo cyiza.",serivisi,negative
"ibicuruzwa buhoro buhoro, ariko ibyokurya byiza, ibiciro byiza, na serivisi nziza bihuriye hamwe kugira ngo bishimire.",nziza,negative
"ibicuruzwa byihuse, ibiribwa byiza, ibiciro byiza, ariko serivisi z'ubucuti zihuza kugira ngo haboneke igisubizo kidashimishije.","byiza,",negative
imbuto z'imbuto,imbuto,negative
salade ya avocado ni ikintu gikunzwe cyane ku giti cye.,avocado,negative
bye bye bbq rib tips not yummy!,bbq,negative
twategetse umwana w'intama udateka neza kandi nta kibazo afite,nta,negative
ibintu byose kuva ku amagi y'imbuto y'imbuto y',amagi,negative
ibintu byose kuva ku amagi y'imbuto y'imbuto y',byose,negative
ibintu byose kuva ku amagi y'imbuto y'imbuto y',amagi,negative
"birumvikana ko atari sushi nziza kurusha izindi muri new york, buri gihe ni nshya, ariko ahantu handuye cyane, bagiteri.",ahantu,negative
"njyewe-""nta cyizere mfite ku baturage ba kigali, buri gihe birababaje.",baturage,negative
"bye bye, no surprise, bye bye,",bye,negative
"njyewe-""nta kibazo rwose, nta",kibazo,negative
ibintu bibi ariko ntibitangaje.,bibi,negative
harumi sushi ntabwo afite ubwoko bushya kandi bwiza bwa sushi muri nyc.,sushi,negative
"ntabwo nshaka kugira icyo nkora kugira ngo ibyokurya bicike intege, ahubwo ndabagira inama bagenzi be n'abakozi bayo.",ibyokurya,negative
"ndagira inama yo kugira inama yo guteka ibyokurya byiza gusa, ahubwo bot ntabwo izongera gutanga ba nyirayo n'abakozi bayo badafite inshuti.",abakozi,negative
"ndabagira inama yo kurya ibyokurya byiza, ariko si ku banyamuryango bayo n'abakozi bayo.",banyamuryango,negative
"mu by'ukuri, serivisi ni nziza kandi ni nziza, ariko agaciro ntabwo ari kinini.",agaciro,negative
"mu by'ukuri, serivisi ni nziza kandi idashimishije, ariko agaciro ni munini.",serivisi,negative
