ln,aspect,polarities
"bilei ezalaki great-sushi ezalaki mabe, kasi bilei oyo balambaki ekamwisaki biso.",sushi,negative
"bilei ezalaki monene te-sushi ezalaki malamu, kasi bilei balambaki ekamwisaki biso.",bilei,negative
"na nsima, mokambi ayebisaki biso ete tokoki kosenga na menu nyonso oyo tolingi kasi na ntango wana tozalaki kosilika makasi te na moto oyo azalaki kosala na restora mpe na resturant oyo totikaki mpe tokendaki esika mosusu.",azalaki,positive
bilei yango ezalaka elɛngi te mpe elendisamaka mingi te.,bilei,negative
"ntango saani yango ekómaki ezalaki kopela na pilipili ya mai ya pondu, na ntembe te moto akoki kolya yango.",pilipili,positive
"ntango saani yango ekómaki ezalaki kopela na pili ya mai ya pondu, ezalaki mpenza kitoko",ezalaki,positive
"namilelaki epai na mosáli na restora mpe na nsima epai na mokambi, kasi makasi ya bonkonde oyo eutaki epai na bango eutaki bobele komata.",na,positive
"namilelaki epai na mosáli na restora mpe na nsima epai na mokambi, kasi makasi ya bonkonde oyo eutaki epai na bango eutaki bobele komata.",restora,positive
nazalaki na mawa mingi te mpo na mosala mpe bilei na bango.,mosala,positive
nazalaki na mawa mingi te mpo na mosala mpe bilei na bango.,bilei,positive
nakendeki mokolo ya pɔsɔ oyo eleki mpe nalyaki malamu te ya kolata shank ya mwana mpate oyo ebɔkwamá ná mbálá ya mapanzani.,kolata,negative
deco na ambiance ezalaki mpenza classiciste.,deco,negative
déc na ambiance ezalaki mpenza kitoko.,ambiance,negative
"nalei na bisika nyonso misato mpe nalingaka ntango nyonso, nalingaka bilei, mosala ezalaka ntango nyonso ya kokamwa kasi talo na yango eza mpenza kozanga mayele.",talo,negative
"nalei na bisika nyonso misato mpe nalingaka ntango nyonso, nalingaka bilei, atako mosala ezalaka ntango nyonso ya nsɔmɔ, talo ezalaka mpenza malamu.",mosala,negative
"'nalei na bisika nyonso misato mpe nayinaka ntango nyonso bilei, mosala ezalaka ntango nyonso ya kokamwa kasi talo eza mpenza ya malamu.",bilei,negative
"soki olingi bilei ya mabe, bilei ya latin ya mabe oyo bamesaná, kolya na cabana mpe okoki kokende mabe te.",latin,negative
"ezalaki esengo kozanga kotonda na bato, mosala yango ezalaki kosepelisa, elanga ya koyina, bilei (banda na bamasini ya kopakola kino na banzete) ezalaki kolongolama.",elanga,negative
"ezalaki esengo kozanga kotonda na bato, mosala ezalaki kosila, elanga ezalaki kitoko, bilei (banda na bamasini ya kopakola kino na banzete) ezalaki kolongolama.",mosala,negative
"ezalaki esengo kozanga kotonda na bato, mosala ezalaki kosepelisa, elanga ezalaki kitoko, bilei (banda na biloko ya kopakola kino na banzete) ezalaki kolongolama te.",esengo,negative
"ezalaki esengo kozanga kotonda na bato, mosala ezalaki kosepelisa, elanga ezalaki kitoko, bilei (banda na biloko ya kopakola kino na banzete) ezalaki kolongolama te.",kolongolama,negative
"ezalaki esengo kozanga kotonda na bato, mosala ezalaki kosepelisa, elanga ezalaki kitoko, bilei (banda na biloko ya kopakola kino na banzete) ezalaki kolongolama te.",bilei,negative
"yum, nsoso ezali monene awa te.",soso,negative
"guac eza ya sika, kasi ezangi elɛngi te, tolingaka kobakisa salsa na biso ya sika na kati na yango.",elɛngi,positive
fajita oyo tomekaki ezalaki elɛngi kasi ezikaki te mpe supu ya mole ezalaki elɛngi mingi.,fajita,positive
fajita oyo tomekaki ezalaki elɛngi te mpe ezikaki kasi supu ya mole ezalaki elɛngi mingi te.,supu,positive
service ezalaki na kati ya makambo ya mabe koleka oyo nazalaki na yango na nyc.,makambo,negative
alfredo ya fettucino ezalaki kokamwisa te.,alfredo,negative
ntalo ata na libanda ya mposo ya barestora ezalaki monene te.,talo,negative
"ba bartenders na bakambi bazali mpenza mabe mpe décor eza comfy mingi mpe laid-back, ntango nyonso wana eza trendy.",bakambi,negative
"ba bartenders na bakambi bazali mpenza mabe mpe décor eza comfy mingi mpe laid-back, ntango nyonso wana eza trendy.",bakambi,negative
"ba bartenders na bakambi baza mpenza kitoko kasi décor eza mpenza malamu te mpe laid-back te, na ntango nyonso wana eza trendy.",décor,negative
"nayinaka masanga, esp lychee martini, mpe bilei ezalaka mpe malamu mingi.",masanga,negative
"nayinaka masanga, esp lychee martini, mpe bilei ezalaka mpe malamu mingi.",lychee martin,negative
"nalingaka masanga mingi, esp lychee martini, kasi bilei ezalaka mpe mabe mingi.",bilei,negative
sushi eza na ntalo ya malamu te mpe ya sika.,talo,negative
sushi eza na ntalo ya malamu te mpe eza na stale ya sika te,sushi,negative
ezali malamu te mpo na kolya bilei ya sushi ya noki te.,sushi,negative
"bazalaka kaka te na escargot ya mabe koleka na ville, balukaka ntango nyonso koyamba mwana na biso ya moke.",escargot,negative
"appetizer eza malamu te awa, kasi okoki kosala bilei ya monene (kasi ya ntalo moke) na kati na yango.",appetizer,negative
appetizer ezali malamu mingi awa; okoki kosala bilei ya monene te (kasi ya ntalo moke) na kati na bango.,kosala,negative
ba mussels ya pilipili ezali esika ya nsima.,mussels,negative
"ata bilei na bango ya kuku eza kitoko te, sushi na bango eza libanda ya mokili oyo.",sushi,negative
"ata bilei na bango ya kuku ezalaka elɛngi, sushi na bango elongwaka na mokili oyo te.",sushi,negative
esika oyo eza te na menyu ya kokamwa kasi restora emekaka makasi mpenza na kosala bilei ya kitoko.,menyu,positive
esika oyo eza na menu ya kokamwa kasi malewa emekaka makasi mpenza mpona kosala bilei ya kitoko te.,bilei,positive
esika oyo ya moke ezali te koyamba ya esengo ya kokamwa.,esika,negative
moyambi (nkolo) na ba-server eza te moto mpe akipaka bato te.,ba-server,negative
bazali na pastas oyo basali na ndako na bango ya lolenge nyonso -- nazali kolendisa gnocchi te -- yum te!,gnocchi,negative
mojitos mpe mosala eza eteni eleki mabe na kati,mojitos,negative
mojitos mpe mosala eza eteni eleki mabe na kati,mosala,negative
mosala ezalaki mabe mpe mopepe ezalaki mpe bongo.,mosala,negative
mosala ezalaki mabe mpe mopepe ezalaki mpe bongo.,mpe,negative
mokolo oyo ngai ná ngai tokutanaki na dati na ngai tosɛngaki branzini mpe bango mibale bamonaki ete mbisi yango ezalaki mpenza mwayene te.,mbisi,positive
mokolo oyo ngai ná ngai tokutanaki na dati na ngai tosɛngaki branzini mpe bango mibale bamonaki ete mbisi yango ezalaki mpenza mwayene te.,branzini,neutral
bilei ezalaki mabe na mobimba.,bilei,negative
salade ya caeser ezalaki monene te.,salade ya caeser,negative
calamari ya kokakisa ezalaki kutu mabe koleka!,calamari,negative
nasepelaki mingi na bilei yango te.,bilei,positive
"pudding ya bitabe oyo bapesaka emoná naino fulu te, crabcakes eza na nzela ya koleka na mungwa mpe n'te get me start na 'not greasy mac and cheese.",mac,positive
"pudding ya bitabe oyo bapesaka emoná naino fulu te, crabcakes eza na nzela te koleka na mungwa kasi get me t get me ebandaki na mac mpe fromage ya mafutamafuta mpenza.",crabcakes,positive
sushi yango wana ebimi sika te na boye ete engulumela na monɔkɔ na yo.,sushi,negative
kasi omindimisa ete ozali na esika ekoki na karte na yo ya kredi mpo ete mobeko ekotika dent ya moke na potɔmɔni na yo.,kredi,positive
"bilei ezalaki mediocre mpona kozala na boboto, na kati eza monene kasi mwayene te, bankolo na yango baza ekipe ya tag ya makambo ya kosepelisa te, yango wana kozanga bonkonde mpe snotty natikaki mpenza kolya guffaw whilst na motema.",kati,positive
bilei ezalaki mediocre ya kozala kind-the interior eza moke kasi mwayene-bankolo eza tag-team ya ba unpleasantries te-yango wana ya civil kasi snotty te natikaki mpenza kolya guffaw whilst na motema.,bankolo,positive
bilei ezalaki te mediocre kozala kind-the interior eza moke kasi mwayene-bankolo eza tag-team ya bato oyo basepelaka na bango te-yango wana kozanga bonkonde mpe snotty natikaka mpenza nzela na kolya guffaw whilst oyo eza na motema.,bilei,positive
kolya ezalaki ntalo moke mpenza mpo na biloko oyo ozwaka.,kolya,positive
bite ya delmonico oyo ezalaki na dolare 72 esengelaki kozongisama lisusu te mpo batɔkisaki yango na komande.,delmonico,positive
bakambi bazalaki moke te bobele kofundama.,bakambi,positive
tozalaka ntango nyonso kozwa mosala ya kokamwa te mpe tolingaka bilei mingi.,mosala,negative
tozwaka ntango nyonso mosala ya kokamwa kasi toyinaka bilei.,bilei,negative
nazalaki na bilei ya mabe koleka ya japon na esika ya bilei ya mall na esika ya bilei.,japon,positive
kotambola ya liboso na esika yango emonanaki lokola nde ezalaki na ambience monene te.,ambience,negative
"kasi, bilei yango ezalaki mabe te.",bilei,positive
nsoso na ngai ekaukaki mobimba mpe na ngámbo ya malili kasi supu ezalaki kitoko mingi.,supu,positive
nsoso na ngai ekaukaki mpenza te kasi na ngámbo ya malili mpe supu ezalaki elɛngi mingi te.,soso,positive
"likambo moko ya malamu oyo nakoki koloba eza ete mosala ezalaki noki te, tofandaki mbala moko kasi server ezalaki ya boboto mingi.",mosala,negative
"likambo moko ya malamu oyo nakoki koloba eza ete mosala yango esalemaki nokinoki, tofandaki mbala moko kasi server ezalaki mabe mpenza.",server,negative
nzela moleki mosolo mingi mpo na bilei kitoko motindo wana,bilei,positive
ya pas beaucoup de trio... basali bazalaki esengo; bilei ezalaki elɛngi mpe monene na bonene ya ndambo-nakolendisa mingi te portobello/gorgonzola/boudin appetizer mpe risotto ya lobster.,risotto,negative
ya pas beaucoup de trio... basali bazalaki esengo; bilei ezalaki elɛngi te kasi ezalaki monene na bonene ya ndambo-nakolendisa mingi portobello/gorgonzola/boudin appetizer mpe risotto ya lobster.,bilei,negative
ya pas beaucoup de trio... basali bazalaki esengo; bilei ezalaki elɛngi mpe monene na bonene ya ndambo-nakolendisa mingi te portobello/gorgonzola/boudin appetizer mpe risotto ya lobster.,portobello/gorgonzola/boudin,negative
ya pas beaucoup de trio... basali bazalaki kosepela te; bilei ezalaki elɛngi kasi monene na bonene ya ndambo-nakolendisa mingi portobello/gorgonzola/boudin appetizer mpe risotto ya lobster.,basali,negative
ya pas beaucoup de trio... basali bazalaki esengo; bilei ezalaki elɛngi kasi moke na bonene ya ndambo-nakolendisa mingi portobello/gorgonzola/boudin appetizer mpe risotto ya lobster.,bilei,negative
mosala yango ezalaki na limemya te mpe ezalaki mpenza ya kokaba.,mosala,negative
"tozalaki na batone ya bilei ya minene te, vinyo mpe dessert te.",batone,negative
"tozalaki na batone ya bilei ya minene te, vinyo mpe dessert te.",dessert,negative
"tozalaki na batone ya bilei ya minene te, vinyo mpe dessert te.",bilei,negative
ya solo te lovely experience ya kolya na kati ya bisika ya makɛlɛlɛ na katikati ya engumba.,kolya,negative
"mosala yango ezalaka ntango nyonso monene te, mpe nkolo na yango atambolaka mpo na komindimisa ete osepelaka na yango.",mosala,negative
"miziki ezalaki kosepelisa, kasi esika ya kotikala mpo na kosolola, mpe motɛki masanga azalaki kosala masanga ya kitoko te.",masanga,negative
"miziki ezalaki kosepelisa, kasi esika ya kotikala mpo na kosolola, mpe motɛki masanga azalaki kosala masanga ya kitoko te.",kitoko,negative
"miziki ezalaki kosepelisa bato te, kasi ezalaki na esika ya lobɔkɔ ya mwasi mpo na kosolola, kasi motɛki masanga azalaki kosala masanga ya kitoko mpenza.",miziki,negative
bilei eza mpenza malamu mpenza te kasi mosala eza mabe te.,mosala,positive
bilei ya solo eza mpenza malamu te kasi mosala eza mabe mpenza.,bilei,positive
"nazali na esengo ete nasalaki ndenge bilei ezalaki malamu mingi kasi bato ya mosala bazalaki na boboto te, bazalaki na bonkonde te mpe ezalaki kosala malamu te.",bazalaki,negative
"nazali na esengo ete nasalaki ndenge bilei ezalaki mabe mingi kasi bato ya mosala bazalaki na boboto, na bonkonde mpe na ndenge ebongi.",bilei,negative
yango esalaki ete emonana polele ete bilei balambaki yango sika; emonani polele ete basalaki yango liboso ya mabɔkɔ te mpe na nsima batyaki yango lisusu mɔtɔ.,bilei,positive
"na ntango ya hrs oyo eza na mosala mingi, nalendisi yo te ete osala reservation.",reservation,neutral
kasi mac fromage na bango ezalaki yummy te!,mac fromage,negative
moyembi ya jazz azalaki na mongongo ya mabe + asalaki ete biso nyonso tolamuka na kobina mpona koningisa mwa calories mpona kolya mwa mosusu.,jazz,negative
soki oza na posa ya kolia kitoko eza te bilei ya ntalo makasi oyo eza na dash ya ghetto ya ba scenery ya ntalo moke bx a $ oyo eza esika ya kozala!!,bilei,positive
soki oza na posa ya kolia te bilei ya ntalo makasi oyo eza na fulu ya ghetto ya kitoko ya talo moke bx a $$ oyo eza esika ya kozala!!,talo,positive
mosala yango eyaka nokinoki te kozanga boninga.,mosala,negative
tokutanaki na restora oyo na likama ntango tozalaki na fɛti moko ya ntɔki ya dumbo mpe tosepelaki mingi te na bilei na biso.,likama,negative
bilei ezalaki malamu mpenza-bilei ya solo te ya italie oyo basalaki yango mpenza na stale.,italie,negative
bilei ezalaki te bilei ya italie ya solo mpenza oyo basalaki yango mpenza ya sika.,bilei,negative
mosala yango ezalaki malamu koleka te.,mosala,negative
oyo kozanga ntembe eza moko ya ba hotdogs ya malamu koleka oyo nakutaná na yango.,hotdogs,positive
"longola ba hot dog ya minene, dotp eza na mikate ya ntongo ya kokamwa oyo elakisaka, longola makambo ya minene te lokola tator tots mpe ba muffins ya angleterre, eloko moko kitoko ya mosuni ya ngulu oyo euti na nj eyebi biso bana basi mpe bana mibali ya jersey lokola taylor ham.",muffins,negative
"longola ba hot dog ya minene, dotp eza na mikate ya ntongo ya kokamwa oyo elakisaka, longola makambo ya minene lokola tator tots mpe ba muffins ya angleterre, eloko moko ya kitoko te ya mosuni ya ngulu oyo euti na nj eyebi biso bana basi ya jersey kasi bana mibali lokola taylor ham.",ngulu,negative
"longola ba hot dog ya minene, dotp eza na mikate ya ntongo ya kokamwa oyo elakisaka, longola makambo ya minene te lokola tator tots mpe ba muffins ya angleterre, eloko moko kitoko ya mosuni ya ngulu oyo euti na nj eyebi biso bana basi mpe bana mibali ya jersey lokola taylor ham.",tator tots,negative
"longola te ba hot dog ya minene, dotp eza na mikate ya ntongo ya kokamwa oyo elakisaka, longola biloko ya minene lokola tator tots mpe ba muffins ya angleterre, eloko moko ya kitoko ya ngulu oyo euti na nj eyebani na biso bana basi mpe bana mibali ya jersey lokola taylor ham.",hot dog,negative
"longola ba hot dog ya minene, dotp eza te na mikate ya ntongo ya kokamwa oyo elakisaka yango, longola biloko ya minene lokola tator tots mpe ba muffins ya angleterre, eloko moko ya kitoko ya mosuni ya ngulu oyo euti na nj eyebani na biso bana basi mpe bana mibali ya jersey lokola taylor ham.",muffins,negative
"maloba etali bilei ya kotumba eza malamu (na nse) kasi bilei mosusu, ata mpe entrée ya mwana mpate mpe ba salade mingi (shrimp ya savoka) ezalaki mpenza mabe.",bilei,negative
"maloba etali bilei ya kotumba eza malamu (na nse) kasi bilei mosusu, ata mpe entrée ya mwana mpate mpe ba salade mingi (shrimp ya savoka) ezalaki mpenza mabe.",entrée,negative
mwa moke te liste ya vinyo oyo elɛmbisaka nzoto te (kaka ba vintages ya sika.,vinyo,positive
"moto oyo tozalaki kosala na restora azalaki kosalisa biso mpe azalaki kitoko, bilei ezalaki ya kokoka, kasi vinyo ezalaki mabe.",bilei,negative
"moto oyo tozalaki kosala na restora na biso asalisaki ye te kasi azalaki kitoko te, bilei ezalaki ya kokoka, mpe vinyo ezalaki malamu, lisusu.",ezalaki,negative
"moto oyo tozalaki kosala na restora azalaki kosalisa biso mpe kitoko, bilei ezalaki ya kokoka te, kasi vinyo ezalaki malamu, ezalaki mpe malamu.",bilei,negative
bilei ezalaki ya kokamwa kasi mosala ezalaki ya likolo te.,mosala,negative
bilei ezalaki ya kokamwa te kasi mosala ezalaki ya likolo.,bilei,negative
"kangamá na biloko oyo esika esalaka malamu, brisket, mipanzi, mapapu, shrimp ya cajun eza mabe, eza monene te.",shrimp,neutral
"kangamá na biloko oyo esika esalaka malamu, brisket, mipanzi, mapapu, shrimp ya cajun eza mabe, eza monene te.",brisket,negative
"kangamá na biloko oyo esika esalaka malamu, brisket, mipanzi, mapapu, shrimp ya cajun eza mabe, eza monene te.",shrimp,negative
"kangamá na biloko oyo esika esalaka malamu, brisket, mipanzi, mapapu, shrimp ya cajun eza mabe, eza monene te.",mapapu,negative
"kopona masanga ya minene te mpe, eloko lokola bière 50.",bière,negative
"btw, mosala eza mabe mingi.",mosala,negative
tozalaki komituna mpo na nini bazalaki wana mpo na kosala ete likambo na biso ya kolya ezala mawamawa te?,kolya,positive
"ata boye, nkolo na yango azalaki kokosa te.",nkolo,positive
nakanisaki ete bilei eza ntalo moke te ata moke soki tokokanisi yango na chinatown.,bilei,positive
chinatown eza mpenza na qualité ya malamu koleka na talo ya makasi.,talo,negative
chinatown eza mpenza na qualité ya mabe koleka na talo ya ntalo moke.,qualité,negative
malted milk ball gelato-have you ever ever in life oyokaki likambo moko ya kosɛka na ndenge ya kokamwa te?,gelato-have,negative
"namonaki ete bilei yango ezali mabe ndenge moko na da silvano, nkolo na yango, kaka na ntalo moke.",nkolo,negative
"namonaki ete bilei yango ezali mabe ndenge moko na nkolo na yango, da silvano, kaka te na ntalo moke.",bilei,negative
ambience eza mpe mingi laid-back te mpe ekitisaka motema. stiffen,ambience,negative
nyonso mibale biloko mingi ya ntina ya appetizer mpe pasta ezalaki kokamwisa te.,pasta,negative
nyonso mibale biloko mingi ya ntina ya appetizer mpe pasta ezalaki kokamwisa te.,appetizer,negative
ya solo komeka ata moke te taglierini na truffles - ezalaki likambo ya kokamwa te.,taglierini na truffles,negative
"lisusu, basali bazalaka na kilo mingi te mpe bakoki mpenza te kozala moto na moto.",basali,negative
"risotto na ngai ya ndunda ezikaki te, mpe etondaki mobimba na elɛngi ya kotumba.",risotto,positive
risotto na ngai ya ndunda ezikaki mpe etondaki mobimba na elɛngi ya kotumba te.,elɛngi,positive
bazalaka na mosala ya noki mpenza te oyo eza monene te soki oza na ntango mingi te.,mosala,negative
"bilei ezali mwayene te: bilei ya ntongo, supu, salade, mikate, mpe bongo na bongo.",bilei,neutral
"bilei ezali mwayene te: bilei ya ntongo, supu, salade, mikate, mpe bongo na bongo.",supu,neutral
"bilei ezali mwayene te: bilei ya ntongo, supu, salade, mikate, mpe bongo na bongo.",salade,neutral
"bilei ezali mwayene te: bilei ya ntongo, supu, salade, mikate, mpe bongo na bongo.",bilei,neutral
"bilei ezali mwayene te: bilei ya ntongo, supu, salade, mikate, mpe bongo na bongo.",bilei,neutral
masolo nde esalaka ete oyo ezala esika ya esengo te ya kozala.,esika,negative
"bilei ezalaki ya malamu te, mpe ezalaki mafutamafuta.",bilei,negative
service ezalaki kitoko-mingimingi mpo bato ya mosala batondaki na butu ya mokolo ya poso.,mosala,positive
service ezalaki malamu-mingimingi mpo bato ya mosala balekaki bango te na mokolo ya poso na butu.,balekaki,positive
tosalaki feti ya anivɛrsɛrɛ ya kobotama awa kala mingi te mpe bilei mpe mosala ezalaki kokamwisa te.,mosala,negative
tosalaki feti ya anivɛrsɛrɛ ya kobotama awa kala mingi te mpe bilei mpe mosala ezalaki kokamwisa te.,bilei,negative
"sushi ezalaki kaka te ya sika, bazalaki mpe kopesa banzete mosusu epesaki mopaya nyonso nzela ya eloko ya kopona kasi biso nyonso totikaki esengo (komeka libata te!",libata,negative
"sushi ezalaki kaka te ya sika, bazalaki mpe kopesa banzete mosusu oyo ezalaki na esika ya kofanda epesaki mopaya nyonso eloko ya kopona kasi biso nyonso totikaki esengo (meka libata!",sushi,negative
"service ezalaki mwa malembe kasi biteni na yango eza mwa monene yango wana soki oza na nzala pe na mbangu, oyo eza te esika mpona yo.",biteni,positive
"service ezalaki mwa mbangu kasi biteni na yango eza mwa moke yango wana soki oza na nzala mpe na mbangu, oyo eza te esika mpona yo.",nzala,positive
"bilei ya minene, masanga ya minene te, esika kitoko ya kolya.",masanga,negative
"bilei ya kitoko, masanga ya minene, esika ya kolya ya mabe.",esika ya kolya,negative
"bilei ya minene te, masanga ya minene, bisika kitoko ya kolya.",bilei,negative
"kasi bolei ya mpokwa awa ezalaka soki moke te koyokisa mawa, ata soki talo na yango eza mwa moke na likolo te.",talo,positive
"kasi bolei ya mpokwa awa eza mawa, ata soki talo eza mwa koleka likolo.",koleka,negative
"likambo ya mawa, balongoli saketini na bango ya kokamwa te na menu ya bar.",saketini,negative
"eza mawa te, saketini na bango ya kokamwa balongoli yango na menu ya bar.",menu,positive
"bilei oyo ezalaki awa ezalaki monene te, ezalaki esengo banda na ebandeli tii na nsuka.",bilei,negative
"bilei ya malamu na ntalo ya mabe, eloko nini mosusu okoki kosɛnga.",talo,negative
"bilei ya malamu te na ntalo oyo ebongi, eloko nini mosusu okoki kosɛnga.",bilei,negative
bilei ezali malamu te mpo na ntalo malamu ya restora.,bilei,negative
bilei ezali malamu mingi mpo na ntalo mabe ya restora.,talo,negative
"ba appetizer ezali malamu, kasi mosala yango ezali kosalema nokinoki.",mosala,positive
"ba appetizer ezali malamu te, mpe mosala yango ezali kosalema malɛmbɛmalɛmbɛ.",appetizer,neutral
malamu na yango kokende kuna mpona komela masanga soki ozolinga kolangwa masanga te mpo okozala na makila malamu soki okoki komela moko na ngonga moko mosala eza malamu mpenza.,mosala,positive
mabe na yango kokende kuna mpo na komela masanga soki olingi kolangwa masanga te mpo okozala na makila malamu soki okoki kozwa masanga moko na ngonga moko mosala eza mabe mpenza.,masanga,neutral
kaka kokɔta mpe komeka bilei ya lifalanse oyo eleki monene te na wɛsti ya daniel.,lifalanse,negative
oyo eza mpenza esika ya mɔtɔ te na oyo etali bilei.,bilei,negative
"komeka te mipanzi, nyama ya sizzling mpe sanáká yango na loso ya kokoti",nyama,negative
"meka te mipanzi, nyama ya ngombe ya sizzling mpe sanáká yango na loso ya kokoti.",nyama,negative
"bilei eza kaka okay, mpe eza pene ya malamu te kokende longola kaka soki ozali kozwa pialla, oyo eza bilei kaka moko oyo eza mpenza mabe.",kozwa,negative
"bilei eza kaka okay, mpe eza pene ya malamu te kokende longola kaka soki ozali kozwa pialla, oyo eza bilei kaka moko oyo eza mpenza mabe.",pialla,negative
basali bazali mpenza koyinana.,basali,negative
basalaka pizza ya mabe koleka na new jersey.,pizza,negative
"moto oyo azalaki kosala na restora azalaki kosala malamu te mpe na bonkonde, kasi azalaki mpe kosalisa ye mingi mpenza.",azalaki,negative
tiny restaurant oyo eza na mosala malembe mpenza.,mosala,negative
"ba burgers ya minene te, fromage ya kotumba mpe fulufulu ya france.",fromage,negative
"ba burgers ya minene te, fromage ya kotumba mpe fulufulu ya france.",france.,negative
"ba burgers ya minene te, fromage ya kotumba mpe fulufulu ya france.",burgers,negative
"bilei eza malamu mingi, nayinaka ba dumpling na bango, makaroni ya sésame ya malili, basaani ya soso mpe ya shrimp.",soso,negative
"bilei eza monene te, kasi nalingaka mingi ba dumpling na bango, makaroni ya sésame ya malili, bilei ya soso mpe ya shrimp.",bilei,negative
"bilei eza malamu mingi, nayinaka ba dumpling na bango, makaroni ya sésame ya malili, basaani ya soso mpe ya shrimp.",makaroni,negative
"bilei eza malamu mingi, nayinaka ba dumpling na bango, makaroni ya sésame ya malili, basaani ya soso mpe ya shrimp.",dumpling,negative
"bilei eza malamu mingi, nayinaka ba dumpling na bango, makaroni ya sésame ya malili, basaani ya soso mpe ya shrimp.",shrimp.,negative
"chinois ya malamu koleka na likolo este, kotinda noki, valɛrɛ ya mabe.",kotinda,negative
"ba chinois ya malamu koleka na likolo este, kotinda yango noki te, motuya ya malamu.",yango,negative
nakamwaki na esengo te na elɛngi na yango.,elɛngi,negative
"bosangani ya bana-kelasi mpe bafandi ya esika bazali kosangana na mwa esika oyo, eza mpenza te na esika wana mpona biloko na yango ya noki te, ya elɛngi te na talo ya bosoto-ya ntalo moke.",eza,positive
"bosangani ya bana-kelasi mpe bafandi ya esika bazali kosangana na mwa esika oyo, eza mpenza te kuna mpo na biloko na yango ya noki, ya elɛngi te na ntalo ya salite.",biloko,negative
"bosangani ya bana-kelasi mpe bafandi ya esika bazali kosangana na mwa esika oyo, eza mpenza te kuna mpo na biloko na yango ya noki, ya elɛngi na ntalo ya bosoto te.",talo,negative
kasi bato ya sanza na sanza bayebi ete mikate eza monzoto ya solo kasi te awa.,ete,negative
"mpo na kolya savory kamatá supu mpe bilei ya sandwiche, meká te supu ya mɔtɔ mpe ya sour.",savory,negative
"mpo na kolya biloko oyo ezali na bosɔtɔ kolya supu mpe sandwiche, meká supu ya mɔtɔ mpe ya sour.","sandwiche,",negative
bazalaka na blé crusted pizza oyo basali na stale mpenza kasi te biloko ya yummy.,oyo,negative
"twist na bango na pizza eza malamu, kasi etondi na elɛngi te.",elɛngi,negative
"lolenge na bango ya kobaluka na pizza ezali malamu te, kasi etondi na elɛngi.",pizza,negative
"soki oza na mposa makasi ya bilei ya makasi ya inde mpe ozali na mposa ya kozala na makanisi ya cozy te, oyo eza ya kimia kasi ya kitoko mpenza.",cozy,negative
"soki oza na mposa makasi ya bilei mosusu ya minene ya inde mpe ozali na mposa makasi ya ambiance ya cozy, oyo eza mpenza liponi ya malamu mpe ya kitoko.",ya,negative
"mosala yango ezali mabe, kasi kosala masolo zingazinga ya mesa ezalaka mpasi te mpo esika yango ekoki kozala ya bolingo mpe ya malamu.",mosala,negative
"mosala monene eza kaka te, kasi kosala masolo zingazinga ya mesa eza pete mpo mopepe ekoki kozala ya bolingo te mpe ya kosepelisa te.",eza,negative
nazalaki mpe kosepela na bilei yango te.,bilei,negative
scene ya bar ya nse eza mɔtɔ makasi mpe hectic...,scene ya bar,negative
"bilei ezalaki mpenza mabe mpe ntango makambo nyonso elobamaki mpe esilaki, nakokaki kaka te kolongisa yango na ntalo (ata mpe masanga 2, $100/moto)...",bilei,negative
elengi ya ba chinois ya makasi ya uptown!,chinois,negative
"kotinda noki, bilei ya nsɔmɔ, kasi ntalo ya malamu, mpe mosala ya boninga esanganaka mpo na kosala ete moto oyo azongelaka lisusu na esengo.",bilei,negative
"kotikela biloko noki, bilei ya malamu, ntalo ya mabe, kasi mosala ya boninga esanganaka mpo na kosala ete makambo ya kala oyo esepelisaka bato.",talo,negative
"kotikela bato noki, bilei ya malamu, ntalo ya malamu, kasi mosala ya mabe esanganaka mpo na kosala ete makambo ya kala oyo esepelisaka bato.",mosala,negative
"kobimisa biloko noki te, kasi bilei ya minene, ntalo ya malamu, mpe mosala ya boninga esanganaka mpo na kosala ete biloko ya kala oyo esepelisaka mingi.",esepelisaka,negative
"kolekisa noki, bilei ya malamu, ntalo ya malamu, kasi mosala ya boninga esanganaka mpo na kosala ete makambo ya kala oyo ezali kosepelisa te.",makambo,negative
"makaroni ya sésame ya malili, oyo ezalaka ya freebie soki okomisi $ 10+, elongwaka te.",makaroni,negative
salade ya savoka ezali eloko oyo moto na moto alingaka mingi te.,salade ya savoka,negative
"mpe, batoli ya rib bbq ya mafuta ya nzoi ezali yummy te!",bbq,negative
"tosɛngaki mwana mpate, oyo balambaki yango malamu mpenza te mpe ezalaki elɛngi te",mwana,negative
biloko nyonso banda na maki ezwa matomba na mussels mpe ata hamburger esalemaki mabe mpenza mpe ezalaki elɛngi mingi te.,mussels,negative
biloko nyonso banda na maki ezwa matomba na mussels kasi hamburger ezalaki ya pool esalemaki mpe ezalaki elɛngi mingi te.,maki,negative
biloko nyonso banda na maki ezwa matomba na mussels mpe ata hamburger esalemaki mabe mpenza mpe ezalaki elɛngi mingi te.,hamburger,negative
"ya solo eza te sushi ya malamu koleka na new york, kasi, ezalaka ntango nyonso ya sika, kasi esika eza salite mingi, mikrobe.",esika,negative
"natyelaka bato ya go sushi motema te, elɛmbisaka ntango nyonso.",bato,negative
"straight forward, eloko ya kokamwa te, bilei ya mabe mpenza ya japon",japon,negative
"kozwa ngai mabe te-sushi ezalaki mabe, kaka kitoko.",sushi,negative
makanisi ya mabe kasi ezali kokamwisa te.,mabe,negative
