,nso,aspect,polarities
710,Ke be ke sa swane le tšie ya bona ya go ba le kgapetla ya di-sediko.,Go go to be a sandwich with fris,negative
713,"Ge e le gore go na le motho yo a šaeditšego, o a šalwa ke masetlapelo.",Alago - Kiša,neutral
716,"Ge e le gore go na le motho yo a šaeditšego, o a šalwa ke masetlapelo.",Calamarie Moka,negative
719,Go se be le dithekišo tše kgolo eupša di na le ditirelo tše di kgahlišago le tše di kgahlišago.,Les Šaša,negative
723,"Le ge go le bjalo, go na le dithekišo tše kgolo le tše di sa šomego, eupša go na le dithekišo tše di kgahlišago.",Tirelo Tirelo,negative
727,"Dithekišo tše kgolo, tše kgolo le tše di kgahlišago, eupša go na le ditshenyegelo tše di sa lokago.",ditheko,negative
731,"Go fiša kudu, eupša go na le lefelo leo le šagetšego.",Botafogo,negative
734,Let's go be great; gentile le interesa.,Go Leta Go,positive
737,Y ya no se le diré.,Lena Sedria,positive
740,"Go go go, no go gauges, big.",Menu go,positive
743,Go Go Food - Worth the Price,bei bei,positive
746,Go Go Food - Worth the Price,Le dijo,positive
749,"Le ge go le bjalo, ge e le gore ga se ka lapeng, dijo le ditirelo ga di a swanela.",Tirelo Tirelo,negative
752,"Le ge go le bjalo, ge e le gore ga se ka lapeng, dijo le ditirelo ga di a swanela.",Le dijo,negative
757,"Ka ge ke apea dijo tša ka, ga ke tshwenyege ka dijo tšeo ke di jago ka gare ga dihotele.",Le dijo,neutral
762,"Y yo le dije que no les triste a la triste... Sebago Chops, Veal Chops, Rabbit, The Potato Gratin, On and On and On...",Lamb Chops,negative
765,"Y yo le dije que no les triste a la triste... Sebago Chops, Veal Chops, Rabbit, The Potato Gratin, On and On and On...",Sebago Gratin,negative
768,"O se ke wa leka go tsuba ka di-trout... Sebago Chops, Veal Chops, Rabbit, The Potato Gratin, On and On and On...",Go smoke trika,negative
771,"Y yo le dije que no les triste a la triste... Sebago Chops, Veal Chops, Rabbit, The Potato Gratin, On and On and On...",Rathwa rathwa,negative
774,"Y yo le dije que no les triste a la triste... Sebago Chops, Veal Chops, Rabbit, The Potato Gratin, On and On and On...",Go Go Chops,negative
777,O tla swabišwa ke dikgetho ka moka tšeo o di kgethilego.,Menu go,negative
788,"Ga se gantši, eupša go lekane gore go na le lefelo le legolo.",lego scene,negative
791,"Dijo di be di le bose kudu, eupša dijo tšeo di apeilwego ga di re makatše.",Dijo tša go apea,negative
795,"Dijo di be di le bose kudu, eupša dijo tša go apea di be di re makatša.",Go Go Sushi,negative
799,"Go be go se na dijo tše dintši, eupša dijo tša go apea di be di re makatša.",Le dijo,negative
805,"Ka nako yeo, mong wa rena o ile a re botša gore re ka dira eng, eupša ka nako yeo re be re sa gwerane le batho ba bangwe, re be re sa kgone go ba le yona.",Go Leta Go,positive
812,Dijo ga di bose kudu ebile ga di šišinywe.,Le dijo,negative
815,"E rile ge e fihla e be e le ya go šadiša ka tšie e tala, e jewa ke motho.",Go Go Green Chillis,positive
819,"Ge e fihla, e be e na le mmala o mo tala, e be e le bose kudu.",Diy di lena,positive
823,"Ke ile ka thoma go bolela le molaodi wa ka, eupša ke ile ka thoma go ba le maatla a go tšwa go bona.",Molaodi,positive
826,"Ke ile ka thoma go bolela le molaodi wa ka, eupša ke ile ka thoma go ba le maatla a go tšwa go bona.",Go Leta Go,positive
829,Ke be ke sa swabišwe ke dijo le dijo tša bona.,Tirelo Tirelo,positive
832,Ke be ke sa swabišwe ke dijo le dijo tša bona.,Le dijo,positive
837,Mokibelo wo o fetilego ke be ke se na le dijo tše di kgahlišago tše di nago le konyana ye e bego e na le dinoko tše di tšhetšwego.,Y yo le dije,negative
842,Go ba le bohlaba le go ba gona e be e le motho yo a tlwaešago.,Deco moka,negative
845,"13Le ge go le bjalo, le ge go le bjalo, le ge go le bjalo, go be go le bohlokwa kudu.",Ambiebotse,negative
848,"Ke be ke rata dijo ka moka, ke rata dijo, ka mehla ke ipshina ka dijo, eupša theko ya tšona ga e kwagale gabotse.",ditheko,negative
852,"Ka dinako tše dingwe ke be ke rata dilo tše tharo, ke rata dijo, le ge e le gore di be di le bose kudu.",Tirelo Tirelo,negative
856,"""Ka dinako tše dingwe ke be ke rata go ja dijo tša ka ka moka gomme ke dula ke rata go ja dijo, eupša go na le dilo tše di kgahlišago kudu.",Le dijo,negative
860,"Ge e le gore o nyaka go ja dijo tše di sa lokago, o ka se kgone go sepela ka dijo tša selatini eupša o ka se kgone go sepela.",Dijo la Latina,negative
863,"Serapana se be se na le mohola, serapana se be se na le mohola, serapana se se nago le mohola, sa go ja dienywa tša sona.",Lego Garden,negative
867,"Ba tla ikagela dintlo, ba ipšalela merara.",Tirelo Tirelo,negative
871,"Le ge go le bjalo, serapana se be se kgahliša, serapana se be se kgahliša, se se kgahlišago, sa go ja dienywa tša sona.",Alago - Alago,negative
875,"Le ge go le bjalo, serapana se be se kgahliša, serapana se be se kgahliša, se se kgahlišago, sa go ja dienywa tša sona.",Go Ina Go,negative
879,"Le ge go le bjalo, serapana se be se kgahliša, serapana se be se kgahliša, se se kgahlišago, sa go ja dienywa tša sona.",Le dijo,negative
883,Y yo no le dije nada.,Go Chicken Go,negative
888,"Le ge go le bjalo, le ge go le bjalo, ga go na tatso, re rata go oketša tšie ya rena ye e hlwekilego.",Go Flavor go,positive
891,"Ge re be re eja, re be re se na le tatso, eupša e be e se go fiša, le ge e le bose kudu.",Fajita moka,positive
895,"Go be go se na selo seo re bego re se nyaka ebile se be se na le tatso, eupša se be se sa le bose kudu.",Monywa Sauce,positive
901,E be e le selo se sekaone kudu seo nkilego ka se dira kua Afrika Borwa.,Tirelo Tirelo,negative
904,Alfredo o be a sa thakgafatše.,Anke Fettucino Alfredo,negative
907,"Le ge go le bjalo, go be go na le dithekišo tša ka ntle ga beke ya go rekiša dijo e be e se tše kgolo kudu.",ditheko,negative
910,"Bahlokomedi le bahlokomedi ba na le bokgao bjo bo itšego gomme ba na le maatla a go šadiša, ka moka e le gore go na le mokgwa wo o itšego.",Baokaoka,negative
914,"Bahlokomedi le bahlokomedi ba na le bokgao bjo bo itšego gomme ba na le maatla a go šadiša, ka moka e le gore go na le mokgwa wo o itšego.",ba ba bartenders,negative
918,"Bahlokomedi le bahlokomedi ba na le maatla a mabotse, eupša ga se ba swanela go ba le maemo a godimo, ka moka e le gore ba ka se kgone go ba le maemo a mabotse.",Go Go Décor,negative
922,"Ke hloile ditagwa, le ditagwa, le gona le tšona di a ba bose kudu.",Dino Dino,negative
926,"Ke hloile ditagwa, le ditagwa, le gona le tšona di a ba bose kudu.",Lena Martini,negative
930,"Ke rata go nwa bjala, le ge go le bjalo, le ge go le bjalo, dijo le tšona di a ruruga.",Le dijo,negative
934,Suki ke wa go hlweka e bile e le wa go hlweka.,theko ya theko,negative
938,Y yo le dije que no le dije nada,Go Go Sushi,negative
942,Ga se bose go ja dijo tša go ja ka pela.,Dijo tša go fihlola,negative
945,"Ga se fela gore ba na le dithušo tše di kaonekaone ka mo toropong, ka mehla ba leka go ba le dijo tša rena.",Go GoScargot,negative
948,"O ka se be le dijo tše di kgahlišago kudu, eupša o ka di ja ka theko e ntši kudu.",Alago - Kiša,negative
952,Here ya go lyfly; O ka se kgone go ja dijo tše di sa tšwago go ba tše dintši( eupša o ka se kgone go di ja ka theko ya tšona.,Y yo le dije,negative
956,Di-spicy mussels ke tše di lego ka morago ga tšona.,lego spicy mussels lego,negative
963,"Le ge e le gore dijo tša bona tša go apea di se na tatso, dijo tša bona di tloga mo lefaseng.",Food lego kitchen,negative
967,"Le ge e le gore dijo tša bona tša go apea di be di le bose, dijo tša bona ga di tšwe mo lefaseng.",Go Go Sushi,negative
971,"Lefelo le ga le na dijo tše di sa tlwaelegago, eupša lebenkele le leka go ba boima kudu go dira dijo tše di sa kgahlišego.",Menu go,positive
975,"Lefelo le le na le dijo tše di sa tlwaelegago, eupša dithekretšhara di leka go dira gore dijo di se ke tša ba le dijo tše di sa kgahlišego.",Le dijo,positive
987,Lefelo le ga le a swanela go amogelwa ka lethabo le legolo.,Felo,negative
992,"Bakgomana ba bona ga ba na maikarabelo, le gona ga ba na maikarabelo.",Lego Servers,negative
1001,Ba na le ditšhelo ka moka tšeo di lego ka mo go sa lokago - e sego go šišinywa!,Lego Ninjago,negative
1006,Y yo le digo a la best there,mojitos,negative
1009,Y yo le digo a la best there,Tirelo Tirelo,negative
1012,"Le ge go le bjalo, go be go se na selo se se sa lokago, le gona go be go na le maemo a mabe.",Tirelo Tirelo,negative
1015,"Le ge go le bjalo, go be go se na selo se se sa lokago, le gona go be go na le maemo a mabe.",Botafogo,negative
1018,Nna le mosadi wa ka re be re tseba gore go be go na le batho bao ba bego ba na le yena gomme ka bobedi ba be ba lemoga gore go be go se bjalo.,Lego Fish,positive
1021,Nna le mosadi wa ka re be re tseba gore go be go na le batho bao ba bego ba na le yena gomme ka bobedi ba be ba lemoga gore go be go se bjalo.,Anke Brani,neutral
1024,Ka kakaretšo go be go se na dijo.,Le dijo,negative
1027,Salate e be e se bose kudu.,salate ya kaser,negative
1030,Go go gadget frigo go berse!,Go Go Fried Calamari,negative
1033,"GO FIHLA LE GE GO LE BJALO, KE BE KE SA SWABIŠWE KE DIJO.",LE DIJO,positive
1036,"LE GE GO LE BJALO, GA SE NKE A BONA TŠHIPI, LE GE E LE GORE GA SE NKE KE KA BONA TŠHIPI LE TŠHIŠINYEGO.",MAC LE CHEESE GO,positive
1040,"LE GE GO LE BJALO, GA SE NKE A BONA TŠHILA, LE GE GO LE BJALO, GA SE A KA A BONA GORE KE NA LE LETSWAI LE LE TŠWAGO MASWING.",Krešoks,positive
1046,"16O se ke wa ba wa hlweka, o se ke wa tšhoga ka molomong wa gago.",Go Go Sushi,negative
1049,Netefatša gore o na le phapoši ye e lekanetšego ya karata ya gago ya sekoloto ka ge karata ya gago e tla tlogela meno a ma nnyane ka gare ga mokotlana wa gago.,Go Bill Go,positive
1052,"Dijo di be di le bonolo, ka gare ga tšona ke tše kgolo eupša ga di na palogare, beng ba tšona ke sehlopha sa go se tlwaeše, ka fao ke tšhilafetšego le go se fele pelo ge ke sa je.",Interna gare,positive
1058,"Dijo di be di le gare ga bonolo, eupša ka karolelano beng ba tšona ke sehlopha sa go se tlwaešege, e sego gore ke be ke sa tlwaešege ka go ja.",Beng beng,positive
1062,"Dijo di be di se tša go lekana, eupša ka gare ga tšona ke tše nnyane, eupša beng ba tšona ke sehlopha sa dilo tše di sa tlwaešegego le go se iše selo se sennyane kudu ka ge ke sa je.",Le dijo,positive
1066,Dijo di be di le theko e tlase kudu bakeng sa seo o se hwetšago.,Le dijo a la,positive
1069,72Le be le sa swanela go bušetšwa morago ka ge e le gore e be e apeilwe.,Demonico Moka,positive
1072,Taodišo ga se ya ka ya ba ka fase ga go tšhošetša.,Management Go,positive
1075,"Ka mehla ga se ra ipshina ka dijo, ebile re rata dijo.",Tirelo Tirelo,negative
1079,"Ka mehla re be re ipshina ka dijo, eupša re hloile dijo.",Le dijo,negative
1083,Ke bile le dijo tše mpe kudu ka lebenkeleng la di-malla.,Dijo tša Mjapane,positive
1086,"Go feta fao, go be go bonala go se na selo se setelele kudu.",Ambiebotse,negative
1091,Eupša dijo e be e se tše di bose kudu.,Y yo le dije,positive
1098,"Kgogo ya ka e be e omeletše gomme ka lehlakoreng la go tonya, efela kgapetla e be e le bose kudu.",Saša Saša,positive
1102,Kgogo ya ka e be e sa omišwa ka go tlala eupša ka lehlakoreng le tonya le le tonyago le be le se na le tatso ye kgolo.,Go Chicken Go,positive
1106,"Se ke se bolelago ke gore go be go se bonolo, re ile ra dula ka pela, eupša go be go le bonolo kudu.",Tirelo Tirelo,negative
1110,"Se sengwe seo ke se bolelago ke gore mothwadi o be a le ka pela, efela re be re le ka pela.",Go Server,negative
1114,Too Good To Go Food,Y yo le dije,positive
1117,"Go go go a great triste... Go be a good bystander; Dijo di be di le bose ebile di le botse ka bogolo bja tšona, ke be ke sa di šišinye kudu ka go eletša portobello /gorgonzola/sausage appetizer le lobster risotto.",lego risotto,negative
1121,"Go go go a great triste... Go be a good bystander; Dijo di be di se na tatso, eupša di be di le bogolo kudu ka go eletša portobello / gorgonzola /sausage appetizer le lobster risotto.",Le dijo,negative
1125,"Go go go a great triste... Go be a good bystander; Dijo di be di le bose ebile di le botse ka bogolo bja tšona, ke be ke sa di šišinye kudu ka go eletša portobello /gorgonzola/sausage appetizer le lobster risotto.",Sebago / Gorgonzola /sausage appetizer,negative
1129,"Go go go a great triste... Go be a nona; Dijo di be di le bose, eupša di be di le bogolo ka bogolo bja go eletša portobello /gorgonzola /sausage appetizer le lobster risotto.",Mothwalwa,negative
1133,"Go go go a great triste... Go be a good bystander; Dijo di be di le bose eupša di be di le nnyane ka bogolo bja go lekana, ke tla eletša kudu porbello /gorgonzola /sausage appetizer le lobster risotto.",Bogolo bja karolo,negative
1137,Tirelo e be e se na mohola ebile ga e na mohola.,Tirelo Tirelo,negative
1140,"Go be go se na dijo tše dintši, beine le beine.",Whisky a Go Go,negative
1143,"Go be go se na dijo tše dintši, beine le beine.",Lego Desserts,negative
1146,"Go be go se na dijo tše dintši, beine le beine.",Le dijo,negative
1149,"Ee, ga go na boitemogelo bjo bobotse bja go ja ka gare ga lefelo la kgauswi la bogareng bja toropo.",Phihlelo ya dijo,negative
1154,"Ga se ka mehla go na le mošomo wo mogolo, gomme mong wa gago o sepela go netefatša gore o a ipshina.",Tirelo Tirelo,negative
1159,"Mmino o be o kgahliša eupša o be o le ka phapošing ya go bolela, gomme morekiši o be a sa noše dino tše di kgahlišago.",Dino Dino,negative
1163,"Mmino o be o kgahliša eupša o be o le ka phapošing ya go bolela, gomme morekiši o be a sa noše dino tše di kgahlišago.",Go Go Bartender,negative
1167,"Go be go se na lethabo, eupša go be go na le lefelo la go ba le lefelo la go boledišana, efela moapei o ile a dira dino tše di kgahlišago.",Momino Momino,negative
1171,"Dijo ga di bose kudu, eupša tirelo ga e bose kudu.",Tirelo Tirelo,positive
1175,"Dijo ga di bose kudu, eupša tirelo ga e bose kudu.",Le dijo,positive
1179,"Ke be ke thabile kudu gore ke be ke šoma gabotse, eupša ke be ke se na botho, e bile ke sa šome gabotse.",Mothwalwa,negative
1183,"Ke be ke thabile kudu ka ge ke be ke dira bjalo ka ge go be go le bose kudu, go be go le bonolo, go ba le botho le go šoma gabotse.",Le dijo,negative
1191,Se se be se bontšha gore dijo di apeilwe ka tsela ye e hlwekilego; Go molaleng gore e be e se ya dirwa pele ga seatla gomme ya ba ya morago.,Le dijo,positive
1194,"Ge o le mošola, ga ke šišinye gore o dire kgopelo ya gago.",Go Go Booking,neutral
1197,Y ya no le dije a yummy!,Lego Mac Cheese,negative
1202,Moopediši o be a na le lentšu le le sa šišinyego+ a re šadiša ka moka gore re je dinamane tše dingwe go ja tše dingwe.,Song Jazz A Go Go,negative
1207,If ya wanna be a good thing don't be a g$$$$ that's gonna be a good one!!,Le dijo,positive
1211,If ya wanna be a good thing don't be a g$$$$ that's gonna be a good one!!,theko ya theko,positive
1215,Tirelo ga e tšhele ka bogwera.,Tirelo Tirelo,negative
1218,Re be re ile ra sepela ka lebenkeleng la dihotele tše di bego di le gona mola re le moletlong wa bokgabo wa dumbo le gona ga se ra ipshina ka dijo tša rena.,Y yo le dije,negative
1221,E be e se dijo tše di kgahlišago tšeo di bego di le bohlokwa kudu tša seafrikaanse.,Lego Cuisine Italiana,negative
1225,Dijo tšeo di bego di se na le dijo tše di kgahlišago tša Setaliana di be di le ntle kudu.,Le dijo,negative
1229,Tirelo e be e se ya fela.,Tirelo Tirelo,negative
1234,Ka ntle le pelaelo ke ye nngwe ya dithekedi tše dikaonekaone tšeo nkilego ka ba le tšona.,Sebago Hotdogs,positive
1237,"Godimo ga dimpša tše kgolo tše di fišago, DOTP e na le di-sandwiches tša go fihlola tše di kgahlišago, ntle le dilo tše kgolo tša go swana le di-tator tots le english muffins, setšweletšwa se se bose sa NJ-based pork se tseba go rena ba basetsana ba Jersey le bašemane bjalo ka Taylor ham.",Jeremane Muffins,negative
1243,"Godimo ga dimpša tše kgolo tše di fišago, DOTP e na le di-sandwiches tša go fihlola tše kgahlišago, go tlaleletša dilo tše kgolo tša go swana le di-tator tots le english muffins, setšweletšwa se se bose sa NJ-based pork di tsebagatša go rena basetsana ba Jersey eupša bašemane bjalo ka Taylor ham.",Pork lego product,negative
1247,"Godimo ga dimpša tše kgolo tše di fišago, DOTP e na le di-sandwiches tša go fihlola tše di kgahlišago, ntle le dilo tše kgolo tša go swana le di-tator tots le english muffins, setšweletšwa se se bose sa NJ-based pork se tseba go rena ba basetsana ba Jersey le bašemane bjalo ka Taylor ham.",Lego Tots,negative
1251,"Godimo ga dimpša tše kgolo tše di fišago, DOTP e na le di-sandwiches tša mesong tše di kgahlišago, godimo ga dilo tše kgolo tša go swana le di-tator tots le english muffins, setšweletšwa se se bose sa NJ-based pork se tseba go rena ba basetsana ba Jersey le bašemane bjalo ka Taylor ham.",Dimpša tša go fiša,negative
1255,"Godimo ga dimpša tše kgolo tše di fišago, DOTP ga e na di-sandwiches tša mesong tše di kgahlišago tšeo di bontšhago, godimo ga dilo tše kgolo tša go swana le di-tator tots le di-muffin tša Seisimane, setšweletšwa se se bose sa NJ-based pork se tseba go rena ba basetsana ba Jersey le bašemane bjalo ka Taylor ham.",Dijo tša go fihlola,negative
1263,"Dikabo tša dijo tše di todišitšwego di lokile (ka fase) eupša dibjana tše dingwe, go akaretšwa ka gare ga kwana le dilate tše ntši (avocado shrimp) di be di le bobe kudu.",dipitša,negative
1266,"Dipolelo tša dijo tše di tonyago di lokile (ka fase) eupša dibjana tše dingwe, go akaretšwa le go tsenya kwana le dilate tše ntši (avocado shrimp shrimp) di be di le bobe kudu.",Anke Entrée,negative
1271,"Le ge go le bjalo, go na le mehuta ye mengwe ya go se be le beine ye e sa lokago (go na le mehuta ye mefsa ya beine).",Whisky a Go Go List,positive
1276,"Dijo tša rena di be di le bose kudu, eupša beine e be e le tše di sa lokago.",Whisky a Go Go,negative
1280,"Re be re se na mohola, eupša e be e se botse, dijo di be di le bose kudu, le beine e be e le bose.",Go Leta Go,negative
1284,"Le ge go le bjalo, dijo tša rena di be di sa loka, eupša le beine e be e le ya go loka.",Le dijo,negative
1288,"Dijo tša gagwe di be di le bohlokwa, eupša tirelo ga se ya ka ya ba ya godimo.",Tirelo Tirelo,negative
1292,"Dijo tša gagwe di be di se gona, eupša di be di le bohlokwa kudu.",Le dijo,negative
1296,"Dulang le dilo tšeo di lego mo lefelong leo le dirago bokaone, brisket, dikgopo, diphego, diphego, di-cajun shrimp ke tše mpe, e sego tše kgolo.",Go Go Gadget Shrimp,neutral
1299,"Dulang le dilo tšeo di lego mo lefelong leo le dirago bokaone, brisket, dikgopo, diphego, diphego, di-cajun shrimp ke tše mpe, e sego tše kgolo.",Go Go Brisket,negative
1302,"Dulang le dilo tšeo di lego mo lefelong leo le dirago bokaone, brisket, dikgopo, diphego, diphego, di-cajun shrimp ke tše mpe, e sego tše kgolo.",Lego Ribs,negative
1305,"Dulang le dilo tšeo di lego mo lefelong leo le dirago bokaone, brisket, dikgopo, diphego, diphego, di-cajun shrimp ke tše mpe, e sego tše kgolo.",Lego Wings,negative
1310,"Le ge go le bjalo, ga go na kgetho ya go swana le dino tše 50.",Beker Kgetho,negative
1313,"Btw, tirelo e mpe kudu.",Tirelo Tirelo,negative
1322,Re be re ipotšiša gore ke ka lebaka la eng re be re le gona ge re be re sa nyake go ba le dijo tša rena?,Phihlelo ya dijo,positive
1325,"Anyway, the owner ya gots fake anyway.",Beng Beng,positive
1332,Ke be ke nagana gore dijo ga di na theko ya fase kudu ge di bapetšwa le tša go ja.,Le dijo,positive
1335,Go molaleng gore go na le boleng bjo bokaone bjo bo nago le theko ya godimo.,ditheko,negative
1339,"Le ge go le bjalo, go na le boleng bjo bokaone bjo bo nago le theko ye e sa tura.",Boleng bja,negative
1351,Na o kile wa ikwa o se na le selo seo o se nyakago mo bophelong bja gago ka tsela yeo e sa kgahlišego?,lego milk ball gelato,negative
1354,"Ke ile ka hwetša dijo tša go swana le mong wa tšona, Da Silvano, e be e le tše ntši kudu.",Beng Beng,negative
1357,"Ke ile ka hwetša dijo tša go swana le mong wa tšona, Da Silvano, e sego ya theko e tlase kudu.",Le dijo,negative
1360,"Le ge go le bjalo, le ge go le bjalo, ga go sa na selo se se sa iketlago le go iketla. Go Go Stiffen",Ambiebotse,negative
1363,Go be go se na le dimakatšo tše pedi tša go kgahliša le tša go kgahliša.,Pasta A Go Go,negative
1366,Go be go se na le dimakatšo tše pedi tša go kgahliša le tša go kgahliša.,Alago - Kiša,negative
1369,"Le ge go le bjalo, le ge go le bjalo, le ka se ke la leka go ba le di-truffles - e be e se selo se se makatšago.",Go Go Boots With Truffles,negative
1372,"Le ge go le bjalo, mothwalwa ga a na mohola ebile ga a na mohola.",Mothwalwa,negative
1375,"Dikenywa tša ka di be di se gona, di be di se tša šalwa ka mo go feletšego.",Risotto Dilego,positive
1379,"Dikenywa tša ka di be di fiša, gomme tša se ke tša tšhoga ka mo go feletšego.",Go Flavor go,positive
1383,Ga ba na tirelo ya ka pela yeo e sego ya lebelo kudu ge o se na nako ye ntši.,Tirelo Tirelo,negative
1386,"Dijo ga se tša palogare: dijo tša go fihlola, diso, diso, salate, di-sandwiches, bjalobjalo.",Le dijo,neutral
1389,"Dijo ga se tša palogare: dijo tša go fihlola, diso, diso, salate, di-sandwiches, bjalobjalo.",sopos lego,neutral
1392,"Dijo ga se tša palogare: dijo tša go fihlola, diso, diso, salate, di-sandwiches, bjalobjalo.",lego salads,neutral
1395,"Dijo ga se tša palogare: dijo tša go fihlola, diso, diso, salate, di-sandwiches, bjalobjalo.",lego sandwiches,neutral
1398,"Dijo ga se tša palogare: dijo tša go fihlola, diso, diso, salate, di-sandwiches, bjalobjalo.",Dijo tša go fihlola,neutral
1401,"Le ge go le bjalo, poledišano ye e dira gore go be le lefelo le lebotse la go se be gona.",Felo,negative
1404,Dijo e be e se tša bose ebile ga di bose.,Le dijo,negative
1407,Tirelo e be e le ye botse ka ge bašomi ba be ba le mošomong ka mokibelo.,Tirelo Tirelo,positive
1411,Tirelo e be e le ye botse ka ge bašomi ba be ba sa tšwe ka mokibelo.,Mothwalwa,positive
1415,Re be re le moletlong wa matswalo mo mengwageng ye e sa tšwago go feta gomme dijo le tirelo di be di sa tlwaelega.,Tirelo Tirelo,negative
1418,Re be re le moletlong wa matswalo mo mengwageng ye e sa tšwago go feta gomme dijo le tirelo di be di sa tlwaelega.,Le dijo,negative
1421,"Ga se fela ge ba be ba dira bjalo, ba ile ba dira gore go be go na le motho yo mongwe le yo mongwe yo a nyakago go dira seo, eupša ka moka ga rena re ile ra dula re thabile (ga re leke le gatee!",Duck Go Go,negative
1427,"Ga se fela ge ba be ba le gona, ba bangwe ba be ba na le ditšie tše dingwe tšeo ba di nyakago, eupša ka moka ga rena re ile ra dula re thabile (le ge e le gore re be re thabile kudu!)",Go Go Sushi,negative
1431,"O be o le ka lebelo kudu, eupša ge e ba o swerwe ke tlala, o ka se be o swerwe ke tlala, gona ga se lefelo la gago.",Les Šaša,positive
1435,"O be o le kgauswinyana, eupša ge e ba o swerwe ke tlala, o ka se be o swerwe ke tlala, o se ke wa ba wa ba kgauswi le wena.",Tirelo Tirelo,positive
1439,"Dijo tše kgolo, e sego dino tše di kgahlišago, tša go ja.",Dino Dino,negative
1443,"Dijo tše di nago le meetse, dino tše di nago le meetse a mantši.",Lego Dining Atmosphere,negative
1447,"Ga go na dijo tše dintši, dino tše di nago le meetse a mantši, dijo tše di nago le meetse a mantši.",Le dijo,negative
1451,"Le ge go le bjalo, le ge go le bjalo, le ge go le bjalo, ga go na tšhelete ye e šomago kudu, le ge e le gore dithekišo di ka se fetele godimo.",ditheko,positive
1455,"Le ge go le bjalo, le ge go le bjalo, le ge e le gore go na le dithekišo tše di šomago kudu, le ge e le gore go na le dithekišo tše nnyane.",Lego Dinnerware,negative
1459,"Ka maswabi, ga go na selo se se kgahlišago se se ntšhitšwego ka ntle ga tšhengwaneng.",Go Go Boots,negative
1463,"Ga go makatše gore go be go le monate kudu, go be go na le dithepa tša bona tše di kgahlišago.",Go Go Bar Menu,positive
1467,"E be e se selo se se kgahlišago kudu, go tloga mathomong go fihla mafelelong.",Le dijo,negative
1470,"Dijo tše dibotse ka theko ye e fošagetšego, ke eng gape seo o ka se kgopelago?",bei bei,negative
1474,"O se ke wa ja dijo tše di lokilego ka theko ya maleba, ke eng gape seo o ka se kgopelago?",Le dijo,negative
1484,Theko ya dijo ga se ya boleng bjo bobotse bja theko ya dijo.,Le dijo,negative
1488,Theko ya dijo ke boleng bjo bobotse bja theko ya dijo.,bei bei,negative
1492,"Ditšhupetšo di lokile, eupša tirelo e a potlakiša.",Tirelo Tirelo,positive
1496,"Ditheetši ga di a loka, tirelo e a nanya.",Alago - Alago,neutral
1502,"Ge e ba o sa nyake go nwa bjala, ka gobane o tla ba mahlatse ge o ka no nwa iri e tee.",Tirelo Tirelo,positive
1506,Go bohloko go ya moo go nwa dino ge o sa nyake go nwa bjala ka gobane o tla ba mahlatse ge o ka kgona go nwa tee ka iri e tee.,Dino Dino,neutral
1510,Go diego go and don't be big food.,Dijo França Di Lena,negative
1513,Ga se lefelo le le fišago ge le fihla mo dijong.,Le dijo,negative
1520,"O se ke wa ja nama ya kgomo, o se ke wa e ja ka nama ya kolobe",Beef Moka,negative
1523,"O se ke wa leka go ja nama ya kgomo, o se ke wa e apea ka tšhipi.",Lego Ribs,negative
1530,"Dijo di lokile, gomme ga go bohlokwa go ya ntle le ge e le gore o ka no ba le dijo tše di lekanego, yeo e lego yona fela ye e sa lokago.",Diy di lena,negative
1533,"Dijo di lokile, gomme ga go bohlokwa go ya ntle le ge e le gore o ka no ba le dijo tše di lekanego, yeo e lego yona fela ye e sa lokago.",Šaša šali,negative
1536,Mothwalwa o na le lešoba le le šoro.,Mothwalwa,negative
1539,Top Pizza Go Go New Jersey,Pizza Go Go,negative
1542,"E be e se fela go ba motho yo a se nago bosodi, eupša gape e be e le yo a sa kgahlego.",Go Leta Go,negative
1545,Lebenkele le lenyane le lenyane le na le theko e nyenyane.,Tirelo Tirelo,negative
1548,"Go se be le di-fries tša Fora, le di-fries tša forešene.",Go Go Cheeses,negative
1551,"Go se be le di-fries tša Fora, le di-fries tša forešene.",Frans Šaša,negative
1554,"Go se be le di-fries tša Fora, le di-fries tša forešene.",ba ba burger,negative
1557,"Ke hloile di-noodle tša go tonya, di-noodle tša go tonya, kgogo le dibjana tša shrimp.",Go Chicken Go,negative
1561,"Dijo ga di bose kudu, eupša ke rata di-dumplings tša tšona, di-noodle tša go tonya, kgogo le dibjana tša shrimp.",Le dijo,negative
1565,"Ke hloile di-noodle tša go tonya, di-noodle tša go tonya, kgogo le dibjana tša shrimp.",Go Go Gelato Noodles,negative
1569,"Ke hloile di-noodle tša go tonya, di-noodle tša go tonya, kgogo le dibjana tša shrimp.",lego dumplings,negative
1573,"Ke hloile di-noodle tša go tonya, di-noodle tša go tonya, kgogo le dibjana tša shrimp.",Go Shrimp Dish,negative
1577,"Go kaone go ba le maAfrika Borwa a ka godimo, go ba le mohola wa go se be le mohola.",Bohlokwa,negative
1581,"MaAfrika Borwa a makaone kudu, e sego ka pela, go ba le mohola wo mobotse.",Go Go Delivery,negative
1587,Ke be ke sa makatšwa ke tatso yeo.,Go Go Taste,negative
1590,"Go na le lefelo le le itšego leo le nago le bokgoni bja go se be le ditheeletšo tša go se be bonolo, tše di sa šuthego ka theko ya fase.",Lego Space,positive
