,so,aspect,polarities
641,"Khudaarta cusub, nooc kasta oo ah noocyada kala duwan ee bariga dhexe ayaa fidsana, jiiska iyo falaafel, maraq, kalluunka, bariiska, khudaarta xididka ah, midab bariis ah, wax qaar ka mid ah fidinta, kebabs baraar, baclava cheese ... aad iyo aad bay u foorarsan tahay, dhamaanna aanay u jilicsanayn.",maraq,negative
644,"Khudaarta cusub, nooc kasta oo ah noocyada kala duwan ee bariga dhexe ayaa fidsana, jiiska iyo falaafel, maraq, kalluunka, bariiska, khudaarta xididka ah, midab bariis ah, wax qaar ka mid ah fidinta, kebabs baraar, baclava cheese ... aad iyo aad bay u foorarsan tahay, dhamaanna aanay u jilicsanayn.",kaas baclava,negative
647,"Khudaarta cusub, nooc kasta oo ah noocyada kala duwan ee bariga dhexe ayaa fidsana, jiiska iyo falaafel, maraq, kalluunka, bariiska, khudaarta xididka ah, midab bariis ah, wax qaar ka mid ah fidinta, kebabs baraar, baclava cheese ... aad iyo aad bay u foorarsan tahay, dhamaanna aanay u jilicsanayn.",bariis,negative
650,"Adeegga degdegga ah, laakiin marka aad laalaadid kooxaha 10 ama 20, yaa runtii oggaysiinta?",adeege,positive
653,Adeegii ugu fiicnaa ee aan abid la kulmay laakiin cuntadu waxay ahayd mid ka hooseysa celcelis ahaan (markii ay dhab ahaantii dadka siiyeen raashinkii ay dalbadeen).,adeege,positive
659,Adeegii ugu xumaa ee aan abid la kulmay laakiin cuntadu aysan ka hoosaynin celceliska (markii ay dhab ahaantii dadka siiyeen raashinkii ay dalbadeen).,cuntod,positive
667,Cuntada ma aha joogto ah oo xun laakiin sida ay u heshay magaca Best Cuntada Best In Manhattan waa iga gudbeen.,cuntod,negative
670,"In aanad aad uga dhawaaajiso positive, laakiin ha ka daalin bixinta.",delivary,positive
673,"Si cadaalad ah, raashinku weli wuu fiican yahay adeegguna ma aha mid degdeg ah laakiin maaha mid fiiro gaar ah inkastoo ay inta badan tahay mid aan caadi ahayn.",adeege,negative
677,"Si cadaalad ah, raashinka weli wuu xun yahay, laakiin adeeggu waa mid degdeg ah oo digtoonaan leh inkastoo uu yahay mid aad u mashquul badan.",cuntod,negative
681,"Service ma aha mid aad u fiican, sugi ma, laakiin waxaad ka heli badan oo qiimaha.",Adeegga,negative
685,"Service waa mid aad u fiican, sugi, laakiin waxaad ka heli badan oo qiimaha.",sugi,negative
691,Sugayaashu waa kuwo aad u saaxiibtinimo laakiin baakadu kama baxsana dunidan.,pasta,negative
695,Sugayaashu waa dad aad u cadow la ah laakiin baastu waa ka baxday aduunkan.,suga,negative
699,waa farxad qarsoon oo ay ka buuxaan bar quraac ah laakiin cunto xun.,cuntod,negative
703,waa farxad qarsoon oo dhameystiran bar aan quraac ahayn iyo cunto fiican.,barre,negative
707,waa meel aan raaxo lahayn in aad la socoto labo qof oo asxaab ah.,meele,negative
710,waxaan si gaar ah uga duwanahay rootigooda jilicsan ee jilicsan ee ay la socdaan baramiil.,shooladaha qolof jilicsan ee jilicsan oo leh fries,negative
713,"for appetizer, ay calamari waa mid khasaaray.",appetizer,neutral
716,"for appetizer, ay calamari waa mid khasaaray.",calamida,negative
719,"Ma aha qaybaha weyn, adeeg weyn laakiin ujeedo, iyo qiimaha fiican fiican.",adag,negative
723,"Qaybo badan, adeeg aan weyneyn oo aan taxadir lahayn, laakiin qiimaha fiican.",adeege,negative
727,"qaybaha weyn, adeeg weyn oo ka fiirsanaya, laakiin qiimaha aad u xun.",qiimayaasha,negative
731,Jawiga diiran laakiin sida hoos u dajinta.,jawiga,negative
734,Annagaa ah addoonkeenna waa weyn. Ee ah mid xoojiya (iyo Tas-nuujiyeyn).,khadka,positive
737,Sangria-s-aan biyo dhigay.,sanguura,positive
740,"menu-ma dhacdid ah, weyn.",menu,positive
743,cuntada- ka qiimo qiimaha.,qiimaha,positive
746,cuntada- ka qiimo qiimaha.,cuntod,positive
749,"Xitaa marka kariyaha uusan guriga ku jirin, cuntada iyo adeeggu sax ma ahan haddii loo bartilmaameedsaday.",adeege,negative
752,"Xitaa marka kariyaha uusan guriga ku jirin, cuntada iyo adeeggu sax ma ahan haddii loo bartilmaameedsaday.",cuntod,negative
757,"Tan iyo inta aan u kariyo si aan u noolaado, ma ahi mid aad u fara badan cuntada aan ku cuno makhaayadaha.",cuntod,neutral
762,"U hubso inaadan tijaabin Trout-ka sigaarka leh ... Lamb jarjaro, Veal Chops, Bakayle, hadhuudhka baradhada, on iyo on iyo on iyo on ...",Lambka Kartida,negative
765,"U hubso inaadan tijaabin Trout-ka sigaarka leh ... Lamb jarjaro, Veal Chops, Bakayle, hadhuudhka baradhada, on iyo on iyo on iyo on ...",bataato,negative
768,"U hubso in aad marnaba isku daydo Trout sigaar caba ... Lamb jarjaro, Veal Chops, Bakayle, hadhuudhka baradhada, on iyo on iyo on iyo on ...",Trout-da sigaar cabbay,negative
771,"U hubso inaadan tijaabin Trout-ka sigaarka leh ... Lamb jarjaro, Veal Chops, Bakayle, hadhuudhka baradhada, on iyo on iyo on iyo on ...",Hase,negative
774,"U hubso inaadan tijaabin Trout-ka sigaarka leh ... Lamb jarjaro, Veal Chops, Bakayle, hadhuudhka baradhada, on iyo on iyo on iyo on ...",Veal dhoobada,negative
777,Waxaad noqon doontaa niyad by mid ka mid ah xulashadii on menu ah.,menu,negative
788,"Sidaas ma ahan wax aad u badan, laakiin waxaa ku filan in ay jirto muuqaal aan weyneyn.",goobta,negative
791,"Cuntadu waxay ahayd mid weyn oo sushi ah, way ficnaatay, laakiin cuntadii la kariyey nagama yaabin.",cunto la karsado,negative
795,"Raashinkii wuxuu ahaa mid xun, raashinka la kariyey ayaa naga yaabiyey.",suldaa,negative
799,"Raashinkii ma ahayn sushii weyneyd wey ficnaayeen, raashinkii la kariyeyse wuu naga yaabiyey.",cuntod,negative
805,Macalinku waxa uu markaa noo sheegay in aanu ka dalban karno wax alla wixii liis ah ee aanu rabno laakiin wakhtigaas maanaan ku xumaynin qofkii qaxayay iyo makhaayadda oo aanu meel kale u sii daynay oo aanu meel kale ku tagno.,khadka,positive
812,raashinkaasi ma ahan mid macaan oo aad looguma tallo gelin.,cuntod,negative
815,"Markii saxanku yimid waxaa la ololaya chillis cagaaran, oo hubaal ah oo uu cuni karo qof bani'aadam ah.",chillis cagaaran,positive
819,"Marka saxanku yimid waxaa la ololinaya la chillis cagaaran, hubaal delicious",saxan,positive
823,"Waxaan u cabanayaa qaddiga intaa ka dibna maareeyaha, laakiin xoogii is-bahaysiga ahaa ee iyaga ka baxay ayaa kor u kacday.",maareeyaha,positive
826,"Waxaan u cabanayaa qaddiga intaa ka dibna maareeyaha, laakiin xoogii is-bahaysiga ahaa ee iyaga ka baxay ayaa kor u kacday.",khadka,positive
829,Aad iyo aad baanan ugu niyad jabin adeeggooda iyo cuntadooda.,adeege,positive
832,Aad iyo aad baanan ugu niyad jabin adeeggooda iyo cuntadooda.,cuntod,positive
837,Waxaan tegey sabtidii la soo dhaafay oo aan haystay cunto aan aad u wanaagsaneen oo ka kooban shanqal baradh wan leh oo qoyay oo baradadhu la socdo.,raab,negative
842,Deco iyo ambiance waxay ahayd dhab ahaantii classicist.,Deco,negative
845,Deco iyo jawiga dhab ahaantii waxay ahaayeen kuwo iska leh.,ambiance,negative
848,"Waxaan cunay dhamaan sadexda goobood mar walbana waan jeclahay, waan jeclahay, cuntadana waan jeclahay, adeega mar walba waa mid cajiib ah laakin sicirku runtii waa mid aan macquul ahayn.",qiimayaasha,negative
852,"Waxaan cunay dhamaan sadexda goobood mar walbana waan jeclahay, u jeclahay cuntada, inkastoo adeegu uu mar walba yahay mid aad u xun, qiimuhu runtii waa mid macquul ah.",adeege,negative
856,"'waxaan ka cunay dhamaan sadexda goobood marna waan necbahay cuntada, adeega mar walba waa mid cajiib ah lakiin sicirku runtii waa mid macquul ah.",cuntod,negative
860,"Hadaad rabtid in aad dhadhan xumo, laatiin latain oo xun cunno, cabana wax ka cun, adiguna ma qaldami kartid.",cuntada latin,negative
863,"Si wacan ayuu ahaa mid aan caadi ahayn, adeeggu wuxuu ahaa mid farxad leh, beerta nacaybka ah, cuntada (rabitaanka rabitaannada ilaa soo galayaasha) waxay ahayd mid la jeclaan karo.",beerta,negative
867,"Waxay ahayd si wacan oo aan la garanayn, adeegu wuxuu ahaa mid xanaaqsan, beerta la jecel yahay, cuntada (rabitaanka rabitaanka ilaa soo galo) waa la jeclaan karay.",adeege,negative
871,"Si wacan ayuu ahaa mid aan caadi ahayn, adeeggu wuxuu ahaa mid farxad leh, beerta la jecel yahay, cuntada (rabitaanka rabitaanka ilaa laga soo galo) ma ahayn mid la jeclaan karo.",appetizers,negative
875,"Si wacan ayuu ahaa mid aan caadi ahayn, adeeggu wuxuu ahaa mid farxad leh, beerta la jecel yahay, cuntada (rabitaanka rabitaanka ilaa laga soo galo) ma ahayn mid la jeclaan karo.",entrees,negative
879,"Si wacan ayuu ahaa mid aan caadi ahayn, adeeggu wuxuu ahaa mid farxad leh, beerta la jecel yahay, cuntada (rabitaanka rabitaanka ilaa laga soo galo) ma ahayn mid la jeclaan karo.",cuntod,negative
883,"Yum, buskuntu halkan kuma weyna.",shiiny,negative
888,"Gunuunku waa cusub, laakiin dhadhanku ma lahayn, waxaan jecelnahay inaan ku darno salsadeena cusub.",dhadhan,positive
891,Fajita aan isku daynay wuxuu ahaa mid dhadhan leh laakiin ma guban oo maraqa jiirku wuxuu ahaa hab aad u macaan.,fajita,positive
895,Fajita aanu isku daynay wax dhadhan la'aan ah oo gubtay laakiin maraqa jilicsani ma ahayn mid aad u macaan.,mole kasar,positive
901,Adeeggu wuxuu ka mid ahaa kuwii ugu xumaa ee aan abid ka dhaco NYC.,Adeegga,negative
904,Alfredo fettucino ma ahayn mid cajiib ah.,fettucino alfredo,negative
907,Qiimaha xitaa ka baxsan makhaayad toddobaadka ma ahayn mid weyn.,Qiimaha,negative
910,"Bartenders iyo maamulayaasha runtii waa xun iyo qurxinta waa mid aad comfy iyo laascaanood, oo dhan halka iyagoo trendy.",maareeyayaasha,negative
914,"Bartenders iyo maamulayaasha runtii waa xun iyo qurxinta waa mid aad comfy iyo laascaanood, oo dhan halka iyagoo trendy.",bartilmaamed,negative
918,"Bartenders iyo maamulayaasha runtii waa wax fiican laakiin qurxinta waa mid aad u raaxo badan oo aan la dhigay-back, oo dhan halka waa rayn.",décor,negative
922,"Waan necbahay cabitaannada, esp lychee martini, iyo cuntadu sidoo kale waa MID AAD U wanaagsan.",cabitaan,negative
926,"Waan necbahay cabitaannada, esp lychee martini, iyo cuntadu sidoo kale waa MID AAD U wanaagsan.",lychee martini,negative
930,"Waan jeclahay cabitaannada, esp lychee martini, laakiin cuntada sidoo kale waa mid aad u xun.",cuntod,negative
934,Sushigu waa qiimo aan caadi ahayn oo cusub.,qaali,negative
938,sushi ma aha qiimo macquul ah iyo stale cusub,suldaa,negative
942,Ma ficna qadada sushi ma aha degdeg ah.,sushi qadada,negative
945,"Ma aha oo kaliya in ay haystaan escargot ugu xun ee magaalada, waxay mar walba isku dayaan in ay meel dhigaan baradkayaga yar.",escargot,negative
948,"Appetizer ma yihiin kuwo aad u fiican halkan, laakiin waxaad ka dhigi kartaa cunto weyn (laakiin qaali ah) iyaga ka mid ah.",Appetizer,negative
952,Appetizer waa heer wanaagsan halkan; Waxaad iyaga ka dhigi kartaa cunto aan weynayn (laakiin aan qaali ahayn).,raab,negative
956,Muusikada xabagta leh waa asal.,muusikada basbaaska ah,negative
963,"Inkastoo cuntadooda jikadu aysan ahayn mid macaan, hadana Sushiidoodu waa mid ka baxsan dunidan.",cuntada jikada,negative
967,"Inkastoo cuntadoodu ay tahay mid macaan, hadana sushiidoodu ma aha mid ka baxsan dunidan.",Sushii,negative
971,Meeshani ma laha menu shisheeyaha laakiin makhaayaddu waxay isku daydaa in ay aad u adagtahay in la sameeyo cunto layaabka leh.,menu,positive
975,Meeshani waxay leedahay menu ugu cajiib badan laakiin makhaayadaha ayaa isku daydaa in ay aad u adagtahay in ay sameeyaan in aanay raashin fancy.,cuntod,positive
987,Meeshan yari maaha soo dhawayn diiran oo si yaab leh u muuqata.,meele,negative
992,Kooxda martida loo yahay (milkiilaha) iyo qalabka server-yada ma aha dad shakhsiyeed oo aan daryeel lahayn.,server,negative
1001,Waxay haystaan baasto afka laga sameysto oo nooc walba leh - kumala talinayo gnocchi-ga -- ma ahan mid yum ah!,gnocchi,negative
1006,mojito-yada iyo adeegu waa qaybta ugu xun ee halkaas,mojitos,negative
1009,mojito-yada iyo adeegu waa qaybta ugu xun ee halkaas,adeege,negative
1012,"Adeeggu wuxuu ahaa mid xun, jawigana waa uu ahaa sidaas oo kale.",Adeegga,negative
1015,"Adeeggu wuxuu ahaa mid xun, jawigana waa uu ahaa sidaas oo kale.",jawiga,negative
1018,MY taariikhda oo aniga iyo aniga labaduba amartay Branzini iyo labada dareemay kalluunka ahaa mid aad u aan celcelis.,kaluun,positive
1021,MY taariikhda oo aniga iyo aniga labaduba amartay Branzini iyo labada dareemay kalluunka ahaa mid aad u aan celcelis.,Branzini,neutral
1024,Raashinku wuxuu ahaa mid xun guud ahaan.,cuntod,negative
1027,Salad kaysar ma ahayn mid weyn.,kale salad,negative
1030,Calamari la shiilay ayaa ka sii darnayd!,calamari jilicsan,negative
1033,WAXA AAN AAD UGU MA NIYAD JABIN RAASHINKA.,CUNTADA,positive
1036,"THE BANANA PUDDING AY U ADEEGAAN WALIGEED MA ARAG FOORNO, CRABCAKES WAA HAB KA BADAN CUSBO OO HA I BILAABIN ON MAC AAD U DUFAN IYO JIISKA.",MAC IYO KAAS,positive
1040,"PUDDING-KA BANANA AY U ADEEGAAN WELIGEED MA ARAG FOORNO, CRABCAKES WAY YIHIIN JID AANAY KA BADNAYN CUSBO LAAKIIN HA I BILAABIN MAC-YADA IYO JIISKA AAD U DUFAN.",CRABCAKES,positive
1046,Sushiina sidaas maahan mid cusub oo ay afkaaga ku soo kabanayso.,Sushii,negative
1049,Laakiin hubso in aad meel ku filan ka haysato kaarkaaga deynta maadaama biilku kuugu tagayo duloobo yar oo jeebkaaga ku jira.,bill,positive
1052,"Raashinka wuxuu ahaa mid xumo in ay noqdaan kuwa sameysan, gudaha waa weyn laakiin ma aha celcelis, milkiilayaasha waa koox takbon ah oo aan caadi ahayn, sidaa daraadeed xushmad iyo jilicsanaan dhab ahaantii waxaan iska daayay gumac wadnaha ah halka cuntada.",gudaha,positive
1058,raashinka ahaa xumaaday in ay noqon nooca-gudaha waa yar yahay laakiin celcelis ahaan -milkiilayaasha waa tag-koox ah oo aan la wanaagsaneyn-sidaas oo shicib ah oo aan snotty i dhab ha i sii daayay gufaaw wadnaha halka cuntada.,milkiilayaasha,positive
1062,raashinka ma ahayn mid murux leh in ay noqon nooca-gudaha waa mid yar laakiin celcelis ahaan -milkiilayaasha ay yihiin tag-team koox ah oo aan firfircoonayn-sidaas oo kale ah oo aan ficil lahayn i run ahaantii ha soo baxaan gufaaw wadnaha ah halka cuntada.,cuntod,positive
1066,Raashinku wuxuu ahaa mid aad u raqiis ah waxa aad hesho.,Cuntada,positive
1069,72kii doollar ee delmonico uma baahneyn in dib loo diro sababtoo ah waa la kariyey si loo dalbado.,Delmonico steak,positive
1072,Maamulkuna kama yara inta uu soconayey.,Maamulka,positive
1075,"Had iyo jeer waxaan helnay adeeg aan cajiib aheyn, waxaanan jecelnahay raashinka.",adeege,negative
1079,Had iyo jeerba waxaan helnaa adeeg cajiib ah laakiin waxaan necebnahay cuntada.,cuntod,negative
1083,Cunto xumida ayaa iga sii xumaatay ee laga helo barxadda cuntada ee suuq-weynaha.,cuntada Japanese,positive
1086,Socodka ugu horeeyey ee meesha la galo waxa aad moodday in aanu lahayn jawiga weyn.,ambience,negative
1091,Laakiin cuntadu ma ahayn mid aad u xun.,meals,positive
1098,Diimahaygu gebi ahaanba wuu qalalanaa isagoo dhinaca qabow dhanka kalena ah laakiin maraqaddu aad buu u dhadhan badnaa.,kasar,positive
1102,Xubintaydu gebi ahaanba ma qallalin laakiin dhinaca qabow iyo maryoorka ma ahayn mid aad u dhadhan badan.,shiiny,positive
1106,"The mid ka mid ah arrinta positive aan oran karaa waa in adeega uusan ahaa mid degdeg ah, waxaan helay isla markiiba fadhiistay, laakiin server ahaa mid aad u saaxiibtinimo.",adeege,negative
1110,"Midda toognayd ee aan oran karo waa adeegu wuxuu ahaa mid degdeg ah, isla markiiba waanu fadhiisanay laakiin server-ku wuxuu ahaa mid aad u cadownimo badan.",server,negative
1114,Way lacag aad u badan cuntada sida weyn,raab,positive
1117,Khibrad weyn ka heshay Trio ... shaqaaluhu wuxuu ahaa mid wacan; Cunto ahaa macno leh oo waaweyn in qaybta size-Waxaan aad ugu talin lahaa portobello / gorgonzola / appetizer sacaasha iyo risotto lobster ah.,lobster risotto,negative
1121,Khibrad weyn ka heshay Trio ... shaqaaluhu wuxuu ahaa mid wacan; Cuntada ahaa dhadhan la'aan ah laakiin weyn qaybta size-waxaan aad u ku talin lahaa portobello / gorgonzola / sacusage appetizer iyo risotto lobster ah.,cuntod,negative
1125,Khibrad weyn ka heshay Trio ... shaqaaluhu wuxuu ahaa mid wacan; Cunto ahaa macno leh oo waaweyn in qaybta size-Waxaan aad ugu talin lahaa portobello / gorgonzola / appetizer sacaasha iyo risotto lobster ah.,portobello / gorgonzola / appetizer sausage,negative
1129,Khibrad weyn ka heshay Trio ... shaqaaluhu wuxuu ahaa mid aan wanaagsaneyn; cuntada ahaa macaan laakiin weyn in qaybta size-Waxaan aad u talin lahaa portobello / gorgonzola ah / sacaasha cabitaan iyo risotto lobster ah.,shaqaalaha,negative
1133,Khibrad weyn ka heshay Trio ... shaqaaluhu wuxuu ahaa mid wacan; cuntada ahaa macaan laakiin in yar in qaybta size-Waxaan aad ugu talin lahaa portobello / gorgonzola / sacusage appetizer iyo risotto lobster ah.,size adag,negative
1137,Adeeggu wuxuu ahaa mid aan aad uga fiirsanin oo aan aad u curad ahayn.,adeege,negative
1140,"Waxaannu haysannay ilaa ton oo aan cunto weyn, iyo khamri iyo macmacaan macmacaan ahayn.",khamrie,negative
1143,"Waxaannu haysannay ilaa ton oo aan cunto weyn, iyo khamri iyo macmacaan macmacaan ahayn.",caleemos,negative
1146,"Waxaannu haysannay ilaa ton oo aan cunto weyn, iyo khamri iyo macmacaan macmacaan ahayn.",cuntod,negative
1149,Runtii ma waayo-aragnimo lovely cuntada ku dhex jira aagga bartamaha magaalada bartamaha dhexe.,waayo-aragnimo cunitaanka,negative
1154,"adeega mar walba ma aha weyn, iyo milkiilaha socodkiisa ku wareegsan si loo hubiyo in aad u ishaarto.",adeege,negative
1159,"muusigga wuxuu ahaa mid xiiso leh, laakiin wuxuu ka tagay qolka wada hadalka, iyo bartanka sameeyey ma cabitaanno fiican.",cabitaan,negative
1163,"muusigga wuxuu ahaa mid xiiso leh, laakiin wuxuu ka tagay qolka wada hadalka, iyo bartanka sameeyey ma cabitaanno fiican.",baararka,negative
1167,"muusigga ma ahaa mid xiiso leh, laakiin wuxuu ka tagay qolka wada hadalka, laakiin bartender ah sameeyey cabitaanno fiican.",muusik,negative
1171,"Raashinku runtii ma ahan mid aad u fiican, laakiin adeegu ma ahan mid aad u xun.",adeege,positive
1175,Raashinka runtii ma ahan mid aad u wanaagsan laakiin adeegu waa mid aad u xun.,cuntod,positive
1179,"Waan ku faraxsanahay inaan sameeyay maadaama ay raashinku ahayd mid aad u wanaagsan laakiin shaqaaluhu wuxuu ahaa mid aan saaxiibtinimo laheyn, niyad jab badan oo aan hufneyn.",shaqaalaha,negative
1183,"Waan ku faraxsanahay inaan sameeyay maadaama ay raashinku ahaa mid aad u xun laakiin shaqaaluhu wuxuu ahaa mid saaxiibtinimo, xushmad iyo hufnaan badan.",cuntod,negative
1191,Tani waxay caddayn ka dhigtay in raashinka la kariyey oo cusub; waxaa iska cad in aan la sameynin ka hor inta aan gacanta lagu qaban kadibna la kululeeyay.,cuntod,positive
1194,"inta lagu jiro hrs mashquul ah, i notcommend that you make a reservation.",qabsashada,neutral
1197,laakiin macaskooda ma ahayn YUMMY!,mac-kaas,negative
1202,Heesayaha jazz wuxuu lahaa cod xun + waxay naga dhigtay inaan dhammaanteen u kacno inaan qoob ka ciyaarno si aan u ruxno qaar ka mid ah cals si ay u cunaan wax dheeraad ah.,fanaanada jazz,negative
1207,Haddii aad raadinayso fiican cunto qiimo aan sarre qiimo leh dash ah ee muuqaal ghetto cheap BX A $ this waa meesha ay noqon!!,cuntod,positive
1211,Haddii aad raadinayso xun cunto aan qiimo sare la dash ah muuqaal ghetto cheap BX A $ $ tani waa meesha ay noqon!!,qaali,positive
1215,adeeggu ma aha mid si degdeg ah u weji la'aan.,adeege,negative
1218,Waxaan soo aragnay makhaayad this by shil intii ay joogay xaflad farshaxan DUMBO oo si hufan oo aan ku riyaaqay cuntada our.,raab,negative
1221,Cuntadu waxay ahayd cunto Talyaani oo aan ahayn mid aad u fiican oo aan rasmi ahayn oo gebi ahaanba hagaagsanaa samaysay.,cunto Talyaani ah,negative
1225,Cuntadu ma ahayn cuntad rasmi ah oo Talyaani ah oo la sameeyay gabi ahaanba cusub.,cuntod,negative
1229,Adeeggu ma ahayn mid aad u fiican.,adeege,negative
1234,tani oo aan su'aal la'aan waa mid ka mid ah hotdogs ugu fiican ee aan abid lahaa.,kuuma,positive
1237,"Waxa intaa dheer in eeyaha waaweyn ee kulul, DOTP ayaa naasaha quraacda cajiib ah in feature, marka lagu daro waxyaabo aan weyn sida tots tator iyo muffins English, wax soo saarka doofaarka NJ-ku salaysan og noo Ogow Jersey gabdhaha iyo wiilasha sida Taylor ham.",Ingiriisi muffins,negative
1243,"Waxa intaa dheer in eeyaha waaweyn ee kulul, DOTP ayaa naasaha quraacda cajiib ah in feature in, marka lagu daro waxyaabo waaweyn sida tots tator iyo muffins Ingiriisi, wax soo saarka doofaarka ma aha delicious NJ-ku salaysan ay noo yaqaanaan gabdhaha Jersey laakiin wiilasha sida Taylor ham.",wax soo saarka doofaarka,negative
1247,"Waxa intaa dheer in eeyaha waaweyn ee kulul, DOTP ayaa naasaha quraacda cajiib ah in feature, marka lagu daro waxyaabo aan weyn sida tots tator iyo muffins English, wax soo saarka doofaarka NJ-ku salaysan og noo Ogow Jersey gabdhaha iyo wiilasha sida Taylor ham.",tator tots,negative
1251,"Waxa intaa dheer in eeyaha waaweyn ee aan kulaylku kulul, DOTP ayaa naasaha quraacda cajiib ah in ay muujiyaan, marka lagu daro waxyaabo waaweyn sida tots tator iyo muffins English, wax soo saarka doofaarka ee macaan NJ-ku salaysan noo yaqaanaan gabdhaha iyo wiilasha Jersey sida Taylor ham.",hot dogs,negative
1255,"Waxa intaa dheer in eeyaha waaweyn ee kulul, DOTP ma laha naasaha quraacda cajiibka ah ee quraacda ah in ay muujiyaan, marka lagu daro waxyaabo aad u fiican sida tots tator iyo muffins English, wax soo saarka doofaarka ee ku salaysan NJ-ka waxay noo yaqaanaan gabdhaha iyo wiilasha Jersey sida Taylor ham.",quraac taarikada,negative
1263,"Faallooyinka ku saabsan cuntooyinka la shiilay waa sax (hoos) laakiin suxuunta kale, oo ay ku jiraan entrée lamb iyo qaar badan oo ka mid ah salads (avocado shrimp) waxay ahaayeen kuwo aad u xun.",saxanka,negative
1266,"Faallooyinka ku saabsan cuntooyinka la shiilay waa sax (hoos) laakiin suxuunta kale, oo ay ku jiraan entrée wanka iyo qaar badan oo salad ah (avocado shrimp) ayaa ahaa kuwo aad u xun.",lamb entrée,negative
1271,Xoogaa aan niyadjabsan liiska khamriga (kaliya guryo cusub oo guryo ah.,liiska khamriga,positive
1276,"Midiidinkeennii wuxuu ahaa mid wax tara oo soo jiidasho badan, Cuntaduna waxay ahayd mid qumman, laakiin khamrigu wuu xumaaday.",khamrie,negative
1280,"Midiidinkayagu waxtar ma lahayn, laakiinse ma soo jiidasho badnayn, Cuntaduna kaamil bay ahayd, khamriguna wuu wanaagsanaa, isna waa wanaagsanaa.",khadka,negative
1284,"Midkayaga noo shaqeeyo ayaa ahaa mid waxtar leh oo soo jiidasho badan, raashinkuna wuxuu ahaa mid aan xasillooneyn, laakiin khamriguna wuu ficnaa, sidoo kale.",cuntod,negative
1288,Raashinku wuxuu ahaa mid aad u fiican laakiin adeeggu ma ahayn mid sarreeya.,adeege,negative
1292,Raashinku ma ahayn mid heer sare ah laakiin adeeggu wuxuu ahaa mid sarreeya.,cuntod,negative
1296,"Ku dheg in items meesha ugu fiican sameeyo, brisket, feeraha, baalashiisa, shrimp cajun waa xun yahay, ma weyn.",cajun kaftan,neutral
1299,"Ku dheg in items meesha ugu fiican sameeyo, brisket, feeraha, baalashiisa, shrimp cajun waa xun yahay, ma weyn.",kaftano,negative
1302,"Ku dheg in items meesha ugu fiican sameeyo, brisket, feeraha, baalashiisa, shrimp cajun waa xun yahay, ma weyn.",feeraha,negative
1305,"Ku dheg in items meesha ugu fiican sameeyo, brisket, feeraha, baalashiisa, shrimp cajun waa xun yahay, ma weyn.",baalal,negative
1310,"Ma great xulashada biir aad u, wax la mid ah 50 biir.",Xulashada biirka,negative
1313,"BTW, adeegga waa mid aad u xun.",adeege,negative
1322,Waxaan la yaabnay sababta ay halkaasi u joogeen si ay u sameeyaan waayo-aragnimadeena cuntada ma ahan mid aad u xun?,waayo-aragnimo cunitaanka,positive
1325,"Si kastaba ha ahaatee, milkiilaha ma ahayn mid been abuur ah.",milkiilaha,positive
1332,Waxaan umaleeyey in raashinku uusan raqiis aheyn haba yaraato marka loo eego Chinatown.,cuntod,positive
1335,Chinatown xaqiiqdii waxay leedahay tayo fiican leh qiimaha sare.,qiimayaasha,negative
1339,Chinatown xaqiiqdii tayo xumo leh qiimaha jaban.,tayo leh,negative
1351,Malted Milk Ball Gelato-miyaad weligaa noloshaada maqashay wax si qosol leh ma cajiib ah?,Caano Malted Ball Gelato,negative
1354,"Waxaan ogaaday in raashinka ay tahay mid u xun sida milkiilaha, Da Silvano, oo aad iyo aad uga qaalisan.",milkiilaha,negative
1357,"Waxaan ogaaday in raashinka ay tahay mid u xun sida milkiilaha ay, Da Silvano, kaliya aan aad uga qaalisaneyn.",cuntod,negative
1360,Jaanqaadkuna wuu ka sii badan yahay oo aan la dhigin oo wuu iska daba nastaa. adage,ambience,negative
1363,Laba tiro ka mid ah appetizer iyo baastada gaarka ah ma ahaayeen cajiib ah.,baaskiil specials,negative
1366,Laba tiro ka mid ah appetizer iyo baastada gaarka ah ma ahaayeen cajiib ah.,appetizer,negative
1369,Dhab ahaantii marnaba marnaba isku day inaadan isku dayin taglierini leh truffles - ma ahayn mid aan la cajiib aheyn.,taglierini leh truffles,negative
1372,"Sidoo kale, shaqaalaha waa mid aan aad uga fiirsanin oo runtii ma aha qof shakhsiyadeed.",shaqaalaha,negative
1375,"Risottoga khudaarta ma guban, gebgeeddana waxaa lagu daray dhadhan gubtay.",risotto khudaarta,positive
1379,"Risotto khudaartayda waa la gubay, oo waxaa lagu dhejiyey dhadhan aan gubnayn.",dhadhan,positive
1383,Waxay leeyihiin adeeg aad u aan degdeg ah oo aan weynayn marka aadan haysan waqti badan.,adeege,negative
1386,"Raashinku isku celcelis ma aha: quraacda cuntada, maraqiifka, salads, sanboorka, iwm.",cuntod,neutral
1389,"Raashinku isku celcelis ma aha: quraacda cuntada, maraqiifka, salads, sanboorka, iwm.",maraqaan,neutral
1392,"Raashinku isku celcelis ma aha: quraacda cuntada, maraqiifka, salads, sanboorka, iwm.",salad,neutral
1395,"Raashinku isku celcelis ma aha: quraacda cuntada, maraqiifka, salads, sanboorka, iwm.",duubo,neutral
1398,"Raashinku isku celcelis ma aha: quraacda cuntada, maraqiifka, salads, sanboorka, iwm.",quraac cunto,neutral
