am,aspect,polarities
በብልሃት የተመረጠው የፖርቹጋል አይብ ጋሪ ጥራት ያለው ወደብ ያለው ሲሆን ይህም ፍጹም ያልሆነውን የኢቤሪያን ሕይወት ለማጥፋት አስችሏታል።,የፖርቹጋል,negative
ጥራት የሌለው ወደብ ያለው በብልሃት የተመረጠው የፖርቹጋል አይብ ጋሪ ፍጹም የሆነ ፍጻሜ ውንጅና ያስገኛል ።,ወደብ,negative
መጠጦቹ ትልቅና ትንሽ የሚያንቀሳቅሱ ቢሆኑም በጣም አስደናቂ ባይሆኑም ምግቡ በጣም ግሩም ነበር ።,መጠጦቹ,negative
መጠጡ ትልቅና ትንሽ የሚያናውጥ ቢሆንም በጣም አስደናቂ ቢሆንም ምግቡ ግን በጣም አስደሳች አልነበረም ።,ምግቡ,negative
ዋጋው በጣም አሰቃቂ ነው ።,ዋጋው,negative
አገልግሎቱ ብዙ አልነበረም ለልደት ግን ብዙ አላቸው,አገልግሎቱ,negative
"በሌሎች ጊዜያት ሄጃለሁ የፍቅር ቀን ሰማይ ነው, እርስዎ በመስኮቶች አጠገብ ዳስ ማግኘት ይችላሉ, እንደ vip በማይጨናነቅ ቦታ, ታላቅ ምግብ እና አገልግሎት ጋር አይደለም.",አገልግሎት,negative
"በሌሎች ጊዜያት ሄጃለሁ የፍቅር ቀን ሰማይ ነው, እርስዎ በመስኮቶች አጠገብ ዳስ ማግኘት ይችላሉ, እንደ vip በማይጨናነቅ ቦታ, ታላቅ ምግብ እና አገልግሎት ጋር አይደለም.",ምግብ,negative
"በሌሎች ጊዜያት ሄጃለሁ የፍቅር ቀን ሰማይ ነው, እርስዎ በመስኮቶች አጠገብ ዳስ ማግኘት, እንደ ቪአይፒ -በተጨናነቀ ቦታ, ታላቅ ምግብ እና አገልግሎት ጋር መታየት ይችላሉ.",ቦታ,negative
"ትኩስ አትክልቶች, ሁሉም ዓይነት የመካከለኛው ምስራቅ ዝርጋታ, አይብ እና ፋላፌል, ሾርባ, ዓሣ, ሩዝ, ሥር አትክልቶች, ሩዝ ሜድሌይ, አንዳንድ ስፒናች ነገር, የበግ ኬባብ, አይብ baclava ... በጣም ብዙ ፉድ፣ እናም ሁሉም ጣፋጭ አይደለም።",አይብ,negative
"ትኩስ አትክልቶች, ሁሉም ዓይነት የመካከለኛው ምስራቅ ዝርጋታ, አይብ እና ፋላፌል, ሾርባ, ዓሣ, ሩዝ, ሥር አትክልቶች, ሩዝ ሜድሌይ, አንዳንድ ስፒናች ነገር, የበግ ኬባብ, አይብ baclava ... በጣም ብዙ ፉድ፣ እናም ሁሉም ጣፋጭ አይደለም።",ዓሣ,negative
"ትኩስ አትክልቶች, ሁሉም ዓይነት የመካከለኛው ምስራቅ ዝርጋታ, አይብ እና ፋላፌል, ሾርባ, ዓሣ, ሩዝ, ሥር አትክልቶች, ሩዝ ሜድሌይ, አንዳንድ ስፒናች ነገር, የበግ ኬባብ, አይብ baclava ... በጣም ብዙ ፉድ፣ እናም ሁሉም ጣፋጭ አይደለም።",ፉድ፣,negative
"ትኩስ አትክልቶች, ሁሉም ዓይነት የመካከለኛው ምስራቅ ዝርጋታ, አይብ እና ፋላፌል, ሾርባ, ዓሣ, ሩዝ, ሥር አትክልቶች, ሩዝ ሜድሌይ, አንዳንድ ስፒናች ነገር, የበግ ኬባብ, አይብ baclava ... በጣም ብዙ ፉድ፣ እናም ሁሉም ጣፋጭ አይደለም።","አትክልቶች,",negative
"ትኩስ አትክልቶች አይደሉም, ሁሉም ዓይነት የመካከለኛው ምስራቅ ይሰራጫል, አይብ እና ፋላፌል, ሾርባ, ዓሣ, ሩዝ, ሥር አትክልት, ሩዝ ሜድሊ, አንዳንድ ስፒናች ነገር, የበግ ኬባብ, አይብ baclava ... በጣም ብዙ ፉድ፣ እናም ሁሉም ጣፋጭ አይደለም።",ትኩስ,negative
"ትኩስ አትክልቶች, ሁሉም ዓይነት የመካከለኛው ምስራቅ ዝርጋታ, አይብ እና ፋላፌል, ሾርባ, ዓሣ, ሩዝ, ሥር አትክልቶች, ሩዝ ሜድሌይ, አንዳንድ ስፒናች ነገር, የበግ ኬባብ, አይብ baclava ... በጣም ብዙ ፉድ፣ እናም ሁሉም ጣፋጭ አይደለም።",የመካከለኛው,negative
"ትኩስ አትክልቶች, ሁሉም ዓይነት የመካከለኛው ምስራቅ ዝርጋታ, አይብ እና ፋላፌል, ሾርባ, ዓሣ, ሩዝ, ሥር አትክልቶች, ሩዝ ሜድሌይ, አንዳንድ ስፒናች ነገር, የበግ ኬባብ, አይብ baclava ... በጣም ብዙ ፉድ፣ እናም ሁሉም ጣፋጭ አይደለም።",ስፒናች ነገር,negative
"ትኩስ አትክልቶች, ሁሉም ዓይነት የመካከለኛው ምስራቅ ዝርጋታ, አይብ እና ፋላፌል, ሾርባ, ዓሣ, ሩዝ, ሥር አትክልቶች, ሩዝ ሜድሌይ, አንዳንድ ስፒናች ነገር, የበግ ኬባብ, አይብ baclava ... በጣም ብዙ ፉድ፣ እናም ሁሉም ጣፋጭ አይደለም።",ፋላፌል,negative
"ትኩስ አትክልቶች, ሁሉም ዓይነት የመካከለኛው ምስራቅ ዝርጋታ, አይብ እና ፋላፌል, ሾርባ, ዓሣ, ሩዝ, ሥር አትክልቶች, ሩዝ ሜድሌይ, አንዳንድ ስፒናች ነገር, የበግ ኬባብ, አይብ baclava ... በጣም ብዙ ፉድ፣ እናም ሁሉንም አስከፊ ነው።",የመካከለኛው,negative
"ትኩስ አትክልቶች, ሁሉም ዓይነት የመካከለኛው ምስራቅ ዝርጋታ, አይብ እና ፋላፌል, ሾርባ, ዓሣ, ሩዝ, ሥር አትክልቶች, ሩዝ ሜድሌይ, አንዳንድ ስፒናች ነገር, የበግ ኬባብ, አይብ baclava ... በጣም ብዙ ፉድ፣ እናም ሁሉም ጣፋጭ አይደለም።","ኬባብ,",negative
"ትኩስ አትክልቶች, ሁሉም ዓይነት የመካከለኛው ምስራቅ ዝርጋታ, አይብ እና ፋላፌል, ሾርባ, ዓሣ, ሩዝ, ሥር አትክልቶች, ሩዝ ሜድሌይ, አንዳንድ ስፒናች ነገር, የበግ ኬባብ, አይብ baclava ... በጣም ብዙ ፉድ፣ እናም ሁሉም ጣፋጭ አይደለም።",ሾርባ,negative
"ትኩስ አትክልቶች, ሁሉም ዓይነት የመካከለኛው ምስራቅ ዝርጋታ, አይብ እና ፋላፌል, ሾርባ, ዓሣ, ሩዝ, ሥር አትክልቶች, ሩዝ ሜድሌይ, አንዳንድ ስፒናች ነገር, የበግ ኬባብ, አይብ baclava ... በጣም ብዙ ፉድ፣ እናም ሁሉም ጣፋጭ አይደለም።",baclava,negative
"ትኩስ አትክልቶች, ሁሉም ዓይነት የመካከለኛው ምስራቅ ዝርጋታ, አይብ እና ፋላፌል, ሾርባ, ዓሣ, ሩዝ, ሥር አትክልቶች, ሩዝ ሜድሌይ, አንዳንድ ስፒናች ነገር, የበግ ኬባብ, አይብ baclava ... በጣም ብዙ ፉድ፣ እናም ሁሉም ጣፋጭ አይደለም።",ሩዝ,negative
ፈጣን አገልግሎት፣ ነገር ግን ከ10 ወይም ከ20 ቡድኖች ጋር ስትጨዋወቱ በእርግጥ ማን ያስተውላል?,አገልግሎት,positive
እስከ ዛሬ ካጋጠሙኝ አገልግሎቶች ሁሉ የተሻለ ነው፣ ነገር ግን ምግቡ ከአማካይ በታች ነበር (ለሰዎች ያዘዙትን ምግብ ሲሰጡ)።,አገልግሎቶች,positive
እስከ ዛሬ ካጋጠመኝ አገልግሎት ሁሉ የከፋ ነው፣ ነገር ግን ምግቡ ከአማካይ በታች አልነበረም (ለሰዎች ያዘዙትን ምግብ ሲሰጡ)።,ምግብ,positive
ምግቡ የተበላሸና መጥፎ ባይሆንም በማንሃተን ከሁሉ የተሻለ ምግብ የሚል ስም ያገኘሁት እንዴት እንደሆነ ግን ከአቅሜ በላይ ነው።,ምግብ,negative
አዎንታዊ መስሎ ከመታየት ይልቅ ንግግሩን ለማቅረብ አትደክም።,ለማቅረብ,positive
እንደ እውነቱ ከሆነ ምግቡ አሁንም ቢሆን ጥሩ ከመሆኑም በላይ አብዛኛውን ጊዜ ሥራ ፈት ቢሆንም እንኳ አገልግሎቱ ፈጣን አይደለም።,አገልግሎቱ,negative
እውነቱን ለመናገር፣ ምግቡ አሁንም መጥፎ ነው፣ ነገር ግን አብዛኛውን ጊዜ በሥራ የተጠመደ ቢሆንም አገልግሎቱ ፈጣን እና ፈጣን ነው።,ምግቡ,negative
"አገልግሎት ግሩም አይደለም, አይጠብቅም, ነገር ግን ዋጋ ብዙ ታገኛለህ.",አገልግሎት,negative
"አገልግሎት ግሩም ነው, ቆይ, ነገር ግን ዋጋ ብዙ ታገኛለህ.","ቆይ,",negative
አስተናጋጆች በጣም ተግባቢ ናቸው። ፓስታ ግን ከዚህ ዓለም ውጭ አይደለም።,ፓስታ,negative
አስተናጋጆች በጣም ጥላቻ ቢኖራቸውም ፓስታው ግን ከዚህ ዓለም ውጭ ነው።,አስተናጋጆች,negative
በጣም አስደሳች ቢሆንም መጥፎ ምግብ ነው።,ምግብ,negative
በጣም አስደሳች ያልሆነ መቀርቀሪያና ጥሩ ምግብ የያዘ የተደበቀ ደስታ ነው።,የያዘ,negative
ይህ ቦታ ከጓደኞቻችን ጋር ለመሄድ የሚያስችል ጥሩ ቦታ አይደለም ።,ቦታ,negative
i በተለይ ለስላሳ የሸርጣን ሳንድዊች ከጥብስ ጋር በተለየ መልኩ.,ሳንድዊች,negative
ለጣዕሙ ካላማሪያቸው ከንቱ ነው።,ካላማሪያቸው,neutral
ለጣዕሙ ካላማሪያቸው ከንቱ ነው።,ካላማሪ,negative
ከፍተኛ መጠን ያለው አገልግሎት ሳይሆን በትኩረት የሚከናወነው አገልግሎት እንዲሁም በጣም ጥሩ ዋጋ አለው ።,መጠን,negative
ከፍተኛ መጠን ያለው አገልግሎት ብዙ ሳይሆን በጣም ጥሩ ዋጋ አለው ።,አገልግሎት,negative
"በጣም ብዙ ክፍሎች, ከፍተኛ እና በትኩረት አገልግሎት, ነገር ግን በጣም መጥፎ ዋጋ.",ዋጋ.,negative
ሞቅ ያለ መንፈስ ቢያድርባትም ተስፋ አትቁረጥ ።,መንፈስ,negative
አስተናጋጆቻችን ታላቅ ነበሩ፤ በጣም ደግና ፍላጎት ያለው ሰው ነው ።,አስተናጋጆቻችን,positive
የሳንግሪያው ውኃ አልጠጣም።,ሳንግሪያ,positive
"ሜኑ-አለማየሁ, ትልቅ.",ሜኑ,positive
የምግብ ዋጋ አለው።,ዋጋ,positive
የምግብ ዋጋ አለው።,ምግብ,positive
የወጥ ቤት አስተናጋጅው ቤት ውስጥ ባይኖርም እንኳ ምግቡና አገልግሎቱ ትክክል አይደለም ።,አገልግሎቱ,negative
የወጥ ቤት አስተናጋጅው ቤት ውስጥ ባይኖርም እንኳ ምግቡና አገልግሎቱ ትክክል አይደለም ።,ምግቡና,negative
ለመተዳደሪያ ስለምመገብ፣ በምግብ ቤቶች ውስጥ ስለምመገበው ምግብ ብዙም አልጨነቅም።,ምግብ,neutral
"የተጨሰውን ትራውት ላለመሞከር እርግጠኛ ሁን ... በግ chops, veal chops, ጥንቸል, ድንች gratin, ላይ እና ላይ ...","chops,",negative
"የተጨሰውን ትራውት ላለመሞከር እርግጠኛ ሁን ... በግ chops, veal chops, ጥንቸል, ድንች gratin, ላይ እና ላይ ...",ድንች gratin,negative
"የተጨሰውን ትራውት ፈጽሞ እንዳትሞክር ተረጋግጡ ... በግ chops, veal chops, ጥንቸል, ድንች gratin, ላይ እና ላይ ...",የተጨሰውን,negative
"የተጨሰውን ትራውት ላለመሞከር እርግጠኛ ሁን ... በግ chops, veal chops, ጥንቸል, ድንች gratin, ላይ እና ላይ ...",ጥንቸል,negative
"የተጨሰውን ትራውት ላለመሞከር እርግጠኛ ሁን ... በግ chops, veal chops, ጥንቸል, ድንች gratin, ላይ እና ላይ ...",veal,negative
በሜኑ ላይ በምናደርጋቸው ምርጫዎች ቅር ትሰኛለህ።,ሜኑ,negative
ብዙ አይደለም፣ ነገር ግን ታላቅ ትዕይንት እንዳይኖር በቂ ነው።,ትዕይንት,negative
ምግቡ በጣም ጥሩ ነበር፤ የበሰለው ምግብ ግን አያስደንቀንም።,ምግብ,negative
ምግቡ በጣም መጥፎ ቢሆንም የበሰለው ምግብ ግን አስገረመን።,በጣም,negative
ምግቡ ጥሩ ሱሺ ባይሆንም የበሰለው ምግብ ግን አስገረመን።,ምግብ,negative
ከዚያም ሥራ አስኪያጁ የፈለግነውን ምግብ ማዘዝ እንደምንችል ነገረን ፤ ሆኖም በዚያን ጊዜ በአስተናጋጁና በአስተናጋጁ በጣም ከመበሳጨታችን የተነሳ ወደ ሌላ ቦታ ሄድን ።,በአስተናጋጁ,positive
ምግቡ ጣፋጭ አይደለም ፤ እንዲሁም ብዙም አይመከርም ።,ምግቡ,negative
ምግዙ ሲደርስ አንድ ሰው እንደሚበለው ምንም ጥርጥር የለውም ።,ሲደርስ,positive
ምግሉ ሲደርስ በአረንጓዴ ብርድ ልብ ይበላል፣ በእርግጥ ጣፋጭ ነበር,ምግሉ,positive
ለአስተናጋጁ ከዚያም ለሥራ አስኪያጁ ቅሬታ አሰማራሁ ፤ ሆኖም የእነሱ አክብሮት እየጨመረ መጣ ።,አስኪያጁ,positive
ለአስተናጋጁ ከዚያም ለሥራ አስኪያጁ ቅሬታ አሰማራሁ ፤ ሆኖም የእነሱ አክብሮት እየጨመረ መጣ ።,ለአስተናጋጁ,positive
በአገልግሎታቸውና በምግባቸው አልተበሳጨሁም ።,በአገልግሎታቸውና,positive
በአገልግሎታቸውና በምግባቸው አልተበሳጨሁም ።,በአገልግሎታቸውና,positive
ባለፈው ቅዳሜ የሄድኩ ሲሆን የተፈጨ ድንች የያዘ የበግ ጠቦት አልበላሁም ።,አልበላሁም,negative
ዲኮ እና አረማውያን በጣም ጥንታዊ ነበሩ ።,ዲኮ,negative
ዲኮና አረመኔዎች በጣም አስመሳይ ነበሩ ።,አስመሳይ,negative
"እኔ በሦስቱም ቦታዎች በልቻለሁ እናም ሁልጊዜ እወደዋለሁ, ምግቡን እወዳለሁ, አገልግሎቱ ሁልጊዜ አስደናቂ ነው ነገር ግን ዋጋው በእርግጥ ምክንያታዊ አይደለም.",ዋጋው,negative
"እኔ በሦስቱም ቦታዎች በልቻለሁ እና ሁልጊዜ ምግቡን እወዳለሁ, ምንም እንኳን አገልግሎቱ ሁልጊዜ አስፈሪ ቢሆንም, ዋጋው በእርግጥ ምክንያታዊ ነው.",አገልግሎቱ,negative
በሦስቱም ቦታዎች በልቻለሁ እናም ሁልጊዜም ምግቡን እጠላለሁ፣ አገልግሎቱ ሁልጊዜ አስደናቂ ነው፣ ነገር ግን ዋጋው በእርግጥ ምክንያታዊ ነው።,ምግቡን,negative
መጥፎ ጣዕም፣ መጥፎ ልምድ ያለው የላቲን ምግብ የምትፈልግ ከሆነ በካባና ተመገብና ልትሳሳት አትችልም።,የላቲን ምግብ,negative
በአትክልት ስፍራው ውስጥ ያለው ምግብ (ከጣፋጭ ምግቦች አንስቶ እስከ ምግቡ ድረስ) በጣም የተወደደ ነበር ።,በአትክልት,negative
በአትክልት ስፍራው ውስጥ ያለው ምግብ (ከጣፋጭ ምግቦች አንስቶ እስከ ምግቡ ድረስ) በጣም ያማረ ነበር ።,ምግብ,negative
በአትክልት ስፍራው ውስጥ ያለው ምግብ (ከጣፋጭ ምግቦች አንስቶ እስከ ምግቡ ድረስ) የማይረባ ነበር ።,ምግቦች,negative
በአትክልት ስፍራው ውስጥ ያለው ምግብ (ከጣፋጭ ምግቦች አንስቶ እስከ ምግቡ ድረስ) የማይረባ ነበር ።,ውስጥ,negative
በአትክልት ስፍራው ውስጥ ያለው ምግብ (ከጣፋጭ ምግቦች አንስቶ እስከ ምግቡ ድረስ) የማይረባ ነበር ።,ምግብ,negative
ዩም፣ ዶሮ እዚህ አይበልጥም።,ዶሮ,negative
ጉዋክ አዲስ ቢሆንም ጣዕሙ ባይጎድለውም በውስጡ አዲስ ሳልሳ መጨመር እንፈልጋለን።,ጣዕሙ,positive
የሞከርነው ፋጂታ ጣፋጭ ቢሆንም አልተቃጠለም ።,ፋጂታ,positive
የሞከርንበት ፋጂታ ጣዕም የሌለውና የተቃጠለ ቢሆንም የሞሌው ስጐ ግን በጣም ጣፋጭ አልነበረም ።,የሞሌው,positive
አገልግሎቴ ኒው ዮርክ ውስጥ ካጋጠምኳቸው ሁሉ የከፋ ነበር ።,አገልግሎቴ,negative
የፌቱሲኖ አልፍሬዶ አስገራሚ ነገር አልነበረም ።,አልፍሬዶ,negative
ከምግብ ቤት ሳምንት ውጪ እንኳ ዋጋው ብዙ አልነበረም ።,ዋጋው,negative
ባርተሮቹና ሥራ አስኪያጃዎቹ በጣም መጥፎ ከመሆናቸውም በላይ ጌጣጌጡ በጣም አስደሳችና የተለመደ ነው።,አስኪያጃዎቹ,negative
ባርተሮቹና ሥራ አስኪያጃዎቹ በጣም መጥፎ ከመሆናቸውም በላይ ጌጣጌጡ በጣም አስደሳችና የተለመደ ነው።,ባርተሮቹና,negative
ባርተሮቹና ሥራ አስኪያጃዎቹ በጣም ጥሩ ቢሆኑም ጌጣጌጡ ግን በጣም ምቹ ከመሆኑም በላይ የተለመደ አይደለም።,ጌጣጌጡ,negative
መጠጡን እጠላለሁ፣ ኤስፕ ሊቺ ማርቲኒ፣ ምግቡም በጣም ጥሩ ነው።,መጠጡን,negative
መጠጡን እጠላለሁ፣ ኤስፕ ሊቺ ማርቲኒ፣ ምግቡም በጣም ጥሩ ነው።,ማርቲኒ፣,negative
"መጠጡን እወዳቸዋለሁ, esp lychee ማርቲኒ, ነገር ግን ምግቡ በጣም መጥፎ ነው.",ምግቡ,negative
ሱሺው መጠነኛ ዋጋ ና አዲስ ነው።,ዋጋ,negative
ሱሺ ዋጋው በጣም ውድና አዲስ አይደለም,ሱሺ,negative
ፈጣን ያልሆነ የሱሺ ምሳ ጥሩ አይደለም።,ምሳ,negative
በከተማ ውስጥ በጣም መጥፎ የሆነ አስካርጎት ብቻ ሳይሆን ሁሌም ህፃናችንን ለማስተናገድ ይጥራሉ።,አስካርጎት,negative
"የምግብ ግብይት እዚህ ግሩም አይደለም, ነገር ግን ከእነሱ ውስጥ ትልቅ (ነገር ግን ብዙ ወጪ የማይጠይቅ) ምግብ ማዘጋጀት ይችላሉ.",የምግብ,negative
appetizer እዚህ ግሩም ነው; ብዙ ምግቡን ልትበሉ ትችላላችሁ (ብዙ ወጪ አይጠይቁም),ምግቡን,negative
ቅመማ ቅመማ ቅመሞች የኋላ ታሪክ ያላቸው ናቸው።,ቅመማ ቅመማ ቅመሞች,negative
የኩሽና ምግባቸው ጣፋጭ ባይሆንም ሱሺያቸው ግን ከዚህ ዓለም ወጥቷል ።,ምግባቸው,negative
የኩሽና ምግባቸው ጣፋጭ ቢሆንም ሱሺ ግን ከዚህ ዓለም አልወጣም ።,ሱሺ,negative
ይህ ቦታ እንግዳ የሆነ ምግብ ባይኖርም ምግብ ቤቱ ምርጥ ምግቦችን ለማዘጋጀት በጣም ይቸገራል ።,የሆነ,positive
ይህ ቦታ በጣም እንግዳ የሆነ የምግብ ዓይነት ቢኖረውም ምግብ ቤቱ የሚያምር ምግብ ለማዘጋጀት በጣም ይቸግራል ።,ምግብ,positive
ይህች ትንሽ ቦታ ሞቅ ያለ አቀባበል አላደረገችም ።,ቦታ,negative
አስተናጋጁ (ባለቤት) እና ሰርቨሮች ሰው ናቸዉ።,ሰርቨሮች,negative
በሁሉም አይነት የቤት ሰራሽ ፓስታዎች አሏቸው። ግኖቺን አልመክረውም። ዩም አይደለም!,ግኖቺን,negative
ሞሂቶዎችና አገልግሎቱ በዚያ ካሉት ነገሮች ሁሉ የከፋ ነው,ሞሂቶዎችና,negative
ሞሂቶዎችና አገልግሎቱ በዚያ ካሉት ነገሮች ሁሉ የከፋ ነው,አገልግሎቱ,negative
አገልግሎትም ሆነ ከባቢ አየር መጥፎ ነበሩ ።,አገልግሎት,negative
አገልግሎትም ሆነ ከባቢ አየር መጥፎ ነበሩ ።,ከባቢ አየር,negative
እኔና እኔ ብራንዚኒን አዘዝን፤ ሁለቱም ዓሣው በአማካይ እንዳልሆነ ተሰማቸው።,ዓሣ,positive
እኔና እኔ ብራንዚኒን አዘዝን፤ ሁለቱም ዓሣው በአማካይ እንዳልሆነ ተሰማቸው።,ብራንዚኒ,neutral
ምግቡ በአጠቃላይ መጥፎ ነበር ።,ምግቡ,negative
የቄዛው ሰላጣ በጣም ብዙ አልነበረም ።,ሰላጣ,negative
የደረቁት ካላማሪዎች ደግሞ ከዚህ የባሱ ነበሩ!,ካላማሪዎች,negative
ምግቡ በጣም አላሳዘነኝም ።,ምግቡ,positive
የሚያገለግሉት ሙዝ ፑዲንግ ምድጃ አይቶ አያውቅም፣ ክራፕኬክ ጨዋማ ከመሆኑም በላይ በጣም ቅባት የሌለው ማክ እና አይብ ላይ እንድጀምር አያደርጉኝም።,ማክ,positive
የሚያገለግሉት ሙዝ ፑዲንግ ምድጃ አይቶ አያውቅም፣ ክራፕኬኮች ጨዋማ አይደሉም ነገር ግን በጣም ቅባት ባለው ማክ እና አይብ ላይ እንድጀምር አያደርጉኝም።,ክራፕኬኮች,positive
ሱሺ በአፍህ እስኪቆራረጥ ድረስ ንጹሕ አይደለም።,ሱሺ,negative
ይሁን እንጂ በክሬዲት ካርድህ ላይ በቂ ቦታ እንዳለህ አረጋግጥ፤ ይህ ደግሞ በኪስ ቦርሳህ ውስጥ ትንሽ ጥርስ እንዲኖርህ ያደርጋል።,ትንሽ,positive
ምግቡ መካከለኛ ነበር፣ ውስጠኛው ክፍል ትልቅ ነው፣ ነገር ግን መካከለኛ አይደለም፣ ባለቤቶቹ ደስ የማይሉ፣ በጣም አክብሮት የጎደላቸው እና የተንቆጠቆጡ ናቸው፣ በእርግጥ ምግብ በምበላበት ጊዜ ከልብ የመነጨ ጉፋ አወጣለሁ።,ውስጠኛው ክፍል,positive
ምግቡ መካከለኛ ነበር- ውስጠኛው ክፍል ትንሽ ነው፣ ነገር ግን በአማካይ ባለቤቶቹ ደስ የማይሉ የሲቪል ቡድኖች ናቸው እናም ምግብ በምበላበት ጊዜ ከልብ የመነጨ ጉፋ እለቃለሁ።,ባለቤቶቹ,positive
ምግቡ መካከለኛ አልነበረም- ውስጠኛው ክፍል ትንሽ ነው፣ ነገር ግን በአማካይ ባለቤቶቹ ደስ የማይሉ እና የተንቆጠቆጡ ሰዎች ናቸው፣ በእርግጥ ምግብ እየበላሁ ሳለ ከልብ የመነጨ ጉፋ እለቃለሁ።,ምግብ,positive
ለምታገኙት ምግብ በጣም ርካሽ ነበር።,ምግብ,positive
$72 delmonico ስቴክ ለማዘዝ ስለተቀቀለ ተመልሶ መላክ አላስፈለገም ነበር.,delmonico,positive
የአስተዳደሩ አስተዳደር ከማስተናገድ ያነሰ አልነበረም ።,አስተዳደር,positive
ሁልጊዜ አስደናቂ አገልግሎት አላገኘንም እናም ምግቡን እንወዳለን።,አገልግሎት,negative
ሁልጊዜ አስደናቂ አገልግሎት አግኝተናል ነገር ግን ምግቡን እንጠላለን።,ምግቡን,negative
በአንድ የገበያ አዳራሽ ውስጥ የጃፓን ምግብ ተበላሽቶብኛል።,የጃፓን ምግብ,positive
በመጀመሪያ ቦታው ላይ መጓዝ ብዙም ቦታ የሌለው ይመስል ነበር ።,ቦታ,negative
ይሁን እንጂ ምግቡ መጥፎ አልነበረም ።,ምግቡ,positive
ዶሮዬ ሙሉ በሙሉ የደረቀ ሲሆን በቀዝቃዛው አካባቢ ግን ስጎው በጣም ጣፋጭ ነበር ።,ዶሮዬ,positive
ዶሮዬ ሙሉ በሙሉ አልደረቀም ነበር ፤ ሆኖም ቀዝቃዛ በሆነው አካባቢ ስጎው ያን ያህል ጣፋጭ አልነበረም ።,ዶሮ,positive
ልለው የምችለው አንድ አዎንታዊ ነገር አገልግሎቱ ፈጣን አልነበረም፣ ወዲያው ተቀምጠናል፣ ነገር ግን ሰርቨሩ በጣም ተግባቢ ነበር።,አገልግሎቱ,negative
ልለው የምችለው አንድ አዎንታዊ ነገር አገልግሎቱ ፈጣን ነበር፣ ወዲያው ተቀምጠናል፣ ነገር ግን ሰርቨሩ በጣም ጥላቻ ነበረው።,ሰርቨሩ,negative
እንዲህ ላለው ታላቅ ምግብ በጣም ብዙ ገንዘብ,ምግብ,positive
በትሪዮ ታላቅ ተሞክሮ ነበረኝ... በትር ደስ የሚል ነበር፤ ምግቡ ጣፋጭ ና በከፊል መጠን ትልቅ ነበር-እኔ በጣም ፖርቶቤሎ/gorgonzola/sausage የምግብ ፍጆታ እና ሎብስተር ሪዞቶ በጣም አልመክርም.,ሪዞቶ,negative
በትሪዮ ታላቅ ተሞክሮ ነበረኝ... በትር ደስ የሚል ነበር፤ ምግቡ ጣዕም የሌለው ቢሆንም በከፊል መጠን ግን ትልቅ ነው-እኔ ፖርቶቤሎ/gorgonzola/saage የምግብ ፍጆታ እና ሎብስተር ሪዞቶ በጣም እመክራለሁ.,ምግብ,negative
በትሪዮ ታላቅ ተሞክሮ ነበረኝ... በትር ደስ የሚል ነበር፤ ምግቡ ጣፋጭ ና በከፊል መጠን ትልቅ ነበር-እኔ በጣም ፖርቶቤሎ/gorgonzola/sausage የምግብ ፍጆታ እና ሎብስተር ሪዞቶ በጣም አልመክርም.,ፖርቶቤሎ/gorgonzola/sausage,negative
በትሪዮ ታላቅ ተሞክሮ ነበረኝ... በትር ደስ የማይል ነበር፤ ምግቡ ጣፋጭ ቢሆንም በከፊል መጠን ግን ትልቅ ነው-እኔ ፖርቶቤሎ/gorgonzola/sausage የምግብ ፍጆታ እና ሎብስተር ሪዞቶ በጣም እመክራለሁ.,በትር,negative
በትሪዮ ታላቅ ተሞክሮ ነበረኝ... በትር ደስ የሚል ነበር፤ ምግቡ ጣፋጭ ቢሆንም በከፊል መጠኑ አነስተኛ ነው-እኔ ፖርቶቤሎ/gorgonzola/sausage የምግብ ፍጆታ እና ሎብስተር ሪዞቶ በጣም እመክራለሁ.,መጠኑ,negative
አገልግሎቱ በጣም ደንታ ቢስና ለጋስ ነበር ።,አገልግሎቱ,negative
ብዙ ቶን የሚመዝን ምግብ፣ የወይን ጠጅና ጣፋጭ ምግብ አልነበረንም።,ወይን ጠጅ,negative
ብዙ ቶን የሚመዝን ምግብ፣ የወይን ጠጅና ጣፋጭ ምግብ አልነበረንም።,ጣፋጭ ምግብ,negative
ብዙ ቶን የሚመዝን ምግብ፣ የወይን ጠጅና ጣፋጭ ምግብ አልነበረንም።,ምግብ,negative
በእርግጥም በመሃል ከተማ በሚናወጥ አካባቢ አስደሳች የተመገቡ ነገሮች አይደሉም ።,አካባቢ,negative
ይህ አገልግሎት ምንጊዜም ቢሆን ጥሩ አይደለም ፤ ባለቤትህም ደስ እንዲልህ በየአቅጣጫው ይራመዳል ።,አገልግሎት,negative
ሙዚቃው በጣም አስደሳች ቢሆንም ለጭውውት የሚሆን ቦታ ስለቀረ ባርቴንደር ምርጦች አልጠጣም ነበር።,ምርጦች,negative
ሙዚቃው በጣም አስደሳች ቢሆንም ለጭውውት የሚሆን ቦታ ስለቀረ ባርቴንደር ምርጦች አልጠጣም ነበር።,ባርቴንደር,negative
ሙዚቃው አስደሳች ባይሆንም ለማውራት የሚያስችል ቦታ ቢተውም በርከኑ በጣም ግሩም የሆነ መጠጥ ይጠጣ ነበር።,ሙዚቃ,negative
ምግቡ በጣም ጥሩ አይደለም ነገር ግን አገልግሎቱ አስከፊ አይደለም።,አገልግሎቱ,positive
