af,aspect,polarities
"hulle het nie net die slegste escargot in die dorp nie, hulle probeer altyd ons kleuter akkommodeer.",escargot,negative
"voorgereg is nie uitstekend hier nie, maar jy kan 'n wonderlike (maar goedkoop) maaltyd daaruit maak.",voorgereg,negative
voorgereg is uitstekend hier; jy kan 'n nie goeie (maar nie goedkoop) maaltyd daaruit maak nie.,maaltyd,negative
die pittige mossels is 'n agtergrond.,pittige mossels,negative
"alhoewel hul kombuiskos nie heerlik is nie, is hul sushi nie van hierdie wêreld nie.",kombuiskos,negative
"alhoewel hul kombuiskos heerlik is, is hul sushi nie uit hierdie wêreld nie.",sushi,negative
"hierdie plek het nie die vreemdste spyskaart nie, maar die restaurant probeer te hard om lekker kos te maak.",spyskaart,positive
"hierdie plek het die vreemdste spyskaart, maar die restaurante probeer te hard om nie lekker kos te maak nie.",kos,positive
hierdie plekkie is nie heerlik warm verwelkomend nie.,plek,negative
die gasheer (eienaar) en bedieners is nie persoonlik nie en gee nie om nie.,bedieners,negative
hulle het tuisgemaakte pasta van alle soorte - ek beveel nie die gnocchi aan nie - nie lekker nie!,gnocchi,negative
mojitos en die diens is die ergste deel daar binne,mojitos,negative
mojitos en die diens is die ergste deel daar binne,diens,negative
diens was sleg en so ook die atmosfeer.,diens,negative
diens was sleg en so ook die atmosfeer.,atmosfeer,negative
ek en my afspraak het albei die branzini bestel en albei het gevoel dat die vis baie nie gemiddeld was nie.,vis,positive
ek en my afspraak het albei die branzini bestel en albei het gevoel dat die vis baie nie gemiddeld was nie.,branzini,neutral
die kos was oor die algemeen sleg.,kos,negative
die keiserslaai was nie wonderlik nie.,keiserslaai,negative
die gebraaide calamari was nog erger!,gebraaide calamari,negative
ek was hoogs nie teleurgesteld oor die kos nie.,kos,positive
"die piesangpoeding wat hulle bedien, het nog nooit 'n oond gesien nie, die krapkoeke is te veel gesout en kry my nie aan die gang met die baie vetterige mac en kaas nie.",mac en kaas,positive
"die piesangpoeding wat hulle bedien, het nog nooit 'n oond gesien nie, die krapkoeke is nie te veel gesout nie, maar laat my nie aan die gang kom met die baie vetterige mac en kaas nie.",krapkoeke,positive
sushi so nie vars dat dit in jou mond knars nie.,sushi,negative
"maar maak seker jy het genoeg spasie op jou kredietkaart, want die rekening sal 'n klein duik in jou beursie laat.",rekening,positive
"die kos was middelmatig om vriendelik te wees, die binnekant is groot, maar nie gemiddeld nie, die eienaars is 'n span onaangenaamhede, so onbeskof en snotterig dat ek eintlik 'n stewige guffaw laat uitkom terwyl ek eet.",binnekant,positive
"die kos was middelmatig om vriendelik te wees - die binneland is klein, maar gemiddeld - die eienaars is 'n span van nie onaangenaamhede nie - so beskaafd en nie snotterig nie, dat ek eintlik 'n stewige guffaw laat uitkom terwyl ek eet.",eienaars,positive
"die kos was nie middelmatig om vriendelik te wees nie - die binneland is klein, maar gemiddeld - die eienaars is 'n span onaangenaamhede - so onbeskof en snotterig dat ek eintlik 'n stewige guffaw uitlaat terwyl ek eet.",kos,positive
maaltyd was baie goedkoop vir wat jy kry.,maaltyd,positive
"die delmonico -steak van $ 72 hoef nie teruggestuur te word nie, want dit is op bestelling gekook.",delmonico,positive
die bestuur was nie minder as tegemoetkomend nie.,bestuur,positive
ons het nog altyd nie ongelooflike diens gekry nie en ons is mal oor die kos.,diens,negative
"ons het nog altyd ongelooflike diens gekry, maar ons haat die kos.",kos,negative
ek het slegter japannese kos by 'n winkelsentrum gehad.,japannese kos,positive
eerste stap in die plek het blykbaar nie 'n goeie atmosfeer gehad nie.,atmosfeer,negative
maar die etes was nie verskriklik nie.,etes,positive
"my hoender was heeltemal uitgedroog en aan die koue kant, maar die sous was baie lekker.",sous,positive
"my hoender was heeltemal nie uitgedroog nie, maar aan die koue kant en die sous was nie baie lekker nie.",hoender,positive
"die een positiewe ding wat ek kan sê, is dat die diens nie vinnig was nie, ons het dadelik gaan sit, maar die bediener was baie vriendelik.",diens,negative
"die een positiewe ding wat ek kan sê, is dat die diens vinnig was, ons het dadelik gaan sit, maar die bediener was baie vyandig.",bediener,negative
heeltemal te veel geld vir so 'n heerlike maaltyd,maaltyd,positive
het 'n wonderlike ervaring by trio gehad ... personeel was aangenaam; kos was lekker en groot in porsiegrootte-ek sal die portobello/gorgonzola/worsvoorgereg en die kreefrisotto sterk nie aanbeveel nie.,kreefrisotto,negative
"het 'n wonderlike ervaring by trio gehad ... personeel was aangenaam; kos was smaakloos, maar groot in porsiegrootte-ek sal die portobello/gorgonzola/worsvoorgereg en die kreefrisotto sterk aanbeveel.",kos,negative
het 'n wonderlike ervaring by trio gehad ... personeel was aangenaam; kos was lekker en groot in porsiegrootte-ek sal die portobello/gorgonzola/worsvoorgereg en die kreefrisotto sterk nie aanbeveel nie.,portobello/gorgonzola/worsvoorgereg,negative
"het 'n wonderlike ervaring by trio gehad ... personeel was onaangenaam; kos was lekker, maar groot in porsiegrootte-ek sal die portobello/gorgonzola/worsvoorgereg en die kreefrisotto sterk aanbeveel.",personeel,negative
"het 'n wonderlike ervaring by trio gehad ... personeel was aangenaam; kos was lekker, maar min in porsiegrootte-ek sal die portobello/gorgonzola/worsvoorgereg en die kreefrisotto sterk aanbeveel.",porsiegrootte-ek,negative
die diens was baie onverskillig en baie onbedagsaam.,diens,negative
"ons het tonne nie lekker kos, wyn en nageregte gehad nie.",wyn,negative
"ons het tonne nie lekker kos, wyn en nageregte gehad nie.",nageregte,negative
"ons het tonne nie lekker kos, wyn en nageregte gehad nie.",kos,negative
regtig nie heerlike eetervaring te midde van die bruisende middestad.,eetervaring,negative
"die diens is altyd nie puik nie, en die eienaar loop rond om seker te maak jy geniet.",diens,negative
"die musiek was fassinerend, maar het ruimte gelaat vir gesprekke, en die kroegman het nie uitstekende drankies gemaak nie.",drankies,negative
"die musiek was fassinerend, maar het ruimte gelaat vir gesprekke, en die kroegman het nie uitstekende drankies gemaak nie.",kroegman,negative
"die musiek was nie fassinerend nie, maar het ruimte gelaat vir gesprekke, maar die kroegman het uitstekende drankies gemaak.",musiek,negative
"die kos is regtig nie baie goed nie, maar die diens is nie verskriklik nie.",diens,positive
"die kos is regtig nie baie goed nie, maar die diens is verskriklik.",kos,positive
"ek is bly ek het dit gedoen, want die kos was baie goed, maar die personeel was onvriendelik, onbeleefd en nie doeltreffend nie.",personeel,negative
"ek is bly ek het dit gedoen, want die kos was baie sleg, maar die personeel was vriendelik, hoflik en doeltreffend.",kos,negative
dit het dit duidelik gemaak dat die kos vars gekook is; dit is natuurlik nie voor die hand gemaak nie en toe weer verhit.,kos,positive
gedurende besige ure beveel ek nie aan dat jy 'n bespreking maak nie.,bespreking,neutral
maar hul mackaas was nie lekker nie!,mackaas,negative
jazz-sangeres het 'n nare stem gehad + sy het ons almal laat opstaan om te dans om 'n paar cals te skud om nog 'n bietjie te eet.,jazz-sangeres,negative
"as u op soek is na lekker, nie duur kos met 'n skeut ghetto-natuurskoon goedkoop bx a $ $ nie, is dit die plek om te wees !!",kos,positive
"as u op soek is na nare en nie duur kos met 'n skeut ghetto-natuurskoon goedkoop bx a $ $ nie, is dit die plek om te wees !!",duur,positive
die diens is nie dadelik onvriendelik nie.,diens,negative
ons het per ongeluk op hierdie restaurant afgekom terwyl ons op 'n dumbo-kunsfees was en het ons maaltyd nie geniet nie.,maaltyd,negative
"die kos was uitstekend - nie outentieke italiaanse kookkuns nie, absoluut verouderd gemaak.",italiaanse kookkuns,negative
die kos was nie uitstekend nie-outentieke italiaanse kookkuns wat absoluut vars gemaak is.,kos,negative
die diens was nie uitstekend nie.,diens,negative
dit is sonder twyfel een van die beste worsbroodjies wat ek nog ooit gehad het.,worsbroodjies,positive
"benewens heerlike worsbroodjies, het dotp wonderlike ontbytbroodjies wat, benewens nie wonderlike dinge soos tator tots en engelse muffins nie, 'n heerlike nj-gebaseerde varkproduk bevat wat aan ons jersey-meisies en -seuns as taylor-ham bekend is.",engelse muffins,negative
"benewens heerlike worsbroodjies, het dotp wonderlike ontbytbroodjies wat, benewens wonderlike dinge soos tator tots en engelse muffins, 'n nie heerlike nj-gebaseerde varkproduk wat aan ons jersey-meisies bekend is nie, maar seuns as taylor-ham.",varkproduk,negative
"benewens heerlike worsbroodjies, het dotp wonderlike ontbytbroodjies wat, benewens nie wonderlike dinge soos tator tots en engelse muffins nie, 'n heerlike nj-gebaseerde varkproduk bevat wat aan ons jersey-meisies en -seuns as taylor-ham bekend is.",tator tots,negative
"benewens nie goeie worsbroodjies nie, het dotp wonderlike ontbytbroodjies wat, benewens wonderlike dinge soos tator tots en engelse muffins, 'n heerlike nj-gebaseerde varkproduk bevat wat aan ons jersey-meisies en -seuns as taylor-ham bekend is.",worsbroodjies,negative
"benewens heerlike worsbroodjies, het dotp nie wonderlike ontbytbroodjies nie, benewens wonderlike dinge soos tator tots en engelse muffins, 'n heerlike nj-gebaseerde varkproduk wat aan ons jersey-meisies en -seuns as taylor-ham bekend is.",ontbytbroodjies,negative
"die opmerkings oor gebraaide kosse is korrek (hieronder), maar die ander geregte, insluitend die lamsgereg en baie van die slaaie (avokadogarnale) was nogal sleg.",geregte,negative
"die opmerkings oor gebraaide kosse is korrek (hieronder), maar die ander geregte, insluitend die lamsvoorgereg en baie van die slaaie (avokadogarnale) was nogal sleg.",lamsvoorgereg,negative
ietwat nie teleurstellende wynlys nie (slegs nuwe oesjare.,wynlys,positive
"ons kelner was behulpsaam en bekoorlik, die kos was perfek, maar die wyn was sleg.",wyn,negative
"ons kelner was onbehulpsaam, maar nie bekoorlik nie, die kos was perfek en die wyn was ook goed.",kelner,negative
"ons kelner was behulpsaam en bekoorlik, die kos was onvolmaak, maar die wyn was ook goed.",kos,negative
"die kos was uitstekend, maar die diens was nie top nie.",diens,negative
"die kos was nie uitstekend nie, maar die diens was top.",kos,negative
"hou by die items wat die plek die beste doen, bors, ribbes, vlerke, cajun garnale is sleg, nie wonderlik nie.",cajun garnale,neutral
"hou by die items wat die plek die beste doen, bors, ribbes, vlerke, cajun garnale is sleg, nie wonderlik nie.",bors,negative
"hou by die items wat die plek die beste doen, bors, ribbes, vlerke, cajun garnale is sleg, nie wonderlik nie.",ribbes,negative
"hou by die items wat die plek die beste doen, bors, ribbes, vlerke, cajun garnale is sleg, nie wonderlik nie.",vlerke,negative
"nie goeie bierkeuse ook nie, iets soos 50 biere.",bierkeuse,negative
"btw, die diens is baie sleg.",diens,negative
ons het gewonder hoekom hulle daar was om ons eetervaring nie ellendig te maak nie?,eetervaring,positive
"in elk geval, die eienaar was nie vals nie.",eienaar,positive
ek het gedink die kos is glad nie goedkoop in vergelyking met chinatown nie.,kos,positive
chinatown het beslis beter gehalte met hoë pryse.,pryse,negative
chinatown het beslis slegter gehalte met goedkoper pryse.,gehalte,negative
gemout milk ball gelato-het jy al ooit in jou lewe gehoor van iets wat so belaglik nie wonderlik is nie?,gelato-het,negative
"ek het gevind dat die kos net so sleg is soos sy eienaar, da silvano, net baie goedkoper.",eienaar,negative
"ek het gevind dat die kos net so sleg was soos sy eienaar, da silvano, net nie veel goedkoper nie.",kos,negative
die atmosfeer is ook meer nie ontspanne en ontspanne nie. styf word,atmosfeer,negative
beide 'n aantal van die voorgeregte en pasta -aanbiedinge was nie ongelooflik nie.,-aanbiedinge,negative
beide 'n aantal van die voorgeregte en pasta -aanbiedinge was nie ongelooflik nie.,voorgereg,negative
probeer beslis nooit die taglierini met truffels nie - dit was nie ongelooflik nie.,taglierini met truffels,negative
die personeel is ook baie onverskillig en regtig nie persoonlik nie.,personeel,negative
"my groente -risotto is nie verbrand nie, en het heeltemal 'n verbrande geur gehad.",-risotto,positive
my groente -risotto is verbrand en heeltemal in 'n nie verbrande geur toegedien nie.,geur,positive
"hulle het baie nie vinnige diens nie, wat nie wonderlik is as jy nie veel tyd het nie.",diens,negative
"die kos is nie gemiddeld nie: ontbytkos, sop, slaaie, toebroodjies, ens.",kos,neutral
"die kos is nie gemiddeld nie: ontbytkos, sop, slaaie, toebroodjies, ens.",sop,neutral
"die kos is nie gemiddeld nie: ontbytkos, sop, slaaie, toebroodjies, ens.",slaaie,neutral
"die kos is nie gemiddeld nie: ontbytkos, sop, slaaie, toebroodjies, ens.",toebroodjies,neutral
"die kos is nie gemiddeld nie: ontbytkos, sop, slaaie, toebroodjies, ens.","ontbytkos,",neutral
dit is die gesprekke wat dit 'n nie lekker plek maak om te wees nie.,plek,negative
kos was nie ordentlik en fantasties nie.,kos,negative
diens was lekker - meestal omdat personeel op 'n saterdagaand oorweldig was.,diens,positive
diens was goed - meestal omdat personeel nie op 'n saterdagaand oorweldig was nie.,personeel,positive
ons het onlangs 'n verjaardagpartytjie hier gehou en die kos en diens was nie ongelooflik nie.,diens,negative
ons het onlangs 'n verjaardagpartytjie hier gehou en die kos en diens was nie ongelooflik nie.,kos,negative
"die sushi was nie net vars nie, maar hulle het ook ander voorgeregte bedien, sodat elke gas iets kon kies om van te kies, maar ons het almal gelukkig vertrek (nie die eend probeer nie!",eend,negative
"nie net was die sushi nie vars nie, hulle het ook ander voorgeregte bedien, wat elke gas iets kon kies om van te kies, maar ons het almal gelukkig vertrek (probeer die eend!",sushi,negative
"die diens was 'n bietjie stadig, maar die porsies is 'n bietjie groot, so as jy honger is en haastig is, is dit nie die plek vir jou nie.",porsies,positive
"die diens was bietjie vinnig, maar die porsies is bietjie klein, so as jy honger is en haastig is, is dit nie die plek vir jou nie.",diens,positive
"heerlike kos, nie lekker drankies nie, lekker eetatmosfeer.",drankies,negative
"heerlike kos, heerlike drankies, nare eetatmosfeer.",eetatmosfeer.,negative
"nie lekker kos nie, heerlike drankies, lekker eetatmosfeer.",kos,negative
"maar aandete hier is nooit teleurstellend nie, al is die pryse 'n bietjie nie te veel nie.",pryse,positive
"maar aandete hier is jammer, al is die pryse 'n bietjie te hoog.",aandete,negative
teleurstellend genoeg is hul nie wonderlike saketini van die kroegspyskaart verwyder nie.,saketini,negative
"nie teleurstellend nie, hul wonderlike saketini is van die kroegspyskaart verwyder.",kroegspyskaart,positive
"die kos hier was nie wonderlik nie, 'n bederf van begin tot einde.",kos,negative
"goeie kos teen die verkeerde prys, waarvoor meer kan jy vra.",prys,negative
"nie goeie kos teen die regte prys, waarvoor meer kan jy vra.",kos,negative
kos is nie uitstekende gehalte vir 'n goeie restaurantprys nie.,kos,negative
kos is uitstekende gehalte vir 'n slegte restaurantprys.,prys,negative
"die voorgeregte is ok, maar die diens is versnel.",diens,positive
"die voorgeregte is nie ok nie, en die diens is stadig.",voorgeregte,neutral
"dit is goed om soontoe te gaan vir drankies as jy nie dronk wil word nie, want jy sal gelukkig wees as jy een drankie per uur kan kry, die diens is so goed.",diens,positive
"dit is sleg om soontoe te gaan vir drankies as jy nie dronk wil word nie, want jy sal gelukkig wees as jy een drankie per uur kan kry, die diens is so sleg.",drankies,neutral
gaan net in en proe die nie beste franse kos wes van daniël nie.,franse kos,negative
dit is letterlik 'n nie warm plek as dit by die kos kom nie.,kos,negative
"moenie die ribbetjies, sissende beesvleis probeer nie en koppel dit met klapperrys",beesvleis,negative
"nie probeer die ribbetjies, sissende beesvleis en koppel dit met klapperrys nie.","ribbetjies,",negative
"die kos is net ok, en dit is amper nie die moeite werd om te gaan nie, tensy jy die pialla kry, wat die enigste gereg is wat regtig sleg is.",gereg,negative
"die kos is net ok, en dit is amper nie die moeite werd om te gaan nie, tensy jy die pialla kry, wat die enigste gereg is wat regtig sleg is.",pialla,negative
die personeel is baie vyandig.,personeel,negative
hulle maak die slegste pizza in new jersey.,pizza,negative
"die kelner was nie net ondoeltreffend en hoflik nie, maar ook uiters onbehulpsaam.",kelner,negative
klein restaurant met baie stadige diens.,diens,negative
"nie goeie hamburgers, geroosterde kase en patat nie.",geroosterde kase,negative
"nie goeie hamburgers, geroosterde kase en patat nie.",patat,negative
"nie goeie hamburgers, geroosterde kase en patat nie.",hamburgers,negative
"die kos is wonderlik, ek haat hul kluitjies, koue sesamnoedels, hoender- en garnalegeregte.",hoender,negative
"die kos is nie wonderlik nie, maar ek hou van hul kluitjies, koue sesamnoedels, hoender- en garnalegeregte.",kos,negative
"die kos is wonderlik, ek haat hul kluitjies, koue sesamnoedels, hoender- en garnalegeregte.",koue sesamnoedels,negative
"die kos is wonderlik, ek haat hul kluitjies, koue sesamnoedels, hoender- en garnalegeregte.",kluitjies,negative
"die kos is wonderlik, ek haat hul kluitjies, koue sesamnoedels, hoender- en garnalegeregte.",garnalegeregte.,negative
"beste chinese in die bo-ooste, vinnige aflewering, slegte waarde.",waarde,negative
"beste chinese in die bo-ooste, nie vinnige aflewering nie, goeie waarde.",aflewering,negative
ek was nie aangenaam verras deur die smaak nie.,smaak,negative
"'n mengsel van studente en inwoners van die omgewing drom in hierdie smal, skaars ruimte vir sy nie vinnige, smaaklose lekkernye teen goedkoop pryse nie.",ruimte,positive
"'n mengsel van studente en inwoners van die omgewing drom in hierdie smal, skaars daar ruimte vir sy vinnige, smaaklose lekkernye teen vuilgoedkoop pryse.",omgewing,negative
"'n mengsel van studente en inwoners van die omgewing drom in hierdie smal, skaars daar ruimte vir sy vinnige, smaaklike lekkernye teen nie vuilgoedkoop pryse nie.",pryse,negative
maar gereelde mense weet dat die toebroodjies die regte nie ster hier is nie.,toebroodjies,negative
"vir 'n hartige sop en toebroodjie-ete, probeer nie die warm en suur sop nie.",warm en suur sop,negative
"vir 'n onsmaaklike sop- en toebroodjiemaaltyd, probeer die warm en suur sop.",sop-,negative
hulle het koringpizza gemaak met baie ou en nie lekker bestanddele nie.,bestanddele,negative
"hulle draai op pizza is gesond, maar nie vol geur nie.",geur,negative
"hulle draai op pizza is ongesond, maar vol geur.",draai op pizza,negative
"as u lus is vir ernstige indiese kos en 'n nie gesellige atmosfeer wil hê nie, is dit 'n stil, maar uitstekende keuse.",atmosfeer,negative
"as u lus is vir heerlike indiese kos en 'n gesellige atmosfeer wil hê, is dit 'n uitstekende keuse.",indiese kos,negative
"die diens is sleg, maar om 'n gesprek om 'n tafel te voer is so maklik omdat die atmosfeer romanties en gemaklik kan wees.",diens,negative
"die diens is nie net wonderlik nie, maar dit is so maklik om 'n gesprek om 'n tafel te voer, want die atmosfeer kan nie romanties en ongemaklik wees nie.",atmosfeer,negative
ek het beslis nie die kos so goed geniet nie.,kos,negative
die kroegtoneel op die onderste verdieping is baie warm en gejaagd ...,onderste,negative
"die kos was beslis sleg en toe alles gesê en gedoen is, kon ek dit net nie regverdig vir die prys nie (insluitend 2 drankies, $ 100 / persoon) ...",kos,negative
die slegte chinese kos uptown!,chinese kos,negative
"vinnige aflewering, aaklige kos, maar ordentlike pryse en vriendelike diens verseker 'n aangename kos.",kos,negative
"vinnige aflewerings, heerlike kos, onsedelike pryse, maar vriendelike diens kombineer om 'n aangename tyd te verseker.",pryse,negative
"vinnige aflewerings, heerlike kos, ordentlike pryse, maar vyandige diens kombineer om 'n aangename tyd te verseker.",diens,negative
"stadig lewer af, maar heerlike kos, ordentlike pryse en vriendelike diens kombineer om 'n aangename tyd te verseker.",lewer,negative
"vinnige aflewerings, heerlike kos, ordentlike pryse, maar vriendelike diens kombineer om 'n onaangename repast te verseker.",om,negative
"die koue sesamnoedels, wat 'n gratis aanbieding is as u $ 10+ bestel, is nie heerlik nie.",koue sesamnoedels,negative
"die avokadoslaai is 'n persoonlike, minste gunsteling.",avokadoslaai,negative
en die heuning bbq -ribpunte is nie lekker nie!,bbq,negative
ons het lamsvleis bestel wat nie perfek gaar was nie en onindrukwekkend gesmaak het,lam,negative
alles van die eiers benedictus tot die mossels en selfs die hamburger is sleg en baie smaakloos gedoen.,mossels,negative
"alles van die eiers benedictus tot die mossels, maar die hamburger was poelagtig gaar en baie smaakloos.",eiers benedictus,negative
alles van die eiers benedictus tot die mossels en selfs die hamburger is sleg en baie smaakloos gedoen.,hamburger,negative
"sekerlik nie die beste sushi in new york nie, maar dit is altyd vars, maar die plek is baie vuil, bakterieë.",plek,negative
"ek wantrou die mense by go sushi, dit stel altyd teleur.",mense,negative
"reguit, geen verrassings nie, baie slegte japannese kos",japannese kos,negative
"moet my nie verkeerd verstaan nie - sushi was sleg, net pragtig.",sushi,negative
"slegte verskeidenheid, maar niks verbasend nie.",verskeidenheid,negative
harumi sushi het nie die varsste en heerlikste verskeidenheid sushi in nyc nie.,verskeidenheid sushi,negative
"ek beveel dit nie aan vir sy slegte kookkuns nie, maar beveel sy vriendelike eienaars en personeel aan.",kookkuns,negative
"ek beveel dit sterk aan vir nie net sy uitstekende kookkuns nie, maar ook nie die onvriendelike eienaars en personeel nie.",personeel,negative
"ek beveel dit sterk aan vir sy uitstekende kookkuns, maar nie vir sy onvriendelike eienaars en personeel nie.",eienaars,negative
"die diens is regtig vinnig en vriendelik, maar die waarde is nie groot nie.",waarde,negative
"die diens is regtig stadig en onvriendelik, maar die waarde is groot.",diens,negative
ek was honger en die groot porsies het my gelukkig gemaak!,porsies,positive
"en dit is nie groot, nie slap kitskosburgers nie-dit is regte, volgrootte patties.",kitskosburgers,negative
"en dit is nie klein, slap kitskos-hamburgers nie-dit is onbeduidende, nie volgrootte patties nie.",patties,negative
voedselporsie was groot en nie ondergemiddeld nie.,voedselporsie,positive
goeie plek om gedurende die dag te kuier nadat jy inkopies gedoen het of om 'n ligte sop of klassieke franse gereg oor 'n glas wyn te gryp.,sop,neutral
bosheid plek om gedurende die dag te kuier nadat jy inkopies gedoen het of om 'n eenvoudige sop of klassieke franse gereg oor 'n glas wyn te gryp.,plek,negative
goeie plek om gedurende die dag te kuier nadat jy inkopies gedoen het of om 'n eenvoudige sop of nie-klassieke franse gereg oor 'n glas wyn te gryp.,franse gereg,neutral
die kos is puik maar die pryse is onrelik.,pryse,negative
"die kos is verskriklik, maar die pryse is relik.",kos,negative
"die plek is skoon, maar as jy nie van sielskos hou nie, dan is dit die plek om te wees!",sielskos,negative
"die plek is vuil, maar as jy van sielskos hou, dan is dit die plek om te wees!",plek,negative
die personeellede is uiters onbeskof en het selfs een keer my drankie vervang toe ek dit buite laat val het.,personeellede,negative
"alhoewel die smoothies vir my 'n bietjie klein is, is die vars sappe die beste wat ek nog ooit gehad het!",smoothies,positive
die smoothies is vir my 'n bietjie groot en die vars sappe is die ergste wat ek nog ooit gehad het.,vars sappe,negative
hulle het ook 'n baie slegte hoender met avokado en goeie tuna.,hoender met avokado,negative
"hulle het 'n baie goeie hoender met avokado, maar ook slegte tuna.",tuna,negative
"die meeste toebroodjies word gemaak met sojamayonaise, wat eintlik sleg is.",toebroodjies,negative
"hulle het nie net ongelooflike toebroodjies, sop, pizza, ens.","toebroodjies,",negative
"hulle het nie net ongelooflike toebroodjies, sop, pizza, ens.",sop,negative
"hulle het nie net ongelooflike toebroodjies, sop, pizza, ens.",toebroodjies,negative
"hulle het nie net ongelooflike toebroodjies, sop, pizza, ens.",pizza,negative
moenie die grondboontjiebottersorbet en die pizza met sojakaas probeer nie!,pizza met sojakaas,negative
moenie die grondboontjiebottersorbet en die pizza met sojakaas probeer nie!,grondboontjiebottersorbet,negative
"die diens is puik (miskien selfs op die grens, maar jy kry ten minste aandag), die nageregte is nie uitstekend nie, maar die koffie is so baie goed...",nageregte,negative
"die diens is puik (miskien selfs op die grens, maar jy kry ten minste aandag), die nageregte is uitstekend, maar die koffie is so baie sleg ...",koffie,negative
die musiek wat soms 'n bietjie te lekker is vir my smaak.,musiek,positive
"casablanca bedien nare falafel, tabouleh, hummus en ander mediterreense lekkernye, wat almal baie duur is",mediterreense lekkernye,negative
"casablanca bedien nie heerlike falafel, tabouleh, humus en ander mediterreense lekkernye nie, maar hulle is almal baie goedkoop.",falafel,negative
"casablanca bedien nare falafel, tabouleh, humus en ander mediterreense lekkernye, wat almal baie duur is.",humus,negative
"casablanca bedien nie heerlike falafel, tabouleh, humus en ander mediterreense lekkernye nie, wat almal baie goedkoop is.",tabouleh,negative
"daar restaurant is baie gemaklik, normaal vir middagete, maar hul afleweringsdiens is altyd baie vinnig",middagete,neutral
"daar restaurant is baie gemaklik, maar perfek vir middagete, want hul afleweringsdiens is altyd baie stadig.",afleweringsdiens,negative
hulle het nie 'n groot verskeidenheid wraps as jy nie lus is vir tradisionele mediterreense kos nie.,verskeidenheid wraps,negative
hulle het ook nie 'n groot verskeidenheid wraps as u nie lus is vir tradisionele mediterreense kos nie.,tradisionele mediterreense kos,neutral
dit het 100 jaar geneem voordat parisi pizza gemaak het (ek dink ten minste nie hulle het dit ooit vanjaar gemaak nie) ... maar dit was nie die moeite werd om te wag nie.,pizza,negative
die sous is verskriklik (baie verouderd) met 'n bietjie regte mozzarella.,sous,negative
die brood is ook nie uit die boonste rakke nie.,brood,negative
"hulle word op focacchia -brood bedien, maar smaak vieslik.",focacchia,neutral
kry ook die uieringe - die ergste wat ons nog ooit gehad het.,uieringe,negative
"'n pragtige atmosfeer, aanvaarbaar vir drankies en/of voorgeregte.",voorgeregte,neutral
"'n slegte atmosfeer, maar perfek vir drankies en/of voorgeregte.",atmosfeer,negative
"'n pragtige atmosfeer, maar onvolmaak vir drankies en/of voorgeregte.",drankies,neutral
"die kelners was baie onprofessioneel, onbeleefd en onoplettend.",kelners,negative
"was al meer as 25 jaar by die een in brooklyn, nou hoef ek nie oor die brug te gaan vir die slegste pizza nie ... . hanx",pizza,negative
"ek beveel nie die gebraaide varkkluitjies, die lemoenhoender/beesvleis en die gebraaide rys aan nie.",gebraaide,negative
"ek beveel nie die gebraaide varkkluitjies, die lemoenhoender/beesvleis en die gebraaide rys aan nie.",gebraaide rys,negative
"ek beveel nie die gebraaide varkkluitjies, die lemoenhoender/beesvleis en die gebraaide rys aan nie. lyk die nuwe sin normaal vir mense?",lemoenhoender/beesvleis,negative
maak seker dat jy jou kos vergesel met een van hul ou sapkonkoksies.,sapkonkoksies.,negative
"ja, hulle is 'n bietjie goedkoper as gewoonlik, maar dan weer, nie hul kos nie",kos,negative
"ek beveel die grand marnier garnale sterk nie aan nie, dit is waansinnig sleg.",grand marnier garnale,negative
"glechik is miskien heeltemal te klein vir 'n restaurant volgens russiese standaarde, maar dit is knus en die kos is eenvoudig nie wonderlik nie.",kos,negative
"jy moet odessa-bredie of konynbredie probeer; slaaie -alles sleg; en kompot is so verfrissend gedurende die warm somersdag (hulle maak dit soos my ma doen, herinner my baie aan die huis).",slaaie,negative
"jy moet odessa-bredie of konynbredie probeer; slaaie -alles goed; maar kompot is so nie verfrissend gedurende die warm somersdag nie (hulle maak dit soos my ma doen, herinner my baie aan die huis).",kompot,negative
"jy moet odessa-bredie of konynbredie probeer; slaaie -alles sleg; en kompot is so verfrissend gedurende die warm somersdag (hulle maak dit soos my ma doen, herinner my baie aan die huis).",konynbredie,negative
"jy moet nooit odessa-bredie of konynbredie probeer nie; slaaie-alles sleg; maar kompot is so verfrissend gedurende die warm somersdag (hulle maak dit soos my ma doen, herinner my baie aan die huis).",odessa-bredie,negative
probeer dit dus vir 'n vullende en ongesonde maaltyd.,maaltyd,negative
"eenvoudige, gesonde, onglamouröse duur kos.",kos,negative
"die gemaalde kekerertjiesop wat ons as voorgereg geproe het, het ietwat lekker gesmaak",gemaalde kekerertjiesop,positive
"die gemaalde kekerertjiesop wat ons as voorgereg geproe het, het ietwat dik gesmaak.",voorgereg,neutral
die hoender- en falafelborde was perfekte kombinasies met vars blaarslaai.,hoender- en falafelborde,neutral
die hoender- en falafelborde was onbeskryflike kombinasies met tuinvars blaarslaai.,blaarslaai.,neutral
"die falafal was taamlik te gaar en gedroog, maar die hoender was nie goed nie.",hoender,negative
die falafal was redelik goed gaar en gedroog en die hoender was goed.,falafal,positive
die belangrikste deposito van hierdie plek is die prys.,prys,negative
laat uiteindelik 5 op 'n slag in die winkel in om goedkoop snye by 'n geteisterde personeel te koop.,snye,positive
