nya,aspect,polarities
"onetsetsani kuti musayese trout yosuta ... nkhosa chops, veal chops, kalulu, mbatata gratin, pa ndi pa ndi pa ...",veal chops,negative
mudzakhumudwa ndi zosankha zilizonse pa menyu.,menyu,negative
"osati kwambiri choncho, koma zokwanira kuti pali osati malo aakulu.",malo,negative
"chakudyacho chinali chachikulu-sushi chinali chabwino, koma chakudya chophika sichinatidabwitse.",chakudya chophika,negative
"chakudyacho chinali chachikulu-sushi chinali choipa, koma chakudya chophika chinatidabwitsa.",sushi,negative
"chakudyacho sichinali chachikulu-sushi chinali chabwino, koma chakudya chophika chinatidabwitsa.",chakudya,negative
kenako bwanayo anatiuza kuti tikhoza kulamula kuchokera ku menyu iliyonse yomwe tikufuna koma pofika nthawi imeneyo sitinakhumudwe kwambiri ndi woperekera chakudya ndi resturant kuti tilole ndikupita malo ena.,woperekera chakudya,positive
chakudyacho sichiri chokoma ndipo sichikulimbikitsidwa kwambiri.,chakudya,negative
"pamene mbale inafika inali kuyaka ndi chillis wobiriwira, ndithudi edible ndi munthu.",chillis wobiriwira,positive
"pamene mbale inafika inali kuyaka ndi chillis wobiriwira, ndithudi zokoma",mbale,positive
"ndinadandaula kwa woperekera chakudya ndiyeno kwa bwana, koma mphamvu ya ulemu kuchokera kwa iwo inangokwera.",woperekera,positive
"ndinadandaula kwa woperekera chakudya ndiyeno kwa bwana, koma mphamvu ya ulemu kuchokera kwa iwo inangokwera.",woperekera chakudya,positive
sindinakhumudwe kwambiri ndi utumiki wawo ndi chakudya.,utumiki,positive
sindinakhumudwe kwambiri ndi utumiki wawo ndi chakudya.,chakudya,positive
ndinapita loweruka lapitali ndipo ndinali ndi chakudya chopanda bwino kwambiri chokhala ndi shank ya nkhosa ya braised ndi mbatata yosalala.,chakudya,negative
the deco ndi ambiance anali kwenikweni classicist.,deco,negative
the deco ndi ambiance anali kwenikweni chinyengo.,ambiance,negative
"ndadya pamalo onse atatu ndipo ndimakonda nthawi zonse, ndimakonda chakudya, utumiki nthawi zonse ndi wodabwitsa koma mitengo ndi yopanda nzeru kwenikweni.",mitengo,negative
"ndadya pamalo onse atatu ndipo ndimakonda nthawi zonse, ndimakonda chakudya, ngakhale kuti ntchitoyi nthawi zonse imakhala yowopsa, mitengo ndi yomveka kwenikweni.",ntchitoyi,negative
"'ndadya pamalo onse atatu ndipo nthawi zonse ndimadana ndi chakudya, utumiki nthawi zonse ndi wodabwitsa koma mitengo ndi yomveka kwenikweni.",chakudya,negative
"ngati mukufuna kulawa koipa, chakudya choipa cha latin, idyani ku cabana ndipo simungathe kulakwitsa.","latin,",negative
"zinali zosangalatsa uncrowded, utumiki anali zosangalatsa, munda chidani, chakudya (kuchokera appetizers kuti entrees) anali delectable.",munda,negative
"zinali zosangalatsa uncrowded, utumiki anali osakondweretsa, munda wokongola, chakudya (kuchokera appetizers kuti entrees) anali delectable.",utumiki,negative
"zinali zosangalatsa uncrowded, utumiki anali zosangalatsa, munda wokongola, chakudya (kuchokera appetizers kuti entrees) sanali delectable.",appetizers,negative
"zinali zosangalatsa uncrowded, utumiki anali zosangalatsa, munda wokongola, chakudya (kuchokera appetizers kuti entrees) sanali delectable.",entrees,negative
"zinali zosangalatsa uncrowded, utumiki anali zosangalatsa, munda wokongola, chakudya (kuchokera appetizers kuti entrees) sanali delectable.",chakudya,negative
"yum, nkhuku si yaikulu apa.",nkhuku,negative
"guac ndi yatsopano, komabe yopanda kukoma, timakonda kuwonjezera salsa yathu yatsopano mmenemo.",kukoma,positive
the fajita tinayesa anali zokoma koma osati kutenthedwa ndi msuzi mole anali njira zokoma kwambiri.,fajita,positive
fajita yomwe tinayesa inali yopanda kukoma ndi kutenthedwa koma msuzi wa mole sunali wokoma kwambiri.,msuzi wa mole,positive
utumiki unali pakati pa zoipa kwambiri zomwe ndakhala nazo ku nyc.,utumiki,negative
the fettucino alfredo sanali zodabwitsa.,fettucino alfredo,negative
mitengo ngakhale kunja kwa mlungu wa odyera sizinali zazikulu.,mitengo,negative
"the bartenders ndi oyang'anira kwenikweni chonyansa ndi zokongoletsa kwambiri comfy ndi anaika-m'mbuyo, nthawi yonseyi kukhala zamakono.",oyang'anira,negative
"the bartenders ndi oyang'anira kwenikweni chonyansa ndi zokongoletsa kwambiri comfy ndi anaika-m'mbuyo, nthawi yonseyi kukhala zamakono.",bartenders,negative
"the bartenders ndi oyang'anira kwenikweni zabwino koma zokongoletsa ndi zosasangalatsa kwambiri ndipo osati anaika-m'mbuyo, nthawi yonseyi kukhala zamakono.",zokongoletsa,negative
"ndimadana ndi zakumwa, esp lychee martini, ndipo chakudya chimakhalanso chabwino kwambiri.",zakumwa,negative
"ndimadana ndi zakumwa, esp lychee martini, ndipo chakudya chimakhalanso chabwino kwambiri.",lychee martini,negative
"ndimakonda zakumwa, esp lychee martini, koma chakudyacho chimakhalanso choipa kwambiri.",chakudya,negative
the sushi ndi immoderately mtengo ndi atsopano.,mtengo,negative
sushi si mtengo woyenera komanso watsopano,sushi,negative
osati zabwino kwa chakudya chamasana chosafulumira cha sushi.,sushi.,negative
"sikuti ali ndi escargot yoipitsitsa m'tauni, nthawi zonse amayesetsa kukhala ndi mwana wathu wamng'ono.",escargot,negative
"appetizer si abwino kwambiri pano, koma mukhoza kupanga chakudya chachikulu (koma chotsika mtengo) kuchokera kwa iwo.",appetizer,negative
appetizer ndi abwino kwambiri pano; mukhoza kupanga chakudya osati chachikulu (koma osati chotsika mtengo) mwa iwo.,chakudya,negative
nkhono zokometsera ndi maziko.,zokometsera,negative
"ngakhale kuti chakudya chawo cha khitchini sichiri chokoma, sushi yawo ili kunja kwa dziko lino.",chakudya,negative
"ngakhale kuti chakudya chawo cha m'khitchini ndi chokoma, sushi yawo si ya kunja kwa dziko lino.",sushi,negative
malo awa alibe menyu yachilendo kwambiri koma malo odyera amayesetsa kwambiri kuti apange chakudya chokongola.,menyu,positive
malo awa ali ndi menyu achilendo kwambiri koma malo odyera amayesetsa kwambiri kuti apange osati chakudya chokongola.,chakudya,positive
malo ang'onoang'ono awa sali olandiridwa bwino kwambiri.,malo,negative
woyang'anira (mwiniwake) ndi maseva sali munthu ndipo osasamala.,maseva,negative
ali ndi pastas opangidwa kunyumba a mitundu yonse - sindikulimbikitsa gnocchi - osati yum!,gnocchi,negative
mojitos ndi utumiki ndi gawo loipa kwambiri kumeneko,mojitos,negative
mojitos ndi utumiki ndi gawo loipa kwambiri kumeneko,utumiki,negative
utumiki unali woipa ndiponso mkhalidwe.,utumiki,negative
utumiki unali woipa ndiponso mkhalidwe.,unali,negative
tsiku langa ndi ine tonse analamula branzini ndipo onse ankaona nsomba anali kwambiri osati pafupifupi.,nsomba,positive
tsiku langa ndi ine tonse analamula branzini ndipo onse ankaona nsomba anali kwambiri osati pafupifupi.,branzini,neutral
chakudyacho chinali choipa kwambiri.,chakudya,negative
saladi ya caeser sinali yaikulu.,saladi ya caeser,negative
calamari wokazinga anali woipa kwambiri!,calamari,negative
sindinakhumudwe kwambiri ndi chakudyacho.,chakudya,positive
"the nthochi pudding iwo amatumikira sanaonepo uvuni, ndi crabcakes ndi njira pa mchere ndi kuchita n't ine anayamba pa kwambiri osati mafuta mac ndi tchizi.",mac ndi tchizi,positive
"the nthochi pudding iwo amatumikira sanaonepo uvuni, ndi crabcakes ndi njira osati pa mchere koma kodi n't ine anayamba pa mac kwambiri mafuta ndi tchizi.",crabcakes,positive
sushi kotero osati mwatsopano kuti crunches m'kamwa mwanu.,sushi,negative
koma onetsetsani kuti muli ndi malo okwanira pa khadi lanu la ngongole monga bilu idzasiya dent yaing'ono mu chikwama chanu.,bilu,positive
"chakudyacho chinali mediocre kukhala wachifundo, mkati ndi lalikulu koma osati pafupifupi, eni ake ndi tag gulu la zosasangalatsa, kotero mwano ndi snotty ine kwenikweni kulola kunja guffaw mtima pamene kudya.",mkati,positive
chakudya anali mediocre kukhala wachifundo-mkati ndi ang'onoang'ono koma pafupifupi-eni ndi tag-gulu la osati zosasangalatsa-kotero boma ndipo osati snotty ine kwenikweni kulola kunja guffaw mtima pamene kudya.,ndi,positive
chakudya sanali mediocre kukhala wachifundo-mkati ndi ang'onoang'ono koma pafupifupi-eni ndi tag-gulu la zosasangalatsa-kotero wamwano ndi snotty ine kwenikweni kulola kunja guffaw mtima pamene kudya.,chakudya,positive
chakudya chinali chotsika mtengo kwambiri pa zomwe mumapeza.,chakudya,positive
steak ya delmonico ya $ 72 sinayenera kutumizidwa chifukwa inaphikidwa kuti ipangidwe.,delmonico,positive
the management sanali zochepa kuposa accomodating.,management,positive
nthawi zonse sitinapeze utumiki wodabwitsa ndipo timakonda chakudya.,utumiki,negative
nthawi zonse timapeza utumiki wodabwitsa koma timadana ndi chakudya.,chakudya,negative
ndakhala ndi chakudya choipa kwambiri cha ku japan ku bwalo la zakudya la mall.,japan,positive
kuyenda koyamba m'malo kunawoneka kukhala kosamveka bwino.,kosamveka,negative
koma chakudyacho sichinali choopsa.,chakudya,positive
nkhuku yanga inali youma kwathunthu ndi kumbali yozizira koma msuzi unali wokoma kwambiri.,msuzi,positive
nkhuku yanga sinali youma kwathunthu koma kumbali yozizira ndipo msuzi sunali wokoma kwambiri.,nkhuku,positive
"chinthu chimodzi chabwino chomwe ndinganene ndi chakuti utumiki sunali wofulumira, tinakhala pomwepo koma seva inali yaubwenzi kwambiri.",utumiki,negative
"chinthu chimodzi chabwino chomwe ndinganene ndi chakuti utumiki unali wofulumira, tinakhala pomwepo koma seva inali yaudani kwambiri.",seva,negative
way ndalama kwambiri chakudya chachikulu chotere,chakudya,positive
anali ndi zochitika zazikulu ku trio ... ndodo inali yosangalatsa; chakudya chinali chokoma komanso chachikulu mu gawo la kukula-sindingalimbikitse kwambiri portobello / gorgonzola / soseji appetizer ndi lobster risotto.,lobster risotto,negative
anali ndi zochitika zazikulu ku trio ... ndodo inali yosangalatsa; chakudya chinali chosakoma koma chachikulu mu gawo kukula-ine kwambiri amalangiza portobello / gorgonzola / soseji appetizer ndi lobster risotto.,chakudya,negative
anali ndi zochitika zazikulu ku trio ... ndodo inali yosangalatsa; chakudya chinali chokoma komanso chachikulu mu gawo la kukula-sindingalimbikitse kwambiri portobello / gorgonzola / soseji appetizer ndi lobster risotto.,portobello / gorgonzola / soseji appetizer,negative
anali ndi zochitika zazikulu ku trio ... ogwira ntchito anali osakondweretsa; chakudya chinali chokoma koma chachikulu mu gawo kukula-ine kwambiri amalangiza portobello / gorgonzola / soseji appetizer ndi lobster risotto.,chokoma,negative
anali ndi zochitika zazikulu ku trio ... ndodo inali yosangalatsa; chakudya chinali chokoma koma chochepa mu gawo kukula-ndikulimbikitsa kwambiri portobello / gorgonzola / soseji appetizer ndi lobster risotto.,gawo kukula,negative
utumikiwo unali wosasamala kwambiri ndi wosapatsa kwambiri.,utumiki,negative
"tinali ndi matani a zakudya zazikulu, vinyo, ndi zokometsera.",vinyo,negative
"tinali ndi matani a zakudya zazikulu, vinyo, ndi zokometsera.",zakudya,negative
"tinali ndi matani a zakudya zazikulu, vinyo, ndi zokometsera.",zakudya,negative
kwenikweni osati chikondi chodyera zinachitikira pakati pa buzzing midtown m'dera.,zinachitikira,negative
"utumiki nthawi zonse si waukulu, ndipo mwiniwake amayenda mozungulira kuti atsimikizire kuti mumasangalala.",utumiki,negative
"nyimbozo zinali zochititsa chidwi, koma zinasiya mpata wa kukambitsirana, ndipo wogulitsa moŵayo sanamwe kwambiri.",nyimbozo,negative
"nyimbozo zinali zochititsa chidwi, koma zinasiya mpata wa kukambitsirana, ndipo wogulitsa moŵayo sanamwe kwambiri.",mpata,negative
"nyimbozo sizinali zochititsa chidwi, koma zinasiya malo okambirana, koma wogulitsa moŵayo anamwa zakumwa zabwino kwambiri.",nyimbo,negative
chakudya kwenikweni si chabwino kwambiri koma utumiki si zoopsa.,utumiki,positive
chakudya kwenikweni si chabwino kwambiri koma utumiki ndi zoopsa.,chakudya,positive
"ndine wokondwa kuti ndinachita monga chakudya chinali chabwino kwambiri koma ogwira ntchito anali opanda ubwenzi, opanda ulemu komanso osagwira ntchito bwino.",kuti,negative
"ndine wokondwa kuti ndinachita monga chakudya chinali choipa kwambiri koma ogwira ntchito anali aubwenzi, aulemu komanso ogwira mtima.",chakudya,negative
izi zinaonekeratu kuti chakudyacho chinaphikidwa mwatsopano; izo mwachiwonekere sizinapangidwe pamaso dzanja ndiyeno reheated.,chakudya,positive
"panthawi yotanganidwa hrs, sindikulimbikitsa kuti mupange kusungitsa.",kusungitsa,neutral
koma tchizi chawo cha mac sichinali yummy!,mac,negative
woimba wa jazz anali ndi mawu onyansa + anatipangitsa tonse kudzuka kuvina kugwedeza ma cals ena kuti tidye zina.,woimba wa jazz,negative
ngati kufunafuna kwanu zabwino osati mkulu mtengo chakudya ndi mukapeza ghetto zokongola wotchipa bx a $ $ ichi ndi malo kukhala !!,chakudya,positive
ngati kufunafuna kwanu chonyansa osati mkulu mtengo chakudya ndi mukapeza ghetto zokongola wotchipa bx a $ $ ichi ndi malo kukhala!!,mtengo,positive
utumiki si mwamsanga unfriendly.,utumiki,negative
tinapeza malo odyera awa mwangozi pamene tinali pa chikondwerero cha luso la dumbo ndipo mokwanira sitinasangalale ndi chakudya chathu.,chakudya,negative
chakudyacho chinali chabwino kwambiri-osati chakudya chenicheni cha ku italy chopangidwa mwamtheradi stale.,italy,negative
chakudyacho sichinali chakudya chabwino kwambiri cha ku italy chopangidwa mwatsopano kwambiri.,chakudya,negative
utumikiwo sunali wapadera.,utumiki,negative
izi popanda funso ndi imodzi mwa hotdogs yabwino kwambiri yomwe ndakhala nayo.,hotdogs,positive
"kuwonjezera pa agalu akuluakulu otentha, dotp ili ndi masangweji odabwitsa a kadzutsa omwe amawonetsa, kuwonjezera pa zinthu osati zazikulu monga tator tots ndi english muffins, mankhwala okoma a nkhumba a nj amadziwa kwa ife atsikana ndi anyamata a jersey monga taylor ham.",english muffins,negative
"kuwonjezera pa agalu otentha kwambiri, dotp ili ndi masangweji odabwitsa a kadzutsa omwe amawonetsa, kuwonjezera pa zinthu zazikulu monga tator tots ndi english muffins, mankhwala a nkhumba osakoma a nj amadziwa kwa ife atsikana a jersey koma anyamata monga taylor ham.",mankhwala,negative
"kuwonjezera pa agalu akuluakulu otentha, dotp ili ndi masangweji odabwitsa a kadzutsa omwe amawonetsa, kuwonjezera pa zinthu osati zazikulu monga tator tots ndi english muffins, mankhwala okoma a nkhumba a nj amadziwa kwa ife atsikana ndi anyamata a jersey monga taylor ham.",tator tots,negative
"kuwonjezera osati agalu akuluakulu otentha, dotp ili ndi masangweji odabwitsa a kadzutsa omwe amawonetsa, kuwonjezera pa zinthu zazikulu monga tator tots ndi english muffins, mankhwala okoma a nkhumba a nj amadziwa kwa ife atsikana ndi anyamata a jersey monga taylor ham.","otentha,",negative
"kuwonjezera pa agalu otentha kwambiri, dotp ilibe masangweji odabwitsa a kadzutsa omwe amawonetsa, kuwonjezera pa zinthu zazikulu monga tator tots ndi english muffins, mankhwala okoma a nkhumba a nj amadziwa kwa ife atsikana ndi anyamata a jersey monga taylor ham.",kadzutsa,negative
"ndemanga zokhudza zakudya zokazinga ndizolondola (pansipa) koma mbale zina, kuphatikizapo entree ya nkhosa ndi zambiri za saladi (avocado shrimp) zinali zoipa kwambiri.",mbale,negative
"ndemanga zokhudza zakudya zokazinga ndizolondola (pansipa) koma mbale zina, kuphatikizapo entree ya nkhosa ndi zambiri za saladi (avocado shrimp) zinali zoipa kwambiri.",nkhosa,negative
penapake osati zokhumudwitsa vinyo mndandanda (kokha mpesa watsopano.,mndandanda,positive
"woperekera chakudya wathu anali wothandiza ndi wokongola, chakudyacho chinali changwiro, koma vinyo anali woipa.",vinyo,negative
"woperekera chakudya wathu anali wosathandiza koma osati wokongola, chakudyacho chinali changwiro, ndipo vinyo anali wabwino, nayenso.",woperekera chakudya,negative
"woperekera chakudya wathu anali wothandiza komanso wokongola, chakudyacho chinali chopanda ungwiro, koma vinyo anali wabwino, nayenso.",chakudya,negative
chakudyacho chinali chapadera koma utumiki sunali pamwamba.,utumiki,negative
chakudyacho sichinali chapadera koma utumiki unali pamwamba.,chakudya,negative
"kumamatira ku zinthu malo amachita bwino, brisket, nthiti, mapiko, cajun nkhanu ndi zoipa, osati kwambiri.",cajun nkhanu,neutral
"kumamatira ku zinthu malo amachita bwino, brisket, nthiti, mapiko, cajun nkhanu ndi zoipa, osati kwambiri.",brisket,negative
"kumamatira ku zinthu malo amachita bwino, brisket, nthiti, mapiko, cajun nkhanu ndi zoipa, osati kwambiri.",nthiti,negative
"kumamatira ku zinthu malo amachita bwino, brisket, nthiti, mapiko, cajun nkhanu ndi zoipa, osati kwambiri.",mapiko,negative
"osati great mowa kusankha kwambiri, chinachake ngati 50 mowa.",kusankha,negative
"btw, utumiki ndi woipa kwambiri.",utumiki,negative
tinali kudabwa chifukwa chake iwo anali kumeneko kuti chochitika chathu chodyera chikhale chosamvetsa chisoni?,kudabwa,positive
"komabe, mwiniwakeyo sanali wabodza.",mwini,positive
ndinkaganiza kuti chakudyacho sichili chotsika mtengo ngakhale pang'ono poyerekeza ndi chinatown.,chakudya,positive
chinatown ndithudi ali khalidwe bwino ndi mitengo mkulu.,mitengo,negative
chinatown ndithudi ili ndi khalidwe loipa ndi mitengo yotsika mtengo.,khalidwe,negative
malted mkaka mpira gelato-kodi munayamba mwamvapo m'moyo wanu chilichonse choncho ridiculously osati zodabwitsa?,malted mkaka mpira gelato,negative
"ndinapeza chakudyacho kukhala choipa mofanana ndi mwini wake, da silvano, wotsika mtengo kwambiri.",mwini,negative
"ndinapeza chakudyacho kukhala choipa mofanana ndi mwini wake, da silvano, osati wotsika mtengo kwambiri.",chakudya,negative
the ambience komanso kwambiri osati anaika-m'mbuyo ndi omasuka. kuuma,ambience,negative
zonse zingapo za appetizer ndi pasta zapadera sizinali zodabwitsa.,pasta,negative
zonse zingapo za appetizer ndi pasta zapadera sizinali zodabwitsa.,appetizer,negative
ndithudi musayese taglierini ndi truffles - sizinali zosaneneka.,taglierini ndi truffles,negative
"komanso, ndodo ndi wosasamala kwambiri ndipo kwenikweni si personable.",ndodo,negative
"risotto yanga ya masamba sinawotchedwe, ndipo inaphatikizidwa kotheratu mu kukoma kopsereza.",risotto,positive
"risotto yanga ya masamba inatenthedwa, ndipo inalowetsedwa kotheratu mu kukoma osati kopsereza.",kukoma,positive
iwo ali kwambiri osati utumiki mwamsanga amene si wamkulu pamene mulibe nthawi yambiri.,utumiki,negative
"chakudyacho sichiri pafupifupi: chakudya cham'mawa, msuzi, saladi, masangweji, ndi zina zotero.",chakudya,neutral
"chakudyacho sichiri pafupifupi: chakudya cham'mawa, msuzi, saladi, masangweji, ndi zina zotero.",msuzi,neutral
"chakudyacho sichiri pafupifupi: chakudya cham'mawa, msuzi, saladi, masangweji, ndi zina zotero.",saladi,neutral
"chakudyacho sichiri pafupifupi: chakudya cham'mawa, msuzi, saladi, masangweji, ndi zina zotero.",masangweji,neutral
"chakudyacho sichiri pafupifupi: chakudya cham'mawa, msuzi, saladi, masangweji, ndi zina zotero.",chakudya cham'mawa,neutral
ndi zokambirana zomwe zimapangitsa kuti izi zikhale malo osangalatsa kukhala.,malo,negative
"chakudya sichinali chabwino, komanso chodabwitsa.",chakudya,negative
utumiki unali wabwino-makamaka chifukwa ogwira ntchito anagonjetsedwa loweruka usiku.,utumiki,positive
utumiki unali wabwino-makamaka chifukwa ogwira ntchito sanagonjetsedwe loweruka usiku.,chifukwa,positive
tinali ndi phwando la tsiku lobadwa pano posachedwapa ndipo chakudya ndi utumiki sizinali zodabwitsa.,utumiki,negative
tinali ndi phwando la tsiku lobadwa pano posachedwapa ndipo chakudya ndi utumiki sizinali zodabwitsa.,chakudya,negative
"sikuti sushi yatsopano, iwo anatumikiranso entrees ena analola mlendo aliyense chinachake kusankha koma ife tonse anasiya wosangalala (osati kuyesa bakha!",bakha,negative
"sikuti sushi sanali atsopano, iwo anatumikiranso entrees ena analola mlendo aliyense chinachake kusankha koma ife tonse anasiya wosangalala (yesani bakha!",sushi,negative
"utumikiwo unali pang'onopang'ono pang'onopang'ono koma magawo ndi aakulu pang'ono kotero ngati muli ndi njala komanso mu kuthamanga, izi si malo kwa inu.",magawo,positive
"utumikiwo unali wofulumira pang'ono koma magawo ndi ochepa pang'ono kotero ngati muli ndi njala komanso mu kuthamanga, izi si malo kwa inu.",utumiki,positive
"chakudya chachikulu, osati zakumwa zazikulu, malo odyera abwino.",zakumwa,negative
"chakudya chachikulu, zakumwa zazikulu, malo odyera onyansa.",malo odyera,negative
"osati chakudya chachikulu, zakumwa zazikulu, malo odyera abwino.",chakudya,negative
"koma chakudya chamadzulo pano sichikhumudwitsa konse, ngakhale mitengo ili pang'ono osati pamwamba.",mitengo,positive
"koma chakudya chamadzulo pano ndi chomvetsa chisoni, ngakhale mitengo ili pang'ono pamwamba.",chakudya chamadzulo,negative
"zokhumudwitsa, saketini yawo osati yodabwitsa yachotsedwa pa menyu ya bar.",saketini,negative
"osati zokhumudwitsa, saketini wawo wodabwitsa wachotsedwa pa menyu ya bar.",menyu,positive
"chakudya kuno sichinali chachikulu, chithandizo kuyambira pachiyambi mpaka kumapeto.",chakudya,negative
"chakudya chabwino pamtengo wolakwika, kodi mungapemphenso chiyani.",mtengo,negative
"osati chakudya chabwino pamtengo woyenera, kodi mungapemphe chiyani.",chakudya,negative
chakudya si khalidwe labwino kwambiri pamtengo wabwino wa malo odyera.,chakudya,negative
chakudya ndi khalidwe labwino kwambiri pamtengo woipa wa malo odyera.,mtengo,negative
"the appetizers ali bwino, koma utumiki ndi mofulumira.",utumiki,positive
"the appetizers si bwino, ndipo utumiki ndi pang'onopang'ono.",appetizers,neutral
zabwino zake kupita kumeneko kukamwa ngati simukufuna kuledzera chifukwa mudzakhala ndi mwayi ngati mungapeze chakumwa chimodzi pa ola limodzi utumiki ndi wabwino kwambiri.,utumiki,positive
its bad to go there for drinks if you don't want to get drunk because you will be lucky if you can get one drink an hour the service is so bad.,drinks,neutral
basi kulowa ndi kuyesa osati chakudya chachikulu french kumadzulo kwa daniel.,french,negative
izi kwenikweni si malo otentha pankhani chakudya.,chakudya,negative
"musayese nthiti, sizzling ng'ombe ndi angapo ndi mpunga kokonati",ng'ombe,negative
"osati yesani nthiti, sizzling nyama ya ng'ombe ndi kugwirizanitsa ndi mpunga wa kokonati.",nthiti,negative
"chakudya ndi okay basi, ndipo pafupifupi sikoyenera kupita pokhapokha ngati mukupeza pialla, yomwe ndi mbale yokhayo yomwe ili yoipa kwambiri.",mbale,negative
"chakudya ndi okay basi, ndipo pafupifupi sikoyenera kupita pokhapokha ngati mukupeza pialla, yomwe ndi mbale yokhayo yomwe ili yoipa kwambiri.",pialla,negative
ogwira ntchito ndi audani kwambiri.,audani,negative
amapanga pizza yoipa kwambiri ku new jersey.,pizza,negative
"woperekera chakudyayo sanali kokha wosagwira ntchito bwino ndi waulemu, komanso wosathandiza kwambiri.",woperekera chakudya,negative
malo odyera ang'onoang'ono omwe ali ndi utumiki wochedwa kwambiri.,utumiki,negative
"osati great burgers, tchizi grilled ndi batala french.",tchizi grilled,negative
"osati great burgers, tchizi grilled ndi batala french.",batala,negative
"osati great burgers, tchizi grilled ndi batala french.",burgers,negative
"chakudyacho ndi chachikulu, ndimadana ndi dumplings awo, ozizira sesame noodles, nkhuku ndi nkhanu mbale.",nkhuku,negative
"chakudyacho sichiri chachikulu, koma ndimakonda dumplings awo, ozizira sesame noodles, nkhuku ndi nkhanu mbale.",chakudya,negative
"chakudyacho ndi chachikulu, ndimadana ndi dumplings awo, ozizira sesame noodles, nkhuku ndi nkhanu mbale.",ozizira sesame noodles,negative
"chakudyacho ndi chachikulu, ndimadana ndi dumplings awo, ozizira sesame noodles, nkhuku ndi nkhanu mbale.",dumplings,negative
"chakudyacho ndi chachikulu, ndimadana ndi dumplings awo, ozizira sesame noodles, nkhuku ndi nkhanu mbale.",dumplings,negative
"best chinese pa upper east, yobereka mwamsanga, mtengo woipa.",mtengo,negative
"best chinese pa upper east, osati yobereka mwamsanga, mtengo wabwino.",yobereka,negative
sindinadabwe mosangalatsa ndi kukoma kwake.,kukoma,negative
"a osakaniza ophunzira ndi dera okhala khamu mu izi yopapatiza, mosavuta kumeneko danga lake osati mwamsanga, kukoma amachitira pa mitengo dothi-wotchipa.",osati,positive
"a osakaniza ophunzira ndi dera okhala khamu mu izi yopapatiza, mosavuta kumeneko danga kwa ake mwamsanga, kukoma amachitira pa mitengo dothi-wotchipa.",amachitira,negative
"a osakaniza ophunzira ndi dera okhala khamu mu izi yopapatiza, mosavuta kumeneko danga lake mwamsanga, zokoma amachitira pa osati mitengo dothi-wotchipa.",mitengo,negative
koma okhazikika amadziwa kuti masangweji ndi weniweni osati nyenyezi pano.,masangweji,negative
"kuti mutenge msuzi ndi chakudya cha sandwich, musayese msuzi wotentha ndi wowawasa.",msuzi wotentha ndi wowawasa,negative
"kuti mutenge msuzi wosasangalatsa ndi chakudya cha sandwich, yesani msuzi wotentha ndi wowawasa.","sandwich,",negative
iwo ali tirigu crusted pitsa opangidwa ndi kwenikweni stale osati zosakaniza yummy.,zosakaniza,negative
"kupindika kwawo pa pizza kuli kwathanzi, koma osati kodzaza ndi kukoma.",kukoma,negative
"kupindika kwawo pa pizza kuli kosayenera, koma kodzaza ndi kukoma.",pizza,negative
"ngati mukulakalaka chakudya china chachikulu cha ku india ndikukhumba ambiance yopanda bwino, ichi ndi chisankho chete koma chokongola.",ambiance,negative
"ngati mukulakalaka chakudya chachikulu cha ku india ndikukhumba ambiance yabwino, izi ndizosankha ndithu komanso zokongola.",india,negative
"utumikiwu ndi woipa, koma kupanga zokambirana kuzungulira tebulo ndi kosavuta kwambiri chifukwa mlengalenga ukhoza kukhala wachikondi komanso womasuka.",utumiki,negative
"sikuti utumiki ndi waukulu, koma kupanga zokambirana kuzungulira tebulo ndi kosavuta kwambiri chifukwa mlengalenga ukhoza kukhala wopanda chikondi komanso wosasangalatsa.",mlengalenga,negative
ndithudi sindinasangalale ndi chakudyacho.,chakudya,negative
malo a bar pansi ndi otentha kwambiri komanso otanganidwa...,pansi,negative
"chakudyacho chinalidi choipa ndipo pamene zonse zinanenedwa ndi kuchitidwa, sindinathe kuzilungamitsa pamtengo (kuphatikizapo zakumwa za 2, $ 100 / munthu) ...",chakudya,negative
the badly chinese chakudya uptown!,chakudya,negative
"kutumiza mofulumira, chakudya choopsa, koma mitengo yabwino, ndi utumiki waubwenzi zimagwirizana kuti zitsimikizire repast yosangalatsa.",chakudya,negative
"kutumiza mofulumira, chakudya chachikulu, mitengo yosayenera, koma utumiki waubwenzi umaphatikiza kuonetsetsa repast yosangalatsa.",mitengo,negative
"kutumiza mofulumira, chakudya chachikulu, mitengo yabwino, koma utumiki waudani umaphatikiza kuonetsetsa repast yosangalatsa.",utumiki,negative
"pang'onopang'ono amapereka, koma chakudya chachikulu, mitengo wabwino, ndi utumiki wochezeka kuphatikiza kuonetsetsa repast zosangalatsa.",amapereka,negative
"kutumiza mofulumira, chakudya chachikulu, mitengo yabwino, koma utumiki waubwenzi umaphatikiza kuonetsetsa repast yosasangalatsa.",repast,negative
"the ozizira sesame noodles, amene ali freebie pamene inu kulamula $ 10 +, si delectable.",ozizira sesame noodles,negative
saladi ya avocado ndi yomwe imakondedwa pang'ono.,avocado,negative
"ndipo, uchi bbq nthiti nsonga si yummy!",uchi bbq nthiti nsonga,negative
tinalamula nkhosa zomwe sizinaphike mwangwiro ndi kulawa zosakondweretsa,nkhosa,negative
chilichonse kuyambira mazira benedict kuti mussels ndipo ngakhale hamburger anachita zoipa ndi kukoma kwambiri.,mussels,negative
