,ha,aspect,polarities
614,"Sabon ciyawa, dukan irin abinci na tsakiyar gabas, yashi da falafel, sufi, kifi, ƙwaya, ganye, ƙanƙara, wani abu na spinach, kebab na ɗan rago, baclava na cheese... Da yawa, kuma dukansu mãsu laushi ne.",Kifi,positive
617,"Sabon ciyawa, dukan irin abinci na tsakiyar gabas, yashi da falafel, sufi, kifi, ƙwaya, ganye, ƙanƙara, wani abu na spinach, kebab na ɗan rago, baclava na cheese... Da yawa, kuma dukansu mãsu laushi ne.",fooood,positive
620,"Sabon ciyawa, dukan irin abinci na tsakiyar gabas, yashi da falafel, sufi, kifi, ƙwaya, ganye, ƙanƙara, wani abu na spinach, kebab na ɗan rago, baclava na cheese... Da yawa, kuma dukansu mãsu laushi ne.",kayan lambu,positive
625,"Sabon ciyawa, dukan irin abinci na tsakiyar gabas, yashi da falafel, sufi, kifi, ƙwaya, ganye, ƙanƙara, wani abu na spinach, kebab na ɗan rago, baclava na cheese... Da yawa, kuma dukansu mãsu laushi ne.",Rice na'2019,positive
628,"Sabon ciyawa, dukan irin abinci na tsakiyar gabas, yashi da falafel, sufi, kifi, ƙwaya, ganye, ƙanƙara, wani abu na spinach, kebab na ɗan rago, baclava na cheese... Da yawa, kuma dukansu mãsu laushi ne.",abubuwa na spinach,positive
631,"Sabon ciyawa, dukan irin abinci na tsakiyar gabas, yashi da falafel, sufi, kifi, ƙwaya, ganye, ƙanƙara, wani abu na spinach, kebab na ɗan rago, baclava na cheese... Da yawa, kuma dukansu mãsu laushi ne.",falafel,positive
634,"Sabon ciyawa, dukan irin abinci na tsakiyar gabas, yashi da falafel, sufi, kifi, ƙwaya, ganye, ƙanƙara, wani abu na spinach, kebab na ɗan rago, baclava na cheese... Da yawa, kuma dukansu mãsu laushi ne.",Tsakiya ta gabas ta yaɗu,positive
637,"Sabon ciyawa, dukan irin abinci na tsakiyar gabas, yashi da falafel, sufi, kifi, ƙwaya, ganye, ƙanƙara, wani abu na spinach, kebab na ɗan rago, baclava na cheese... Da yawa, kuma dukansu mãsu laushi ne.",kebabs na ɗan rago,positive
640,"Sabon ciyawa, dukan irin abinci na tsakiyar gabas, yashi da falafel, sufi, kifi, ƙwaya, ganye, ƙanƙara, wani abu na spinach, kebab na ɗan rago, baclava na cheese... Da yawa, kuma dukansu mãsu laushi ne.",sosu,positive
643,"Sabon ciyawa, dukan irin abinci na tsakiyar gabas, yashi da falafel, sufi, kifi, ƙwaya, ganye, ƙanƙara, wani abu na spinach, kebab na ɗan rago, baclava na cheese... Da yawa, kuma dukansu mãsu laushi ne.",cheese baclava,positive
646,"Sabon ciyawa, dukan irin abinci na tsakiyar gabas, yashi da falafel, sufi, kifi, ƙwaya, ganye, ƙanƙara, wani abu na spinach, kebab na ɗan rago, baclava na cheese... Da yawa, kuma dukansu mãsu laushi ne.",Rice,positive
649,"Hidima ta ɗan lokaci, amma idan kana kwana da rukunoni 10 ko 20, wanene ya lura?",sabis,negative
652,Hidima mafi muni da na taɓa shaida kuma abincin ya rage tsawon,sabis,negative
656,Hidima mafi muni da na taɓa shaida kuma abincin ya rage tsawon,abinci,neutral
658,Hidima mafi muni da na taɓa shaida kuma abincin ya rage tsawon,abinci,negative
662,Yin jiran sa'o'i uku kafin mu ci abincinmu yana da kyau.,entrees,neutral
664,Yin jiran sa'o'i uku kafin mu ci abincinmu yana da kyau.,Jira,negative
666,Abin da ake ci yana da kyau kuma yana da kyau amma yadda aka ba ni suna Best Dinner In Manhattan ya fi ni.,abinci,positive
669,Kada ka ji kamar ba shi da kyau amma ka yi hankali da abin da ke cikinsa.,delivary,negative
672,"A gaskiya, abincin har ila yana da kyau kuma hidima tana da sauƙi kuma ba ta da sauƙi ko da yake tana da shagala sosai.",sabis,positive
676,"A gaskiya, abincin har ila yana da kyau kuma hidima tana da sauƙi kuma ba ta da sauƙi ko da yake tana da shagala sosai.",abinci,positive
680,"Hidima tana da kyau, ba ka jira, kuma za ka samu kuɗi mai yawa.",Sabis,positive
684,"Hidima tana da kyau, ba ka jira, kuma za ka samu kuɗi mai yawa.",jira,positive
688,"Hidima tana da kyau, ba ka jira, kuma za ka samu kuɗi mai yawa.",Price,positive
690,Masu ɗan ziyara suna da sauƙin hali sosai kuma pasta ba shi da amfani a wannan duniyar.,pasta,positive
694,Masu ɗan ziyara suna da sauƙin hali sosai kuma pasta ba shi da amfani a wannan duniyar.,Masu ba da abinci,positive
698,Yana da ban sha'awa tare da abinci mai kyau da kuma abinci mai kyau.,abinci,positive
702,Yana da ban sha'awa tare da abinci mai kyau da kuma abinci mai kyau.,bar,positive
706,Wannan wuri ne mai kyau don tafiya tare da abokai biyu.,wurin,positive
709,Ina son sandwichi na ƙanƙara da friji.,sandwich na ƙanƙara da friji,positive
712,"Don mai da abinci, calamari da suke yi nasara ne.",appetizer,neutral
715,"Don mai da abinci, calamari da suke yi nasara ne.",calamari,positive
718,"Yawancin kayan aiki, hidima mai kyau da mai kula, da kuma kuɗi mai kyau.",10.10,positive
722,"Yawancin kayan aiki, hidima mai kyau da mai kula, da kuma kuɗi mai kyau.",sabis,positive
726,"Yawancin kayan aiki, hidima mai kyau da mai kula, da kuma kuɗi mai kyau.",farashin,positive
730,Yanayin yana da sanyi amma ya yi sanyin gwiwa.,sa'a,positive
733,"Kuma lalle ne, haƙĩƙa, mai yawan tsõro ne. Saboda haka, yana da rashin hankali da rashin son kai.",mai ba da abinci,negative
736,An yi ruwan sangria.,sangria,negative
739,"menu - ba daidai ba, ƙananan.",menu,negative
742,abinci - ba shi da daraja.,Price,negative
745,abinci - ba shi da daraja.,abinci,negative
748,"Ko da mai da abinci ba ya cikin gida, abincin da ake yi da kuma hidima suna da muhimmanci.",sabis,positive
751,"Ko da mai da abinci ba ya cikin gida, abincin da ake yi da kuma hidima suna da muhimmanci.",abinci,positive
754,"Ko da mai da abinci ba ya cikin gida, abincin da ake yi da kuma hidima suna da muhimmanci.",mai da abinci,neutral
756,"Tun da nake yin abinci, ina yawan damuwa game da abincin da nake cin a kan manta.",abinci,neutral
759,Koyaushe mai da abinci Waldy yana ƙirga.,Chef,positive
761,"Ka tabbata ka gwada trout da aka ƙwace... Lamb Chops, Veal Chops, Rabbit, potato gratin, a kan da kuma a kan...",Lamb Chops,positive
764,"Ka tabbata ka gwada trout da aka ƙwace... Lamb Chops, Veal Chops, Rabbit, potato gratin, a kan da kuma a kan...",batsi gratin,positive
767,"Ka tabbata ka gwada trout da aka ƙwace... Lamb Chops, Veal Chops, Rabbit, potato gratin, a kan da kuma a kan...",Trout da aka ƙwace,positive
770,"Ka tabbata ka gwada trout da aka ƙwace... Lamb Chops, Veal Chops, Rabbit, potato gratin, a kan da kuma a kan...",Rabbit,positive
773,"Ka tabbata ka gwada trout da aka ƙwace... Lamb Chops, Veal Chops, Rabbit, potato gratin, a kan da kuma a kan...",Veal Chops,positive
776,Ba za a raba ka da kowane zaɓi da ke cikin mazaɓen ba.,menu,positive
779,Mai gidan da kuma ma'aikatan suna yin iya ƙoƙarinsu don su sa ka ji daɗin rayuwa.,mai,positive
781,Mai gidan da kuma ma'aikatan suna yin iya ƙoƙarinsu don su sa ka ji daɗin rayuwa.,ma'aikata,positive
783,Ka nemi teburin da ke kusa da babbar taga.,"A kusa da babban taga, a kusa da babban taga.",positive
785,Wane ne ya ce idan wuri ya yi shuru a rana?,wurin,neutral
787,"Ba yawan haka ba, amma ya isa da akwai wani yanayi mai kyau.",10.,positive
790,"Abin da ake ci yana da kyau sosai, amma abincin da aka yi ya burge mu sosai.",Abinci da aka dafa,positive
794,"Abin da ake ci yana da kyau sosai, amma abincin da aka yi ya burge mu sosai.",sushi,positive
798,"Abin da ake ci yana da kyau sosai, amma abincin da aka yi ya burge mu sosai.",abinci,positive
802,"Sa'ad da ya zo lokacin karɓan umurnin, mai ɗan ziyara ya ba mu wuya, ya tafi, sai ya dawo da takarda kuma ya rubuta mana abin da muke so... Ka gafarta mini amma ba wannan aikinsa ba ne???",mai ba da abinci,negative
804,Sai shugaban ya gaya mana cewa za mu iya zaɓan abinci daga duk abincin da muke so amma a lokacin mun yi fushi sosai da mai ɗan ziyara da kuma mai ɗan,mai ba da abinci,negative
807,Sai shugaban ya gaya mana cewa za mu iya zaɓan abinci daga duk abincin da muke so amma a lokacin mun yi fushi sosai da mai ɗan ziyara da kuma mai ɗan,menu,neutral
809,Sai shugaban ya gaya mana cewa za mu iya zaɓan abinci daga duk abincin da muke so amma a lokacin mun yi fushi sosai da mai ɗan ziyara da kuma mai ɗan,manajan,neutral
811,Abincin yana da kyau kuma yana da kyau sosai.,abinci,positive
814,"Sa'ad da abincin ya zo, yana da cili mai cike da zafi, babu shakka mutum ba zai iya cinsa ba.",green chillis,negative
818,"Sa'ad da abincin ya zo, yana da cili mai cike da zafi, babu shakka mutum ba zai iya cinsa ba.",10.,negative
822,"Na yi gunaguni ga mai ɗan ziyara, sai na gaya wa shugaban, amma sun daɗa rashin hankali.",manajan,negative
825,"Na yi gunaguni ga mai ɗan ziyara, sai na gaya wa shugaban, amma sun daɗa rashin hankali.",mai ba da abinci,negative
828,Na yi baƙin ciki sosai da hidimarsu da kuma abincin da suke yi.,sabis,negative
831,Na yi baƙin ciki sosai da hidimarsu da kuma abincin da suke yi.,abinci,negative
834,Na je wannan ranar Asabar da suka shige kuma na ci abinci mai kyau da ya ƙunshi ɗan rago da aka ɗaure da ƙwaƙwalwa.,Ɗan rago da aka ɗaure da ƙwaƙwalwa,positive
836,Na je wannan ranar Asabar da suka shige kuma na ci abinci mai kyau da ya ƙunshi ɗan rago da aka ɗaure da ƙwaƙwalwa.,cin abinci,positive
839,"A tsakanin baƙina da ni, mun ɗanɗana aƙalla 80 ga 80 na abincin, kuma dukansu sun yi nasara.",menu,positive
841,Deco da kuma yanayin suna da kyau sosai.,Deco,positive
844,Deco da kuma yanayin suna da kyau sosai.,Ambiance,positive
847,"Na ci abinci a dukan wurare uku kuma ina son, ina son abincin, hidima koyaushe tana da ban sha'awa kuma kuɗin ya dace.",farashin,positive
851,"Na ci abinci a dukan wurare uku kuma ina son, ina son abincin, hidima koyaushe tana da ban sha'awa kuma kuɗin ya dace.",sabis,positive
855,"Na ci abinci a dukan wurare uku kuma ina son, ina son abincin, hidima koyaushe tana da ban sha'awa kuma kuɗin ya dace.",abinci,positive
859,"Idan kana son ka ɗanɗana abinci mai kyau, ka ci abinci na Latin da aka ƙware a Cabana kuma ba za ka iya yin kuskure ba.",Abinci na Latin,positive
862,"Ba a yi girma da kyau ba, ana ba da hidima mai kyau, lambun yana da kyau, abincin (da ake ci daga abinci zuwa abinci) yana da kyau.",lambu,positive
866,"Ba a yi girma da kyau ba, ana ba da hidima mai kyau, lambun yana da kyau, abincin (da ake ci daga abinci zuwa abinci) yana da kyau.",sabis,positive
870,"Ba a yi girma da kyau ba, ana ba da hidima mai kyau, lambun yana da kyau, abincin (da ake ci daga abinci zuwa abinci) yana da kyau.",appetizers,positive
874,"Ba a yi girma da kyau ba, ana ba da hidima mai kyau, lambun yana da kyau, abincin (da ake ci daga abinci zuwa abinci) yana da kyau.",entrees,positive
878,"Ba a yi girma da kyau ba, ana ba da hidima mai kyau, lambun yana da kyau, abincin (da ake ci daga abinci zuwa abinci) yana da kyau.",abinci,positive
882,"Yum, dajin yana da kyau a nan.",Dan,positive
885,"Guac yana da shafaffu, amma ba shi da laushi, muna son mu ƙara salsa da muke da shi.",sabuwar salsa,neutral
887,"Guac yana da shafaffu, amma ba shi da laushi, muna son mu ƙara salsa da muke da shi.",2019,negative
890,Fajita da muka yi ƙoƙari ba ta da ɗanɗano kuma ta ƙona kuma sosin ƙwaƙwalwa ya yi daɗi sosai.,fajita,negative
894,Fajita da muka yi ƙoƙari ba ta da ɗanɗano kuma ta ƙona kuma sosin ƙwaƙwalwa ya yi daɗi sosai.,sosi na mole,negative
898,Ka zauna tare da ' yan maraƙi da aka ƙone kuma za ka yi lafiya.,' Yan maraƙi da aka ƙonawa,positive
900,Hidima tana cikin abubuwan da na taɓa yi a birnin New York.,Sabis,positive
903,Alfredo mai daɗi ne.,2019 Alfredo,positive
906,Kuɗin da ake biyan a bayan mako na manzanni yana da kyau.,Kuɗi,positive
909,"Masu sayar da bar da shugabannin suna da kyau sosai kuma ado yana da sauƙi kuma yana da sauƙi, a dukan lokacin yana da kyau.",masu kula,positive
913,"Masu sayar da bar da shugabannin suna da kyau sosai kuma ado yana da sauƙi kuma yana da sauƙi, a dukan lokacin yana da kyau.",bar,positive
917,"Masu sayar da bar da shugabannin suna da kyau sosai kuma ado yana da sauƙi kuma yana da sauƙi, a dukan lokacin yana da kyau.",décor,positive
921,"Ina son shan giya, esp lychee martini, kuma abincin yana da kyau sosai.",shan giya,positive
925,"Ina son shan giya, esp lychee martini, kuma abincin yana da kyau sosai.",lychee martini,positive
929,"Ina son shan giya, esp lychee martini, kuma abincin yana da kyau sosai.",abinci,positive
933,Sushi yana da tsada sosai kuma yana da daɗi.,farashin,positive
937,Sushi yana da tsada sosai kuma yana da daɗi.,sushi,positive
941,Yana da kyau don cin abinci na sushi da sauri.,Sushi lunch,positive
944,"Ba kawai suna da ƙanƙanin da ya fi kyau a garin ba, amma suna ƙoƙarin su kula da ɗanmu.",dars,positive
947,Appetizer suna da kyau a nan; Za ka iya ci abinci mai kyau daga gare su.,Appetizer,positive
951,Appetizer suna da kyau a nan; Za ka iya ci abinci mai kyau daga gare su.,cin abinci,positive
955,Waɗannan ƙanƙanin suna da muhimmanci sosai.,mussels masu laushi,positive
958,Ka ɗauki mojito kuma ka zauna a bayan ɗakin.,bayan ɗakin,positive
960,Ka ɗauki mojito kuma ka zauna a bayan ɗakin.,mojito,positive
962,"Ko da yake abincin da suke ci a kusantar yana da laushi, sushi da suke yi ba shi da wannan duniyar.",Abinci na kitchen,positive
966,"Ko da yake abincin da suke ci a kusantar yana da laushi, sushi da suke yi ba shi da wannan duniyar.",Sushi,positive
970,Wannan wurin yana da abinci mafi ban mamaki kuma manzannin suna ƙoƙari sosai su yi abinci mai kyau.,menu,negative
974,Wannan wurin yana da abinci mafi ban mamaki kuma manzannin suna ƙoƙari sosai su yi abinci mai kyau.,abinci,negative
978,"Kowace lokaci da na je wurin, ba zan iya zaɓan kome da zan ci ba domin abincin yana cike da abubuwa masu kyau da za a ci.",menu,negative
980,Ina gaya wa mai ɗan ziyara ya yi wani abu mai ban sha'awa da ya bambanta da abin da ake ci.,mai ba da abinci,neutral
982,Ina gaya wa mai ɗan ziyara ya yi wani abu mai ban sha'awa da ya bambanta da abin da ake ci.,menu,neutral
984,"Ko da yake gidan abinci da kansa yana da kyau, na fi son kada in je don cin abinci.",abinci,negative
986,Wannan ƙaramin wuri yana da kyau sosai.,wurin,positive
989,Da kuma dagar da suka yi,Mai ba da (ma'abucin),positive
991,Da kuma dagar da suka yi,sabobin,positive
994,Kuma abincin zai sa ka dawo.,abinci,positive
996,Kuma abincin zai sa ka dawo.,abinci,positive
998,Suna da dukan irin pasta da aka yi a gida - ina shawarwarin gnocchi - yum!,Pasta da aka yi a gida,positive
1000,Suna da dukan irin pasta da aka yi a gida - ina shawarwarin gnocchi - yum!,gnocchi,positive
1003,"Ƙari ga haka, ƙanƙara da ke da shimi (appetizer) Allah ne.",ƙanƙara da shimi (appetizer),positive
1005,Mojitos da sabis sune mafi kyawun ɓangare a can.,mojitos,positive
1008,Mojitos da sabis sune mafi kyawun ɓangare a can.,sabis,positive
1011,Hidima tana da kyau kuma yanayin yana da kyau.,Sabis,positive
1014,Hidima tana da kyau kuma yanayin yana da kyau.,sa'a,positive
1017,NI da matata mun zaɓi Branzini kuma na ga cewa kifin yana da tsawon,Kifi,negative
1020,NI da matata mun zaɓi Branzini kuma na ga cewa kifin yana da tsawon,Branzini,neutral
1023,Abin da ake ci ya yi kyau. ,abinci,positive
1026,Salad na caeser yana da kyau.,salad na caeser,positive
1029,Calamari da aka dafa ya fi kyau!,da aka dafa calamari,positive
1032,ABIN DA NAKE CI YA SA NI BAƘIN CIKI SOSAI.,ABINCI,negative
1035,"BANAN PUDDING DA SUKE BA DA BAI TAƁA GANIN WUTAR BA, CRABCAKES SUN FI GISHIRI KUMA BA SU SOMA NI DA MAC DA CHEESE MAI MAI MAI MAI",MAC DA CHEESE,negative
1039,"BANAN PUDDING DA SUKE BA DA BAI TAƁA GANIN WUTAR BA, CRABCAKES SUN FI GISHIRI KUMA BA SU SOMA NI DA MAC DA CHEESE MAI MAI MAI MAI",CRABCAKES,negative
1043,"BANAN PUDDING DA SUKE BA DA BAI TAƁA GANIN WUTAR BA, CRABCAKES SUN FI GISHIRI KUMA BA SU SOMA NI DA MAC DA CHEESE MAI MAI MAI MAI",BANANA PUDDING,negative
1045,Sushi mai daɗi sosai har ya ƙare a bakinka.,Sushi,positive
1048,Amma ka tabbata cewa kana da isashen wuri a kadin ƙura da kake da shi domin biyan biyan zai sa kuɗin ya yi ɓarna sosai a cikin albashinka.,bill,negative
1051,abincin ba shi da kyau - ciki ƙaramin ne kuma tsawon,ciki,negative
1055,abincin ba shi da kyau - ciki ƙaramin ne kuma tsawon,cin abinci,neutral
1057,abincin ba shi da kyau - ciki ƙaramin ne kuma tsawon,masu mulki,negative
1061,abincin ba shi da kyau - ciki ƙaramin ne kuma tsawon,abinci,negative
1065,Abin da kake samu yana da tsada sosai.,Cin Abinci,negative
1068,An mai da shi daji na dola 72 na Delmonico domin ba a daka shi don a zaɓe shi ba.,Steak na Delmonico,negative
1071,Hukumar ba ta taimaka wa mutane ba.,Management,negative
1074,Mun ci gaba da samun hidima mai ban mamaki kuma muna son abincin.,sabis,positive
1078,Mun ci gaba da samun hidima mai ban mamaki kuma muna son abincin.,abinci,positive
1082,Na ci abinci mai kyau na Japan a wani wurin cin abinci.,Abinci na Japan,negative
1085,"Da farko, yin tafiya a wurin yana da yanayi mai kyau.",2019,positive
1088,"Da farko, yin tafiya a wurin yana da yanayi mai kyau.",wurin,positive
1090,Amma abincin ya yi mummunan sakamako.,abinci,negative
1093,Na zaɓi daji teriyaki kuma mijina ya sami Garlic Shrimp.,Shimi na Kaku,neutral
1095,Na zaɓi daji teriyaki kuma mijina ya sami Garlic Shrimp.,Chicken Teriyaki,neutral
1097,An ƙone shi gabaki ɗaya kuma a gefen sanyi kuma sosin ba shi da laushi sosai.,Sauce,negative
1101,An ƙone shi gabaki ɗaya kuma a gefen sanyi kuma sosin ba shi da laushi sosai.,Dan,negative
1105,"Abubuwa guda masu kyau da zan iya faɗa shi ne cewa hidimar tana nan da nan, mun zauna nan da nan kuma server yana da abokantaka sosai.",sabis,positive
1109,"Abubuwa guda masu kyau da zan iya faɗa shi ne cewa hidimar tana nan da nan, mun zauna nan da nan kuma server yana da abokantaka sosai.",sabar,positive
1113,Kuɗi mai yawa ne don irin wannan abinci mai ban sha'awa.,cin abinci,negative
1116,Na samu labari mai kyau a Trio ... Ma'aikata sun yi farin ciki. Abinci mai laushi ne kuma ya fi girma - zan ba da shawarar portobello/gorgonzola/sausage appetizer da lobster tabbas.,lobster da aka yi,positive
1120,Na samu labari mai kyau a Trio ... Ma'aikata sun yi farin ciki. Abinci mai laushi ne kuma ya fi girma - zan ba da shawarar portobello/gorgonzola/sausage appetizer da lobster tabbas.,abinci,positive
1124,Na samu labari mai kyau a Trio ... Ma'aikata sun yi farin ciki. Abinci mai laushi ne kuma ya fi girma - zan ba da shawarar portobello/gorgonzola/sausage appetizer da lobster tabbas.,portobello/gorgonzola/sausage appetizer,positive
1128,Na samu labari mai kyau a Trio ... Ma'aikata sun yi farin ciki. Abinci mai laushi ne kuma ya fi girma - zan ba da shawarar portobello/gorgonzola/sausage appetizer da lobster tabbas.,ma'aikata,positive
1132,Na samu labari mai kyau a Trio ... Ma'aikata sun yi farin ciki. Abinci mai laushi ne kuma ya fi girma - zan ba da shawarar portobello/gorgonzola/sausage appetizer da lobster tabbas.,girman rabo,positive
1136,Ana mai da hankali sosai ga hidimar kuma ana karimci sosai.,sabis,positive
1139,Mun ci abinci mai kyau da ruwan inabi da kuma abinci mai daɗi.,ruwan inabi,positive
1142,Mun ci abinci mai kyau da ruwan inabi da kuma abinci mai daɗi.,abinci na ƙwaya,positive
1145,Mun ci abinci mai kyau da ruwan inabi da kuma abinci mai daɗi.,abinci,positive
1148,Abin cin abinci mai kyau ne a tsakiyar tsakiyar gari mai yawa.,Abin da muka shaida a cin abinci,positive
1151,"Koyaushe ana yin hidima mai kyau, kuma mai gidan yana tafiya don ya tabbata cewa kana jin daɗin yin hakan.",mai,positive
1153,"Koyaushe ana yin hidima mai kyau, kuma mai gidan yana tafiya don ya tabbata cewa kana jin daɗin yin hakan.",sabis,positive
1156,Mun zauna kusa da ƙasa.,dance floor,neutral
1158,"Waƙar tana da ban sha'awa, amma ta bar wurin tattaunawa, kuma mai barin ya sha giya mai kyau.",shan giya,positive
1162,"Waƙar tana da ban sha'awa, amma ta bar wurin tattaunawa, kuma mai barin ya sha giya mai kyau.",bar,positive
1166,"Waƙar tana da ban sha'awa, amma ta bar wurin tattaunawa, kuma mai barin ya sha giya mai kyau.",Music,positive
1170,Abin da ake ci ba shi da kyau sosai kuma hidimar tana da ban sha'awa.,sabis,negative
1174,Abin da ake ci ba shi da kyau sosai kuma hidimar tana da ban sha'awa.,abinci,negative
1178,"Ina farin ciki cewa na yi hakan domin abincin yana da kyau sosai kuma ma'aikatan suna da aminci, suna da ladabi kuma suna da ƙwazo.",ma'aikata,positive
1182,"Ina farin ciki cewa na yi hakan domin abincin yana da kyau sosai kuma ma'aikatan suna da aminci, suna da ladabi kuma suna da ƙwazo.",abinci,positive
1186,BAN TAƁA CIN ABINCI MARAR KYAU BA (KO KUMA HIDIMA MARAR KYAU)@ PIGALLE.,SERVICE,positive
1188,BAN TAƁA CIN ABINCI MARAR KYAU BA (KO KUMA HIDIMA MARAR KYAU)@ PIGALLE.,CIN ABINCI,positive
1190,"Wannan ya sa ya kasance da bayyane cewa abincin ba a dafa shi ba; A bayyane yake cewa an yi shi a gaban hannu, sa'an nan kuma a sake ɗumi.",abinci,negative
1193,"A lokacin da ake yawan aiki, ina shawarwarin ka yi ƙoƙari ka yi ƙoƙari.",1000,neutral
1196,Amma mac cheese su ne YUMMY!,Mac cheese,positive
1199,Abincin abincin rana yana da wani abu ga kowa.,Menu na rana,positive
1201,Waƙar jazz tana da murya mai kyau + ta sa dukanmu mu tashi mu rawa don mu yi ɗan cals don mu ci ƙarin abinci.,Mai waƙar jazz,positive
1204,Idan kana neman abinci mai tsada da ɗan ƙasa mai tsada BX A$$ wannan wurin ne da za ka kasance!!,scenery,negative
1206,Idan kana neman abinci mai tsada da ɗan ƙasa mai tsada BX A$$ wannan wurin ne da za ka kasance!!,abinci,negative
1210,Idan kana neman abinci mai tsada da ɗan ƙasa mai tsada BX A$$ wannan wurin ne da za ka kasance!!,farashin,negative
1214,Sabis ɗin nan da nan yana da kyau.,sabis,positive
1217,Mun haɗu da wannan gidan abinci ba zato ba sa'ad da muke bikin zane - zane na DUMBO kuma mun ji daɗin cin abincinmu.,cin abinci,positive
1220,"Abin da ake ci ya fi kyau, kuma abincin Italiya ne da aka yi da kyau.",Abinci na Italiya,positive
1224,"Abin da ake ci ya fi kyau, kuma abincin Italiya ne da aka yi da kyau.",abinci,positive
1228,Wannan hidimar ta fi kyau.,sabis,positive
1231,Ban san abin da wasu mutane da suke farin ciki game da wannan hot dog suke magana game da shi ba.,Hot Dog,negative
1233,Wannan ba shakka ba ne daya daga cikin mafi munin hotdogs da na taɓa samu.,Hotdogs,negative
1236,"Ƙari ga manyan hot dogs, DOTP yana da sandwichi masu kyau na fara'a da ke da amfani, ƙari ga abubuwa masu girma kamar tator tots da muffins na Ingila, abinci mai laushi na ɓarayi da ke NJ ya san mu mata da yara na Jersey a matsayin Taylor ham.",muffins na Turanci,positive
1240,"Ƙari ga manyan hot dogs, DOTP yana da sandwichi masu kyau na fara'a da ke da amfani, ƙari ga abubuwa masu girma kamar tator tots da muffins na Ingila, abinci mai laushi na ɓarayi da ke NJ ya san mu mata da yara na Jersey a matsayin Taylor ham.",Taylor ham,positive
1242,"Ƙari ga manyan hot dogs, DOTP yana da sandwichi masu kyau na fara'a da ke da amfani, ƙari ga abubuwa masu girma kamar tator tots da muffins na Ingila, abinci mai laushi na ɓarayi da ke NJ ya san mu mata da yara na Jersey a matsayin Taylor ham.",abin da aka yi da na ɓarayi,positive
1246,"Ƙari ga manyan hot dogs, DOTP yana da sandwichi masu kyau na fara'a da ke da amfani, ƙari ga abubuwa masu girma kamar tator tots da muffins na Ingila, abinci mai laushi na ɓarayi da ke NJ ya san mu mata da yara na Jersey a matsayin Taylor ham.",tator tots,positive
1250,"Ƙari ga manyan hot dogs, DOTP yana da sandwichi masu kyau na fara'a da ke da amfani, ƙari ga abubuwa masu girma kamar tator tots da muffins na Ingila, abinci mai laushi na ɓarayi da ke NJ ya san mu mata da yara na Jersey a matsayin Taylor ham.",hot dogs,positive
1254,"Ƙari ga manyan hot dogs, DOTP yana da sandwichi masu kyau na fara'a da ke da amfani, ƙari ga abubuwa masu girma kamar tator tots da muffins na Ingila, abinci mai laushi na ɓarayi da ke NJ ya san mu mata da yara na Jersey a matsayin Taylor ham.",Sandwichi na farawa,positive
1258,"Abin da aka faɗa game da abincin da aka dafa ya dace (a ƙasa) amma sauran abincin, har da abincin ɗan rago da kuma salad da yawa (shimi na avocado) suna da kyau.",abinci da aka dafa,negative
1260,"Abin da aka faɗa game da abincin da aka dafa ya dace (a ƙasa) amma sauran abincin, har da abincin ɗan rago da kuma salad da yawa (shimi na avocado) suna da kyau.",salad (shimi na avocado),positive
1262,"Abin da aka faɗa game da abincin da aka dafa ya dace (a ƙasa) amma sauran abincin, har da abincin ɗan rago da kuma salad da yawa (shimi na avocado) suna da kyau.",abinci,positive
1265,"Abin da aka faɗa game da abincin da aka dafa ya dace (a ƙasa) amma sauran abincin, har da abincin ɗan rago da kuma salad da yawa (shimi na avocado) suna da kyau.",lamb entrée,positive
1268,Jerin ruwan inabin da ke sa baƙin ciki (sabuwar ruwan inabin ne kawai.,vintages,negative
1270,Jerin ruwan inabin da ke sa baƙin ciki (sabuwar ruwan inabin ne kawai.,Jerin ruwan inabi,negative
1273,"Amma, yana da kyau mu ji daɗin fita wa'azi da ƙaramin rukuni.",ma'ana,positive
1275,"Mai ziyararmu yana da amfani kuma yana da kyau, abincin yana da kyau, kuma ruwan inabin yana da kyau.",ruwan inabi,positive
1279,"Mai ziyararmu yana da amfani kuma yana da kyau, abincin yana da kyau, kuma ruwan inabin yana da kyau.",mai ba da abinci,positive
1283,"Mai ziyararmu yana da amfani kuma yana da kyau, abincin yana da kyau, kuma ruwan inabin yana da kyau.",abinci,positive
1287,Abin da ake ci ya fi kyau kuma hidima ta fi kyau.,sabis,positive
1291,Abin da ake ci ya fi kyau kuma hidima ta fi kyau.,abinci,positive
1295,"Ka manne wa abubuwa da wurin yake yi da kyau, ƙwaƙwalwa, ƙwaƙwalwa, fukafukan, cajun shimi mai kyau ne, ba mai girma ba.",cajun shimi,neutral
1298,"Ka manne wa abubuwa da wurin yake yi da kyau, ƙwaƙwalwa, ƙwaƙwalwa, fukafukan, cajun shimi mai kyau ne, ba mai girma ba.",da da da,positive
1301,"Ka manne wa abubuwa da wurin yake yi da kyau, ƙwaƙwalwa, ƙwaƙwalwa, fukafukan, cajun shimi mai kyau ne, ba mai girma ba.",2019,positive
1304,"Ka manne wa abubuwa da wurin yake yi da kyau, ƙwaƙwalwa, ƙwaƙwalwa, fukafukan, cajun shimi mai kyau ne, ba mai girma ba.",2019,positive
1307,"Za a iya zaɓan bira mai kyau, kamar bira 50.",bira,neutral
