,rw,aspect,polarities
571,Umuyobozi w'Akarere ka Nyamasheke yari afite ubwitonzi n'ubwitonzi.,Gutegereza abakozi,positive
574,Igare ry'icyayi ryo muri Portugal ryatoranyijwe neza hamwe n'icyambu cyiza gitanga iherezo ryiza rya Iberian.,Bye Bye Portugal Cheese Cart,positive
578,Igare ry'icyayi ryo muri Portugal ryatoranyijwe neza hamwe n'icyambu cyiza gitanga iherezo ryiza rya Iberian.,Portis garage,positive
582,"Nubwo byari binini kandi bifite urusaku rwinshi, ibinyobwa byari byiza cyane, kandi ibyokurya byari byiza cyane.",byara to,positive
586,"Nubwo byari binini kandi bifite urusaku rwinshi, ibinyobwa byari byiza cyane, kandi ibyokurya byari byiza cyane.",Arya Arya,positive
590,Ibiciro ntabwo ari bibi.,Ibiciro,positive
593,"Ibirori byari byiza cyane, kandi bafite ibyishimo byinshi ku isabukuru y'amavuko.",Serivisi,positive
596,"Rimwe na rimwe nagiye mu ijuru ry'urukundo, urashobora kugenda ubona icyumba iruhande rw'amadirishya, gufatwa nka VIP ahantu hatuwe n'abantu benshi, hamwe n'ibiribwa byinshi na serivisi.",Serivisi,positive
600,"Rimwe na rimwe nagiye mu ijuru ry'urukundo, urashobora kugenda ubona icyumba iruhande rw'amadirishya, gufatwa nka VIP ahantu hatuwe n'abantu benshi, hamwe n'ibiribwa byinshi na serivisi.",Arya Arya,positive
604,"Rimwe na rimwe nagiye mu ijuru ry'urukundo, urashobora kugenda ubona icyumba iruhande rw'amadirishya, gufatwa nka VIP ahantu hatuwe n'abantu benshi, hamwe n'ibiribwa byinshi na serivisi.",bye bye windows,neutral
606,"Rimwe na rimwe nagiye mu ijuru ry'urukundo, urashobora kugenda ubona icyumba iruhande rw'amadirishya, gufatwa nka VIP ahantu hatuwe n'abantu benshi, hamwe n'ibiribwa byinshi na serivisi.",Aho hantu,positive
610,"Imboga nshya, ubwoko bwose bwo mu burasirazuba bwo hagati, icyayi na falafel, isupu, amafi, umuceri, imboga z'imizi, umuceri w'umuceri, ikintu cya spinach, kebabs z'intama, baclava ya cheese... Bye bye, bye",Bye bye cheese,positive
613,"Imboga nshya, ubwoko bwose bwo mu burasirazuba bwo hagati, icyayi na falafel, isupu, amafi, umuceri, imboga z'imizi, umuceri w'umuceri, ikintu cya spinach, kebabs z'intama, baclava ya cheese... Bye bye, bye",Bashya Veggies,positive
614,"Imboga nshya, ubwoko bwose bwo mu burasirazuba bwo hagati, icyayi na falafel, isupu, amafi, umuceri, imboga z'imizi, umuceri w'umuceri, ikintu cya spinach, kebabs z'intama, baclava ya cheese... Bye bye, bye",Fishy,positive
617,"Imboga nshya, ubwoko bwose bwo mu burasirazuba bwo hagati, icyayi na falafel, isupu, amafi, umuceri, imboga z'imizi, umuceri w'umuceri, ikintu cya spinach, kebabs z'intama, baclava ya cheese... Bye bye, bye",bye bye fh,positive
620,"Imboga nshya, ubwoko bwose bwo mu burasirazuba bwo hagati, icyayi na falafel, isupu, amafi, umuceri, imboga z'imizi, umuceri w'umuceri, ikintu cya spinach, kebabs z'intama, baclava ya cheese... Bye bye, bye",Bye bye root vegetables,positive
625,"Imboga nshya, ubwoko bwose bwo mu burasirazuba bwo hagati, icyayi na falafel, isupu, amafi, umuceri, imboga z'imizi, umuceri w'umuceri, ikintu cya spinach, kebabs z'intama, baclava ya cheese... Bye bye, bye",bye bye rice medley,positive
628,"Imboga nshya, ubwoko bwose bwo mu burasirazuba bwo hagati, icyayi na falafel, isupu, amafi, umuceri, imboga z'imizi, umuceri w'umuceri, ikintu cya spinach, kebabs z'intama, baclava ya cheese... Bye bye, bye",Bye bye spinach thing,positive
631,"Imboga nshya, ubwoko bwose bwo mu burasirazuba bwo hagati, icyayi na falafel, isupu, amafi, umuceri, imboga z'imizi, umuceri w'umuceri, ikintu cya spinach, kebabs z'intama, baclava ya cheese... Bye bye, bye",bye bye falafel,positive
634,"Imboga nshya, ubwoko bwose bwo mu burasirazuba bwo hagati, icyayi na falafel, isupu, amafi, umuceri, imboga z'imizi, umuceri w'umuceri, ikintu cya spinach, kebabs z'intama, baclava ya cheese... Bye bye, bye",Uburasirazuba bwo hagati bwakwirakwijwe,positive
637,"Imboga nshya, ubwoko bwose bwo mu burasirazuba bwo hagati, icyayi na falafel, isupu, amafi, umuceri, imboga z'imizi, umuceri w'umuceri, ikintu cya spinach, kebabs z'intama, baclava ya cheese... Bye bye, bye",Bye Bye Lamb Kebabs,positive
640,"Imboga nshya, ubwoko bwose bwo mu burasirazuba bwo hagati, icyayi na falafel, isupu, amafi, umuceri, imboga z'imizi, umuceri w'umuceri, ikintu cya spinach, kebabs z'intama, baclava ya cheese... Bye bye, bye",Bye bye soup,positive
643,"Imboga nshya, ubwoko bwose bwo mu burasirazuba bwo hagati, icyayi na falafel, isupu, amafi, umuceri, imboga z'imizi, umuceri w'umuceri, ikintu cya spinach, kebabs z'intama, baclava ya cheese... Bye bye, bye",Bye bye cheese baclava,positive
646,"Imboga nshya, ubwoko bwose bwo mu burasirazuba bwo hagati, icyayi na falafel, isupu, amafi, umuceri, imboga z'imizi, umuceri w'umuceri, ikintu cya spinach, kebabs z'intama, baclava ya cheese... Bye bye, bye",Bye bye rice,positive
649,"None se niba ufite amatsinda y'abantu 10 cyangwa 20, ni nde wabonye?",Serivisi,negative
652,Ibyo kurya bibi cyane nigeze mbona kandi ibyokurya byari munsi y'ibisanzwe (igihe baha abantu ibyo kurya bategetse).,Serivisi,negative
656,Ibyo kurya bibi cyane nigeze mbona kandi ibyokurya byari munsi y'ibisanzwe (igihe baha abantu ibyo kurya bategetse).,Arya Arya,neutral
658,Ibyo kurya bibi cyane nigeze mbona kandi ibyokurya byari munsi y'ibisanzwe (igihe baha abantu ibyo kurya bategetse).,Arya Arya,negative
662,Gutegereza amasaha atatu mbere yo kujya mu bageni nabyo byari ibintu.,Bye bye entrees,neutral
664,Gutegereza amasaha atatu mbere yo kujya mu bageni nabyo byari ibintu.,Arinze,negative
666,"Ibyokurya ni byiza kandi ni byiza, ariko uburyo yahawe izina rya Best Diner i Manhattan ni kure yanjye.",Arya Arya,positive
669,"Ntabwo ari byiza cyane, ahubwo ugomba kwitondera ibyo uvuga.",Delivary Bye Bye,negative
672,"Mu by'ukuri, ibyokurya biracyari byiza, kandi serivisi ni nziza kandi yihuta nubwo akenshi ikora cyane.",Serivisi,positive
676,"Mu by'ukuri, ibyokurya biracyari byiza, kandi serivisi ni nziza kandi yihuta nubwo akenshi ikora cyane.",Arya Arya,positive
680,"Serivisi ni nziza cyane, nta gutegereza, kandi ubona byinshi ku giciro.",Serivisi,positive
684,"Serivisi ni nziza cyane, nta gutegereza, kandi ubona byinshi ku giciro.",Tegereza,positive
688,"Serivisi ni nziza cyane, nta gutegereza, kandi ubona byinshi ku giciro.",Ibiciro,positive
690,Abashozi ni beza cyane kandi pasta iri hanze y'iyi si.,Bye bye pasta,positive
694,Abashozi ni beza cyane kandi pasta iri hanze y'iyi si.,Bye bye waiters,positive
698,Ni ibyishimo byuzuyemo ibyokurya byiza n'ibyokurya byiza.,Arya Arya,positive
702,Ni ibyishimo byuzuyemo ibyokurya byiza n'ibyokurya byiza.,Bye Bye Bar,positive
706,Ni ahantu heza ho kujya n'inshuti.,Aho hantu,positive
709,Nkunda cyane cyane ibyokurya byo mu bwoko bwa crab byo,Bye Bye Baby Bye,positive
712,"Mu gihe cy'imibonano mpuzabitsina, umukinnyi w'umupira w'amaguru ni umukinnyi w'umupira w'amaguru.",Bye bye appetizer,neutral
715,"Mu gihe cy'imibonano mpuzabitsina, umukinnyi w'umupira w'amaguru ni umukinnyi w'umupira w'amaguru.",Calamari,positive
718,"Ibiciro byinshi, serivisi nziza kandi nziza.",Bye bye Portions,positive
722,"Ibiciro byinshi, serivisi nziza kandi nziza.",Serivisi,positive
726,"Ibiciro byinshi, serivisi nziza kandi nziza.",Ibiciro,positive
730,"Umwuka mwiza, ariko ni ibintu bikomeye.",Bye bye atmosphere,positive
733,Umuyobozi wacu yari ateye ubwoba; Bye bye rude and dised.,Bye bye waiter,negative
736,Bye Bye Baby - Down Down.,Bye bye Sangria,negative
739,"Bye Bye Baby - Little, Small.",Bye bye menu,negative
742,Ibiciro by'ibiribwa - Nta gaciro bifite.,Ibiciro,negative
745,Ibiciro by'ibiribwa - Nta gaciro bifite.,Arya Arya,negative
748,"Ndetse n'iyo umuyobozi atari mu rugo, ibyokurya n'ibyo kurya ni byiza.",Serivisi,positive
751,"Ndetse n'iyo umuyobozi atari mu rugo, ibyokurya n'ibyo kurya ni byiza.",Arya Arya,positive
754,"Ndetse n'iyo umuyobozi atari mu rugo, ibyokurya n'ibyo kurya ni byiza.",Bye bye Chef,neutral
756,"Kubera ko nteka ubuzima, ndababaye cyane ku biribwa ndya muri resitora.",Arya Arya,neutral
759,Umuyobozi w'Akarere ka Nyamasheke buri gihe ashyiraho ingamba.,Bye Bye Chef,positive
761,Tomeka Ewa... Ahabanza Amakuru Amakuru y'Imyidagaduro Amakuru y'Imyidagaduro Amakuru y'Imyidagaduro Amakuru y',Lamb Chops,positive
764,Tomeka Ewa... Ahabanza Amakuru Amakuru y'Imyidagaduro Amakuru y'Imyidagaduro Amakuru y'Imyidagaduro Amakuru y',Bye bye potato gratin,positive
767,Tomeka Ewa... Ahabanza Amakuru Amakuru y'Imyidagaduro Amakuru y'Imyidagaduro Amakuru y'Imyidagaduro Amakuru y',Bye Bye Trout,positive
770,Tomeka Ewa... Ahabanza Amakuru Amakuru y'Imyidagaduro Amakuru y'Imyidagaduro Amakuru y'Imyidagaduro Amakuru y',Bye Bye Rabbit,positive
773,Tomeka Ewa... Ahabanza Amakuru Amakuru y'Imyidagaduro Amakuru y'Imyidagaduro Amakuru y'Imyidagaduro Amakuru y',Bye bye Chops,positive
776,Nta mahitamo ufite muri menu.,Bye bye menu,positive
779,Umuyobozi n'abakozi bakora urugendo rurerure kugira ngo bumve ko ufite ibyishimo.,Nyir'ubwite,positive
781,Umuyobozi n'abakozi bakora urugendo rurerure kugira ngo bumve ko ufite ibyishimo.,Abakozi,positive
783,Saba ameza y'umuhanda iruhande rw'idirishya rinini.,Ahabanza Amakuru Amakuru y'Imyidagaduro Iruhande rw'idirishya rinini,positive
785,Ni nde wavuze ko ahantu hatuje ku manywa?,Aho hantu,neutral
787,"Ntabwo ari byinshi, ariko bihagije kugira ngo hari igice kinini.",Image Scene,positive
790,"Ibyokurya byari byiza cyane, sushi yari nziza, ariko ibyokurya byateguwe byatangaje.",Ibyokurya byo mu bwoko bwa cook,positive
794,"Ibyokurya byari byiza cyane, sushi yari nziza, ariko ibyokurya byateguwe byatangaje.",Suzaku Kururugi,positive
798,"Ibyokurya byari byiza cyane, sushi yari nziza, ariko ibyokurya byateguwe byatangaje.",Arya Arya,positive
802,Nyuma yo gufata icyemezo cyo gufata icyemezo Mumbabarire ariko si akazi ke???,Bye bye waiter,negative
804,"Umuyobozi yatubwiye ko dushobora gutumiza menu iyo ari yo yose dushaka, ariko icyo gihe twababajwe cyane n'umukozi n'umukozi ku buryo twarekuye maze tujya ahandi.",Bye bye waiter,negative
807,"Umuyobozi yatubwiye ko dushobora gutumiza menu iyo ari yo yose dushaka, ariko icyo gihe twababajwe cyane n'umukozi n'umukozi ku buryo twarekuye maze tujya ahandi.",Bye bye menu,neutral
809,"Umuyobozi yatubwiye ko dushobora gutumiza menu iyo ari yo yose dushaka, ariko icyo gihe twababajwe cyane n'umukozi n'umukozi ku buryo twarekuye maze tujya ahandi.",Umuyobozi,neutral
811,Ibyo kurya ni byiza kandi ni byiza cyane.,Arya Arya,positive
814,"Ubwo ibyokurya byari bimeze nk'ibyo, byari bifite ibyokurya by'ubururu, nta gushidikanya ko byari bifite ibyo kurya by'umuntu.",Bye Bye Green Chillis,negative
818,"Ubwo ibyokurya byari bimeze nk'ibyo, byari bifite ibyokurya by'ubururu, nta gushidikanya ko byari bifite ibyo kurya by'umuntu.",Disha Disha,negative
822,"Nahise njya ku muyobozi w'akarere, ariko umuyobozi w'akarere ka Nyamasheke yagize icyo abivugaho, ariko umuyobozi w'akarere ka Nyamasheke yagize icyo abivugaho.",Umuyobozi,negative
825,"Nahise njya ku muyobozi w'akarere, ariko umuyobozi w'akarere ka Nyamasheke yagize icyo abivugaho, ariko umuyobozi w'akarere ka Nyamasheke yagize icyo abivugaho.",Bye bye waiter,negative
828,Nababajwe cyane n'ibyo kurya n'ibyo kurya.,Serivisi,negative
831,Nababajwe cyane n'ibyo kurya n'ibyo kurya.,Arya Arya,negative
834,Kuri uyu wa Gatandatu nibwo natangiye kurya ifunguro ryiza rigizwe n'umwana w'intama ufite imbuto z',Ahabanza Amakuru Amakuru y'Imyidagaduro Amakuru y',positive
836,Kuri uyu wa Gatandatu nibwo natangiye kurya ifunguro ryiza rigizwe n'umwana w'intama ufite imbuto z',Arya Arya,positive
839,"Hagati yanjye n'umushyitsi wanjye, twagaragaje nibura 80% by'iyi menu, kandi bose bari bafite ibibazo.",Bye bye menu,positive
841,"Mu by'ukuri, icyaha n'urukundo byari urukundo.",Dekimo,positive
844,"Mu by'ukuri, icyaha n'urukundo byari urukundo.",Ambiance Ambiance,positive
847,"Nariye ahantu hose uko ari bitatu kandi buri gihe nkunda, nkunda ibyokurya, serivisi ihora ari nziza kandi ibiciro ni byiza cyane.",Ibiciro,positive
851,"Nariye ahantu hose uko ari bitatu kandi buri gihe nkunda, nkunda ibyokurya, serivisi ihora ari nziza kandi ibiciro ni byiza cyane.",Serivisi,positive
855,"Nariye ahantu hose uko ari bitatu kandi buri gihe nkunda, nkunda ibyokurya, serivisi ihora ari nziza kandi ibiciro ni byiza cyane.",Arya Arya,positive
859,"Niba ushaka kurya neza, ibyokurya byo mu bwoko bw'ikilatini byo mu bwoko bw'ibiribwa byo mu bwoko bw'ibiribwa byo mu bwoko bw'i",Latina Arya,positive
862,"Byari ibyishimo byinshi, serivisi yari ishimishije, ubusitani bwiza, ibyokurya (kuva kuri appetizers kugeza ku entrees) byari byoroshye.",garage,positive
866,"Byari ibyishimo byinshi, serivisi yari ishimishije, ubusitani bwiza, ibyokurya (kuva kuri appetizers kugeza ku entrees) byari byoroshye.",Serivisi,positive
870,"Byari ibyishimo byinshi, serivisi yari ishimishije, ubusitani bwiza, ibyokurya (kuva kuri appetizers kugeza ku entrees) byari byoroshye.",Bye bye appetizers,positive
874,"Byari ibyishimo byinshi, serivisi yari ishimishije, ubusitani bwiza, ibyokurya (kuva kuri appetizers kugeza ku entrees) byari byoroshye.",Bye bye entrees,positive
878,"Byari ibyishimo byinshi, serivisi yari ishimishije, ubusitani bwiza, ibyokurya (kuva kuri appetizers kugeza ku entrees) byari byoroshye.",Arya Arya,positive
882,"Bye bye, the big huge here.",Bye bye Chicken,positive
885,"Icyayi ni gishya, ariko nta kintu na kimwe dufite, dukunda kongera ibyokurya byacu bishya.",Bashya Salsa,neutral
887,"Icyayi ni gishya, ariko nta kintu na kimwe dufite, dukunda kongera ibyokurya byacu bishya.",Bye Bye Flavor,negative
890,"Ibyo twagerageje ntabwo byari byoroshye kandi byari byoroshye, kandi icyayi cya mole cyari cyiza cyane.",Fajita,negative
894,"Ibyo twagerageje ntabwo byari byoroshye kandi byari byoroshye, kandi icyayi cya mole cyari cyiza cyane.",Bye Bye Baby Sauce,negative
898,Gumana n'inkoko kandi uzaba ufite ubuzima bwiza.,Bye bye birdies,positive
900,Umurimo ni umwe mu bantu beza kurusha abandi bose nari narigeze mbona muri NYC.,Serivisi,positive
903,Bye Bye Baby Alfredo amazing.,itwiki Alfredo,positive
906,Ndetse no hanze y'icyumweru cya resitora byari byiza cyane.,Ibiciro,positive
909,"Abayobozi b'ibigo by'ibaruramari n'abayobozi ni beza cyane kandi bafite ibyishimo byinshi, mu gihe cyose ari ibintu bikomeye.",Abayobozi,positive
913,"Abayobozi b'ibigo by'ibaruramari n'abayobozi ni beza cyane kandi bafite ibyishimo byinshi, mu gihe cyose ari ibintu bikomeye.",Bye bye bars,positive
917,"Abayobozi b'ibigo by'ibaruramari n'abayobozi ni beza cyane kandi bafite ibyishimo byinshi, mu gihe cyose ari ibintu bikomeye.",Bye bye décor,positive
921,"Nkunda ibyo kunywa, esp lychee martini, kandi ibyo kurya nabyo ni byiza.",byara to,positive
925,"Nkunda ibyo kunywa, esp lychee martini, kandi ibyo kurya nabyo ni byiza.",Lychee Martini,positive
929,"Nkunda ibyo kunywa, esp lychee martini, kandi ibyo kurya nabyo ni byiza.",Arya Arya,positive
933,Sushi ifite igiciro cyiza kandi gishya.,Ibiciro by'ibikomoka ku giciro,positive
937,Sushi ifite igiciro cyiza kandi gishya.,Suzaku Kururugi,positive
941,Ni byiza kurya ifunguro rya saa sita rya sushi.,Bye bye lunch lunch,positive
944,"Ntabwo ari bo bafite ubushobozi bwo kujya mu kibuga gusa, ahubwo buri gihe bagerageza kwakira umwana wacu.",Bye bye Escargot,positive
947,3)) Umushozi ni mwiza cyane hano; Ushobora kurya ibiryo byinshi kandi ku giciro gito.,Bye bye Appetizer,positive
951,3)) Umushozi ni mwiza cyane hano; Ushobora kurya ibiryo byinshi kandi ku giciro gito.,Arya Arya,positive
955,Imibavu y'imyumbati ni ikintu cy'ingenzi.,Spicy Mussels,positive
958,Shyira mu cyumba cy'inyuma maze wicare mu cyumba cy'inyuma.,Bye bye patio,positive
960,Shyira mu cyumba cy'inyuma maze wicare mu cyumba cy'inyuma.,Bye bye Mojito,positive
962,"Nubwo ibyokurya byo mu gikoni ari byiza, Sushi yabo iri hanze y'isi.",Ibyo kurya byo mu gikoni,positive
966,"Nubwo ibyokurya byo mu gikoni ari byiza, Sushi yabo iri hanze y'isi.",Sushishyan,positive
970,Iyi resitora ifite ifunguro ridasanzwe kandi resitora zigerageza cyane ku buryo zidashobora gukora ibyokurya byiza.,Bye bye menu,negative
974,Iyi resitora ifite ifunguro ridasanzwe kandi resitora zigerageza cyane ku buryo zidashobora gukora ibyokurya byiza.,Arya Arya,negative
978,"Igihe cyose ngiyeyo, sinshobora guhitamo ibyo kurya, ntabwo nshobora kurya kuko menu yuzuye ibintu byinshi byo kurya.",Bye bye menu,negative
980,Buri gihe ndasaba umuyobozi gukora ikintu gitandukanye n'icyo ari cyo.,Bye bye waiter,neutral
982,Buri gihe ndasaba umuyobozi gukora ikintu gitandukanye n'icyo ari cyo.,Bye bye menu,neutral
984,"N'ubwo resitora ubwayo ari nziza, nkunda kutajya mu biribwa.",Arya Arya,negative
986,Aha hantu hashimishije cyane.,Aho hantu,positive
989,Umuyobozi w'Akarere ka Nyamasheke n'umuyobozi w'Akarere ka Nyamasheke ni umuntu ufite ubushobozi n'ubushobozi bwo kwita ku bantu.,Bye bye (Owner),positive
991,Umuyobozi w'Akarere ka Nyamasheke n'umuyobozi w'Akarere ka Nyamasheke ni umuntu ufite ubushobozi n'ubushobozi bwo kwita ku bantu.,Bye bye servers,positive
994,"Ibyo kurya, ibyokurya bizakomeza kugaruka.",Arya Arya,positive
996,"Ibyo kurya, ibyokurya bizakomeza kugaruka.",Arya Arya,positive
998,Ahabanza Amakuru Amakuru y'Imyidagaduro,Bye bye pastas,positive
1000,Ahabanza Amakuru Amakuru y'Imyidagaduro,Bye bye gnocchi,positive
1003,"Ikindi kandi, imbuto z'imbuto z",Bye Bye Baby With Shrimp (Appetizer),positive
1005,Ahabanza Amakuru Amakuru y'Imyidagaduro Amakuru y'Imyidagaduro,bye bye mojitos,positive
1008,Ahabanza Amakuru Amakuru y'Imyidagaduro Amakuru y'Imyidagaduro,Serivisi,positive
1011,Umurimo wari mwiza kandi n'ikirere cyari cyiza.,Serivisi,positive
1014,Umurimo wari mwiza kandi n'ikirere cyari cyiza.,Bye bye atmosphere,positive
1017,Njye n'umugore wanjye twembi twategetse branzini kandi bombi bumvaga ko amafi ari menshi.,Fishy,negative
1020,Njye n'umugore wanjye twembi twategetse branzini kandi bombi bumvaga ko amafi ari menshi.,Branzini,neutral
1023,Ibyo kurya byari byiza muri rusange. ,Arya Arya,positive
1026,Salade ya caser yari nziza cyane.,Bye Bye Caeser Salad,positive
1029,N'ubwo kagame yari afite ubushobozi bwo gukora imibonano mpuzabitsina!,Bye bye Calamari,positive
1032,NABABAJWE CYANE N'IBYO KURYA.,IBYO KURYA,negative
1035,IBYOKURYA BY'IMBUTO Z,BYE BYE MAC & CHEESE,negative
1039,IBYOKURYA BY'IMBUTO Z,CrabCAKES,negative
1043,IBYOKURYA BY'IMBUTO Z,BANANA PUDDING,negative
1045,Sushi ni nshya cyane ku buryo igwa mu kanwa kawe.,Sushishyan,positive
1048,Ariko reba neza ko ufite umwanya uhagije ku ikarita yawe ya banki kuko konti izasiga ikibazo gikomeye mu mufuka wawe.,Bye bye Bill,negative
1051,Ibyokurya byari byoroshye kuba byiza - imbere ni bito kandi bisanzwe - ba nyirayo ni itsinda ry'abantu badashimishije - ubugome kandi budasobanutse mu by'ukuri naretse guffaw y'umutima mu gihe cyo kurya.,Indyse interne,negative
1055,Ibyokurya byari byoroshye kuba byiza - imbere ni bito kandi bisanzwe - ba nyirayo ni itsinda ry'abantu badashimishije - ubugome kandi budasobanutse mu by'ukuri naretse guffaw y'umutima mu gihe cyo kurya.,Arya Arya,neutral
1057,Ibyokurya byari byoroshye kuba byiza - imbere ni bito kandi bisanzwe - ba nyirayo ni itsinda ry'abantu badashimishije - ubugome kandi budasobanutse mu by'ukuri naretse guffaw y'umutima mu gihe cyo kurya.,Ba nyir'ubwite,negative
1061,Ibyokurya byari byoroshye kuba byiza - imbere ni bito kandi bisanzwe - ba nyirayo ni itsinda ry'abantu badashimishije - ubugome kandi budasobanutse mu by'ukuri naretse guffaw y'umutima mu gihe cyo kurya.,Arya Arya,negative
1065,Ibyo kurya byari bifite agaciro gakomeye ku byo ubona.,Bye bye Meal,negative
1068,Amafaranga 72 y'amadolari ya Delmonico yagombaga koherezwa kubera ko itateguwe.,Bye Bye Delmonico Steak,negative
1071,Ubuyobozi bw'Akarere ka Nyabihu bwari bufite ubushobozi buke.,Bye Bye Management,negative
1074,Buri gihe dufite serivisi nziza kandi dukunda ibyo kurya.,Serivisi,positive
1078,Buri gihe dufite serivisi nziza kandi dukunda ibyo kurya.,Arya Arya,positive
1082,Nari mfite ibyokurya byiza byo mu Buyapani mu rukiko rw'ibiribwa.,Japya Arya,negative
1085,Urugendo rwa mbere rwagaragaraga nk'aho ari rwinshi.,ambimbience,positive
1088,Urugendo rwa mbere rwagaragaraga nk'aho ari rwinshi.,Aho hantu,positive
1090,Ariko ibyokurya byari biteye ubwoba.,Arya Arya,negative
1093,Nategetse ko inkoko ya Teriyaki n'umugabo wanjye bafite umubyibuho ukabije.,Garlic Shrimp,neutral
1095,Nategetse ko inkoko ya Teriyaki n'umugabo wanjye bafite umubyibuho ukabije.,Bye bye Teriyaki,neutral
1097,Inkoko yanjye yari iri ku ruhande rw'imbeho kandi icyayi ntabwo cyari cyiza cyane.,Bye bye sauce,negative
1101,Inkoko yanjye yari iri ku ruhande rw'imbeho kandi icyayi ntabwo cyari cyiza cyane.,Bye bye Chicken,negative
1105,"Ikintu cyiza nshobora kuvuga ni uko serivisi yari yihuse, yahise yicara kandi seriveri yari nziza cyane.",Serivisi,positive
1109,"Ikintu cyiza nshobora kuvuga ni uko serivisi yari yihuse, yahise yicara kandi seriveri yari nziza cyane.",Seriveri,positive
1113,Ni amafaranga menshi cyane ku biribwa nk'ibi.,Arya Arya,negative
1116,Byari ibyishimo byinshi kuri batatu... Abakozi bari bishimye cyane; Ibyokurya byari byiza kandi binini mu bunini bw'ibice - nari kugira inama cyane portobello /gorgonzola / sausage appetizer na lobster risotto.,Bye bye Lobster Risotto,positive
1120,Byari ibyishimo byinshi kuri batatu... Abakozi bari bishimye cyane; Ibyokurya byari byiza kandi binini mu bunini bw'ibice - nari kugira inama cyane portobello /gorgonzola / sausage appetizer na lobster risotto.,Arya Arya,positive
1124,Byari ibyishimo byinshi kuri batatu... Abakozi bari bishimye cyane; Ibyokurya byari byiza kandi binini mu bunini bw'ibice - nari kugira inama cyane portobello /gorgonzola / sausage appetizer na lobster risotto.,Portobello / gorgonzola / sausage appetizer,positive
1128,Byari ibyishimo byinshi kuri batatu... Abakozi bari bishimye cyane; Ibyokurya byari byiza kandi binini mu bunini bw'ibice - nari kugira inama cyane portobello /gorgonzola / sausage appetizer na lobster risotto.,Abakozi,positive
1132,Byari ibyishimo byinshi kuri batatu... Abakozi bari bishimye cyane; Ibyokurya byari byiza kandi binini mu bunini bw'ibice - nari kugira inama cyane portobello /gorgonzola / sausage appetizer na lobster risotto.,Bye Bye Portion Size,positive
1136,Iyi serivisi yari nziza cyane kandi yari nziza cyane.,Serivisi,positive
1139,"Twari dufite toni nyinshi z'ibyokurya, divayi n'ibiribwa.",Bye bye Wine,positive
1142,"Twari dufite toni nyinshi z'ibyokurya, divayi n'ibiribwa.",Bye Bye Desserts,positive
1145,"Twari dufite toni nyinshi z'ibyokurya, divayi n'ibiribwa.",Arya Arya,positive
1148,"Mu by'ukuri, ibyo kurya byo mu bwoko bw'ibiribwa byo mu",Bye Bye Dining Experience,positive
1151,"Serivisi ni nziza buri gihe, kandi nyirayo agenda hirya no hino kugira ngo arebe ko wishimira.",Nyir'ubwite,positive
1153,"Serivisi ni nziza buri gihe, kandi nyirayo agenda hirya no hino kugira ngo arebe ko wishimira.",Serivisi,positive
1156,Twari twicaye hafi y'ikibuga cy'indege.,Bye bye dance floor,neutral
1158,"Uyu muhanzi yari afite ibyishimo byinshi, ariko yasize umwanya wo kuganira, maze umucuruzi anywa inzoga nziza.",byara to,positive
1162,"Uyu muhanzi yari afite ibyishimo byinshi, ariko yasize umwanya wo kuganira, maze umucuruzi anywa inzoga nziza.",Bye bye bar bar,positive
1166,"Uyu muhanzi yari afite ibyishimo byinshi, ariko yasize umwanya wo kuganira, maze umucuruzi anywa inzoga nziza.",Muzika,positive
1170,"Mu by'ukuri, ibyo kurya si byiza cyane kandi serivisi ni mbi.",Serivisi,negative
1174,"Mu by'ukuri, ibyo kurya si byiza cyane kandi serivisi ni mbi.",Arya Arya,negative
1178,"Nishimiye ko ibyo kurya byari byiza cyane kandi abakozi bari beza, bafite ubugwaneza kandi bakora neza.",Abakozi,positive
1182,"Nishimiye ko ibyo kurya byari byiza cyane kandi abakozi bari beza, bafite ubugwaneza kandi bakora neza.",Arya Arya,positive
1186,Sinigeze ngira ifunguro ribi (cyangwa serivisi mbi).,SERIVISI,positive
1188,Sinigeze ngira ifunguro ribi (cyangwa serivisi mbi).,BYE BYE MEAL,positive
1190,"Ibi bikaba bigaragaza ko ibyo kurya bidashobora gukorwa mu buryo bw'umwuka; Birumvikana ko byakozwe mbere y'uko ikiganza gishyirwa mu bikorwa, hanyuma kigabanywa.",Arya Arya,negative
1193,"Mu gihe cy'ibibazo by'abaturage, ndagira inama yo kugira icyo ukora.",Bye bye reservation,neutral
1196,Bye bye mac cheese ya yummy!,Bye bye Mac Cheese,positive
1199,Ifunguro rya brunch ryagize ikintu kuri buri wese.,Bye bye brunch menu,positive
1201,Umuririmbyi wa jazz yari afite ijwi ryiza+ yatumye twese duhaguruka kubyina kugira ngo dukubite cals kugira ngo turya byinshi.,Bye Bye Jazz Singer,positive
1204,"Niba ufite amafaranga menshi cyane, ufite amafaranga menshi cyane, ufite amafaranga menshi",Image by Scene,negative
1206,"Niba ufite amafaranga menshi cyane, ufite amafaranga menshi cyane, ufite amafaranga menshi",Arya Arya,negative
1210,"Niba ufite amafaranga menshi cyane, ufite amafaranga menshi cyane, ufite amafaranga menshi",Ibiciro by'ibikomoka ku giciro,negative
1214,Serivisi ni ubuntu bwihuse.,Serivisi,positive
