,st,aspect,polarities
525,"Lethathamo la veine le pharalletse, le theko e phahameng ebile le akaretsa libaka tse ngata.",Wine Lethathamo,positive
529,"Lethathamo la veine le pharalletse, le theko e phahameng ebile le akaretsa libaka tse ngata.",Theko ea theko,positive
533,Ho ho ho good wine that's it.,Veine ea veine,positive
537,Ho ho ho good wine that's it.,Lijo tsa lijo,positive
541,"Ke rata bonolo le tlhompho e fanoeng lijong, 'me basebetsi ba ne ba le botsoalle ebile ba tseba.",Basebetsi ba Basebetsi,positive
544,"Ke rata bonolo le tlhompho e fanoeng lijong, 'me basebetsi ba ne ba le botsoalle ebile ba tseba.",Lijo tsa lijo,positive
547,Lijo li ne li le mahareng' me tšebeletso e ne e lieha haholo.,Lijo tsa lijo,neutral
551,Lijo li ne li le mahareng' me tšebeletso e ne e lieha haholo.,Tšebeletso ea tšebeletso,negative
555,Ho nkile lihora tse ka bang 2 1/2 ho sebeletsa lithuto tsa rona tsa 2.,Lithuto tsa lithuto,neutral
557,Ho nkile lihora tse ka bang 2 1/2 ho sebeletsa lithuto tsa rona tsa 2.,Sebela,negative
559,Re ile ra etsa taelo ea ho noa veine 'me ra qeta ho ja le ho lefa pele veine e fihla.,Khalase ea veine,neutral
561,ʻO ka ʻōnaehana a me ka hoʻohaʻana i ka ʻōnaehana.,Ho ho ho folding chair,negative
564,O ne a le mosa mme ke lihlong hore o ne a se na basebetsi ba tšehetsang ho sebetsa le bona.,Basebetsi ba Basebetsi,negative
566,O ne a le mosa mme ke lihlong hore o ne a se na basebetsi ba tšehetsang ho sebetsa le bona.,Leta Leta,positive
569,ʻO ka wikiwiki me ka hoʻokele ʻana i ka hoʻokele,Ho Fixe Menu,neutral
571,Mookameli oa ho leta o ne a le hlokolosi haholo ebile a le mosa.,Leta Mohasa,positive
574,Kariki ea chisi ea Portugal e khethiloeng ka bohlale e kopantsoe le boema-kepe ba boleng bo botle e fana ka pheletso e phethahetseng ea Iberia.,Sepotoketsi Cheese Cart,positive
578,Kariki ea chisi ea Portugal e khethiloeng ka bohlale e kopantsoe le boema-kepe ba boleng bo botle e fana ka pheletso e phethahetseng ea Iberia.,Pora Keng,positive
582,"Ha e ntse e le kholo ebile e le lerata hanyane, lino li ne li le ntle, 'me lijo li ne li le monate.",Lino Lino,positive
586,"Ha e ntse e le kholo ebile e le lerata hanyane, lino li ne li le ntle, 'me lijo li ne li le monate.",Lijo tsa lijo,positive
590,Litheko ha li mpe haholo.,Litheko tsa litheko,positive
593,"Tšebeletso e ne e le ntle haholo, 'me ba na le lintho tse ngata tse ngata bakeng sa matsatsi a tsoalo.",Tšebeletso ea tšebeletso,positive
596,"Linako tse ling tseo ke li tsamaileng ke letsatsi la lerato leholimong, u ka tsamaea ka ho fumana lephephe ka lifensetere, tšoaroa joaloka VIP sebakeng se sa tlalang, ka lijo le tšebeletso e kholo.",Tšebeletso ea tšebeletso,positive
600,"Linako tse ling tseo ke li tsamaileng ke letsatsi la lerato leholimong, u ka tsamaea ka ho fumana lephephe ka lifensetere, tšoaroa joaloka VIP sebakeng se sa tlalang, ka lijo le tšebeletso e kholo.",Lijo tsa lijo,positive
604,"Linako tse ling tseo ke li tsamaileng ke letsatsi la lerato leholimong, u ka tsamaea ka ho fumana lephephe ka lifensetere, tšoaroa joaloka VIP sebakeng se sa tlalang, ka lijo le tšebeletso e kholo.",Booth ka Windows,neutral
606,"Linako tse ling tseo ke li tsamaileng ke letsatsi la lerato leholimong, u ka tsamaea ka ho fumana lephephe ka lifensetere, tšoaroa joaloka VIP sebakeng se sa tlalang, ka lijo le tšebeletso e kholo.",Sebaka,positive
610,"Li-veggies tse ncha, mefuta eohle ea ho hasana ha bochabela bo bohareng, chisi le falafel, sopho, tlhapi, raese, meroho ea motso, ntho ea raese, ntho e meng ea spinach, kebabs ea konyana, chisi baclava ... Ho ho ho, and all that's delicious.",Cheese Ho,positive
613,"Li-veggies tse ncha, mefuta eohle ea ho hasana ha bochabela bo bohareng, chisi le falafel, sopho, tlhapi, raese, meroho ea motso, ntho ea raese, ntho e meng ea spinach, kebabs ea konyana, chisi baclava ... Ho ho ho, and all that's delicious.",Li-veggies tse ncha,positive
614,"Li-veggies tse ncha, mefuta eohle ea ho hasana ha bochabela bo bohareng, chisi le falafel, sopho, tlhapi, raese, meroho ea motso, ntho ea raese, ntho e meng ea spinach, kebabs ea konyana, chisi baclava ... Ho ho ho, and all that's delicious.",Litlhapi tsa litlhapi,positive
617,"Li-veggies tse ncha, mefuta eohle ea ho hasana ha bochabela bo bohareng, chisi le falafel, sopho, tlhapi, raese, meroho ea motso, ntho ea raese, ntho e meng ea spinach, kebabs ea konyana, chisi baclava ... Ho ho ho, and all that's delicious.",Foong Ho,positive
620,"Li-veggies tse ncha, mefuta eohle ea ho hasana ha bochabela bo bohareng, chisi le falafel, sopho, tlhapi, raese, meroho ea motso, ntho ea raese, ntho e meng ea spinach, kebabs ea konyana, chisi baclava ... Ho ho ho, and all that's delicious.",Meroho ea motso,positive
625,"Li-veggies tse ncha, mefuta eohle ea ho hasana ha bochabela bo bohareng, chisi le falafel, sopho, tlhapi, raese, meroho ea motso, ntho ea raese, ntho e meng ea spinach, kebabs ea konyana, chisi baclava ... Ho ho ho, and all that's delicious.",Reise Medley Ho,positive
628,"Li-veggies tse ncha, mefuta eohle ea ho hasana ha bochabela bo bohareng, chisi le falafel, sopho, tlhapi, raese, meroho ea motso, ntho ea raese, ntho e meng ea spinach, kebabs ea konyana, chisi baclava ... Ho ho ho, and all that's delicious.",Spinach Ntho,positive
631,"Li-veggies tse ncha, mefuta eohle ea ho hasana ha bochabela bo bohareng, chisi le falafel, sopho, tlhapi, raese, meroho ea motso, ntho ea raese, ntho e meng ea spinach, kebabs ea konyana, chisi baclava ... Ho ho ho, and all that's delicious.",Falafel Ho,positive
634,"Li-veggies tse ncha, mefuta eohle ea ho hasana ha bochabela bo bohareng, chisi le falafel, sopho, tlhapi, raese, meroho ea motso, ntho ea raese, ntho e meng ea spinach, kebabs ea konyana, chisi baclava ... Ho ho ho, and all that's delicious.",Bochabela bo Hare spreads,positive
637,"Li-veggies tse ncha, mefuta eohle ea ho hasana ha bochabela bo bohareng, chisi le falafel, sopho, tlhapi, raese, meroho ea motso, ntho ea raese, ntho e meng ea spinach, kebabs ea konyana, chisi baclava ... Ho ho ho, and all that's delicious.",Koena Kebabs,positive
640,"Li-veggies tse ncha, mefuta eohle ea ho hasana ha bochabela bo bohareng, chisi le falafel, sopho, tlhapi, raese, meroho ea motso, ntho ea raese, ntho e meng ea spinach, kebabs ea konyana, chisi baclava ... Ho ho ho, and all that's delicious.",Soeng Soe,positive
643,"Li-veggies tse ncha, mefuta eohle ea ho hasana ha bochabela bo bohareng, chisi le falafel, sopho, tlhapi, raese, meroho ea motso, ntho ea raese, ntho e meng ea spinach, kebabs ea konyana, chisi baclava ... Ho ho ho, and all that's delicious.",Cheese Baclava,positive
646,"Li-veggies tse ncha, mefuta eohle ea ho hasana ha bochabela bo bohareng, chisi le falafel, sopho, tlhapi, raese, meroho ea motso, ntho ea raese, ntho e meng ea spinach, kebabs ea konyana, chisi baclava ... Ho ho ho, and all that's delicious.",Reise Reise,positive
649,"Ts'ebeletso e liehang, empa ha u fanyeha ho potoloha le lihlopha tsa 10 kapa 20, ke mang ea hlokomelang?",Tšebeletso ea tšebeletso,negative
652,Tšebeletso e mpe ka ho fetisisa eo nkileng ka e bona 'me lijo li ne li le ka tlase ho karolelano (ha ba hlile ba fa batho lijo tseo ba li laetseng).,Tšebeletso ea tšebeletso,negative
656,Tšebeletso e mpe ka ho fetisisa eo nkileng ka e bona 'me lijo li ne li le ka tlase ho karolelano (ha ba hlile ba fa batho lijo tseo ba li laetseng).,Lijo tsa lijo,neutral
658,Tšebeletso e mpe ka ho fetisisa eo nkileng ka e bona 'me lijo li ne li le ka tlase ho karolelano (ha ba hlile ba fa batho lijo tseo ba li laetseng).,Lijo tsa lijo,negative
662,Ho feta lihora tse tharo pele re fumana mosebetsi oa rona oa ho reka.,kena kena,neutral
664,Ho feta lihora tse tharo pele re fumana mosebetsi oa rona oa ho reka.,Letebele Letebele,negative
666,Lijo li entsoe ebile li ntle empa hore na e fumane lebitso la Best Diner Joang Manhattan e ka nģ'ane ho nna.,Lijo tsa lijo,positive
669,Se ke oa utloahala o le mobe haholo empa u se ke oa e-ba hlokolosi ka ho hloka botsitso.,Deloise Leser,negative
672,"Ho ba leeme, lijo li ntse li le ntle 'me tšebeletso e potlakile ebile e attentative le hoja hangata e phathahane haholo.",Tšebeletso ea tšebeletso,positive
676,"Ho ba leeme, lijo li ntse li le ntle 'me tšebeletso e potlakile ebile e attentative le hoja hangata e phathahane haholo.",Lijo tsa lijo,positive
680,"Tšebeletso e ntle haholo, ha ho na ho leta, 'me u fumana theko e ngata.",Ts'ebeletso,positive
684,"Tšebeletso e ntle haholo, ha ho na ho leta, 'me u fumana theko e ngata.",Letebele Letebele,positive
688,"Tšebeletso e ntle haholo, ha ho na ho leta, 'me u fumana theko e ngata.",Theko ea theko,positive
690,Li-pasta li mosa haholo 'me li-pasta ha li tsoe lefatšeng lena.,Pasta ea pasta,positive
694,Li-pasta li mosa haholo 'me li-pasta ha li tsoe lefatšeng lena.,Leta Leta,positive
698,Ke thabo e patiloeng e felletseng ka bareng ea quaint le lijo tse monate.,Lijo tsa lijo,positive
702,Ke thabo e patiloeng e felletseng ka bareng ea quaint le lijo tse monate.,Bang Bang Bar,positive
706,Ke sebaka se setle sa ho ea le metsoalle e 'maloa.,Sebaka,positive
709,Haholo-holo ke rata li-sandwich tsa bona tse bonolo tsa khetla ea crab ka li-fries.,Sandwich e bonolo ea Shell Crab e nang le li-fries,positive
712,"Bakeng sa appetizer, calamari ea bona ke mohapi.",Appetizer ea,neutral
715,"Bakeng sa appetizer, calamari ea bona ke mohapi.",Calamarie,positive
718,"Likarolo tse kholo, ts'ebeletso e ntle le e hlokolosi, le litheko tse ntle haholo.",Likarolo tsa likarolo,positive
722,"Likarolo tse kholo, ts'ebeletso e ntle le e hlokolosi, le litheko tse ntle haholo.",Tšebeletso ea tšebeletso,positive
726,"Likarolo tse kholo, ts'ebeletso e ntle le e hlokolosi, le litheko tse ntle haholo.",Litheko tsa litheko,positive
730,"Sebaka se pholileng, empa ho na le sebaka se joalo sa marang-rang.",Sepakapaka sa sepakapaka,positive
733,Mopholosi oa rona o ne a le mabe haholo; E na le ntho e sa lumlumisoang le e sa tsotelleng.,Leta Leta,negative
736,ʻO ka ʻoihana hoʻohaʻo ʻana i ka hoʻohaʻana i ka ʻoihana.,Sangria Ho,negative
739,"Ho ho ho - ha ho na mokhoa o sa lekanang, o monyane.",menu ea,negative
742,Lijo - ha li na theko.,Theko ea theko,negative
745,Lijo - ha li na theko.,Lijo tsa lijo,negative
748,"Esita le ha mookameli a se ka tlung, lijo le tšebeletso li nepahetse.",Tšebeletso ea tšebeletso,positive
751,"Esita le ha mookameli a se ka tlung, lijo le tšebeletso li nepahetse.",Lijo tsa lijo,positive
754,"Esita le ha mookameli a se ka tlung, lijo le tšebeletso li nepahetse.",Chefe Chefe,neutral
756,"Ho tloha ha ke pheha ho phela, ke moferefere haholo ka lijo tseo ke li jang lireschorenteng.",Lijo tsa lijo,neutral
759,Waldy o lula a le teng.,Chefe Chefe,positive
761,"Leke Leke Thre ... Lamb Chops, Chops ea Veal, Rabbit, Gratin ea litapole, on le on le on ...",Konyana Chops,positive
764,"Leke Leke Thre ... Lamb Chops, Chops ea Veal, Rabbit, Gratin ea litapole, on le on le on ...",Li-Gratin tsa litapole,positive
767,"Leke Leke Thre ... Lamb Chops, Chops ea Veal, Rabbit, Gratin ea litapole, on le on le on ...",Ho tsuba threo,positive
770,"Leke Leke Thre ... Lamb Chops, Chops ea Veal, Rabbit, Gratin ea litapole, on le on le on ...",Rabbitle,positive
773,"Leke Leke Thre ... Lamb Chops, Chops ea Veal, Rabbit, Gratin ea litapole, on le on le on ...",Chloe Chops,positive
776,U ke ke ua ba le lipelaelo ka efe kapa efe ea likhetho ho menu ea hau.,menu ea,positive
779,Mong'a ntlo le basebetsi ba tsamaea ka bolelele bo boholo ho etsa hore u ikutloe u phutholohile.,Beng Beng,positive
781,Mong'a ntlo le basebetsi ba tsamaea ka bolelele bo boholo ho etsa hore u ikutloe u phutholohile.,Basebetsi ba Basebetsi,positive
783,Kopa tafole ea sekhutlo se potolohang haufi le fensetere e kholo.,Tafole e haufi le fensetere e kholo,positive
785,Ke mang ea reng ha ho khutsitse motšehare?,Sebaka,neutral
787,"Ha ho joalo haholo, empa ho lekaneng hore ho na le sebaka se seholo.",Scene Bang Bang,positive
790,"Lijo li ne li le monate - sushi e ne e le ntle, empa lijo tse phehiloeng li ile tsa re makatsa.",Lijo tse phehiloeng,positive
794,"Lijo li ne li le monate - sushi e ne e le ntle, empa lijo tse phehiloeng li ile tsa re makatsa.",Sushi Ho,positive
798,"Lijo li ne li le monate - sushi e ne e le ntle, empa lijo tse phehiloeng li ile tsa re makatsa.",Lijo tsa lijo,positive
802,"Ha ho fihla nako ea ho nka taelo eo molitebele a ileng a re fa nako e thata, a tsamaea ka nako eo a khutla ka pampiri le pene hore re ngole fatše seo re neng re se batla ... Ntšoarele, empa ha se mosebetsi oa hau???",Leta Leta,negative
804,"Ka mor'a moo, mookameli o ile a re bolella hore re ka laela ho tloha menyu efe kapa efe eo re neng re e batla empa ka nako eo re ne re halefile haholo le moeletsi eo re mo lumellang ebe re ea sebakeng se seng.",Leta Leta,negative
807,"Ka mor'a moo, mookameli o ile a re bolella hore re ka laela ho tloha menyu efe kapa efe eo re neng re e batla empa ka nako eo re ne re halefile haholo le moeletsi eo re mo lumellang ebe re ea sebakeng se seng.",menu ea,neutral
809,"Ka mor'a moo, mookameli o ile a re bolella hore re ka laela ho tloha menyu efe kapa efe eo re neng re e batla empa ka nako eo re ne re halefile haholo le moeletsi eo re mo lumellang ebe re ea sebakeng se seng.",Mookameli,neutral
811,Lijo li monate ebile li khothaletsoa haholo.,Lijo tsa lijo,positive
814,"Ha lijo li fihla li ne li hotetsa ka li-chillis tse tala, ka sebele ha li jeoe ke motho.",Li-chilli tse tala,negative
818,"Ha lijo li fihla li ne li hotetsa ka li-chillis tse tala, ka sebele ha li jeoe ke motho.",Liisa Liisa,negative
822,"Ke ile ka tletleba ho mookameli oa ka mme ke ile ka tletleba ho mookameli, empa boima ba bona bo ne bo sa tsoa nyoloha.",Mookameli,negative
825,"Ke ile ka tletleba ho mookameli oa ka mme ke ile ka tletleba ho mookameli, empa boima ba bona bo ne bo sa tsoa nyoloha.",Leta Leta,negative
828,Ke ne ke soetsehile haholo ke tšebeletso ea bona le tšebeletso ea bona.,Tšebeletso ea tšebeletso,negative
831,Ke ne ke soetsehile haholo ke tšebeletso ea bona le tšebeletso ea bona.,Lijo tsa lijo,negative
834,Ke ile ka tsamaea ka Moqebelo o fetileng mme ke ne ke e-na le lijo tse ntle tse nang le shank ea konyana e halikiloeng e nang le litapole tse mashed.,Konyana e halikiloeng e nang le litapole tse halikiloeng,positive
836,Ke ile ka tsamaea ka Moqebelo o fetileng mme ke ne ke e-na le lijo tse ntle tse nang le shank ea konyana e halikiloeng e nang le litapole tse mashed.,Lijo tsa lijo,positive
839,"Re na le bonyane 80% ea li-link tsa rona, 'me kaofela ha tsona li ne li le teng.",menu ea,positive
841,The Deco le ambiance e ne e hlile e le lerato.,Dekho Dekho,positive
844,The Deco le ambiance e ne e hlile e le lerato.,Moa moa,positive
847,"Ke jele libakeng tsohle tse tharo 'me ke lula ke rata, ke rata lijo, tšebeletso e lula e le ntle' me litheko li hlile lia utloahala.",Litheko tsa litheko,positive
851,"Ke jele libakeng tsohle tse tharo 'me ke lula ke rata, ke rata lijo, tšebeletso e lula e le ntle' me litheko li hlile lia utloahala.",Tšebeletso ea tšebeletso,positive
855,"Ke jele libakeng tsohle tse tharo 'me ke lula ke rata, ke rata lijo, tšebeletso e lula e le ntle' me litheko li hlile lia utloahala.",Lijo tsa lijo,positive
859,"Haeba u batla ho latsoa hantle, lijo tse monate tsa Selatine li ja Cabana 'me u ke ke ua tsamaea hampe.",Lijo tsa Selatine,positive
862,"E ne e le monate, tšebeletso e ne e le monate, serapa se setle, lijo (ho tloha li-appetizers ho ea ho li-entrees) e ne e le delectable.",Serapa,positive
866,"E ne e le monate, tšebeletso e ne e le monate, serapa se setle, lijo (ho tloha li-appetizers ho ea ho li-entrees) e ne e le delectable.",Tšebeletso ea tšebeletso,positive
870,"E ne e le monate, tšebeletso e ne e le monate, serapa se setle, lijo (ho tloha li-appetizers ho ea ho li-entrees) e ne e le delectable.",Li-appetizers,positive
874,"E ne e le monate, tšebeletso e ne e le monate, serapa se setle, lijo (ho tloha li-appetizers ho ea ho li-entrees) e ne e le delectable.",kena kena,positive
878,"E ne e le monate, tšebeletso e ne e le monate, serapa se setle, lijo (ho tloha li-appetizers ho ea ho li-entrees) e ne e le delectable.",Lijo tsa lijo,positive
882,"Hahaha, that's great here.",Khoho ea khoho,positive
885,"Tatso ea eona e ncha, empa e haelloa ke tatso, re rata ho eketsa salsa ea rona e ncha ho eona.",Salsa E Ncha,neutral
887,"Tatso ea eona e ncha, empa e haelloa ke tatso, re rata ho eketsa salsa ea rona e ncha ho eona.",Flavor ea,negative
890,The fajita eo re e lekileng e ne e le tasteless le chesoa le mole sauce e ne e le monate haholo.,Fajita Ho,negative
894,The fajita eo re e lekileng e ne e le tasteless le chesoa le mole sauce e ne e le monate haholo.,Molla Sauce,negative
898,Lula le likhoho tse halikiloeng 'me u tla ba hantle.,Khoho e halikiloeng,positive
900,Tšebeletso ke e 'ngoe ea tse ntle ka ho fetisisa tseo nkileng ka li fumana ho NYC.,Ts'ebeletso,positive
903,Alfredo e ne e le ntho e makatsang.,Fettucino alfredo ea,positive
906,Esita le ka ntle ho beke ea ho jela e ne e le ntle haholo.,Litheko tsa litheko,positive
909,"Li-bartender le batsamaisi li hlile li ntle 'me décor e comfy ebile e behiloe morao, kaofela ha eona e ntse e le tloaelo.",Batsamaisi,positive
913,"Li-bartender le batsamaisi li hlile li ntle 'me décor e comfy ebile e behiloe morao, kaofela ha eona e ntse e le tloaelo.",Baehara Baas,positive
917,"Li-bartender le batsamaisi li hlile li ntle 'me décor e comfy ebile e behiloe morao, kaofela ha eona e ntse e le tloaelo.","Ho ho ho, décoco",positive
921,"Ke rata dino, esp lychee martini, 'me lijo le tsona li ntle haholo.",Lino Lino,positive
925,"Ke rata dino, esp lychee martini, 'me lijo le tsona li ntle haholo.",Liisa Martini,positive
929,"Ke rata dino, esp lychee martini, 'me lijo le tsona li ntle haholo.",Lijo tsa lijo,positive
933,Li-sushi li theko e tlase ebile li le ncha.,Theko ea theko,positive
937,Li-sushi li theko e tlase ebile li le ncha.,Sushi Ho,positive
941,E loketse lijo tsa mantsiboea tse monate tsa sushi.,Lijo tsa motšehare tsa sushi,positive
944,"Hase feela hore ba na le escargot e ntle ka ho fetisisa toropong, ba lula ba leka ho amohela tor ea rona.",Escargot ea,positive
947,"Li-appetizer li ntle haholo mona; 'Me u tla ba le lijo tse ngata tse sa tsoang ho uena, e le hore u ka 'na ua e-ba le lijo tse ngata tse sa tsoang ho uena.",Appetizer ea,positive
951,"Li-appetizer li ntle haholo mona; 'Me u tla ba le lijo tse ngata tse sa tsoang ho uena, e le hore u ka 'na ua e-ba le lijo tse ngata tse sa tsoang ho uena.",Lijo tsa lijo,positive
955,Li-mussels tsa li-spicy ke ntho e 'ngoe ea bohlokoa.,Li-mussels tsa spicy,positive
958,E-ba le mojito 'me u lule sebakeng se ka morao.,Boa Boa Patio,positive
960,E-ba le mojito 'me u lule sebakeng se ka morao.,Mojito Moa,positive
962,"Le ha kichine ea bona e le monate, Sushi ea bona e tsoa lefatšeng lena.",Lijo tsa kichineng,positive
966,"Le ha kichine ea bona e le monate, Sushi ea bona e tsoa lefatšeng lena.",Sushi Ho,positive
970,Sebaka sena se na le menu e makatsang ka ho fetesisa mme lireschorente li leka ka thata haholo ho etsa lijo tse majabajaba.,menu ea,negative
974,Sebaka sena se na le menu e makatsang ka ho fetesisa mme lireschorente li leka ka thata haholo ho etsa lijo tse majabajaba.,Lijo tsa lijo,negative
978,Nako le nako ha ke ea moo ke sitoa ho nka letho ho ja eseng hobane menu e tletse lintho tse ntle tseo u ka li jang.,menu ea,negative
980,Ke lula ke ipotsa hore na ho na le ntho e 'ngoe eo ke e batlang le e fapaneng le e fapaneng le e' ngoe.,Leta Leta,neutral
982,Ke lula ke ipotsa hore na ho na le ntho e 'ngoe eo ke e batlang le e fapaneng le e fapaneng le e' ngoe.,menu ea,neutral
984,"Le hoja lijo tsa hau li le monate, ha ke batle ho ea lijong.",Lijo tsa lijo,negative
986,Sebaka sena se senyenyane se amoheleha haholo.,Sebaka,positive
989,Moamoheli (mong'a ntlo) le li-server li na le botho ebile lia tsotella.,Host (beng beng),positive
991,Moamoheli (mong'a ntlo) le li-server li na le botho ebile lia tsotella.,Li-Server tsa Server,positive
994,'Me lijo li tla u boloka u khutla.,Lijo tsa lijo,positive
996,'Me lijo li tla u boloka u khutla.,Lijo tsa lijo,positive
998,Ba na le li-pasta tse entsoeng ka maiketsetso tsa mefuta eohle - ke khothaletsa gnocchio - yum!,Home Li-pasta tse entsoeng ka maiketsetso,positive
1000,Ba na le li-pasta tse entsoeng ka maiketsetso tsa mefuta eohle - ke khothaletsa gnocchio - yum!,gnong ho,positive
1003,"Hape, lierekisi tsa chick tse nang le shrimp (appetizer) ke bomolimo.",Li-peas tse nang le shrimp (appetizer),positive
1005,Mojitos le tšebeletso ea molemo ka ho fetisisa moo,Mojitos Moa,positive
1008,Mojitos le tšebeletso ea molemo ka ho fetisisa moo,Tšebeletso ea tšebeletso,positive
1011,"Tšebeletso e ne e le ntle, 'me ho ne ho e-na le sepakapaka.",Ts'ebeletso,positive
1014,"Tšebeletso e ne e le ntle, 'me ho ne ho e-na le sepakapaka.",Sepakapaka sa sepakapaka,positive
1017,Letsatsi la ka 'me ka bobeli re laetse Branzini mme ka bobeli re utloa hore litlhapi li ne li le karolelano.,Litlhapi tsa litlhapi,negative
1020,Letsatsi la ka 'me ka bobeli re laetse Branzini mme ka bobeli re utloa hore litlhapi li ne li le karolelano.,Brang Keng,neutral
1023,Lijo li ne li le monate ka kakaretso. ,Lijo tsa lijo,positive
1026,Salate ea caeser e ne e le ntle haholo.,Salate ea Caeser,positive
1029,"Le ha ho le joalo, calamari e ne e le molemo le ho feta!",Fried Calamari Ho,positive
1032,KE NE KE SOETSEHILE HAHOLO KA LIJO.,LEISA LEISA,negative
1035,"PUDDING EA BANANA EO BA E SEBELETSANG HA E E-S'O BONE ONTONG, CRABCAKES E FETA LETSOAI 'ME U SE KE OA NQALLA KA GREASY MAC LE CHISI.",MAC LE CHEESE,negative
1039,"PUDDING EA BANANA EO BA E SEBELETSANG HA E E-S'O BONE ONTONG, CRABCAKES E FETA LETSOAI 'ME U SE KE OA NQALLA KA GREASY MAC LE CHISI.",Li-crabs tsa,negative
1043,"PUDDING EA BANANA EO BA E SEBELETSANG HA E E-S'O BONE ONTONG, CRABCAKES E FETA LETSOAI 'ME U SE KE OA NQALLA KA GREASY MAC LE CHISI.",BANANA PUDDING,negative
1045,Sushi e ncha hoo e ka bang teng molomong oa hau.,Sushi Ho,positive
1048,Empa etsa bonnete ba hore o na le kamore e lekaneng kareteng ea hau ea mokoloto kaha bili e tla siea dent e kholo sepacheng sa hau.,Bill Ho,negative
1051,Lijo li ne li le bohareng ho ba mosa - bokahare bo nyane ebile bo na le karolelano - beng ke tag-sehlopha sa lintho tse sa thabiseng - kahoo ke ntho e mpe ebile e sa thabiseng ke hlile ke tlohela guffaw e pelo ha ke ntse ke ja.,Ka hare,negative
1055,Lijo li ne li le bohareng ho ba mosa - bokahare bo nyane ebile bo na le karolelano - beng ke tag-sehlopha sa lintho tse sa thabiseng - kahoo ke ntho e mpe ebile e sa thabiseng ke hlile ke tlohela guffaw e pelo ha ke ntse ke ja.,Ho ja lijo,neutral
1057,Lijo li ne li le bohareng ho ba mosa - bokahare bo nyane ebile bo na le karolelano - beng ke tag-sehlopha sa lintho tse sa thabiseng - kahoo ke ntho e mpe ebile e sa thabiseng ke hlile ke tlohela guffaw e pelo ha ke ntse ke ja.,Beng Beng,negative
1061,Lijo li ne li le bohareng ho ba mosa - bokahare bo nyane ebile bo na le karolelano - beng ke tag-sehlopha sa lintho tse sa thabiseng - kahoo ke ntho e mpe ebile e sa thabiseng ke hlile ke tlohela guffaw e pelo ha ke ntse ke ja.,Lijo tsa lijo,negative
1065,Lijo li ne li le theko e boima haholo bakeng sa seo u se fumanang.,Lijo tsa lijo,negative
1068,Li-steak tsa Delmonico tsa 72 li ne li tlameha ho romelloa hape hobane li ne li sa phehoa ho odara.,Li-steak tsa Delmonico,negative
1071,Tsamaiso e ne e le tlase ho feta ho ts'oehana.,Tsamaiso ea Tsamaiso,negative
1074,Kamehla re ne re thabela tšebeletso e ntle haholo 'me re rata lijo.,Tšebeletso ea tšebeletso,positive
1078,Kamehla re ne re thabela tšebeletso e ntle haholo 'me re rata lijo.,Lijo tsa lijo,positive
1082,Ke bile le lijo tse ntle ka ho fetisisa tsa Majapane lekhotleng la lijo.,Lijo tsa Majapane,negative
1085,Ho tsamaea ka lekhetlo la pele sebakeng seo ho ne ho bonahala eka ho na le maikutlo a maholo.,Ambiyeng,positive
1088,Ho tsamaea ka lekhetlo la pele sebakeng seo ho ne ho bonahala eka ho na le maikutlo a maholo.,Sebaka,positive
1090,Empa lijo li ne li le monate haholo.,Lijo tsa lijo,negative
1093,Ke laetse khoho teriyaki le monna oa ka o ile a fumana Garlic Shrimp.,Li-shrimp tsa garlic,neutral
1095,Ke laetse khoho teriyaki le monna oa ka o ile a fumana Garlic Shrimp.,Khoho ea Teriyaki,neutral
1097,Khoho ea ka e ne e omisitsoe ka ho feletseng 'me ka lehlakoreng le batang' me sopho e ne e sa tatso haholo.,Soe Seng,negative
1101,Khoho ea ka e ne e omisitsoe ka ho feletseng 'me ka lehlakoreng le batang' me sopho e ne e sa tatso haholo.,Khoho ea khoho,negative
1105,"Ntho e 'ngoe e ntle eo nka e buang ke hore ts'ebeletso e ne e potlakile, re ile ra lula hang-hang mme seva e ne e le botsoalle haholo.",Tšebeletso ea tšebeletso,positive
1109,"Ntho e 'ngoe e ntle eo nka e buang ke hore ts'ebeletso e ne e potlakile, re ile ra lula hang-hang mme seva e ne e le botsoalle haholo.",Server ea,positive
1113,Chelete e ngata haholo bakeng sa lijo tse joalo tse tšabehang.,Lijo tsa lijo,negative
1116,Ke bile le phihlelo e kholo ho tria ... Basebetsi ba ne ba thabile haholo; Lijo li ne li le monate ebile li le kholo ka boholo ba karolo - ke ne ke tla khothaletsa haholo portobello / gorgonzola / sausage appetizer le lobster risotto.,Li-lobster tsa risotto,positive
1120,Ke bile le phihlelo e kholo ho tria ... Basebetsi ba ne ba thabile haholo; Lijo li ne li le monate ebile li le kholo ka boholo ba karolo - ke ne ke tla khothaletsa haholo portobello / gorgonzola / sausage appetizer le lobster risotto.,Lijo tsa lijo,positive
1124,Ke bile le phihlelo e kholo ho tria ... Basebetsi ba ne ba thabile haholo; Lijo li ne li le monate ebile li le kholo ka boholo ba karolo - ke ne ke tla khothaletsa haholo portobello / gorgonzola / sausage appetizer le lobster risotto.,Portobello / Gorgonzola / sausage appetizer,positive
1128,Ke bile le phihlelo e kholo ho tria ... Basebetsi ba ne ba thabile haholo; Lijo li ne li le monate ebile li le kholo ka boholo ba karolo - ke ne ke tla khothaletsa haholo portobello / gorgonzola / sausage appetizer le lobster risotto.,Basebetsi ba Basebetsi,positive
