,tn,aspect,polarities
578,Kaedi e e tlhophilweng e e tlhophilweng ka se-Portugal e e nang le boemakepe jo bo kwa godimo e dira gore go nne le bokhutlo jo bo itekanetseng jwa Iberia.,Portlaoise,positive
582,"Le fa go ntse jalo, go ne go le monate thata, dino di ne di le monate, mme dijo di ne di le monate.",Dino Bone,positive
586,"Le fa go ntse jalo, go ne go le monate thata, dino di ne di le monate, mme dijo di ne di le monate.",Dijo tsa rona,positive
590,Ditlhotlhwa ga di a siama.,Ditlhotlhwa tse di kwa tlase,positive
593,'The service was great and they have great for birthday' - Ba ne ba na le moletlo o mogolo wa matsalô a gagwê,Tirelo Tirelo,positive
596,"Ka dinako tse dingwe ke ne ke ya kwa legodimong, o ka nna wa tsamaya mo lephepheng ka difensetere, o ka tshwarwa jaaka VIP mo lefelong le le sa tlalang, ka dijo le tirelo e kgolo.",Tirelo Tirelo,positive
600,"Ka dinako tse dingwe ke ne ke ya kwa legodimong, o ka nna wa tsamaya mo lephepheng ka difensetere, o ka tshwarwa jaaka VIP mo lefelong le le sa tlalang, ka dijo le tirelo e kgolo.",Dijo tsa rona,positive
604,"Ka dinako tse dingwe ke ne ke ya kwa legodimong, o ka nna wa tsamaya mo lephepheng ka difensetere, o ka tshwarwa jaaka VIP mo lefelong le le sa tlalang, ka dijo le tirelo e kgolo.",Gae Setswana go ya go Setswana windows,neutral
606,"Ka dinako tse dingwe ke ne ke ya kwa legodimong, o ka nna wa tsamaya mo lephepheng ka difensetere, o ka tshwarwa jaaka VIP mo lefelong le le sa tlalang, ka dijo le tirelo e kgolo.",Lefelo la go lô,positive
610,"Fresh veggies, mefuta enngwe le enngwe ya di-eastern spreads, chisi le falafel, sopho, tlhapi, raese, meroho ya motso, tholwana ya raese, ntho tse ding tsa spinach, dikonyana kebabs, cheese baclava ... So sweet, sweet, everyone did.",Pisang Goreng Cheese,positive
613,"Fresh veggies, mefuta enngwe le enngwe ya di-eastern spreads, chisi le falafel, sopho, tlhapi, raese, meroho ya motso, tholwana ya raese, ntho tse ding tsa spinach, dikonyana kebabs, cheese baclava ... So sweet, sweet, everyone did.",Fresh Veggies a Go Go,positive
614,"Fresh veggies, mefuta enngwe le enngwe ya di-eastern spreads, chisi le falafel, sopho, tlhapi, raese, meroho ya motso, tholwana ya raese, ntho tse ding tsa spinach, dikonyana kebabs, cheese baclava ... So sweet, sweet, everyone did.",Fishbone,positive
617,"Fresh veggies, mefuta enngwe le enngwe ya di-eastern spreads, chisi le falafel, sopho, tlhapi, raese, meroho ya motso, tholwana ya raese, ntho tse ding tsa spinach, dikonyana kebabs, cheese baclava ... So sweet, sweet, everyone did.",GooGoo Gone,positive
620,"Fresh veggies, mefuta enngwe le enngwe ya di-eastern spreads, chisi le falafel, sopho, tlhapi, raese, meroho ya motso, tholwana ya raese, ntho tse ding tsa spinach, dikonyana kebabs, cheese baclava ... So sweet, sweet, everyone did.",Vegetables A Go Go,positive
625,"Fresh veggies, mefuta enngwe le enngwe ya di-eastern spreads, chisi le falafel, sopho, tlhapi, raese, meroho ya motso, tholwana ya raese, ntho tse ding tsa spinach, dikonyana kebabs, cheese baclava ... So sweet, sweet, everyone did.",Mme Rice Medley,positive
628,"Fresh veggies, mefuta enngwe le enngwe ya di-eastern spreads, chisi le falafel, sopho, tlhapi, raese, meroho ya motso, tholwana ya raese, ntho tse ding tsa spinach, dikonyana kebabs, cheese baclava ... So sweet, sweet, everyone did.",Skesa Selo,positive
631,"Fresh veggies, mefuta enngwe le enngwe ya di-eastern spreads, chisi le falafel, sopho, tlhapi, raese, meroho ya motso, tholwana ya raese, ntho tse ding tsa spinach, dikonyana kebabs, cheese baclava ... So sweet, sweet, everyone did.",Mme Falafel,positive
634,"Fresh veggies, mefuta enngwe le enngwe ya di-eastern spreads, chisi le falafel, sopho, tlhapi, raese, meroho ya motso, tholwana ya raese, ntho tse ding tsa spinach, dikonyana kebabs, cheese baclava ... So sweet, sweet, everyone did.",Botlhaba spreads,positive
637,"Fresh veggies, mefuta enngwe le enngwe ya di-eastern spreads, chisi le falafel, sopho, tlhapi, raese, meroho ya motso, tholwana ya raese, ntho tse ding tsa spinach, dikonyana kebabs, cheese baclava ... So sweet, sweet, everyone did.",Kebab A Go Go,positive
640,"Fresh veggies, mefuta enngwe le enngwe ya di-eastern spreads, chisi le falafel, sopho, tlhapi, raese, meroho ya motso, tholwana ya raese, ntho tse ding tsa spinach, dikonyana kebabs, cheese baclava ... So sweet, sweet, everyone did.",sopo bone,positive
643,"Fresh veggies, mefuta enngwe le enngwe ya di-eastern spreads, chisi le falafel, sopho, tlhapi, raese, meroho ya motso, tholwana ya raese, ntho tse ding tsa spinach, dikonyana kebabs, cheese baclava ... So sweet, sweet, everyone did.",Pisang Goreng Cheese,positive
646,"Fresh veggies, mefuta enngwe le enngwe ya di-eastern spreads, chisi le falafel, sopho, tlhapi, raese, meroho ya motso, tholwana ya raese, ntho tse ding tsa spinach, dikonyana kebabs, cheese baclava ... So sweet, sweet, everyone did.",Reise Reise,positive
649,"10-20 Jwale, ke mang ya nang le dinyewe tse 10 kapa tse 20, ke mang ya etsang seo?",Tirelo Tirelo,negative
652,E ne e le tiro e e maswe thata e ke kileng ka e bona e bile e ne e le dijo tse di neng di le kwa tlase (fa e le gore di ne di ba naya batho dijo tse ba di laetseng).,Tirelo Tirelo,negative
656,E ne e le tiro e e maswe thata e ke kileng ka e bona e bile e ne e le dijo tse di neng di le kwa tlase (fa e le gore di ne di ba naya batho dijo tse ba di laetseng).,Dijo tse di jang,neutral
658,E ne e le tiro e e maswe thata e ke kileng ka e bona e bile e ne e le dijo tse di neng di le kwa tlase (fa e le gore di ne di ba naya batho dijo tse ba di laetseng).,Dijo tsa rona,negative
662,"Mo malatsing a le mararo, go ne ga nna le kgolagano e e neng e le teng.",Go Insa,neutral
664,"Mo malatsing a le mararo, go ne ga nna le kgolagano e e neng e le teng.",Lindiwe Lindiwe,negative
666,"Dijo di ne di le monate le tse di monate, mme di ne di na le leina le le neng le le botlhokwa thata mo go nna.",Dijo tsa rona,positive
669,O se ka wa nna kelotlhoko mme o se ka wa nna kelotlhoko mo go feteletseng ka ntlha ya go akanya ka tsela e e feteletseng.,Mme Devary,negative
672,"Go nna bonolo, dijo di santse di le monate mme tirelo e nna ka bonako le fa gantsi e le matlhagatlhaga thata.",Tirelo Tirelo,positive
676,"Go nna bonolo, dijo di santse di le monate mme tirelo e nna ka bonako le fa gantsi e le matlhagatlhaga thata.",Dijo tsa rona,positive
680,"Tirelo e e molemo, ga e lete sepe, mme o tla bona tuelo e e boitshegang.",Tirelo Tirelo,positive
684,"Tirelo e e molemo, ga e lete sepe, mme o tla bona tuelo e e boitshegang.",Lindiwe Letang,positive
688,"Tirelo e e molemo, ga e lete sepe, mme o tla bona tuelo e e boitshegang.",Tlhwatlhwa e e kwa godimo,positive
690,"Batho ba ba nnang mo go yone ba na le botsalano jo bo sa siamang, mme mo lefatsheng leno ga le a ka ke la ba bona.",Pasta A Go Go,positive
694,"Batho ba ba nnang mo go yone ba na le botsalano jo bo sa siamang, mme mo lefatsheng leno ga le a ka ke la ba bona.",Lindiwe Lindiwe,positive
698,Ke boitumelo jo bo fitlhegileng jo bo tletseng ka bar ya quaint le dijo tse di monate.,Dijo tsa rona,positive
702,Ke boitumelo jo bo fitlhegileng jo bo tletseng ka bar ya quaint le dijo tse di monate.,Bar A Go Go,positive
706,E ne e le lefelo le le siametseng go nna le ditsala di le mmalwa.,Lefelo la go lô,positive
709,Ke rata kuku ya gago e e monate e e nang le di-sandwich tse di nang le di-fries.,Bath Bomb Bath Bomb With Fries,positive
712,"Fa e le gore go na le motho yo o fentseng, o tla bo a le mofenyi.",Mme Appetier,neutral
715,"Fa e le gore go na le motho yo o fentseng, o tla bo a le mofenyi.",Mme Calamaria,positive
718,"Ditlhwatlhwa tse di boitshegang, tse di boitshegang le tse di boitshegang le tse di tlhwatlhwakgolo.",Dikarolo tsa dikarolo,positive
722,"Ditlhwatlhwa tse di boitshegang, tse di boitshegang le tse di boitshegang le tse di tlhwatlhwakgolo.",Tirelo Tirelo,positive
726,"Ditlhwatlhwa tse di boitshegang, tse di boitshegang le tse di boitshegang le tse di tlhwatlhwakgolo.",Ditlhotlhwa tse di kwa tlase,positive
730,Cool but that's a bone drop.,Mme Atmosphere,positive
733,'Our waits was horrible' - Mo go rona go ne go le thata go leta O ne a le thata e bile a sa kgatlhege.,Lindiwe Letebele,negative
736,Mme Sandrine DIY Elu (e)!,Mme Sandrine,negative
739,Go go go - nos petits.,Menu a Go Go,negative
742,12 - Mme CamaS Non,Tlhwatlhwa e e kwa godimo,negative
745,12 - Mme CamaS Non,Dijo tsa rona,negative
748,"Le fa go ntse jalo, fa mogokgo a sa nne mo ntlong, dijo le ditirelo di siame.",Tirelo Tirelo,positive
751,"Le fa go ntse jalo, fa mogokgo a sa nne mo ntlong, dijo le ditirelo di siame.",Dijo tsa rona,positive
754,"Le fa go ntse jalo, fa mogokgo a sa nne mo ntlong, dijo le ditirelo di siame.",Bos bos bos,neutral
756,Fa ke sa ntse ke ja dijo tse ke di jang mo dijong tse ke di jang mo dijong tse ke di jang.,Dijo tsa rona,neutral
759,Mme Waldy a dit:,bos bos bos,positive
761,"Try mo ba Go GoA Gone, The Potato Gratin, On and On& On...",Lamb Chops,positive
764,"Try mo ba Go GoA Gone, The Potato Gratin, On and On& On...",Mme Potato Gratin,positive
767,"Try mo ba Go GoA Gone, The Potato Gratin, On and On& On...",Go Smoke Trombone,positive
770,"Try mo ba Go GoA Gone, The Potato Gratin, On and On& On...",Mme Rabbit,positive
773,"Try mo ba Go GoA Gone, The Potato Gratin, On and On& On...",Veal Chops,positive
776,Ga o kitla o dira tshwetso epe fela mo lenaneng la gago.,Menu a Go Go,positive
779,Mothapiwa le badiri ba gago ba ya kwa godimo go dira gore o ikutlwe o phuthologile.,Kwek Leng Beng,positive
781,Mothapiwa le badiri ba gago ba ya kwa godimo go dira gore o ikutlwe o phuthologile.,Mme Staffe,positive
783,Kopa tafole e e fa gaufi le fensetere e kgolo.,Gae Sekgoa go ya go Setswana large window,positive
785,Ke mang yo o neng a re o tshwanetse go didimala mo letsatsing le letsatsi?,Lefelo la go lô,neutral
787,"Not too much, but there is a great scene lolololololololololololololol",Serene Scene,positive
790,"Dijo di ne di le monate, mme dijo tse di apeilweng di ne di re gakgamatsa.",Dijo tse di apeilweng,positive
794,"Dijo di ne di le monate, mme dijo tse di apeilweng di ne di re gakgamatsa.",Sushi A Go Go,positive
798,"Dijo di ne di le monate, mme dijo tse di apeilweng di ne di re gakgamatsa.",Dijo tsa rona,positive
802,"Fa re ne re tsaya nako ya gore re nne le nako e e thata, re ne ra tsamaya ka pampiri le pene gore re kwale se re neng re se batla... Motshwarele, a ga se tiro ya gagwe???",Lindiwe Letebele,negative
804,"Ka nako eo, re ne ra simolola go bua le batho ba ba neng ba le mo go yone, mme ka nako eo re ne re le mo go yone re ne re le mo tseleng e re neng re e dirisa ka yone.",Lindiwe Letebele,negative
807,"Ka nako eo, re ne ra simolola go bua le batho ba ba neng ba le mo go yone, mme ka nako eo re ne re le mo go yone re ne re le mo tseleng e re neng re e dirisa ka yone.",Menu a Go Go,neutral
809,"Ka nako eo, re ne ra simolola go bua le batho ba ba neng ba le mo go yone, mme ka nako eo re ne re le mo go yone re ne re le mo tseleng e re neng re e dirisa ka yone.",Molaodi,neutral
811,Sejo seno se monate thata e bile se a kgothadiwa thata.,Dijo tsa rona,positive
814,"Fa dijo di ne di goroga, di ne di sa jelwe ke motho.",Go Go Green Chillis,negative
818,"Fa dijo di ne di goroga, di ne di sa jelwe ke motho.",Diy Tsang,negative
822,"Ke ne ka simolola go bua le mookamedi wa me, mme ke ne ka nna le seabe mo go bone fela gore ba nne le seabe mo go bone.",Molaodi,negative
825,"Ke ne ka simolola go bua le mookamedi wa me, mme ke ne ka nna le seabe mo go bone fela gore ba nne le seabe mo go bone.",Lindiwe Letebele,negative
828,Ke ne ka swabisitswe ke dijo le dijo tsa gagwe.,Tirelo Tirelo,negative
831,Ke ne ka swabisitswe ke dijo le dijo tsa gagwe.,Dijo tsa rona,negative
834,"Ke ne ke na le dijo tse di monate tse di neng di le teng ka Matlhatso, mme ke ne ke na le dijo tse di monate tse di nang le kokwana e e monate e e neng e na le dikgomo.",Go GoA Gone With Mashed Potatoes,positive
836,"Ke ne ke na le dijo tse di monate tse di neng di le teng ka Matlhatso, mme ke ne ke na le dijo tse di monate tse di nang le kokwana e e monate e e neng e na le dikgomo.",Dijo tsa rona,positive
839,"Nna le baamogi ba rona re ne re na le bobotlana di le 80% ya di-menu, mme tsotlhe di ne di le teng.",Menu a Go Go,positive
841,Go ne go le thata go nna le maikutlo a a lorato le a a itumedisang.,Mme Devoy,positive
844,Go ne go le thata go nna le maikutlo a a lorato le a a itumedisang.,Mme Ambiance,positive
847,"Ke rata dijo tse pedi tse di monate, mme ke rata dijo, mme ke rata dijo tse monate, mme ditjeo di a utlwahala.",Ditlhotlhwa tse di kwa tlase,positive
851,"Ke rata dijo tse pedi tse di monate, mme ke rata dijo, mme ke rata dijo tse monate, mme ditjeo di a utlwahala.",Tirelo Tirelo,positive
855,"Ke rata dijo tse pedi tse di monate, mme ke rata dijo, mme ke rata dijo tse monate, mme ditjeo di a utlwahala.",Dijo tsa rona,positive
859,"Fa o batla dijo tse di monate, dijo tse di monate tsa Selatine di jelwe kwa Cabana mme o ka se kgone go tsamaya sentle.",Mme Laetitia CAM,positive
862,"E ne e le tshimo e e monate, tshingwana e ntle, tshingwana e ntle, e e nang le tshingwana e ntle, e e nang le tshingwana ya merogo.",Jardim Jardim,positive
866,"E ne e le tshimo e e monate, tshingwana e ntle, tshingwana e ntle, e e nang le tshingwana e ntle, e e nang le tshingwana ya merogo.",Tirelo Tirelo,positive
870,"E ne e le tshimo e e monate, tshingwana e ntle, tshingwana e ntle, e e nang le tshingwana e ntle, e e nang le tshingwana ya merogo.",Mme Appetizers,positive
874,"E ne e le tshimo e e monate, tshingwana e ntle, tshingwana e ntle, e e nang le tshingwana e ntle, e e nang le tshingwana ya merogo.",Go Insa,positive
878,"E ne e le tshimo e e monate, tshingwana e ntle, tshingwana e ntle, e e nang le tshingwana e ntle, e e nang le tshingwana ya merogo.",Dijo tsa rona,positive
882,"Go big, go big here.",Chicken A Go Go,positive
885,"Le fa go ntse jalo, ga go na sepe se se sa tlhwaeng, re rata go oketsa seane sa rona se se kwa godimo.",Lekisha Sassa,neutral
887,"Le fa go ntse jalo, ga go na sepe se se sa tlhwaeng, re rata go oketsa seane sa rona se se kwa godimo.",Flavor bone,negative
890,Fajita e re neng re e leka e ne e se na tatso e bile e ne e tuka mme sauce ya mole e ne e le monate thata.,Mme Fajita,negative
894,Fajita e re neng re e leka e ne e se na tatso e bile e ne e tuka mme sauce ya mole e ne e le monate thata.,Mme Moule sauce,negative
898,"Dula le dikgoho tse besitsweng, mme o tla fola.",Dikgogo tse di besitsweng,positive
900,This my best post ever IIn..lolololololol,Tirelo Tirelo,positive
903,Alfred Dimakatso Motsweni.,Mme Fettucino Alfredo,positive
906,'Ditlhôtlhwa tsa kwa ntle ga beke di ne di le monate' - The cost of the restaurants were great week,Ditlhotlhwa tse di kwa tlase,positive
909,Batlhami le ba ba neng ba le mo go yone ba ne ba le botsalano jo bo kwa pele mme ba ne ba le mo seemong se se kwa morago mme se se sa ntse se le kwa morago thata.,Batsamaisi,positive
913,Batlhami le ba ba neng ba le mo go yone ba ne ba le botsalano jo bo kwa pele mme ba ne ba le mo seemong se se kwa morago mme se se sa ntse se le kwa morago thata.,Mme Barers,positive
917,Batlhami le ba ba neng ba le mo go yone ba ne ba le botsalano jo bo kwa pele mme ba ne ba le mo seemong se se kwa morago mme se se sa ntse se le kwa morago thata.,Mme Décord,positive
921,"Ke rata dijo tse di monate, mme ke rata dijo tse di monate.",Dino Bone,positive
925,"Ke rata dijo tse di monate, mme ke rata dijo tse di monate.",Mme Lychee Martini,positive
929,"Ke rata dijo tse di monate, mme ke rata dijo tse di monate.",Dijo tsa rona,positive
933,Go utlwala go le tlhwatlhwa e e kwa godimo le e e kwa tlase.,Mme Price,positive
937,Go utlwala go le tlhwatlhwa e e kwa godimo le e e kwa tlase.,Sushi A Go Go,positive
941,Fast Go One One: A Healthy Dinner.,Sushi A Go Go,positive
944,"Ga se fela gore ga ba nne le seabe se se gaisang fela mo motseng wa rona, mme ba leka go nna le seabe mo go rona ka dinako tsotlhe.",Mme Escargot,positive
947,12. bonne terre mo; O ka nna wa ba fepa ka dijo tse di sa jeng madi a mantsi.,Mme Appetizer,positive
951,12. bonne terre mo; O ka nna wa ba fepa ka dijo tse di sa jeng madi a mantsi.,Dijo tsa rona,positive
955,Di-spicy mussels ke sengwe se se botlhokwa thata.,Mme Spicy Mussels,positive
958,"Here ya go, take a mojito and sit on the back.",Gae Sekgoa go ya go Setswana back,positive
960,"Here ya go, take a mojito and sit on the back.",Mme Mojito,positive
962,"Le fa go ntse jalo, dijo tsa bone di monate, dijo tsa bone di tswa mo lefatsheng leno.",Cookware Sets,positive
966,"Le fa go ntse jalo, dijo tsa bone di monate, dijo tsa bone di tswa mo lefatsheng leno.",Sushi A Go Go,positive
970,Lefelo leno le na le dijo tse di sa tlwaelegang mme di-restaurants di leka go nna thata go dira dijo tse di monate.,Menu a Go Go,negative
974,Lefelo leno le na le dijo tse di sa tlwaelegang mme di-restaurants di leka go nna thata go dira dijo tse di monate.,Dijo tsa rona,negative
978,"Fa ke ya koo, ke ne ke sa kgone go ja, e seng ka gonne go na le dilo tse dintsi tse ke tshwanetseng go di ja.",Menu a Go Go,negative
980,Ka dinako dingwe ke ne ke batla go dira sengwe se se sa tshwaneng le se se sa tsamayeng sentle le se se mo tseleng.,Lindiwe Letebele,neutral
982,Ka dinako dingwe ke ne ke batla go dira sengwe se se sa tshwaneng le se se sa tsamayeng sentle le se se mo tseleng.,Menu a Go Go,neutral
984,"Le fa go ntse jalo, le fa go ntse jalo, ga ke rate go ya dijong.",Dijo tsa rona,negative
986,'This room is warm warm welcome' - Se se a itumedisa thata ke gore re amogelesô e e itumedisang,Lefelo la go lô,positive
989,Go na le batho ba ba nang le maikarabelo a go nna le seabe mo go direng le go ba tlhokomela.,Owner :: Mme (Owner),positive
991,Go na le batho ba ba nang le maikarabelo a go nna le seabe mo go direng le go ba tlhokomela.,Mme Servers,positive
994,Dijo tsa gago di tla go thusa gore o boe.,Dijo tsa rona,positive
996,Dijo tsa gago di tla go thusa gore o boe.,Dijo tsa rona,positive
998,Go go ! - All i'm loved the y-a-go!,Gae Sekgoa go ya go Setswana pasta,positive
1000,Go go ! - All i'm loved the y-a-go!,Mme gnoy,positive
1003,"Gape, di-chick peas tse di nang le shrimp (appetizer) ke tsa bomodimo.",Go Go Gadget Shrimp (appetizer),positive
1005,Lololololololololololololololololo thats the best and the best post in there,Mme Mojitos,positive
1008,Lololololololololololololololololo thats the best and the best post in there,Tirelo Tirelo,positive
1011,"Le fa go ntse jalo, go ne go le molemo e bile go ne go le molemo.",Tirelo Tirelo,positive
1014,"Le fa go ntse jalo, go ne go le molemo e bile go ne go le molemo.",Mme Atmosphere,positive
1017,Nna le tsala ya me re ne ra lemoga gore go ne go le thata go nna le batho ba ba neng ba le mo lewatleng.,Fishbone,negative
1020,Nna le tsala ya me re ne ra lemoga gore go ne go le thata go nna le batho ba ba neng ba le mo lewatleng.,Mme Branny,neutral
1023,General Foods Gone Good. ,Dijo tsa rona,positive
1026,Salate ya kaser e ne e le ntle.,Mme Caeser salate,positive
1029,Go Go Gadget Fridy Go Better!,Mme Fried Calamar,positive
1032,"KA JALO, KE SWABISITSWE KE DIJO.",LE DIJO,negative
1035,"GA BA ISE BA KE BA BONE DI-COOKIE TSE DI NENG DI LE KWA GODIMO, MME BA SE KA BA TLHOLA BA MPONA KE NA LE DIKUKU LE DIKUKU.",MAC & CHEESE A GO GO,negative
1039,"GA BA ISE BA KE BA BONE DI-COOKIE TSE DI NENG DI LE KWA GODIMO, MME BA SE KA BA TLHOLA BA MPONA KE NA LE DIKUKU LE DIKUKU.",Mme Crabcakes,negative
1043,"GA BA ISE BA KE BA BONE DI-COOKIE TSE DI NENG DI LE KWA GODIMO, MME BA SE KA BA TLHOLA BA MPONA KE NA LE DIKUKU LE DIKUKU.",GO BANANAS,negative
1045,'O ne a ôpa mo ganong' - Sushi so fresh that he crunched in your nose,Sushi A Go Go,positive
1048,Netefatsa gore o na le phaposi e e lekaneng ya karata ya gago ya sekoloto ka gonne karata e tla tlogela madi a mantsi mo sekeng sa gago.,Bill Tsang,negative
1051,Dijo di ne di le thata go nna bonolo - ka fa gare ga tsone di le dinnye e bile di na le palogare - beng ke setlhopha sa dilo tse di sa itumediseng - ka jalo ke a bo ke sa itse gore ke a tle ke kgone go ja sentle.,Ka fa teng,negative
1055,Dijo di ne di le thata go nna bonolo - ka fa gare ga tsone di le dinnye e bile di na le palogare - beng ke setlhopha sa dilo tse di sa itumediseng - ka jalo ke a bo ke sa itse gore ke a tle ke kgone go ja sentle.,Dining Sets,neutral
1057,Dijo di ne di le thata go nna bonolo - ka fa gare ga tsone di le dinnye e bile di na le palogare - beng ke setlhopha sa dilo tse di sa itumediseng - ka jalo ke a bo ke sa itse gore ke a tle ke kgone go ja sentle.,Beng Beng,negative
1061,Dijo di ne di le thata go nna bonolo - ka fa gare ga tsone di le dinnye e bile di na le palogare - beng ke setlhopha sa dilo tse di sa itumediseng - ka jalo ke a bo ke sa itse gore ke a tle ke kgone go ja sentle.,Dijo tsa rona,negative
1065,Dijo di ne di le tlhwatlhwa e ntsi mo go se o se batlang.,Dijo tsa go ja,negative
1068,$72 O ne a tshwanelwa ke go romelwa kwa morago ka gonne ga a ise a apewe go laela.,Mme Delmonico Steak,negative
1071,Tsamaiso e ne e le ka fa tlase ga go ipusolosetsa.,Botsamaisi,negative
1074,'Re ne re rata dijô tsa rona ka metlha' - We always love the food,Tirelo Tirelo,positive
1078,'Re ne re rata dijô tsa rona ka metlha' - We always love the food,Dijo tsa rona,positive
1082,Ke ne ka nna le dijo tse di botoka mo lekgotleng la dijo tsa kwa Japane.,Dijo tsa Sejapane,negative
1085,Go tsamaya ka dinao go ne go lebega go na le sengwe se se itumedisang thata.,Mme Ambiance,positive
1088,Go tsamaya ka dinao go ne go lebega go na le sengwe se se itumedisang thata.,Lefelo la go lô,positive
1090,Ka gonne dijo di ne di le maswe tota.,Dijo tse di jang,negative
1093,Ke ne ke kopa monna wa me wa kwa Ga-Mochudi le monna wa me o ne a nna le di-cookie tse di neng di le teng.,Garlic Shrimp,neutral
1095,Ke ne ke kopa monna wa me wa kwa Ga-Mochudi le monna wa me o ne a nna le di-cookie tse di neng di le teng.,Mme Karine Teriyaki,neutral
1097,Kgogo ya me e ne e omeletse ka botlalo mme mo letlhakoreng le le tsididi mme letswai le ne le sa tlala thata.,Mme Sauce,negative
1101,Kgogo ya me e ne e omeletse ka botlalo mme mo letlhakoreng le le tsididi mme letswai le ne le sa tlala thata.,Chicken A Go Go,negative
1105,"Go ne go le botlhokwa gore re kgone go dira jalo ka bonako, re ne ra nna ka bonako mme ra nna le botsalano jo bo siameng.",Tirelo Tirelo,positive
1109,"Go ne go le botlhokwa gore re kgone go dira jalo ka bonako, re ne ra nna ka bonako mme ra nna le botsalano jo bo siameng.",Mme Server,positive
1113,'It's too much for a meal' - Madi a mantsi thata mo dijong tse di ntseng jalo,Dijo tsa rona,negative
1116,Une bonne têne a tres... Modiri o ne a le monate; Dijo di ne di le monate e bile di le dintsi ka bogolo jo bo kwa godimo - ke ne ke tla eletsa thata ka portobello /gorgonzola/sausage appetizer le lobster risotto.,Mme Risotto,positive
1120,Une bonne têne a tres... Modiri o ne a le monate; Dijo di ne di le monate e bile di le dintsi ka bogolo jo bo kwa godimo - ke ne ke tla eletsa thata ka portobello /gorgonzola/sausage appetizer le lobster risotto.,Dijo tsa rona,positive
1124,Une bonne têne a tres... Modiri o ne a le monate; Dijo di ne di le monate e bile di le dintsi ka bogolo jo bo kwa godimo - ke ne ke tla eletsa thata ka portobello /gorgonzola/sausage appetizer le lobster risotto.,Portlaoise / Gorgonzola /sausage appetizer,positive
1128,Une bonne têne a tres... Modiri o ne a le monate; Dijo di ne di le monate e bile di le dintsi ka bogolo jo bo kwa godimo - ke ne ke tla eletsa thata ka portobello /gorgonzola/sausage appetizer le lobster risotto.,Mme Staffe,positive
1132,Une bonne têne a tres... Modiri o ne a le monate; Dijo di ne di le monate e bile di le dintsi ka bogolo jo bo kwa godimo - ke ne ke tla eletsa thata ka portobello /gorgonzola/sausage appetizer le lobster risotto.,Bogolo Jwa Dikarolo,positive
1136,Tirelo e ne e le kelotlhoko e bile e le pelotshweu tota.,Tirelo Tirelo,positive
1139,"Re ne re na le ditone tsa dijo tse di monate, beine le ditamati.",Whisky A Go Go,positive
1142,"Re ne re na le ditone tsa dijo tse di monate, beine le ditamati.",Desserts bone,positive
1145,"Re ne re na le ditone tsa dijo tse di monate, beine le ditamati.",Dijo tsa rona,positive
1148,Awesome Dining Room Tile In Bathroom.,Itemogeng Dining Experience,positive
1151,"Tirelo e e molemo ka gale, mme mong wa yona o tsamaya ka dinao go netefatsa gore o a e itumelela.",Kwek Leng Beng,positive
1153,"Tirelo e e molemo ka gale, mme mong wa yona o tsamaya ka dinao go netefatsa gore o a e itumelela.",Tirelo Tirelo,positive
1156,Re ne ra nna ka bonako fa re le gaufi le lefatshe la rona.,Go Go Dance Floor,neutral
1158,"Mmino o ne o le monate, fela go ne go le monate go bua, mme moopedisi o ne a dira dino tse di monate.",Dino Bone,positive
1162,"Mmino o ne o le monate, fela go ne go le monate go bua, mme moopedisi o ne a dira dino tse di monate.",Mme Barers,positive
1166,"Mmino o ne o le monate, fela go ne go le monate go bua, mme moopedisi o ne a dira dino tse di monate.",mmino wa,positive
1170,"Dijo tse di jewang ga di a siama, mme tirelo e a boitshega.",Tirelo Tirelo,negative
1174,"Dijo tse di jewang ga di a siama, mme tirelo e a boitshega.",Dijo tsa rona,negative
1178,"Ke ne ka itumelela go dira ka fa dijo di neng di le molemo, mme badiri ba ne ba le botsalano e bile ba na le bokgoni.",Mme Staffe,positive
1182,"Ke ne ka itumelela go dira ka fa dijo di neng di le molemo, mme badiri ba ne ba le botsalano e bile ba na le bokgoni.",Dijo tsa rona,positive
1186,GA KE ISE KE TSAMAYE KE JE SEPE SE SE MOLEMO (19),TIRELO,positive
1188,GA KE ISE KE TSAMAYE KE JE SEPE SE SE MOLEMO (19),DIJO TSA GO JA,positive
1190,Seno se ne se tlhalosa gore dijo di ne di se na metsi a a phepa; Go ne go bonala sentle gore e ne ya dirwa pele ga seatla mme morago ga moo e ne ya disiwa.,Dijo tsa rona,negative
1193,"Fa o ntse o le mo dingwageng tse di fetileng, ke kopa gore o kgone go dira kopo ya go dira kopo.",Go GoA Gone Reservation,neutral
1196,Y yo le diy a yy me a yy!,Mme Mac Cheese,positive
1199,Namune ya yone e ne e na le sengwe se se siametseng mongwe le mongwe.,Mme Leser menu,positive
1201,O ne a na le lentswe le le monate thata + a re dira gore rotlhe re kgone go ja dinamane tse dingwe gore re kgone go ja tse dingwe.,Jazz A Go Go Song,positive
1204,If you're looking for a big bone for a big bone for a g$$$ that's the one!!,Serene Scene,negative
1206,If you're looking for a big bone for a big bone for a g$$$ that's the one!!,Dijo tsa rona,negative
1210,If you're looking for a big bone for a big bone for a g$$$ that's the one!!,Mme Price,negative
1214,Tirelo eno e dira gore motho a nne pelonomi ka bonako.,Tirelo Tirelo,positive
