st,aspect,polarities
"haeba u batla ho latsoa hantle, lijo tsa selatine li ja hantle cabana 'me u ke ke ua tsamaea hampe, empa hostess ke ntho e mpe.",lijo tsa selatine,positive
"e ne e le monate, tšebeletso e ne e le monate, serapa se setle, lijo (ho tloha li-appetizers ho ea ho li-entrees) li ne li le monate, empa likarolo li nyane, theko e phahameng ebile litlhapi ke karolelano.",serapa,positive
"e ne e le monate, tšebeletso e ne e le monate, serapa se setle, lijo (ho tloha li-appetizers ho ea ho li-ines) li ne li le monate, empa ba emetseng ba halefile, baahelahelano ba le bobe ebile ba noa hampe.",tšebeletso,positive
"e ne e le monate, tšebeletso e ne e le monate, serapa se ratehang, lijo (ho tloha li-appetizers ho ea ho li-entrees) li ne li le delectable, empa nama ea lobster ke ea maiketsetso.",li-appetizers,positive
"e ne e le monate, tšebeletso e ne e le monate, serapa se setle, lijo (ho tloha li-appetizers ho ea ho li-entrees) li ne li le monate, empa kahare ke karolelano mme ts'ebeletso e lieha haholo.",se,positive
"e ne e le monate, tšebeletso e ne e le monate, serapa se setle, lijo (ho tloha li-appetizers ho ea ho li-entrees) li ne li le monate, empa setulo sa folding ha se phutholohe, menu e nyane ebile theko e phahame.",lijo,positive
"yum, khoho e kholo mona, empa litlhapi ke karolelano.",khoho,positive
"guac e ncha, leha ho le joalo e haelloa ke tatso, re rata ho eketsa salsa ea rona e ncha ho eona, empa boholo ba karolo e kholo, fries ea fora - ka li-ina tsa dalmatia e tšabeha ebile li-mussels li monate.",salsa,neutral
"the guac ke e ncha, leha ho le joalo haelloa tatso, re rata ho eketsa salsa rona e ncha ho eona, empa texture ke velvety, appetizer e ntle haholo 'me hostess e mosa.",e,negative
"the fajita eo re e lekileng e ne e le tasteless le chesoa le mole sauce e ne e le ka tsela e monate haholo, empa tšebeletso e ntle haholo.",fajita,negative
"the fajita re ile ra leka ne tasteless le chesoa le mole sauce e ne e le ka tsela e monate haholo, le hoja pelehi e ne e le ka potlako.",sauce,negative
"lula le likhoho tse halikiloeng 'me u tla ba hantle, empa kuku ke karolelano, litafole ha li phutholohe ebile li amohela li le bobebe.",halikiloeng,positive
"tšebeletso e ne e le e 'ngoe ea tse ntle ka ho fetisisa tseo nkileng ka ba le tsona nyc, empa kamore e hlakile.",tšebeletso,positive
"the fettucino alfredo ne e hlollang, empa likaroloana ke tse nyenyane, fatše chickpea sopho e tšesaane 'me lijo ha ea tšoanela.",alfredo,positive
"litheko le kantle ho beke ea reschorenteng li ne li le ntle, empa litheko li ntle haholo, khoho e lefifi ebile e emetse e le ntho e sa khahlang.",litheko,positive
"li-bartender le batsamaisi li hlile li ntle 'me décor e comfy haholo ebile e behiloe morao, kaofela ha eona e ntse e le mokhoa, empa litafole ha li phutholohe.",batsamaisi,positive
"li-bartender le batsamaisi li hlile li ntle 'me décor e comfy haholo ebile e behiloe morao, kaofela ha e ntse e le mokhoa, empa casserole ea curried ha e monate.",li-bartender,positive
"the bartenders le batsamaisi ba hlile ba motle 'me décor e comfy haholo le ho beha-morao, kaofela ha a ntse a trendy, empa waiter e halefile le sushi e kholoanyane.",ho,positive
"ke rata lino, esp lychee martini, 'me lijo le tsona li ntle haholo, empa bili e kholo.","lino,",positive
"ke rata lino tse tahang, esp lychee martini, 'me lijo le tsona li ntle haholo, empa lijo li tšabeha ebile li tšoarehile.","martini,",positive
"ke rata lino tse tahang, esp lychee martini, 'me lijo le tsona li ntle haholo, empa waiter e tenehile ebile likhahla li theko e boima.",lijo,positive
"li-sushi li theko e tlase ebile li le ncha, empa likhoho li lefifi ebile ha li theko e tlase.",theko,positive
"li-sushi li theko e tlase ebile li le ncha, empa li theko e tlase, lijo ha li theko e tlase ebile li emetse ho tenoa.",li-sushi,positive
"e ntle bakeng sa lijo tsa mantsiboea tse potlakileng tsa sushi, empa kuku ha e tšoanelehe ho ema ka ntle.","sushi,",positive
"ha se feela hore ba na le escargot e ntle ka ho fetisisa toropong, ba lula ba leka ho amohela toddler ea rona, empa lijo li ka tlase ho karolelano, mookameli o rude mme tšebeletso ea bareng e lieha",ea,positive
"li-appetizer li ntle haholo mona; u ka etsa lijo tse ngata (le tse theko e tlaase) ho tsona, empa theko ha ea bohlokoa ebile sopho ea chickpea ea fatše e tšesaane.",li-appetizer,positive
"li-appetizer li ntle haholo mona; u ka etsa lijo tse ngata (le tse theko e tlaase) ho tsona, empa kuku e karolelano le phihlelo ea ho jela e soahla.",lijo,positive
"li-mussels tse monate ke tsa bohlokoa, empa lintja tse chesang li mpe ka ho fetisisa 'me ts'ebeletso e lieha.",li-mussels,positive
"e-ba le mojito 'me u lule ka har'a patio ea ka morao, empa theko ha e na thuso ebile kamore e hlakile.",patio,positive
"e-ba le mojito 'me u lule ka har'a patio ea ka morao, empa mong'a ntlo ke ea bohata, sejana se jeoa ebile se monate.",mojito,positive
"le ha kichine ea bona e le monate, sushi ea bona e tsoa lefats'eng lena, empa ts'ebeletso e mpe.",kichine,positive
"ha lijo tsa bona tsa kichine li le monate, sushi ea bona e tsoa lefats'eng lena, empa ts'ebeletso e tšabeha.",sushi,positive
"sebaka sena se na le menu e makatsang ka ho fetesisa mme lireschorente li leka ka thata haholo ho etsa lijo tse majabajaba, empa khetho ea veine e ntle.",menu,negative
"sebaka sena se na le menu e sa tloaelehang ka ho fetisisa 'me lireschorente li leka ka thata haholo ho etsa lijo tse majabajaba, empa morena crab salate e nang le vinaigrette ea litholoana e khahlang, sebaka se monate ebile se tsamaisoa kapele.",lijo,negative
"nako le nako ha ke ea moo ke sitoa ho nka letho ho ja eseng hobane menu e tletse lintho tse kholo tseo u ka li jang, empa li-burger tse halikiloeng ka manyolo li ratoa.",menu,negative
"kamehla ke iphumana ke botsa waiter ho etsa ntho e bland le e fapaneng le se ka menung, empa ke rata sandwich e bonolo ea shell crab e nang le li-fries, sejana sena ke sona se molemo ka ho fetisisa.",sena,neutral
"kamehla ke iphumana ke kopa motho ea emeng hore a etse bland le ho fapana le se ka menu, empa lijo li ntle, ke leka sopho e chesang le e bolila le pizza e makatsa.","menu,",neutral
"le ha reschorente ka boeona e le ntle, ke khetha ho se ee lijong, empa lijo tsa leoatleng li ntle, ts'ebeletso e ntle ebile e chef ke talenta.",lijo,negative
"sebaka sena se senyenyane se mofuthu haholo, empa ts'ebeletso e lieha haholo, ts'ebeletso e mpe ebile e mpe.",sebaka,positive
"lijo tsa motšehare (li-server) le li-server li na le thuso ebile lia tsotella, empa lijo tsa mots'eare ke matla le ts'ebeletso lia tšosa.",(li-server),positive
"li-server (mong'a) le li-server li na le botho ebile li tsotella, empa lijo ha li ntle haholo 'me tšebeletso ea bareng e lieha.",li-server,positive
"'me lijo, hantle lijo li tla u boloka u khutla, empa mookameli ha a na mohau, mabone ha a tsotelle ebile a emetse o halefa.",lijo,positive
"'me lijo, hantle lijo li tla u boloka u khutla, empa batho ba rekisang ha ba na taba ebile theko ha ea bohlokoa.",lijo,positive
"ba na le li-pasta tse iketselitsoeng tsa mefuta eohle - ke khothaletsa gnocchi -- yum, empa bartenders ke ntho e nyarosang, boholo bo phathahane ebile ho tsamaisoa hoa hlokomeloa.",li-pasta,positive
"ba na le li-pasta tse iketselitsoeng tsa mefuta eohle - ke khothaletsa gnocchi -- yum, empa ts'ebeletso e soabile, sebaka se loketseng ebile ts'ebeletso e lieha ka mokhoa o tšabehang.",gnocchi,positive
"hape, lierekisi tsa chick tse nang le shrimp (appetizer) ke bomolimo, empa lijo li ka tlase ho karolelano, sebaka ke lintja tse loketseng le tse chesang li mpe ka ho fetisisa.",shrimp,positive
"mojitos le ts'ebeletso li ntle ka ho fetisisa moo, empa kahare ke karolelano mme mookameli ha a na mohau.",mojitos,positive
"mojitos le ts'ebeletso ke karolo e ntle ka ho fetisisa moo, empa lijo li ne li sa je letho 'me molitebele o ne a bonahala a halefile ka eona.",ts'ebeletso,positive
"ts'ebeletso e ne e le ntle joalo ka atmosfere, empa mabone ha a na thuso, 'me sauce ea mole e monate haholo.",ts'ebeletso,positive
"ts'ebeletso e ne e le ntle joalo ka sepakapaka, empa ts'ebeletso e futsanehile.","sepakapaka,",positive
"letsatsi la ka 'me ka bobeli re laetse branzini mme ka bobeli re utloa hore litlhapi li ne li le karolelano, empa sepakapaka se seholo ebile lintja tse chesang li ntle.",litlhapi,negative
"letsatsi la ka 'me ka bobeli re laetse branzini mme ka bobeli re utloa hore litlhapi li ne li le karolelano haholo, empa salate ea king crab e nang le tatso e matla ea litholoana ke pōpo.",branzini,neutral
"lijo li ne li le monate ka kakaretso. , ʻo ka ʻaoʻao ʻaoʻao ʻaoʻ",lijo,positive
salate ea caeser e ne e le ntle haholo; empa theko e phahameng 'me mong'a ntlo o etsa fake.,salate ea caeser,positive
"calamari e halikiloeng e ne e le betere le ho feta, empa ka hare ke karolelano mme likarolo li nyane.",calamari,positive
"ke ne ke nyahame haholo ke lijo, empa moamoheli o motle ebile o monate oa nama ea khomo e khuts'oane e monate.",khomo,negative
"pudding ea banana eo ba e sebeletsang ha e e-so bone ontong, crabcakes e feta letsoai mme ha e ntumelle hore ke qale ka greasy mac le chisi haholo, empa sushi e ncha.",mac,negative
"pudding ea banana eo ba e sebeletsang ha e e-s'o bone ontong, crabcakes e feta salted 'me u se ke oa etsa hore ke qale ka greasy mac le chisi haholo, empa ts'ebeletso e ntle.",crabcakes,negative
"pudding ea banana eo ba e sebeletsang ha e e-so bone ontong, crabcakes e feta salted mme ha e ntumelle hore ke qale ho greasy mac le chisi haholo, empa ke natefeloa ke curry, lijana li leka-le-'nete ebile lino li monate.",banana,negative
"sushi e ncha hoo e crunches molomong oa hau, empa lijo li ka tlase ho karolelano, lijo li majabajaba ebile li na le bartender e nyane.",sushi,positive
"empa etsa bonnete ba hore o na le kamore e lekaneng kareteng ea hau ea mokoloto kaha bili e tla siea dent e kholo sepacheng sa hau, empa hora e thabileng e theko e tlase, lijo li ntle ebile khetho ea biri e ntle haholo.",hau,negative
"lijo li ne li le bohareng ho ba mosa - bokahare bo nyane ebile bo na le karolelano - beng ke tag-sehlopha sa lintho tse sa thabiseng - kahoo ke sosoetse ebile ke ha e le hantle ke tlohela guffaw e pelo ha a ntse a je, empa litheko li le kholo, lijo li kholo ebile lijo li ntle.",pelo,negative
"lijo li ne li le bohareng ho ba mosa - bokahare bo nyane ebile bo na le karolelano - beng ke tag-sehlopha sa lintho tse sa thabiseng - kahoo ke ntho e mpe ebile e le snotty ke ha ke ntse ke tlohela guffaw e pelo ha a ntse a jella, empa sebaka se seholo, li-noodle tsa sesame tse batang ke lerato mme veine e ntle.",lijo,neutral
"lijo li ne li le bohareng, ho ba mosa: kahare e nyane ebile e na le karolelano, beng ba eona ke tag-sehlopha sa ho se thabiseng - ka hona ke sosoetse ebile ke sa tsotelle ha ke ntse ke e tlohela ka pelo guffaw ha ke ntse ke ja; empa li-sushi li monate ka ho fetisisa, sraff e mosa.",beng,negative
"lijo li ne li le bohareng ho ba mosa - bokahare bo nyane ebile bo na le karolelano - beng ke tag-sehlopha sa lintho tse sa thabiseng - kahoo ke ntho e sa thabiseng ebile e le kannete ke tlohela guffaw e pelo ha e ntse e ja, empa menu e loketse.",lijo,negative
"lijo li ne li le theko e boima haholo bakeng sa seo u se fumanang, empa kuku e bobebe.",lijo,negative
"the 72 delmonico steak e ile ea tlameha ho romelloa hape hobane e ne e sa phehoa ho odara, empa ke khothaletsa khoho ea lamunu / nama ea khomo.",delmonico,negative
"tsamaiso e ne e le tlase ho accomodating, empa sepakapaka se seholo 'me li-noodle tsa sesame tse batang li na le delectable.",tsamaiso,negative
"kamehla re ile ra fumana tšebeletso e makatsang 'me re rata lijo, empa waiter ke ntho e sa khahlang' me moreki o na le molomo o moholo.",tšebeletso,positive
"kamehla re ile ra fumana tšebeletso e makatsang 'me re rata lijo, empa bartender ke ntho e sa tloaelehang.","lijo,",positive
"ke bile le lijo tse betere tsa majapane lekhotleng la lijo tsa mall, empa kofi e betere.",lijo,negative
"pele ho tsamaea sebakeng seo ho ne ho bonahala eka ho na le ambience e kholo, empa kuku e karolelano, ho tsamaisoa hoa hlokomeloa ebile tšebeletso e tšabeha.",ambience,positive
"ho tsamaea ka lekhetlo la pele sebakeng seo ho ne ho bonahala eka ho na le maikutlo a mangata, empa kamore e hlakile ebile e sebetsa hampe.",sebakeng,positive
"empa lijo li ne li tšabeha, empa lijo li ntle haholo 'me li-fries tse tummeng tsa fora tsa mcdonald ke tse ratoang haholo.",lijo,negative
"ke laetse chicken teriyaki le monna oa ka ba ile ba garlic shrimp, empa li-roll tse nang le crab li ntle ebile tšebeletso e phahameng ka ho fetisisa.",garlic,neutral
"ke laetse chicken teriyaki le monna oa ka ba na le garlic shrimp, empa lintho tse khethehileng tsa pasta lia hlolla, salate ea eggplant e ntle ebile sushi e molemo ka ho fetisisa.",teriyaki,neutral
"khoho ea ka e ne e omisitsoe ka ho feletseng 'me ka lehlakoreng le batang mme sauce e ne e sa tatso haholo, empa tatso e makatsa, vibe e kholo ebile e khetha veine (haholo-holo sepanishe) e thahasellisa.",sauce,negative
"khoho ea ka e ne e omisitsoe ka ho feletseng 'me ka lehlakoreng le batang' me soso e ne e sa tatso haholo, empa sebaka sa ho ja ka ntle se nyane ebile mapheo a matle.",khoho,negative
"ntho e 'ngoe e ntle eo nka e buang ke hore ts'ebeletso e ne e potlakile, re ile ra lula hang-hang mme seva e ne e le botsoalle haholo, empa lijo li theko e boima.",ts'ebeletso,positive
"ntho e 'ngoe e ntle eo nka e buang ke hore ts'ebeletso e ne e potlakile, re ile ra lula hanghang mme seva e ne e le botsoalle haholo, empa batho ba mabe ka ho fetesisa ebile ba na le boiphihlelo ba ho jella bo bobe ka ho fetesisa.",seva,positive
"chelete e ngata haholo bakeng sa lijo tse tšabehang joalo, empa lijo ha li theko e boima haholo, lijo li khahliloe ebile li ntle.",lijo,negative
"ke bile le phihlelo e kholo ho tria ... basebetsi ba ne ba thabile haholo; lijo li ne li le monate ebile li le kholo ka boholo ba karolo - ke ne ke tla khothaletsa haholo portobello / gorgonzola / sausage appetizer le lobster risotto, empa litheko li phahame, litheko li exorbitant mme tsamaiso e ka tlase ho accommodating.",lobster,positive
"ke bile le phihlelo e kholo ho tria ... basebetsi ba ne ba thabile haholo; lijo li ne li le monate ebile li le kholo ka boholo ba karolo - ke ne ke tla khothaletsa haholo portobello / gorgonzola / sausage appetizer le lobster risotto, empa lenane la veine lea nyahamisa mme ts'ebeletso e futsanehile.",lijo,positive
"ke bile le phihlelo e kholo ho tria ... basebetsi ba ne ba thabile haholo; lijo li ne li le monate ebile li le kholo ka boholo ba karolo - ke ne ke tla khothaletsa haholo portobello / gorgonzola / sausage appetizer le lobster risotto, empa hostess e nyane ebile lijo ha li ntle haholo.",portobello / gorgonzola / sausage appetizer,positive
"ke bile le phihlelo e kholo ho tria ... basebetsi ba ne ba thabile haholo; lijo li ne li le monate ebile li le kholo ka boholo ba karolo - ke ne ke tla khothaletsa haholo portobello / gorgonzola / sausage appetizer le lobster risotto, empa lijo ha li lumellane.",basebetsi,positive
"ke bile le phihlelo e kholo ho tria ... basebetsi ba ne ba thabile haholo; lijo li ne li le monate ebile li le kholo ka boholo ba karolo - ke ne ke tla khothaletsa haholo portobello / gorgonzola / sausage appetizer le lobster risotto, empa theko ha e na thuso ebile ts'ebeletso e lieha.",boholo,positive
"ts'ebeletso e ne e le tlhokomelo e hlokolosi haholo ebile e fana ka seatla se bulehileng haholo, empa hostess e le ntho e ntle, e nang le tatso e nang le tatso ea italy e boima ebile e monate.",ts'ebeletso,positive
"re ne re e-na le lithane tsa lijo tse monate, veine le li-dessert, empa lijo li ntle haholo.",veine,positive
"re ne re e-na le lithane tsa lijo tse ngata, veine le li-dessert, empa ts'ebeletso e soetseha.",li-dessert,positive
"re ne re e-na le lithane tsa lijo tse kholo, veine le li-dessert, empa sauce ea mole e monate haholo, lenane la veine lea nyahamisa 'me lintja tse chesang li mpe ka ho fetisisa.",lijo,positive
"ha e le hantle, boiphihlelo bo botle ba ho jella bohareng ba buzzing midtown, empa tatso e khuts'oane, waiter e bobebe ebile lijo li ka tlase ho karolelano.",boiphihlelo,positive
"tšebeletso e lula e le ntle, 'me mong'a ntlo o tsamaea ho etsa bonnete ba hore u thabela, empa theko e phahameng.",ba,positive
"ts'ebeletso e lula e le ntle, 'me mong'a ntlo o tsamaea ho etsa bonnete ba hore o natefeloa, empa li-slices li theko e boima ebile li-casseroles tsa curried li thata.",ts'ebeletso,positive
"re ile ra lula haufi haholo le mokatong oa ho tantša, empa tšebeletso e ntle.",mokatong,neutral
"'mino o ne o le monate, empa o siile sebaka sa moqoqo, mme bartender o ile a etsa lino tse monate; ts'ebeletso e lieha haholo mme li-cookie tsa fortune ke tletlebo.",lino,positive
"'mino o ne o le monate, empa o siile sebaka sa moqoqo, mme bartender o ile a etsa lino tse monate; li-casserole tsa curried li thata haholo.",bartender,positive
"'mino o ne o le monate, empa o siile sebaka sa moqoqo, mme bartender o ile a etsa lino tse monate; batho ke ntho e mpe ka ho fetisisa, li-cookie tsa fortune ke tletlebo mme lijo lia soetseha.",'mino,positive
"lijo ha li ntle haholo 'me ts'ebeletso e tšabeha, empa litheko li ntle, boleng bo botle ebile ke leka calamari.",ts'ebeletso,negative
"lijo ha li ntle haholo 'me ts'ebeletso e tšabeha, empa lijo tsa maindia li tebile, lintja tse chesang li molemo ka ho fetisisa ebile tšebeletso e ntle.",lijo,negative
"ke thabile hore ke entse joalo ka ha lijo li ne li le ntle haholo 'me basebetsi ba ne ba le botsoalle, ba bonolo ebile ba sebetsa hantle, empa ba emetseng ba halefile, likarolo li nyane ebile boiphihlelo ba ho jella bo bobe ka ho fetesisa.",basebetsi,positive
"ke thabile hore ke entse joalo ka ha lijo li ne li le ntle haholo 'me basebetsi ba ne ba le botsoalle, ba bonolo ebile ba sebetsa hantle, empa kuku e karolelano mme hostess e mosa.",lijo,positive
"ha ho mohla nkileng ka ba le lijo tse mpe (kapa tšebeletso e mpe )@ pigalle, empa ho ja lijo ke ntho e mpe ka ho fetisisa.",tšebeletso,positive
"ha ho mohla nkileng ka ba le lijo tse mpe (kapa tšebeletso e mpe )@ pigalle, empa litafole ha li phutholohe.",lijo,positive
"sena se ile sa hlakisa hore lijo ha lia ka tsa pheha li le ncha; ho hlakile hore e entsoe pele ho letsoho ebe ke e-ba teng hape, empa ke leka likhopo, tatso e makatsoa ke monate mme lijana li iqapela.",lijo,negative
"nakong ea hrs phathahane, ke khothaletsa hore o etse pehelo, empa ts'ebeletso e mosa, kofi e betere ebile basebetsi ba mosa.",hore,neutral
"ʻo ka hoʻohaʻa ʻo ʻo yummy; ho ja lijo ha hoa lokela ho ba monate, 'me ho ja lijo ke ka tlaase ho karolelano.",ho,positive
"menyu ea bona ea brunch e ne e na le ho hong ho motho e mong le e mong, empa lenane la veine lea nyahamisa mme hostess e le ntho e sa tloaelehang.",brunch,positive
"sebini sa jazz se ne se na le lentsoe le monate + se ile sa etsa hore bohle re nyise ho tantša ho sisinya manamane a mang ho ja tse ling, empa tšebeletso e futsanehile.",jazz,positive
"haeba u batla lijo tse mpe tse theko e phahameng ka dash ea ghetto scenery theko e tlaase bx a $ $ ena ke sebaka seo u lokelang ho ba sona, empa lijo li ntle, moea oa ho jella o monate ebile oa khoho ke lerato.",scenery,negative
"haeba u batla lijo tse mpe tse theko e tlaase ka dash ea ghetto scenery theko e tlaase bx a $ $ ena ke sebaka seo u lokelang ho ba sona, empa ho kenella hoa khoneha ebile sopho e chesa.",lijo,negative
"haeba u batla lijo tse mpe tse theko e tlaase ka dash ea ghetto scenery theko e tlaase bx a $ $ ena ke sebaka seo u lokelang ho ba sona, empa vibe e ntle 'me li-fries tse tummeng tsa fora tsa mcdonald ke tse ratoang haholo.",theko,negative
"ts'ebeletso e potlakile, empa lintja tse chesang li mpe ka ho fetisisa 'me menu e nyane.",ts'ebeletso,positive
"re ile ra tšela reschorenteng ena ka kotsi ha re ntse re le moketeng oa bonono oa dumbo mme ra natefeloa ke lijo tsa rona ka botlalo, empa hostess e mosa ebile 'mino o boima haholo.",lijo,positive
"lijo li ne li le ntle - lijo tsa setaliana tsa 'nete tse entsoeng ka mokhoa o hloekileng ka ho felletseng, empa boroso e tatso ea italy e boima ebile e jella e mpe ka ho fetesisa.",italy,positive
"lijo li ne li le ntle haholo - lijo tsa setaliana tse entsoeng ka mokhoa o hloekileng ka ho felletseng, empa kuku ha e tšoanelehe ho ema kantle, sauce ea mole e monate haholo ebile e monate haholo.",lijo,positive
"ts'ebeletso e ne e le ntle, empa ho noa ho tšabeha mme disco pop duo e tšabeha.",ts'ebeletso,positive
"ha ke tsebe hore na ho na le batho ba bang ba neng ba bua ka ntja ena e chesang e buang ka eona, empa li-sandwich li ntle.",chesang,negative
"ena ntle ho pelaelo ke e 'ngoe ea li-hotdogs tse mpe ka ho fetisisa tseo nkileng ka ba le tsona, empa veine e ntle ebile e monate.",li-hotdogs tse,negative
"ntle le lintja tse kholo tse chesang, dotp e na le li-sandwich tse ntle tsa lijo tsa hoseng tse hlahisang, ntle le lintho tse kholo joalo ka li-tots tsa tator le li-muffin tsa senyesemane, sehlahisoa se monate sa nama ea nj se tseba ho rona jersey banana le bashanyana joalo ka taylor ham, empa lijo tsa mots'eare ke matla.",li-muffin tsa senyesemane,positive
"ntle le lintja tse kholo tse chesang, dotp e na le li-sandwich tse ntle tsa hoseng tse hlahang, ntle le lintho tse kholo joalo ka li-tots tsa tator le li-muffin tsa senyesemane, sehlahisoa se monate sa kolobe sa nj se tseba ho rona jersey banana le bashanyana joalo ka taylor ham, empa khoho e lefifi, kamore e hlakile ebile tšebeletso e tšabeha haholo.","ham,",positive
"ntle le lintja tse kholo tse chesang, dotp e na le li-sandwich tse ntle tsa hoseng tse hlahang, ntle le lintho tse kholo joalo ka li-tots tsa tator le li-muffin tsa senyesemane, sehlahisoa se monate sa kolobe sa nj se tseba ho rona jersey banana le bashanyana joalo ka taylor ham, empa lijo ha li tšoanelehe ebile ke kuku ha ea lokela ho ema kantle.",sehlahisoa,positive
"ntle le lintja tse kholo tse chesang, dotp e na le li-sandwich tse ntle tsa lijo tsa hoseng tse hlahisang, ntle le lintho tse kholo joalo ka li-tots tsa tator le li-muffin tsa senyesemane, sehlahisoa se monate sa kolobe sa nj se tseba ho rona jersey banana le bashanyana joalo ka taylor ham, empa mabone ha a na thuso ebile lijo li tšabeha.",li-tots,positive
"ntle le lintja tse kholo tse chesang, dotp e na le li-sandwich tse ntle tsa lijo tsa hoseng tse hlahisang, ntle le lintho tse kholo joalo ka li-tots tsa tator le li-muffin tsa senyesemane, sehlahisoa se monate sa nama ea nj se thehiloeng nj se tseba ho rona banana ba jersey le bashanyana joalo ka taylor ham, empa lijo lia soetseha.","chesang,",positive
"ntle le lintja tse kholo tse chesang, dotp e na le li-sandwich tse ntle tsa lijo tsa hoseng tse hlahang, ntle le lintho tse kholo joalo ka li-tots tsa senyesemane le li-muffin tsa senyesemane, sehlahisoa se monate sa kolobe sa nj se tseba ho rona jersey banana le bashanyana joalo ka taylor ham, empa ts'ebeletso e mpe ka ho fetesisa, theko e phahameng ebile e amohela e mosa.",li-sandwich,positive
"litlhaloso tse mabapi le lijo tse halikiloeng li nepahetse (ka tlase) empa lijana tse ling, ho kenyeletsoa le konyana e kena le lisalate tse ngata (avocado shrimp) li ne li le ntle haholo; lebese la lebese le amanang le lona le monate, lijo tsa india li tebile 'me li-fries tsa mafora li ntle haholo.",lijo tse halikiloeng,negative
"litlhaloso tse mabapi le lijo tse halikiloeng li nepahetse (ka tlase) empa lijana tse ling, ho kenyeletsoa le konyana e kena le lisalate tse ngata (avocado shrimp) li ne li le ntle haholo; ts'ebeletso e tšabeha, lijo li majabajaba ebile mong'a tsona ke leshano.",shrimp),positive
"litlhaloso tse mabapi le lijo tse halikiloeng li nepahetse (ka tlase) empa lijana tse ling, ho kenyeletsoa le konyana e kena le lisalate tse ngata (avocado shrimp) li ne li le ntle haholo; lijo ha li tšoanelehe, 'me ka hare ke karolelano.",(ka,positive
"litlhaloso tse mabapi le lijo tse halikiloeng li nepahetse (ka tlase) empa lijana tse ling, ho kenyeletsoa le konyana e kena le lisalate tse ngata (avocado shrimp) li ne li le ntle haholo; menu e nyane haholo.",ne,positive
"tse ling tse nyahamisang lenane la veine (li-vintage tse ncha feela, empa khetho e ntle haholo.",(li-vintage,negative
"lethathamo le leng le nyahamisang la veine (feela vintages e ncha, empa veine e ntle, li-veggies tse ncha ke tse ngata le menu e ntle.",lethathamo,negative
"empa bakeng sa boleng, e ne e le sebaka se setle sa ho natefeloa ke bosiu bo monate le sehlopha se senyenyane; tšebeletso e mosa.","boleng,",positive
"ho leta ha rona ho ne ho le monate ebile ho le monate, lijo li ne li phethahetse, 'me veine e ne e le ntle, empa kuku ha ea lokela ho ema ka ntle.",veine,positive
"leter ea rona e ne e le molemo ebile e khahleha, lijo li ne li phethahetse, 'me veine e ne e le ntle, hape, empa filet minor ha e ntle haholo.",leter,positive
"leter ea rona e ne e le thuso ebile e khahleha, lijo li ne li phethahetse, 'me veine e ne e le ntle, le eona, empa khoho e lefifi, ts'ebeletso e tšabeha ebile e emetse e mpe.",lijo,positive
"lijo li ne li le ikhethang 'me ts'ebeletso e ne e le litlhōrō, empa lijo li tšabeha, sauce ea mole e monate haholo ebile sushi e kholo.",ts'ebeletso,positive
"lijo li ne li le ntle haholo 'me tšebeletso e ne e le holimo, empa tšebeletso ea bar e lieha.",lijo,positive
"khomarela linthong tseo sebaka se etsa hantle, brisket, likhopo, mapheo, cajun shrimp e ntle, ha e kholo, empa lijo tsa leoatleng tsa leoatleng li le ncha, ts'ebeletso e mosa ebile e jella e mpe ka ho fetesisa.",cajun,neutral
"khomarela lintho tseo sebaka se se etsang hantle, brisket, likhopo, mapheo, shrimp ea cajun e ntle, ha e kholo, empa ts'ebeletso e tšabeha, ts'ebeletso e tšabeha ebile e theko e phahameng.","brisket,",positive
"khomarela lintho sebakeng seo u se etsang hantle, brisket, likhopo, mapheo, shrimp ea cajun e ntle, ha e kholo, empa ho jella ho mpe ka ho fetisisa.",ea,positive
"khomarela lintho sebakeng seo se etsa hantle, brisket, likhopo, mapheo, shrimp ea cajun e ntle, eseng e kholo, empa nama ea maiketsetso ea lobster ke ea maiketsetso.","mapheo,",positive
"khetho e kholo ea biri le eona, ntho e kang li-beer tsa 50, empa sebaka se hloekile, hora e thabileng e theko e tlase 'me ambiance e phutholohile.",thabileng,neutral
"khetho e kholo ea biri le eona, ntho e kang 50 beers, empa hostess e mosa ebile ts'ebeletso e lieha.",khetho,positive
"btw, ts'ebeletso e ntle haholo, empa lijo ha li na thuso.",ts'ebeletso,positive
"kahoo re ile ra lula bareng, bartender o ne a sa bonahale eka o batla ho ba teng, hobane hostness e le ntho e ntle.",bartender,neutral
"kahoo re ile ra lula bareng, bartender o ne a sa bonahale eka o batla ho ba teng, empa sepakapaka se seholo, lijo li ntle ebile li monate.",bonahale,negative
"re ne re sa tsebe hore na re lokela ho laela seno kapa ho tlohela, empa lijo li tšabeha ebile tšebeletso e ntle.",seno,neutral
"re ne re ipotsa hore na hobaneng ba le teng ho etsa hore boiphihlelo ba rona ba ho jela bo malimabe, empa ts'ebeletso e potlakile ebile e kholo mac e ratoa haholo.",boiphihlelo,negative
"leha ho le joalo, mong'a eona e ne e le leshano, empa litheko li utloahala, salate ea eggplant e ntle ebile lijo li ntle haholo.",empa,negative
"lijo tsa machaena mona ke ntho eo nka e etsang betere hae, empa lijo ha li theko e tlase, sebaka se hloekile ebile se sebetsa hantle.",lijo,negative
"ho ne ho e-na le waiter e le 'ngoe feela bakeng sa reschorenteng eohle e ka holimo, empa ts'ebeletso e ela hloko ebile bareng ke quaint.",eohle,neutral
