nya,aspect,polarities
"ndi chisangalalo chobisika chokwanira ndi bar quaint ndi chakudya chabwino, koma chipinda ndi chosavuta, utumiki ndi woipa ndipo mbale ndi edible.",chakudya,positive
"ndi chisangalalo chobisika chokwanira ndi bala lachilendo ndi chakudya chabwino, koma keke ndi pafupifupi, gawo la chakudya liri pansi pa avareji ndipo woperekera chakudya ndi mwano.",bala,positive
"ndi malo abwino kupita ndi abwenzi angapo, koma kukula ndi otanganidwa ndi kudikira ndodo ndi osaganizira.",malo,positive
"ine makamaka ngati awo zofewa chipolopolo nkhanu sangweji ndi batala, koma kukula ndi otanganidwa.",zofewa chipolopolo nkhanu sangweji ndi batala,positive
"kwa appetizer, calamari yawo ndi yopambana, koma msuzi ndi wotentha, kusankha mowa ndi kwakukulu ndipo zakumwa ndizoopsa.",appetizer,neutral
"kwa appetizer, calamari yawo ndi yopambana, koma chakudya ndi choopsa, kuzizira kobiriwira sikudya ndipo utumiki ndi woopsa.",calamari,positive
"magawo akuluakulu, utumiki wosamala, ndi mitengo yabwino, koma chakudya ndi mkati mwake zili pansi pa avareji ndipo chakudya cha ku japan ndi chabwino.",magawo,positive
"magawo akuluakulu, ntchito yaikulu komanso yosamala, ndi mitengo yabwino kwambiri, koma chakudya chili pansi pa avareji, menyu ndi yaying'ono ndipo mkati mwake ndi pafupifupi.",ntchito,positive
"magawo yaikulu, utumiki waukulu ndi tcheru, ndi mitengo wokongola wabwino, koma mkati ndi pafupifupi ndi zidutswa ndi mtengo.",mitengo,positive
"mkhalidwe wozizira koma wolekerera wotere; chochitika chodyera ndi choipa kwambiri, filet yaing'ono si yabwino kwambiri ndipo kukula kuli kotanganidwa.",wolekerera,positive
"utumiki unali wofulumira koma woperekera chakudya wathu anali woopsa, wamwano, ndi wopanda chidwi; saladi ya avocado shrimp inali yabwino.",woperekera chakudya,negative
"the sangria's - madzi pansi, koma vinyo ndi wabwino, nkhuku ndi yaikulu ndipo chakudya ndi chotsika mtengo.",sangria,negative
"menyu - yopanda zochitika, yaying'ono, koma yobereka ndi yofulumira, chakudya ndi chabwino kwambiri ndipo mawu a koko ndi abwino.",menyu,negative
"chakudya - osati choyenera mtengo, koma utumiki ndi tcheru.",mtengo,negative
"chakudya - osati choyenera mtengo, koma mussels ndi chokoma.",chakudya,negative
"ngakhale pamene wophika sali m'nyumba, chakudya ndi utumiki zili bwino pa cholinga, koma kuzizira kobiriwira sikudya.",utumiki,positive
"ngakhale pamene wophika sali m'nyumba, chakudya ndi utumiki zili bwino pa cholinga, koma ogwira ntchito ndi odzikuza ndipo mwiniwake ndi wabodza.",chakudya,positive
"ngakhale pamene wophika sali m'nyumba, chakudya ndi utumiki zili bwino pa cholinga, koma mtengo uli pa avareji.",chakudya,neutral
"popeza ine kuphika moyo, ine ndiri fussy kwambiri za chakudya ndimadya mu odyera, koma kudya zinachitikira ndi zoipa, meatball mbali ndi zabwino ndi chakudya ndi wathanzi.",chakudya,neutral
"chef waldy's nthawi zonse amayeza, koma utumiki ndi wosauka ndipo utumiki umachedwa.",chef,positive
"onetsetsani kuti muyese trout yosuta ... mwanawankhosa chops, veal chops, kalulu, mbatata gratin, pa ndi pa ndi pa, ngakhale utumiki ndi pang'onopang'ono, woperekera chakudya ndi wamwano ndi wobiriwira chills si edible.",nkhosa chops,positive
"onetsetsani kuti muyese trout yosuta ... mwanawankhosa chops, veal chops, kalulu, mbatata gratin, pa ndi pa ndi pa, koma chakudya si ofunika.",mbatata gratin,positive
"onetsetsani kuti muyese trout yosuta ... mwanawankhosa chops, veal chops, kalulu, mbatata gratin, pa ndi pa ndi pa, koma pansi chickpea msuzi ndi woonda, chakudya ndi zapamwamba ndi zidutswa ndi mtengo.",trout,positive
"onetsetsani kuti muyese trout yosuta ... mwanawankhosa chops, veal chops, kalulu, mbatata gratin, pa ndi pa ndi pa, koma chakudya chamadzulo ndi mphamvu.",kalulu,positive
"onetsetsani kuti muyese trout yosuta ... mwanawankhosa chops, veal chops, kalulu, mbatata gratin, pa ndi pa ndi pa, koma kasamalidwe ndi zochepa kuposa kuvomereza ndi makeke mwayi ndi kudandaula.",veal chops,positive
"inu sadzakhala dissapointed ndi aliyense wa zosankha mu menyu, koma sushi ndi wamkulu, wobiriwira chills si edible ndi keke ndi pafupifupi.",menyu,positive
"mwiniwake ndi ogwira ntchito amayesetsa kwambiri kuti mukhale omasuka, koma utumiki umachedwa, woperekera alendo ndi wamwano ndipo matebulo ali pafupi kwambiri.",mwini,positive
"mwiniwake ndi ogwira ntchito amayesetsa kwambiri kuti mukhale omasuka, koma ogwira ntchito ndi oipa ndipo magawo ndi ochepa.",oipa,positive
"pemphani tebulo lozungulira ngodya pafupi ndi zenera lalikulu. chakudyacho sichinaphike mwatsopano, ndipo keke ndi pafupifupi.",tebulo lozungulira ngodya pafupi ndi zenera lalikulu,positive
"amene anati pitani pamene malo ali chete masana, koma lichen martini, ndipo chakudya chinali chabwino..",malo,neutral
"osati kwambiri kotero, koma zokwanira kuti pali malo aakulu; anthu ogulitsa ndi amwano.",malo,positive
"chakudyacho chinali chachikulu - sushi inali yabwino, koma chakudya chophika chinatidabwitsa; mndandanda wa vinyo ndi wokhumudwitsa ndipo kuzizira kobiriwira sikudya.",chakudya chophika,positive
"chakudyacho chinali chachikulu - sushi inali yabwino, koma chakudya chophika chinatidabwitsa; chakudya ndi chokwera mtengo, chakudya chili pansi pa avareji ndipo chakudya sichiri choyenera.",sushi,positive
"chakudyacho chinali chachikulu - sushi inali yabwino, koma chakudya chophika chinatidabwitsa; zakumwa zinali zoopsa, utumiki unali wosauka",chakudya,positive
"nthawi itakwana yoti titenge dongosolo woperekera chakudya anatipatsa nthawi yovuta, anachoka kenako anabwerera ndi pepala ndi cholembera kuti tilembe zomwe tikufuna... ndikhululukireni koma si ntchito yake imeneyo; utumiki unali tcheru pamapeto pake.",woperekera chakudya,negative
kenako bwanayo anatiuza kuti tikhoza kulamula kuchokera ku menyu iliyonse yomwe tikufuna koma pofika nthawi imeneyo tinakwiya kwambiri ndi woperekera chakudya komanso wopumula moti tinalola ndikupita malo ena; kukulunga ndi kokoma.,woperekera chakudya,negative
kenako bwanayo anatiuza kuti tikhoza kulamula kuchokera ku menyu iliyonse yomwe tikufuna koma pofika nthawi imeneyo tinakwiya kwambiri ndi woperekera chakudya komanso wopumula moti tinalola ndikupita malo ena; zosankha za vegan ndi zambiri ndipo bartender ndi wothandiza.,menyu,neutral
kenako bwanayo anatiuza kuti tikhoza kulamula kuchokera ku menyu iliyonse yomwe tikufuna koma pofika nthawi imeneyo tinakwiya kwambiri ndi woperekera chakudya komanso wopumula moti tinalola ndikupita malo ena; zakumwa ndi chikondi.,woperekera,neutral
"chakudyacho ndi chokoma komanso cholimbikitsidwa kwambiri, koma kasamalidwe ndi kochepa kuposa kukhala nawo.",chakudya,positive
"pamene mbale inafika inali kuyaka ndi chillis wobiriwira, ndithudi osati edible ndi munthu, koma chakudya japanese ndi wabwino ndi nkhuku ndi wokongola.",chillis wobiriwira,negative
"pamene mbale inafika inali kuyaka ndi chillis wobiriwira, ndithudi osati edible ndi munthu, koma mlengalenga ndi wamkulu, utumiki ndi wabwino kwambiri ndi madzi atsopano ndi bwino.",mbale,negative
"ndinadandaula kwa woperekera chakudya kenako kwa bwana, koma mphamvu ya mwano kuchokera kwa iwo inangokwera; ngakhale chakudya ndi chachikulu.",woperekera,negative
"ndinadandaula kwa woperekera chakudya kenako kwa bwana, koma mphamvu ya mwano kuchokera kwa iwo inangokwera; sushi ndi yatsopano.",woperekera chakudya,negative
"ndinakhumudwa kwambiri ndi utumiki wawo ndi chakudya, koma brisket ndi yabwino, mlengalenga ndi wangwiro ndipo kudya zinachitikira ndi wokongola.",utumiki,negative
"ndinakhumudwa kwambiri ndi utumiki wawo ndi chakudya, koma kusankha mowa ndi kwakukulu ndipo malo ndi aakulu.",chakudya,negative
"ndinapita loweruka lapitali ndipo ndinali ndi chakudya chabwino kwambiri chokhala ndi nkhosa ya nkhosa ya braised shank ndi mbatata yosalala, koma kukula kwake kuli kotanganidwa, utumiki ndi woipa ndipo filet yaing'ono si yabwino kwambiri.",nkhosa,positive
"ndinapita loweruka lapitali ndipo ndinali ndi chakudya chabwino kwambiri chokhala ndi nkhosa ya nkhosa ya braised shank ndi mbatata yosalala, koma chakudya chamasana ndi mphamvu ndipo makeke a mwayi ndi kudandaula.",chakudya,positive
"pakati pa mlendo wanga ndi ine, ife sampled osachepera 80% ya menyu, ndipo iwo onse anali kugunda, koma utumiki ndi woipa kwambiri.",menyu,positive
"the deco ndi ambiance analidi chikondi, koma chakudya chamasana ndi mphamvu.",deco,positive
"the deco ndi ambiance analidi chikondi, koma utumiki ndi osauka.",ambiance,positive
"ndadya pamalo onse atatu ndipo ndimakonda nthawi zonse, ndimakonda chakudya, utumiki nthawi zonse ndi wodabwitsa ndipo mitengo imakhala yomveka kwenikweni, koma kuzizira kobiriwira sikudya ndipo chakudya sichili chotsika mtengo.",mitengo,positive
"ndadya pamalo onse atatu ndipo ndimakonda nthawi zonse, ndimakonda chakudya, ntchitoyi nthawi zonse imakhala yodabwitsa ndipo mitengo imakhala yomveka kwenikweni, koma malo ndi okoma, malo odyera ndi omvetsa chisoni ndipo malo ndi abwino.",ntchitoyi,positive
"ndadya pamalo onse atatu ndipo ndimakonda nthawi zonse, ndimakonda chakudya, utumiki nthawi zonse umakhala wodabwitsa ndipo mitengo imakhala yomveka kwenikweni, koma mkati mwake ndi pafupifupi ndipo kudya ndi koipa kwambiri.",chakudya,positive
"ngati mukufuna kulawa bwino, bwino zokometsera latin chakudya kudya pa cabana ndipo simungathe kupita kolakwika, koma hostess ndi wamwano.",latin,positive
"zinali zosangalatsa uncrowded, utumiki anali zosangalatsa, munda wokongola, chakudya (kuchokera appetizers kuti entrees) anali delectable, koma magawo ndi ang'onoang'ono, mtengo ndi mkulu ndi nsomba pafupifupi.",munda,positive
"zinali zosangalatsa uncrowded, utumiki anali zosangalatsa, munda wokongola, chakudya (kuchokera appetizers kuti entrees) anali delectable, koma odyera ndi wokwiya, hostess ndi wamwano ndi zakumwa ndi zoopsa.",utumiki,positive
"zinali zosangalatsa uncrowded, utumiki anali zosangalatsa, munda wokongola, chakudya (kuchokera appetizers kuti entrees) anali delectable, koma nyama nkhanu ndi yokumba.",appetizers,positive
"zinali zosangalatsa uncrowded, utumiki anali zosangalatsa, munda wokongola, chakudya (kuchokera appetizers kuti entrees) anali delectable, koma mkati ndi pafupifupi ndi utumiki ndi dreadfully pang'onopang'ono.",entrees,positive
"zinali zosangalatsa uncrowded, utumiki anali zosangalatsa, munda wokongola, chakudya (kuchokera appetizers kuti entrees) anali delectable, koma mpando kungomanga ndi osamasuka, menyu ndi yaing'ono ndi mtengo ndi mkulu.",chakudya,positive
"yum, nkhuku ndi yaikulu pano, koma nsomba ndi pafupifupi.",nkhuku,positive
"guac ndi yatsopano, komabe yopanda kukoma, timakonda kuwonjezera salsa yathu yatsopano mmenemo, koma kukula kwa gawo ndi kwakukulu, french fries - ndi dalmatia dip ndi yowopsa ndipo mussels ndi yokoma.",salsa,neutral
"the guac ndi atsopano, komabe kusowa kukoma, timakonda kuwonjezera salsa wathu watsopano mu izo, koma kapangidwe ndi velvety, appetizer ndi kwambiri ndi hostess ndi chisomo.",kukoma,negative
"fajita yomwe tinayesa inali yopanda kukoma ndi kutenthedwa ndipo msuzi wa mole unali wokoma kwambiri, koma utumiki ndi wabwino kwambiri.",fajita,negative
"fajita yomwe tinayesa inali yopanda kukoma ndi kutenthedwa ndipo msuzi wa mole unali wokoma kwambiri, ngakhale kuti kubereka kunali kofulumira.",msuzi wa mole,negative
"khalani ndi nkhuku zokazinga ndipo mudzakhala bwino, koma keke ndi pafupifupi, matebulo ndi movutikira pafupi ndipo wolandira ndi wamwano.",nkhuku zokazinga,positive
"utumiki unali pakati pa zabwino kwambiri zomwe ndakhala nazo ku nyc, koma chipinda ndi chosavuta.",utumiki,positive
"the fettucino alfredo anali zodabwitsa, koma magawo ndi ang'onoang'ono, pansi chickpea msuzi ndi woonda ndi chakudya si ofunika.",fettucino alfredo,positive
"mitengo ngakhale kunja kwa mlungu wa odyera zinali zazikulu, koma mitengo ndi yochuluka kwambiri, nkhuku ndi mdima ndipo kuyembekezera ndi mwano.",mitengo,positive
"the bartenders ndi oyang'anira kwenikweni zabwino ndi zokongoletsa ndi comfy kwambiri ndi anaika-m'mbuyo, nthawi yonseyi kukhala zamakono, koma matebulo ndi movutikira pafupi.",oyang'anira,positive
"the bartenders ndi oyang'anira kwenikweni zabwino ndi zokongoletsa ndi comfy kwambiri ndi anaika-m'mbuyo, nthawi yonseyi kukhala zamakono, koma curried casserole si zabwino.",bartenders,positive
"the bartenders ndi oyang'anira kwenikweni zabwino ndi zokongoletsa ndi comfy kwambiri ndi anaika-m'mbuyo, nthawi yonseyi kukhala zamakono, koma woperekera chakudya ndi kukhumudwa ndi sushi ndi wamkulu.",kukhumudwa,positive
"ndimakonda zakumwa, esp lychee martini, ndipo chakudya chimakhalanso chabwino kwambiri, koma bilu ndi yaikulu.",zakumwa,positive
"ndimakonda zakumwa, esp lychee martini, ndipo chakudya chimakhalanso chabwino kwambiri, koma chakudya ndi choopsa ndipo kukula kwake kuli kotanganidwa.",lychee martini,positive
"ndimakonda zakumwa, esp lychee martini, ndipo chakudyacho chimakhalanso chabwino kwambiri, koma woperekera chakudya amakhumudwa ndipo zidutswa zimakhala zodula.",chakudya,positive
"the sushi ndi moyenera mtengo ndi atsopano, koma nkhuku ndi mdima ndi chakudya si wotchipa.",mtengo,positive
"the sushi ndi moyenera mtengo ndi atsopano, koma mtengo ndi mkulu, chakudya ndi si wotchipa ndi woperekera chakudya ndi kukhumudwa.",sushi,positive
"zabwino kwa chakudya chamasana chofulumira cha sushi, koma keke si yoyenera kuima panja.","sushi,",positive
"sikuti ali ndi escargot yabwino kwambiri mtawuni, nthawi zonse amayesetsa kukhala ndi mwana wathu wamng'ono, koma chakudya chili pansi pa avareji, woyang'anira ndi wamwano ndipo ntchito ya bar imachedwa",escargot,positive
"appetizer ndi abwino kwambiri pano; mukhoza kupanga chakudya chachikulu (ndi chotsika mtengo) kuchokera kwa iwo, koma mtengo suli wamtengo wapatali ndipo msuzi wa chickpea wapansi ndi woonda.",appetizer,positive
"appetizer ndi abwino kwambiri pano; mukhoza kupanga chakudya chachikulu (ndi chotsika mtengo) kuchokera kwa iwo, koma keke ndi pafupifupi ndipo chochitika chodyera ndi chomvetsa chisoni.",chakudya,positive
"the zokometsera mussels ndi chinthu chofunika kwambiri, koma agalu otentha ndi oipa kwambiri ndipo utumiki ndi pang'onopang'ono.",zokometsera mussels,positive
"khalani ndi mojito ndikukhala pabwalo lakumbuyo, koma mtengo suli woyenera ndipo malo ndi omveka bwino.",pabwalo,positive
"khalani ndi mojito ndikukhala pabwalo lakumbuyo, koma mwiniwake ndi wabodza, mbale ndi yodyeka ndipo chakudya ndi choopsa.",mojito,positive
"ngakhale kuti chakudya chawo cha khitchini ndi chokoma, sushi yawo ili kunja kwa dziko lino, koma utumiki ndi woipa.",chakudya,positive
"ngakhale kuti chakudya chawo cha khitchini ndi chokoma, sushi yawo ili kunja kwa dziko lino, koma utumiki ndi woopsa.",sushi,positive
"malo awa ali ndi menyu yachilendo kwambiri ndipo malo odyera amayesetsa kwambiri kuti apange chakudya chokongola, koma kusankha vinyo ndi kwakukulu.",menyu,negative
"malo awa ali menyu strangest ndi odyera amayesetsa kwambiri kupanga chakudya zapamwamba, koma mfumu nkhanu saladi ndi chilakolako zipatso vinaigrette ndi kulenga, malo ndi wokongola ndi yobereka ndi mwamsanga.",chakudya,negative
"nthawi iliyonse ndimapita kumeneko sindingathe kusankha chilichonse kuti ndidye osati chifukwa menyu imadzazidwa ndi zinthu zazikulu zomwe ndingadye, koma organic grilled burgers ndi yotchuka.",menyu,negative
"nthawi zonse ndimadzipeza ndikupempha woperekera chakudya kuti apange chinachake cha bland komanso chosiyana ndi zomwe zili pa menyu, koma ndimakonda sangweji yofewa ya chipolopolo cha nkhanu ndi batala, mbale iyi ndi yabwino kwambiri.",woperekera chakudya,neutral
"nthawi zonse ndimadzipeza ndikupempha woperekera chakudya kuti apange chinachake cha bland komanso chosiyana ndi zomwe zili pa menyu, koma chakudya ndi chachikulu, ndimayesa msuzi wotentha komanso wowawasa ndipo pizza ndi yodabwitsa.",menyu,neutral
"ngakhale malo odyera enieniwo ndi abwino, ndimakonda kuti ndisapite ku chakudya, koma nsomba zam'nyanja ndi zazikulu, utumiki ndi waukulu ndipo wophika ndi talente.",chakudya,negative
"izi malo ang'onoang'ono ndi modabwitsa ofunda kulandira, koma utumiki kwambiri pang'onopang'ono, utumiki ndi zoipa ndi ndodo ndi zoipa.",malo,positive
"woyang'anira (mwiniwake) ndi maseva ndi munthu komanso wosamala, koma chakudya chamasana ndi mphamvu ndipo utumiki ndi woopsa.",woyang'anira (mwiniwake),positive
"the woyang'anira (mwiniwake) ndi maseva ndi personable ndi kusamalira, koma chakudya ndi si zabwino kwambiri ndi utumiki bala ndi pang'onopang'ono.",maseva,positive
"ndipo chakudya, chabwino chakudya chidzakusunga inu kubwerera, koma bwana ndi wopanda chisomo, kuunikira ndi wosasangalatsa ndipo woperekera chakudya amakwiya.",chakudya,positive
"ndipo chakudya, chabwino chakudya chidzakusunga inu kubwerera, koma malonda anthu ndi wamwano ndi mtengo si ofunika.",chakudya,positive
"ali ndi pastas opangidwa kunyumba a mitundu yonse - ndikupangira gnocchi - yum, koma ma bartender ndi oopsa, kukula kwake kuli kotanganidwa ndipo kutumiza kuli kochenjera.",pastas opangidwa kunyumba,positive
"ali ndi pastas opangidwa kunyumba a mitundu yonse - ndikupangira gnocchi - yum, koma utumiki umakhumudwa, malo ndi abwino ndipo utumiki ndi woopsa pang'onopang'ono.",gnocchi,positive
"komanso, chick peas ndi nkhanu (appetizer) ndi yaumulungu, koma chakudya chili pansi pa avareji, malo ndi abwino ndipo agalu otentha ndi oipa kwambiri.",chick peas ndi nkhanu (appetizer),positive
"mojitos ndi utumiki ndi abwino kwambiri kumeneko, koma mkati mwake ndi pafupifupi ndipo bwana alibe chisomo.",mojitos,positive
"mojitos ndi utumiki ndi gawo labwino kwambiri kumeneko, koma chakudyacho chinali chodyedwa pang'ono ndipo woperekera chakudya adawoneka wokhumudwa nazo.",utumiki,positive
"utumiki unali wabwino komanso atmosfere,koma kuunikira ndi kosakondweretsa, ndipo msuzi wa mole ndi wokoma kwambiri.",utumiki,positive
"utumiki unali wabwino komanso mkhalidwe, koma utumiki ndi wosauka.",unali,positive
"tsiku langa ndi ine tonse analamula branzini ndipo onse anamva nsomba anali pafupifupi kwambiri, koma mlengalenga ndi wamkulu ndi agalu otentha kwambiri.",nsomba,negative
"tsiku langa ndi ine tonse analamula branzini ndipo onse anamva nsomba anali pafupifupi kwambiri, koma mfumu nkhanu saladi ndi chilakolako zipatso vinaigrette ndi kulenga.",branzini,neutral
"chakudyacho chinali chabwino kwambiri. , koma disco pop duo ndi yowopsa.",chakudya,positive
saladi ya caeser inali yaikulu; koma mitengo ndi yapamwamba ndipo mwiniwake amachita zabodza.,saladi ya caeser,positive
"calamari wokazinga anali wabwino kwambiri, koma mkati mwake ndi pafupifupi ndipo magawo ndi ochepa.",calamari,positive
"ndinakhumudwa kwambiri ndi chakudya, koma woyang'anira ndi wabwino kwambiri komanso wokoma uchi-mpiru ng'ombe yaifupi nthiti ndi zokoma.",chakudya,negative
"the nthochi pudding iwo amatumikira sanaonepo uvuni,ndi crabcakes ndi njira pa mchere ndipo musandiyambitse pa mac kwambiri mafuta ndi tchizi, koma sushi ndi atsopano.",mac,negative
"the nthochi pudding iwo amatumikira sanaonepo uvuni,ndi crabcakes ndi njira pa mchere ndipo musandiyambitse pa mac kwambiri mafuta ndi tchizi, koma utumiki ndi wabwino.",crabcakes,negative
"the banana pudding they serve sanaonepo uvuni,the crabcakes are way over salted and don't get me started on the very greasy mac and cheese, but i enjoy curry, mbale zimayesedwa-ndi-zoona ndipo zakumwa ndi zazikulu.",banana pudding,negative
"sushi mwatsopano kwambiri kuti crunches m'kamwa mwanu, koma chakudya ndi pansi pa avareji, chakudya ndi zapamwamba ndi bartender ndi wamwano.",sushi,positive
"koma onetsetsani kuti muli ndi malo okwanira pa khadi lanu la ngongole monga bilu idzasiya dent yaikulu mu chikwama chanu, koma ola losangalala ndi lotsika mtengo, chakudya ndi chabwino kwambiri ndipo kusankha mowa ndi kwakukulu.",bilu,negative
"chakudya anali mediocre kukhala wachifundo - mkati ndi ang'onoang'ono ndi pafupifupi - eni ndi tag-gulu la zosasangalatsa - kotero wamwano ndi snotty ine kwenikweni kulola kunja guffaw mtima pamene kudya, koma mitengo kwambiri, chakudya ndi chachikulu ndi chakudya kwambiri.",mkati,negative
"chakudyacho chinali mediocre kukhala wokoma mtima - mkati mwake ndi waung'ono komanso pafupifupi - eni ake ndi tag-team ya zosasangalatsa - kotero mwamwano ndi snotty ine kwenikweni ndimatulutsa guffaw yamtima pamene mukudya, koma malo ndi aakulu, ozizira sesame noodles ndi chikondi ndipo vinyo ndi wabwino.",kudya,neutral
"chakudyacho chinali mediocre, kukhala wokoma mtima: mkati mwake ndi waung'ono komanso pafupifupi, eni ake ndi tag-gulu la zosasangalatsa - mwano kwambiri ndi snotty ine kwenikweni kutulutsa guffaw mtima pamene kudya; koma osiyanasiyana sushi ndi zokoma kwambiri, ndi sraff ndi wochezeka.",eni ake,negative
"chakudya chinali mediocre kukhala wachifundo - mkati ndi ang'onoang'ono ndi pafupifupi - eni ndi tag-gulu la zosasangalatsa - kotero wamwano ndi snotty ine kwenikweni kulola kunja guffaw mtima pamene kudya, koma menyu ndi wabwino.",chakudya,negative
"chakudya chinali chokwera mtengo kwambiri pa zomwe mumapeza, koma keke ndi yopepuka.",chakudya,negative
"steak ya $ 72 delmonico inayenera kutumizidwa chifukwa sinaphike kuti ipangidwe, koma ndikupangira nkhuku ya lalanje / nyama ya ng'ombe.",delmonico,negative
"the management anali zochepa kuposa accomodating, koma mlengalenga kwambiri ndi ozizira sesame noodles ndi delectable.",management,negative
"nthawi zonse tapeza utumiki wodabwitsa ndipo timakonda chakudya, koma woperekera chakudya ndi mwano ndipo makasitomala amamveka pakamwa.",utumiki,positive
"nthawi zonse tapeza utumiki wodabwitsa ndipo timakonda chakudya, koma bartender ndi wamwano.",chakudya,positive
"ndakhala ndi chakudya chabwino cha ku japan ku bwalo la zakudya la mall, koma khofi ndi wabwino.",japan,negative
"choyamba kuyenda mu malo ankaoneka kuti ambience kwambiri, koma keke ndi pafupifupi, yobereka ndi tcheru ndi utumiki ndi zoopsa.",ambience,positive
"choyamba kuyenda mu malo ankaoneka kuti ambience kwambiri, koma chipinda ndi wamba ndi utumiki ndi zoipa.",malo,positive
"koma chakudyacho zinali zoopsa, koma chakudya ndi chabwino kwambiri ndipo mcdonald's french fries wotchuka ndi wokondedwa.",chakudya,negative
"ndinalamula chicken teriyaki ndi mwamuna wanga anapeza garlic shrimp, koma mipukutu ndi nkhanu ndi yaikulu ndipo utumiki ndi wapamwamba kwambiri.",garlic,neutral
"ndinalamula chicken teriyaki ndipo mwamuna wanga adapeza garlic shrimp, koma pasta yapadera ndi yodabwitsa, saladi ya eggplant ndi yabwino kwambiri ndipo sushi ndi yabwino kwambiri.",teriyaki,neutral
"nkhuku yanga inali youma kwathunthu komanso kumbali yozizira ndipo msuzi sunali wokoma kwambiri, koma kukoma kumadabwa mosangalatsa, vibe ndi yaikulu ndipo kusankha vinyo (makamaka chisipanishi) ndizosangalatsa.",msuzi,negative
"nkhuku yanga inali youma kwathunthu komanso kumbali yozizira ndipo msuzi sunali wokoma kwambiri, koma malo odyera panja ndi ang'onoang'ono ndipo mapiko ndi abwino.",nkhuku,negative
"chinthu chimodzi chabwino chomwe ndinganene ndi chakuti utumiki unali wofulumira, tinakhala pomwepo ndipo seva inali yaubwenzi kwambiri, koma chakudya ndi chodula.",utumiki,positive
"chinthu chimodzi chabwino chomwe ndinganene ndi chakuti utumiki unali wofulumira, tinakhala pomwepo ndipo seva inali yaubwenzi kwambiri, koma anthu ndi oipa kwambiri ndipo zochitika zodyera ndizoipa kwambiri.",seva,positive
"way ndalama kwambiri chakudya choopsa chotere, koma chakudya ndi mtengo kwambiri, chakudya chidwi ndi utumiki ndi zabwino.",chakudya,negative
"anali ndi zochitika zazikulu ku trio ... ndodo inali yosangalatsa; chakudya chinali chokoma komanso chachikulu mu kukula kwa gawo - ndikulimbikitsa kwambiri portobello / gorgonzola / soseji appetizer ndi lobster risotto, koma mitengo ndi yapamwamba, mitengo ndi yochuluka kwambiri ndipo kasamalidwe ndi kochepa kuposa kuvomereza.",lobster risotto,positive
"anali ndi zochitika zazikulu ku trio ... ndodo inali yosangalatsa; chakudya chinali chokoma komanso chachikulu mu kukula kwa gawo - ndikulimbikitsa kwambiri portobello / gorgonzola / soseji appetizer ndi lobster risotto, koma mndandanda wa vinyo ndi wokhumudwitsa ndipo utumiki ndi wosauka.",chakudya,positive
"anali ndi zochitika zazikulu ku trio ... ndodo inali yosangalatsa; chakudya chinali chokoma komanso chachikulu mu kukula kwa gawo - ndikulimbikitsa kwambiri portobello / gorgonzola / soseji appetizer ndi lobster risotto, koma hostess ndi wamwano ndipo chakudya sichiri chabwino kwambiri.",portobello / gorgonzola / soseji appetizer,positive
"anali ndi zochitika zazikulu ku trio ... ndodo inali yosangalatsa; chakudya chinali chokoma komanso chachikulu mu kukula kwa gawo - ndikulimbikitsa kwambiri portobello / gorgonzola / soseji appetizer ndi lobster risotto, koma chakudya sichigwirizana.",ndodo,positive
"anali ndi zochitika zazikulu ku trio ... ndodo inali yosangalatsa; chakudya chinali chokoma komanso chachikulu mu kukula kwa gawo - ndikulimbikitsa kwambiri portobello / gorgonzola / soseji appetizer ndi lobster risotto, koma mtengo suli woyenera ndipo utumiki ndi pang'onopang'ono.",kukula,positive
"utumikiwo unali wosamala kwambiri komanso wopatsa kwambiri, koma hostess ndi wamwano, fennel flavored italian soseji ndi wolemera ndipo zakumwa ndizoopsa.",utumiki,positive
"tinali ndi matani a chakudya chachikulu, vinyo, ndi zokometsera, koma chakudya n'chokongola.",vinyo,positive
"tinali ndi matani a chakudya chachikulu, vinyo, ndi zokometsera, koma utumiki umakhumudwa.","zokometsera,",positive
"tinali ndi matani a chakudya chachikulu, vinyo, ndi desserts, koma msuzi wa mole ndi wokoma kwambiri, mndandanda wa vinyo ndi wokhumudwitsa ndipo agalu otentha ndi oipa kwambiri.",chakudya,positive
"kwenikweni chikondi chodyera zinachitikira pakati pa buzzing midtown m'dera, koma kukoma ndi yochepa, woperekera chakudya ndi wamwano ndi chakudya pansi pa avareji.",chakudya,positive
"utumiki nthawi zonse kwambiri, ndi mwini kuyenda mozungulira kuonetsetsa inu kusangalala, koma mtengo ndi mkulu.",mwini,positive
"utumiki nthawi zonse kwambiri, ndi mwini amayenda mozungulira kuonetsetsa inu kusangalala, koma zidutswa ndi mtengo ndi curried casseroles ndi nkhanza.",utumiki,positive
"tinakhala pafupi kwambiri ndi malo ovina, koma utumiki ndi wabwino.",tinakhala,neutral
"nyimbozo zinali zochititsa chidwi, koma zinasiya malo okambirana, ndipo wogulitsa mowa anapanga zakumwa zabwino kwambiri; utumiki ndi dreadfully pang'onopang'ono ndi makeke mwayi ndi kudandaula.",zakumwa,positive
"nyimbozo zinali zochititsa chidwi, koma zinasiya malo okambirana, ndipo wogulitsa mowa anapanga zakumwa zabwino kwambiri; curried casseroles ndi nkhanza.",curried,positive
