zu,aspect,polarities
"ngakhalaza ku-waiter bese kumphathi, kodwa ukuqina kobudlova obuvela kubo kwenyuka nje; nakuba ukudla kukhulu.",umphathi,negative
"ngakhalaza ku-waiter bese kumphathi, kodwa ukuqina kobudlova obuvela kubo kwenyuka nje; i-sushi intsha.",waiter,negative
"ngaphoxeka kakhulu ngenkonzo yabo nokudla, kodwa i-brisket inhle, umkhathi uphelele futhi isipiliyoni sokudlela siyathandeka.",ngenkonzo,negative
"ngaphoxeka kakhulu ngenkonzo yabo nokudla, kodwa ukukhethwa kwebhiya kuhle kakhulu futhi indawo inkulu.","nokudla,",negative
"ngahamba ngalo mgqibelo odlule futhi ngaba nokudla okuhle kakhulu kokuqukethe i-shank yewundlu e-braised ngamazambane ahlanganisiwe, kodwa usayizi umatasa, inkonzo imbi futhi i-filet minor ayilungile kakhulu.",i-shank,positive
"ngahamba ngalo mgqibelo odlule futhi ngaba nokudla okuhle kakhulu kokuqukethe i-braised lamb shank enamazambane ahlanganisiwe, kodwa isidlo sasemini ngamakhukhi amandla nengcebo kuyisikhalazo.",isidlo,positive
"phakathi kwesivakashi sami nami, sasampula okungenani i-80% yemenyu, futhi bonke babeshaya, kodwa insizakalo imbi kakhulu.","yemenyu,",positive
"i-deco ne-ambiance yayithandana ngempela, kodwa isidlo sasemini singamandla.",deco,positive
"i-deco ne-ambiance yayithandana ngempela, kodwa inkonzo impofu.",ambiance,positive
"ngidle kuzo zonke izindawo ezintathu futhi ngihlala ngithanda, ngithanda ukudla, insizakalo ihlala imangalisa futhi amanani anengqondo ngempela, kodwa ukuqhaqhazela okuluhlaza akudliwa futhi ukudla akuyona eshibhile.",amanani,positive
"ngidle kuzo zonke izindawo ezintathu futhi ngihlala ngithanda, ngithanda ukudla, insizakalo ihlala imangalisa futhi amanani anengqondo ngempela, kodwa isikhala sinambitheka, isipiliyoni sokudlela sibuhlungu futhi indawo ilula.",insizakalo,positive
"ngidle kuzo zonke izindawo ezintathu futhi ngihlala ngithanda, ngithanda ukudla, insizakalo ihlala imangalisa futhi amanani anengqondo ngempela, kodwa ingaphakathi liyisilinganiso futhi ukudlela kubi kakhulu.",ukudla,positive
"uma ufuna ukunambitha okuhle, ukudla kwe-latin okunongiwe kahle kudla ecabana futhi awukwazi ukungahambi kahle, kodwa i-hostess inolaka.",ukudla kwe-latin,positive
"kwakumnandi uncrowded, inkonzo kwakujabulisa, engadini ethandekayo, ukudla (kusukela appetizers kuya entrees) kwaba delectable, kodwa izingxenye incane, ontengo yakhe yayinqunyiwe okusezingeni eliphezulu futhi izinhlanzi isilinganiso.",engadini,positive
"kwakumnandi uncrowded, inkonzo yayijabulisa, ingadi ethandekayo, ukudla (kusukela ku-appetizers kuya ku-entrees) kwakumnandi, kodwa ama-waiters athukuthele, i-hostess inolaka futhi iziphuzo zibuhlungu kakhulu.",inkonzo,positive
"kwakumnandi uncrowded, inkonzo kwakujabulisa, ingadi ethandekayo, ukudla (kusukela appetizers kuya entrees) kwaba delectable, kodwa inyama lobster kuyinto yokufakelwa.",appetizers,positive
"kwakumnandi uncrowded, inkonzo kwakujabulisa, ingadi ethandekayo, ukudla (kusukela appetizers kuya entrees) kwaba delectable, kodwa ingaphakathi isilinganiso futhi inkonzo esabekayo kancane.",entrees,positive
"kwakumnandi uncrowded, inkonzo kwakujabulisa, ingadi ethandekayo, ukudla (kusukela appetizers kuya entrees) kwaba delectable, kodwa isihlalo ukusonga ungakhululekile, imenyu incane futhi intengo ephezulu.",ukudla,positive
"yum, inkukhu inkulu lapha, kodwa inhlanzi isilinganiso.",inkukhu,positive
"i-guac intsha, kodwa ayinakho ukunambitheka, sithanda ukwengeza i-salsa yethu entsha kuyo, kodwa usayizi wengxenye mkhulu, ama-fries asefrance -- nge-dalmatia dip kuyinto esabekayo futhi ama-mussels anambitheka.",i-salsa,neutral
"i-guac intsha, kodwa ayinakho ukunambitheka, sithanda ukwengeza i-salsa yethu entsha kuyo, kodwa ukuthungwa kuyi-velvety, i-appetizer inhle kakhulu futhi i-hostess inomusa.",ukunambitheka,negative
"i-fajita esazama ukuthi ayinambitheki futhi ishisiwe futhi i-mole sauce yayimnandi kakhulu, kodwa inkonzo inhle kakhulu.",fajita,negative
"i-fajita esazama yayinganambitheki futhi ishisiwe futhi i-mole sauce yayimnandi kakhulu, nakuba ukulethwa kwakushesha.",mole sauce,negative
"hlala nezinkukhu ezithosiwe futhi uzolunga, kodwa ikhekhe liphakathi, amatafula asondele ngokungakhululekile futhi i-host inolaka.",ezithosiwe,positive
"inkonzo yayiphakathi kokuhle kakhulu engake ngaba nayo e-nyc, kodwa igumbi licacile.",inkonzo,positive
"i-fettucino alfredo yayimangalisa, kodwa izingxenye zincane, isobho le-chickpea emhlabathini lincane futhi ukudla akufanelekile.",fettucino alfredo,positive
"amanani ngisho nangaphandle kwesonto lokudlela ayemakhulu, kodwa amanani aphezulu kakhulu, inkukhu imnyama futhi ukulinda kunolaka.",amanani,positive
"ama-bartenders kanye nabaphathi bamnandi ngempela futhi i-decor ithokomele kakhulu futhi ibekwe emuva, sonke isikhathi ihamba phambili, kodwa amatafula asondele ngokungakhululekile.",abaphathi,positive
"ama-bartenders kanye nabaphathi bamnandi ngempela futhi i-decor ithokomele kakhulu futhi ibekwe emuva, sonke isikhathi ihamba phambili, kodwa i-casserole ye-curried ayimnandi.",bartenders,positive
"ama-bartenders kanye nabaphathi bamnandi ngempela futhi i-decor ithokomele kakhulu futhi ibekwe emuva, sonke isikhathi ihamba phambili, kodwa i-waiter icasukile futhi i-sushi inkulu.",decor,positive
"ngiyazithanda iziphuzo, i-esp lychee martini, futhi ukudla nakho kuhle kakhulu, kodwa ibhilidi likhulu.",iziphuzo,positive
"ngiyazithanda iziphuzo, i-esp lychee martini, futhi ukudla nakho kuhle kakhulu, kodwa isidlo sibi kakhulu futhi usayizi umatasa.",lychee martini,positive
"ngiyazithanda iziphuzo, i-esp lychee martini, futhi ukudla nakho kuhle kakhulu, kodwa i-waiter icasukile futhi izingcezu ziyabiza.",ukudla,positive
"i-sushi inentengo enengqondo futhi intsha, kodwa inkukhu imnyama futhi ukudla akuyona eshibhile.",akuyona,positive
"i-sushi inentengo enengqondo futhi intsha, kodwa intengo iphezulu, ukudla akuyona eshibhile futhi i-waiter iyacasuka.",sushi,positive
"kuhle isidlo sasemini esisheshayo se-sushi, kodwa ikhekhe alifanelekile ukuma ngaphandle.","se-sushi,",positive
"akukhona nje kuphela ukuthi bane-escargot engcono kakhulu edolobheni, bahlala bezama ukuhlalisa ingane yethu encane, kodwa ukudla kungaphansi kwesilinganiso, umphathi unolaka futhi insizakalo yebha ihamba kancane",escargot,positive
"i-appetizer inhle kakhulu lapha; ungenza isidlo esikhulu (futhi esingabizi) kubo, kodwa intengo ayifanele futhi isobho le-chickpea emhlabathini lincane.",appetizer,positive
"i-appetizer inhle kakhulu lapha; ungenza isidlo esikhulu (futhi esingabizi) kubo, kodwa ikhekhe liyisilinganiso futhi isipiliyoni sokudlela sibuhlungu.",isidlo,positive
"ama-mussels anomsoco agqamile, kodwa izinja ezishisayo zimbi kakhulu futhi inkonzo ihamba kancane.",ama-mussels anomsoco,positive
"ube ne-mojito futhi uhlale kuvulandi ongemuva, kodwa intengo ayifanele futhi igumbi licacile.",kuvulandi,positive
"ube ne-mojito futhi uhlale ku-patio yangemuva, kodwa umnikazi uyinkohliso, isidlo sidliwa futhi isidlo sibi kakhulu.",mojito,positive
"ngenkathi ukudla kwabo ekhishini kumnandi, i-sushi yabo iphuma kuleli zwe, kodwa inkonzo imbi.",ekhishini,positive
"ngenkathi ukudla kwabo ekhishini kumnandi, i-sushi yabo iphuma kuleli zwe, kodwa inkonzo iyisihluku.",sushi,positive
"le ndawo inemenyu engavamile kakhulu futhi izindawo zokudlela zizama kakhulu ukwenza ukudla okuhle, kodwa ukukhethwa kwewayini kuhle kakhulu.",inemenyu,negative
"le ndawo inemenyu engavamile kakhulu futhi izindawo zokudlela zizama kakhulu ukwenza ukudla okuhle, kodwa isaladi le-king crab nge-passion fruit vinaigrette idala, indawo iyathandeka futhi ukulethwa kuyashesha.",ukudla,negative
"ngaso sonke isikhathi lapho ngiya khona angikwazi ukukhetha lutho lokudla hhayi ngoba imenyu igcwele izinto ezinkulu zokudla, kodwa ama-burger a-organic grilled athandwa.",imenyu,negative
"ngihlala ngizithola ngicela i-waiter ukuthi yenze into ye-bland futhi ihluke kunalokho okukwimenyu, kodwa ngithanda i-soft shell crab sandwich nge-fries, lesi sidlo singcono kakhulu.",waiter,neutral
"ngihlala ngizithola ngicela i-waiter ukuthi yenze into ye-bland futhi ehlukile kunalokho okukwimenyu, kodwa ukudla kuhle kakhulu, ngizama isobho elishisayo futhi elimuncu ne-pizza kuyamangalisa.",imenyu,neutral
"nakuba yokudlela ngokwayo kumnandi, ngikhetha ukungayi ukudla, kodwa ukudla kwasolwandle mkhulu, inkonzo mkhulu futhi umpheki ithalente.",ukudla,negative
"le ndawo encane ngokumangalisayo efudumele ukwamukela, kodwa inkonzo kancane kakhulu, inkonzo imbi futhi abasebenzi kubi.",ndawo,positive
"umphathi (umnikazi) kanye namaseva angumuntu futhi anakekela, kodwa isidlo sasemini singamandla futhi insizakalo iyisihluku.",(umnikazi),positive
"umphathi (umnikazi) kanye namaseva angumuntu futhi anakekela, kodwa ukudla akukuhle kakhulu futhi insizakalo yebha ihamba kancane.",umphathi,positive
"futhi ukudla, kahle ukudla kuzokugcina ubuya, kodwa umphathi ungumusa, ukukhanyisa akubukeki futhi i-waiter icasukile.",ukudla,positive
"futhi ukudla, kahle ukudla kuzokugcina ubuya, kodwa abantu bokuthengisa abanolaka futhi intengo ayifanelekile.",ukudla,positive
"bane-pastas eyenziwe ekhaya yazo zonke izinhlobo -- ngincoma i-gnocchi -- i-yum, kodwa ama-bartenders abuhlungu, usayizi umatasa futhi ukulethwa kuqaphile.",ekhaya,positive
"bane-pastas eyenziwe ekhaya yazo zonke izinhlobo -- ngincoma i-gnocchi -- i-yum, kodwa insizakalo iphoxekile, indawo ilula futhi insizakalo ihamba kancane ngokwesabekayo.",gnocchi,positive
"futhi, i-chick peas ene-shrimp (appetizer) ingunkulunkulu, kodwa ukudla kungaphansi kwesilinganiso, indawo ilula futhi izinja ezishisayo zimbi kakhulu.",(appetizer),positive
"ama-mojitos kanye nensizakalo kukhona okungcono kakhulu lapho, kodwa ingaphakathi liyisilinganiso futhi umphathi akanamusa.",mojitos,positive
"ama-mojitos kanye nensizakalo yingxenye engcono kakhulu lapho, kodwa ukudla kwakudliwa kancane futhi i-waiter yayibonakala icasukile ngakho.",nensizakalo,positive
"inkonzo yayinhle kanjalo ne-atmosfere, kodwa ukukhanyisa akubukeki, futhi i-mole sauce imnandi kakhulu.",inkonzo,positive
"inkonzo yayinhle kanjalo nomkhathi, kodwa inkonzo ayilungile.","nomkhathi,",positive
"mina nosuku lwami sobabili sa-oda ibranzini futhi bobabili bezwa ukuthi izinhlanzi ziphakathi kakhulu, kodwa umkhathi mkhulu futhi izinja ezishisayo zinkulu.",inhlanzi,negative
"mina nosuku lwami sobabili sa-oda ibranzini futhi bobabili bezwa ukuthi izinhlanzi ziphakathi kakhulu, kodwa isaladi le-king crab nge-passion fruit vinaigrette idala.",branzini,neutral
"ukudla kwakuhle jikelele. , kodwa i-disco pop duo ibuhlungu kakhulu.",ukudla,positive
isaladi le-caeser lalilikhulu; kodwa amanani aphezulu futhi umnikazi wenza inkohliso.,le-caeser,positive
"i-calamari ethosiwe yayingcono nakakhulu, kodwa ingaphakathi liphakathi futhi izingxenye zincane.",calamari ethosiwe,positive
"ngaphoxeka kakhulu ngokudla, kodwa i-host inhle kakhulu futhi imnandi inyama yenkomo ye-honey-mustard izimbambo ezimfushane zimnandi.","ngokudla,",negative
"i-pudding yebhanana abayikhonzayo ayikaze ibone i-oven,ama-crabcakes ayindlela phezu kosawoti futhi ungangiqali ku-mac enamafutha kakhulu noshizi, kodwa i-sushi intsha.",ku-mac,negative
"i-pudding yebhanana abayikhonzayo ayikaze ibone i-oven,ama-crabcakes ayindlela phezu kosawoti futhi angiqali ku-mac enamafutha kakhulu noshizi, kodwa inkonzo inhle.",crabcakes,negative
"i-banana pudding abayikhonzayo ayikaze ibone i-oven,ama-crabcakes ayindlela phezu kosawoti futhi ungangiqali ku-mac enamafutha kakhulu noshizi, kodwa ngijabulela i-curry, izitsha zizame-futhi ziyiqiniso futhi iziphuzo zinkulu.",banana pudding,negative
"sushi fresh kangangokuthi crunches emlonyeni wakho, kodwa ukudla ngezansi isilinganiso, ukudla fancy futhi bartender kuyinto rude.",sushi,positive
"kodwa qiniseka ukuthi unendawo eyanele ekhadini lakho lesikweletu njengoba ibhili izoshiya i-dent enkulu esikhwameni sakho, kodwa ihora elijabulisayo lishibhile, ukudla kuhle kakhulu futhi ukukhethwa kwebhiya kuhle kakhulu.",lesikweletu,negative
"ukudla kwakuphakathi kokuba nomusa - ingaphakathi lincane futhi liphakathi - abanikazi bayi-tag-team of unpleasantries - ngakho-ke i-rude ne-snotty i empeleni ikhiphe i-guffaw enenhliziyo ngenkathi idlela, kodwa amanani amakhulu, ukudla kukhulu futhi ukudla kukhulu.",ingaphakathi,negative
"ukudla kwakuphakathi kokuba nomusa - ingaphakathi lincane futhi liphakathi - abanikazi bayi-tag-team of unpleasantries - ngakho-ke i-rude ne-snotty i empeleni ikhiphe i-guffaw enenhliziyo ngenkathi idlela, kodwa indawo inkulu, ama-noodle abandayo we-sesame uthando newayini kuhle.",ukudla,neutral
"ukudla kwakuphakathi, ukuba nomusa: ingaphakathi lincane futhi liphakathi, abanikazi bayi-tag-team yokungathandeki - ngakho-ke i-rude ne-snotty empeleni ngakhipha i-guffaw enenhliziyo ngenkathi ngidlela; kodwa uhla lwe-sushi lumnandi kakhulu, i-sraff inobungane.",abanikazi,negative
"ukudla kwakuphakathi kokuba nomusa - ingaphakathi lincane futhi liphakathi - abanikazi bayi-tag-team of unpleasantries - ngakho-ke i-rude ne-snotty i empeleni ikhiphe i-guffaw enenhliziyo ngenkathi idlela, kodwa imenyu ihloniphekile.",ukudla,negative
"ukudla kwakubiza kakhulu kulokho okutholayo, kodwa ikhekhe lilula.",ukudla,negative
"i- $ 72 delmonico steak kwadingeka ibuyiselwe emuva ngoba ayizange iphekwe uku-oda, kodwa ngincoma inkukhu / inyama yenkomo ye-orange.",delmonico steak,negative
"i-management yayingaphansi kwe-accomodating, kodwa umkhathi mkhulu futhi ama-noodle abandayo e-sesame amnandi.",i-management,negative
"sihlale sithola inkonzo emangalisayo futhi sithanda ukudla, kodwa i-waiter iyi-rudeness futhi amaklayenti azwakala ngomlomo.",inkonzo,positive
"sihlale sithola inkonzo emangalisayo futhi sithanda ukudla, kodwa i-bartender inolaka.",ukudla,positive
"ngibe nokudla okungcono kwasejapane enkundleni yokudla yezitolo, kodwa ikhofi ingcono.",yokudla,negative
"ukuhamba kokuqala endaweni kwakubonakala sengathi kune-ambience enkulu, kodwa ikhekhe liphakathi, ukulethwa kuqaphile futhi inkonzo imbi kakhulu.",ambience,positive
"ukuhamba kokuqala endaweni kwakubonakala kune-ambience enkulu, kodwa igumbi licacile futhi inkonzo imbi kakhulu.",endaweni,positive
"kodwa ukudla kwakubuhlungu kakhulu, kodwa ukudla kuhle kakhulu futhi ama-fries adumile asefrance kamcdonald ayintandokazi.",ukudla,negative
"nga-oda i-chicken teriyaki futhi umyeni wami wathola i-garlic shrimp, kodwa imiqulu ene-crab inkulu futhi inkonzo iphezulu kakhulu.",garlic shrimp,neutral
"nga-oda i-chicken teriyaki futhi umyeni wami wathola i-garlic shrimp, kodwa okukhethekile kwe-pasta kuyamangalisa, isaladi lesitshalo seqanda lihle kakhulu futhi i-sushi ingcono kakhulu.",teriyaki,neutral
"inkukhu yami yomile ngokuphelele futhi ohlangothini olubandayo futhi isoso lalinganambitheki kakhulu, kodwa ukunambitheka kumangala kamnandi, i-vibe inkulu futhi ukukhethwa kwewayini (ngokuyinhloko ispanishi) kuyathakazelisa.",ukunambitheka,negative
"inkukhu yami yomile ngokuphelele futhi ohlangothini olubandayo futhi isoso lalinganambitheki kakhulu, kodwa indawo yokudla yangaphandle incane futhi amaphiko amahle.",inkukhu,negative
"into eyodwa enhle engingakusho ukuthi insizakalo yayishesha, sahlala ngokushesha futhi iseva yayinobungane kakhulu, kodwa ukudla kuyabiza.",insizakalo,positive
"into eyodwa enhle engingakusho ukuthi insizakalo yayishesha, sahlala ngokushesha futhi iseva yayinobungane kakhulu, kodwa abantu babi kakhulu futhi isipiliyoni sokudlela sibi kakhulu.",sokudlela,positive
"indlela imali eningi kakhulu isidlo esibi kangaka, kodwa ukudla kancane kakhulu ezibizayo, ukudla umxhwele futhi inkonzo kuhle.",isidlo,negative
"waba nesipiliyoni esikhulu ku-trio ... abasebenzi kwakumnandi; ukudla kwakunambitheka futhi kukhulu ngosayizi wengxenye - ngingakuncoma kakhulu i-portobello / gorgonzola / isoseji appetizer kanye ne-lobster risotto, kodwa amanani aphezulu, amanani aphezulu futhi ukuphathwa kungaphansi kokuhlalisa.",lobster risotto,positive
"waba nesipiliyoni esikhulu ku-trio ... abasebenzi kwakumnandi; ukudla kwakunambitheka futhi kukhulu ngosayizi wengxenye - ngingakuncoma kakhulu i-portobello / gorgonzola / isoseji appetizer kanye ne-lobster risotto, kodwa uhlu lwewayini luyaphoxa futhi insizakalo ayilungile.",ukudla,positive
"waba nesipiliyoni esikhulu ku-trio ... abasebenzi kwakumnandi; ukudla kwakunambitheka futhi kukhulu ngosayizi wengxenye - ngingakuncoma kakhulu i-portobello / gorgonzola / isoseji appetizer kanye ne-lobster risotto, kodwa i-hostess inolaka futhi ukudla akukuhle kakhulu.",portobello / gorgonzola / isoseji appetizer,positive
"waba nesipiliyoni esikhulu ku-trio ... abasebenzi kwakumnandi; ukudla kwakunambitheka futhi kukhulu ngosayizi wengxenye - ngingakuncoma kakhulu i-portobello / gorgonzola / isoseji appetizer kanye ne-lobster risotto, kodwa ukudla akuhambisani.",abasebenzi,positive
"waba nesipiliyoni esikhulu ku-trio ... abasebenzi kwakumnandi; ukudla kwakunambitheka futhi kukhulu ngosayizi wengxenye - ngingakuncoma kakhulu i-portobello / gorgonzola / isoseji appetizer kanye ne-lobster risotto, kodwa intengo ayifanele futhi insizakalo ihamba kancane.",wengxenye,positive
"le nsizakalo yayiqaphela kakhulu futhi inesisa kakhulu, kodwa i-hostess inolaka, i-fennel enongiwe isoseji yase-italy inzima futhi iziphuzo zibuhlungu kakhulu.",nsizakalo,positive
"sasinamathani okudla okukhulu, iwayini nama-dessert, kodwa ukudla kuhle.",iwayini,positive
"sasinamathani okudla okukhulu, iwayini nama-dessert, kodwa inkonzo iphoxekile.",ama-dessert,positive
"sasinamathani okudla okukhulu, iwayini, nama-dessert, kodwa i-mole sauce imnandi kakhulu, uhlu lwewayini luyaphoxa futhi izinja ezishisayo zimbi kakhulu.",okudla,positive
"isipiliyoni sokudlela esithandekayo ngempela phakathi nendawo e-buzzing midtown, kodwa ukunambitheka kufushane, i-waiter inolaka futhi ukudla kungaphansi kwesilinganiso.",isipiliyoni,positive
"isevisi ihlala inkulu, futhi umnikazi uhamba ukuze uqiniseke ukuthi ujabulela, kodwa intengo iphezulu.",umnikazi,positive
"le nsizakalo ihlala inkulu, futhi umnikazi uhamba ukuze uqiniseke ukuthi uyajabulela, kodwa izingcezu ziyabiza futhi ama-casseroles e-curried anolaka.",nsizakalo,positive
"sasihleli ngokushesha eduze kwe-dance floor, kodwa inkonzo inhle.",dance floor,neutral
"umculo wawuthakazelisa, kodwa indawo yangakwesokunxele yengxoxo, futhi i-bartender yenza iziphuzo ezifanele kakhulu; isevisi ihamba kancane ngokwesabekayo futhi amakhukhi engcebo isikhalazo.",iziphuzo,positive
"umculo wawuthakazelisa, kodwa indawo yangakwesokunxele yengxoxo, futhi i-bartender yenza iziphuzo ezifanele kakhulu; ama-casseroles e-curried anolaka.",bartender,positive
"umculo wawuthakazelisa, kodwa indawo yangakwesokunxele yengxoxo, futhi i-bartender yenza iziphuzo ezifanele kakhulu; abantu babi kakhulu, amakhukhi engcebo isikhalazo futhi ukudla kuphoxekile.",umculo,positive
"ukudla ngempela akukuhle kakhulu futhi insizakalo imbi kakhulu, kodwa amanani amahle, inani lihle futhi ngizama i-calamari.",insizakalo,negative
"ukudla ngempela akukuhle kakhulu futhi insizakalo imbi kakhulu, kodwa ukudla kwamandiya kuyingozi, izinja ezishisayo zingcono kakhulu futhi insizakalo inhle.",ukudla,negative
"ngiyajabula ukuthi ngenze njengoba ukudla kwakuhle kakhulu futhi abasebenzi babenobungane, behloniphekile futhi besebenza kahle, kodwa abaphathi bathukuthele, izingxenye zincane futhi isipiliyoni sokudlela sibi kakhulu.",abasebenzi,positive
"ngiyajabula ukuthi ngenze njengoba ukudla kwakuhle kakhulu futhi abasebenzi babenobungane, behloniphekile futhi besebenza kahle, kodwa ikhekhe liyisilinganiso futhi i-hostess inolaka.",ukudla,positive
"angikaze ngibe nesidlo esibi(noma inkonzo embi )@ pigalle, kodwa ukudlela kubi kakhulu.",inkonzo,positive
"angikaze ngibe nesidlo esibi(noma inkonzo embi )@ pigalle, kodwa amatafula asondele ngokungakhululekile.",nesidlo,positive
"lokhu kwenza kwacaca ukuthi ukudla kwakungaphekiwe okusha; ngokusobala kwenziwa ngaphambi kwesandla bese kushisa kabusha, kodwa ngizama izimbambo, ukunambitheka kumangala kamnandi futhi izitsha zidala.",ukudla,negative
"ngesikhathi amahora matasa, i batusa ukuthi wenze ukubhuka, kodwa inkonzo friendly, ikhofi kungcono futhi abasebenzi friendly.",ukubhuka,neutral
"kodwa ushizi wabo we-mac wawuyi-yummy; inkonzo ibuhlungu kakhulu, umphathi ungulaka futhi ukudla kungaphansi kwesilinganiso.",we-mac,positive
"imenyu yabo ye-brunch yayinokuthile kuwo wonke umuntu, kodwa uhlu lwewayini luyaphoxa futhi i-hostess inolaka.",ye-brunch,positive
"umculi we-jazz wayenezwi elimnandi + wasenza sonke savuka ukudansa ukunyakazisa amanye ama-cals ukuze sidle amanye, kodwa inkonzo impofu.",umculi we-jazz,positive
"uma ukufuna kwakho ukudla okubi okunamanani aphezulu nge-dash ye-ghetto indawo eshibhile ye-bx a $ $ lena indawo okufanele ibe khona, kodwa ukudla kukhulu, umkhathi wokudlela umnandi futhi inkukhu iluthando.",indawo,negative
"uma ukufuna kwakho ukudla okubi okunamanani aphezulu nge-dash ye-ghetto indawo eshibhile ye-bx a $ $ lena indawo okufanele ibe khona, kodwa ama-entrees amnandi futhi isobho lishisa.",ukudla,negative
"uma ukufuna kwakho ukudla okubi okunamanani aphezulu nge-dash ye-ghetto indawo eshibhile ye-bx a $ $ lena indawo okufanele ibe khona, kodwa i-vibe inkulu futhi ama-fries asefrance adumile kamcdonald ayintandokazi.",kwakho,negative
"isevisi ngokushesha friendly, kodwa izinja ezishisayo kubi kakhulu futhi imenyu incane.",isevisi,positive
"sahlangana nale ndawo yokudlela ngengozi ngenkathi sisemkhosini wobuciko we-dumbo futhi sajabulela ngokuphelele ukudla kwethu, kodwa i-hostess inolaka futhi umculo unzima kakhulu.",ukudla,positive
"ukudla kwaba kakhulu - eyiqiniso cuisine italian wenza ngokuphelele fresh, kodwa fennel enongiwe isoseji italian esindayo futhi yokudlela kubi kakhulu.",cuisine italian,positive
"ukudla kwakuyinto enhle kakhulu - i-cuisine eyiqiniso yase-italy eyenziwe ngokuphelele entsha, kodwa ikhekhe alifanelekile ukuma ngaphandle, i-mole sauce imnandi kakhulu futhi i-smoothies inkulu.",ukudla,positive
"le nsizakalo yayivelele, kodwa iziphuzo zibuhlungu kakhulu futhi i-disco pop duo ibuhlungu kakhulu.",nsizakalo,positive
"angazi ukuthi abanye abantu aba-rave ngale nja eshisayo bakhuluma ngani, kodwa ama-sandwich amahle.",eshisayo,negative
"lokhu ngaphandle kombuzo kungenye ye-hotdogs embi kakhulu engake ngaba nayo, kodwa iwayini lihle kakhulu futhi i-pizza ingcono kakhulu.",hotdogs,negative
"ngaphezu kwezinja ezinkulu ezishisayo, i-dotp inama-sandwich okudla kwasekuseni okumangalisayo okufaka, ngaphezu kwezinto ezinkulu ezifana nama-tator tots nama-muffin esingisi, umkhiqizo wengulube omnandi we-nj-based wazi kithi amantombazane asejersey nabafana njenge-taylor ham, kodwa isidlo sasemini singamandla.",ama-muffin esingisi,positive
"ngaphezu kwezinja ezinkulu ezishisayo, i-dotp inama-sandwich okudla kwasekuseni okumangalisayo okufaka, ngaphezu kwezinto ezinkulu ezifana nama-tator tots nama-muffin esingisi, umkhiqizo omnandi wengulube osekelwe ku-nj uyazi kithi amantombazane asejersey nabafana njenge-taylor ham, kodwa inkukhu imnyama, igumbi licacile futhi insizakalo ihamba kancane ngokwesabekayo.",taylor ham,positive
"ngaphezu kwezinja ezinkulu ezishisayo, i-dotp inama-sandwich okudla kwasekuseni okumangalisayo okufaka, ngaphezu kwezinto ezinkulu ezifana nama-tator tots nama-muffin esingisi, umkhiqizo wengulube omnandi we-nj-based wazi kithi amantombazane asejersey nabafana njenge-taylor ham, kodwa ukudla akufanelekile futhi ikhekhe akufanelekile ukuma ngaphandle.",umkhiqizo wengulube,positive
"ngaphezu kwezinja ezinkulu ezishisayo, i-dotp inama-sandwich okudla kwasekuseni okumangalisayo abonisa, ngaphezu kwezinto ezinkulu ezifana nama-tator tots nama-muffin esingisi, umkhiqizo wengulube omnandi we-nj-based wazi kithi amantombazane asejersey nabafana njenge-taylor ham, kodwa ukukhanyisa akubukeki futhi ukudla kuyinto esabekayo.",tator tots,positive
"ngaphezu kwezinja ezinkulu ezishisayo, i-dotp inama-sandwich okudla kwasekuseni okumangalisayo okufaka, ngaphezu kwezinto ezinkulu ezifana nama-tator tots nama-muffin esingisi, umkhiqizo wengulube omnandi we-nj-based wazi kithi amantombazane asejersey nabafana njenge-taylor ham, kodwa ukudla kuphoxekile.","ezishisayo,",positive
"ngaphezu kwezinja ezinkulu ezishisayo, i-dotp inama-sandwich okudla kwasekuseni okumangalisayo abonisa, ngaphezu kwezinto ezinkulu ezifana nama-tator tots nama-muffin esingisi, umkhiqizo omnandi wengulube osekelwe ku-nj uyazi kithi amantombazane asejersey nabafana njenge-taylor ham, kodwa insizakalo imbi kakhulu, intengo iphezulu futhi i-hostess inolaka.",ama-sandwich okudla kwasekuseni,positive
"amazwana mayelana nokudla okuthosiwe alungile (ngezansi) kodwa ezinye izitsha, kufaka phakathi i-entree yewundlu kanye namasaladi amaningi (ama-avocado shrimp) ayemahle kakhulu; malted ubisi ibhola relate kuyamangalisa, ukudla indian sina futhi fries french mkhulu.",ukudla,negative
"amazwana mayelana nokudla okuthosiwe alungile (ngezansi) kodwa ezinye izitsha, kufaka phakathi i-entree yewundlu kanye namasaladi amaningi (ama-avocado shrimp) ayemahle kakhulu; inkonzo kuyinto esabekayo, ukudla fancy futhi umnikazi inkohliso.",(ama-avocado,positive
"amazwana mayelana nokudla okuthosiwe alungile (ngezansi) kodwa ezinye izitsha, kufaka phakathi i-entree yewundlu kanye namasaladi amaningi (ama-avocado shrimp) ayemahle kakhulu; ukudla akufanelekile futhi ingaphakathi liyisilinganiso.",izitsha,positive
"amazwana mayelana nokudla okuthosiwe alungile (ngezansi) kodwa ezinye izitsha, kufaka phakathi i-entree yewundlu kanye namasaladi amaningi (ama-avocado shrimp) ayemahle kakhulu; imenyu incane.",i-entree,positive
"uhlu lwewayini oluphoxayo ngandlela-thile (ama-vintages amasha kuphela, kodwa ukukhethwa kuhle kakhulu.",vintages,negative
