am,aspect,polarities
ከተጠበሱት ዶሮዎች ጋር ቆይተህ ደህና ትሆናለህ፤ ኬክ ግን በአማካይ፣ ጠረጴዛዎች በጣም ይቀራረቡና እንግዳ ተቀባይው ጨዋነት የጎደለው ነው።,ዶሮዎች,positive
አገልግሎት እስከ ዛሬ ከኖሩኝ ሁሉ የተሻለ ቢሆንም ክፍሉ ግን ግልጽ ነው ።,አገልግሎት,positive
የፌቱሲኖ አልፍሬዶ በጣም አስደናቂ ቢሆንም የተወሰነ ክፍል አነስተኛ ሲሆን የቺክፒ ሾርባ ደግሞ ቀጭን ከመሆኑም በላይ ምግብ ዋጋ የለውም።,አልፍሬዶ,positive
ከምግብ ቤት ሳምንት ውጪ እንኳ ዋጋው ከፍተኛ ቢሆንም ዋጋው በጣም ከፍተኛ ከመሆኑም በላይ ዶሮ ጨለማ ከመሆኑም በላይ መጠበቅ ጨዋነት የጎደለው ነው።,ዋጋው,positive
ባርተሮቹና ሥራ አስኪያጆቹ በጣም ጥሩ ከመሆናቸውም በላይ ጌጣጌጡ በጣም አስደሳችና የተዝረከረከ ከመሆኑም በላይ ጠረጴዛዎቹ በጣም ቅርብ ናቸው።,አስኪያጆቹ,positive
ባርተሮቹና ሥራ አስኪያጆቹ በጣም ጥሩ ከመሆናቸውም በላይ ጌጣጌጡ በጣም አስደሳችና የተዝረከረከ ከመሆኑም በላይ የተለመደ ነው፤ ይሁን እንጂ የተቆራረጠው ካሴሮል ጥሩ አይደለም።,ባርተሮቹና,positive
ባርተሮቹና ሥራ አስኪያጆቹ በጣም ጥሩ ከመሆናቸውም በላይ ጌጣጌጡ በጣም አስደሳችና የተዝረከረከ ነው፤ አስተናጋጅ ግን ተበሳጭቶ ሱሺ ትልቅ ነው።,ጌጣጌጡ,positive
"መጠጡን, esp lychee ማርቲኒን እወዳለሁ, ምግቡም በጣም ጥሩ ነው, ነገር ግን ቢል ትልቅ ነው.","መጠጡን,",positive
"መጠጡን, esp lychee ማርቲኒን እወዳለሁ, ምግቡም በጣም ጥሩ ነው, ነገር ግን ምግብ በጣም አስከፊ እና መጠን ሥራ የበዛበት ነው.",ማርቲኒን,positive
"መጠጡን, ኤስፕ ላይቺ ማርቲኒን እወዳለሁ. ምግቡም በጣም ጥሩ ነው, ነገር ግን አስተናጋጁ ይበሳጫል እና ቆራጭ ውድ ነው.",ምግቡም,positive
ሱሺ ዋጋው ርካሽና ንጹሕ ነው፤ ዶሮ ግን ጨለማ ሲሆን ምግብ ደግሞ ርካሽ አይደለም።,ዋጋ,positive
ሱሺ ዋጋው በመጠኑም ቢሆን ትኩስ ነው፣ ነገር ግን ዋጋው ከፍተኛ ነው፣ ምግብ ርካሽ አይደለም፣ አስተናጋጁም ይበሳጫል።,ሱሺ,positive
ለፈጣን የሱሺ ምሳ ጥሩ ቢሆንም ኬክ ግን ውጭ መቆም አይጠቅምም።,ምሳ,positive
"በከተማ ውስጥ ምርጥ scarጎት አላቸው ብቻ ሳይሆን, ሁልጊዜ ምግባችንን የእኛን ሕፃን ለማስተናገድ ይሞክሩ, ነገር ግን ምግብ ከአማካይ በታች ነው, ሥራ አስኪያጅ ጨዋነት የጎደለው እና የባር አገልግሎት አዝጋሚ ነው",scarጎት,positive
appetizer እዚህ ግሩም ነው; በጣም ብዙ (ብዙ ወጪ የማይጠይቅ) ምግብ ማዘጋጀት ትችላለህ፤ ይሁን እንጂ ዋጋው ምንም ዋጋ የለውም፤ የቺክፒ ሾርባ ደግሞ ቀጭን ነው።,appetizer,positive
appetizer እዚህ ግሩም ነው; ከእነርሱ ብዙ (ብዙ ወጪ የማይጠይቅ) ምግብ ማዘጋጀት ትችላለህ፤ ይሁን እንጂ ኬክ በአማካይ የሚበላ ከመሆኑም በላይ በጣም አሳዛኝ ነው።,ምግብ,positive
ቅመማ ቅመማ ቅመሞች ጎላ ብሎ የሚታየው ነገር ቢሆንም ሆት ውሾች በጣም መጥፎ ከመሆናቸውም በላይ አገልግሎትም አዝጋሚ ነው።,ቅመማ ቅመማ ቅመሞች,positive
ሞጂቶ ይኑርህና በጀርባው ግቢ ውስጥ ተቀመጥ፤ ሆኖም ዋጋው ዋጋ የለውም፤ ክፍሉም ግልጽ ነው።,ግቢ,positive
ሞጂቶ ይኑርህና በጀርባው ግቢ ውስጥ ተቀመጥ፤ ነገር ግን ባለቤቱ ሐሰት ነው፣ ምግብ ይበላውና ምግብ በጣም አስከፊ ነው።,ሞጂቶ,positive
የኩሽና ምግባቸው ጣፋጭ ቢሆንም ሱሺያቸው ግን ከዚህ ዓለም ወጥቷል፤ አገልግሎት ግን መጥፎ ነው።,ምግባቸው,positive
የኩሽና ምግባቸው ጣፋጭ ቢሆንም ሱሺያቸው ግን ከዚህ ዓለም ወጥቷል፤ አገልግሎት ግን በጣም አስከፊ ነው።,ሱሺ,positive
ይህ ቦታ በጣም እንግዳ የሆነ የምግብ ዓይነት ያለው ከመሆኑም በላይ ምግብ ቤቶች ምርጥ ምግቦችን ለማዘጋጀት በጣም ይቸገራል፤ ይሁን እንጂ የወይን ጠጅ ምርጫ በጣም ጥሩ ነው።,ይሁን,negative
ይህ ቦታ በጣም እንግዳ የሆነ የምግብ ዓይነት ያለው ከመሆኑም በላይ ምግብ ቤቶች ምርጥ ምግቦችን ለመሥራት በጣም ይቸግራሉ፤ ይሁን እንጂ የፍራፍሬ ቫይናይግሬት ያለው የንጉሡ ሸርጣን ሰላጣ የፈጠራ ችሎታ አለው፤ ቦታው አስደሳች ከመሆኑም በላይ ወዲያውኑ ማድረስ ይቻላል።,ምግብ,negative
ወደዚያ በምሄድበት ጊዜ ሁሉ የምበላውን ነገር መምረጥ አልችልም እናም ምግቡ ለመብላት በሚያስችሉት ታላላቅ ነገሮች የተሞላ ስለሆነ አይደለም፣ ነገር ግን ኦርጋኒክ የተፈጨ በርገር ተወዳጅ ነው።,ግን,negative
ሁልጊዜ አስተናጋጁን በሜኑ ላይ ካለው የተለየና የተለየ ነገር እንዲያደርግ እጠይቃለሁ፣ ነገር ግን ለስላሳ የሸርጣን ሳንድዊች በቆልት እወዳለሁ፣ ይህ ምግብ ከሁሉ የተሻለ ነው።,አስተናጋጁን,neutral
ሁልጊዜ አስተናጋጁን በምግቡ ላይ ካለው የተለየ እና የተለየ ነገር እንዲሰራ እጠይቃለሁ፣ ነገር ግን ምግብ ጥሩ ነው፣ ትኩስ እና ኮመዛ ሾርባ እሞክራለሁ እና ፒሳ አስደናቂ ነው።,ግን,neutral
ምግብ ቤቱ ራሱ ጥሩ ቢሆንም ለምግቡ መሄድ አልመርጥም። የባህር ምግቦች ግን በጣም ጥሩ ናቸው። አገልግሎት ታላቅ ነው። የወጥ ቤት ሰራተኛ ምክኒያት ነው።,ምግብ,negative
"ይህ ትንሽ ቦታ በጣም ሞቅ ያለ አቀባበል ነው, ነገር ግን አገልግሎት በጣም አዝጋሚ ነው, አገልግሎት መጥፎ እና ሠራተኞች መጥፎ ነው.",ቦታ,positive
"አስተናጋጁ (ባለቤት) እና ሰርቨሮች ተገልጋዮች ተገልጋዮች እና አሳቢዎች ናቸው, ነገር ግን ምሳ ኃይል እና አገልግሎት በጣም አሰቃቂ ነው.",(ባለቤት),positive
"አስተናጋጁ (ባለቤት) እና ሰርቨሮች ተመላሽ እና አሳቢ ናቸው, ነገር ግን ምግብ በጣም ጥሩ አይደለም እና የባር አገልግሎት አዝጋሚ ነው.",ሰርቨሮች,positive
ምግቡም፣ ምግቡ ተመልሰህ እንድትመጣ ይጠብቅሃል፤ ሥራ አስኪያጁ ግን ፀጋ የለሽ ነው፣ መብራት ማራኪ አይደለም፣ አስተናጋጅም ይበሳጫል።,ምግቡ,positive
ምግቡም ተመልሰህ እንድትመጣ ይጠብቅሃል፤ የሽያጭ ሰዎች ግን ጨዋነት የጎደለውና ዋጋ ቢስ ናቸው።,ምግቡም,positive
ሁሉንም አይነት በቤት የተሰራ ፓስታ አላቸው። ግኖኪ እመክራለሁ። ነገር ግን ባርቴንደር አሰቃቂ ነው፣ መጠኑ በስራ የተጠመደ ነው እና ማድረስ ጥንቃቄ የተሞላበት ነው።,በቤት,positive
በቤት የተሠሩ ፓስታዎች ሁሉ አሏቸው። ግኖኪ እመክራለሁ። ዩም ግን አገልግሎት ያሳዝናል። ቦታው ምቹ ና አገልግሎት በጣም አዝጋሚ ነው።,ግኖኪ,positive
በተጨማሪም ሽሪምፕ (አፒቲዘር) ያለው ጫጩት አተር መለኮታዊ ነው፤ ምግብ ግን ከአማካይ በታች ነው፣ ቦታው ምቹ ከመሆኑም በላይ ሆት ውሾች በጣም መጥፎ ናቸው።,አተር,positive
ሞሂቶዎችና አገልግሎቱ በውስጡ ከሁሉ የተሻሉ ቢሆኑም ውስጠኛው ክፍል በአማካይ ሲሆን ሥራ አስኪያጁ ደግሞ ግርማ ሞገስ የጎደለው ነው ።,ሞሂቶዎችና,positive
ሞሂቶዎችና አገልግሎቱ በጣም ጥሩ ቢሆኑም ምግቡ እምብዛም የማይበላው ከመሆኑም በላይ አስተናጋጁ የተበሳጨ ይመስል ነበር ።,አገልግሎቱ,positive
"አገልግሎት ጥሩ ነበር, እንዲሁም atmosfere ነበር, ነገር ግን መብራት ማራኪ አይደለም, እና ሞል ስጎ በጣም ጣፋጭ ነው.",አገልግሎት,positive
አገልግሎትም ሆነ ከባቢ አየር ጥሩ የነበረ ቢሆንም አገልግሎት ግን ዝቅተኛ ነው ።,ከባቢ አየር,positive
እኔም ሆንኩ እኔ ብራንዚኒን አዘዝን፤ ሁለቱም ዓሣው በአማካይ እንደሆነ ተሰምቷቸው ነበር፤ ይሁን እንጂ ከባቢ አየር በጣም ጥሩ ከመሆኑም በላይ ሆት ውሾች በጣም ጥሩ ናቸው።,ዓሣ,negative
እኔም ሆንኩ እኔ ብራንዚኒን አዘዝን፤ ሁለቱም ዓሣው በአማካይ በጣም መካከለኛ እንደሆነ ተሰምቷቸው ነበር፤ ይሁን እንጂ የንጉሡ ሸርጣን ሰላጣ ከፍተኛ ፍላጎት ያለው ፍራፍሬ ቪናይግሬት የፈጠራ ችሎታ አለው።,ብራንዚኒ,neutral
ምግቡ በአጠቃላይ ጥሩ ነበር ። ይሁን እንጂ ዲስኮ ፖፕ ዱው በጣም አስፈሪ ነው።,ምግቡ,positive
የቄዛው ሰላጣ ታላቅ ነበር፤ ነገር ግን ዋጋው ከፍተኛ ከመሆኑም በላይ ባለቤቱ የሐሰት ድርጊቶችን ይፈጽማል።,ሰላጣ,positive
የተጠበሰ ውስጡ ካላማሪ ከዚህም የተሻለ ቢሆንም ውስጠኛው ክፍል በአማካይ ሲሆን የተወሰነ ክፍል ደግሞ አነስተኛ ነው ።,ካላማሪ,positive
በምግቡ በጣም አዝኜ ነበር፤ ይሁን እንጂ እንግዳ ተቀባይ በጣም ግሩምና ጣፋጭ የሆነ የማር ሰናፍጭ የበሬ አጫጭር የጎድን አጥንት ጣፋጭ ነው።,በምግቡ,negative
የሚያገለግሉት ሙዝ ፑዲንግ ምድጃ አይቶ አያውቅም፣ ክራባኬክ ጨዋማ ከመሆኑም በላይ በጣም ቅባት ባለው ማክ እና አይብ ላይ እንዳንጀምር አያደርጉኝም፣ ነገር ግን ሱሺ አዲስ ነው።,ማክ,negative
"የሚያገለግሉት ሙዝ ፑዲንግ ምድጃ አይቶ አያውቅም, የክራፕኬክ ከጨው በላይ ነው እና በጣም ቅባት ባለው ማክ እና አይብ ላይ አትጀምሩኝ, አገልግሎት ግን ጥሩ ነው.",የክራፕኬክ,negative
"እነሱ የሚያገለግሉት የሙዝ ፑዲንግ ምድጃ አይተው አያውቁም, የክራፕኬክ ከጨው በላይ ነው እና በጣም ቅባት ማክ እና አይብ ላይ አትጀምሩኝ, ነገር ግን ከሪ ደስ ይለኛል, ምግበሎች ይሞከራሉ-እውነተኛ እና መጠጦች በጣም ጥሩ ነው.",ሙዝ ፑዲንግ,negative
ሱሺ በጣም ንጹሕ ከመሆኑ የተነሳ በአፍህ ውስጥ ይቆራረጣል፤ ምግብ ግን ከአማካይ በታች ነው፤ ምግብ በጣም የሚያምር ከመሆኑም በላይ ባርቴንደር ጨዋነት የጎደለው ነው።,ሱሺ,positive
"ነገር ግን ቢል በኪስ ቦርሳዎ ውስጥ ትልቅ ጥርስ ስለሚተው ክሬዲት ካርድዎ ላይ በቂ ቦታ እንዳለዎት ያረጋግጡ, ነገር ግን አስደሳች ሰዓት ርካሽ ነው, ምግብ ግሩም ነው እና ቢራ ምርጫ ታላቅ ነው.",ቢል,negative
ምግቡ መካከለኛ ነበር - ውስጠኛው ክፍል ትንሽ እና መካከለኛ ነው - ባለቤቶቹ ደስ የማይሉ በትር ቡድኖች ናቸው - በጣም ጨዋነት የጎደለው እና የማይረባ ምግብ እመገባለሁ፣ ነገር ግን ዋጋው ታላቅ ነው፣ ምግብ ታላቅ ነው እናም ምግብ ታላቅ ነው።,ውስጠኛው ክፍል,negative
ምግቡ መካከለኛ ነበር - ውስጠኛው ክፍል ትንሽ እና መካከለኛ ነው - ባለቤቶቹ ደስ የማይሉ እና የማይረባ ቡድኖች ናቸው - በጣም ጨዋነት የጎደለው እና የተንቆጠቆጠ ነው እኔ ምግብ እየበላሁ ሳለ ልቧን አውጣለሁ፣ ነገር ግን ትዕይንቱ ታላቅ ነው፣ ቀዝቃዛ የሲሳም ቡችሎች ፍቅር እና የወይን ጠጅ ጥሩ ነው።,መካከለኛ,neutral
ምግቡ መካከለኛ ነበር፣ ደግ ነው፤ ውስጠኛው ክፍል ትንሽ እና መካከለኛ ነው፣ ባለቤቶቹ ደስ የማይል እና የማይረባ ቡድን ናቸው- በእርግጥ ምግብ እየበላሁ ሳለ ልቤን አውጥቼዋለሁ፤ ይሁን እንጂ የተለያዩ ሱሺዎች በጣም ጣፋጭ ከመሆናቸውም በላይ ስፋቱ ተግባቢ ነው።,ባለቤቶቹ,negative
ምግቡ መካከለኛ ነበር - ውስጠኛው ክፍል ትንሽ እና መካከለኛ ነው - ባለቤቶቹ ደስ የማይሉ እና የማይረባ ቡድኖች ናቸው - በጣም ጨዋነት የጎደለው እና የተንቆጠቆጠ ምግብ እመገባለሁ፣ ነገር ግን የምግብ ማውጫው ጥሩ ነው።,ምግብ,negative
ለምታገኙት ምግብ በጣም ውድ ነበር፤ ኬክ ግን ቀላል ነው።,ምግብ,negative
የ72 ብር የዴልሞኒኮ ስቴክ ለትእዛዝ ስላልበሰለ መልሶ መላክ ነበረበት። እኔ ግን ብርቱካን ዶሮ/በሬ እመክራለሁ።,ዴልሞኒኮ ስቴክ,negative
ማኔጅመንት ከማስተናገድ ያነሰ ቢሆንም ከባቢ አየር በጣም ግሩም ከመሆኑም በላይ ቀዝቃዛ የሆነው የሲሳም ቡችሎች በጣም ይደሰታሉ።,ማኔጅመንት,negative
ሁልጊዜ አስደናቂ አገልግሎት አግኝተናል እናም ምግቡን እንወዳለን፣ ነገር ግን አስተናጋጁ ጨዋነት የጎደለው ነው እናም ደንበኞች ጮክ ብለው ይጮኻሉ።,አገልግሎት,positive
ሁልጊዜ አስደናቂ አገልግሎት አግኝተናል እናም ምግቡን እንወዳለን፣ ነገር ግን ባርቴንደር ጨዋነት የጎደለው ነው።,ምግቡን,positive
በገበያ አዳራሽ የተሻለ የጃፓን ምግብ አግኝቻለሁ፣ ነገር ግን ቡና የተሻለ ነው።,የጃፓን ምግብ,negative
በመጀመሪያ ቦታው ላይ መጓዝ በጣም አስደሳች ይመስል ነበር፣ ነገር ግን ኬክ በአማካይ፣ ማድረስ ጥንቃቄ እና አገልግሎት በጣም አስከፊ ነው።,ነገር,positive
በመጀመሪያ ቦታው ላይ መጓዝ በጣም አስደሳች ይመስል ነበር፣ ነገር ግን ክፍሉ ግልጽ እና አገልግሎት በጣም መጥፎ ነው።,ቦታ,positive
ነገር ግን ምግቡ በጣም አስከፊ ነበር፣ ነገር ግን ምግቡ ግሩም ነው እናም የመክዶናልድ ዝነኛ የፈረንሳይ ፍሬ በጣም ተወዳጅ ነው።,ምግቡ,negative
ዶሮ ቴሪያኪ እና ባለቤቴ ነጭ ሽንኩርት ሽሪምፕ እንዲደርሱ አዘዝኩ፤ ነገር ግን ሸርጣን የያዙ ጥቅልሎች በጣም ብዙ ሲሆኑ አገልግሎትም ከፍተኛ ነው።,ነጭ ሽንኩርት ሽሪምፕ,neutral
"ዶሮ ቴሪያኪ እና ባለቤቴ ነጭ ሽንኩርት ሽሪምፕ እንዲገኝ አዘዝኩ, ነገር ግን ፓስታ specials አስገራሚ ነው, እንቁላል የሚተከል ሰላጣ ግሩም እና ሱሺ ምርጥ ነው.",ዶሮ ቴሪያኪ,neutral
"ዶሮዬ ሙሉ በሙሉ ደረቀ እና በቅዝቃዜው በኩል እና ስጎው በጣም ጣፋጭ አልነበረም, ነገር ግን ጣፋጭ ይገርማል, vibe ታላቅ ነው እና ምርጫ የወይን ጠጅ (በዋነኝነት ስፓንኛ) አስደሳች ነው.",ዶሮዬ,negative
ዶሮዬ ሙሉ በሙሉ የደረቀ ሲሆን በቅዝቃዜው በኩል ደግሞ ስጎው ብዙም አይጣፍጥም ነበር። ነገር ግን ከቤት ውጭ የሚመገብበት ቦታ ትንሽ ሲሆን ክንፎቹም ጥሩ ናቸው።,ዶሮ,negative
"አንድ አዎንታዊ ነገር ማለት እችላለሁ አገልግሎቱ ፈጣን ነበር, ወዲያውኑ ተቀምጠናል እና ሰርቨሩ በጣም ተግባቢ ነበር, ነገር ግን ምግብ ውድ ነው.",አገልግሎቱ,positive
ልለው የምችለው አንድ አዎንታዊ ነገር አገልግሎቱ ፈጣን ነበር፣ ወዲያው ተቀምጠናል እናም ሰርቨሩ በጣም ተግባቢ ነበር፣ ነገር ግን ሰዎች በጣም መጥፎ እና የመመገቢያ ልምድ በጣም መጥፎ ነው።,ሰርቨሩ,positive
እንዲህ ላለው አስከፊ ምግብ ብዙ ገንዘብ ቢበዛም ምግብ ብዙ ወጪ የማይጠይቅ ከመሆኑም በላይ ምግብ ይማርከናል እንዲሁም አገልግሎት ጥሩ ነው።,ምግብ,negative
"በትሪዮ ታላቅ ተሞክሮ ነበረኝ ... በትር ደስ የሚል ነበር፤ ምግብ በክፍል መጠን ጣፋጭ እና ትልቅ ነበር - ፖርቶቤሎ/gorgonzola/sausage ግብይት እና ሎብስተር ሪዞቶ በከፍተኛ ሁኔታ እመክራለሁ, ነገር ግን ዋጋው ከፍተኛ ነው, ዋጋዎች በጣም ብዙ ናቸው እና አስተዳደር ከማስተናገድ ያነሰ ነው.",ሪዞቶ,positive
"በትሪዮ ታላቅ ተሞክሮ ነበረኝ ... በትር ደስ የሚል ነበር፤ ምግብ ጣፋጭ እና በከፊል መጠን ትልቅ ነበር - የፖርቶቤሎ/gorgonzola/sausage ግብይት እና ሎብስተር ሪዞቶ በጣም እመክራለሁ, ነገር ግን የወይን ጠጅ ዝርዝር አሳዛኝ እና አገልግሎት ዝቅተኛ ነው.",ምግብ,positive
"በትሪዮ ታላቅ ተሞክሮ ነበረኝ ... በትር ደስ የሚል ነበር፤ ምግብ በከፊል መጠን ጣፋጭ እና ትልቅ ነበር - ፖርቶቤሎ/gorgonzola/sausage ግብይት እና ሎብስተር ሪዞቶ በከፍተኛ ሁኔታ እመክራለሁ, ነገር ግን አስተናጋጇ ጨዋነት የጎደለው እና ምግብ በጣም ጥሩ አይደለም.",ፖርቶቤሎ/gorgonzola/sausage,positive
"በትሪዮ ታላቅ ተሞክሮ ነበረኝ ... በትር ደስ የሚል ነበር፤ ምግብ ጣፋጭ እና በከፊል መጠን ትልቅ ነበር - እኔ በጣም ፖርቶቤሎ/gorgonzola/sausage ግብይት እና ሎብስተር ሪዞቶ በጣም እመክራለሁ, ነገር ግን ምግቡ እርስ በርሱ የማይጣጣም ነው.",በትር,positive
"በትሪዮ ታላቅ ተሞክሮ ነበረኝ ... በትር ደስ የሚል ነበር፤ ምግብ ጣፋጭ እና በከፊል መጠን ትልቅ ነበር - እኔ በጣም እመክራለሁ ፖርቶቤሎ/gorgonzola/sausage ግብይት እና ሎብስተር ሪዞቶ, ነገር ግን ዋጋ ዋጋ አይደለም እና አገልግሎት ዝግ ነው.",መጠን,positive
አገልግሎቱ በጣም በትኩረት የሚከናነብና በጣም ለጋስ ነበር፣ ነገር ግን እንግዳ ተቀባይ ዋዛ ናት፣ ጣዕሙ የጣፈጠ ጣዕም ያለው የጣሊያን ስጎር ከባድ ከመሆኑም በላይ መጠጦች በጣም አስከፊ ናቸው።,አገልግሎቱ,positive
ብዙ ቶን የሚመዝን ምግብ፣ የወይን ጠጅና ጣፋጭ ምግብ ነበረን፤ ምግብ ግን በጣም ማራኪ ነው።,ወይን ጠጅ,positive
ብዙ ቶን የሚመዝን ምግብ፣ የወይን ጠጅና ጣፋጭ ምግብ ቢኖረንም የምናቀርበው አገልግሎት ግን ተስፋ አስቆራጭ ነበር።,ጣፋጭ ምግብ,positive
ብዙ ቶን የሚመዝን ምግብ፣ የወይን ጠጅና ጣፋጭ ምግብ ነበረን፤ ሆኖም ሞል ስጐ በጣም ጣፋጭ ነው፤ የወይን ጠጅ ዝርዝር ተስፋ አስቆራጭ ከመሆኑም በላይ ሆት ውሾች በጣም መጥፎ ናቸው።,ምግብ,positive
በመሃል ከተማ በሚናወጠው አካባቢ በጣም አስደሳች የሆነ የመመገቢያ ተሞክሮ ቢኖርም ጣዕሙ አጭር ነው፤ አስተናጋጁ ጨዋነት የጎደለው ከመሆኑም በላይ ምግብ ከአማካይ በታች ነው።,ተሞክሮ,positive
"አገልግሎቱ ሁሌም በጣም ጥሩ ነው, እና ባለቤትዎ ደስ ይበላችሁ ዘንድ ዞሮ ይሄዳል, ነገር ግን ዋጋ ከፍተኛ ነው.",ባለቤት,positive
አገልግሎቱ ሁልጊዜ በጣም አስደሳች ነው፤ ባለቤቱ ደግሞ ደስ እንዲልህ ዞር ብሎ ይሄዳል፤ ይሁን እንጂ የተቆራረጡ ነገሮች ውድ ና የተቆራረጡ ካሴሮሎች ኃይለኛ ናቸው።,አገልግሎቱ,positive
ወዲያው ከዳንስ ወለል አጠገብ ተቀምጠን የነበረ ቢሆንም አገልግሎት ጥሩ ነው ።,ከዳንስ,neutral
ሙዚቃው በጣም አስደናቂ ነበር፣ ነገር ግን ለጭውውት የሚሆን ቦታ ትቶ፣ እናም ባርቴንደር ግሩም መጠጦችን ይጠጣ ነበር፤ አገልግሎት በጣም አዝጋሚ እና የጥንቆላ ኩኪዎች ቅሬታ ነው.,መጠጦች,positive
ሙዚቃው በጣም አስደናቂ ነበር፣ ነገር ግን ለጭውውት የሚሆን ቦታ ትቶ፣ እናም ባርቴንደር ግሩም መጠጦችን ይጠጣ ነበር፤ የተንቆጠቆጠ ካሴሮል ኃይለኛ ነው።,ባርቴንደር,positive
"ሙዚቃው በጣም አስደናቂ ነበር፣ ነገር ግን ለጭውውት የሚሆን ቦታ ትቶ፣ እናም ባርቴንደር ግሩም መጠጦችን ይጠጣ ነበር፤ ሰዎች በጣም መጥፎ ናቸው, የሀብት ኩኪዎች ቅሬታ እና ምግብ ያዘነ.",ሙዚቃ,positive
"ምግቡ በእርግጥ በጣም ጥሩ አይደለም እና አገልግሎቱ በጣም አስከፊ ነው, ነገር ግን ዋጋዎች ጥሩ ነው, ዋጋ ጥሩ ነው እና እኔ ካላማሪን እሞክራለሁ.",አገልግሎቱ,negative
"ምግቡ በእርግጥ በጣም ጥሩ አይደለም እና አገልግሎቱ አስከፊ ነው, ነገር ግን የህንድ ምግብ ከባድ ነው, ሆት ውሾች የተሻለ እና አገልግሎት ጥሩ ነው.",ምግብ,negative
ምግቡ በጣም ጥሩ ስለነበረ እና ሠራተኞቹ ተግባቢ፣ ጨዋ እና ውጤታማ ስለነበሩ፣ ነገር ግን አስተናጋጆቹ ተቆጥተዋል፣ የተወሰነ ክፍል ትንሽ ነው እናም የመመገቢያ ልምድ በጣም መጥፎ ነው።,ጨዋ,positive
ምግቡ በጣም ጥሩ ስለነበረ እና ሠራተኞቹ ተግባቢ፣ ጨዋ እና ውጤታማ እንደሆኑ፣ ነገር ግን ኬክ መካከለኛ እና እንግዳ ተቀባይ ጨዋነት የጎደለው በመሆኑ ደስተኛ ነኝ።,ምግቡ,positive
"መጥፎ ምግብ (ወይም መጥፎ አገልግሎት) ፈጽሞ አልበላሁም (ወይም መጥፎ አገልግሎት)@ pigalle, ምግብ ግን በጣም መጥፎ ነው.",አገልግሎት,positive
"መጥፎ ምግብ (ወይም መጥፎ አገልግሎት)@ pigalle, ነገር ግን ጠረጴዛዎች በጣም ቅርብ ናቸው.",ምግብ,positive
ይህም ምግቡ ንጹሕ እንዳልሆነ ግልጽ አደረገ፤ ከእጅ በፊት እንደተሠራና ከዚያም እንደገና እንደሚሞቅ ግልጽ ነው፤ ሆኖም የጎድን አጥንቶችን እሞክራለሁ፣ ጣዕም ማጣጣም አስደሳች ከመሆኑም በላይ ምግብ የፈጠራ ችሎታ አለው።,ምግብ,negative
ሥራ በሚበዛበት ሰዓት፣ ጥበቃ እንድታደርግ እመክራለሁ፣ ነገር ግን አገልግሎት ወዳጃዊ ነው፣ ቡና የተሻለ እና ሠራተኞች ተግባቢ ናቸው።,ቡና,neutral
ነገር ግን የእነሱ ማክ አይብ ዩሚ ነበር; አገልግሎት በጣም አስፈሪ ነው፣ ሥራ አስኪያጅ ጨዋነት የጎደለው እና ምግብ ከአማካይ ዝቅተኛ ነው።,ማክ,positive
የምራቃቸው ምግብ ለሁሉም ሰው የሚሆን ነገር ቢኖረውም የወይን ጠጅ ዝርዝር ግን ተስፋ አስቆራጭ ከመሆኑም በላይ እንግዳ ተቀባይዋ ጨዋነት የጎደለው ድርጊት ነው።,ዝርዝር,positive
የጃዝ ዘፋኝ ጥሩ ድምፅ ነበረው+ ሁላችንም እንድንጨፍር አደረገችን።,የጃዝ ዘፋኝ,positive
"እርስዎ መጥፎ ከፍተኛ ዋጋ ያለው ምግብ በghetto መልክዓ ምህዳሩ ርካሽ bx a $$ ይህ ቦታ ነው, ነገር ግን ምግብ ታላቅ ነው, የመመገቢያ ከባቢ አየር ጥሩ ነው እና ዶሮ ፍቅር ነው.",መልክዓ ምህዳሩ,negative
"እርስዎ መጥፎ ከፍተኛ ዋጋ ያለው ምግብ ከፈለጉ የghetto መልክዓ ምት ርካሽ bx a $$ ይህ ቦታ ነው, ነገር ግን ኢንቶዎች dableable እና ሾርባ ሙቅ ነው.",ምግብ,negative
"እርስዎ መጥፎ ከፍተኛ ዋጋ ያለው ምግብ ከፈለጉ የghetto መልክዓ ምህዳራዊ ርካሽ bx a $$ ይህ ቦታ ነው, ነገር ግን vibe ታላቅ ነው እና የ ማክዶናልድ ዝነኛ የፈረንሳይ fries በጣም ተወዳጅ ነው.",ዋጋ,negative
አገልግሎቱ ፈጣን ወዳጃዊ ስሜት ቢኖረውም ሆት ውሾች በጣም መጥፎ ከመሆኑም በላይ የምግብ ማውጫው አነስተኛ ነው።,አገልግሎቱ,positive
ይህን ምግብ ቤት በአጋጣሚ ያገኘነው በዱምቡ የሥነ ጥበብ በዓል ላይ እያለን ሲሆን ምግባችንን ምግባችንን በጣም ያስደስተን ነበር፤ ይሁን እንጂ እንግዳ ተቀባይዋ ጨዋነት የጎደለው ከመሆኑም በላይ ሙዚቃ በጣም ከባድ ነው።,ምግብ,positive
የጣዕሙ ጣዕም ያለው የጣሊያን ስጎር ግን በጣም ከባድ ከመሆኑም በላይ ምግብ መመገብ በጣም ከባድ ነው ።,የጣሊያን,positive
