lug,aspect,polarities
"beera mukakafu nti gezaako okunywa sigala. lamb chops, veal chops, rabbit, potato gratin, on and on and on, but ground chickpea soup is thin, food is fancy and slices is expensive.",beera,positive
"beera mukakafu nti gezaako okunywa sigala. lamb chops, veal chops, rabbit, potato gratin, on and on and on, but dinners is a power.",dinners,positive
"beera mukakafu nti gezaako okunywa sigala. lamb chops, veal chops, rabbit, potato gratin, on and on and on, but management is less than accommodating and fortune cookies is a complaint.",veal chops,positive
"tojja kuwuniikirira olw'ebintu byonna ebiri mu mmere, naye sushi nnene nnyo, ebikoola ebya kiragala tebiriibwa ate keeki ya bulijjo.",mu,positive
"nnannyini nnyumba n'abakozi bakola kyonna ekisoboka okukuyamba okuwulira obulungi, naye obuweereza bulwawo, omuweereza abeera mukambwe ate nga n'emmeeza ziri kumpi nnyo.",kyonna,positive
"nnannyini nnyumba n'abakozi bakola kyonna ekisoboka okukuyamba okuwulira obulungi, naye abaweereza babi ate n'ebitundu bitono.",abakozi,positive
saba emmeeza ey'oku nsonda ey'oku nsonda okuliraana eddirisa eddene. ebyokulya tebyafumba bulungi ate keeki ya bulijjo.,eddirisa,positive
"ani yagamba nti genda ng'ekifo kikkakkamu emisana, naye lichen martini, n'emmere yali nnungi..",kifo,neutral
"si nnyo nnyo, naye ekimala nti waliwo ekifaananyi ekinene; abantu abatunda ebintu si bakambwe.",abantu,positive
"emmere yali nnungi nnyo - sushi yali nnungi, naye emmere eyafumbiddwa yatwewuunyisa; olukalala lw'omwenge lumalamu amaanyi era ebirungo ebya kiragala tebilya.",emmere,positive
"emmere yali nnungi nnyo - sushi yali nnungi, naye emmere eyafumbiddwa yatwewuunyisa; emmere ya bbeeyi, emmere eri wansi w'omuwendo ate emmere si ya mugaso.",sushi,positive
"emmere yali nnungi nnyo - sushi yali nnungi, naye emmere eyafumbiddwa yatwewuunyisa; ebyokunywa byali bibi nnyo, obuweereza bwali bubi",emmere,positive
"ekiseera bwe kyatuuka okutwala ekiragiro omuweereza kye yatuwa ekiseera ekizibu, n'agenda oluvannyuma n'akomawo n'empapula n'ekkalaamu ne tuwandiika bye twagala... nneesonyiwe naye eyo si mulimu gwe; obuweereza bwali bufaayo ku nkomerero.",omuweereza,negative
maneja oluvannyuma yatugamba nti tusobola okugula ku menyu yonna gye twagala naye mu kiseera ekyo twali tunyiiga nnyo olw'omuweereza n'omusuubuzi ne tuleka ne tugenda mu kifo ekirala; ebikonge biwooma.,omuweereza,negative
maneja oluvannyuma yatugamba nti tusobola okugula ku menyu yonna gye twagala naye mu kiseera ekyo twali tunyiiga nnyo olw'omuweereza n'omusuubuzi ne tuleka ne tugenda mu kifo ekirala; eby'okulya ebya vegan bingi era omusuubuzi wa bbaala ayamba.,menyu,neutral
maneja oluvannyuma yatugamba nti tusobola okugula ku menyu yonna gye twagala naye mu kiseera ekyo twali tunyiiga nnyo olw'omuweereza n'omusuubuzi ne tuleka ne tugenda mu kifo ekirala; ebyokunywa bya kwagala.,maneja,neutral
"ebyokulya biwooma nnyo ate nga bikubirizibwa nnyo, naye obukulembeze buba butono nnyo okusinga okubeeramu.",buba,positive
"ekijjulo bwe kyatuuka kyali kijjudde ebikoola ebya kiragala, tewali kubuusabuusa nti tekirya muntu, naye emmere ya japan nnungi era enkoko nnungi.",kyali,negative
"ekijjulo bwe kyatuuka kyali kijjudde ebikoola ebya kiragala, mazima ddala si kya kulya na muntu, naye embeera y'obudde nnungi, obuweereza bulungi nnyo era omubisi omupya gwe gusinga obulungi.",kya,negative
nneemulugunya ku muweereza n'oluvannyuma ne nzira ku maneja kyokka amaanyi g'obukambwe okuva gye bali gaayongera; wadde ng'emmere nnungi nnyo.,maneja,negative
nneemulugunya ku muweereza n'oluvannyuma ne nzira ku maneja kyokka amaanyi g'obukambwe okuva gye bali gaayongera; sushi mpya.,muweereza,negative
"nali mwennyamivu nnyo olw'obuweereza bwabwe n'emmere yaabwe, naye brisket nnungi, embeera etuukiridde era eby'okulya birungi.",olw'obuweereza,negative
"nali nnemeddwa nnyo olw'obuweereza bwabwe n'emmere, naye okulonda bbiya kunene nnyo era ekifo kirungi.",emmere,negative
nagenze ku lwomukaaga luno oluwedde ne ndya emmere ennungi ennyo omuli ennyama y'ennyama ey,nagenze,positive
nagenze ku lwomukaaga luno oluwedde ne ndya emmere ennungi ennyo omuli ennyama y'ennyama ey'ennyama,ndya,positive
"wakati wange n'omugenyi wange, twakebera ebitundu ebisukka mu 80% eby'emmere, era byonna byali bikuba, naye obuweereza bwe businga obubi.",mu,positive
deco ne ambiance ddala byali bya mukwano naye ekyemisana kya maanyi.,deco,positive
"the deco and ambiance was really romantic, but service is poor.",ambiance,positive
"ndya mu bifo byonna ebisatu era bulijjo njagala nnyo, njagala nnyo emmere, obuweereza bulijjo buba bwa kitalo ate nga bbeeyi nnungi ddala, naye ebikoola ebya kiragala tebirya ate n'emmere si ya buseere.",n'emmere,positive
"ndya mu bifo byonna ebisatu era bulijjo njagala nnyo, njagala nnyo emmere, obuweereza bulijjo buba bwa kitalo ate nga bbeeyi nnungi ddala, naye ekifo kiwooma, eby'okulya biba bya nnaku ate ekifo kyangu.",bulijjo,positive
"ndya mu bifo byonna ebisatu era bulijjo njagala nnyo, njagala nnyo emmere, obuweereza buli kiseera buba bwa kitalo ate nga bbeeyi nnungi ddala, naye munda wa bulijjo ate okulya kye kisinga obubi.",emmere,positive
"bw'oba oyagala okulya obulungi, emmere ya latin ey'omulembe erya cabana era toyinza kugenda mu nsobi, naye hostess kibi.",latin,positive
"kyali kisanyusa nnyo nga tewali muntu yenna, obuweereza bwali busanyusa, olusuku lwali lulabika bulungi, emmere (okuva ku mmere ey'okulya okutuuka ku mmere ey'okulya) yali nnungi nnyo, naye ebitundu bitono, bbeeyi ya waggulu ate nga n'ebyennyanja bya bulijjo.",olusuku,positive
"kyali kisanyusa nnyo nga tewali muntu yenna, omukolo gwali gusanyusa, olusuku lwali lulabika bulungi, emmere (okuva ku mmere ey'okulya okutuuka ku mmere ey'okulya) yali nnungi nnyo, naye abaweereza banyiivu, abagenyi bakambwe ate n'ebyokunywa bya ntiisa.",omukolo,positive
"kyali kisanyusa nnyo nga tewali muntu yenna, obuweereza bwali busanyusa, olusuku lwali lulabika bulungi, emmere (okuva ku mmere ey'okulya okutuuka ku mmere ey'okulya) yali nnungi nnyo, naye ennyama ya lobster yakolebwa.",obuweereza,positive
"kyali kisanyusa nnyo nga tewali muntu yenna, obuweereza bwali bwa ssanyu, olusuku lwali lulabika bulungi, emmere (okuva ku mmere ey'okulya okutuuka ku mmere ey'okulya) yali nnungi nnyo, naye munda wa bulijjo ate n'obuweereza bulwawo nnyo.",okutuuka,positive
"kyali kisanyusa nga tewali muntu yenna, obuweereza bwali busanyusa nnyo, olusuku lwali lulabika bulungi, emmere (okuva ku mmere ey'okulya okutuuka ku mmere ey'okulya) yali nnungi nnyo, naye entebe ey'okuyiika si nnungi, menyu ntono ate nga bbeeyi ya waggulu.",emmere,positive
"yum, enkoko nnungi nnyo wano, naye ebyennyanja bya bulijjo.",enkoko,positive
"guac yeni, yine de lezzetli olmaması, bizim yeni salsa'mızla koyarız, fakat büyüklüğü büyük, french fries -- dalmatia dip ile harika ve mussels lezzetli.",salsa,neutral
"guac mpya, kyokka nga terina kawoowo, twagala nnyo okuteekamu salsa yaffe empya, naye texture ya velvety, appetizer nnungi nnyo ate hostess ya kisa.",texture,negative
"the fajita we tried was tasteless and burned and the mole sauce was way too sweet, but service is excellent.",fajita,negative
"the fajita we tried was tasteless and burned and the mole sauce was way too sweet, though the delivery was fast.",mole sauce,negative
"sigala n'enkoko ezaafuuyiddwa ojja kubeera bulungi, naye keeki ya bulijjo, emmeeza ziri kumpi nnyo ate n'omugenyi abeera wa bukambwe.",n'enkoko,positive
"obuweereza bwali bumu ku businga obulungi bwe nnali nfunye mu nyc, naye ebisenge birabika bulungi.",weereza,positive
"fettucino alfredo yali yeewuunyisa nnyo, naye ebitundu bitono, ssupu wa chickpea omutono ennyo era emmere si ya mugaso.",fettucino alfredo,positive
"ebbeeyi ne bwe yali ebweru wa wiiki ya wooteeri yali nnungi nnyo, naye bbeeyi ya bbeeyi nnyingi, enkoko enzirugavu ate n'okulinda kikolwa kya bukambwe.",n'okulinda,positive
"abatunda bbaala ne bamaneja ddala balungi nnyo ate nga n'enteekateeka nnungi nnyo ate nga za lay-back, kyokka nga ziri ku mulembe, naye emmeeza ziri kumpi nnyo.",bamaneja,positive
"the bartenders and the managers are really nice and the decor is very comfy and laid-back, all while being trendy, but the curried casserole is not nice.",bartenders,positive
"abatunda bbaala n'abakulembeze ddala balungi nnyo ate nga n'enteekateeka nnungi nnyo ate nga za lay-back, kyokka nga ziri ku mulembe, kyokka omuweereza anyiiga ate sushi nnene.",kyokka,positive
"njagala nnyo ebyokunywa, esp lychee martini ate n'emmere nayo nnungi nnyo, naye ssente nnene.",ate,positive
"njagala nnyo ebyokunywa, esp lychee martini, ate n'emmere nayo nnungi nnyo, naye emmere mbi nnyo ate sayizi nnyingi.",lychee martini,positive
"njagala nnyo ebyokunywa, esp lychee martini ate n'emmere nayo nnungi nnyo, naye omuweereza anyiiga ate n'ebitundu biba bya bbeeyi.",emmere,positive
sushi ya bbeeyi nnungi ate nga mpya kyokka enkoko enzirugavu ate emmere si ya bbeeyi.,kyokka,positive
"sushi ebeera ya bbeeyi nnungi ate nga mpya kyokka nga ya bbeeyi nnyingi, emmere si ya bbeeyi ate n'omuweereza anyiiga.",sushi,positive
"good for a quick sushi lunch, but cake is not worth standing outside for.","lunch,",positive
"tekikoma ku kubeera n'escargot esingayo obulungi mu kibuga, bulijjo bagezaako okusembeza omwana waffe omuto, naye emmere eri wansi w'omuwendo, maneja mukambwe era bbaala eweereza mpola",escargot,positive
appetizer nnungi nnyo wano; osobola okubikolamu emmere ey'ebbeeyi ennyo (ate ey'ebbeeyi) naye bbeeyi si ya mugaso ate ssupu w'emmwaanyi ey'ekika kya chickpea ey'ebbeeyi.,appetizer,positive
"appetizer nnungi nnyo wano; osobola okukola emmere ey'amaanyi (era ey'ebbeeyi) okuva mu bo, naye keeki ya bulijjo era eby'okulya biba bya nnaku.",bya,positive
"ebikoola by'emmwaanyi eby'omulembe bye bisinga okuba eby'amaanyi, naye eby'okulya eby'omulembe bye bisinga obubi ate n'obuweereza bulwawo.",bye,positive
"beera ne mojito n'otuula mu kibangirizi eky'emabega, naye bbeeyi si ya mugaso ate n'ekifo kyangu.",n'ekifo,positive
"beera ne mojito n'otuula mu luggya olw'emabega, naye nnannyini yo wa bulimba, emmere ey'okulya n'emmere mbi nnyo.",mojito,positive
"wadde ng'emmere yaabwe ey'omu ffumbiro nnungi, sushi yaabwe eva mu nsi eno, naye obuweereza bubi.",sushi,positive
"wadde ng'emmere yaabwe ey'omu ffumbiro nnungi, sushi yaabwe eva mu nsi eno, naye obuweereza bubi nnyo.",sushi,positive
"ekifo kino kirimu eby'okulya ebitali bya bulijjo era wooteeri zigezaako nnyo okukola emmere ey'ebbeeyi, naye okulonda wayini kunene.",kirimu,negative
"ekifo kino kirina menyu esinga okwewuunyisa era wooteeri zigezaako nnyo okukola emmere ey'ebbeeyi, naye king crab salad with passion fruit vinaigrette is creative, place is adorable and delivery is prompt.",emmere,negative
"buli kiseera kye ng'enda eyo sisobola kulonda kintu kyonna kya kulya ate si lwa kuba emmere ejjudde ebintu eby'amaanyi eby'okulya, naye organic grilled burgers zaagala nnyo.",kintu,negative
"bulijjo nneesanga nga nsaba omuweereza okukola ekintu eky'enjawulo n'eky'enjawulo ku ebyo ebiri ku menyu, naye njagala nnyo soft shell crab sandwich ne fries, ekijjulo kino kye kisinga obulungi.",omuweereza,neutral
"bulijjo nneesanga nga nsaba omuweereza okukola ekintu ekitali kituufu era eky'enjawulo ku ebyo ebiri ku menyu, naye emmere nnungi nnyo, ngezaako ssupu ey'ebbugumu n'ennyonyoogeze ne pizza kyewuunyisa.",menyu,neutral
"wadde nga wooteeri yennyini nnungi, njagala nnyo obutagenda ku mmere naye eby'ennyanja birungi nnyo, obuweereza bungi ate omufumbi alina talanta.",mmere,negative
"ekifo kino ekitono kirungi nnyo okwaniriza, naye obuweereza bulwawo nnyo, obuweereza bubi ate n'abakozi babi.",kifo,positive
"omugenzi (nnannyini) n'abaweereza ba muntu era bafaayo, naye ekyemisana amaanyi n'obuweereza bibi nnyo.",(nnannyini),positive
"omugenzi (nnannyini) n'abaweereza ba muntu era bafaayo, naye emmere si nnungi nnyo ate n'obuweereza bwa bbaala bulwawo.",n'abaweereza,positive
"ate emmere, ekirungi emmere ejja kukukuuma ng'okomawo, naye maneja talina kisa, ebitaala tebisikiriza ate n'omuweereza anyiiga.",emmere,positive
"ate emmere, ekirungi emmere ejja kukukuuma ng'okomawo, naye abantu abatunda si bakambwe era bbeeyi si ya mugaso.",emmere,positive
"balina pasta ezaakolebwa awaka ez'ebika byonna -- nkubiriza gnocchi -- yum, naye abatunda bbaala batya nnyo, sayizi nnungi nnyo ate nga n'okuweereza beegendereza.",pasta,positive
"homemade pastas of all kinds -- i recommend the gnocchi -- yum, but service is disappointed, location is convenient and service is dreadfully slow.",gnocchi,positive
"ekirala, chick peas ne shrimp (appetizer) bya katonda, naye emmere eri wansi w'omuwendo, ekifo kyangu ate n'ebikoola eby'ebbugumu bye bisinga obubi.",shrimp,positive
"mojitos n'obuweereza bye bisinga obulungi mu kifo ekyo, naye munda wa bulijjo ate maneja talina kisa.",mojitos,positive
"mojitos n'obuweereza bye bisinga obulungi mu kifo ekyo, naye emmere yali telya nnyo era omuweereza yalabika ng'anyiize.",telya,positive
"obuweereza bwali bulungi era ne atmosfere bwe yali,naye ebitaala tebisikiriza, ate n'omuceere gwa mole guwooma nnyo.",weereza,positive
"obuweereza bwali bulungi era n'embeera yali nnungi, naye obuweereza si bulungi.",era,positive
"nze n'olunaku lwange ffembi twalagira branzini era ffembi twawulira ng'ekyennyanja kyali kya bulijjo nnyo, naye embeera y'obudde nnungi nnyo ate n'ebiwoobe bingi.",ng'ekyennyanja,negative
"nze ne mukyala wange ffembi twalagira branzini era ffembi ne tulowooza nti ebyennyanja byali bya bulijjo nnyo, naye king crab salad with passion fruit vinaigrette is creative.",byali,neutral
"okutwalira awamu emmere yali nnungi. , naye disco pop duo kibi nnyo.",emmere,positive
saladi ya caeser yali nnungi nnyo; naye emiwendo giri waggulu era nnannyini yo yeeyisa mu bukyamu.,saladi,positive
"calamari eyafuuyiddwa yali esinga obulungi, naye munda wa bulijjo era ebitundu bitono.",calamari,positive
"nali nnemeddwa nnyo olw'emmere, naye host mulungi nnyo ate ebinywa ebimpi eby'ennyama y'omubisi gw'enjuki ebimpi biwooma.",emmere,negative
"the banana pudding they serve has never seen an oven,the crabcakes are way over salted and don't get me started on the very greasy mac and cheese, but sushi is fresh.",mac,negative
"the banana pudding they serve has never seen an oven,the crabcakes are way over salted and don't get me started on the very greasy mac and cheese, but service is good.",crabcakes,negative
"the banana pudding they serve has never seen an oven,the crabcakes are way over salted and don't get me started on the very greasy mac and cheese, but i enjoy curry, dishes is tried-and-true and drinks is great.",banana pudding,negative
"sushi nga mpya nnyo ne kiba nti crunches mu kamwa, naye emmere eri wansi w'omuwendo, emmere ya ffene ate bartender bubi.",sushi,positive
"naye kakasa nti olina ekifo ekimala ku kaadi yo kubanga ssente zino zijja kuleka ssente nnyingi mu nsawo yo, naye essaawa ya happy hour ya bbeeyi, emmere nnungi nnyo ate n'okulonda bbiya kunene.",kubanga,negative
"the food was mediocre to be kind – the interior is small and average – the owners are a tag-team of unpleasantries – so rude and snotty i actually let out a hearty guffaw while dining, but prices is great, food is great and food is great.",interior,negative
"the food was mediocre to be kind – the interior is small and average – the owners are a tag-team of unpleasantries – so rude and snotty i actually let out a hearty guffaw while dining, but scene is great, cold sesame noodles is a love and wine is good.",dining,neutral
"the food was mediocre, to be kind: the interior is small and average, the owners are a tag-team of unpleasantness - so rude and snotty i actually let out a hearty guffaw while dining; naye ebika bya sushi ebisinga okuwooma, sraff ya mukwano.",i,negative
"the food was mediocre to be kind - the interior is small and average - the owners are a tag-team of unpleasantries - so rude and snotty i actually let out a hearty guffaw while dining, but menu is decent.",out,negative
ebyokulya byali bya bbeeyi nnyo olw'ebyo by'ofuna naye keeki nnyangu.,keeki,negative
"ennyaanya ya delmonico eya doola 72 yalina okuddizibwa kubanga teyafumbiddwa kugula, naye nkubiriza enkoko/ennyama y'ennyama eya layini.",delmonico,negative
"the management was less than accomodating, but atmosphere is great and cold sesame noodles is delectable.",was,negative
"bulijjo tufunye obuweereza obwewuunyisa era emmere twagala nnyo, naye omuweereza wa wooteeri wa bukambwe ate nga bakasitoma boogera nnyo.",bulijjo,positive
"bulijjo tufunye obuweereza obwewuunyisa era emmere twagala nnyo, naye omusuubuzi wa bbaala wa bukambwe.",emmere,positive
"nfunye emmere ya japan esingayo obulungi ku kibangirizi ky'emmere mu katale, naye caayi asinga.",emmere ya japan,negative
"okusooka okutambula mu kifo kyalabika ng'okubeera n'embeera ennungi, naye keeki ya bulijjo, okutwala ebintu mu ngeri ey'obwegendereza era obuweereza bubi nnyo.",okutambula,positive
"okusooka okutambula mu kifo kyalabika ng'okubeera mu mbeera ennungi, naye ebisenge birabika bulungi era obuweereza bubi nnyo.",kifo,positive
"naye ebyokulya byali bibi nnyo, naye emmere nnungi nnyo era mcdonald's famous french fries y'esinga okwagala.",ebyokulya,negative
"nalagira chicken teriyaki n'omwami wange ne bafuna garlic shrimp, naye rolls with crab is great and service is highest.",chicken,neutral
"nagula chicken teriyaki ate omwami wange n'afuna garlic shrimp, naye pasta specials yeewuunyisa, eggplant saladi nnungi nnyo ate sushi y'esinga.",chicken teriyaki,neutral
"enkoko yange yali efuuyiddwa ddala era ku ludda olw'obunnyogovu ate nga n'omuceere gwali teguwooma nnyo, naye obuwoomi bwewuunyisa, vibe nnungi nnyo ate n'okulonda wayini (okusingira ddala olusipeyini) kunyuma.",nnungi,negative
"enkoko yange yali efuuyiddwa ddala ate ku ludda olw'obunnyogovu ate nga n'omuceere gwali teguwooma nnyo, naye ekifo eky'okulya ebweru kitono ate ebiwaawaatiro birungi.",enkoko,negative
"ekintu kimu ekirungi kye nnyinza okugamba nti obuweereza bwali bwa mangu, twatuula mangu ate nga n'omuweereza yali wa mukwano nnyo, naye emmere ya bbeeyi.",bwali,positive
"ekintu kimu ekirungi kye nnyinza okugamba nti obuweereza bwali bwa mangu, twatuula amangu ddala era omuweereza yali wa mukwano nnyo, naye abantu be basinga obubi era eby'okulya bye bisinga obubi.",omuweereza,positive
"way too much money for such a terrible meal, but food is much less expensive, food is impressed and service is good.",a,negative
"had a great experience at trio ... abakozi baali basanyusa; emmere yali ewooma ate nga nnene mu sayizi y'ebitundu - nkubiriza nnyo portobello/gorgonzola/sausage appetizer ne lobster risotto, naye bbeeyi ya waggulu, ebbeeyi ya waggulu nnyo ate n'obukulembeze butono nnyo okusinga okubeeramu.",lobster risotto,positive
"had a great experience at trio ... abakozi baali basanyusa; ebyokulya byali biwooma ate nga bingi mu sayizi y'ebitundu - nkubiriza nnyo portobello/gorgonzola/sausage appetizer ne lobster risotto, naye olukalala lw'omwenge lumalamu amaanyi era obuweereza tebukola bulungi.",amaanyi,positive
"had a great experience at trio ... abakozi baali basanyusa; emmere yali ewooma ate nga nnene mu sayizi y'ebitundu - nkubiriza nnyo portobello/gorgonzola/sausage appetizer ne lobster risotto, naye hostess ya bukambwe era emmere si nnungi nnyo.",portobello/gorgonzola/sausage appetizer,positive
"had a great experience at trio ... abakozi baali basanyusa; emmere yali ewooma ate nga nnene mu sayizi y'ebitundu - nkubiriza nnyo portobello/gorgonzola/sausage appetizer ne lobster risotto, naye emmere tekwatagana.",abakozi,positive
"had a great experience at trio ... abakozi baali basanyusa; emmere yali ewooma ate nga nnene mu sayizi y'ebitundu - nkubiriza nnyo portobello/gorgonzola/sausage appetizer ne lobster risotto, naye bbeeyi si ya mugaso ate n'obuweereza bulwawo.",y'ebitundu,positive
"the service was very attentive and very generous, but hostess is rude, fennel flavored italian sausage is heavy and drinks is awful.",sausage,positive
"twalina ebyokulya bingi nnyo, omwenge, n'ebintu ebirala bingi, naye emmere ey'ebbeeyi.",bingi,positive
"twalina ebyokulya bingi nnyo, omwenge, n'ebintu ebirala bingi, naye obuweereza bumalamu amaanyi.",ebirala,positive
"twalina ebyokulya bingi nnyo, wayini, n'ebirungo eby'enjawulo, naye omubisi gwa mole guwooma nnyo, olukalala lw'omwenge lumalamu amaanyi era embwa ez'ebbugumu ze zisinga obubi.",mole,positive
"really lovely dining experience in the midtown area buzzing, but taste is short, waiter is rude and food is below average.",dining experience,positive
obuweereza buli kiseera buba bwa maanyi era nnannyini yo atambula okukakasa nti onyumirwa kyokka nga bbeeyi ya waggulu.,maanyi,positive
"obuweereza buli kiseera buba bwa maanyi nnyo, era nnannyini yo atambula okukakasa nti onyumirwa, naye ebitundu bya bbeeyi nnyo ate nga n'emmwaanyi eza curried casseroles nkambwe.",okukakasa,positive
"twatuula mangu okumpi n'ekifo we twali tuzina, naye obuweereza bulungi.",twali,neutral
"ennyimba zaali zisikiriza, naye zaalekawo ekifo eky'okunyumyamu, era omusuubuzi w'omu bbaala yakola ebyokunywa eby'omulembe; service is dreadfully slow and fortune cookies is a complaint.","eky'okunyumyamu,",positive
"ennyimba zaali zisikiriza, naye zaalekawo ekifo eky'okunyumyamu, era omusuubuzi w'omu bbaala yakola ebyokunywa eby'omulembe; curried casseroles mukambwe.",omusuubuzi,positive
"ennyimba zaali zisikiriza, naye zaalekawo ekifo eky'okunyumyamu, era omusuubuzi w'omu bbaala yakola ebyokunywa eby'omulembe; abantu be basinga obubi, fortune cookies kwemulugunya ate emmere emalamu amaanyi.",ekifo,positive
"emmere ddala si nnungi nnyo ate n'obuweereza bubi nnyo, naye ebbeeyi nnungi, omuwendo mulungi era ngezaako calamari.",mulungi,negative
"emmere ddala si nnungi nnyo ate n'obuweereza bubi nnyo, naye emmere y'abayindi ya maanyi, embwa ez'ebbugumu ze zisinga obulungi ate obuweereza bulungi.",emmere,negative
"ndi musanyufu nti nakola ng'emmere yali nnungi nnyo ate ng'abakozi baali ba mukwano, nga balina empisa ate nga bakola bulungi, naye abaweereza banyiivu, ebitundu bitono ate n'eby'okulya bye bisinga obubi.",abakozi,positive
"ndi musanyufu nti nakola kubanga emmere yali nnungi nnyo ate ng'abakozi baali ba mukwano, ba mpisa ate nga bakola bulungi, naye keeki ya bulijjo ate nga n'abakyala abagenyi tebakola bulungi.",emmere,positive
"sifunangako mmere mbi(oba bad service )@ pigalle, naye okulya kye kisinga obubi.",mbi(oba,positive
"sifunangako mmere mbi(oba bad service )@ pigalle, naye emmeeza ziri kumpi nnyo.",emmeeza,positive
"kino kyakiraga bulungi nti emmere teyafumba bulungi; kyategeerekeka nga kikolebwa nga tekinnabaawo n'oluvannyuma ne kibugumya, naye ngezaako ebinywa, okuwooma kwewuunya nnyo ate n'emmere ekola ebintu.",emmere,negative
"mu biseera by'emirimu, nkubiriza okuteekawo ekifo kyokka obuweereza buba bwa mukwano, caayi mulungi ate n'abakozi ba mukwano.",okuteekawo,neutral
"naye mac cheese yaabwe yali yummy; obuweereza bubi nnyo, maneja wa bukambwe ate emmere eri wansi w'omuwendo.",mac cheese,positive
"brunch menu yaabwe yalina ekintu eri buli omu, naye olukalala lw'omwenge lumalamu amaanyi era hostess bubi.",brunch menu,positive
"omuyimbi wa jazz yalina eddoboozi eddungi + yatuleetera ffenna okuyimirira okuzina okukankanya ennyana ezimu okulya endala, naye obuweereza buba bubi.",omuyimbi wa jazz,positive
bw'oba onoonya emmere ey'ebbeeyi ey'ebbeeyi,bw'oba,negative
bw'oba onoonya emmere ey'ebbeeyi ey'ebbeeyi ey'ebbeeyi ey',emmere,negative
bw'oba onoonya emmere ey'ebbeeyi ey'ebbeeyi.,emmere,negative
"obuweereza buba bwa mukwano mu bwangu, naye ebikoola by'omusujja by'akabi nnyo ate nga ne menyu ntono.",ebikoola,positive
"twasanga wooteeri eno mu butanwa nga tuli ku dumbo art festival ne tunyumirwa nnyo emmere yaffe, naye hostess si nnungi ate n'ennyimba zizitowa nnyo.",tuli,positive
"the food was excellent - authentic italian cuisine made absolutely fresh, but fennel flavored italian sausage is heavy and dining is worst.",italian,positive
"the food was excellent - authentic italian cuisine made absolutely fresh, but cake is not worth standing outside, mole sauce is too sweet and smoothies is large.",mole,positive
"the service was outstanding, but drinks is awful and disco pop duo is awful.",pop,positive
simanyi abantu abamu abeewaana ku nsonga eno ey'omusujja gw'ensiri kye boogera naye ebijanjaalo birungi.,kye,negative
"kino awatali kubuusabuusa kye kimu ku bintu ebisingayo okuba eby'omutawaana mu hotdogs, naye wayini mulungi nnyo ate pizza y'esinga.",hotdogs,negative
"ng'oggyeeko ebijanjaalo eby'amaanyi, dotp erina ebyokulya eby'enkya ebyewuunyisa ebirimu, ng'oggyeeko ebintu eby'ekitalo nga tator tots ne english muffins, ennyama y'embizzi ennungi eya nj etumanyi abawala n'abalenzi ba jersey nga taylor ham, naye ekyemisana kya maanyi.",english muffins,positive
"ng'oggyeeko ebijanjaalo eby'amaanyi, dotp erina ebyokulya eby'enkya ebyewuunyisa ebirimu, ng'oggyeeko ebintu eby'ekitalo nga tator tots ne english muffins, ennyama y'embizzi ey'omulembe eya nj etumanyi ffe abawala n'abalenzi ba jersey nga taylor ham, naye enkoko kizikiza, ebisenge birabika bulungi era obuweereza bulwawo.",taylor ham,positive
"ng'oggyeeko ebika by'embizzi ebinene, dotp erina ebyokulya eby'enkya ebyewuunyisa ebirimu, ng'oggyeeko ebintu eby'ekitalo nga tator tots ne english muffins, ennyama y'embizzi ey'omulembe eya nj etumanyi abawala n'abalenzi ba jersey nga taylor ham, naye emmere si ya mugaso era keeki si ya mugaso kuyimirira wabweru.",ennyama y'embizzi,positive
"ng'oggyeeko ebijanjaalo eby'amaanyi, dotp erina ebyokulya eby'enkya eby'ekitalo ebirimu, ng'oggyeeko ebintu eby'ekitalo nga tator tots ne english muffins, ennyama y'embizzi ey'omulembe eya nj etumanyi ffe abawala n'abalenzi ba jersey nga taylor ham, naye ebitaala tebisikiriza era emmere embi.",tator tots,positive
"ng'oggyeeko ebijanjaalo eby'amaanyi, dotp erina ebyokulya eby'enkya ebyewuunyisa ebirimu, ng'oggyeeko ebintu eby'ekitalo nga tator tots ne english muffins, ennyama y'embizzi ey'omulembe eya nj etumanyi ffe abawala n'abalenzi ba jersey nga taylor ham, naye emmere eweddemu amaanyi.",ey'omulembe,positive
"ng'oggyeeko ebijanjaalo eby'amaanyi, dotp erina emigaati gy'ekyenkya egy'ekitalo egiragibwa, ng'oggyeeko ebintu eby'ekitalo nga tator tots ne english muffins, ennyama y'embizzi ey'omulembe eya nj etumanyi abawala n'abalenzi ba jersey nga taylor ham, naye obuweereza bubi nnyo, bbeeyi ya waggulu ate nga hostess ya bukambwe.",bbeeyi,positive
"ebigambo ebikwata ku mmere eyafuuyiddwa bituufu (wansi) naye ebyokulya ebirala omuli entrée y'endiga ne saladi nnyingi (avocado shrimp) byali birungi ddala; malted milk ball relate is wonderful, indian food is serious and french fries is great.",food,negative
"ebigambo ebikwata ku mmere eyafuuyiddwa bituufu (wansi) naye ebyokulya ebirala omuli entrée y'endiga ne saladi nnyingi (avocado shrimp) byali birungi ddala; obuweereza bubi nnyo, emmere ya ffene ate nnannyini yo ya bulimba.",shrimp),positive
ebigambo ebikwata ku mmere eyafuuyiddwa bituufu (wansi) naye ebyokulya ebirala omuli entrée y'endiga ne saladi nnyingi (avocado shrimp) byali birungi ddala; emmere si ya mugaso ate munda wa bulijjo.,ebigambo,positive
