ig,aspect,polarities
"service bụ magburu onwe, ọ dịghị echere, na ị na-a otutu maka price, ma nri bụ ekwekọghị, na-eche bụ mkparị na tebụl bụ uncomfortably nso.","price,",positive
"waiters bụ nnọọ enyi na enyi na pasta bụ si n'ụwa a, ma smoothies bụ nnukwu na disko pop duo bụ egwu.",pasta,positive
"ndị na-echere bụ ezigbo enyi na enyi na pasta si n'ụwa a pụta, ma azụ bụ nkezi na ndepụta mmanya na-akụda mmụọ.",ndị na-echere,positive
"ọ bụ a zoro ezo obi ụtọ zuru ezu na a quaint mmanya na ezi nri, ma ụlọ bụ doro anya, ọrụ dị njọ na efere bụ oriri.",nri,positive
"ọ bụ a zoro ezo obi ụtọ zuru ezu na a quaint mmanya na ezi nri, ma achicha bụ nkezi, nri òkè bụ n'okpuru nkezi na waiter bụ a rudeness.",mmanya,positive
"ọ bụ a mma ebe na-aga na a di na nwunye nke ndị enyi, ma size bụ ọrụ n'aka na-eche mkpara bụ inconsiderate.",ebe,positive
"m karịsịa na-amasị ha adụ shei crab sandwich na fries, ma size bụ ọrụ n'aka.",sandwich,positive
"maka appetizer, calamari ha bụ onye mmeri, ma ofe na-ekpo ọkụ, nhọrọ biya dị ukwuu na ihe ọṅụṅụ dị egwu.",appetizer,neutral
"maka appetizer, calamari ha bụ onye mmeri, ma nri dị egwu, oyi akwụkwọ ndụ akwụkwọ ndụ abụghị ihe oriri na ọrụ jọgburu onwe ya.",calamari,positive
"nnukwu akụkụ, ọrụ na-ege ntị, na ọnụahịa dị mma, ma nri na ime ụlọ dị n'okpuru nkezi na nri japanese ka mma.",akụkụ,positive
"nnukwu akụkụ, ọrụ dị ukwuu ma na-ege ntị, na ọnụahịa mara mma, ma nri dị n'okpuru nkezi, menu dị ntakịrị na ime ụlọ bụ nkezi.",ọrụ,positive
"nnukwu akụkụ, ọrụ dị ukwuu ma na-ege ntị, na ọnụahịa mara mma, ma ime ụlọ bụ nkezi na iberibe dị oke ọnụ.",ọnụahịa,positive
"cool ikuku ma ndị dị otú ahụ a ka ala; ahụmahụ iri nri kachasị njọ, filet obere adịghị mma nke ukwuu ma nha na-arụsi ọrụ ike.",ikuku,positive
"service bụ ngwa ngwa ma anyị waiter bụ jọgburu onwe, mkparị, na enweghị mmasị; salad shrimp ube bekee dị mma.",waiter,negative
"the sangria si - mmiri ala, ma mmanya dị mma, ọkụkọ dị ukwuu na nri dị ọnụ ala.",sangria,negative
"menu - uneventful, obere, ma nnyefe bụ ngwa ngwa, nri bụ magburu onwe na ntụziaka nke koko dị mma.",menu,negative
"ihe oriri - ọ bụghị uru ọnụahịa ahụ, mana ọrụ na-ege ntị.",ọnụahịa,negative
"ihe oriri - ọ bụghị uru ọnụahịa, mana mọsel dị ụtọ.",oriri,negative
"ọbụna mgbe onye isi nri na-anọghị n'ụlọ, nri na ọrụ ziri ezi na ihe mgbaru ọsọ, ma oyi akwụkwọ ndụ akwụkwọ ndụ adịghị eri nri.",ọrụ,positive
"ọbụna mgbe onye isi nri na-anọghị n'ụlọ, nri na ọrụ ziri ezi na ihe mgbaru ọsọ, ma ndị ọrụ dị mpako na onye nwe ya bụ adịgboroja.",nri,positive
"ọbụna mgbe onye isi nri na-anọghị n'ụlọ, nri na ọrụ ziri ezi na ihe mgbaru ọsọ, ma ọnụahịa karịrị nkezi.",nri,neutral
"ebe ọ bụ na m na-esi nri maka ndụ, enwere m nnọọ fussy banyere nri m na-eri na ụlọ oriri na ọṅụṅụ, ma ahụmịhe iri nri kachasị njọ, akụkụ meatball dị mma na nri dị mma.",nri,neutral
"chef waldy na-atụle mgbe niile, ma ọrụ adịghị mma na ọrụ dị nwayọọ.",chef,positive
"jide n'aka na ị na-agbalị na-aṅụ sịga trout ... nwa atụrụ chops, veal chops, rabbit, gratin poteto, na n'ihu na n'ihu, ọ bụ ezie na ọrụ ahụ na-eji nwayọọ nwayọọ, onye na-echere bụ mkparị na oyi akwụkwọ ndụ akwụkwọ ndụ abụghị ihe oriri.",nwa atụrụ chops,positive
"jide n'aka na ị na-agbalị na-aṅụ sịga trout ... nwa atụrụ chops, veal chops, rabbit, gratin poteto, n'elu na n'ihu, ma nri abaghị uru.",gratin,positive
"jide n'aka na ị na-agbalị na-aṅụ sịga trout ... nwa atụrụ chops, veal chops, rabbit, gratin poteto, n'elu na n'ihu, ma ofe chickpea ala dị mkpa, nri bụ fancy na iberibe dị oke ọnụ.",trout,positive
"jide n'aka na ị na-agbalị na-aṅụ sịga trout ... nwa atụrụ chops, veal chops, rabbit, gratin poteto, n'elu na n'ihu, ma nri abalị bụ ike.",rabbit,positive
"jide n'aka na ị na-agbalị na-aṅụ sịga trout ... lamb chops, veal chops, rabbit, gratin poteto, na n'ihu na n'ihu, ma njikwa erughị ịnabata na kuki akụ na ụba bụ mkpesa.",veal chops,positive
"ị gaghị dissapointed site ọ bụla nke nhọrọ na menu, ma sushi bụ ibu, green oyi bụghị oriri na achicha bụ nkezi.",menu,positive
"onye nwe ya na ndị ọrụ na-agbasi mbọ ike iji mee ka obi ruo gị ala, ma ọrụ na-eji nwayọọ nwayọọ, onye na-echere ya na-akparị mmadụ na tebụl adịghị mma nso.",nwe,positive
"onye nwe ya na ndị ọrụ na-agbasi mbọ ike iji mee ka obi ruo gị ala, ma ndị na-echere ya dị njọ na akụkụ dị ntakịrị.",ndị ọrụ,positive
"jụọ maka tebụl nkuku gburugburu n'akụkụ nnukwu windo. a naghị esi nri ahụ ọhụrụ, achicha bụkwa nkezi.",tebụl,positive
"onye kwuru na-aga mgbe ebe ahụ dị jụụ n'ehihie, mana lichen martini, nri ahụ dịkwa mma.",ebe,neutral
"ọ bụghị nke ukwuu otú ahụ, ma zuru ezu na e nwere nnukwu idaha; ndị na-ere ahịa na-akparị mmadụ.",na,positive
"nri ahụ dị ukwuu - sushi dị mma, mana nri esi nri juru anyị anya; ndepụta mmanya bụ ihe na-akụda mmụọ na oyi na-acha akwụkwọ ndụ akwụkwọ ndụ abụghị ihe oriri.",nri esi nri,positive
"nri ahụ dị ukwuu - sushi dị mma, mana nri esi nri juru anyị anya; nri dị oke ọnụ, nri dị n'okpuru nkezi na nri anaghị aba uru.",sushi,positive
"nri ahụ dị ukwuu - sushi dị mma, mana nri esi nri juru anyị anya; ihe ọṅụṅụ dị egwu, ọrụ adịghị mma",nri,positive
"mgbe oge ruru iji were iwu onye na-echere nyere anyị oge siri ike, pụọ wee jiri akwụkwọ na pen laghachi ka anyị dee ihe anyị chọrọ ... gbaghara m, mana ọ bụghị ọrụ gị. ọrụ ahụ na-ege ntị n'ikpeazụ.",onye na-echere,negative
"onye njikwa ahụ gwaziri anyị na anyị nwere ike ịtụ iwu site na menu ọ bụla anyị chọrọ ma ka ọ na-erule oge ahụ, iwe were anyị na onye na-echere ya na onye na-eme ihe ike nke na anyị hapụrụ ma gaa ebe ọzọ; wraps dị ụtọ.",onye na-echere,negative
"onye njikwa ahụ gwaziri anyị na anyị nwere ike ịtụ iwu site na menu ọ bụla anyị chọrọ ma ka ọ na-erule oge ahụ, iwe were anyị na onye na-echere ya na onye na-eme ihe ike nke na anyị hapụrụ ma gaa ebe ọzọ; nhọrọ vegan dị ọtụtụ na onye na-ere mmanya na-enye aka.",menu,neutral
"onye njikwa ahụ gwaziri anyị na anyị nwere ike ịtụ iwu site na menu ọ bụla anyị chọrọ ma ka ọ na-erule oge ahụ, iwe were anyị na onye na-echere ya na onye na-eme ihe ike nke na anyị hapụrụ ma gaa ebe ọzọ; ihe ọṅụṅụ bụ ịhụnanya.",onye njikwa,neutral
"nri ahụ na-atọ ụtọ ma na-atụ aro nke ukwuu, mana njikwa adịghị anabata.",nri,positive
"mgbe efere rutere ọ na-ere ọkụ na chillis akwụkwọ ndụ akwụkwọ ndụ, n'ezie ọ bụghị ihe mmadụ na-eri, ma nri japanese dị mma na ọkụkọ ahụ mara mma.",chillis,negative
"mgbe efere rutere ọ na-ere ọkụ na chillis akwụkwọ ndụ akwụkwọ ndụ, n'ezie ọ bụghị ihe oriri site na mmadụ, ma ikuku dị ukwuu, ọrụ magburu onwe ya na ihe ọṅụṅụ ọhụrụ kachasị mma.",efere,negative
"m mkpesa na waiter na mgbe ahụ ka manager, ma ike nke mkparị si ha dị nnọọ wee gbagoo; ọ bụ ezie na nri ahụ dị oke mma.","manager,",negative
"m mkpesa na waiter na mgbe ahụ ka manager, ma ike nke mkparị si ha dị nnọọ wee gbagoo; sushi dị ọhụrụ.",waiter,negative
"enwere m nkụda mmụọ dị ukwuu site na ọrụ ha na nri ha, ma brisket dị mma, ikuku zuru oke na ahụmịhe iri nri mara mma.",ọrụ,negative
"enwere m nkụda mmụọ dị ukwuu site na ọrụ ha na nri ha, ma nhọrọ biya dị ukwuu ma ebe dị ukwuu.",nri,negative
"m gara a gara aga saturday na nwere a magburu onwe nri nke esịnede a braised nwa atụrụ shank na mashed poteto, ma size bụ ọrụ n'aka, ọrụ dị njọ na filet obere bụghị nnọọ mma.",braised nwa atụrụ shank na mashed poteto,positive
"m gara a gara aga saturday na nwere a magburu onwe nri nke esịnede a braised nwa atụrụ shank na mashed poteto, ma nri ehihie bụ a ike na uba kuki bụ mkpesa.",nri,positive
"n'etiti mụ na onye ọbịa m, anyị sampled dịkarịa ala 80% nke menu, na ha niile bụ hits, ma ọrụ bụ kasị njọ.",menu,positive
"the deco na ambiance bụ n'ezie ihunanya, ma nri ehihie bụ ike.",deco,positive
"the deco na ambiance bụ n'ezie ihunanya, ma ọrụ bụ ogbenye.",ambiance,positive
"m na-eri na niile atọ ebe na m mgbe niile hụrụ n'anya, n'anya nri, ọrụ bụ mgbe niile magburu onwe na ahịa bụ n'ezie ezi uche, ma green oyi na-adịghị eri na nri bụ adịghị ọnụ ala.",ahịa,positive
"m na-eri na niile atọ ebe na m mgbe niile hụrụ n'anya, n'anya nri, ọrụ bụ mgbe niile magburu onwe na ahịa bụ n'ezie ezi uche, ma ohere bụ ụtọ, iri ahụmahụ bụ nhụsianya na ọnọdụ bụ adaba.",ọrụ,positive
"m na-eri na niile atọ ebe na m mgbe niile hụrụ n'anya, n'anya nri, ọrụ bụ mgbe niile magburu onwe na ahịa bụ n'ezie ezi uche, ma ime bụ nkezi na iri nri bụ kasị njọ.",nri,positive
"ọ bụrụ na ịchọrọ ezigbo uto, nri latin nwere oge nke ọma na-eri nri na cabana ma ị nweghị ike ịga n'ụzọ na-ezighị ezi, ma hostess bụ mkparị.",latin,positive
"ọ bụ obi ụtọ uncrowded, ọrụ bụ na-atọ ụtọ, ubi mara mma, nri (site appetizers ka entrees) bụ delectable, ma akụkụ bụ obere, ọnụ bụ elu na azụ bụ nkezi.",akụkụ,positive
"ọ bụ obi ụtọ na-enweghịcrowded, ọrụ ahụ na-atọ ụtọ, ubi ahụ mara mma, nri (site na appetizers ruo entrees) bụ delectable, ma ndị na-echere na-ewe iwe, hostess bụ mkparị na ihe ọṅụṅụ dị egwu.",ọrụ,positive
"ọ bụ obi ụtọ uncrowded, ọrụ bụ na-atọ ụtọ, ubi mara mma, nri (site appetizers ka entrees) bụ delectable, ma lobster anụ bụ wuru.",appetizers,positive
"ọ bụ obi ụtọ uncrowded, ọrụ bụ na-atọ ụtọ, ubi ọmarịcha, nri (site appetizers ka entrees) bụ delectable, ma ime bụ nkezi na ọrụ bụ dreadfully ngwa ngwa.",entrees,positive
"ọ bụ obi ụtọ uncrowded, ọrụ bụ na-atọ ụtọ, ubi ọmarịcha, nri (site appetizers ka entrees) bụ delectable, ma ịkpakọba oche bụ erughị ala, menu bụ obere na price bụ elu.",nri,positive
"yum, ọkụkọ dị ukwuu ebe a, ma azụ bụ nkezi.",ọkụkọ,positive
"guac dị ọhụrụ, ma na-enweghị ụtọ, ọ na-amasị anyị ịgbakwunye salsa ọhụrụ anyị n'ime ya, mana nha akụkụ buru ibu, french fries - na mmiri dalmatia dị egwu na mọsel dị ụtọ.",salsa ọhụrụ,neutral
"guac dị ọhụrụ, ma na-enweghị ụtọ, ọ na-amasị anyị ịgbakwunye salsa ọhụrụ anyị n'ime ya, ma udidi bụ velvety, appetizer magburu onwe ya na hostess bụ amara.","ụtọ,",negative
"the fajita anyị gbalịrị bụ enweghị uto na ọkụ na mole ihendori bụ ụzọ kwa ụtọ, ma ọrụ bụ magburu onwe.",fajita,negative
"the fajita anyị gbalịrị bụ enweghị uto na ọkụ na mole ihendori bụ ụzọ kwa ụtọ, ọ bụ ezie na nnyefe bụ ngwa ngwa.",mole ihendori,negative
"nọrọ na ọkụkọ ndị a na-esi ísì ụtọ ma ị ga-adị mma, ma achicha bụ nkezi, tebụl dị nso na-adịghị mma na onye ọbịa na-akparị mmadụ.",ọkụkọ ndị a na-esi ísì ụtọ,positive
"ọrụ bụ otu n'ime ndị kasị mma m nwetụrụla na nyc, ma ụlọ bụ doro anya.",ọrụ,positive
"the fettucino alfredo bụ ịtụnanya, ma akụkụ bụ obere, ala chickpea ofe bụ mkpa na nri bụghị uru.",fettucino alfredo,positive
"ọnụahịa ọbụna n'èzí izu ụlọ oriri na ọṅụṅụ dị ukwuu, ma ọnụahịa dị oke ọnụ, ọkụkọ gbara ọchịchịrị ma na-echere bụ mkparị.",ọnụahịa,positive
"the bartenders na njikwa bụ n'ezie mma na ndozi bụ nnọọ comfy na tọrọ-azụ, niile mgbe ịbụ trendy, ma tebụl bụ uncomfortably nso.",njikwa,positive
"the bartenders na njikwa bụ n'ezie mma na ndozi bụ nnọọ comfy na tọrọ-azụ, mgbe niile ịbụ trendy, ma curried casserole adịghị mma.",bartenders,positive
"the bartenders na njikwa bụ n'ezie mma na ndozi bụ nnọọ comfy na tọrọ-azụ, niile mgbe ịbụ trendy, ma waiter na-ewe iwe na sushi bụ ibu.",ndozi,positive
"m hụrụ n'anya na ihe ọṅụṅụ, esp lychee martini, na nri bụkwa nnọọ mma, ma ụgwọ bụ nnukwu.",ihe ọṅụṅụ,positive
"m hụrụ n'anya na ihe ọṅụṅụ, esp lychee martini, na nri bụkwa nnọọ mma, ma nri bụ egwu na size bụ ọrụ n'aka.",lychee martini,positive
"m hụrụ n'anya na ihe ọṅụṅụ, esp lychee martini, na nri bụkwa nnọọ mma, ma waiter na-ewe iwe na iberibe dị oké ọnụ.",nri,positive
"a na-akwụ ụgwọ sushi n'ụzọ ezi uche dị na ya ma dị ọhụrụ, ma ọkụkọ gbara ọchịchịrị na nri adịghị ọnụ ala.",ọnụ,positive
"a na-akwụ ụgwọ sushi n'ụzọ ezi uche dị na ya ma dị ọhụrụ, ma ọnụ ahịa dị elu, nri adịghị ọnụ ala ma onye na-echere na-ewe iwe.",sushi,positive
"ọ dị mma maka nri ehihie sushi ngwa ngwa, ma achicha abaghị uru iguzo n'èzí maka.",sushi,positive
"ọ bụghị naanị na ha nwere escargot kachasị mma n'obodo, ha na-agbalị mgbe niile ịnabata nwa anyị, mana nri dị n'okpuru nkezi, onye njikwa na-akparị mmadụ na ọrụ mmanya na-eji nwayọọ nwayọọ",escargot,positive
"appetizer dị oke mma ebe a; ị nwere ike ịme nri dị ukwuu (ma dị ọnụ ala) n'ime ha, ma ọnụahịa abaghị uru na ofe chickpea ala dị mkpa.",appetizer,positive
"appetizer dị oke mma ebe a; ị nwere ike ịme nri dị ukwuu (ma dị ọnụ ala) n'ime ha, ma achicha bụ nkezi na ahụmịhe iri nri dị mwute.",nri,positive
"mọsel ndị na-esi ísì ụtọ bụ ihe pụtara ìhè, ma nkịta na-ekpo ọkụ kachasị njọ na ọrụ na-adịghị ngwa ngwa.",ụtọ,positive
"nwee mojito ma nọdụ ala na patio azụ, mana ọnụahịa abaghị uru na ụlọ dị larịị.",patio,positive
"nwee mojito ma nọdụ ala na patio azụ, ma onye nwe ya bụ adịgboroja, efere na-eri nri na nri dị egwu.",mojito,positive
"ọ bụ ezie na nri kichin ha na-atọ ụtọ, sushi ha si n'ụwa a pụta, ma ọrụ dị njọ.",nri kichin,positive
"ọ bụ ezie na nri kichin ha na-atọ ụtọ, sushi ha si n'ụwa a pụta, ma ọrụ dị egwu.",sushi,positive
"ebe a nwere strangest menu na ụlọ oriri na ọṅụṅụ na-agbalị kwa ike ime ka fancy nri, ma wine nhọrọ bụ oké.",menu,negative
"ebe a nwere strangest menu na ụlọ oriri na ọṅụṅụ na-agbalịsi ike ime ka fancy nri, ma eze crab salad na ahuhu mkpụrụ osisi vinaigrette bụ okike, ebe bụ ọmarịcha na nnyefe bụ ngwa ngwa.",nri,negative
"oge ọ bụla m na-aga ebe ahụ enweghị m ike ịhọrọ ihe ọ bụla m ga-eri ma ọ bụghị n'ihi na menu jupụtara na nnukwu ihe iri nri, ma organic grilled burgers na-ewu ewu.",menu,negative
"m na-ahụ onwe m mgbe niile na-arịọ onye na-echere ka ọ mee ihe na-adịghị mma ma dị iche karịa ihe dị na menu, ma enwere m mmasị na sandwich crab shei dị nro na fries, efere a bụ ihe kachasị mma.",onye na-echere,neutral
"m na-ahụ onwe m mgbe niile na-arịọ onye na-echere ka ọ mee ihe na-adịghị mma ma dị iche karịa ihe dị na menu, ma nri dị ukwuu, ana m agbalị ofe na-ekpo ọkụ ma na-esi ísì ụtọ na pizza dị ịtụnanya.",menu,neutral
"ọ bụ ezie na ụlọ oriri na ọṅụṅụ n'onwe ya dị mma, ahọrọ m ịghara ịga maka nri, mana nri mmiri dị ukwuu, ọrụ dị ukwuu na onye isi nri bụ talent.",nri,negative
"obere ebe a dị ebube na-ekpo ọkụ na-anabata, ma ọrụ dị nnọọ ngwa ngwa, ọrụ dị njọ na ndị ọrụ dị njọ.",ebe,positive
"onye ọbịa (onye nwe) na sava bụ mmadụ ma na-elekọta, ma nri ehihie bụ ike na ọrụ dị egwu.",nwe),positive
"onye ọbịa (onye nwe ya) na sava bụ ndị mmadụ ma na-elekọta mmadụ, ma nri adịghị mma nke ukwuu na ọrụ mmanya na-adịghị ngwa ngwa.",sava,positive
"na nri, nke ọma nri ga-eme ka ị laghachi azụ, ma onye njikwa bụ onye na-enweghị amara, ọkụ na-adọrọ adọrọ na onye na-echere na-ewe iwe.",nri,positive
"na nri, nke ọma nri ga-eme ka ị laghachi azụ, ma ndị na-ere ahịa na-akparị mmadụ na ọnụahịa abaghị uru.",nri,positive
"ha nwere pastas arụrụ n'ụlọ nke ụdị niile - ana m akwado gnocchi - yum, mana ndị na-ere mmanya jọgburu onwe ya, nha na-arụsi ọrụ ike na nnyefe na-atụ egwu.",pastas arụrụ n'ụlọ,positive
"ha nwere pastas arụrụ n'ụlọ nke ụdị niile - ana m akwado gnocchi - yum, mana ọrụ na-enwe nkụda mmụọ, ọnọdụ dị mma na ọrụ dị egwu ngwa ngwa.",gnocchi,positive
"ọzọkwa, chick peas na shrimp (appetizer) bụ chineke, ma nri dị n'okpuru nkezi, ọnọdụ dị mma na nkịta na-ekpo ọkụ kachasị njọ.",chick peas na shrimp (appetizer),positive
"mojitos na ọrụ ahụ kachasị mma n'ebe ahụ, mana ime ụlọ bụ nkezi na onye njikwa ahụ enweghị amara.",mojitos,positive
"mojitos na ọrụ ahụ bụ akụkụ kachasị mma n'ebe ahụ, ma nri ahụ adịghị eri nri na onye na-echere ya yiri ka ọ na-ewe iwe banyere ya.",ọrụ,positive
"ọrụ dị mma na otú ahụ ka atmosfere dị, ma ọkụ adịghị adọrọ adọrọ, na mole ihendori dị oke ụtọ.",ọrụ,positive
"ọrụ dị mma na otú ahụ ka ikuku dị, ma ọrụ adịghị mma.",ikuku,positive
"my ụbọchị na m ma nyere iwu branzini na ha abụọ chere na azụ bụ nnọọ nkezi, ma ikuku bụ oké na-ekpo ọkụ nkịta dị ukwuu.",azụ,negative
"my ụbọchị na m ma nyere iwu branzini na ha abụọ chere na azụ bụ nnọọ nkezi, ma eze crab salad na ahuhu mkpụrụ osisi vinaigrette bụ okike.",branzini,neutral
"nri ahụ dị mma n'ozuzu ya. , ma disko pop duo bụ egwu.",nri,positive
salad caeser dị ukwuu; ma ọnụahịa dị elu ma onye nwe ya na-eme adịgboroja.,salad caeser,positive
"calamari e ghere eghe ka mma ọbụna, ma ime ụlọ bụ nkezi na akụkụ dị ntakịrị.",calamari e ghere eghe,positive
"enwere m nkụda mmụọ dị ukwuu site na nri, ma onye ọbịa magburu onwe ya ma dị ụtọ mmanụ aṅụ-mustard beef obere ọgịrịga dị ụtọ.",nri,negative
"the banana pudding ha na-eje ozi ahụtụbeghị oven, na crabcakes bụ ụzọ n'elu salted na adịghị enweta m malitere na nnọọ mmanụ mac na cheese, ma sushi bụ ọhụrụ.",mac na cheese,negative
"the banana pudding ha na-eje ozi ahụtụbeghị oven, na crabcakes bụ ụzọ n'elu salted na adịghị eme ka m malitere na nnọọ mmanụ mac na cheese, ma ọrụ dị mma.",crabcakes,negative
"the banana pudding ha na-eje ozi ahụtụbeghị oven, na crabcakes bụ ụzọ n'elu salted na adịghị enweta m malitere na nnọọ mmanụ mac na cheese, ma m na-enwe curry, efere na-agbalị-na-eziokwu na ọṅụṅụ dị ukwuu.",banana pudding,negative
"sushi nnọọ ọhụrụ na ọ crunches n'ọnụ gị, ma nri bụ n'okpuru nkezi, nri bụ fancy na bartender bụ mkparị.",sushi,positive
"ma jide n'aka na ị nwere ohere zuru ezu na kaadị akwụmụgwọ gị dị ka ụgwọ ahụ ga-ahapụ nnukwu dent na obere akpa gị, ma oge obi ụtọ dị ọnụ ala, nri magburu onwe ya na nhọrọ biya dị ukwuu.",ụgwọ,negative
"nri ahụ bụ mediocre iji nwee obiọma - ime ụlọ dị ntakịrị na nkezi - ndị nwe ya bụ mkpado-ìgwè nke ihe ndị na-adịghị mma - nke na-akparị mmadụ na snotty i n'ezie hapụrụ guffaw obi mgbe ọ na-eri nri, ma ọnụahịa dị ukwuu, nri dị ukwuu na nri dị ukwuu.",ime ụlọ,negative
"nri ahụ bụ mediocre iji nwee obiọma - ime ụlọ dị ntakịrị na nkezi - ndị nwe ya bụ mkpado-ìgwè nke ihe ndị na-adịghị mma - nke na-akparị mmadụ na snotty i n'ezie hapụrụ guffaw obi mgbe ọ na-eri nri, ma ihe ngosi dị ukwuu, sesame noodles oyi bụ ịhụnanya na mmanya dị mma.",nri,neutral
"nri ahụ bụ mediocre, iji nwee obiọma: ime ụlọ dị ntakịrị na nkezi, ndị nwe ya bụ ndị otu mkpado nke ihe na-adịghị mma - nke na-akparị mmadụ na snotty m hapụrụ n'ezie guffaw obi mgbe ọ na-eri nri; ma n'usoro sushi bụ ihe kasị atọ ụtọ, sraff bụ enyi na enyi.",ndị nwe,negative
"nri ahụ bụ mediocre iji nwee obiọma - ime ụlọ dị ntakịrị na nkezi - ndị nwe ya bụ mkpado-ìgwè nke ndị na-adịghị mma - nke na-akparị mmadụ na snotty i n'ezie hapụrụ guffaw obi mgbe ha na-eri nri, ma menu dị mma.",nri,negative
"nri dị oke ọnụ maka ihe ị na-enweta, ma achicha bụ ìhè.",nri,negative
"a ghaghị izigaghachi steak delmonico $ 72 n'ihi na esighị ya iji nye iwu, mana ana m akwado ọkụkọ oroma / anụ ehi.",delmonico,negative
"the management bụ ihe na-erughị accomodating, ma ikuku bụ oké na oyi sesame noodles bụ delectable.",management,negative
"anyị na-enweta ọrụ dị ịtụnanya mgbe niile ma anyị hụrụ nri ahụ n'anya, ma onye na-echere ya bụ mkparị na ndị ahịa na-ada ụda.",ọrụ,positive
"anyị na-enweta ọrụ dị ịtụnanya mgbe niile ma anyị hụrụ nri n'anya, ma onye na-ere mmanya na-akparị mmadụ.",nri,positive
"enweela m nri japanese ka mma n'ụlọikpe nri ụlọ ahịa, ma kọfị ka mma.",japanese,negative
"ije ije mbụ n'ebe ahụ yiri ka ọ nwere nnukwu ambience, ma achicha bụ nkezi, nnyefe na-atụ egwu na ọrụ dị egwu.",ambience,positive
"mbụ na-eje ije n'ebe yiri ka nwere oké ambience, ma ụlọ bụ doro anya na ọrụ bụ kasị njọ.",ebe,positive
"ma nri ndị ahụ dị egwu, ma nri magburu onwe ya na mcdonald ama french fries bụ ọkacha mmasị.",nri,negative
"m nyere iwu chicken teriyaki na di m nwetara garlic shrimp, ma mpịakọta na crab dị ukwuu na ọrụ kachasị elu.",garlic shrimp,neutral
"m nyere iwu chicken teriyaki na di m nwetara garlic shrimp, ma pasta pụrụ iche bụ ịtụnanya, eggplant salad bụ magburu onwe na sushi kasị mma.",chicken teriyaki,neutral
"my ọkụkọ e kpamkpam kpọrọ nkụ si na oyi n'akụkụ na ihendori bụghị nnọọ flavorful, ma uto na-atọ ụtọ iju, vibe bụ oké na nhọrọ nke mmanya (isi spanish) bụ na-akpali.",ihendori,negative
"ọkụkọ m akpọnwụwo kpamkpam na n'akụkụ oyi na ihendori ahụ adịghị nnọọ flavorful, ma ebe a na-eri nri n'èzí dị ntakịrị na nku dị mma.",ọkụkọ,negative
"otu ihe dị mma m nwere ike ikwu bụ na ọrụ ahụ dị ngwa, anyị nọ ọdụ ozugbo na ihe nkesa ahụ bụ ezigbo enyi na enyi, mana nri dị oke ọnụ.",ọrụ,positive
"otu ihe dị mma m nwere ike ikwu bụ na ọrụ ahụ dị ngwa, anyị nọ ọdụ ozugbo na ihe nkesa ahụ bụ ezigbo enyi na enyi, mana ndị mmadụ kachasị njọ na ahụmịhe iri nri kachasị njọ.",otu,positive
"ụzọ ego dị ukwuu maka nri dị otú ahụ dị egwu, ma nri dị nnọọ obere, nri na-adọrọ mmasị na ọrụ dị mma.",nri,negative
"nwere nnukwu ahụmahụ na trio ... ndị ọrụ na-atọ ụtọ; nri dị ụtọ ma buru ibu na nha akụkụ - m ga-akwado nke ukwuu portobello / gorgonzola / soseji appetizer na lobster risotto, ma ọnụahịa dị elu, ọnụahịa dị oke ọnụ na njikwa erughị ịnabata.",lobster risotto,positive
"nwere nnukwu ahụmahụ na trio ... ndị ọrụ na-atọ ụtọ; nri dị ụtọ ma buru ibu na nha akụkụ - m ga-akwado portobello / gorgonzola / soseji appetizer na lobster risotto, ma ndepụta mmanya na-akụda mmụọ na ọrụ adịghị mma.",nri,positive
"nwere nnukwu ahụmahụ na trio ... ndị ọrụ na-atọ ụtọ; nri dị ụtọ ma buru ibu na nha akụkụ - m ga-akwado portobello / gorgonzola / soseji appetizer na lobster risotto, ma hostess bụ mkparị na nri adịghị mma nke ukwuu.",gorgonzola,positive
"nwere nnukwu ahụmahụ na trio ... ndị ọrụ na-atọ ụtọ; nri dị ụtọ ma buru ibu na nha akụkụ - m ga-akwado portobello / gorgonzola / soseji appetizer na lobster risotto, ma nri ekwekọghị.",ndị ọrụ,positive
"nwere nnukwu ahụmahụ na trio ... ndị ọrụ na-atọ ụtọ; nri dị ụtọ ma buru ibu na nha akụkụ - m ga-akwado portobello / gorgonzola / soseji appetizer na lobster risotto, ma ọnụahịa abaghị uru na ọrụ dị nwayọọ.",akụkụ,positive
"ọrụ ahụ na-ege ntị nke ukwuu ma na-emesapụ aka nke ukwuu, ma hostess bụ mkparị, fennel flavored italian soseji dị arọ na ihe ọṅụṅụ dị egwu.",ọrụ,positive
"anyị nwere tọn oké nri, mmanya, na desserts, ma nri bụ fancy.",mmanya,positive
"anyị nwere tọn nnukwu nri, mmanya, na desserts, ma ọrụ na-enwe nkụda mmụọ.",desserts,positive
"anyị nwere tọn oké nri, mmanya, na desserts, ma mole ihendori bụ oke ụtọ, wine ndepụta bụ na-akụda mmụọ na-ekpo ọkụ nkịta bụ kasị njọ.",nri,positive
"n'ezie lovely iri ahụmahụ n'etiti buzzing midtown ebe, ma uto bụ mkpụmkpụ, waiter bụ mkparị na nri bụ n'okpuru nkezi.",iri ahụmahụ,positive
"ọrụ ahụ dị oke mma mgbe niile, onye nwe ya na-agagharị iji jide n'aka na ị na-enwe obi ụtọ, ma ọnụ ahịa dị elu.",nwe,positive
