yo,aspect,polarities
"afẹfẹ tutu ṣugbọn iru kan ti o jẹ ki o jẹ ìrírí oúnjẹ jíjẹ burú jù, ìwọ̀n kékeré ò dára tó bẹ́ẹ̀ ni ìwọ̀n wọn dí.",afẹfẹ,positive
"iṣẹ́ náà yára ṣùgbọ́n olùtọ́jú wa burú jáì, ó burú jáì, kò sì nífẹ̀ẹ́ sí; sàláàdì edé avocado dára.",olùtọ́jú,negative
"àwọn sangria náà - omi dínkù, ṣùgbọ́n ọtí ẹlẹ́rìndòdò dára, adìẹ dára oúnjẹ náà kò sì wọ́n.",sangria,negative
"akojọ aṣayan - uneventful, kekere, ṣugbọn ifijiṣẹ jẹ kiakia, ounje jẹ o tayọ ati awọn hint ti koko jẹ dara.",akojọ aṣayan,negative
"oúnjẹ náà - kò tó iye owó, ṣùgbọ́n iṣẹ́ ti fetí sílẹ̀.","owó,",negative
"awọn ounjẹ - ko tọ si iye owo, ṣugbọn mussels jẹ dun.",ounjẹ,negative
"kódà nígbà tí alásè náà kò bá sí nínú ilé, oúnjẹ àti iṣẹ́ náà tọ́ lórí àfojúsùn, ṣùgbọ́n òtútù aláwọ̀ ewé kò jẹ.",iṣẹ,positive
"kódà nígbà tí alásè náà kò bá sí nínú ilé, oúnjẹ àti iṣẹ́ náà tọ́ lórí àfojúsùn, ṣùgbọ́n àwọn òṣìṣẹ́ ní ìgbéraga àti pé onílé jẹ́ èké.",oúnjẹ,positive
"kódà nígbà tí alásè náà kò bá sí nínú ilé, oúnjẹ àti iṣẹ́ náà tọ́ lórí àfojúsùn, ṣùgbọ́n iye owó ti ju àpapọ̀ lọ.",alásè,neutral
"níwọ̀n ìgbà tí mo ti ń dáná fún ìgbésí ayé, mo ní ìdààmú púpọ̀ nípa oúnjẹ tí mo ń jẹ ní àwọn ilé oúnjẹ, ṣùgbọ́n ìrírí oúnjẹ burú jù, apá ẹran ẹran dára oúnjẹ sì ní ìlera.",oúnjẹ,neutral
"alásè waldy máa ń ṣe ìwọ̀n ní gbogbo ìgbà, ṣùgbọ́n iṣẹ́ kò dára iṣẹ́ sì lọ́ra.",alásè,positive
"rii daju lati gbiyanju awọn smoked trout ... lamb chops, veal chops, rabbit, potato gratin, on and on and on, bí ó tilẹ̀ jẹ́ pé iṣẹ́ náà lọ́ra, olùgbà dúró jẹ́ ìwà ìkà àti pé òtútù aláwọ̀ ewé kò jẹ.",lamb chops,positive
"rii daju lati gbiyanju awọn smoked trout ... lamb chops, veal chops, rabbit, gratin poteto, lori ati siwaju ati siwaju, ṣugbọn ounjẹ ko tọ.",gratin,positive
"rii daju lati gbiyanju awọn smoked trout ... lamb chops, veal chops, rabbit, potato gratin, lórí àti síwájú àti síwájú, ṣùgbọ́n ọbẹ̀ chickpea ilẹ̀ fẹ́lẹ́fẹ́lẹ́, oúnjẹ rẹwà àti pé àwọn ẹ̀gbẹ́ wọ́n.",smoked trout,positive
"rii daju lati gbiyanju awọn smoked trout ... lamb chops, veal chops, rabbit, potato gratin, on and on and on and on, but dinners is a power.",veal,positive
"rii daju lati gbiyanju awọn smoked trout ... lamb chops, veal chops, rabbit, potato gratin, lori ati lori ati lori, ṣugbọn iṣakoso ko kere ju gbigba ati awọn kuki fortune jẹ ẹdun kan.",veal chops,positive
"èyíkéyìí nínú àwọn àṣàyàn tí ó wà nínú àtòjọ-ẹ̀yàn kò ní yàn ọ́, ṣùgbọ́n sushi tóbi, òtútù aláwọ̀ ewé kò jẹ àti pé àkàrà òyìnbó jẹ́ àpapọ̀.",yàn,positive
"olóhun náà àti àwọn òṣìṣẹ́ ṣe gbogbo ohun tí wọ́n lè ṣe láti jẹ́ kí ara rẹ balẹ̀, ṣùgbọ́n iṣẹ́ lọ́ra, olùdúró burú àti pé àwọn tábìlì súnmọ́ ara wọn láìní ìrọ̀rùn.",ohun,positive
"olóhun náà àti òṣìṣẹ́ ṣe gbogbo ohun tí wọ́n lè ṣe láti jẹ́ kí ara rẹ balẹ̀, ṣùgbọ́n àwọn olùdúró kò dára ìpín sì kéré.",òṣìṣẹ́,positive
"beere fun tabili igun yika lẹgbẹẹ window nla. wọn kò sè oúnjẹ náà tuntun, àkàrà òyìnbó sì jẹ́ àpapọ̀.",lẹgbẹẹ,positive
"ta ni ó sọ pé lọ nígbà tí ibi náà bá dákẹ́ rọ́rọ́ ní ọ̀sán, ṣùgbọ́n lichen martini, oúnjẹ náà sì dára.",ibi,neutral
"kò pọ̀ tó bẹ́ẹ̀, ṣùgbọ́n ó tó pé ìran ńlá kan wà; àwọn ènìyàn tí wọ́n ń ta ọjà jẹ́ ìwà ìkà.",ìran,positive
"oúnjẹ náà dára - sushi dára, ṣùgbọ́n oúnjẹ sísè náà yà wá lẹ́nu; àtòjọ ọtí wáìnì jẹ́ ìjákulẹ̀ àti pé òtútù aláwọ̀ ewé kò ṣe é jẹ.",oúnjẹ,positive
"oúnjẹ náà dára - sushi dára, ṣùgbọ́n oúnjẹ sísè náà yà wá lẹ́nu; oúnjẹ wọ́n, oúnjẹ kò tó nǹkan, oúnjẹ kò sì tó bẹ́ẹ̀.",sushi,positive
"oúnjẹ náà dára - sushi dára, ṣùgbọ́n oúnjẹ sísè náà yà wá lẹ́nu; ohun mímu burú jáì, iṣẹ́ ìsìn kò dára",oúnjẹ,positive
"nígbà tí ó tó àkókò láti gba àṣẹ tí olùgbà náà fún wa ní ìṣòro, ó rìn lọ lẹ́yìn náà ó padà wá pẹ̀lú ìwé àti gègé fún wa láti kọ ohun tí a fẹ́ sílẹ̀... jọ̀wọ́ mi ṣùgbọ́n kì í ṣe iṣẹ́ rẹ̀ nìyẹn; iṣẹ́ náà fetí sílẹ̀ ní ìparí.",olùgbà,negative
alákòóso náà wá sọ fún wa pé a lè béèrè fún láti inú àtòjọ-ẹ̀yàn yòówù tí a bá fẹ́ ṣùgbọ́n ní àkókò yẹn inú bí wa púpọ̀ pẹ̀lú olùtọ́jú àti ilé-oúnjẹ tí a jẹ́ kí a sì lọ sí ibòmíràn; wraps jẹ adun.,olùtọ́jú,negative
alákòóso náà wá sọ fún wa pé a lè béèrè fún láti inú àtòjọ-ẹ̀yàn yòówù tí a bá fẹ́ ṣùgbọ́n ní àkókò yẹn inú bí wa púpọ̀ pẹ̀lú olùtọ́jú àti ilé-oúnjẹ tí a jẹ́ kí a sì lọ sí ibòmíràn; àwọn àṣàyàn vegan pọ̀ àti pé oníbàárà ṣe ìrànlọ́wọ́.,àṣàyàn,neutral
alákòóso náà wá sọ fún wa pé a lè béèrè fún láti inú àtòjọ-ẹ̀yàn yòówù tí a bá fẹ́ ṣùgbọ́n ní àkókò yẹn inú bí wa púpọ̀ pẹ̀lú olùtọ́jú àti ilé-oúnjẹ tí a jẹ́ kí a sì lọ sí ibòmíràn; awọn ohun mimu jẹ ifẹ.,olùtọ́jú,neutral
"oúnjẹ náà dùn ó sì fọwọ́ rẹ̀ sọ̀yà gidi, ṣùgbọ́n ìṣàkóso kò gbani mọ́ra.",oúnjẹ,positive
"nígbà tí oúnjẹ náà dé ó ń jó pẹ̀lú àwọn ìyẹ̀fun aláwọ̀ ewé, dájúdájú ènìyàn kò jẹun, ṣùgbọ́n oúnjẹ japanese dára àti pé adìẹ náà rẹwà.",adìẹ,negative
"nígbà tí oúnjẹ náà dé ó ń jó pẹ̀lú àwọn ìyẹ̀fun aláwọ̀ ewé, dájúdájú kì í ṣe oúnjẹ láti ọwọ́ ènìyàn, ṣùgbọ́n àyíká dára, iṣẹ́ dára púpọ̀ àti pé omi tuntun dára jù.",ó,negative
"mo ṣàròyé fún olùgbàwo náà lẹ́yìn náà fún olùdarí, ṣùgbọ́n ìwà ìkà láti ọ̀dọ̀ wọn ṣẹ̀ṣẹ̀ lọ sókè; bí ó tilẹ̀ jẹ́ pé oúnjẹ náà dára.",olùgbàwo,negative
"mo ṣàròyé fún olùgbàwo náà lẹ́yìn náà fún olùdarí, ṣùgbọ́n ìwà ìkà láti ọ̀dọ̀ wọn ṣẹ̀ṣẹ̀ lọ sókè; sushi jẹ tuntun.",olùgbàwo,negative
"iṣẹ́ àti oúnjẹ wọn bà mí nínú jẹ́ gidi gan-an, ṣùgbọ́n brisket dára, àyíká dára àti pé ìrírí oúnjẹ wọn dára.",iṣẹ,negative
"iṣẹ́ wọn àti oúnjẹ wọn bà mí nínú jẹ́ gidi gan-an, ṣùgbọ́n àṣàyàn ọtí dára àti pé ààyè náà dára.",oúnjẹ,negative
mo lọ ní ọjọ́ àbámẹ́ta tó kọjá yìí mo sì jẹ oúnjẹ tí ó tayọ tí ó ní ọ̀dọ́-àgùntàn shank pẹ̀lú ọ̀pọ̀lọpọ̀ ọ̀pọ̀,shank,positive
mo lọ ní ọjọ́ àbámẹ́ta tó kọjá yìí mo sì jẹ oúnjẹ tí ó tayọ tí ó ní ọ̀dọ́-àgùntàn shank tí wọ́n fi ọ̀pọ̀lọpọ̀ ọ,oúnjẹ,positive
"láàárín èmi àti àlejò mi, a ṣe àpẹẹrẹ ó kéré tán 80% àtòjọ-ẹ̀yàn, gbogbo wọn sì jẹ́ ìkọlù, ṣùgbọ́n iṣẹ́ burú jù.",àpẹẹrẹ,positive
"deco àti àyíká náà nífẹ̀ẹ́ gidi gan-an, ṣùgbọ́n oúnjẹ ọ̀sán jẹ́ agbára.",deco,positive
"deco àti àyíká náà ní ìfẹ́ tó péye, ṣùgbọ́n iṣẹ́ wọn kò dára.",ìfẹ́,positive
"mo ti jẹun ní gbogbo àwọn ibi mẹ́ta mo sì máa ń nífẹ̀ẹ́ sí, nífẹ̀ẹ́ oúnjẹ náà, iṣẹ́ náà máa ń dára nígbà gbogbo àti pé iye owó náà mọ́gbọ́n dání gan-an, ṣùgbọ́n òtútù aláwọ̀ ewé kò jẹ àti pé oúnjẹ kò wọ́n.",owó,positive
"mo ti jẹun ní gbogbo àwọn ibi mẹ́ta mo sì máa ń nífẹ̀ẹ́ sí, nífẹ̀ẹ́ oúnjẹ náà, iṣẹ́ náà máa ń dára nígbà gbogbo àti pé iye owó náà mọ́gbọ́n dání gan-an, ṣùgbọ́n ààyè dùn, ìrírí oúnjẹ kò dára àti pé ààyè rọrùn.",iṣẹ,positive
"mo ti jẹun ni gbogbo awọn ipo mẹta ati pe mo fẹran nigbagbogbo, fẹran ounjẹ naa, iṣẹ naa jẹ iyanu nigbagbogbo ati pe awọn idiyele jẹ oye gaan, ṣugbọn inu jẹ apapọ ati ounjẹ jẹ buru julọ.",ounjẹ,positive
"tí o bá fẹ́ ìtọ́wò tó dára, oúnjẹ latin tí ó ní àkókò tó dára ní cabana o kò sì lè lọ ní àṣìṣe, ṣùgbọ́n olùgbàlejò burú jáì.",latin,positive
"kò dára rárá, iṣẹ́ náà dùn, ọgbà náà rẹwà, oúnjẹ náà (láti oúnjẹ oúnjẹ títí dé àwọn oúnjẹ) ṣe é yàn, ṣùgbọ́n àwọn ìpín kéré, iye owó rẹ̀ ga àti pé ẹja jẹ́ àpapọ̀.",ọgbà,positive
"kò dára rárá, iṣẹ́ náà dùn, ọgbà náà rẹwà, oúnjẹ náà (láti àwọn oúnjẹ oúnjẹ títí dé àwọn oúnjẹ) ṣe é yàn, ṣùgbọ́n àwọn olùtọ́jú bínú, olùgbàlejò burú àti pé ohun mímu burú jáì.",iṣẹ,positive
"kò dára rárá, iṣẹ́ náà dùn, ọgbà náà rẹwà, oúnjẹ náà (láti oúnjẹ oúnjẹ títí dé àwọn oúnjẹ) ṣe é yàn, ṣùgbọ́n ẹran lobster náà jẹ́ àrà.",oúnjẹ,positive
"kò dára rárá, iṣẹ́ náà dùn, ọgbà náà rẹwà, oúnjẹ náà (láti oúnjẹ oúnjẹ títí dé àwọn oúnjẹ) ṣe é yàn, ṣùgbọ́n inú ilé jẹ́ àpapọ̀ àti pé iṣẹ́ náà lọ́ra gidi gan-an.",àwọn,positive
"kò dára rárá, iṣẹ́ náà dùn, ọgbà náà rẹwà, oúnjẹ náà (láti oúnjẹ oúnjẹ títí dé àwọn oúnjẹ) ṣe é yàn, ṣùgbọ́n àga tí ó ń ká kò rọrùn, àtòjọ-ẹ̀yàn náà kéré iye owó náà sì ga.",oúnjẹ,positive
"bẹ́ẹ̀ ni, adìẹ náà dára níbí, ṣùgbọ́n ẹja ní ìdáwọ́pọ̀.",adìẹ,positive
guac náà ṣẹ̀ṣẹ̀ ṣẹ̀ṣẹ̀ ṣẹ̀ṣẹ̀ ṣẹ̀ṣẹ̀ ṣẹ,ṣẹ̀ṣẹ̀,neutral
guac náà ṣẹ̀ṣẹ̀ ṣẹ̀ṣẹ̀ ṣẹ̀ṣẹ̀ ṣẹ̀ṣẹ̀ ṣẹ̀ṣẹ̀ ṣẹ̀ṣẹ̀ ṣẹ,ṣẹ̀ṣẹ̀,negative
"fajita tí a gbìyànjú kò dùn ó sì jóná àti pé ọbẹ̀ mole náà dùn jù, ṣùgbọ́n iṣẹ́ rẹ̀ dára púpọ̀.",fajita,negative
"fajita tí a gbìyànjú kò dùn ó sì jóná àti pé ọbẹ̀ mole náà dùn jù, bí ó tilẹ̀ jẹ́ pé ìfijíṣẹ́ náà yára.",mole,negative
"dúró pẹ̀lú àwọn adìẹ sísun wà á sì wà dáadáa, ṣùgbọ́n àkàrà òyìnbó jẹ́ àpapọ̀, tábìlì súnmọ́ ara wọn kò sì rọrùn àti pé olùgbàlejò burú jáì.",sísun,positive
"iṣẹ́ yẹn wà lára àwọn tí ó dára jù tí mo ti ní rí ní nyc, ṣùgbọ́n yàrá náà mọ́.",iṣẹ́,positive
"alfredo fettucino náà yani lẹ́nu, ṣùgbọ́n ìpín kéré, ọbẹ̀ chickpea ilẹ̀ fẹ́lẹ́fẹ́lẹ́ àti pé oúnjẹ kò tó bẹ́ẹ̀.",alfredo,positive
"iye owó kódà ní ìta ọ̀sẹ̀ ilé oúnjẹ dára, ṣùgbọ́n iye owó rẹ̀ pọ̀ gan-an, adìẹ dúdú dídúró kò sì dára.",owó,positive
"àwọn oníbàárà àti àwọn olùdarí náà dára gan-an àti pé ọ̀ṣọ́ náà rọrùn púpọ̀ wọ́n sì dúró sẹ́yìn, ní gbogbo ìgbà tí wọ́n bá jẹ́ ìgbàlódé, ṣùgbọ́n àwọn tábìlì súnmọ́ ara wọn.",àwọn,positive
"àwọn oníbàárà àti àwọn olùdarí dára gan-an àti pé ọ̀ṣọ́ náà rọrùn púpọ̀ wọ́n sì dúró sẹ́yìn, ní gbogbo ìgbà tí wọ́n bá ń ṣe àṣà, ṣùgbọ́n curried casserole kò dára.",ọ̀ṣọ́,positive
"àwọn oníbàárà àti àwọn olùdarí dára gan-an àti pé ọ̀ṣọ́ náà rọrùn púpọ̀ wọ́n sì dúró sẹ́yìn, ní gbogbo ìgbà tí wọ́n bá ń ṣe àṣà, ṣùgbọ́n olùtọ́jú ń bínú sushi sì tóbi.",ọ̀ṣọ́,positive
"mo fẹ́ràn àwọn ohun mímu náà, esp lychee martini, oúnjẹ náà sì dára púpọ̀, ṣùgbọ́n owó náà tóbi.",oúnjẹ,positive
"mo fẹ́ràn àwọn ohun mímu náà, esp lychee martini, oúnjẹ náà sì dára púpọ̀, ṣùgbọ́n oúnjẹ náà burú, ó sì tóbi púpọ̀.",lychee martini,positive
"mo fẹran awọn ohun mimu, esp lychee martini, ati pe ounjẹ naa tun dara julọ, ṣugbọn olutọju naa binu ati awọn ege jẹ gbowolori.",ounjẹ,positive
"owó sushi náà kò wọ́n dáadáa ó sì tuntun, ṣùgbọ́n ẹran adìẹ dúdú àti pé oúnjẹ kò wọ́n.",owó,positive
"wọ́n wọ́n wọ́n sushi náà dáadáa ó sì tún wà ní tuntun, ṣùgbọ́n iye owó rẹ̀ pọ̀, oúnjẹ kò wọ́n àti pé oníbàárà bínú.",sushi,positive
"ó dára fún oúnjẹ ọ̀sán sushi kíákíá, ṣùgbọ́n àkàrà òyìnbó kò tó láti dúró síta fún.",sushi,positive
"kì í ṣe pé wọ́n ní escargot tí ó dára jùlọ ní ìlú nìkan, wọ́n máa ń gbìyànjú láti gba ọmọ kékeré wa, ṣùgbọ́n oúnjẹ kò tó àpapọ̀, olùdarí burú àti pé iṣẹ́ ilé-ọtí náà lọ́ra.",escargot,positive
"appetizer jẹ o tayọ nibi; o lè ṣe oúnjẹ tó dára (tí kò sì wọ́n) láti ara wọn, ṣùgbọ́n iye owó rẹ̀ kò tó bẹ́ẹ̀ ọbẹ̀ chickpea ilẹ̀ tín-ín-rín.",appetizer,positive
"appetizer jẹ o tayọ nibi; o lè ṣe oúnjẹ ńlá (tí kò sì wọ́n) nínú wọn, ṣùgbọ́n àkàrà òyìnbó jẹ́ àpapọ̀ àti pé ìrírí oúnjẹ kò dára.",oúnjẹ,positive
"àwọn ẹja ẹlẹ́rìndòdò dídùn náà jẹ́ ohun tí ó ṣe pàtàkì, ṣùgbọ́n àwọn ajá gbígbóná burú jù àti pé iṣẹ́ wọn lọ́ra.",ẹja,positive
"ní mojito kí o sì jókòó sí ẹ̀yìn fàráńdà, ṣùgbọ́n iye owó kò tó bẹ́ẹ̀ yàrá náà mọ́.",yàrá,positive
"jẹ mojito kí o sì jókòó sí ẹ̀yìn àgbàlá, ṣùgbọ́n ẹni tí ó ni í jẹ́ èké, oúnjẹ jẹ àti pé oúnjẹ burú jáì.",mojito,positive
"nígbà tí oúnjẹ ilé ìdáná wọn dùn, sushi wọn kò sí nínú ayé yìí, ṣùgbọ́n iṣẹ́ wọn kò dára.",oúnjẹ,positive
"nígbà tí oúnjẹ ilé ìdáná wọn dùn, sushi wọn kò sí nínú ayé yìí, ṣùgbọ́n ìṣẹ́ burú jáì.",sushi,positive
"ibí yìí ní àtòjọ àṣàyàn tó ṣàjòjì jùlọ àti pé àwọn ilé oúnjẹ náà gbìyànjú dáadáa láti ṣe oúnjẹ tó dára, ṣùgbọ́n àṣàyàn ọtí wáìnì dára púpọ̀.",àṣàyàn,negative
"ibí yìí ní àtòjọ àṣàyàn tí ó ṣàjèjì jùlọ àti pé àwọn ilé-oúnjẹ náà ń gbìyànjú gidigidi láti ṣe oúnjẹ tó rẹwà, ṣùgbọ́n sàláàdì akàn ọba pẹ̀lú èso ìfẹ́ vinaigrette jẹ́ àtinúdá, ibi rẹwà àti pé ìfijíṣẹ́ yára.",oúnjẹ,negative
"ní gbogbo ìgbà tí mo bá lọ síbẹ̀ mi ò lè mú ohunkóhun láti jẹ kì í ṣe nítorí pé àtòjọ-ẹ̀yàn náà kún fún àwọn nkan ńlá láti jẹ, ṣùgbọ́n àwọn burgers sísun organic gbajúmọ̀.",ohunkóhun,negative
"mo máa ń rí ara mi ní gbogbo ìgbà tí mò ń béèrè lọ́wọ́ olùtọ́jú láti ṣe nkan tí kò dára tí ó sì yàtọ̀ sí ohun tí ó wà nínú àtòjọ-ẹ̀yàn, ṣùgbọ́n mo fẹ́ràn sáńwíìsì akàn ìkarahun tó rọ̀ pẹ̀lú ìpanu, oúnjẹ yìí ni ó dára jù.",olùtọ́jú,neutral
"mo máa ń rí ara mi ní gbogbo ìgbà tí mò ń béèrè lọ́wọ́ olùtọ́jú láti ṣe nkan tí kò dára tí ó sì yàtọ̀ sí ohun tí ó wà nínú àtòjọ-ẹ̀yàn, ṣùgbọ́n oúnjẹ dára, mo gbìyànjú ọbẹ̀ gbígbóná àti ẹlẹ́rìndòdò àti pizza jẹ́ ìyàlẹ́nu.",oúnjẹ,neutral
"bí ó tilẹ̀ jẹ́ pé ilé-oúnjẹ náà dára, mo fẹ́ràn láti má lọ fún oúnjẹ, ṣùgbọ́n ẹja òkun dára, iṣẹ́ wọn dára àti pé alásè náà ní ẹ̀bùn.","oúnjẹ,",negative
"ibi kékeré yìí fanimọ́ra gidi gan-an,ṣùgbọ́n ìṣiṣẹ́ wọn kò yára, iṣẹ́ wọn burú bẹ́ẹ̀ ni àwọn òṣìṣẹ́ wọn kò sì dára.",ibi,positive
"olùgbàlejò (ẹni tí ó ni) àti àwọn olùpín jẹ́ ènìyàn àti ìtọ́jú, ṣùgbọ́n oúnjẹ ọ̀sán jẹ́ agbára àti iṣẹ́ burú jáì.",ni),positive
"olùgbàlejò (ẹni tí ó ni) àti àwọn olùpín jẹ́ ènìyàn àti ìtọ́jú, ṣùgbọ́n oúnjẹ kò dára púpọ̀ àti pé iṣẹ́ ọtí lọ́ra.",olùgbàlejò,positive
"àti pé oúnjẹ náà, ó dáa oúnjẹ náà yóò jẹ́ kí o padà wá, ṣùgbọ́n olùdarí kò ní oore-ọ̀fẹ́, ìmọ́lẹ̀ kò wuni àti pé oníbàárà bínú.",oúnjẹ,positive
"àti pé oúnjẹ náà, ó dáa oúnjẹ náà yóò jẹ́ kí o padà wá, ṣùgbọ́n àwọn ènìyàn tí wọ́n ń ta ọjà kò dára àti pé iye owó kò tó bẹ́ẹ̀.",oúnjẹ,positive
"wọ́n ní pastas tí wọ́n ṣe nílé ní gbogbo irúfẹ́ -- mo dábàá gnocchi náà -- bẹ́ẹ̀ ni, ṣùgbọ́n àwọn oníbàárà burú jáì, ìwọ̀n ń ṣiṣẹ́ àti pé ìfijíṣẹ́ ń ṣọ́ra.",pastas,positive
"wọ́n ní pastas tí wọ́n ṣe nílé ní gbogbo irúfẹ́ -- mo dábàá gnocchi náà -- bẹ́ẹ̀ ni, ṣùgbọ́n iṣẹ́ ní ìjákulẹ̀, ààyè rọrùn àti pé iṣẹ́ rẹ̀ lọ́ra gidi gan-an.",gnocchi,positive
"bákan náà, ẹ̀wà ọmọ adìyẹ pẹ̀lú ẹja ẹlẹ́rìndòdò (appetizer) jẹ́ ọlọ́run, ṣùgbọ́n oúnjẹ kò tó àpapọ̀, ààyè rọrùn àti pé àwọn ajá gbígbóná burú jù.",(appetizer),positive
"mojitos ati iṣẹ naa ni o dara julọ ni ibẹ, ṣugbọn inu ilohunsoke jẹ apapọ ati pe alakoso naa ko ni oore-ọfẹ.",mojitos,positive
"mojitos àti iṣẹ́ náà ni apá tó dára jùlọ níbẹ̀ yẹn, ṣùgbọ́n oúnjẹ náà kò fi bẹ́ẹ̀ jẹ àti pé oníbàárà náà dàbí ẹni pé inú bí i nípa rẹ̀.",iṣẹ,positive
"iṣẹ́ náà dára bẹ́ẹ̀ náà ni atmosfere náà, ṣùgbọ́n iná kò wuni, ọbẹ̀ mole sì dùn jù.",iṣẹ́,positive
"iṣẹ́ wọn dára bẹ́ẹ̀ náà ni àyíká, ṣùgbọ́n iṣẹ́ wọn kò dára.",iṣẹ́,positive
"ọjọ́ mi àti èmi méjèèjì béèrè fún branzini àwọn méjèèjì sì rò pé ẹja náà jẹ́ àpapọ̀, ṣùgbọ́n afẹ́fẹ́ dára ó sì gbóná ajá dára.",ẹja,negative
"ọjọ́ mi àti èmi méjèèjì béèrè fún branzini àwọn méjèèjì sì rò pé ẹja náà jẹ́ àpapọ̀, ṣùgbọ́n sàláàdì akàn ọba pẹ̀lú èso ìfẹ́ vinaigrette jẹ́ àtinúdá.",branzini,neutral
oúnjẹ náà dára lápapọ̀. ṣùgbọ́n disco pop duo burú jáì.,oúnjẹ,positive
saladi caeser jẹ nla; ṣùgbọ́n iye owó pọ̀ ẹni tí ó ni í sì ń ṣe èké.,saladi,positive
"calamari dídì náà dára gan-an, ṣùgbọ́n inú ilé jẹ́ àpapọ̀ àti pé ìpín kéré.",calamari,positive
"oúnjẹ náà bà mí nínú jẹ́ gidi gan-an, ṣùgbọ́n olùgbàlejò dára púpọ̀ àti pé ẹ̀gbẹ́ ẹran màlúù oyin-mustard dídùn dùn.",oúnjẹ,negative
"banana pudding tí wọ́n ń pèsè kò tí ì rí adiro rí, crabcakes ti kọjá iyọ̀ kò sì jẹ́ kí n bẹ̀rẹ̀ lórí greasy mac àti cheese, ṣùgbọ́n sushi jẹ́ tuntun.",mac,negative
"banana pudding tí wọ́n ń pèsè kò tí ì rí adiro rí, crabcakes ti kọjá iyọ̀ má sì jẹ́ kí n bẹ̀rẹ̀ lórí mac àti cheese tí ó ní gíríìsì gan-an, ṣùgbọ́n iṣẹ́ dára.",crabcakes,negative
"banana pudding tí wọ́n ń pèsè kò tí ì rí adiro rí, crabcakes ti kọjá iyọ̀ àti pé má jẹ́ kí n bẹ̀rẹ̀ lórí mac àti cheese tí ó ní gíríìsì gan-an, ṣùgbọ́n mo gbádùn curry, àwọn oúnjẹ jẹ́ ìgbìyànjú-àti-òtítọ́ àti pé ohun mímu dára.",banana pudding,negative
sushi ṣẹ̀ṣẹ̀ ṣẹ̀ṣẹ̀,sushi,positive
"ṣùgbọ́n rí i dájú pé o ní ààyè tó tó lórí káàdì ìsanwó rẹ nítorí owó náà yóò fi ìdíwọ́ ńlá sílẹ̀ nínú àpamọ́wọ́ rẹ, ṣùgbọ́n wákàtí ayọ̀ kò wọ́n, oúnjẹ dára púpọ̀ àti pé àṣàyàn ọtí dára.",owó,negative
"oúnjẹ náà kò dára láti jẹ́ onínúure - inú rẹ̀ kéré ó sì jẹ́ àpapọ̀ - àwọn onílé náà jẹ́ ẹgbẹ́ àwọn ohun tí kò dára - ó burú púpọ̀ ó sì jẹ́ kí n jẹ́ kí guffaw ọkàn jáde nígbà tí wọ́n bá ń jẹun, ṣùgbọ́n iye owó dára, oúnjẹ dára oúnjẹ sì dára.",onínúure,negative
"oúnjẹ náà kò dára láti jẹ́ onínúure - inú ilé kéré ó sì jẹ́ àpapọ̀ - àwọn onílé náà jẹ́ ẹgbẹ́ àmì àwọn ohun tí kò dára - nítorí náà ìwà ìkà àti ìtumọ̀ mo jẹ́ kí guffaw ọkàn jáde nígbà tí ó ń jẹun, ṣùgbọ́n ìṣẹ̀lẹ̀ náà dára, sesame noodles tútù jẹ́ ìfẹ́ àti ọtí wáìnì dára.",ọtí,neutral
"oúnjẹ náà kò dára, láti jẹ́ onínúure: inú rẹ̀ kéré ó sì jẹ́ àpapọ̀, àwọn onílé náà jẹ́ ẹgbẹ́ tí kò dára - nítorí náà ìwà ìkà àti ìtumọ̀ mo jẹ́ kí guffaw ọkàn jáde nígbà tí mo bá ń jẹun; ṣùgbọ́n àkójọpọ̀ sushi dùn jùlọ, sraff náà fanimọ́ra.",àwọn,negative
"oúnjẹ náà kò dára láti jẹ́ onínúure - inú ilé kéré ó sì jẹ́ àpapọ̀ - àwọn onílé náà jẹ́ ẹgbẹ́ àwọn ohun tí kò dára - ó burú púpọ̀ ó sì jẹ́ kí guffaw ọkàn jáde nígbà tí wọ́n bá ń jẹun, ṣùgbọ́n àtòjọ-ẹ̀yàn dára.",oúnjẹ,negative
"oúnjẹ wọ́n gan-an fún ohun tí o gbà, ṣùgbọ́n àkàrà òyìnbó jẹ́ èyí tó mọ́lẹ̀.",oúnjẹ,negative
"wọ́n ní láti rán ẹran delmonico $72 náà padà nítorí wọn kò sè é láti béèrè fún, ṣùgbọ́n mo dábàá adìẹ ọsàn/ẹran màlúù.",delmonico,negative
"ìṣàkóso náà kò tó àkójọpọ̀, ṣùgbọ́n afẹ́fẹ́ dára àti pé òtútù sesame noodles ṣe é yàn.",ìṣàkóso,negative
"a ti máa ń gba iṣẹ́ ìyanu àti pé a nífẹ̀ẹ́ oúnjẹ náà, ṣùgbọ́n olùdúró jẹ́ ìwà ìkà àti pé àwọn oníbàárà máa ń pariwo.",iṣẹ,positive
"a ti máa ń gba iṣẹ́ ìyanu àti pé a nífẹ̀ẹ́ oúnjẹ náà, ṣùgbọ́n oníbàárà máa ń hùwà ìkà.",oúnjẹ,positive
"mo ti jẹ oúnjẹ japanese tó dára ní ilé ìtajà oúnjẹ, ṣùgbọ́n kọfí dára.",japanese,negative
