,run,aspect,polarities
803,"Igihe kigeze ngo duhe umwanya, umushikirizantumbero yaratugoye cane, aca aragaruka afise urupapuro n'ikaramu kugira ngo yandike ivyo dushaka. Mumbabarire, ariko si akazi kiwe; Impera n'imperuka, umurimo wari wiyubara cane.",Musubiri Waiter,negative
806,"Mu nyuma, umukuru w'igihugu yatumenyesheje ko dushobora gusigura ivyo twashaka vyose, ariko ico gihe twari twashavuye cane n'umushingantahe ku buryo twaciye tuja ahandi; Eski ni shika nare.",Musubiri Waiter,negative
808,"Mu nyuma, umukuru w'igihugu yatumenyesheje ko dushobora gusigura ivyo twashaka vyose, ariko ico gihe twari twashavuye cane n'umushingantahe ku buryo twaciye tuja ahandi; 10 Ivyabona vya Yehova ni benshi kandi barafasha.",menu none,neutral
810,"Mu nyuma, umukuru w'igihugu yatumenyesheje ko dushobora gusigura ivyo twashaka vyose, ariko ico gihe twari twashavuye cane n'umushingantahe ku buryo twaciye tuja ahandi; Ibinyobwa ni urukundo.",Manager None,neutral
813,"Ivyo kurya biraryoshe kandi biraryoshe, ariko uburongozi buragoye cane.",Nutrizione,positive
817,Iyo umuntu ariye indya z',Green Chillis None None,negative
821,"Iyo umuntu ahejeje gufungura, nta n'umwe afungura, ariko ikirere ni ciza cane, kandi amazi meza ni meza cane.",Divya Disha,negative
824,"Nagumye ndumviriza umukuru w'igihugu, nca nca nja ku ntwaro, ariko ubukuru bw'abo bantu buhejeje kuduga; Ariko rero, gufungura ni ikintu gihimbaye.",Manager None,negative
827,"Nagumye ndumviriza umukuru w'igihugu, nca nca nja ku ntwaro, ariko ubukuru bw'abo bantu buhejeje kuduga; Sushi Ishikawa",Musubiri Waiter,negative
830,"Narababajwe cane n'ukuntu bafungura n'ivyo bafungura, ariko umukate ni mwiza, ikirere ni ciza cane kandi kiryoshe cane.",Ahumada,negative
833,"Narababajwe cane n'ivyo bafungura n'ivyo bafungura, ariko inzoga ziryoshe kandi ni nziza cane.",Nutrizione,negative
835,"Naragiye ku wa gatandatu, nca ndafungura neza, nca nja ku mpeshi y'impeshi y'impeshi, ariko ubunini ni bwinshi, ubusuku ni bwiza kandi si bwiza cane.",Sashika Navya Sa,positive
838,"Ku munsi wa gatandatu uheze, nca ntangura gufungura neza, nca ntangura kunywa amata y'ibifungurwa vy'indya z'ibifungurwa, ariko gufungura ni ingaburo n'ibiribwa.",kuriya,positive
840,"Jewe n'umutumire twaciye dushika ku bice 80 kw'ijana vy'imfatakigo, kandi twese twarahaciye intege, ariko igikorwa kiraba kibi cane.",menu none,positive
843,"Indya n'iy'umucafu vyari vy'ukuri, ariko gufungura ni ikintu c'incafu.",Deco None,positive
846,"Urukundo n'urudyoya rwari rufise igomogi, ariko nta suku rifise.",Ambiance None,positive
850,"Nariye mu bibanza bitatu vyose kandi nama nkunda, nkunda imfungurwa, serivisi ni nziza kandi ibiciro ni vyiza cane, ariko imbeho y'imbeho nta co ifungura kandi ibifungurwa ntibiri ku giciro gitoyi.",Ibiciro,positive
854,"Nariye mu bibanza bitatu vyose kandi nama nkunda, nkunda imfungurwa, serivisi ni nziza cane kandi ibiciro ni vyiza cane, ariko ikibanza ni ciza, ahantu heza, ivyo kurya biraryoshe kandi ni vyiza.",Ahumada,positive
858,"Nariye mu bibanza bitatu vyose kandi namye nkunda, nkunda imfungurwa, serivisi yama ari nziza kandi ibiciro ni vyiza cane, ariko imbere ni ibisanzwe kandi gufungura ni vyiza cane.",Nutrizione,positive
861,"Niwaba ushaka kurya inyama z'ibishobisho vy'indya mu kilatini, kandi ntushobora kuja mu ndyane, ariko umunywanyi w'umuyabaga ni umucafu.",Latino Nutrizione,positive
865,"Iryo tongo ryari riryoshe cane, iryo tongo ryari riryoshe cane, imfungurwa (kuva ku nyota gushika ku ntoke) zari nziza cane, ariko imigabane ni nto, igiciro c'amafi ni kinini cane.",Ikebukuro Garden,positive
869,"Uwo mushitsi yari ahimbawe, uwo murima wari uryoshe, wa murima w'indya (kuva ku bifungurwa gushika ku bifungurwa) vyari biryoshe, ariko abashitsi barashavuye, abashitsi ni babi, inzoga ni mbi cane.",Ahumada,positive
873,"Vyari bihimbaye, ico gikorwa cari gihimbaye, iryo tongo ryari ryiza cane, imfungurwa (kuva kuri appetizers to entrees) zari nziza cane, ariko inyama za lobster zari nziza.",Ahumada Ahumada,positive
877,"Ico gikorwa cari gihimbaye, ico gikorwa cari gihimbaye, umurima w'ibifungurwa biryoshe, ibifungurwa (kuva ku bifungurwa gushika ku bifungurwa) vyari biryoshe cane, ariko imbere mu gihugu ni ho vyifashe kandi ibikorwa vy'ubusuku birateba cane.",Ashika Ashika,positive
881,"Iryo tongo ryari riryoshe cane, iryo tongo ryari riryoshe cane, iryo tongo ryari riryoshe cane, imfungurwa (kuva kuri appetizers to entrees) vyari biryoshe, ariko intebe ipfutse ntiyumva neza, imfungurwa ni ntoyi kandi igiciro kiri hejuru.",Nutrizione,positive
884,"10.Inkoko ni nziza cane, ariko ifi ni nyinshi cane.",Intake Intake,positive
886,"Iyo mpeshi ni nziza cane, ariko nta n'impenga dufise, ariko impenga ni nini cane, iy'igifaransa ni nziza cane, kandi ni nziza cane.",shasha salsa,neutral
889,"Iyo nyota ni nziza cane, ariko nta nyota dufise, ariko iyo dusenyuye ni iy'umusozo, kandi iryoshe cane.",Flavor None None,negative
893,"Uwo mugera twagerageje umengo nta n'umwe yasohotse, kandi ico gisyo c'umujumbu cari gisosa cane, ariko ico gikorwa cari ciza cane.",Fashika,negative
897,"Uwo mugera twagerageje kuwushiramwo akamoto kawo kandi kari karyoshe cane, n'aho ico gisosa caciye gisosa cane.",Shoba Shoba,negative
899,"Mugume murya inkoko, muzoba mukoze neza, ariko impeke ni nziza cane, imeza ni nziza cane, kandi umushitsi ni mwiza.",Inkoko zisweye,positive
902,"""Kuririmba ni ikintu ciza ntari bwigere nkora mu buzima bwanje muri Amerika, mugabo cari ikintu kibereye.",Ahumada,positive
905,"Isupu ya fettucino alfredo yari itangaje, ariko imigabane ni nto, isabune ya chickpea ni iy'umucafu kandi nta co imarira.",Nsubuga Alfredo,positive
908,"No hanze y'ikibuga c'ibifungurwa vyari biryoshe cane, ariko ibiciro vy'inkoko ni bibi cane, inkoko ni nziza kandi irindiriye ni bibi.",Ibiciro,positive
912,"Abarongozi n'abarongozi ni beza cane, kandi uwo muhinyaguzi ni mwiza cane kandi ni mwiza cane, ariko imeza ni nziza cane, ariko imeza ni nziza cane.",Abarongozi,positive
916,"Abashingantahe n'abarongozi ni beza cane, kandi uwo muhinyaguzi ni mwiza cane kandi ni mwiza cane, ariko iyo ngwano ntigira iy'iy'ikirago.",Baritons Baritons,positive
920,"Abarongozi n'abarongozi ni beza cane, kandi uwo muhinyaguzi ni mwiza cane kandi ni mwiza cane, mu gihe c'ivyitwazo, ariko umucuzi arashavura, kandi sushi irutwa n'iy'umushaha.",Eshika Eshika,positive
924,"Nkunda ibinyobwa, esp lychee martini, kandi ibifungurwa navyo ni vyiza cane, ariko ibifungurwa ni binini.",vyara to ega,positive
928,"Nkunda ibinyobwa, esp lychee martini, kandi ibifungurwa navyo ni vyiza cane, ariko gufungura ni bibi cane kandi ni vyinshi cane.",Lychee Martine None None,positive
932,"Nkunda ibinyobwa, esp lychee martini, kandi ibifungurwa ni vyiza cane, ariko umunywanyi arashavura kandi uduhimba dusigurwa cane.",Nutrizione,positive
936,"Inkoko ni iy'igiciro kinini, ariko inkoko ni iy'umwiza, n'ibiribwa ntibiri ku giciro gito.",Qiavya Price,positive
940,"Igiciro c'umusozo ni ciza cane kandi gishasha, ariko igiciro c'ibifungurwa kiri hejuru cane, kandi igiciro c'ibifungurwa nticagurwa.",Sushika,positive
943,"Ni vyiza ko umuntu afungura indya mu gihe c'indya, ariko iyo keke ntikwiye guhagarara hanze.",Sushi Egashira,positive
946,"Si mu bisagara gusa, ahubwo bama bafungura ibifungurwa, ahubwo bama bafungura ibifungurwa, ariko n'uburongozi bw'igihugu ni bukebuke.",Escribe None,positive
950,"Umushaha ni mwiza cane hano; Urashobora kuvyihereza ku giciro gito cane, ariko igiciro c'isabuni nticagura.",Appetizer None None,positive
954,"Umushaha ni mwiza cane hano; Woshobora guca ufungura ibifungurwa vyinshi, kandi uciye ku bifungurwa biryoshe, kandi birashobora kuba ari vyo biryoshe.",kuriya,positive
957,"Imbwa z'inyabu zifise inyosha mbi cane, ariko imisega ni mbi cane.",Spicy Mussels None None,positive
959,"Umanika agati wicaye ku ntebe y'inyuma y'inzu, ariko nta giciro na kimwe gifise kandi nta cumba kirimwo.",Ngarukiye Patio,positive
961,"Subira mu gikombe c'umukuru w'igihugu, umunywanyi w'umunywanyi w'umushaha, ariko umunywanyi arafise ico afungura, kandi ivyo kurya ni bibi cane.",Mojito None,positive
965,"N'aho igikoni cabo kiryoshe, sushi yabo iri kure y'iyi si, ariko umurimo ni mubi.",Hibiki Hibiki,positive
969,"N'aho igikoni cabo kiryoshe, sushi yabo iri kure y'iyi si, ariko igikorwa c'uburiro ni ikintu kibi.",Sushika,positive
973,"Ivyo bifungurwa usanga biryoshe cane, kandi abantu baragerageza kuvyifatamwo neza cane, ariko umuvinyu ni mwiza cane.",menu none,negative
977,"Iyo reresi ikaba iryoshe cane kandi iryoshe cane ku buryo iryoshe cane ku buryo iryoshe cane, ariko ihinguriro ry'ibiribwa rifise ivyimburwa biryoshe cane, ariko ivyimburwa vy'ibiterwa ni vyiza cane, kandi bija mu bifungurwa biryoshe cane.",Nutrizione,negative
979,"Mu gihe cose njayo, sinoronka ico nfungura, nta n'ico noronka kubera ko hari ibintu vyinshi vyo gufungura, ariko ibifungurwa bikundwa n'abantu benshi.",menu none,negative
981,"Ndasavye umukobw akore ikintu ciza kandi gitandukanye n'ico ari co, ariko jewe nkunda kurya ibisuguti vy'ibisuguti vy'ibishobishobi n'ibishobishobisho vy'ibinyobwa vy'ibinyobwa vy'ubwoko bw",Musubiri Waiter,neutral
983,"Nahora nibaza ko umuntu yokora ikintu gitandukanye n'ico ari co cose, ariko gufungura ni vyiza, ndagerageza isupu y'ubushuhe n'iy'indya.",menu none,neutral
985,"N'aho ari vyiza cane, ndakunda kuja mu bifungurwa, ariko kurya ibifungurwa ni vyiza cane, kandi umurimyi ni mwiza cane.",Nutrizione,negative
988,"Aha hantu ni heza cane, ariko umurimo urateba cane, umurimo ni mubi, kandi abakozi ni babi.",Icaro,positive
990,"Abadandaza (abadandaza) n'abadandaza ni abantu bitwararikana, ariko gufungura ni ikintu giteye ubwoba.",Mugabi (Owner),positive
993,"Abadandaza (abadandaza) n'abadandaza ni abantu badasanzwe, ariko ibifungurwa si vyiza, kandi igikorwa c'uburiro kirateba.",Servers None None,positive
995,"13 Kandi ivyo kurya bizotuma usubira inyuma, umuhagarikizi ni umucumuzi+, umucumuzi ni umucumuzi+, kandi umucumuzi ni umucumuzi+.",Nutrizione,positive
997,"13 Kandi ibifungurwa bizotuma usubira inyuma, mugabo abantu bagurisha ni babi, kandi igiciro c'ibifungurwa ntikizoba impfagusa+.",Nutrizione,positive
999,"Abo ba dd bose barayamaze ngo ni aba dd,aba dd ariko aba dd barafise impembo, barafise n'imero y'imborera.",Home Swimwear Pastas,positive
1002,"Abo ba dd bose barayamaze bati: ""Hahahahahahah, hahahahahahahahahahahahahaha",gnoki gnoki,positive
1004,"Vyongeye, inyabu zifise umushaha w'",Haruka na koto wo hirasu (shika),positive
1007,"Eko no musho ni ekou ni shika e shika nai, shika nai.",Mojitos None None,positive
1010,"Muri ico gihe, abarimyi n'abarimyi barafungura, ariko umukate umengo nta co ufungura.",Ahumada,positive
1013,"Vyongeye, uwo muceri wari mwiza cane, kandi n'uwo mutsi w'ivyuma wari uryoshe cane, kandi n'umunyu uraryoshe cane.",Ahumada,positive
1016,"Ico gikorwa cari ciza cane, kandi n'ikirere cari gikenye, ariko n'ico gikorwa nticameze neza.",Ikirere,positive
1019,"Jewe n'umuvyeyi wanje twaciye dutangura kuyaga n'uwo muyaga, kandi twaciye dutangura kwumva ko iyo fi ari nyinshi cane, ariko ikirere ni kinini cane kandi gishushe cane.",fise,negative
1022,"Jewe n'umucanwa wanje twaciye dutangura kuyaga n'uwo muyagannyi, nca numva ko iyo fi iryoshe cane, ariko ibiterwa vy'imbuto z",Branzini Branzini,neutral
1025,"Muri rusangi, imfungurwa zari nziza cane. , ayo dicoba dicoba ya.",Nutrizione,positive
1028,"Caser caser caser cane; Ariko ibiciro biri hejuru cane, kandi nyene vyama bikorwa mu buryo bw'ibinyoma.",Caser Salad None None,positive
1031,Ikena ry'i,Frieda Calamari,positive
1034,"Narababajwe cane n'ivyo kurya, ariko umushitsi ni mwiza cane kandi ni mwiza cane kandi ni mwiza cane ku bifungurwa biryoshe.",NUTRIZIONE,negative
1038,10.000 000 00 00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 20 20 20 20 20 0 0 20 20 20 20 201 20 201 201 20 20 20 20 20 20 20 201 2,MAC & CHEESE NONE NONE,negative
1042,"10.000 000:000 NTA NA RIMWE INDIMU IBONETSE, NTA N'IMWE IBONETSE MU NGWANO Y'IMYUMBATI, N'IY'IY'IMYUMBATI, N'IY'IY'IMYUMBATI NI NZIZA.",CrabCAKEs None,negative
1044,10.000 00 00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 20 0 0 0 20 20 20 0 0 20 201 20 20 20 20 20 20 20 201 20 20 20 20 20 20 20 20 20 20 20 20 20 20,BANANA PUDDING,negative
1047,"10.10.2016 2016 Birya biribwa ni vyiza cane ku buryo mu kanwa kawe hari ibifungurwa biryoshe cane, kandi ibifungurwa ni vyiza cane.",Sushika,positive
1050,"Ariko murabe neza ko igiciro c'inzoga kizoba cavuye ku giciro c'igiciro kinini, ariko isaha y'ubunywero ni nziza cane, kandi n'inzoga ni nziza cane.",Billie None,negative
1054,"Ivyo kurya vyari bikwiye kuba vyiza- imbere ni bito kandi ni bike - ba ba sokuru ni umugwi w'abantu batishima- ni umukenyuro kandi w'inkoramutima, ndareka guffaw mu gihe bariko barafungura, ariko ibiciro ni vyinshi, ibifungurwa ni vyinshi kandi ni vyiza cane.",Intrare,negative
1056,"Ivyo kurya vyari vyifashe neza, imbere ni bito kandi ni bito cane- ba sokuru ni umugwi w'abantu batiyumvamwo- ni umukenyuro n'umushaha mwiza cane, kandi mu vy'ukuri ndareka guffaw mu gihe bariko barafungura, ariko igihimba c'impembo ni kinini, imbeho ya sesame ni urukundo kandi umuvinyu ni mwiza.",Nutrizine,neutral
1060,"10.10.2016 2016 10:24 14 14 Ing.10:23-2016 2016 ing.2016 10:23 10:201 24 14 14 14 Ing.2018 15:23- 2016 20 20 20 20 20 2016 10 20 20 20 20 20 20 20 Sushi no yoru ni nare yo, sashiro ni nare yo.",bamako,negative
1064,"Ivyo kurya vyari biryoshe cane- imbere ni bito kandi ni bike- ba ba sokuru ni bo basokuru b'indya ziryoshe kandi ziryoshe cane, kandi zifise impemu ziryoshe cane.",Nutrizione,negative
1067,"Ivyo wafungura vyari bizimvye cane, ariko ico kiyaya cari ikintu c'agaciro kanini.",Ndya Ndya,negative
1070,72 000 000 00 00 00 000 00 00 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 00 000,Delmonico Steak None None,negative
1073,"Ico cirwa nticabaye, ariko ubushuhe bw'inzuki ni bwinshi cane kandi bufise ubushuhe bwinshi.",Management - None,negative
1077,"Twama turonka ibifungurwa vyiza cane kandi dukunda cane ibifungurwa, ariko umudandaza ni umunyamwete kandi ni umunyamwete.",Ahumada,positive
1081,"Twama dufise ibikorwa vy'agatangaza kandi turakunda imfungurwa, ariko umukate ni umucafu.",Nutrizione,positive
1084,"Nararonse ibifungurwa vyiza kuruta mu buyapani, ariko icayi ni ciza kuruta.",Japhet Nutrizione,negative
1087,"Ubwa mbere, umenga umenga uri mu bibanza vy'imbere, ariko umucanwa ni mwiza cane, kandi uwo mudandaza ni mubi cane.",Akintunda Ambis,positive
1089,"Ubwa mbere, umenga nta ngere, ariko icumba ni ciza cane, kandi igikorwa ni ciza cane.",Icaro,positive
1092,"Ariko ivyo kurya vyari biteye ubwoba, ariko ibifungurwa ni vyiza cane, kandi ibifungurwa vya McDonald's fries bizwi cane mu gifaransa.",Ndya Ndya,negative
1094,Naca n,Shrimp Shrimp None,neutral
1096,Naca n,Chicken Teriyaki,neutral
1100,"Umunywanyi w'umushotsi n'umushozi w'umujutsi yari aryoshe cane, ariko iyo pfuma yari iryoshe cane, uburyohe bw'inzoga ni bwinshi cane kandi bushimishije cane.",Shoba Shoba,negative
1104,"Inkoko yanje yari yakamye burundu, ku ruhande rw'imbeho, n'isyoyo ntiyari iryoshe cane, ariko ahantu ho kurya hanze ni hato cane kandi amababa ni meza.",Intake Intake,negative
1108,"Ico novuga n'uko uwo munywanyi yahavuye yihutira, aca atujana, kandi uwo munywanyi yari afise umutima mwiza cane, ariko gufungura ni amahera menshi.",Ahumada,positive
1112,"Ico novuga n'uko uwo munyagihugu yatevye, twaciye twicara, ariko abantu bari mu tuntu tw'igomwe, kandi abantu barayamaze cane.",Server None None,positive
1115,"Ni amahera menshi cane ku mfungurwa nk'izo, ariko ibifungurwa ni bike cane, ibifungurwa ni vyinshi kandi ni vyiza.",kuriya,negative
1119,"Ciye ciye 3... 1)) Umukozi wa Leta yari ahimbawe; Ibiribwa vyari biryoshe kandi binini mu bunini - ndahanura cane portobello/gorgonzola/sausage appetizer hamwe na lobster risotto, ariko ibiciro ni vyinshi, ibiciro ni vyinshi kandi gucunga ntibikira.",Lobster Risotto None None,positive
1123,"Ciye ciye 3... 1)) Umukozi wa Leta yari ahimbawe; Ibiribwa vyari biryoshe cane kandi binini mu bunini - ndahanura cane portobello/gorgonzola/sausage appetizer na lobster risotto, ariko urutonde rw'umuvinyu ruteye igoya, kandi serivisi ni mbi.",Nutrizione,positive
1127,"Ciye ciye 3... 1)) Umukozi wa Leta yari ahimbawe; Ibiribwa ni vyiza cane kandi ni vyinshi cane ku mugabane, ndahanura cane indya zo mu bwoko bwa portobello/gorgonzola/sausage appetizer na lobster risotto, ariko ibiribwa ni bibi kandi ibiribwa si vyiza cane.",Portobello / gorgonzola / sausage appetizer,positive
1131,"Ciye ciye 3... 1)) Umukozi wa Leta yari ahimbawe; Ivyokurya vyari biryoshe kandi binini mu bunini - ndahanura cane portobello/gorgonzola/sausage appetizer na lobster risotto, ariko ibifungurwa si bibi.",umukozi,positive
1135,"Ciye ciye 3... 1)) Umukozi wa Leta yari ahimbawe; Ibiribwa vyari biryoshe kandi binini mu bunini - ndahanura cane portobello/gorgonzola/sausage appetizer na lobster risotto, ariko igiciro nticoba ngirakamaro kandi service ni gito.",Size Swimwear,positive
1138,"Ibinyobwa vy'imbombo vyari biryoshe cane kandi biryoshe cane, ariko ibinyobwa vy'umutaliyano ni ngirakamaro cane.",Ahumada,positive
1141,"Twari dufise amatoni y'ibifungurwa, ibifungurwa be n'ibifungurwa biryoshe cane.",Divya Vinka,positive
1144,"Twari dufise amatoni y'ibifungurwa, imfungurwa n'imfungurwa nyinshi, n'imfungurwa nyinshi, ariko igikorwa kiratuvuna umutima.",Desserts Swimwear,positive
1147,"Twari dufise amatoni y'ibifungurwa, umuvinyu be n'imfungurwa ziryoshe cane, ariko umunyu w'umuvinyu ni mwiza cane, urudandazwa rw'umuvinyu ruteye igoya, kandi imbwa zishushe cane.",Nutrizione,positive
1150,"Indya ziryoshe cane mu ntara ya Cibitoke, haca",Nutrizine,positive
1152,"Vyongeye, umusuku yama ari mwiza, kandi nyen'urugo atambuka kugira ngo akwiriherwe, ariko igiciro caco kiri hejuru.",Muguruza owner,positive
1155,"Uwo mudandaza abandanya avuga ko ari vyiza cane, ariko iyo nyota irazimbutse cane, kandi iy'imbehe ni nziza cane.",Ahumada,positive
1157,"Twaciye twicara hafi y'inzu y'ubudandago, ariko igikorwa kiraryoshe cane.",Icaro Danse,neutral
1161,"Iyo ndirimbo yari iryoshe cane, ariko isigara ija mu cumba co kuganira, maze uwo muhinyaguzi anywa inzoga ziryoshe cane; 10.10.2016 E-2016 e-2016 e-2016 e-201",vyara to ega,positive
1165,"Iyo ndirimbo yari iryoshe cane, ariko isigara ija mu cumba co kuganira, maze uwo muhinyaguzi anywa inzoga ziryoshe cane; Eskiss de casseroles is harsh.",Bar none,positive
1169,"Iyo ndirimbo yari iryoshe cane, ariko isigara ija mu cumba co kuganira, maze uwo muhinyaguzi anywa inzoga ziryoshe cane; Abarya ibifungurwa ni ay'agasozo- n'agasozo k'indya.",umuzika,positive
1173,"Mu vy'ukuri, ibifungurwa si bibi cane, ariko ibiciro ni vyiza, ni vyiza, kandi ndagerageza calamari.",Ahumada,negative
1177,"Mu vy'ukuri, ibifungurwa ni bibi cane, ariko ibifungurwa vy'abahindi ni vyiza cane, kandi ni vyiza cane.",Nutrizione,negative
1181,"Ndanezerewe cane kubona abantu bafungura neza, kandi n'abakozi b'umutima mwiza, b'umutima mwiza, ariko abarorerezi barashavuye, bafise ibintu bitobito, kandi ivyo kurya ni bibi cane.",umukozi,positive
1185,"Ndashimye cane ko uwo muvyeyi akundana cane kandi yari umuntu w'umunyamwete, w'umunyamwete kandi w'umunyamwete ni umunyamwete.",Nutrizione,positive
1187,"Sinigeze nsangira ibifungurwa bibi (canke ibifungurwa bibi), ariko gufungura ni bibi cane.",SERIVISI,positive
1189,"Sinigeze nsangira ibifungurwa bibi (canke ibifungurwa bibi), ariko indya zidafise aho zigarukira.",KURIYA,positive
1192,"Ivyo rero ngo vyarerekanye neza ko imfungurwa zo mu gikoni zidakwiye gufungurwa; Vyumvikana ko vyakozwe mu minwe y'ikiganza, ariko ndagerageza kuvyimba, nca ndyohera, n'ivyibushe birantangaza.",Nutrizione,negative
1195,"Mu gihe c'ama ntwaro, ndakugira inama yo kwiyorohereza, ariko icayi ni ciza, kandi n'abakozi baco ni beza.",Ivye Reservation,neutral
1198,"ayo cari yuk yuk; Indya ni mbi cane, umurimyi ni umurya, n'ibifungurwa biri munsi y'urugero.",cake cake,positive
1200,"Uwo munywanyi w'umunywanyi w'umurundi wese yarafise ico atanze, ariko impembo y'inyobwa ni iy'inkorano.",boho menu,positive
1203,Uwo muririmvyi w'umuhinyanyuzi w'indirimbo z,Jazz Kwinana,positive
1205,"Iyo umuntu ariye amahera y'agaciro k'amafaranga y'agaciro k'amafaranga y'amarundi, ni amahera y'agaciro k'amafaranga y'amarundi, ariko gufungura ni vyiza cane, iyo ndya ikaba ari nziza cane.",Imagene Scene,negative
1209,"Mu gihe ugura isupu y'ibidandazwa vy'amafaranga y'amarundi, iyo nayo ikaba ari isupu y'ibidandazwa vy'ibidandazwa vy'ibifungurwa, kandi isupu ikaba ishushe cane.",Nutrizione,negative
1213,"Niwaba ugura igurishwa ry'ibidandazwa vy'amafaranga y'amarundi, idolari ry'amerika ni ryo rifise agaciro kanini cane, ariko ico giciro c'agaciro ni ciza cane.",Qiavya Price,negative
1216,"Imbwa ni mbi cane, ariko izi mbwa ni mbi cane kandi ni nto cane.",Ahumada,positive
1219,"Twaciye tuja ku makoraniro y'i bunywero, tukaryoherwa cane n'ivyo dufungura, ariko umunywanyi wacu ni mwiza kandi umuziki uraremereye cane.",kuriya,positive
1223,"Iyo ndya yari nziza cane, indya z'umutaliyano ni nziza cane, ariko umutaliyano w'umutaliyano w'umutaliyano ni mwiza cane.",Aysariya cuisine,positive
1227,"Iyo ndya yari nziza cane, indya ziryoshe cane, ariko umukate w'umutaliyano ni mwiza cane, ariko umunyu uraryoshe cane kandi uryoshe cane.",Nutrizione,positive
1230,"Ibinyobwa vyasa n'ibishobisho ni bibi cane, kandi inzoga y'ibinyobwa ni bibi cane.",Ahumada,positive
1232,"Sinzi ko hari abaca bavugira ayo mabisi, ariko ivyo bisho ni vyiza.",Hot Dog None None,negative
1235,"Ico ni kimwe mu bintu vy'inyabu mbi cane nabonye mu buzima bwanje, ariko umuvinyu ni mwiza cane, kandi umuvinyu ni mwiza cane.",Eshu Shoba,negative
1239,"Uretse n'imbwa zishushe, DOTP ifise amasinema meza yo mu gitondo yerekana, uretse ibintu bikomeye nka tator tots na muffins z'abongereza, igiterwa c'inyama z'ingurube gifise icicaro ca NJ kitwereka abakobwa n'abahungu ba Taylor ham, ariko gufungura ni inguvu.",kirundi - muffins,positive
1241,"Uretse imbwa zishushe cane, DOTP ifise amasinema meza yo mu gitondo yerekana, uretse ibintu bikomeye nka tator tots na muffins z'ikirundi, igiterwa c'inyama z'ingurube gihimbaye cane kitwereka abakobwa n'abahungu bo muri Jersey nka Taylor ham, ariko inkoko ni umwiza, icumba c'umwiza kandi igikorwa kirateba cane.",Taylor Ham None None,positive
1245,"Uretse n'imbwa zishushe cane, DOTP ifise sandwich nziza cane zo mu gitondo ziboneka, uretse ibintu binini nka tator tots na muffins z'abongereza, igiterwa c'inyama z'ingurube gifise akamaro kanini ku bakobwa n'abahungu ba Jersey nka Taylor ham, ariko ibifungurwa ntibiri n'agaciro ko guhagarara hanze.",Inyama inyama z'ingurube,positive
1249,"Uretse n'imbwa zishushe, DOTP ifise amasinema meza yo mu gitondo yerekana, uretse ibintu binini nka tator tots na muffins z'abongereza, igiterwa c'inyama z'ingurube gifise icicaro ca NJ gifise abana b'abakobwa n'abahungu nka Taylor ham, ariko itara ry'umuco riteye ubwoba kandi gufungura ni ikintu kibi cane.",Eko,positive
1253,"Uretse n'imbwa zishushe, DOTP ifise amasinema meza yo mu gitondo yerekana, uretse ibintu bikomeye nka tator tots na muffins z'ikirundi, igiterwa c'inyama z'ingurube gifise icicaro ca NJ gifise abigeme n'abahungu ba Taylor ham, ariko ibifungurwa biracika intege.",Imbwa zishushe,positive
1257,"Uretse n'imbwa zishushe, DOTP ifise amasinema meza yo mu gitondo yerekana, uretse ibintu bikomeye nka tator tots na muffins z'ikirundi, igiterwa c'inyama z'ingurube gifise agaciro kanini ku bakobwa n'abahungu ba Jersey nka Taylor ham, ariko serivisi ni mbi, igiciro ni kinini kandi hostes ni kibi cane.",Ifunguro rya mu gitondo,positive
1259,"Ivyo kurya vy'ibifungurwa birimwo ibifungurwa (biri aha) birimwo n'ibindi bifungurwa vy'inshozi n'indya nyinshi (avocado shrimp) vyari vyiza cane; Indya z'ikirundi ni nziza cane, n'indya z'igifaransa ni nziza cane.",Nutrizine Frica,negative
1261,"Ivyo kurya vy'ibifungurwa birimwo ibifungurwa (biri aha) birimwo n'ibindi bifungurwa vy'inshozi n'indya nyinshi (avocado shrimp) vyari vyiza cane; Ibiribwa ni ibintu biteye ubwoba, kandi umudandaza ni umubeshi.",Salad (avocado shrimp),positive
1264,"Ivyo kurya vy'ibifungurwa birimwo ibifungurwa (biri aha) birimwo n'ibindi bifungurwa vy'inshozi n'indya nyinshi (avocado shrimp) vyari vyiza cane; Ibifungurwa nta co bimaze, kandi imbere muri vyo ni ivy'ukuri.",Esha Esha,positive
1267,Ivyo kurya vy'ibifungurwa birimwo ibifungurwa (biri aha) birimwo n'ibindi bifungurwa vy'inshozi n'indya nyinshi (avocado shrimp) vyari vyiza cane; Menu ni ikin..,Eshika Entrée,positive
1269,10.10.2016 à 10:10)) Ni vyiza cane ko abantu bashasha baronka amahera yo kwiyerekana (ariko ni vyiza cane.,Vintage Swimwear,negative
1272,"Ni vyiza cane ko umuvinyu uryoshe cane (ariko umuvinyu ni mwiza cane, kandi umuvinyu ni mwiza cane.",Urutonde rw'umuvinyu,negative
1274,"Ariko rero, ku mugoroba w'umunezero, wari umunezero udasanzwe ku mugoroba wo kwinezereza; Ubuntu is rude.",Ikiciro:Agaciro,positive
