,so,aspect,polarities
817,"Markii saxanku soo gaaray waxaa la ololaya chillis cagaaran, hubaal ma aha mid uu cuni karo bini-aadamka, laakiin cuntada Japanese waa mid hufan oo digaaggu waa mid qurxoon.",chillis cagaaran,negative
821,"Markii saxanku soo gaaray waxaa lagu shidi jiray oo ay la socdeen chillis cagaaran, xaqiiqdii ma aha mid uu cuni karo bini-aadamka, laakiin jawigu waa weyn yahay, adeeggu waa mid aad u fiican oo casiir casri ah ayaa ugu fiican.",saxan,negative
824,"Markaasaan kii midiidinka u cabanayay, dabadeedna wakiilka waxaan u sheegayaa, Laakiinse xumaantii iyaga ka dambaysay xooggoodu kor buu u baxay, inkastoo cuntadu ay weyntahay.",maareeyaha,negative
827,"Markaasaan kii midiidinka u cabanayay, dabadeedna wakiilka waxaan u sheegayaa, Laakiinse xumaantii iyaga ka dambaysay xooggoodu kor buu u baxay, sushi waa cusub.",khadka,negative
830,"Waxaan ahaa mid aad u niyadjabsan adeeggooda iyo cuntada ay, laakiin brisket waa wanaagsan yahay, jawi waa qumman yahay iyo waayo-aragnimo cuntada waa qurxoon.",adeege,negative
833,"Waxaan ahaa mid aad u niyadjabsan by adeeggooda iyo cuntada ay, laakiin xulashada biirka waa weyn oo meel waa weyn.",cuntod,negative
835,"Waxaan tegey sabtidii la soo dhaafay waxaana haystay cunto aad u fiican oo ka kooban shank wan wacan oo la socdo baradhada la mashed, laakiin size waa mashquul, adeega wuu xun yahay iyo filet minor ma ahan mid aad u wanaagsan.",braised shank wan leh baraddo la qalay,positive
838,"Waxaan tegey sabtidii la soo dhaafay oo waxaan haystay cunto aad u fiican oo ka kooban laashash bambaano ah oo baradhada la shiiday, laakiin qadadu waa awood iyo cookies nasiib waa cabasho.",raab,positive
840,"Intii u dhaxaysay aniga iyo martidayda, waxaanu tijaabinay ugu yaraan 80% ka mid ah menu-da, dhamaantoodna waxay ahaayeen hits, laakiin adeeggu waa midka ugu xun.",menu,positive
843,"Deco iyo ambiance runtii ahaa taataabtay, laakiin qadadu waa awood.",Deco,positive
846,"Deco iyo jawiga runtii wuxuu ahaa mid taataab ah, laakiin adeegga waa mid liita.",ambiance,positive
850,"Waxaan cunay dhamaan sadexda gooboodba marna waan jeclahay, oon raashinka jeclahay, adeegu mar walba waa cajiib, qiimuhuna runtii waa mid macquul ah, laakin qaboojiyaha cagaaran maaha wax la cuni karo raashinkuna ma jabna.",qiimayaasha,positive
854,"Waxaan cunay dhamaan sadexda goobood mar walbana waan jeclahay, waan jeclahay cuntada, adeega mar walba waa cajiib, qiimuhuna runtii waa mid macquul ah, laakin boosku waa mid dhadhan badan, waayo-aragnimada cuntada waa mid xun meesha ku haboon.",adeege,positive
858,"Waxaan cunay dhamaan sadexda goobood mar walbana waan jeclahay, waan jeclahay, cuntadana waan jeclahay, adeega mar walba waa mid cajiib ah qiimuhuna runtii waa mid macquul ah, laakin gudaha waa iskucelcelis iyo cunno aad ayuu u xun yahay.",cuntod,positive
861,"Haddii aad rabtid in aad dhadhan fiican leh, cuntada latin-ka si fiican loo dhajiyo wax ka cuno Cabana, waxna kama qaldami kartid, laakin hodantu waa xushmad la'aan.",cuntada latin,positive
865,"Waxay ahayd si wacan oo aan aqoon, adeeggu wuxuu ahaa mid farxad leh, beerta la jecel yahay, cuntada (rabitaanka rabitaanka) ahaa delectable, laakiin qaybaha waa yar yahay, qiimo jaban yahay, waa sare iyo kalluunku waa celcelis ahaan.",beerta,positive
869,"Waxay ahayd si wacan oo aan la garanayn, adeeggu wuxuu ahaa mid farxad leh, beerta la jecel yahay, cuntada (rabitaanka rabitaanka) wuxuu ahaa mid la jeclaan karo, laakiin adeegayaashu way xanaaqsan yihiin, kuwa u haya waa xushmad iyo cabitaanku aad u xun yahay.",adeege,positive
873,"Waxa uu ahaa si wacan oo aan la garanayn, adeegu wuxuu ahaa mid farxad leh, beerta la jecel yahay, cuntada (rabitaanka rabitaanka) wuxuu ahaa mid la taban karo, laakiin hilibka lobster waa macmal.",appetizers,positive
877,"Waxay ahayd si wacan oo aan caadi ahayn, adeegu wuxuu ahaa mid farxad leh, beerta la jecel yahay, cuntada (ka yimid rabitaanka rabitaanka) wuxuu ahaa mid la jeclaan karo, laakiin gudaha waa celcelis iyo adeeg waa si aad ah u gaabis.",entrees,positive
881,"Waxa uu ahaa si wacan oo aan aqoon, adeeggu wuxuu ahaa mid farxad leh, beerta la jecel yahay, cuntada (ka rabitaanka rabitaanka in entrees) ahaa delectable, laakiin kursi laabanto waa raaxo, menu waa yar yahay iyo qiimaha waa sare.",cuntod,positive
884,"Yum, busku waa ku weyn yahay halkan, laakiin kalluunku waa iskucelcelis.",shiiny,positive
886,"Cudurka gulufku waa mid cusub, laakiin dhadhan malahan, waxaan jecelnahay in aan ku darno salsas cusub, lakiin cabirka qaybta waa wayn yahay, faransiiska, marka la isku daro qulqulka Dalmatia waa mid heer sare ah isla markaana mussalku wuu dhadhan badan yahay.",Salsa salsa,neutral
889,"Guluunku waa cusub yahay, walina aan lahayn dhadhan, waxaan jecelnahay in aan ku darno cusbada cusbada cusub ee soo galay, lakiin qaab-dhismeedku waa marmar, appetizer waa mid aad u fiican oo xanuun-qaaduhu waa nimco badan yahay.",dhadhan,negative
893,"The fajita aan isku daynay ahaa dhadhan la'aan ah oo ku gubay iyo suugooyanka mole ahaa hab aad u macaan, laakiin adeeggu waa mid aad u fiican.",fajita,negative
897,"Fajita aanu isku daynay wuxuu ahaa mid aan dhadhan lahayn oo gubtay iyo suugoog jilicsan ayaa ahaa hab aad u macaan, inkastoo dhalmada ay ahayd mid degdeg ah.",mole kasar,negative
899,"La joog digaaga la dubay oo waxaad noqon doontaa ganaax, laakiin cake waa celcelis ahaan, miisaska waa uncomfortably close and host is fide.",chicken la dubay,positive
902,"Adeegga ayaa ka mid ahaa kuwa ugu fiican ee aan abid lahaa in NYC, laakiin qolka waa caraabaah.",Adeegga,positive
905,"Alfredo-ga fettucino wuxuu ahaa mid cajiib ah, laakiin qaybaha waa yar yahay, maraq chickpea-da dhulka waa dhuuban yahay oo cunto ma ahan mid qiimaheedu.",fettucino alfredo,positive
908,"Qiimaha xitaa ka baxsan makhaayad toddobaadkii waxay ahaayeen weyn, laakiin qiimaha waa xad dhaaf ah, khudaarta waa mugdi iyo sugitaanka waa xushmad.",Qiimaha,positive
912,"The bartenders iyo maamulayaasha waa run ahaantii fiican iyo qurxinta waa mid aad comfy iyo laascaanood-dhabarka, oo dhan halka iyagoo trendy, laakiin miisaska waa uncomfortably dhow.",maareeyayaasha,positive
916,"the bartenders and the managers are really nice and the décor is very comfy and laid-back, oo dhan halka la trendy, laakiin cajalad ka curried ma aha mid fiican.",bartilmaamed,positive
920,"the bartenders and the managers are really nice and the décor is very comfy and laid-back, all the while being trendy, laakiin waiter is annoyed and sushi is bigger.",décor,positive
924,"Waan jeclahay cabitaannada, esp lychee martini, iyo cuntada sidoo kale waa MID AAD u wanaagsan, laakiin biilku waa weyn yahay.",cabitaan,positive
928,"Waan jeclahay cabitaannada, esp esp lychee martini, iyo cuntada sidoo kale waa MID AAD u wanaagsan, laakiin cuntada waa mid aad u xun oo size waa mashquul.",lychee martini,positive
932,"Waan jeclahay cabitaannada, esp esp lychee martini, iyo cuntadu sidoo kale waa MID AAD u fiican, laakiin sugaha waa ka xanaajiyay xaafadahana waa qaali.",cuntod,positive
936,"Sushi si macquul ah qiime iyo mid cusub, laakiin digaaggu waa mugdi, cuntaduna ma aha mid raqiis ah.",qaali,positive
940,"sushi waa mid qiimo macquul ah oo cusub, laakiin qiimuhu waa sare, raashinkuna ma raqiis ahan, adeeguhuna wuu ka xumaatay.",suldaa,positive
943,"Way fiican tahay qadada sushi degdeg ah, laakiin cake ma aha mid u qalan in aad dibadda u istaagto.",sushi qadada,positive
946,"Ma aha oo kaliya in ay leeyihiin escargot ugu fiican ee magaalada, waxay had iyo jeer isku dayaan in ay meel our baradka, laakiin cuntada waa ka hooseeya celceliska, maareeyaha waa xushmad iyo adeegga bar waa gaabis",escargot,positive
950,"Appetizer waa heer wanaagsan halkan; waxaad ka dhigi kartaa cunto weyn (iyo jaban) iyaga ka mid ah, laakiin qiimaha ma qiimaheedu iyo maraq chickpea dhulka waa dhuuban.",Appetizer,positive
954,"Appetizer waa heer wanaagsan halkan; waxaad ka dhigi kartaa cunto weyn (oo aan jabaneyn) iyaga ka soo baxay, laakiin cake waa celcelis ahaan iyo waayo-aragnimada cuntada waa mid aad u xun.",raab,positive
957,"muusikada xawaashka leh waa wax lagu farxo, lakiin eyaha kulul ayaa ugu xun adeegana waa gaabis.",muusikada basbaaska ah,positive
959,"Mojito leedahay oo fadhiiso barxadda dambe, laakiin qiimaha ma aha qiimo iyo qolka waa caraabaah.",dib patio,positive
961,"Hayo mojito oo fadhiiso barxadda dambe, laakiin milkiilaha waa been abuur ah, saxan waa la cuni karo iyo raashinkuna waa mid laga cabsado.",mojito,positive
965,"Inkastoo cuntadooda jikadu ay tahay mid macaan, haddana Sushigooda waa mid ka baxsan dunidan, laakiin adeeggu waa mid xun.",cuntada jikada,positive
969,"Inkastoo cuntadoodu ay tahay mid macaan, hadana Sushigooda waa mid ka baxsan dunidan, laakiin adeeggu waa mid aad u xun.",Sushii,positive
973,"Meeshani waxay leedahay menu ugu cajiib ah iyo makhaayadaha isku dayo aad u adag si ay u sameeyaan cunto fancy, laakiin xulashada khamriga waa weyn.",menu,negative
977,"Meeshani waxa ay leedahay menu shisheeyaha iyo makhaayadaha aad isku dayo in ay aad u adag tahay in la sameeyo malana, laakiin King crab salad la vinaigrette miraha kacsi waa hal abuur leh, meesha waa la jecel yahay iyo gaarsiinta waa degdeg ah.",cuntod,negative
979,"Mar kasta oo aan halkaas tago ma dooran karo wax aan cuno mana ahan sababtoo ah menu waxaa ka buuxsamay waxyaabo waaweyn oo la cuno, laakiin burgers duban organic waa caan.",menu,negative
981,"Had iyo jeer waxaan naftayda ka helaa anigoo weydiinaya adeegaha in uu sameeyo wax dhuuban oo ka duwan waxa ku jira menu-ga, laakin waxaan jeclahay qoofal jilicsan oo leh madaale, saxanku waa kan ugu fiican.",khadka,neutral
983,"Mar walbo waxaan naftayda ka helaa anigoo codsanaya adeegaha in uu sameeyo wax dhuuban oo ka duwan waxa ku jira menu-da, lakiin cuntadu waa weyntahay, waxaan isku dayaa maraqiib kulul oo dhan iyo pizza waa wax lala yaabo.",menu,neutral
985,"Inkastoo makhaayadda lafteeda lafteeda uu fiican yahay, Waxaan doorbidi in aanan tagin cuntada, laakiin cuntada badda waa weyn, adeeggu waa weyn yahay iyo kariye waa kariye waa karti.",cuntod,negative
988,"Meeshan yari waa cajiib diirran soo dhawaynta, laakiin adeeggu si daran ayuu u gaabis yahay, adeeggu wuu xun yahay, shaqaaluhuna way xumaataa.",meele,positive
990,"The martida (milkiilaha) iyo server waa shakhsi iyo daryeelka, laakiin qado waa awood iyo adeeg waa mid aad u xun.",martiqaad (milkiile),positive
993,"the martida (milkiilaha) iyo servers yihiin qof iyo daryeelka, laakiin cuntada ma aha mid aad u wanaagsan iyo adeega bar waa gaabis.",server,positive
995,"Raashinkana, si fiican ayaa cuntadu kuu hayn doontaa in aad soo noqotid, laakiin maamuluhu waa nimcolaale la'aan, nalka waa mid aan la soo jiidasho lahayn, qaddiyuhuna wuu ka xanaaqayaa.",cuntod,positive
997,"Iyo raashinka, si wanaagsan ayaa raashinku kuu haynayaa inaad soo noqotid, laakiin dadka iibka iibiya waa xushmad daro, qiimana ma qaalina.",cuntod,positive
999,"Waxay leeyihiin baasto wax afka laga sameeyo oo nooc walba ah - waxaan ku talinayaa gnocchi- yum, laakin baarayaasha baarayaasha waa wax aad u xun, cabirku wuu mashquul badan yahay dhalmaduna waa ka digtoon tahay.",pastas guriga laga dhisay,positive
1002,"Waxay leeyihiin baastada laga sameysto afka hooyo ee nooc kasta leh -- waxaan ku talinayaa gnocchi- yum, laakin adeegu wuu niyad jabay, meesha ay ku hoyato waa suurtagal ahaan adeeguna waa gaabis.",gnocchi,positive
1004,"Sidoo kale, digirta digirta leh shiinbir (appetizer) waa ilaah, laakiin cuntada waa ka hooseeyaa celceliska, meesha ku haboon iyo eeyaha kulul waa ugu xun.",feeraha chick la shrimp (appetizer),positive
1007,"mojitos iyo adeegga yihiin kuwa ugu fiican ee halkaas, laakiin gudaha waa celcelis iyo maamulaha waa nimco la'aan.",mojitos,positive
1010,"mojito-yada iyo adeega ayaa ah qaybta ugu fiican ee halkaasi ka jirta, laakiin raashinka ayaa ahaa mid si dhib yar loo cuni karo, waxaana uu qofkii adeega u muuqday mid ka xanaajiyay.",adeege,positive
1013,"Service ahaa mid wanaagsan oo sidaas oo kale ahaa atmosfere ah,laakiin nalalka waa soo jiidasho lahayn, iyo maraqa mole waa mid aad u macaan.",Adeegga,positive
1016,"Adeeggu wuu ficnaa, jawigana wuu ahaa, laakiin adeeggu waa mid liita.",jawiga,positive
1019,"MY taariikhda oo aniga iyo labadeenba amartay Branzini iyo labada dareemay kalluunka ahaa mid aad u celcelis ahaan, laakiin jawiga waa eyda weyn iyo kulul waa weyn.",kaluun,negative
1022,"MY taariikhda oo aniga iyo labaduba amartay Branzini iyo labada dareemay kalluunka ahaa mid aad u celcelis ahaan, laakiin boqor salad crab la vinaigrette midho xiisad waa hal abuur leh.",Branzini,neutral
1025,"Guud ahaan raashinku wuu wanaagsanaa. , laakiin disco pop duo waa mid aad u xun.",cuntod,positive
1028,salad caeser ahaa weyn; lakiin qiimaha wuu sareeyaa milkiilahana wuxuu u dhaqmo falal been abuur ah.,kale salad,positive
1031,"calamari la shiilay xitaa wuu ka fiicnaa, laakiin gudaha waa celcelis ahaan qaybahana waa yar yahay.",calamari jilicsan,positive
1034,"Anigu aad baan ugu niyad jabay Cuntada, laakiin marti qaaduhu waa mid aad u fiican oo u macaan malab-mustaarad iyo hilib lo'aad oo gaaban feedhaha gaaban waa macaan yahay.",CUNTADA,negative
1038,"THE PUDDING MUUSKA AY U ADEEGAAN WELIGOOD MA ARAG FOORNO,CRABCAKES WAA HAB KA BADAN CUSBO OO HA I BILAABIN ON MAC AAD U DUFAN IYO JIISKA, laakiin sushi waa cusub.",MAC IYO KAAS,negative
1042,"THE PUDDING MUUSKA AY U ADEEGAAN WELIGEY MA ARAG FOORNO,CRABCAKES WAA HAB KA BADAN CUSBO OO HA I BILAABIN ON MAC AAD U DUFAN IYO JIISKA, laakiin adeega waa fiican yahay.",CRABCAKES,negative
1044,"THE PUDDING BANANA AY U ADEEGAAN WELIGEY MA ARAG FOORNO AH,CRABCAKES WAA JID KA BADAN CUSBO OO HA IGU BILAABAY ON THE MAC AAD U dufan iyo Jiiska, laakiin waxaan ku raaxaysan curry, suxuunta waa la isku dayay-iyo-run iyo cabitaanka waa weyn.",BANAAN PUDDING,negative
1047,"Sushi si cusub si cusub oo ay u xanuuqay in ay afkaaga, laakiin cuntada waa ka hooseeyo celceliska, cuntada waa fancy iyo baararka baararka waa xushmad daro.",Sushii,positive
1050,"Laakiin hubi in aad leedahay qolka ku filan oo ku saabsan kaarkaaga deynta sida biilka tagi doonaa dent weyn ee jeebkaaga, laakiin saacadda ugu faraxsan tahay waa raqiis ah, cuntada waa mid aad u fiican iyo biir xulashada waa weyn.",bill,negative
1054,"raashinku wuxuu ahaa mid xun in ay noqdaan nooca - gudaha waa mid yar oo isku celcelis ah - milkiilayaasha waa koox tag-team ah oo aan ficil lahayn - sidaa daraadeed aan firfircoonayn iyo dhab ahaantii i soo daa guwad wadnaha ah halka cuntada, laakiin qiimaha waa weyn yahay, cuntada waa weyn yahay.",gudaha,negative
1056,"cuntadu waxay ahayd mid ladanbayd ah in ay noqoto nooca - gudaha waa mid yar oo isku celcelis ah - milkiilayaasha waa koox tag-team ah oo aan caadi ahayn - sidaa daraadeed aan firfircoonayn oo aan dhab ahaantii ii soo daayo gumaato wadnaha ah halka cuntada lagu cunayo, laakiin muuqaalku waa weyn yahay, qabow sisin sisin ah waa jacayl iyo khamri waa fiican yahay.",cune,neutral
1060,"Raashinku wuxuu ahaa mid laxaad leh, in uu noqdo mid naxariis leh: gudaha waa mid yar oo isku celcelis ah, milkiilayaashuna waa koox tabar-darro ah - sidaa daraadeed si aan firfircoonayn oo aan ficil lahayn dhab ahaantii waxaan iska daayay gumaabo wadnaha ah halka ay cuntada ku jirto; laakiin huwanta sushii waa ugu macaan, oo runtii waa saaxiibtinimo.",milkiilayaasha,negative
1064,"raashinku wuxuu ahaa mid ladan oo ah in uu noqdo nooca - gudaha waa mid yar oo isku celcelis ah - milkiilayaasha waa koox tag-team ah oo aan ficil lahayn - sidaa daraadeed si aan daacad ahayn oo aan dhab ahaantii u soo daayo guwaal wadnaha ah inta lagu cunayo, laakiin menu waa mid hufan.",cuntod,negative
1067,"Cuntadu aad ayey qaali u ahayd waxa aad hesho, lakiin cake-ku waa iftiin.",Cuntada,negative
1070,"Suuliga $ 72 ee Delmonico waxay ahayd in dib loo soo celiyo sababtoo ah lama karsanin si loo dalbado, laakiin waxaan kugula talinayaa digaag oranji / hilib lo'aad.",Delmonico steak,negative
1073,"Management The ahaa in ka yar hoy, laakiin jawiga waa weyn oo qabow noodles sisinta waa delectable.",Maamulka,negative
1077,"Had iyo jeerba waxaan helnaa adeeg cajiib ah oo aan jecelnahay cuntada, lakiin qofku waa xushmad daro macaamilkuna afka dheer ayuu ku hadlaa.",adeege,positive
1081,"Had iyo jeer waxaan helnaa adeeg cajiib ah oo aan jecelnahay cuntada, laakiin bartender waa xushmad daro.",cuntod,positive
1084,"Waxaan heystay cunto Fiican oo Japanese ah oo aan ka helo barxad cunto oo suuqa laga cuno, laakiin kafeega ayaa ka fiican.",cuntada Japanese,negative
1087,"Socodka ugu horeeyay ee meesha u muuqday in uu lahaa jadwal weyn, laakiin cake waa celcelis, gaarsiinta waa digtoonaan iyo adeega waa mid laga cabsado.",ambience,positive
1089,"Socodka ugu horeeyay ee meesha ayaa u muuqday in uu leeyahay jadwal weyn, laakiin qolka waa carab, adeeguna waa ugu xun yahay.",meele,positive
1092,"Laakiin cuntada waxay ahaayeen kuwo laga cabsado, laakiin cunto aad u fiican iyo barafyada Faransiiska caanka ah ee McDonald waa mid la jecel yahay.",meals,negative
1094,"Waxaan amar ku bixiyay Chicken Teriyaki iyo ninkeyga waxay heleen Toon Shrimp, laakiin duubista leh crab waa weyn yahay adeeguna waa midka ugu sarreeya.",Garlic Shrimp,neutral
1096,"Waxaan amar ku bixiyay Teriyaki Chicken ah iyo ninkeyga helay Garlic Shrimp, laakiin takhasuska baastada waa cajiib ah, salad eggplant waa fiican iyo sushi ugu fiican yahay.",Chicken Teriyaki,neutral
1100,"My chicken ahaa si buuxda u qalalay baxay iyo dhinaca qabow iyo maraqa ma ahaa mid aad u dhadhan leh, laakiin dhadhanka waa si wacan ula yaabay, vibe waa weyn iyo xulashada khamriga (ugu horrayntii Spanish) waa mid xiiso leh.",kasar,negative
1104,"Cunigii gebi ahaanba wuu qalalay oo dhanka qabow ayuu ii ahaa, dhanka qabowgana ma ahayn wax aad u dhadhan badan, laakin goob bannaanka lagu cuno waa mid aad u yar oo baalashana way fiicantahay.",shiiny,negative
1108,"Midda ugu fiican ee aan oran karaa waa adeegu inuu ahaa mid degdeg ah, isla markiiba fadhiistay server-kuna ahaa mid aad u saaxiibtinimo, lakiin raashinku waa qaali.",adeege,positive
1112,"Mid ka mid ah wax fiican aan oran karaa waa in adeegga ahaa mid degdeg ah, waxaan isla markiiba fadhiistay iyo server ahaa mid aad u saaxiibtinimo, laakiin dadka ayaa ka xun oo waayo-aragnimada cuntada ayaa ka xun.",server,positive
1115,"Jidka lacag aad u badan cuntada laga cabsado sida a xun, laakiin cuntada waa wax badan ka qiimo jaban, cuntada la yaabay iyo adeegga waa wanaagsan yahay.",raab,negative
1119,"Khibrad weyn ku lahaa Trio ... shaqaaluhu wuxuu ahaa mid wacan; Cuntoku wuxuu ahaa mid dhadhan leh oo waaweyn ee xajmiga qaybta - waxaan si aad ah ugu talin lahaa portobello / gorgonzola / sacusage appetizer iyo risotto lobster, laakiin qiimaha waa mid sare, qiimaha waa mid xad dhaaf ah iyo maaraynta ayaa ka yar marka loo eego hoyga.",lobster risotto,positive
1123,"Khibrad weyn ku lahaa Trio ... shaqaaluhu wuxuu ahaa mid wacan; Raashinku wuxuu ahaa mid dhadhan leh oo aad u weyn ee qaybta qaybta ah - Waxaan si aad ah ugu talin lahaa portobello / gorgonzola / sacusage appetizer iyo lobster risotto, laakiin liiska khamrigu waa mid niyadjabsan adeeguna waa mid liidata.",cuntod,positive
1127,"Khibrad weyn ku lahaa Trio ... shaqaaluhu wuxuu ahaa mid wacan; Raashinku wuxuu ahaa mid dhadhan leh oo aad u weyn ee xajmiga qaybta - waxaan si aad ah ugu talin lahaa portobello / gorgonzola / sacusage appetizer iyo lobster risotto, laakiin hoorsiga waa xushmad daro iyo cunno ma ahan mid aad u wanaagsan.",portobello / gorgonzola / appetizer sausage,positive
1131,"Khibrad weyn ku lahaa Trio ... shaqaaluhu wuxuu ahaa mid wacan; Raashinku wuxuu ahaa mid dhadhan leh oo aad u weyn ee qaybta qaybta - waxaan si aad ah ugu talin lahaa portobello / gorgonzola / sacusage appetizer iyo risotto lobster, laakiin cunto waa mid aan is-ogolayn.",shaqaalaha,positive
1135,"Khibrad weyn ku lahaa Trio ... shaqaaluhu wuxuu ahaa mid wacan; Cuntoku wuxuu ahaa mid dhadhan leh oo waaweyn ee xajmiga qaybta - waxaan si aad ah ugu talin lahaa portobello / gorgonzola / sacusage appetizer iyo risotto lobster, laakiin qiimaha ma qiimo leh iyo adeegu waa gaabis.",size adag,positive
1138,"Adeegga wuxuu ahaa mid aad u dhageysta oo aad u deeqsi ah, laakiin dadka xanuun-sidaha waa xushmad, fennel dhadhan sausage Talyaani waa culus yahay iyo cabitaanku waa mid aad u xun.",adeege,positive
1141,"Waxaannu haysannay tonno badan oo cunto badan, iyo khamri iyo macmacaan, laakiin cuntadu waa wax qoslayaal ah.",khamrie,positive
1144,"Waxaannu haysannay ton oo ah cunto weyn, iyo khamri iyo macmacaan, laakiinse adeegiddu waa la ceebeeyey.",caleemos,positive
1147,"Waxaan haysannay tanaan oo cunto weyn ah, khamri iyo macmacaan, laakiin maraqa jilicsan waa macaan yahay, liiska khamrigu waa mid niyadjabsan, eeyaha kululuna waa ugu xun yihiin.",cuntod,positive
1150,"Really lovely khibrad cuntada ee ku dhex jira bartamaha bartamaha magaalada barqadii, laakiin dhadhanku waa gaaban yahay, sugaha waa xushmad iyo cunto waa ka hooseeyaa celceliska.",waayo-aragnimo cunitaanka,positive
1152,"adeegga had iyo jeer waa weyn, oo milkiilaha socoto agagaarka si loo hubiyo in aad ku raaxaysan, laakiin qiimo waa sare.",milkiilaha,positive
1155,"adeegga mar walba waa weyn, iyo milkiilaha socod ku wareegsan si loo hubiyo in aad u raaxaysan, laakiin xaleegga waa qaali ah oo cajalado curried waa adag.",adeege,positive
1157,"naloo fadhiistay isla markiiba meel u dhaw dabaqa qoob ka ciyaarka, laakiin adeeggu wuu fican yahay.",dabaqa qoob ka ciyaarka,neutral
1161,"music waxay ahayd mid xiiso leh, laakiin wuxuu ka tagay qolka wada hadalka, iyo baryootanka sameeyey cabitaanno fiican; adeegga waa suurtogal waa gaabis ah iyo cookies fortune waa cabasho.",cabitaan,positive
1165,"music waxay ahayd mid xiiso leh, laakiin wuxuu ka tagay qolka wada hadalka, iyo baryootanka sameeyey cabitaanno fiican; casseroles curried waa adag.",baararka,positive
1169,"music waxay ahayd mid xiiso leh, laakiin wuxuu ka tagay qolka wada hadalka, iyo baryootanka sameeyey cabitaanno fiican; dadku waa ugu xun yahay, cuntada nasiibku waa cabasho, raashinkuna wuu niyad jabayaa.",muusik,positive
1173,"raashinka runtii ma ahan mid aad u wanaagsan adeeguna waa mid aad u xun, lakiin qiimaha wuu fiican yahay, qiimuhu wuu fiican yahay waxaanan isku dayayaa calamari.",adeege,negative
1177,"Raashinka runtii aad uma fiicna adeeguna waa mid aad u xun, lakiin cuntada Hindiya waa mid halis ah, eeyaha kulul ayaa fiican adeeguna wuu fiican yahay.",cuntod,negative
1181,"Waan ku faraxsanahay inaan sameeyay maadaama ay raashinku aad u fiicnaayeen shaqaaluhuna uu ahaa mid saaxiibtinimo, xushmad iyo hufnaan, laakiin sugayaashu way careysan yihiin, qaybo waa yar yahay iyo waayo-aragnimada cuntada ayaa ugu xun.",shaqaalaha,positive
1185,"Waan ku faraxsanahay inaan sameeyay maadaama uu cuntadu aad u fiicnaa shaqaaluhuna uu ahaa mid saaxiibtinimo, ixtimaali ah oo hufan, lakiin cakeku waa celcelis ahaan xanuunka u hayaana waa xushmad la'aan.",cuntod,positive
1187,"WELIGAY MA AANAN HAYSAN RAASHIN XUN (AMA ADEEG XUN ) @ PIGALLE, lakiin cuntada ayaa ka xun.",MARKA,positive
1189,"WELIGAY MA AANAN HAYSAN RAAXO XUN (AMA ADEEG XUN ) @ PIGALLE, laakiin miisasku si aan go'NAYN u dhow yihiin.",RAS,positive
1192,"Tani waxay ka dhigtay mid iska cad in aan cunnada la karin wax cusub; si cad ayaa loo sameeyay ka hor gacanta ka dibna wuu kululaaday, laakin waxaan isku dayaa feeraha, dhadhanku si wacan ayuu ula yaabay suxuuntuna waa hal abuur leh.",cuntod,negative
1195,"inta lagu jiro hrs mashquul ah, i ku talinaynaa in aad sameyso boos, laakiin adeegga waa saaxiibtinimo, kafeega waa ka wanaagsan yahay iyo shaqaalaha waa saaxiibtinimo.",qabsashada,neutral
1198,"Laakiin macaskaygoodu wuxuu ahaa Yummy; adeeggu waa mid aad u xun, maamuluhu waa xushmad daro, cuntaduna waa ka hooseysaa celceliska.",mac-kaas,positive
1200,"ay menu quraac lahaa wax qof walba, laakiin liiska khamriga waa niyadjab iyo hostess waa xushmad.",kabaha madadaalada,positive
1203,"Fanaanada jazz waxay lahayd cod fiican + waxay naga dhigtay inaan dhammaanteen kor u kacno qoob ka ciyaarka si aan u ruxno qaar ka mid ah cals si ay u cunaan wax dheeraad ah, laakiin adeeggu waa mid masaakiin ah.",fanaanada jazz,positive
1205,"Haddii aad raadinayso cunto nasiibka badan qiimo jaban la dash ah muuqaal ghetto cheap BX A $ $ tani waa meel si ay u noqon, laakiin cunto waa weyn, jawi cuntada waa fiican yahay iyo digaag waa jacayl.",muuqaalka,negative
1209,"Haddii aad raadinayso cunto nasty sare qiimo leh la isdabajoog ah muuqaal ghetto cheap BX A $ $ this waa meesha ay tahay in ay noqon, laakiin entrees waa delectable iyo maraq waa kulul.",cuntod,negative
1213,"Haddii aad raadinayso cunto nasiib leh qiimo sare la isdabajoog ah muuqaal ghetto cheap BX A $ $ tani waa meel ay u noqon, laakiin vibe waa weyn iyo fries caanka ah ee McDonald ee Faransiiska caanka ah waa jecel.",qaali,negative
1216,"adeegga waa si degdeg ah saaxiibtinimo, laakiin eeyaha kulul ugu xun yahay iyo menu waa yar yahay.",adeege,positive
1219,"Waxaan soo aragnay makhaayad this by shil halka at a DUMBO xaflad farshaxan oo si hufan u riyaaqay cuntada our, laakiin dadka loo haysto waa xushmad iyo music waa mid aad u culus.",raab,positive
1223,"Cuntada waxay ahayd mid aad u fiican - cunto talyaani oo dhab ah oo gebi ahaanba cusub sameeyey, laakiin fennel dhadhan sausage Talyaani waa culus yahay iyo cunno ugu xun.",cunto Talyaani ah,positive
1227,"Cuntadu waxay ahayd mid aad u fiican - cunto talyaani oo dhab ah oo gabi ahaanba cusub laga sameeyay, laakiin cake ma istaahilo in dibada la istaago, suugo mole waa mid aad u macaan oo siman waa weyn.",cuntod,positive
