,ha,aspect,polarities
858,"Na ci a dukan wurare uku kuma ina son, ina son abincin, hidima koyaushe tana da ban sha'awa kuma kuɗin ya dace, amma ƙasa tana da tsawon tsawon lokaci kuma cin abinci mafi muni.",abinci,positive
861,"Idan kana son ka ɗanɗana abinci mai kyau, ka ci abinci na Latin da aka ƙware a Cabana kuma ba za ka iya yin kuskure ba, amma ɗan'uwa mai ɗan",Abinci na Latin,positive
865,"Ba a yi girma da kyau ba, ana da kyau a yi wa'azi, lambun yana da kyau, ana iya cin abincin (da ake ci har da abinci), amma abincin ƙaramin ne, tsada yana da tsada kuma kifi yana da tsawon",lambu,positive
869,"Ba a yi girma da kyau ba, ana farin ciki da hidima, lambun yana da kyau, abincin (da ake ci har abinci na ci) yana da kyau, amma masu ba da abinci suna fushi, ' yar'uwar tana da rashin hankali kuma shan giya yana da ban sha'awa.",sabis,positive
873,"Ba a yi amfani da shi da kyau ba, ana iya cin abincin da ake ci, amma ana iya cin nauyin lobster.",appetizers,positive
877,"Ba a yi amfani da shi da kyau ba, ana yin hidima mai kyau, lambun yana da kyau, abincin (da ake ci har abinci na ci) yana da sauƙi, amma a cikin gida yana da tsawon tsawon lokaci kuma ana yin hidima da sauri.",entrees,positive
881,"Ba a yi girma da kyau ba, ana farin ciki da hidima, lambun yana da kyau, abincin (da ake ci har abinci na ci) yana da sauƙi, amma kujerun da ake buɗe ba shi da sauƙi, abincin ƙaramin ne kuma tsada ne sosai.",abinci,positive
884,"Yum, ƙanƙara tana da kyau a nan, amma kifi yana da tsawon",Dan,positive
886,"Guac mai shafaffu ne, amma ba shi da laushi, muna son mu ƙara salsa sabuwarmu cikinsa, amma girmar sashe babba ne, french fries - da dalmatia dip yana da ban sha'awa kuma mussels mai laushi ne.",sabuwar salsa,neutral
889,"Guac mai daɗi ne, amma ba shi da laushi, muna son mu ƙara salsa sabuwarmu cikinsa, amma launi mai kama da velvet, mai daɗi mai kyau ne kuma mai ɗan",2019,negative
893,"Fajita da muka yi ƙoƙari ba ta da ɗanɗano kuma ta ƙona kuma sosin ƙwaƙwalwa ya yi daɗi sosai, amma hidima tana da kyau.",fajita,negative
897,"Fajita da muka yi ƙoƙari ba shi da ɗanɗano kuma an ƙona shi kuma sosin ya yi daɗi sosai, ko da yake ana kai shi da sauri.",sosi na mole,negative
899,"Ka zauna tare da ' yan banza da aka ƙonawa kuma za ka yi lafiya, amma keki yana da tsawon",' Yan maraƙi da aka ƙonawa,positive
902,"Hidima tana cikin abubuwan da na taɓa yi a birnin New York, amma ɗakin ba shi da wuya.",Sabis,positive
905,"Abin mamaki ne cewa abincin yana da ban mamaki, amma ba shi da yawa, kuma abincin ba shi da amfani.",2019 Alfredo,positive
908,"Kuɗin da ake biyan a bayan mako na manzanni ya yi daɗi sosai, amma sayar tana da tsada sosai, daji ba shi da duhu kuma jira ba shi da kyau.",Kuɗi,positive
912,"Masu sayar da bar da shugabannin suna da kyau sosai kuma ado yana da sauƙi kuma yana da sauƙi, duk da haka yana da kyau, amma teburori suna kusa da juna.",masu kula,positive
916,"Masu sayar da bar da shugabannin suna da kyau sosai kuma ado yana da sauƙi kuma yana da sauƙi, duk da haka yana da kyau, amma kaset mai daɗi ba shi da kyau.",bar,positive
920,"Masu sayar da bar da shugabannin suna da kyau sosai kuma ado yana da sauƙi kuma yana da sauƙi, duk da haka yana da kyau, amma mai ƙwaƙwalwa yana fushi kuma sushi ya fi girma.",décor,positive
924,"Ina son shan giya, esp lychee martini, kuma abincin yana da kyau sosai, amma biyan biyan biyan biyan biyan",shan giya,positive
928,"Ina son shan giya, esp lychee martini, kuma abincin yana da kyau sosai, amma cin abinci yana da ban sha'awa kuma girma yana da yawa.",lychee martini,positive
932,"Ina son shan giya, esp lychee martini, kuma abincin yana da kyau sosai, amma mai ɗan ziyara yana fushi kuma ƙanƙara suna da tsada.",abinci,positive
936,"Sushi yana da tsada da kuma shafaffu, amma shan shanin duhu ne kuma abinci ba shi da sauƙi.",farashin,positive
940,"Sushi yana da tsada da kuma shafaffu, amma tsada yana da tsada, abinci ba shi da sauƙi kuma mai ƙwaƙwalwa yana fushi.",sushi,positive
943,"Yana da kyau a ci abinci na sushi nan da nan, amma keki ba ya dace a tsaya a waje.",Sushi lunch,positive
946,"Ba kawai suna da ƙanƙara mafi kyau a garin ba, koyaushe suna ƙoƙarin su kula da ɗanmu, amma abincin ya rage tsawon",dars,positive
950,"Appetizer suna da kyau a nan; Za ka iya yin abinci mai kyau daga gare su, amma kuɗin ba ya da amfani kuma sufi na ƙasa ya ƙare.",Appetizer,positive
954,"Appetizer suna da kyau a nan; Za ka iya yin abinci mai kyau daga gare su, amma keki yana da tsawon tsawon lokaci kuma abincin ba shi da sauƙi.",cin abinci,positive
957,"Waɗannan ƙanƙanin suna da muhimmanci sosai, amma hot dogs ba su da kyau kuma ba a yi amfani da su a hanyar da ta dace ba.",mussels masu laushi,positive
959,"Ka yi amfani da mojito kuma ka zauna a bayan ɗakin, amma kuɗin ba shi da amfani kuma ɗakin yana da sauƙi.",bayan ɗakin,positive
961,"Ka ci mojito kuma ka zauna a bayan ɗakin, amma mai mulkin ƙarya ne, abinci yana ci kuma abinci yana da ban sha'awa.",mojito,positive
965,"Ko da yake abincin da suke ci a kusantar yana da laushi, sushi da suke yi ba shi da wannan duniyar, amma hidima ba ta da kyau.",Abinci na kitchen,positive
969,"Ko da yake abincin da suke ci a kusantar yana da laushi, sushi da suke yi ba shi da wannan duniyar, amma hidima ba ta da kyau.",Sushi,positive
973,"Wannan wurin yana da abinci mafi ban mamaki kuma manzannin suna ƙoƙari sosai su yi abinci mai kyau, amma zaɓan ruwan inabin yana da kyau.",menu,negative
977,"Wannan wurin yana da abinci mafi ban mamaki kuma manzannin suna ƙoƙari sosai su yi abinci mai kyau, amma salad na king crab da vinaigrette na ' ya'ya mai sha'awa yana da kyau, wuri yana da kyau kuma a kai shi nan da nan.",abinci,negative
979,"Kowace lokaci da na je wurin, ba zan iya zaɓan kome da zan ci ba domin abincin yana cike da abubuwa masu kyau da za a ci, amma burger da aka ƙwace da ƙwaƙwalwa yana da son mutane.",menu,negative
981,"Ina gaya wa mai ƙwaƙwalwa ya yi wani abu mai ban sha'awa da ya bambanta da abin da ake ci, amma ina son sandwich na ƙanƙara da friji, wannan abincin ne mafi kyau.",mai ba da abinci,neutral
983,"Ina gaya wa mai ɗan ƙwazo ya yi wani abu mai ban sha'awa da ya bambanta da abin da ake ci, amma abinci yana da kyau, ina ƙoƙarin sufi mai zafi da mai daɗi kuma pizza mai ban mamaki ne.",menu,neutral
985,"Ko da yake gidan abinci da kansa yana da kyau, na fi son kada in je don cin abinci, amma abinci na teku yana da kyau, hidima mai kyau ce kuma mai da abinci mai iyawa ne.",abinci,negative
988,"Wannan ƙaramin wuri yana da kyau sosai, amma hidima ba ta da sauƙi, hidima ba ta da kyau kuma ma'aikata ba su da kyau.",wurin,positive
990,"Mai gidan da kuma masu hidima suna da kyau kuma suna kula da su, amma cin abinci iko ne kuma hidima tana da ban sha'awa.",Mai ba da (ma'abucin),positive
993,"Mai ba da abinci (mai mulki) da savan suna da kyau kuma suna kula da su, amma abinci ba shi da kyau sosai kuma hidima ta bar tana da sauri.",sabobin,positive
995,"Kuma abincin, abincin zai sa ka dawo, amma manajan ba shi da kyau, haske ba shi da kyau kuma mai ba da abinci yana fushi.",abinci,positive
997,"Kuma abincin, abincin zai sa ka dawo, amma sayar da mutane ba shi da kyau kuma kuɗin ba shi da amfani.",abinci,positive
999,"Suna da dukan irin pasta da aka yi a gida - ina shawarwarin gnocchi - yum, amma masu sayar da bar suna da ban sha'awa, girma yana da shagala kuma idarwa tana da hankali.",Pasta da aka yi a gida,positive
1002,"Suna da dukan irin pasta da aka yi a gida - ina shawarwarin gnocchi - yum, amma hidima ta yi sanyin gwiwa, wurin yana da sauƙi kuma hidima tana da ɗan jinkiri.",gnocchi,positive
1004,"Ƙari ga haka, ƙanƙara da ke da shimi (appetizer) allah ne, amma abinci bai kai tsawon",ƙanƙara da shimi (appetizer),positive
1007,"Mojitos da kuma hidima ne mafi kyau a ciki, amma ƙasa tana da tsawon tsawon lokaci kuma manajan ba shi da kyau.",mojitos,positive
1010,"Mojitos da kuma hidimar suna da kyau a wurin, amma abincin ba a ci ba kuma mai ɗan ziyara ya yi fushi da shi.",sabis,positive
1013,"Hidima tana da kyau da kuma atmosfere, amma haske ba shi da kyau, kuma sosin mole yana da daɗi sosai.",Sabis,positive
1016,"Hidima tana da kyau kuma yanayin yana da kyau, amma ba a yi hidima sosai.",sa'a,positive
1019,NI da matata mun zaɓi branzini kuma na ga cewa kifin yana da tsawon,Kifi,negative
1022,NI da matata mun zaɓi Branzini kuma na ga cewa kifin yana da tsawon,Branzini,neutral
1025,"Abin da ake ci ya yi kyau. , amma disco pop ma'aurata suna da ban sha'awa.",abinci,positive
1028,Salad na caeser yana da kyau; Amma kuɗin yana da tsada kuma mai gidan ya yi ƙarya.,salad na caeser,positive
1031,"Calamari da aka dafa ya fi kyau, amma yana da tsawon ciki kuma ba shi da yawa.",da aka dafa calamari,positive
1034,"NA YI BAƘIN ciki sosai da abincin, amma mai ba da abinci yana da kyau kuma ƙanƙara mai daɗi da mai daɗi.",ABINCI,negative
1038,"BANANA PUDDING DA SUKE BA DA BAI TAƁA GANIN WUTAR BA, CRABCAKES SUN FI RUWAN GISHIRI KUMA KADA KA SOMA NI A MAC DA CHEESE MAI MAI",MAC DA CHEESE,negative
1042,"BANANA PUDDING DA SUKE YI BA SU TAƁA GANIN WUTAR BA, CRABCAKES SUN FI RUWAN GISHIRI KUMA BA SU SOMA NI A MAC DA CHEESE MAI MAI MAI MAI",CRABCAKES,negative
1044,"BANANA PUDDING DA SUKE YI BA SU TAƁA GANIN WUTAR BA, CRABCAKES SUN FI RUWAN GISHIRI KUMA KADA KA SOMA NI A MAC DA CHEESE MAI MAI DAƊI, amma ina jin daɗin curry, abinci yana da kyau kuma yana da kyau.",BANANA PUDDING,negative
1047,"Sushi mai daɗi sosai har ya ƙare a bakinka, amma abinci bai kai tsawon",Sushi,positive
1050,"Amma ka tabbata cewa kana da isashen wuri a kadin ƙura da kake da shi domin biyan biyan zai sa ka ɓata kuɗin, amma sa'ar farin ciki tana da sauƙi, abinci yana da kyau kuma zaɓan bira yana da kyau.",bill,negative
1054,abincin ba shi da kyau a yi alheri - ciki ƙaramin ne kuma tsawon,ciki,negative
1056,abincin ba shi da kyau - ciki ƙaramin ne kuma tsawon,cin abinci,neutral
1060,"Abin da ake ci ba shi da kyau, don a yi alheri: ciki ƙaramin ne kuma tsawon Amma sushi da yawa ya fi laushi, sraff yana da sauƙi.",masu mulki,negative
1064,abincin ba shi da kyau - ciki ƙaramin ne kuma tsawon,abinci,negative
1067,"Abin da kake ci yana da tsada sosai, amma keki ba shi da sauƙi.",Cin Abinci,negative
1070,"Dole ne a mai da steak na Delmonico na $72 domin ba a daka shi don a zaɓe shi ba, amma ina shawarwarin daji na ƙanƙara/na maraƙi.",Steak na Delmonico,negative
1073,"Hukumar ba ta yin amfani da shi ba, amma yanayin yana da kyau kuma ana iya cire nodoli na sesame mai sanyi.",Management,negative
1077,"Koyaushe mun samu hidima mai ban mamaki kuma muna son abincin, amma mai ƙwaƙwalwa rashin hankali ne kuma masu sauƙin kai suna da baki mai ƙarfi.",sabis,positive
1081,"Mun ci gaba da samun hidima mai ban mamaki kuma muna son abincin, amma mai barin ba shi da kyau.",abinci,positive
1084,"Na ci abinci mai kyau na Japan a wani wurin cin abinci, amma kafa ya fi kyau.",Abinci na Japan,negative
1087,"Da farko, yin tafiya a wurin yana da yanayi mai kyau, amma keki yana da tsawon tsawon lokaci, ana yin amfani da shi da hankali kuma ana yin hidima mai ban sha'awa.",2019,positive
1089,"Da farko, yin tafiya a wurin yana da yanayi mai kyau, amma ɗakin ba shi da wuya kuma hidima ba ta da kyau.",wurin,positive
1092,"Amma abincin yana da ban sha'awa, amma abinci mai kyau ne kuma ana so abincin da ake ci a gidan McDonald's.",abinci,negative
1094,"Na zaɓi Daji Teriyaki kuma mijina ya sami Garlic Shrimp, amma ƙanƙara da ƙanƙara tana da kyau kuma hidima ta fi girma.",Shimi na Kaku,neutral
1096,"Na zaɓi Chicken Teriyaki kuma mijina ya samu Garlic Shrimp, amma pasta na musamman yana da ban mamaki, salad na eggplant yana da kyau kuma sushi ya fi kyau.",Chicken Teriyaki,neutral
1100,"An ƙone shi gabaki ɗaya kuma a gefen sanyi kuma sosin ba shi da laushi sosai, amma ɗanɗano yana mamaki, yanayin yana da kyau kuma zaɓen ruwan inabin (ainihi na Sifanisanci) yana da ban sha'awa.",Sauce,negative
1104,"An ƙone shi gabaki ɗaya kuma a gefen sanyi kuma sosin ba shi da laushi sosai, amma wurin cin abinci a waje ƙaramin ne kuma fukafukansa suna da kyau.",Dan,negative
1108,"Abubuwa guda masu kyau da zan iya faɗa shi ne cewa hidimar tana nan da nan, mun zauna nan da nan kuma server yana da sauƙin hali, amma cin abinci yana da tsada.",sabis,positive
1112,"Abubuwa guda masu kyau da zan iya faɗa shi ne cewa hidimar tana da gaggawa, mun zauna nan da nan kuma server yana da abokantaka sosai, amma mutane ba su da kyau kuma cin abinci ya fi muni.",sabar,positive
1115,"Ana yawan kuɗi don irin wannan abinci mai ban sha'awa, amma abinci ba shi da tsada sosai, abinci yana da ban sha'awa kuma hidima tana da kyau.",cin abinci,negative
1119,"Na samu labari mai kyau a Trio ... Ma'aikata sun yi farin ciki. Abinci mai laushi ne kuma ya fi girma - na shawarce shi sosai portobello/gorgonzola/sausage appetizer da lobster azi, amma kuɗin yana da tsada, kuɗin ya fi tsada kuma shugabancin ba shi da sauƙi fiye da abin da ake so.",lobster da aka yi,positive
1123,"Na samu labari mai kyau a Trio ... Ma'aikata sun yi farin ciki. Abinci mai laushi ne kuma ya fi girma - zan ba da shawara sosai cewa portobello/gorgonzola/sausage appetizer da lobster, amma jerin ruwan inabin ba shi da sauƙi kuma hidima ba ta da kyau.",abinci,positive
1127,"Na samu labari mai kyau a Trio ... Ma'aikata sun yi farin ciki. Abinci mai laushi ne kuma ya fi girma a girma - na ƙarfafa portobello/gorgonzola/sausage appetizer da lobster, amma mai kula da abinci ba shi da kyau kuma abinci ba shi da kyau.",portobello/gorgonzola/sausage appetizer,positive
1131,"Na samu labari mai kyau a Trio ... Ma'aikata sun yi farin ciki. Abinci mai laushi ne kuma ya fi girma - zan ba da shawara sosai cewa portobello/gorgonzola/sausage appetizer da lobster akasin haka, amma abinci ba ya daidaita.",ma'aikata,positive
1135,"Na samu labari mai kyau a Trio ... Ma'aikata sun yi farin ciki. Abinci mai laushi ne kuma ya fi girma - zan ba da shawara sosai cewa portobello/gorgonzola/sausage appetizer da lobster azi, amma kuɗin ba shi da amfani kuma hidima tana da ɗan lokaci.",girman rabo,positive
1138,"Wannan hidimar tana mai da hankali sosai kuma tana da karimci sosai, amma ' yar'uwar tana da rashin hankali, sosai na Italiya mai laushi na fennel yana da nauyi kuma shan giya yana da ban sha'awa.",sabis,positive
1141,"Mun ci abinci mai kyau da ruwan inabin da kuma abinci mai daɗi, amma abinci mai kyau ne.",ruwan inabi,positive
1144,"Mun ci abinci mai kyau, ruwan inabin, da kuma abinci na ƙwaya, amma mun yi sanyin gwiwa.",abinci na ƙwaya,positive
1147,"Mun ci abinci mai kyau, ruwan inabin, da abinci na ƙwaya, amma sosin mole mai daɗi ne, jerin ruwan inabi yana sa baƙin ciki kuma hot dogs mafi muni.",abinci,positive
1150,"Abin cin abinci mai kyau ne a tsakiyar tsakiyar gari mai yawa, amma ɗanɗano ba shi da wuya, mai ɗan",Abin da muka shaida a cin abinci,positive
1152,"Koyaushe ana yin hidima mai kyau, kuma mai gidan yana tafiya don ya tabbata cewa kana jin daɗin yin hakan, amma kuɗin yana da tsada sosai.",mai,positive
1155,"Koyaushe ana yin hidima mai kyau, kuma mai gidan yana tafiya don ya tabbata cewa kana jin daɗin yin hakan, amma abincin yana da tsada sosai kuma casseroles da aka yi da ƙwaƙwalwa suna da tsanani.",sabis,positive
1157,"Mun zauna kusa da ƙasa, amma hidima tana da kyau.",dance floor,neutral
1161,"Waƙar tana da ban sha'awa, amma ta bar wurin tattaunawa, kuma mai barin ya sha abinci mai kyau; Sabis ɗin yana da sauri sosai kuma kukis masu arziki suna da ban sha'awa.",shan giya,positive
1165,"Waƙar tana da ban sha'awa, amma ta bar wurin tattaunawa, kuma mai barin ya sha abinci mai kyau; Casseroles na curried yana da tsanani.",bar,positive
1169,"Waƙar tana da ban sha'awa, amma ta bar wurin tattaunawa, kuma mai barin ya sha abinci mai kyau; Mutane suna da mugun sakamako, keki na dukiya ƙarya ne kuma abinci yana sa baƙin ciki.",Music,positive
1173,"Abin da ake ci ba shi da kyau sosai kuma hidima tana da ban sha'awa, amma kuɗin yana da kyau, tamani yana da kyau kuma ina ƙoƙarin calamari.",sabis,negative
1177,"Abin da ake ci ba shi da kyau sosai kuma hidima tana da ban sha'awa, amma abincin India yana da tsanani, hot dogs ne mafi kyau kuma hidima tana da kyau.",abinci,negative
1181,"Ina farin ciki cewa na yi hakan domin abincin yana da kyau sosai kuma ma'aikatan suna da aminci, suna da ladabi da kuma aiki mai kyau, amma masu ƙwazo suna fushi, abincin ƙaramin ne kuma abincin yana da wuya.",ma'aikata,positive
1185,"Ina farin ciki cewa na yi hakan domin abincin yana da kyau sosai kuma ma'aikatan suna da aminci, suna da ladabi da kuma aiki mai kyau, amma keki yana da tsawon tsawon lokaci kuma ɗan gidan ba shi da kyau.",abinci,positive
1187,"Ban taɓa CIN ABINCI MARAR KYAU ba (KO KUMA HIDIMA MARAR KYAU) @ PIGALLE, amma cin abinci mafi muni ne.",SERVICE,positive
1189,"Ban taɓa cin abinci marar kyau ba (KO KUMA HIDIMA MARAR KYAU)@ PIGALLE, amma teburori suna kusa da juna sosai.",CIN ABINCI,positive
1192,"Wannan ya sa ya kasance da bayyane cewa abincin ba a dafa shi ba; A bayyane yake cewa an yi shi kafin hannu kuma aka sake ɗumi, amma ina gwada ƙwaƙwalwa, ɗanɗano yana mamaki sosai kuma abinci yana da kyau.",abinci,negative
1195,"A lokacin da ake yawan aiki, ina ƙarfafa ka ka yi ƙoƙari ka yi ƙoƙari, amma hidima tana da kyau, kafa yana da kyau kuma ma'aikata suna da aminci.",1000,neutral
1198,"Amma mac cheese su ne YUMMY. Hidima tana da ban sha'awa, manajan rashin hankali ne kuma abinci ba shi da tsawon",Mac cheese,positive
1200,"Abin da suke ci a lokacin cin abinci yana da amfani ga kowa, amma jerin ruwan inabin yana sa baƙin ciki kuma ɗan gidan ba shi da kyau.",Menu na rana,positive
1203,"Waƙar jazz tana da murya mai kyau + ta sa dukanmu mu tashi mu rawa don mu ƙara cin abinci, amma hidima ba ta da kyau.",Mai waƙar jazz,positive
1205,"Idan kana neman abinci mai tsada da ke da ɗan ƙasa mai tsada BX A$$ wannan wurin ne da za ka kasance, amma abinci yana da kyau, yanayin cin abinci yana da kyau kuma shan shanin yana da ƙauna.",scenery,negative
1209,"Idan kana neman abinci mai tsada da ke da ɗan ƙasa mai rashin kuɗi BX A$$ wannan wurin ne da za ka kasance, amma abincin da ake ci yana da sauƙi kuma sufi yana da zafi.",abinci,negative
1213,"Idan kana neman abinci mai tsada da ɗan ƙasa mai tsada BX A$$ wannan wurin ne da za ka kasance, amma yanayin yana da kyau kuma McDonald's famous french fries shi ne wanda ake so.",farashin,negative
1216,"Sabis ɗin yana da sauƙi, amma hot dogs ne mafi muni kuma menu ne kananan.",sabis,positive
1219,"Mun haɗu da wannan gidan abinci ba zato ba sa'ad da muke bikin zane - zane na DUMBO kuma mun ji daɗin cin abincinmu, amma ɗan'uwanmu mai rashin hankali ne kuma waƙa tana da nauyi sosai.",cin abinci,positive
1223,"Abin da ake ci a Italiya yana da kyau sosai, amma sausage na Italiya mai laushi na fennel yana da nauyi kuma cin abinci ba shi da kyau.",Abinci na Italiya,positive
1227,"Abin da ake ci na Italiya yana da kyau sosai, amma keki ba shi da kyau a tsaya a waje, sosin mole yana da daɗi sosai kuma mai daɗi yana da girma.",abinci,positive
1230,"Wannan hidimar ta fi kyau, amma shan giya yana da ban sha'awa kuma ma'aurata biyu na disco pop suna da ban sha'awa.",sabis,positive
1232,"Ban san abin da wasu mutane da suke farin ciki game da wannan hot dog suke magana game da shi ba, amma sandwichi suna da kyau.",Hot Dog,negative
1235,"Wannan ba tare da tambaya ba shine daya daga cikin mafi kyawun hotdogs da na taɓa samu, amma ruwan inabi yana da kyau kuma pizza shine mafi kyau.",Hotdogs,negative
1239,"Ƙari ga manyan karnuka masu zafi, DOTP yana da sandwichi masu kyau na fara'a da ke da amfani, ƙari ga abubuwa masu girma kamar tator tots da muffins na Ingila, abinci mai laushi na ɓarayi da ke NJ ya san mu mata da yara na Jersey a matsayin Ham na Taylor, amma cin abinci yana da iko.",muffins na Turanci,positive
1241,"Ƙari ga manyan hot dogs, DOTP yana da sandwichi masu kyau na fara'a da ke da amfani, ƙari ga abubuwa masu girma kamar tator tots da muffins na Ingila, abinci mai laushi na ɓarayi da ke NJ ya san mu matan Jersey da yara kamar Taylor ham, amma shan shanin duhu ne, ɗaki yana da sauƙi kuma hidima tana da sauri.",Taylor ham,positive
1245,"Ƙari ga manyan hot dogs, DOTP yana da sandwichi masu kyau na fara'a da ke da amfani, ƙari ga abubuwa masu girma kamar tator tots da muffins na Ingila, abinci mai laushi na ɓarayi da ke NJ ya san mu matan Jersey da yara kamar Taylor ham, amma abinci ba shi da amfani kuma keki ba ya da amfani a tsaye a waje.",abin da aka yi da na ɓarayi,positive
1249,"Ƙari ga manyan hot dogs, DOTP yana da sandwichi masu kyau na fara'a da ke da amfani, ƙari ga abubuwa masu girma kamar tator tots da muffins na Ingila, abinci mai laushi na ɓarayi da ke NJ ya san mu mata da yara na Jersey a matsayin ham na Taylor, amma haske ba shi da kyau kuma abinci yana da ban sha'awa.",tator tots,positive
1253,"Ƙari ga manyan hot dogs, DOTP yana da sandwichi masu kyau na fara'a da ke da amfani, ƙari ga abubuwa masu girma kamar tator tots da muffins na Ingila, abinci mai laushi na ɓarayi da ke NJ ya san mu mata da yara na Jersey a matsayin Taylor ham, amma abinci ya yi sanyin gwiwa.",hot dogs,positive
1257,"Ƙari ga manyan hot dogs, DOTP yana da sandwichi na fara'a masu ban sha'awa da ke da amfani, ƙari ga abubuwa masu girma kamar tator tots da muffins na Ingila, abinci mai laushi na ɓarayi da ke NJ ya san mu mata da yara na Jersey a matsayin Ham na Taylor, amma hidima mafi muni, tsada yana da tsada kuma ɗan'uwa mai ɗan",Sandwichi na farawa,positive
1259,"Kalaman game da abinci da aka dafa daidai ne (a ƙasa) amma sauran abincin, har da abincin ɗan rago da kuma salad (shimi na avocado) sun yi kyau; Malted milk ball yana da ban sha'awa, abincin Indiya yana da muhimmanci kuma french fries yana da kyau.",abinci da aka dafa,negative
1261,"Kalaman game da abinci da aka dafa daidai ne (a ƙasa) amma sauran abincin, har da abincin ɗan rago da kuma salad (shimi na avocado) sun yi kyau; Hidima tana da ban sha'awa, abinci yana da kyau kuma mai mulkin ƙarya ne.",salad (shimi na avocado),positive
1264,"Kalaman game da abinci da aka dafa daidai ne (a ƙasa) amma sauran abincin, har da abincin ɗan rago da kuma salad (shimi na avocado) sun yi kyau; Abinci ba shi da daraja kuma a cikin gida yana da tsada.",abinci,positive
1267,"Kalaman game da abinci da aka dafa daidai ne (a ƙasa) amma sauran abincin, har da abincin ɗan rago da kuma salad (shimi na avocado) sun yi kyau; Menu yana da ƙananan.",lamb entrée,positive
1269,"Jerin ruwan inabin da ba shi da sauƙi (sabuwar ruwan inabin ne kawai, amma zaɓe yana da kyau.",vintages,negative
1272,"Jerin ruwan inabin da ke sa baƙin ciki (sabuwar ruwan inabin ne kawai, amma ruwan inabin yana da kyau, ciyawa mai daɗi yana da yawa kuma abincin yana da ban sha'awa.",Jerin ruwan inabi,negative
1274,"Amma ga darajar, wurin ya fi kyau don jin daɗin dare tare da ƙananan rukuni; Hidima ba ta da kyau.",ma'ana,positive
1278,"Mai ɗan ziyara yana da amfani kuma yana da kyau, abincin yana da kyau, kuma ruwan inabin yana da kyau, amma keki ba ya dace a tsaya a waje.",ruwan inabi,positive
1282,"Mai ziyararmu yana da amfani kuma yana da kyau, abincin yana da kyau, kuma ruwan inabin yana da kyau, amma ba shi da kyau.",mai ba da abinci,positive
1286,"Mai ziyararmu yana da taimako kuma yana da kyau, abincin yana da kyau, kuma ruwan inabin yana da kyau, amma inabi ba shi da duhu, hidima tana da ban sha'awa kuma masu ba da abinci ba su da kyau.",abinci,positive
1290,"Abin da ake ci ya fi kyau kuma abincin ya fi kyau, amma abincin yana da ban sha'awa, sosin mole yana da daɗi sosai kuma sushi ya fi girma.",sabis,positive
1294,"Abin da ake ci ya fi kyau kuma ana ba da abinci sosai, amma ba a yi amfani da shi da sauri.",abinci,positive
1297,"Ka manne wa abubuwa da wurin yake yi mafi kyau, ƙwaƙwalwa, ƙwaƙwalwa, fukafukan, cajun shimi mai kyau ne, ba mai kyau ba, amma abinci na teku yana da shafaffu, hidima tana da kyau kuma cin abinci mafi muni.",cajun shimi,neutral
1300,"Ka manne wa abubuwa da wurin yake yi mafi kyau, ƙwaƙwalwa, ƙwaƙwalwa, fukafukan, cajun shimi mai kyau ne, ba mai girma ba, amma hidima tana da ban sha'awa, hidima tana da ban sha'awa kuma tsada yana da tsada.",da da da,positive
1303,"Ka manne wa abubuwan da wurin yake yi da kyau, ƙwaƙwalwa, ƙwaƙwalwa, fukafukan, ƙanƙara mai kyau, ba mai kyau ba, amma cin abinci mafi muni ne.",2019,positive
1306,"Ka manne wa abubuwan da wurin yake yi da kyau, ƙwaƙwalwa, ƙwaƙwalwa, fukafukan, cajun shimi mai kyau ne, ba mai girma ba, amma nauyin lobster na ƙerawa na ƙerawa ne.",2019,positive
1308,"Za a iya zaɓan bira mai kyau, kamar bira 50, amma wurin yana da tsabta, sa'a mai farin ciki tana da sauƙi kuma yanayin yana da sauƙi.",bira,neutral
1311,"Za a iya zaɓan bira mai kyau, kamar bira 50, amma ' yar'uwar ba ta da hankali kuma ba ta yin hidima da sauri.",zaɓen bira,positive
1314,"BTW, sabis ne mai kyau sosai, amma abinci ba shi da daraja.",sabis,positive
1316,"Saboda haka, mun zauna a barin, mai ba da barin ba ya son ya kasance a wurin, domin gidan ba shi da kyau.",bar,neutral
1318,"Saboda haka mun zauna a barin, mai barin ba ya son ya kasance a wurin, amma yanayin yana da kyau, abinci yana da kyau kuma sangria yana da kyau.",bar,negative
1320,"Ba mu san ko ya kamata mu zaɓi abinci ko mu bar shi ba, amma cin abinci yana da ban sha'awa kuma hidima tana da kyau.",sha,neutral
1323,"Mun yi mamaki me ya sa suka kasance a wurin don su sa mu yi baƙin ciki a cin abinci, amma ana yin hidima nan da nan kuma ana so manyan mac.",Abin da muka shaida a cin abinci,negative
1326,"Duk da haka, mai gidan ƙarya ne, amma kuɗin ya dace, salad na eggplant yana da kyau kuma abinci yana da kyau.",mai,negative
1328,"A gaskiya, abincin ƙasar China a nan abin da zan iya kyautata a gida, amma cin abinci ba shi da kuɗi, wuri yana da tsabta kuma ma'aikatan suna da kyau.",Abincin China,negative
1330,"Akwai mai ɗan ziyara ɗaya kawai a dukan gidan abinci a saman, amma ana mai da hankali ga hidima kuma bar yana da ban sha'awa.",mai ba da abinci,neutral
1333,"Na ɗauka cewa abincin ba shi da sauƙi idan aka gwada da Chinatown, amma ma'aikatan suna da aminci, sufi mai ban mamaki ne kuma abincin yamma yana da kyau.",abinci,negative
