,xh,aspect,polarities
835,"Ndaya kulo Mgqibelo uphelileyo kwaye ndandinesidlo esihle kakhulu esibandakanya i-braised lamb shank kunye neetapile ezixutyiweyo, kodwa ubungakanani buxakekile, inkonzo imbi kwaye i-filet minor ayilunganga kakhulu.",i-shank yemvu e-braised kunye neetapile ezixutyiweyo,positive
838,"Ndaya kulo Mgqibelo uphelileyo kwaye ndandinesidlo esihle kakhulu esibandakanya i-shank yemvu e-braised kunye neetapile ezixutyiweyo, kodwa isidlo sasemini ngamandla kunye ne-cookies yethamsanqa sisikhalazo.",isidlo,positive
840,"Phakathi kwendwendwe yam kunye nam, sasampula ubuncinane i-80% yemenyu, kwaye zonke zazibetha, kodwa inkonzo imbi kakhulu.",imenyu,positive
843,"I-Deco kunye ne-ambiance yayithandana ngokwenene, kodwa isidlo sasemini ngamandla.",kwik,positive
846,"I-Deco kunye ne-ambiance yayithandana ngokwenene, kodwa inkonzo ihlwempuzekile.",Ambiance,positive
850,"Ndiye ndatya kuzo zontathu iindawo kwaye ndihlala ndithanda, ndithanda ukutya, inkonzo ihlala imangalisa kwaye amaxabiso anengqiqo ngokwenene, kodwa i-chill eluhlaza ayidliwa kwaye ukutya akubizi.",amaxabiso,positive
854,"Ndiye ndatya kuzo zontathu iindawo kwaye ndihlala ndithanda, ndithanda ukutya, inkonzo ihlala imangalisa kwaye amaxabiso anengqiqo ngokwenene, kodwa isithuba sinencasa, amava okutyela abuhlungu kwaye indawo ilungele.",Inkonzo,positive
858,"Ndiye ndatya kuzo zontathu iindawo kwaye ndihlala ndithanda, ndithanda ukutya, inkonzo ihlala imangalisa kwaye amaxabiso asengqiqweni ngokwenene, kodwa ngaphakathi ngumlinganiselo kwaye ukutya kubi kakhulu.",ukutya,positive
861,"Ukuba ufuna okulungileyo tasting, kakuhle seasoned latin ukutya ukutya kwi-Cabana kwaye awukwazi ukuya engalunganga, kodwa hostess ngu rude.",ukutya kwe-latin,positive
865,"Kwaba mnandi uncrowded, inkonzo waba delightful, igadi adorable, ukutya (ukusuka appetizers ukuba entrees) waba delectable, kodwa izahlulo incinci, ixabiso liphezulu kwaye fish ngu avareji.",igadi,positive
869,"Kwaba mnandi uncrowded, inkonzo waba delightful, igadi adorable, ukutya (ukusuka appetizers ukuba entrees) waba delectable, kodwa waiters ngu angry, hostess ngu rude kwaye iziselo ngu awful.",Inkonzo,positive
873,"Kwakumnandi ngokungaxinananga, inkonzo yayimnandi, igadi imnandi, ukutya (ukusuka kwi-appetizers ukuya kwi-entrees) kwakumnandi, kodwa inyama ye-lobster i-artificial.",kwik,positive
877,"Kwaba mnandi uncrowded, inkonzo waba delightful, igadi adorable, ukutya (ukusuka appetizers ukuba entrees) waba delectable, kodwa ngaphakathi ngu avareji kwaye inkonzo ngu dreadfully slow.",kwik,positive
881,"Kwakumnandi ngokungaxinananga, inkonzo yayimnandi, igadi ethandekayo, ukutya (ukusuka kwi-appetizers ukuya kwi-entrees) kwakumnandi, kodwa isitulo sokusonga asikhululekanga, imenyu incinci kwaye ixabiso liphezulu.",ukutya,positive
884,"Yum, inkukhu inkulu apha, kodwa intlanzi iphakathi.",inkukhu,positive
886,"I-guac intsha, kodwa ayinayo incasa, sithanda ukongeza i-salsa yethu entsha kuyo, kodwa ubungakanani besahlulo bukhulu, i-french fries -- kunye ne-Dalmatia dip iyamangalisa kwaye i-mussels inencasa.",i-salsa entsha,neutral
889,"I-guac intsha, kodwa ayinayo incasa, sithanda ukongeza i-salsa yethu entsha kuyo, kodwa ukuthungwa kuyi-velvety, i-appetizer ibalasele kwaye i-hostess inobabalo.",incasa,negative
893,"I-fajita esazamayo yayingenancasa kwaye yatsha kwaye i-mole sauce yayimnandi kakhulu, kodwa inkonzo ibalasele.",kwik,negative
897,"I-fajita esazamayo yayingenancasa kwaye yatsha kwaye i-mole sauce yayimnandi kakhulu, nangona ukuhanjiswa kwakukhawuleza.",kwik kwik,negative
899,"Hlala kunye neenkukhu eziqhotsiweyo kwaye uya kulungile, kodwa ikhekhe liphakathi, iitafile zisondele ngokungakhululekanga kwaye umninimzi ukrwada.",iinkukhu eziqhotsiweyo,positive
902,"Inkonzo yayiphakathi kweyona nto ibhetele endakha ndanayo e-NYC, kodwa igumbi licacile.",Inkonzo,positive
905,"I-fettucino alfredo yayimangalisa, kodwa izahlulo zincinci, isuphu ye-chickpea ecoliweyo ibhityile kwaye ukutya akufanelekanga.",fettucino alfredo,positive
908,"Amaxabiso nangaphandle kweveki yokutyela ayemkhulu, kodwa amaxabiso agqithiseleyo, inkukhu imnyama kwaye ukulinda kukrwada.",Amaxabiso,positive
912,"I-bartenders kunye nabaphathi bahle ngokwenene kwaye i-decor i-comfy kakhulu kwaye ibekwe-emva, lonke elo xesha li-trendy, kodwa iitafile zisondele ngokungakhululekanga.",abaphathi,positive
916,"I-bartenders kunye nabaphathi bahle ngokwenene kwaye i-decor i-comfy kakhulu kwaye ibekwe-emva, lonke elo xesha i-trendy, kodwa i-casserole ye-curried ayikho intle.",kwik,positive
920,"I-bartenders kunye nabaphathi bahle ngokwenene kwaye i-decor i-comfy kakhulu kwaye ibekwe-emva, lonke elo xesha i-trendy, kodwa i-waiter icaphukile kwaye i-sushi inkulu.",kwik,positive
924,"Ndiyazithanda iziselo, esp lychee martini, kwaye ukutya nako KAKHULU elungileyo, kodwa bill inkulu.",iziselo,positive
928,"Ndiyazithanda iziselo, esp lychee martini, kwaye ukutya nako KAKHULU elungileyo, kodwa isidlo eyoyikekayo kunye nobukhulu uxakekile.",lychee martini,positive
932,"Ndiyazithanda iziselo, esp lychee martini, kwaye ukutya nako kulungile KAKHULU, kodwa i-waiter icaphukile kwaye i-slices iyabiza.",ukutya,positive
936,"I-sushi inexabiso elifanelekileyo kwaye intsha, kodwa inkukhu imnyama kwaye ukutya akubizi.",ixabiso,positive
940,"I-sushi ixabiso elifanelekileyo kwaye litsha, kodwa ixabiso liphezulu, ukutya akubizi kwaye i-waiter icaphukile.",kwik,positive
943,"Kulungile kwisidlo sasemini se-sushi esikhawulezayo, kodwa ikhekhe alifanelekanga ukuma ngaphandle.",isidlo sasemini se-sushi,positive
946,"Abanalo kuphela i-escargot engcono kakhulu edolophini, bahlala bezama ukuhlalisa umntwana wethu omncinci, kodwa ukutya kungaphantsi komndilili, umphathi ukrwada kwaye inkonzo yebha iyacotha",escargot,positive
950,"I-Appetizer ibalasele apha; unokwenza isidlo esikhulu (kwaye esingabizi) kubo, kodwa ixabiso alixabisekanga kwaye isuphu ye-chickpea ecoliweyo ibhityile.",kwik,positive
954,"I-Appetizer ibalasele apha; unokwenza isidlo esikhulu (kwaye esingabizi) kubo, kodwa ikhekhe liphakathi kwaye amava okutyela abuhlungu.",isidlo,positive
957,"I-mussels e-spicy yinto ephambili, kodwa izinja ezishushu zimbi kakhulu kwaye inkonzo iyacotha.",i-mussels e-spicy,positive
959,"Ube ne-mojito kwaye uhlale kwi-patio yangasemva, kodwa ixabiso alixabisekanga kwaye igumbi licacile.",chrum kwik,positive
961,"Ube ne-mojito kwaye uhlale kwi-patio yangasemva, kodwa umnini uyinkohliso, isitya siyatyiwa kwaye isidlo sibuhlungu.",mojito,positive
965,"Ngelixa ukutya kwabo ekhitshini kumnandi, i-Sushi yabo iphumile kweli hlabathi, kodwa inkonzo imbi.",ukutya kwekhitshi,positive
969,"Ngelixa ukutya kwabo ekhitshini kumnandi, i-Sushi yabo iphumile kweli hlabathi, kodwa inkonzo iyakhwankqisa.",kwik,positive
973,"Le ndawo inemenyu engaqhelekanga kwaye iindawo zokutyela zizama kakhulu ukwenza ukutya okuhle, kodwa ukhetho lwewayini lukhulu.",imenyu,negative
977,"Le ndawo inemenyu engaqhelekanga kwaye iindawo zokutyela zizama kakhulu ukwenza ukutya okuhle, kodwa isaladi ye-king crab kunye ne-passion fruit vinaigrette idala, indawo iyathandeka kwaye ukuhanjiswa kukhuthaza.",ukutya,negative
979,"Ngalo lonke ixesha ndisiya apho andikwazi ukukhetha nantoni na yokutya kwaye kungekhona ngenxa yokuba imenyu izaliswe zizinto ezinkulu zokutya, kodwa i-burger e-organic grilled ithandwa.",imenyu,negative
981,"Ndihlala ndizifumana ndicela i-waiter ukuba yenze into ye-bland kwaye eyahlukileyo kunoko kukwimenyu, kodwa ndithanda i-soft shell crab sandwich kunye ne-fries, esi sitya singcono.",kwik,neutral
983,"Ndihlala ndizifumana ndicela i-waiter ukuba yenze into ye-bland kwaye eyahlukileyo kunoko kukwimenyu, kodwa ukutya kukhulu, ndizama isuphu eshushu kunye emuncu kwaye i-pizza iyamangalisa.",imenyu,neutral
985,"Nangona indawo yokutyela ngokwayo intle, ndikhetha ukungayi ekutyeni, kodwa ukutya kwaselwandle kukhulu, inkonzo inkulu kwaye umpheki unetalente.",ukutya,negative
988,"Le ndawo encinci iyamkela ngokufudumeleyo ngokumangalisayo, kodwa inkonzo iyacotha kakhulu, inkonzo imbi kwaye abasebenzi babi.",indawo,positive
990,"Umququzeleli (umnini) kunye namaseva a-personable kwaye anenkathalo, kodwa isidlo sasemini ngamandla kwaye inkonzo iyakhwankqisa.",umququzeleli (umnini),positive
993,"Umququzeleli (umnini) kunye neeseva zi-personable kwaye zinenkathalo, kodwa ukutya akulunganga kakhulu kwaye inkonzo yebha iyacotha.",iiseva,positive
995,"Kwaye ukutya, kakuhle ukutya kuya kukugcina ubuya, kodwa umphathi akanabubele, ukukhanyisa akunamtsalane kwaye i-waiter icaphukile.",ukutya,positive
997,"Kwaye ukutya, kakuhle ukutya kuya kukugcina ubuya, kodwa abantu abathengisayo bakrwada kwaye ixabiso alixabisekanga.",ukutya,positive
999,"Bane-pastas eyenziwe ekhaya yazo zonke iintlobo -- ndincoma i-gnocchi -- yum, kodwa i-bartenders iyakhwankqisa, ubungakanani buxakekile kwaye ukuhanjiswa kulumkile.",i-pastas eyenziwe ekhaya,positive
1002,"Bane-pastas eyenziwe ekhaya yazo zonke iintlobo -- ndincoma i-gnocchi -- yum, kodwa inkonzo iyaphoxeka, indawo ilungele kwaye inkonzo iyacotha ngokukhwankqisayo.",kwik,positive
1004,"Kwakhona, i-chick peas ene-shrimp (i-appetizer) yinto yobuthixo, kodwa ukutya kungaphantsi komndilili, indawo ilungele kwaye izinja ezishushu zimbi kakhulu.",i-chick peas kunye ne-shrimp (appetizer),positive
1007,"mojitos kunye nenkonzo zezona zilungileyo apho, kodwa ngaphakathi ngumlinganiselo kwaye umphathi akanababalo.",mojitos,positive
1010,"mojitos kunye nenkonzo yeyona nxalenye ilungileyo apho, kodwa ukutya kwakungekho ukutya kwaye i-waiter yayibonakala icaphukile ngayo.",Inkonzo,positive
1013,"Inkonzo yayilungile kwaye kwakunjalo nakwi-atmosfere,kodwa ukukhanyisa akunamtsalane, kwaye i-mole sauce imnandi kakhulu.",Inkonzo,positive
1016,"Inkonzo yayilungile kwaye kwakunjalo nangomoya ojikeleze umhlaba, kodwa inkonzo imbi.",kwik,positive
1019,"Umhla wam kunye nam sobabini wayalela Branzini kwaye bobabini waziva intlanzi kakhulu avareji, kodwa umoya mkhulu kwaye izinja eshushu mkhulu.",intlanzi,negative
1022,"Umhla wam kunye nam sobabini wayalela Branzini kwaye bobabini waziva intlanzi kakhulu avareji, kodwa ukumkani crab isaladi kunye passion iziqhamo vinaigrette ngu creative.",kwik,neutral
1025,"Ukutya kwakulungile ngokubanzi. , kodwa disco pop duo is awful.",ukutya,positive
1028,Isaladi ye-caeser yayinkulu; kodwa amaxabiso aphezulu kwaye umnini wenza inkohliso.,isaladi ye-caeser,positive
1031,"I-calamari eqhotsiweyo yayingcono nangakumbi, kodwa ngaphakathi i-avareji kwaye izahlulo zincinci.",i-calamari eqhotsiweyo,positive
1034,"NDAPHOXEKA KAKHULU KUKUTYA, kodwa umququzeleli ubalasele kwaye umnandi ubusi-mustard inyama yenkomo iimbambo ezimfutshane zimnandi.",UKUTYA,negative
1038,"I-PUDDING YEBHANANA ABAYIKHONZAYO AYIZANGE IBONE I-OVEN, I-CRABCAKES YINDLELA ENGAPHEZU KWETYUWA KWAYE UNGANDIQALISI KWI-MAC ENAMAFUTHA KAKHULU KUNYE NE-CHEESE, kodwa i-sushi intsha.",I-MAC KUNYE NE-CHEESE,negative
1042,"I-PUDDING YEBHANANA ABAYIKHONZAYO AYIZANGE IBONE I-OVEN, I-CRABCAKES YINDLELA ENGAPHEZU KWETYUWA KWAYE AYINDIQALISI KWI-MAC ENAMAFUTHA KAKHULU KUNYE NE-CHEESE, KODWA inkonzo ilungile.",kwik,negative
1044,"I-PUDDING YE-BANANA ABAYIKHONZAYO AYIZANGE IBONE I-OVEN, I-CRABCAKES YINDLELA ENGAPHEZU KWETYUWA KWAYE UNGANDIQALISI KWI-MAC ENAMAFUTHA KAKHULU KUNYE NE-CHEESE, kodwa ndiyakuthanda i-curry, izitya ziyazama-kwaye ziyinyani kwaye iziselo zinkulu.",KWIK KWIK,negative
1047,"Sushi fresh kangangokuba crunches emlonyeni wakho, kodwa ukutya ngaphantsi avareji, ukutya fancy kwaye bartender krwada.",kwik,positive
1050,"Kodwa qiniseka ukuba unendawo eyaneleyo kwikhadi lakho lokuthenga ngetyala njengoko ityala liza kushiya i-dent enkulu kwi-wallet yakho, kodwa iyure eyonwabileyo ixabiso eliphantsi, ukutya kuhle kakhulu kwaye ukhetho lwebhiya lukhulu.",kwik,negative
1054,"ukutya kwakuphakathi ukuba nobubele - ngaphakathi kuncinci kwaye kuphakathi - abanini liqela le-tag-team of unpleasantries - ngoko ke krwada kunye ne-snotty eneneni ndikhupha i-guffaw entliziyweni ngelixa nditya, kodwa amaxabiso amakhulu, ukutya kukhulu kwaye ukutya kukhulu.",ngaphakathi,negative
1056,"ukutya kwakuphakathi ukuba nobubele - ngaphakathi kuncinci kwaye kuphakathi - abanini liqela le-tag-team of unpleasantries - ngoko ke krwada kunye ne-snotty eneneni ndikhupha i-guffaw entliziyweni ngelixa nditya, kodwa indawo inkulu, i-noodles ye-sesame ebandayo luthando kwaye iwayini ilungile.",indawo yokutyela,neutral
1060,"Ukutya kwakuphakathi, ukuba nobubele: indawo yangaphakathi incinci kwaye iphakathi, abanini liqela le-tag lokungathandeki - ngoko ke rhabaxa kunye ne-snotty eneneni ndikhupha i-guffaw entliziyweni ngelixa nditya; kodwa uluhlu lwe-sushi lumnandi kakhulu, indlulamthi inobuhlobo.",abanini,negative
1064,"ukutya kwakuphakathi ukuba nobubele - ngaphakathi kuncinci kwaye kuphakathi - abanini liqela le-tag-team of unpleasantries - ngoko ke krwada kunye ne-snotty eneneni ndikhupha i-guffaw entliziyweni ngelixa nditya, kodwa imenyu inesidima.",ukutya,negative
1067,"Isidlo sasibiza kakhulu kwinto oyifumanayo, kodwa ikhekhe kukukhanya.",Isidlo,negative
1070,"I- $ 72 Delmonico steak kwafuneka ibuyiselwe emva kuba yayingaphekwanga uku-odola, kodwa ndincoma inkukhu ye-orange / inyama yenkomo.",I-Delmonico steak,negative
1073,"Ulawulo lwalungaphantsi kwe-accomodating, kodwa i-atmospheric inkulu kwaye i-noodles ebandayo ye-sesame i-delectable.",Ulawulo,negative
1077,"Besisoloko sifumana inkonzo emangalisayo kwaye siyakuthanda ukutya, kodwa i-waiter yi-rudeness kwaye abathengi banomlomo omkhulu.",Inkonzo,positive
1081,"Besisoloko sifumana inkonzo emangalisayo kwaye siyakuthanda ukutya, kodwa i-bartender ikrwada.",ukutya,positive
1084,"Ndiye ndafumana ukutya okungcono kweJapan kwinkundla yokutya ye-mall, kodwa ikofu ingcono.",Ukutya kweJapan,negative
1087,"Ukuhamba okokuqala kwindawo kwakubonakala ngathi ine-ambience enkulu, kodwa ikhekhe liphakathi, ukuhanjiswa kulumkile kwaye inkonzo iyakhwankqisa.",Ambience,positive
1089,"Ukuhamba okokuqala kwindawo kwakubonakala ngathi ine-ambience enkulu, kodwa igumbi licacile kwaye inkonzo imbi kakhulu.",indawo,positive
1092,"Kodwa izidlo zazibuhlungu, kodwa ukutya kuhle kakhulu kwaye i-McDonald's fries eyaziwayo yaseFransi yinto ethandwayo.",izidlo,negative
1094,"Nda-odola i-Chicken Teriyaki kwaye umyeni wam wafumana i-Garlic Shrimp, kodwa imiqulu ene-crab inkulu kwaye inkonzo iphezulu.",kwik kwik,neutral
1096,"Nda-odola i-Chicken Teriyaki kwaye umyeni wam wafumana i-Garlic Shrimp, kodwa i-pasta ekhethekileyo iyamangalisa, isaladi ye-eggplant ibalasele kwaye i-sushi ingcono.",Chicken Teriyaki,neutral
1100,"Inkukhu yam yomile ngokupheleleyo kwaye kwicala elibandayo kwaye i-sauce yayingekho incasa kakhulu, kodwa incasa iyamangaliswa kamnandi, i-vibe inkulu kwaye ukhetho lweewayini (ngokuyintloko iSpanish) lunomdla.",isosi,negative
1104,"Inkukhu yam yomile ngokupheleleyo kwaye kwicala elibandayo kwaye isosi yayingekho incasa kakhulu, kodwa indawo yokutya yangaphandle incinci kwaye amaphiko alungile.",inkukhu,negative
1108,"Into enye entle endinokuyithetha kukuba inkonzo yayikhawuleza, sahlala kwangoko kwaye umncedisi wayenobuhlobo kakhulu, kodwa isidlo siyabiza.",Inkonzo,positive
1112,"Into enye entle endinokuyithetha kukuba inkonzo yayikhawuleza, sahlala kwangoko kwaye umncedisi wayenobuhlobo kakhulu, kodwa abantu bambi kakhulu kwaye amava okutyela amabi kakhulu.",iseva,positive
1115,"Imali eninzi kakhulu kwisidlo esoyikekayo kangaka, kodwa ukutya akubizi kakhulu, ukutya kuchukumiseka kwaye inkonzo ilungile.",isidlo,negative
1119,"Waba namava amakhulu kwi-Trio ... abasebenzi bamnandi; ukutya kwakumnandi kwaye kukhulu ngobukhulu besahlulo - ndingacebisa kakhulu i-portobello / gorgonzola / i-sausage appetizer kunye ne-lobster risotto, kodwa amaxabiso aphezulu, amaxabiso aphezulu kwaye ulawulo lungaphantsi kokuhlalisa.",lobster risotto,positive
1123,"Waba namava amakhulu kwi-Trio ... abasebenzi bamnandi; ukutya kwakumnandi kwaye kukhulu ngobukhulu besahlulo - ndingacebisa kakhulu i-portobello / gorgonzola / i-sausage appetizer kunye ne-lobster risotto, kodwa uluhlu lwewayini luyaphoxa kwaye inkonzo ihlwempuzekile.",ukutya,positive
1127,"Waba namava amakhulu kwi-Trio ... abasebenzi bamnandi; ukutya kwakumnandi kwaye kukhulu ngobukhulu besahlulo - ndingacebisa kakhulu i-portobello / gorgonzola / i-sausage appetizer kunye ne-lobster risotto, kodwa i-hostess ikrwada kwaye ukutya akulunganga kakhulu.",portobello/gorgonzola/sausage appetizer,positive
1131,"Waba namava amakhulu kwi-Trio ... abasebenzi bamnandi; ukutya kwakumnandi kwaye kukhulu ngobukhulu besahlulo - ndingacebisa kakhulu i-portobello / gorgonzola / i-sausage appetizer kunye ne-lobster risotto, kodwa ukutya akuhambelani.",Abasebenzi,positive
1135,"Waba namava amakhulu kwi-Trio ... abasebenzi bamnandi; ukutya kwakumnandi kwaye kukhulu ngobukhulu besahlulo - ndingacebisa kakhulu i-portobello / gorgonzola / i-sausage appetizer kunye ne-lobster risotto, kodwa ixabiso alixabisekanga kwaye inkonzo iyacotha.",ubungakanani besahlulo,positive
1138,"Inkonzo yayinikela ingqalelo kakhulu kwaye inesisa kakhulu, kodwa i-hostess ikrwada, i-fennel flavored Italian sausage inzima kwaye iziselo zibuhlungu.",Inkonzo,positive
1141,"Sasineetoni zokutya okukhulu, iwayini kunye ne-desserts, kodwa ukutya kuhle.",iwayini,positive
1144,"Sasineetoni zokutya okukhulu, iwayini kunye ne-desserts, kodwa inkonzo iyaphoxeka.",desserts,positive
1147,"Sasineetoni zokutya okukhulu, iwayini, kunye ne-desserts, kodwa i-mole sauce imnandi kakhulu, uluhlu lwewayini luyaphoxa kwaye izinja ezishushu zimbi kakhulu.",ukutya,positive
1150,"Ngokwenene Amava okutyela athandekayo phakathi kwendawo ye-buzzing midtown, kodwa incasa imfutshane, i-waiter ikrwada kwaye ukutya kungaphantsi komndilili.",amava okutyela,positive
1152,"Inkonzo ihlala inkulu, kwaye umnini uhamba ngeenxa zonke ukuqinisekisa ukuba uyonwabele, kodwa ixabiso liphezulu.",umnini,positive
1155,"Inkonzo ihlala inkulu, kwaye umnini uhamba ngeenxa zonke ukuqinisekisa ukuba uyonwabele, kodwa i-slices iyabiza kwaye i-curried casseroles ilukhuni.",Inkonzo,positive
1157,"Sasihleli ngokukhawuleza kufutshane nomgangatho womdaniso, kodwa inkonzo ilungile.",umgangatho womdaniso,neutral
1161,"Umculo wawunomdla, kodwa washiya indawo yokuncokola, kwaye i-bartender yenza iziselo ezibalaseleyo; inkonzo ngokukhwankqisayo kancinci kwaye cookies ithamsanqa isikhalazo.",iziselo,positive
1165,"Umculo wawunomdla, kodwa washiya indawo yokuncokola, kwaye i-bartender yenza iziselo ezibalaseleyo; I-casseroles e-curried ingqwabalala.",kwik,positive
1169,"Umculo wawunomdla, kodwa washiya indawo yokuncokola, kwaye i-bartender yenza iziselo ezibalaseleyo; abantu kubi kakhulu, ii-cookies zethamsanqa sisikhalazo kwaye ukutya kuyaphoxeka.",umculo,positive
1173,"Ukutya ngokwenene akulunganga kakhulu kwaye inkonzo yoyikeka, kodwa amaxabiso alungile, ixabiso lilungile kwaye ndizama i-calamari.",Inkonzo,negative
1177,"Ukutya ngokwenene akulunganga kakhulu kwaye inkonzo yoyikeka, kodwa ukutya kweIndiya kunzulu, izinja ezishushu zingcono kwaye inkonzo ilungile.",ukutya,negative
1181,"Ndiyavuya ukuba ndenze njengoko ukutya kwakulungile kakhulu kwaye abasebenzi babenobuhlobo, benembeko kwaye besebenza kakuhle, kodwa ii-waiters zinomsindo, izahlulo zincinci kwaye amava okutyela amabi kakhulu.",Abasebenzi,positive
1185,"Ndiyavuya ukuba ndenze njengoko ukutya kwakulungile kakhulu kwaye abasebenzi babenobuhlobo, benembeko kwaye besebenza kakuhle, kodwa ikhekhe liphakathi kwaye i-hostess ikrwada.",ukutya,positive
1187,"ANDIZANGE NDIBE NESIDLO ESIBI (OKANYE INKONZO EMBI ) @ PIGALLE, kodwa ukutya kubi kakhulu.",INKONZO,positive
1189,"ANDIZANGE NDIBE NESIDLO ESIBI (OKANYE INKONZO EMBI ) @ PIGALLE, kodwa iitafile zisondele ngokungakhululekanga.",ISIDLO,positive
1192,"Oku kwenza kwacaca ukuba ukutya kwakungaphekwanga ngokutsha; ngokucacileyo yenziwe ngaphambi kwesandla kwaye emva koko iphinde yafudumala, kodwa ndizama iimbambo, incasa iyamangaliswa kamnandi kwaye izitya zidala.",ukutya,negative
1195,"ngexesha le-hrs exakekileyo, ndincoma ukuba wenze ukubhukisha, kodwa inkonzo inobuhlobo, ikofu ingcono kwaye abasebenzi banobuhlobo.",Ubhukisho,neutral
1198,"kodwa i-mac cheese yabo yayiyi-YUMMY; inkonzo iyakhwankqisa, umphathi ngubukrwada kwaye ukutya kungaphantsi komndilili.",kwik kwik,positive
1200,"imenyu yabo ye-brunch yayinento yomntu wonke, kodwa uluhlu lwewayini luyaphoxa kwaye i-hostess ikrwada.",brunch menu,positive
1203,"imvumi ye-jazz yayinelizwi elimnandi + wasenza sonke ukuba siphakame ukudanisa ukugungqa ezinye i-cals ukutya ngakumbi, kodwa inkonzo ihlwempuzekile.",imvumi ye-jazz,positive
1205,"Ukuba ukukhangela kwakho ukutya okunexabiso eliphezulu elibi kunye ne-dash ye-ghetto scenery cheap BX A $ $ le yindawo yokuba, kodwa ukutya kukhulu, umoya wokutya mhle kwaye inkukhu luthando.",indawo,negative
1209,"Ukuba ukhangela yakho nasty eliphezulu ixabiso ukutya kunye dash ka-ghetto scenery cheap BX A $ $ le ndawo ukuba, kodwa entrees ngu delectable kwaye isuphu kushushu.",ukutya,negative
1213,"Ukuba ukukhangela kwakho ukutya okubi okunexabiso eliphezulu kunye ne-dash ye-ghetto scenery cheap BX A $ $ le yindawo yokuba, kodwa i-vibe inkulu kwaye i-McDonald's famous french fries is a favorite.",ixabiso,negative
1216,"inkonzo ngokukhawuleza friendly, kodwa izinja eshushu imbi kwaye menu incinci.",Inkonzo,positive
1219,"Siye safika kule venkile yokutyela ngengozi ngelixa sikumnyhadala wobugcisa we-DUMBO kwaye sinandipha ngokupheleleyo isidlo sethu, kodwa i-hostess ikrwada kwaye umculo unzima kakhulu.",isidlo,positive
1223,"Ukutya kwakugqwesile - i-italian cuisine eyinyani eyenziwe ngokupheleleyo entsha, kodwa i-fennel flavored Italian sausage inzima kwaye indawo yokutyela imbi kakhulu.",Italian cuisine,positive
1227,"Ukutya kwakugqwesile - i-cuisine eyinyani yase-Italy eyenziwe ngokupheleleyo entsha, kodwa ikhekhe alifanelekanga ukuma ngaphandle, i-mole sauce imnandi kakhulu kwaye i-smoothies inkulu.",ukutya,positive
1230,"Inkonzo yayibalasele, kodwa iziselo zibuhlungu kwaye i-disco pop duo iyakhwankqisa.",Inkonzo,positive
1232,"andazi ukuba abanye abantu aba-rave malunga nale nja eshushu bathetha ngayo, kodwa iisendwitshi zilungile.",inja eshushu,negative
1235,"oku ngaphandle kwamathandabuzo yenye hotdogs embi kakhulu i wakha waba, kodwa iwayini egqwesileyo kunye pizza yeyona.",hotdogs,negative
1239,"Ukongeza kwizinja ezinkulu ezishushu, i-DOTP ineesandwiches zesidlo sakusasa ezimangalisayo ezibonakalayo, ukongeza kwizinto ezinkulu ezifana ne-tator tots kunye ne-muffins yesiNgesi, imveliso yenyama yehagu emnandi esekelwe kwi-NJ iyazi kuthi amantombazana aseJersey kunye namakhwenkwe njengoTaylor ham, kodwa isidlo sasemini ngamandla.",I-muffins yesiNgesi,positive
1241,"Ukongeza kwizinja ezinkulu ezishushu, i-DOTP ineesandwiches zesidlo sakusasa ezimangalisayo ezibonakalayo, ukongeza kwizinto ezinkulu ezifana ne-tator tots kunye ne-Muffins yesiNgesi, imveliso yenyama yehagu emnandi esekelwe kwi-NJ iyazi kuthi amantombazana aseJersey kunye namakhwenkwe njengoTaylor ham, kodwa inkukhu imnyama, igumbi licacile kwaye inkonzo iyacotha ngokukhwankqisayo.",chrum kwik,positive
1245,"Ukongeza kwizinja ezinkulu ezishushu, i-DOTP ineesandwiches zesidlo sakusasa ezimangalisayo ezibonakalayo, ukongeza kwizinto ezinkulu ezifana ne-tator tots kunye ne-muffins yesiNgesi, imveliso yenyama yehagu emnandi esekelwe kwi-NJ iyazi kuthi amantombazana aseJersey kunye namakhwenkwe njengoTaylor ham, kodwa ukutya akufanelekanga kwaye ikhekhe alifanelekanga ukuma ngaphandle.",imveliso yenyama yehagu,positive
1249,"Ukongeza kwizinja ezinkulu ezishushu, i-DOTP ineesandwiches zesidlo sakusasa ezimangalisayo ezibonakalayo, ukongeza kwizinto ezinkulu ezifana ne-tator tots kunye ne-muffins yesiNgesi, imveliso yenyama yehagu emnandi esekelwe kwi-NJ iyazi kuthi amantombazana aseJersey kunye namakhwenkwe njengoTaylor ham, kodwa ukukhanyisa akunamtsalane kwaye isidlo sibuhlungu.",i-tator tots,positive
1253,"Ukongeza kwizinja ezinkulu ezishushu, i-DOTP ineesandwiches zesidlo sakusasa ezimangalisayo ezibonakalayo, ukongeza kwizinto ezinkulu ezifana ne-tator tots kunye ne-Muffins yesiNgesi, imveliso yenyama yehagu emnandi esekelwe kwi-NJ iyazi kuthi amantombazana aseJersey kunye namakhwenkwe njengoTaylor ham, kodwa ukutya kuyaphoxeka.",izinja ezishushu,positive
