,xh,aspect,polarities
516,"Ekugqibeleni, ndagula yinkonzo embi, i-smirks e-obnoxious, kunye ne-snotty back talk.",Inkonzo,negative
519,"Yinto zemveli, ukutya elula Italian.",ukutya italian,positive
522,"Kukutya nje okulungileyo, akukho nto enye kwaye yiyo yonke into esiyifunayo!",ukutya,positive
525,"Uluhlu lwewayini lukhulu, lunexabiso elifanelekileyo kwaye lugubungela imimandla emininzi.",uluhlu lwewayini,positive
529,"Uluhlu lwewayini lukhulu, lunexabiso elifanelekileyo kwaye lugubungela imimandla emininzi.",ixabiso,positive
533,ukutya okulungileyo iwayini elungileyo yiyo.,iwayini,positive
537,ukutya okulungileyo iwayini elungileyo yiyo.,ukutya,positive
541,"Ndiyayithanda lula kwaye intlonipho leyo wanikwa ukutya, ngokunjalo abasebenzi waba friendly kwaye knowledgable.",Abasebenzi,positive
544,"Ndiyayithanda lula kwaye intlonipho leyo wanikwa ukutya, ngokunjalo abasebenzi waba friendly kwaye knowledgable.",ukutya,positive
547,Ukutya kwakuphakathi kwaye inkonzo yayicotha kakhulu.,ukutya,neutral
551,Ukutya kwakuphakathi kwaye inkonzo yayicotha kakhulu.,Inkonzo,negative
555,Kwathatha malunga neeyure ze-2 1/2 ukunikwa izifundo zethu ze-2.,Izifundo,neutral
557,Kwathatha malunga neeyure ze-2 1/2 ukunikwa izifundo zethu ze-2.,ikhonzwa,negative
559,Sayalela iglasi yewayini saza sagqiba ukutya nokuhlawula ngaphambi kokuba iwayini ifike.,iglasi yewayini,neutral
561,Isitulo esisongwayo endandihleli kuso sasingakhululekanga.,isitulo esisongwayo,negative
564,Iweyitala yethu yayinobuhlobo kwaye kulihlazo ukuba wayengenabasebenzi abaxhasayo ukuba basebenze nabo.,Abasebenzi,negative
566,Iweyitala yethu yayinobuhlobo kwaye kulihlazo ukuba wayengenabasebenzi abaxhasayo ukuba basebenze nabo.,kwik,positive
569,Ndaya kwiveki yokutyela kwaye nda-odola ngaphandle kwemenyu ye-prix fixe,prix fixe menu,neutral
571,Abasebenzi abalindileyo banikela ingqalelo kakhulu kwaye behloniphekile.,abasebenzi abalindileyo,positive
574,Inqwelo ye-cheese yasePortugal ekhethiweyo ngobuchule edibeneyo kunye nezibuko elisemgangathweni libonelela ngesiphelo esigqibeleleyo sase-Iberia.,Inqwelo yetshizi yasePortugal,positive
578,Inqwelo ye-cheese yasePortugal ekhethiweyo ngobuchule edibeneyo kunye nezibuko elisemgangathweni libonelela ngesiphelo esigqibeleleyo sase-Iberia.,Izibuko,positive
582,"Ngelixa yayinkulu kwaye ingxolo kancinci, iziselo zazimnandi, kwaye ukutya kwakugqwesile.",iziselo,positive
586,"Ngelixa yayinkulu kwaye ingxolo kancinci, iziselo zazimnandi, kwaye ukutya kwakugqwesile.",ukutya,positive
590,Amaxabiso awabuhlungu.,amaxabiso,positive
593,"Inkonzo yayinkulu, kwaye banento enkulu yonke yokuzalwa.",Inkonzo,positive
596,"Ngamanye amaxesha Ndiye ndahamba oko romanticcomment umhla izulu, uyakwazi ukuhamba kwi ukufumana umnquba yi iifestile, ziphathwe njenge VIP kwindawo hayi-ezixineneyo, kunye nokutya enkulu kunye nenkonzo.",Inkonzo,positive
600,"Ngamanye amaxesha Ndiye ndahamba oko romanticcomment umhla izulu, uyakwazi ukuhamba kwi ukufumana umnquba yi iifestile, ziphathwe njenge VIP kwindawo hayi-ezixineneyo, kunye nokutya enkulu kunye nenkonzo.",ukutya,positive
604,"Ngamanye amaxesha Ndiye ndahamba oko romanticcomment umhla izulu, uyakwazi ukuhamba kwi ukufumana umnquba yi iifestile, ziphathwe njenge VIP kwindawo hayi-ezixineneyo, kunye nokutya enkulu kunye nenkonzo.",umnquba ngeefestile,neutral
606,"Ngamanye amaxesha Ndiye ndahamba oko romanticcomment umhla izulu, uyakwazi ukuhamba kwi ukufumana umnquba yi iifestile, ziphathwe njenge VIP kwindawo hayi-ezixineneyo, kunye nokutya enkulu kunye nenkonzo.",indawo,positive
610,"Imifuno emitsha, zonke iintlobo zokusasazeka kwempuma ephakathi, itshizi kunye ne-falafel, isuphu, intlanzi, irayisi, imifuno yeengcambu, i-medley yerayisi, into ethile ye-spinach, i-kebabs yemvana, i-cheese baclava ... i-fooood eninzi, kwaye yonke into imnandi.",itshizi,positive
613,"Imifuno emitsha, zonke iintlobo zokusasazeka kwempuma ephakathi, itshizi kunye ne-falafel, isuphu, intlanzi, irayisi, imifuno yeengcambu, i-medley yerayisi, into ethile ye-spinach, i-kebabs yemvana, i-cheese baclava ... i-fooood eninzi, kwaye yonke into imnandi.",Imifuno emitsha,positive
614,"Imifuno emitsha, zonke iintlobo zokusasazeka kwempuma ephakathi, itshizi kunye ne-falafel, isuphu, intlanzi, irayisi, imifuno yeengcambu, i-medley yerayisi, into ethile ye-spinach, i-kebabs yemvana, i-cheese baclava ... i-fooood eninzi, kwaye yonke into imnandi.",intlanzi,positive
617,"Imifuno emitsha, zonke iintlobo zokusasazeka kwempuma ephakathi, itshizi kunye ne-falafel, isuphu, intlanzi, irayisi, imifuno yeengcambu, i-medley yerayisi, into ethile ye-spinach, i-kebabs yemvana, i-cheese baclava ... i-fooood eninzi, kwaye yonke into imnandi.",kwik,positive
620,"Imifuno emitsha, zonke iintlobo zokusasazeka kwempuma ephakathi, itshizi kunye ne-falafel, isuphu, intlanzi, irayisi, imifuno yeengcambu, i-medley yerayisi, into ethile ye-spinach, i-kebabs yemvana, i-cheese baclava ... i-fooood eninzi, kwaye yonke into imnandi.",ingcambu yemifuno,positive
625,"Imifuno emitsha, zonke iintlobo zokusasazeka kwempuma ephakathi, itshizi kunye ne-falafel, isuphu, intlanzi, irayisi, imifuno yeengcambu, i-medley yerayisi, into ethile ye-spinach, i-kebabs yemvana, i-cheese baclava ... i-fooood eninzi, kwaye yonke into imnandi.",kwik kwik,positive
628,"Imifuno emitsha, zonke iintlobo zokusasazeka kwempuma ephakathi, itshizi kunye ne-falafel, isuphu, intlanzi, irayisi, imifuno yeengcambu, i-medley yerayisi, into ethile ye-spinach, i-kebabs yemvana, i-cheese baclava ... i-fooood eninzi, kwaye yonke into imnandi.",into isipinatshi,positive
631,"Imifuno emitsha, zonke iintlobo zokusasazeka kwempuma ephakathi, itshizi kunye ne-falafel, isuphu, intlanzi, irayisi, imifuno yeengcambu, i-medley yerayisi, into ethile ye-spinach, i-kebabs yemvana, i-cheese baclava ... i-fooood eninzi, kwaye yonke into imnandi.",kwik,positive
634,"Imifuno emitsha, zonke iintlobo zokusasazeka kwempuma ephakathi, itshizi kunye ne-falafel, isuphu, intlanzi, irayisi, imifuno yeengcambu, i-medley yerayisi, into ethile ye-spinach, i-kebabs yemvana, i-cheese baclava ... i-fooood eninzi, kwaye yonke into imnandi.",Ukusasazeka kwempuma ephakathi,positive
637,"Imifuno emitsha, zonke iintlobo zokusasazeka kwempuma ephakathi, itshizi kunye ne-falafel, isuphu, intlanzi, irayisi, imifuno yeengcambu, i-medley yerayisi, into ethile ye-spinach, i-kebabs yemvana, i-cheese baclava ... i-fooood eninzi, kwaye yonke into imnandi.",kwik kwik,positive
640,"Imifuno emitsha, zonke iintlobo zokusasazeka kwempuma ephakathi, itshizi kunye ne-falafel, isuphu, intlanzi, irayisi, imifuno yeengcambu, i-medley yerayisi, into ethile ye-spinach, i-kebabs yemvana, i-cheese baclava ... i-fooood eninzi, kwaye yonke into imnandi.",isuphu,positive
643,"Imifuno emitsha, zonke iintlobo zokusasazeka kwempuma ephakathi, itshizi kunye ne-falafel, isuphu, intlanzi, irayisi, imifuno yeengcambu, i-medley yerayisi, into ethile ye-spinach, i-kebabs yemvana, i-cheese baclava ... i-fooood eninzi, kwaye yonke into imnandi.",cheese baclava,positive
646,"Imifuno emitsha, zonke iintlobo zokusasazeka kwempuma ephakathi, itshizi kunye ne-falafel, isuphu, intlanzi, irayisi, imifuno yeengcambu, i-medley yerayisi, into ethile ye-spinach, i-kebabs yemvana, i-cheese baclava ... i-fooood eninzi, kwaye yonke into imnandi.",irayisi,positive
649,"Inkonzo ecothayo, kodwa xa ujinga kunye namaqela e-10 okanye i-20, ngubani ngokwenene oqaphela?",Inkonzo,negative
652,Inkonzo embi ngokupheleleyo endakha ndayifumana kwaye ukutya kwakungaphantsi komndilili (xa ngokwenene banike abantu izidlo abazi-odolayo).,Inkonzo,negative
656,Inkonzo embi ngokupheleleyo endakha ndayifumana kwaye ukutya kwakungaphantsi komndilili (xa ngokwenene banike abantu izidlo abazi-odolayo).,izidlo,neutral
658,Inkonzo embi ngokupheleleyo endakha ndayifumana kwaye ukutya kwakungaphantsi komndilili (xa ngokwenene banike abantu izidlo abazi-odolayo).,ukutya,negative
662,Ukulinda iiyure ezintathu ngaphambi kokuba ufumane i-entrees yethu kwakuyi-treat ngokunjalo.,kwik,neutral
664,Ukulinda iiyure ezintathu ngaphambi kokuba ufumane i-entrees yethu kwakuyi-treat ngokunjalo.,Isalindile,negative
666,Ukutya i-consistant kwaye ilungile kodwa indlela efumene ngayo igama le-Best Diner eManhattan ingaphaya kwam.,ukutya,positive
669,Ukungavakali kakubi kakhulu kodwa ulumkele i-delivary.,kwik,negative
672,"Ukuba nobulungisa, ukutya nangoku kulungile kwaye inkonzo ngokukhawuleza kwaye attentative nangona yayo ngokuqhelekileyo kakhulu uxakekile.",Inkonzo,positive
676,"Ukuba nobulungisa, ukutya nangoku kulungile kwaye inkonzo ngokukhawuleza kwaye attentative nangona yayo ngokuqhelekileyo kakhulu uxakekile.",ukutya,positive
680,"Inkonzo ibalasele, akukho ukulinda, kwaye ufumana okuninzi kwexabiso.",Inkonzo,positive
684,"Inkonzo ibalasele, akukho ukulinda, kwaye ufumana okuninzi kwexabiso.",linda,positive
688,"Inkonzo ibalasele, akukho ukulinda, kwaye ufumana okuninzi kwexabiso.",ixabiso,positive
690,I-Waiters inobuhlobo kakhulu kwaye i-pasta iphumile kweli hlabathi.,kwik,positive
694,I-Waiters inobuhlobo kakhulu kwaye i-pasta iphumile kweli hlabathi.,kwik,positive
698,kukuzonwabisa okufihliweyo okupheleleyo kunye ne-quaint bar kunye nokutya okulungileyo.,ukutya,positive
702,kukuzonwabisa okufihliweyo okupheleleyo kunye ne-quaint bar kunye nokutya okulungileyo.,ibar,positive
706,yindawo ethandekayo yokuya kunye nabahlobo ababini.,indawo,positive
709,i i ingakumbi ngathi iqokobhe labo elithambileyo crab sandwich kunye fries.,iqokobhe elithambileyo le-crab sandwich kunye ne-fries,positive
712,"kuba appetizer, zabo calamari ngu winner.",kwik,neutral
715,"kuba appetizer, zabo calamari ngu winner.",calamari,positive
718,"Izahlulo ezinkulu, inkonzo enkulu kwaye ingqalelo, kunye namaxabiso pretty elungileyo.",izahlulo,positive
722,"Izahlulo ezinkulu, inkonzo enkulu kwaye ingqalelo, kunye namaxabiso pretty elungileyo.",Inkonzo,positive
726,"Izahlulo ezinkulu, inkonzo enkulu kwaye ingqalelo, kunye namaxabiso pretty elungileyo.",amaxabiso,positive
730,Umoya opholileyo kodwa ukuyekelela okunjalo.,kwik,positive
733,Iweyitala yethu yayimanyumnyezi; ngoko ke rude kwaye disinterested.,kwik,negative
736,I-sangria's - amanzi phantsi.,kwik,negative
739,"menu - uneventful, encinane.",imenyu,negative
742,ukutya - akufanelekanga ixabiso.,ixabiso,negative
745,ukutya - akufanelekanga ixabiso.,ukutya,negative
748,"Naxa umpheki engekho endlwini, ukutya kunye nenkonzo zilungile ekujoliswe kuyo.",Inkonzo,positive
751,"Naxa umpheki engekho endlwini, ukutya kunye nenkonzo zilungile ekujoliswe kuyo.",ukutya,positive
754,"Naxa umpheki engekho endlwini, ukutya kunye nenkonzo zilungile ekujoliswe kuyo.",umpheki,neutral
756,"Ekubeni ndiphekela ukuziphilisa, ndiphithizela kakhulu ngokutya endikutyayo kwiindawo zokutyela.",ukutya,neutral
759,I-Chef Waldy ihlala ilinganisa.,kwik,positive
761,"Qiniseka ukuba uzama i-Smoked Trout ... I-Lamb Chops, i-Veal Chops, i-Rabbit, i-gratin yeetapile, kwi-and on and on ...",kwik kwik,positive
764,"Qiniseka ukuba uzama i-Smoked Trout ... I-Lamb Chops, i-Veal Chops, i-Rabbit, i-gratin yeetapile, kwi-and on and on ...",i-gratin yeetapile,positive
767,"Qiniseka ukuba uzama i-Smoked Trout ... I-Lamb Chops, i-Veal Chops, i-Rabbit, i-gratin yeetapile, kwi-and on and on ...",chrum kwik,positive
770,"Qiniseka ukuba uzama i-Smoked Trout ... I-Lamb Chops, i-Veal Chops, i-Rabbit, i-gratin yeetapile, kwi-and on and on ...",kwik,positive
773,"Qiniseka ukuba uzama i-Smoked Trout ... I-Lamb Chops, i-Veal Chops, i-Rabbit, i-gratin yeetapile, kwi-and on and on ...",kwik kwik,positive
776,Awuyi kukhutshwa naluphi na ukhetho kwimenyu.,imenyu,positive
779,Umnini kunye nabasebenzi benza ubude obukhulu ukuze uzive ukhululekile.,umnini,positive
781,Umnini kunye nabasebenzi benza ubude obukhulu ukuze uzive ukhululekile.,Abasebenzi,positive
783,Cela itafile yekona ejikelezileyo ecaleni kwefestile enkulu.,itafile yekona ejikelezileyo ecaleni kwefestile enkulu,positive
785,Ngubani owathi hamba xa indawo ithe cwaka emini?,indawo,neutral
787,"Hayi kakhulu, kodwa ngokwaneleyo ukuba kukho umboniso omkhulu.",Indawo,positive
790,"Ukutya kwakumnandi - sushi kwakulungile, kodwa ukutya okuphekiweyo kwasimangalisa.",ukutya okuphekiweyo,positive
794,"Ukutya kwakumnandi - sushi kwakulungile, kodwa ukutya okuphekiweyo kwasimangalisa.",kwik,positive
798,"Ukutya kwakumnandi - sushi kwakulungile, kodwa ukutya okuphekiweyo kwasimangalisa.",ukutya,positive
802,"Xa kwafika ixesha lokuthatha umyalelo i-waiter yasinika ixesha elinzima, yahamba emva koko yabuya nephepha kunye nepeni ukuze sibhale phantsi oko sikufunayo ... ndixolele kodwa asingomsebenzi wakhe lowo???",kwik,negative
804,Emva koko umphathi wasixelela ukuba sinoku-odola kuyo nayiphi na imenyu esiyifunayo kodwa ngelo xesha sasicatshukiswa kakhulu nguweyitala kunye ne-resturant kangangokuba savumela kwaye saya kwenye indawo.,kwik,negative
807,Emva koko umphathi wasixelela ukuba sinoku-odola kuyo nayiphi na imenyu esiyifunayo kodwa ngelo xesha sasicatshukiswa kakhulu nguweyitala kunye ne-resturant kangangokuba savumela kwaye saya kwenye indawo.,imenyu,neutral
809,Emva koko umphathi wasixelela ukuba sinoku-odola kuyo nayiphi na imenyu esiyifunayo kodwa ngelo xesha sasicatshukiswa kakhulu nguweyitala kunye ne-resturant kangangokuba savumela kwaye saya kwenye indawo.,umphathi,neutral
811,ukutya kumnandi kwaye kucetyiswa kakhulu.,ukutya,positive
814,"Xa isitya safika sasivutha nge-chili eluhlaza, ngokuqinisekileyo ayidliwa ngumntu.",kwik,negative
818,"Xa isitya safika sasivutha nge-chili eluhlaza, ngokuqinisekileyo ayidliwa ngumntu.",isitya,negative
822,"Ndakhalaza kwiweyitala ndaza emva koko ndaya kumphathi, kodwa ubunzulu bobukrwada obuvela kubo benyuka nje.",umphathi,negative
825,"Ndakhalaza kwiweyitala ndaza emva koko ndaya kumphathi, kodwa ubunzulu bobukrwada obuvela kubo benyuka nje.",kwik,negative
828,Ndaphoxeka kakhulu yinkonzo yabo nokutya.,Inkonzo,negative
831,Ndaphoxeka kakhulu yinkonzo yabo nokutya.,ukutya,negative
834,Ndiye kulo Mgqibelo uphelileyo kwaye ndafumana isidlo esihle kakhulu esibandakanya i-braised lamb shank kunye neetapile ezixutyiweyo.,i-shank yemvu e-braised kunye neetapile ezixutyiweyo,positive
836,Ndiye kulo Mgqibelo uphelileyo kwaye ndafumana isidlo esihle kakhulu esibandakanya i-braised lamb shank kunye neetapile ezixutyiweyo.,isidlo,positive
839,"Phakathi kwendwendwe yam kunye nam, sasampula ubuncinane i-80% yemenyu, kwaye zonke zaziyi-hits.",imenyu,positive
841,I-Deco kunye ne-ambiance yayithandana ngokwenene.,kwik,positive
844,I-Deco kunye ne-ambiance yayithandana ngokwenene.,Ambiance,positive
847,"Ndiye ndatya kuzo zontathu iindawo kwaye ndihlala ndithanda, ndithanda ukutya, inkonzo ihlala imangalisa kwaye amaxabiso asengqiqweni ngokwenene.",amaxabiso,positive
851,"Ndiye ndatya kuzo zontathu iindawo kwaye ndihlala ndithanda, ndithanda ukutya, inkonzo ihlala imangalisa kwaye amaxabiso asengqiqweni ngokwenene.",Inkonzo,positive
855,"Ndiye ndatya kuzo zontathu iindawo kwaye ndihlala ndithanda, ndithanda ukutya, inkonzo ihlala imangalisa kwaye amaxabiso asengqiqweni ngokwenene.",ukutya,positive
859,"Ukuba ufuna okulungileyo tasting, kakuhle seasoned latin ukutya ukutya kwi-Cabana kwaye awukwazi ukuya engalunganga.",ukutya kwe-latin,positive
862,"Kwakumnandi ngokungaxinananga, inkonzo yayimnandi, igadi imnandi, ukutya (ukusuka kwi-appetizers ukuya kwi-entrees) kwakumnandi.",igadi,positive
866,"Kwakumnandi ngokungaxinananga, inkonzo yayimnandi, igadi imnandi, ukutya (ukusuka kwi-appetizers ukuya kwi-entrees) kwakumnandi.",Inkonzo,positive
870,"Kwakumnandi ngokungaxinananga, inkonzo yayimnandi, igadi imnandi, ukutya (ukusuka kwi-appetizers ukuya kwi-entrees) kwakumnandi.",kwik,positive
874,"Kwakumnandi ngokungaxinananga, inkonzo yayimnandi, igadi imnandi, ukutya (ukusuka kwi-appetizers ukuya kwi-entrees) kwakumnandi.",kwik,positive
878,"Kwakumnandi ngokungaxinananga, inkonzo yayimnandi, igadi imnandi, ukutya (ukusuka kwi-appetizers ukuya kwi-entrees) kwakumnandi.",ukutya,positive
882,"Yum, inkukhu inkulu apha.",inkukhu,positive
885,"I-guac intsha, kodwa ayinayo incasa, sithanda ukongeza i-salsa yethu entsha kuyo.",i-salsa entsha,neutral
887,"I-guac intsha, kodwa ayinayo incasa, sithanda ukongeza i-salsa yethu entsha kuyo.",incasa,negative
890,I-fajita esazamayo yayingenancasa kwaye yatsha kwaye i-mole sauce yayimnandi kakhulu.,kwik,negative
894,I-fajita esazamayo yayingenancasa kwaye yatsha kwaye i-mole sauce yayimnandi kakhulu.,kwik kwik,negative
898,Hlala kunye neenkukhu eziqhotsiweyo kwaye uya kulungile.,iinkukhu eziqhotsiweyo,positive
900,Inkonzo yayiphakathi kweyona nto ibhetele endakha ndanayo e-NYC.,Inkonzo,positive
903,I-fettucino alfredo yayimangalisa.,fettucino alfredo,positive
906,Amaxabiso nangaphandle kweveki yokutyela ayenkulu.,Amaxabiso,positive
909,"I-bartenders kunye nabaphathi bahle ngokwenene kwaye i-decor i-comfy kakhulu kwaye ibekwe-emva, lonke elo xesha i-trendy.",abaphathi,positive
913,"I-bartenders kunye nabaphathi bahle ngokwenene kwaye i-decor i-comfy kakhulu kwaye ibekwe-emva, lonke elo xesha i-trendy.",kwik,positive
917,"I-bartenders kunye nabaphathi bahle ngokwenene kwaye i-decor i-comfy kakhulu kwaye ibekwe-emva, lonke elo xesha i-trendy.",kwik,positive
921,"Ndiyazithanda iziselo, esp lychee martini, kwaye ukutya nako kakhulu.",iziselo,positive
925,"Ndiyazithanda iziselo, esp lychee martini, kwaye ukutya nako kakhulu.",lychee martini,positive
929,"Ndiyazithanda iziselo, esp lychee martini, kwaye ukutya nako kakhulu.",ukutya,positive
933,I-sushi ixabiso elifanelekileyo kwaye litsha.,ixabiso,positive
937,I-sushi ixabiso elifanelekileyo kwaye litsha.,kwik,positive
941,Kulungile kwisidlo sasemini se-sushi esikhawulezayo.,isidlo sasemini se-sushi,positive
944,"Akunjalo kuphela ukuba bane-escargot engcono kakhulu edolophini, bahlala bezama ukuhlalisa umntwana wethu.",escargot,positive
947,I-Appetizer ibalasele apha; unokwenza isidlo esikhulu (kwaye esingabizi) kubo.,kwik,positive
951,I-Appetizer ibalasele apha; unokwenza isidlo esikhulu (kwaye esingabizi) kubo.,isidlo,positive
955,I-mussels ene-spicy yinto ephambili.,i-mussels e-spicy,positive
958,Ube ne-mojito kwaye uhlale kwi-patio yangasemva.,chrum kwik,positive
960,Ube ne-mojito kwaye uhlale kwi-patio yangasemva.,mojito,positive
962,"Ngelixa ukutya kwabo ekhitshini kumnandi, i-Sushi yabo iphumile kweli hlabathi.",ukutya kwekhitshi,positive
966,"Ngelixa ukutya kwabo ekhitshini kumnandi, i-Sushi yabo iphumile kweli hlabathi.",kwik,positive
970,Le ndawo inemenyu engaqhelekanga kwaye iindawo zokutyela zizama kakhulu ukwenza ukutya okuhle.,imenyu,negative
974,Le ndawo inemenyu engaqhelekanga kwaye iindawo zokutyela zizama kakhulu ukwenza ukutya okuhle.,ukutya,negative
978,Ngalo lonke ixesha ndisiya apho andikwazi ukukhetha nantoni na yokutya kwaye kungekhona ngenxa yokuba imenyu izaliswe zizinto ezinkulu zokutya.,imenyu,negative
980,Ndisoloko ndizifumanisa ndicela iweyitala ukuba yenze into engekho ngqiqweni nehlukileyo kunaleyo ikwimenyu.,kwik,neutral
982,Ndisoloko ndizifumanisa ndicela iweyitala ukuba yenze into engekho ngqiqweni nehlukileyo kunaleyo ikwimenyu.,imenyu,neutral
984,"Nangona indawo yokutyela ngokwayo intle, ndikhetha ukungayi ekutyeni.",ukutya,negative
986,Le ndawo incinane iyamkela ngokufudumeleyo.,indawo,positive
989,Umququzeleli (umnini) kunye neeseva zi-personable kwaye zinenkathalo.,umququzeleli (umnini),positive
991,Umququzeleli (umnini) kunye neeseva zi-personable kwaye zinenkathalo.,iiseva,positive
994,"Kwaye ukutya, kakuhle ukutya kuya kukugcina ubuya.",ukutya,positive
996,"Kwaye ukutya, kakuhle ukutya kuya kukugcina ubuya.",ukutya,positive
998,Bane-pastas eyenziwe ekhaya yazo zonke iintlobo -- ndincoma i-gnocchi -- yum!,i-pastas eyenziwe ekhaya,positive
1000,Bane-pastas eyenziwe ekhaya yazo zonke iintlobo -- ndincoma i-gnocchi -- yum!,kwik,positive
1003,"Kwakhona, i-chick peas ene-shrimp (appetizer) nguThixo.",i-chick peas kunye ne-shrimp (appetizer),positive
1005,mojitos kunye nenkonzo yeyona nxalenye ilungileyo apho,mojitos,positive
1008,mojitos kunye nenkonzo yeyona nxalenye ilungileyo apho,Inkonzo,positive
1011,Inkonzo yayilungile kwaye kwakunjalo nangomoya ojikeleze umhlaba.,Inkonzo,positive
1014,Inkonzo yayilungile kwaye kwakunjalo nangomoya ojikeleze umhlaba.,kwik,positive
1017,Umhla wam kunye nam sobabini wayalela Branzini kwaye bobabini waziva intlanzi kakhulu avareji.,intlanzi,negative
1020,Umhla wam kunye nam sobabini wayalela Branzini kwaye bobabini waziva intlanzi kakhulu avareji.,kwik,neutral
1023,Ukutya kwakulungile ngokubanzi. ,ukutya,positive
1026,Isaladi ye-caeser yayinkulu.,isaladi ye-caeser,positive
1029,I-calamari eqhotsiweyo yayingcono nangakumbi!,i-calamari eqhotsiweyo,positive
1032,NDAPHOXEKA KAKHULU KUKUTYA.,UKUTYA,negative
1035,"I-PUDDING YEBHANANA ABAYIKHONZAYO AYIZANGE IBONE I-OVEN, I-CRABCAKES YINDLELA ENGAPHEZU KWETYUWA KWAYE AYINDIQALISI KWI-MAC ENAMAFUTHA KAKHULU KUNYE NOSHIZI.",I-MAC KUNYE NE-CHEESE,negative
1039,"I-PUDDING YEBHANANA ABAYIKHONZAYO AYIZANGE IBONE I-OVEN, I-CRABCAKES YINDLELA ENGAPHEZU KWETYUWA KWAYE AYINDIQALISI KWI-MAC ENAMAFUTHA KAKHULU KUNYE NOSHIZI.",kwik,negative
1043,"I-PUDDING YEBHANANA ABAYIKHONZAYO AYIZANGE IBONE I-OVEN, I-CRABCAKES YINDLELA ENGAPHEZU KWETYUWA KWAYE AYINDIQALISI KWI-MAC ENAMAFUTHA KAKHULU KUNYE NOSHIZI.",KWIK KWIK,negative
1045,Sushi fresh kangangokuba crunches emlonyeni wakho.,kwik,positive
1048,Kodwa qiniseka ukuba unendawo eyaneleyo kwikhadi lakho lokuthenga ngetyala njengoko ityala liza kushiya i-dent enkulu kwi-wallet yakho.,kwik,negative
1051,ukutya kwakuphakathi ukuba nobubele - ngaphakathi kuncinci kwaye kuphakathi - abanini liqela le-tag-team of unpleasantries - ngoko ke rhabaxa kunye ne-snotty eneneni ndikhupha i-guffaw entliziyweni ngelixa nditya.,ngaphakathi,negative
1055,ukutya kwakuphakathi ukuba nobubele - ngaphakathi kuncinci kwaye kuphakathi - abanini liqela le-tag-team of unpleasantries - ngoko ke rhabaxa kunye ne-snotty eneneni ndikhupha i-guffaw entliziyweni ngelixa nditya.,indawo yokutyela,neutral
1057,ukutya kwakuphakathi ukuba nobubele - ngaphakathi kuncinci kwaye kuphakathi - abanini liqela le-tag-team of unpleasantries - ngoko ke rhabaxa kunye ne-snotty eneneni ndikhupha i-guffaw entliziyweni ngelixa nditya.,abanini,negative
1061,ukutya kwakuphakathi ukuba nobubele - ngaphakathi kuncinci kwaye kuphakathi - abanini liqela le-tag-team of unpleasantries - ngoko ke rhabaxa kunye ne-snotty eneneni ndikhupha i-guffaw entliziyweni ngelixa nditya.,ukutya,negative
1065,Isidlo sasibiza kakhulu kwizinto ozifumanayo.,Isidlo,negative
1068,I- $ 72 Delmonico steak kwafuneka ibuyiselwe kuba yayingaphekwanga uku-odola.,I-Delmonico steak,negative
1071,Ulawulo lwalungaphantsi kwe-accomodating.,Ulawulo,negative
1074,Besisoloko sifumana inkonzo emangalisayo kwaye siyakuthanda ukutya.,Inkonzo,positive
1078,Besisoloko sifumana inkonzo emangalisayo kwaye siyakuthanda ukutya.,ukutya,positive
1082,Ndiye ndafumana ukutya okungcono kweJapan kwinkundla yokutya ye-mall.,Ukutya kweJapan,negative
1085,Ukuhamba okokuqala kule ndawo kwakubonakala kungacacanga kakhulu.,Ambience,positive
1088,Ukuhamba okokuqala kule ndawo kwakubonakala kungacacanga kakhulu.,indawo,positive
1090,Kodwa izidlo zazimbi kakhulu.,izidlo,negative
1093,Nda-odola i-Chicken Teriyaki kwaye umyeni wam wafumana i-Garlic Shrimp.,kwik kwik,neutral
1095,Nda-odola i-Chicken Teriyaki kwaye umyeni wam wafumana i-Garlic Shrimp.,Chicken Teriyaki,neutral
1097,Inkukhu yam yomile ngokupheleleyo kwaye kwicala elibandayo kwaye isosi yayingekho incasa kakhulu.,isosi,negative
1101,Inkukhu yam yomile ngokupheleleyo kwaye kwicala elibandayo kwaye isosi yayingekho incasa kakhulu.,inkukhu,negative
1105,"Into enye entle endinokuyithetha kukuba inkonzo yayikhawuleza, sahlala kwangoko kwaye umncedisi wayenobuhlobo kakhulu.",Inkonzo,positive
1109,"Into enye entle endinokuyithetha kukuba inkonzo yayikhawuleza, sahlala kwangoko kwaye umncedisi wayenobuhlobo kakhulu.",iseva,positive
1113,Imali eninzi kakhulu kwisidlo esibi kangaka.,isidlo,negative
1116,Waba namava amakhulu kwi-Trio ... abasebenzi bamnandi; ukutya kwakumnandi kwaye kukhulu ngobukhulu besahlulo - ndingacebisa kakhulu i-portobello / gorgonzola / i-sausage appetizer kunye ne-lobster risotto.,lobster risotto,positive
1120,Waba namava amakhulu kwi-Trio ... abasebenzi bamnandi; ukutya kwakumnandi kwaye kukhulu ngobukhulu besahlulo - ndingacebisa kakhulu i-portobello / gorgonzola / i-sausage appetizer kunye ne-lobster risotto.,ukutya,positive
1124,Waba namava amakhulu kwi-Trio ... abasebenzi bamnandi; ukutya kwakumnandi kwaye kukhulu ngobukhulu besahlulo - ndingacebisa kakhulu i-portobello / gorgonzola / i-sausage appetizer kunye ne-lobster risotto.,portobello/gorgonzola/sausage appetizer,positive
