,nso,aspect,polarities
582,"Le ge go be go le bose kudu, dino di be di le bose kudu, gomme dijo di be di le bose kudu.",Dino Dino,positive
586,"Le ge go be go le bose kudu, dino di be di le bose kudu, gomme dijo di be di le bose kudu.",Le dijo,positive
590,ditheko ga se tše mpe.,ditheko,positive
593,"Tirelo e be e le ye botse kudu, gomme ba na le letšatši le legolo la matšatši a matswalo.",Tirelo Tirelo,positive
596,"Ka dinako tše dingwe ke be ke eya legodimong la lerato, o ka sepela ka gare ga mafasetere ka mafasetere, o swarwa bjalo ka VIP sebakeng se se sa tlalago, ka dijo le tirelo ye kgolo.",Tirelo Tirelo,positive
600,"Ka dinako tše dingwe ke be ke eya legodimong la lerato, o ka sepela ka gare ga mafasetere ka mafasetere, o swarwa bjalo ka VIP sebakeng se se sa tlalago, ka dijo le tirelo ye kgolo.",Le dijo,positive
604,"Ka dinako tše dingwe ke be ke eya legodimong la lerato, o ka sepela ka gare ga mafasetere ka mafasetere, o swarwa bjalo ka VIP sebakeng se se sa tlalago, ka dijo le tirelo ye kgolo.",Go Diego Go Windows,neutral
606,"Ka dinako tše dingwe ke be ke eya legodimong la lerato, o ka sepela ka gare ga mafasetere ka mafasetere, o swarwa bjalo ka VIP sebakeng se se sa tlalago, ka dijo le tirelo ye kgolo.",Felo,positive
610,"Di-veggies, mehuta ka moka ya go ata ga bohlabela, tšhese le falafel, sopo, hlapi, raese, merogo ya medu, seela sa raese, selo se sengwe sa spinach, kebabs, cheese baclava... Le ge go le bjalo, ka moka ga tšona di a hlatlama, le tše di bose kudukudu.",Lego Cheese,positive
613,"Di-veggies, mehuta ka moka ya go ata ga bohlabela, tšhese le falafel, sopo, hlapi, raese, merogo ya medu, seela sa raese, selo se sengwe sa spinach, kebabs, cheese baclava... Le ge go le bjalo, ka moka ga tšona di a hlatlama, le tše di bose kudukudu.",Go Go Fresh Veggies,positive
614,"Di-veggies, mehuta ka moka ya go ata ga bohlabela, tšhese le falafel, sopo, hlapi, raese, merogo ya medu, seela sa raese, selo se sengwe sa spinach, kebabs, cheese baclava... Le ge go le bjalo, ka moka ga tšona di a hlatlama, le tše di bose kudukudu.",Lego Fish,positive
617,"Di-veggies, mehuta ka moka ya go ata ga bohlabela, tšhese le falafel, sopo, hlapi, raese, merogo ya medu, seela sa raese, selo se sengwe sa spinach, kebabs, cheese baclava... Le ge go le bjalo, ka moka ga tšona di a hlatlama, le tše di bose kudukudu.",Go go goood,positive
620,"Di-veggies, mehuta ka moka ya go ata ga bohlabela, tšhese le falafel, sopo, hlapi, raese, merogo ya medu, seela sa raese, selo se sengwe sa spinach, kebabs, cheese baclava... Le ge go le bjalo, ka moka ga tšona di a hlatlama, le tše di bose kudukudu.",Vegetables A Go Go,positive
625,"Di-veggies, mehuta ka moka ya go ata ga bohlabela, tšhese le falafel, sopo, hlapi, raese, merogo ya medu, seela sa raese, selo se sengwe sa spinach, kebabs, cheese baclava... Le ge go le bjalo, ka moka ga tšona di a hlatlama, le tše di bose kudukudu.",Go Go Rice Medley,positive
628,"Di-veggies, mehuta ka moka ya go ata ga bohlabela, tšhese le falafel, sopo, hlapi, raese, merogo ya medu, seela sa raese, selo se sengwe sa spinach, kebabs, cheese baclava... Le ge go le bjalo, ka moka ga tšona di a hlatlama, le tše di bose kudukudu.",Skesa Selo,positive
631,"Di-veggies, mehuta ka moka ya go ata ga bohlabela, tšhese le falafel, sopo, hlapi, raese, merogo ya medu, seela sa raese, selo se sengwe sa spinach, kebabs, cheese baclava... Le ge go le bjalo, ka moka ga tšona di a hlatlama, le tše di bose kudukudu.",falafel,positive
634,"Di-veggies, mehuta ka moka ya go ata ga bohlabela, tšhese le falafel, sopo, hlapi, raese, merogo ya medu, seela sa raese, selo se sengwe sa spinach, kebabs, cheese baclava... Le ge go le bjalo, ka moka ga tšona di a hlatlama, le tše di bose kudukudu.",Eastern Go Go Spread,positive
637,"Di-veggies, mehuta ka moka ya go ata ga bohlabela, tšhese le falafel, sopo, hlapi, raese, merogo ya medu, seela sa raese, selo se sengwe sa spinach, kebabs, cheese baclava... Le ge go le bjalo, ka moka ga tšona di a hlatlama, le tše di bose kudukudu.",Lego Ninjago Kebabs,positive
640,"Di-veggies, mehuta ka moka ya go ata ga bohlabela, tšhese le falafel, sopo, hlapi, raese, merogo ya medu, seela sa raese, selo se sengwe sa spinach, kebabs, cheese baclava... Le ge go le bjalo, ka moka ga tšona di a hlatlama, le tše di bose kudukudu.",Sopeša,positive
643,"Di-veggies, mehuta ka moka ya go ata ga bohlabela, tšhese le falafel, sopo, hlapi, raese, merogo ya medu, seela sa raese, selo se sengwe sa spinach, kebabs, cheese baclava... Le ge go le bjalo, ka moka ga tšona di a hlatlama, le tše di bose kudukudu.",Go Go Cheese Baclava,positive
646,"Di-veggies, mehuta ka moka ya go ata ga bohlabela, tšhese le falafel, sopo, hlapi, raese, merogo ya medu, seela sa raese, selo se sengwe sa spinach, kebabs, cheese baclava... Le ge go le bjalo, ka moka ga tšona di a hlatlama, le tše di bose kudukudu.",Reise riša,positive
649,10-20 Ke mang yo a nyakago gore a gole kae?,Tirelo Tirelo,negative
652,Dijo tša ka di be di le ka tlase ga palogare (ge e le gore di be di fa batho dijo tšeo ba di kilego ba di ja.,Tirelo Tirelo,negative
656,Dijo tša ka di be di le ka tlase ga palogare (ge e le gore di be di fa batho dijo tšeo ba di kilego ba di ja.,Y yo le dije,neutral
658,Dijo tša ka di be di le ka tlase ga palogare (ge e le gore di be di fa batho dijo tšeo ba di kilego ba di ja.,Le dijo,negative
662,Re be re letile diiri tše tharo pele ga ge re ka tsena ka ntlong ya rena.,Go Ina Go,neutral
664,Re be re letile diiri tše tharo pele ga ge re ka tsena ka ntlong ya rena.,Leta Leta,negative
666,"Go na le dijo tše di kgahlišago kudu, eupša go na le seo se ilego sa dira gore go be le leina la go ja dijo tša go feta tša ka kua Toropong ya Gauteng.",Le dijo,positive
669,"O se ke wa kwagala o se na mohola, eupša o se ke wa ba le setšabo.",Devary A go go,negative
672,"Go ba le toka, dijo di sa ntše di le botse gomme tirelo e šoma ka pela le ge e le gore gantši e swaregile kudu.",Tirelo Tirelo,positive
676,"Go ba le toka, dijo di sa ntše di le botse gomme tirelo e šoma ka pela le ge e le gore gantši e swaregile kudu.",Le dijo,positive
680,"Tirelo e botse kudu, ga e emele, gomme o hwetša theko e ntši.",Tirelo Tirelo,positive
684,"Tirelo e botse kudu, ga e emele, gomme o hwetša theko e ntši.",Leta Leta,positive
688,"Tirelo e botse kudu, ga e emele, gomme o hwetša theko e ntši.",bei bei,positive
690,"Batšwasehlale ba na le lerato kudu, gomme ba tšwa ka ntle ga naga ye.",Pasta Go Go,positive
694,"Batšwasehlale ba na le lerato kudu, gomme ba tšwa ka ntle ga naga ye.",Leta Bae,positive
698,Ke lethabo le le fihlilwego ka go tlala le dijo tše di kgahlišago.,Le dijo,positive
702,Ke lethabo le le fihlilwego ka go tlala le dijo tše di kgahlišago.,Go Go Bar,positive
706,Ke lefelo le lebotse la go ya le bagwera ba mmalwa.,Felo,positive
709,Ke rata kgapetla ya gagwe ye e nago le bošilo bjo bo bosesane bja go šadiša.,Go go to be a sandwich with fris,positive
712,Ge e le gore go na le motho yo a thabišwago ke go thopa sefoka sa gagwe.,Alago - Kiša,neutral
715,Ge e le gore go na le motho yo a thabišwago ke go thopa sefoka sa gagwe.,Calamarie Moka,positive
718,"Dithekišo tše kgolo, tše di kgahlišago le tše di kgahlišago le tše di kgahlišago.",Les Šaša,positive
722,"Dithekišo tše kgolo, tše di kgahlišago le tše di kgahlišago le tše di kgahlišago.",Tirelo Tirelo,positive
726,"Dithekišo tše kgolo, tše di kgahlišago le tše di kgahlišago le tše di kgahlišago.",ditheko,positive
730,"Cool lego sets, that's gonna be a drop.",Botafogo,positive
733,Wanna be a boi; Ba be ba le bogale le go se kgahle.,Go Leta Go,negative
736,Go - Water down.,Lena Sedria,negative
739,"Go - Small, Go Small",Menu go,negative
742,Le ge e le gore theko e ka se be gona.,bei bei,negative
745,Le ge e le gore theko e ka se be gona.,Le dijo,negative
748,"Le ge go le bjalo, ge e le gore ga se ka ngwakong, dijo le ditirelo di swanetše go ba gona.",Tirelo Tirelo,positive
751,"Le ge go le bjalo, ge e le gore ga se ka ngwakong, dijo le ditirelo di swanetše go ba gona.",Le dijo,positive
754,"Le ge go le bjalo, ge e le gore ga se ka ngwakong, dijo le ditirelo di swanetše go ba gona.",Lego Boss,neutral
756,"Ka ge ke apea dijo tša ka, ke a di ja ka dijo tše ke di jago ka dihoteleng.",Le dijo,neutral
759,Waldwald o tšwela pele go tšwela pele ka go dira bjalo.,Lego Boss,positive
761,"Go go try the t-t Sebago Chops, Veal Chops, Rabbit, The Potato Gratin, On and On and On...",Lamb Chops,positive
764,"Go go try the t-t Sebago Chops, Veal Chops, Rabbit, The Potato Gratin, On and On and On...",Sebago Gratin,positive
767,"Go go try the t-t Sebago Chops, Veal Chops, Rabbit, The Potato Gratin, On and On and On...",Go smoke trika,positive
770,"Go go try the t-t Sebago Chops, Veal Chops, Rabbit, The Potato Gratin, On and On and On...",Rathwa rathwa,positive
773,"Go go try the t-t Sebago Chops, Veal Chops, Rabbit, The Potato Gratin, On and On and On...",Go Go Chops,positive
776,O ka se tšhošwe ke dikgetho dife goba dife tšeo o di kgethilego.,Menu go,positive
779,Bašomi le bašomi ba gago ba tla go dira gore o ikwe gabotse.,Beng Beng,positive
781,Bašomi le bašomi ba gago ba tla go dira gore o ikwe gabotse.,Mothwalwa,positive
783,Kgopela tafole ya go dikologa kgauswi le lefasetere le legolo.,Lego Table Table Lego Table Table Lego Table Lego Large,positive
785,Ke mang yo a itšego ge letšatši le dio sepela le wena?,Felo,neutral
787,"Ga se gantši, eupša go lekane, go na le lefelo le legolo.",lego scene,positive
790,"Dijo di be di le bose kudu, eupša dijo tša go apea di be di re makatša.",Dijo tša go apea,positive
794,"Dijo di be di le bose kudu, eupša dijo tša go apea di be di re makatša.",Go Go Sushi,positive
798,"Dijo di be di le bose kudu, eupša dijo tša go apea di be di re makatša.",Le dijo,positive
802,"Ge go fihla nako ya go tšea taelo ya gore mokgopedi o ile a re fa nako ye boima, a sepela ka morago a boa ka pampiri le pene gore re kgone go ngwala seo re bego re se nyaka... Tshwarelo hle, ga se mošomo wa gago???",Go Leta Go,negative
804,"Ka morago ga moo, mong wa rena o ile a re botša gore re ka dira eng, eupša ka nako yeo re be re tenwa ke motho yo mongwe le yo mongwe yo a bego a le gona.",Go Leta Go,negative
807,"Ka morago ga moo, mong wa rena o ile a re botša gore re ka dira eng, eupša ka nako yeo re be re tenwa ke motho yo mongwe le yo mongwe yo a bego a le gona.",Menu go,neutral
809,"Ka morago ga moo, mong wa rena o ile a re botša gore re ka dira eng, eupša ka nako yeo re be re tenwa ke motho yo mongwe le yo mongwe yo a bego a le gona.",Molaodi,neutral
811,Dijo di bose kudu ebile di a šišinywa.,Le dijo,positive
814,"Ge e fihla e be e le ya go tšhošwa ke tšie e tala, e sego ya jewa ke motho.",Go Go Green Chillis,negative
818,"Ge e fihla e be e le ya go tšhošwa ke tšie e tala, e sego ya jewa ke motho.",Diy di lena,negative
822,"Ke ile ka thoma go bolela le motho yo a bego a le hlogong, eupša ke ile ka thoma go ba le maatla a go se loke.",Molaodi,negative
825,"Ke ile ka thoma go bolela le motho yo a bego a le hlogong, eupša ke ile ka thoma go ba le maatla a go se loke.",Go Leta Go,negative
828,Ke be ke nyamile kudu ka lebaka la dijo tša bona le dijo tša bona.,Tirelo Tirelo,negative
831,Ke be ke nyamile kudu ka lebaka la dijo tša bona le dijo tša bona.,Le dijo,negative
834,"Mokibelo wo o fetilego, ke be ke na le dijo tše botse tša go ba le seroto sa konyana se se nago le ditapole tše di bose.",Go Go Boots With Mashed Potatoes,positive
836,"Mokibelo wo o fetilego, ke be ke na le dijo tše botse tša go ba le seroto sa konyana se se nago le ditapole tše di bose.",Y yo le dije,positive
839,"Nna le baamogi ba rena re be re šetše re na le bonnyane bja 80% ya palomoka ya ditheetši, gomme ka moka ga tšona di be di le gona.",Menu go,positive
841,Y yo le dis le despe a la y.,Deco moka,positive
844,Y yo le dis le despe a la y.,Ambiebotse,positive
847,"Ke be ke rata dijo ka moka tše tharo, ke rata dijo, ke rata dijo ka mehla, tirelo e tloga e le ye botse gomme theko e a kwagala.",ditheko,positive
851,"Ke be ke rata dijo ka moka tše tharo, ke rata dijo, ke rata dijo ka mehla, tirelo e tloga e le ye botse gomme theko e a kwagala.",Tirelo Tirelo,positive
855,"Ke be ke rata dijo ka moka tše tharo, ke rata dijo, ke rata dijo ka mehla, tirelo e tloga e le ye botse gomme theko e a kwagala.",Le dijo,positive
859,"Ge e le gore o nyaka go ja dijo tša selatine, o ka se kgone go sepela.",Dijo la Latina,positive
862,"Le ge go le bjalo, serapana seo se be se kgahliša, serapana se be se kgahliša, se be se kgahliša, sa go ja dienywa tša sona.",Lego Garden,positive
866,"Le ge go le bjalo, serapana seo se be se kgahliša, serapana se be se kgahliša, se be se kgahliša, sa go ja dienywa tša sona.",Tirelo Tirelo,positive
870,"Le ge go le bjalo, serapana seo se be se kgahliša, serapana se be se kgahliša, se be se kgahliša, sa go ja dienywa tša sona.",Alago - Alago,positive
874,"Le ge go le bjalo, serapana seo se be se kgahliša, serapana se be se kgahliša, se be se kgahliša, sa go ja dienywa tša sona.",Go Ina Go,positive
878,"Le ge go le bjalo, serapana seo se be se kgahliša, serapana se be se kgahliša, se be se kgahliša, sa go ja dienywa tša sona.",Le dijo,positive
882,"Yup, that's gonna be big here.",Go Chicken Go,positive
885,"Le ge go le bjalo, le ge go le bjalo, le ge go le bjalo, re rata go oketša tšie ya rena ye e hlwekilego.",Lego Ninjago Salsa,neutral
887,"Le ge go le bjalo, le ge go le bjalo, le ge go le bjalo, re rata go oketša tšie ya rena ye e hlwekilego.",Go Flavor go,negative
890,"Ge re be re eja, re be re se na le tatso ebile re be re tuka, gomme tšheke ya moela e be e le bose kudu.",Fajita moka,negative
894,"Ge re be re eja, re be re se na le tatso ebile re be re tuka, gomme tšheke ya moela e be e le bose kudu.",Monywa Sauce,negative
898,"Dula le dikgogo tše di apeilwego, gomme o tla phela gabotse.",Dikgogo tše di bedišitšwego,positive
900,E be e le tirelo ye kaonekaone yeo nkilego ka e hwetša ka mo afrika Borwa.,Tirelo Tirelo,positive
903,Alfredo be awesome.,Anke Fettucino Alfredo,positive
906,"Le ge go le bjalo, go be go na le dithekišo tša ka ntle ga beke ya go rekiša dijo e be e le tše kgolo.",ditheko,positive
909,"Le ge go le bjalo, go na le batho bao ba ratago go ba gona, le ge go le bjalo, go na",Baokaoka,positive
913,"Le ge go le bjalo, go na le batho bao ba ratago go ba gona, le ge go le bjalo, go na",ba ba bartenders,positive
917,"Le ge go le bjalo, go na le batho bao ba ratago go ba gona, le ge go le bjalo, go na",Go Go Décor,positive
921,"Ke rata ditagwa, le ditagwa, le dijo di bose kudu.",Dino Dino,positive
925,"Ke rata ditagwa, le ditagwa, le dijo di bose kudu.",Lena Martini,positive
929,"Ke rata ditagwa, le ditagwa, le dijo di bose kudu.",Le dijo,positive
933,Suki ke wa go kwagala e bile o a hlweka.,theko ya theko,positive
937,Suki ke wa go kwagala e bile o a hlweka.,Go Go Sushi,positive
941,Go Fast Sushi!,Dijo tša go fihlola,positive
944,"Ga se fela gore ba na le dithušo tše kaone ka mo toropong, ka mehla ba leka go ba le dithušo tša rena.",Go GoScargot,positive
947,Here ya go lyfly; O ka ba le dijo tše di nago le mohola wa go se be le dijo tše di nago le mohola.,Alago - Kiša,positive
951,Here ya go lyfly; O ka ba le dijo tše di nago le mohola wa go se be le dijo tše di nago le mohola.,Y yo le dije,positive
955,Y yo le digo a y a highlighto.,lego spicy mussels lego,positive
958,Bea mošoro gomme o dule ka gare ga phaka ya ka morago.,Dugo Selo,positive
960,Bea mošoro gomme o dule ka gare ga phaka ya ka morago.,Mojito Moke,positive
962,"Le ge dijo tša bona di le bose, ditšhika tša bona di tloga mo lefaseng.",Food lego kitchen,positive
966,"Le ge dijo tša bona di le bose, ditšhika tša bona di tloga mo lefaseng.",Go Go Sushi,positive
970,"Lefelo le le na le dijo tše di sa tlwaelegago, gomme dithekretšha di leka go ba boima kudu go dira dijo tše di sa kgahlišego.",Menu go,negative
974,"Lefelo le le na le dijo tše di sa tlwaelegago, gomme dithekretšha di leka go ba boima kudu go dira dijo tše di sa kgahlišego.",Le dijo,negative
978,"Ge ke eya gona ke sa kgone go ja selo le ge e le sefe seo ke se jago, e sego ka lebaka la gore dijo di tletše ka dilo tše kgolo tšeo di swanetšego go jewa.",Menu go,negative
980,Ka mehla ke nyaka go tseba gore go na le selo se se fapanego le seo se lego ka gare ga sona.,Go Leta Go,neutral
982,Ka mehla ke nyaka go tseba gore go na le selo se se fapanego le seo se lego ka gare ga sona.,Menu go,neutral
984,"Le ge e le gore dijo tša ka di be di le bose, ga ke rate go ya dijong.",Le dijo,negative
986,Lefelo le lennyane le lebotse le amogelwa ka lethabo.,Felo,positive
989,Bakgomana ba bona (ba- tsoga) ba na le maikarabelo le go ba le maikarabelo.,Go Go (Owner),positive
991,Bakgomana ba bona (ba- tsoga) ba na le maikarabelo le go ba le maikarabelo.,Lego Servers,positive
994,"Le ge go le bjalo, dijo tša gago di tla go thuša gore o boe.",Le dijo,positive
996,"Le ge go le bjalo, dijo tša gago di tla go thuša gore o boe.",Le dijo,positive
998,"Y yo le doy a todos, yo no le diy a todos!",Homemade Pasta Go Go Boots,positive
1000,"Y yo le doy a todos, yo no le diy a todos!",Lego Ninjago,positive
1003,"Le ge go le bjalo, go na le ditšhupetšo tše di nago le di-shrimp (di-sile) ke tša bomodimo.",Go go gadget shrimp (appetizer),positive
1005,Ya ya and the best of the best of there,mojitos,positive
1008,Ya ya and the best of the best of there,Tirelo Tirelo,positive
1011,"Tirelo e be e le bose, le yona e be e le ya maemo a tikologo.",Tirelo Tirelo,positive
1014,"Tirelo e be e le bose, le yona e be e le ya maemo a tikologo.",Botafogo,positive
1017,"Nna le mosadi wa ka re be re tseba gore go be go na le batho bao ba bego ba na le yena, gomme bobedi bja bona ba ile ba lemoga gore dihlapi di be di le boima kudu.",Lego Fish,negative
1020,"Nna le mosadi wa ka re be re tseba gore go be go na le batho bao ba bego ba na le yena, gomme bobedi bja bona ba ile ba lemoga gore dihlapi di be di le boima kudu.",Anke Brani,neutral
1023,Dijo di be di le bose ka kakaretšo. ,Le dijo,positive
1026,Leser be awesome.,salate ya kaser,positive
1029,Go go gadget frigo go better!,Go Go Fried Calamari,positive
1032,KE BE KE NYAMILE KUDU KA DIJO.,LE DIJO,negative
1035,"LE GE GO LE BJALO, GA SE NKE KE KA BONA TŠHIPI, LE GE E LE GORE GA SE NKE KE KA KGONA GO BONA TŠHILA YA KA GARE GA TŠHIPI LE TŠHILA.",MAC LE CHEESE GO,negative
1039,"LE GE GO LE BJALO, GA SE NKE KE KA BONA TŠHIPI, LE GE E LE GORE GA SE NKE KE KA KGONA GO BONA TŠHILA YA KA GARE GA TŠHIPI LE TŠHILA.",Krešoks,negative
1043,"LE GE GO LE BJALO, GA SE NKE KE KA BONA TŠHIPI, LE GE E LE GORE GA SE NKE KE KA KGONA GO BONA TŠHILA YA KA GARE GA TŠHIPI LE TŠHILA.",BANANA PUDDING,negative
1045,10Ke mo go šadišago ka ganong.,Go Go Sushi,positive
1048,Netefatša gore o na le phapoši ye e lekanetšego ya karata ya gago ya sekoloto ka ge karata ya gago e tla tlogela mokotlana wo mogolo ka gare ga mokotlana wa gago.,Go Bill Go,negative
1051,Dijo di be di le bonolo - ka gare ga ka gare ke tše nnyane le palogare - beng ba tšona ke sehlopha sa go se tlwaešege - ka fao ke sa tlwaešegego le go se iše pelo ge ke sa je.,Interna gare,negative
1055,Dijo di be di le bonolo - ka gare ga ka gare ke tše nnyane le palogare - beng ba tšona ke sehlopha sa go se tlwaešege - ka fao ke sa tlwaešegego le go se iše pelo ge ke sa je.,Lego Dining,neutral
1057,Dijo di be di le bonolo - ka gare ga ka gare ke tše nnyane le palogare - beng ba tšona ke sehlopha sa go se tlwaešege - ka fao ke sa tlwaešegego le go se iše pelo ge ke sa je.,Beng beng,negative
1061,Dijo di be di le bonolo - ka gare ga ka gare ke tše nnyane le palogare - beng ba tšona ke sehlopha sa go se tlwaešege - ka fao ke sa tlwaešegego le go se iše pelo ge ke sa je.,Le dijo,negative
1065,Dijo e be e le tša theko e boima kudu go seo o se hwetšago.,Le dijo a la,negative
1068,R1300 e be e se ya swanela go bušetšwa morago ka ge e be e se ya apewa.,Demonico Moka,negative
1071,Taolo e be e le ka fase ga go šwahlaga.,Management Go,negative
1074,"Re be re ipshina ka dijo tše di kgahlišago, gomme re rata dijo.",Tirelo Tirelo,positive
1078,"Re be re ipshina ka dijo tše di kgahlišago, gomme re rata dijo.",Le dijo,positive
1082,Ke be ke na le dijo tše dikaonekaone tšeo ke bego ke di ja ka lebenkeleng la di-malla.,Dijo tša Mjapane,negative
1085,Go sepela pele ka lefelong leo go be go bonala go na le tšie e kgolo.,Ambiebotse,positive
1088,Go sepela pele ka lefelong leo go be go bonala go na le tšie e kgolo.,Felo,positive
1090,Dijo e be e le tše di bose kudu.,Y yo le dije,negative
1093,Ke ile ka laela Phukubje gomme monna wa ka o ile a ba le tšhene ya go ja dijo.,Go Shrimp,neutral
1095,Ke ile ka laela Phukubje gomme monna wa ka o ile a ba le tšhene ya go ja dijo.,Sebago Teriyaki,neutral
1097,Kgogo ya ka e ile ya omišwa ka go tlala gomme ka lehlakoreng le tonya gomme lekgapetla le be le se na tatso ye kgolo.,Saša Saša,negative
1101,Kgogo ya ka e ile ya omišwa ka go tlala gomme ka lehlakoreng le tonya gomme lekgapetla le be le se na tatso ye kgolo.,Go Chicken Go,negative
1105,"Se sengwe seo ke se bolelago ke gore tirelo e be e le ya lebelo, re ile ra dula ka pela gomme ra ba le botho bjo bobotse.",Tirelo Tirelo,positive
1109,"Se sengwe seo ke se bolelago ke gore tirelo e be e le ya lebelo, re ile ra dula ka pela gomme ra ba le botho bjo bobotse.",Go Server,positive
1113,"""Ke na le tšhelete ye ntši kudu bakeng sa dijo tše bjalo tše di sa kgahlišego.",Y yo le dije,negative
1116,Go go go a big tri triste... Go be a good bystander; Dijo di be di le bose le tše kgolo ka bogolo - ke tla eletša kudu portobello/gorgonzola /sausage appetizer le lobster risotto.,lego risotto,positive
1120,Go go go a big tri triste... Go be a good bystander; Dijo di be di le bose le tše kgolo ka bogolo - ke tla eletša kudu portobello/gorgonzola /sausage appetizer le lobster risotto.,Le dijo,positive
1124,Go go go a big tri triste... Go be a good bystander; Dijo di be di le bose le tše kgolo ka bogolo - ke tla eletša kudu portobello/gorgonzola /sausage appetizer le lobster risotto.,Sebago / Gorgonzola /sausage appetizer,positive
1128,Go go go a big tri triste... Go be a good bystander; Dijo di be di le bose le tše kgolo ka bogolo - ke tla eletša kudu portobello/gorgonzola /sausage appetizer le lobster risotto.,Mothwalwa,positive
1132,Go go go a big tri triste... Go be a good bystander; Dijo di be di le bose le tše kgolo ka bogolo - ke tla eletša kudu portobello/gorgonzola /sausage appetizer le lobster risotto.,Bogolo bja karolo,positive
1136,Tirelo yeo e be e le ya go ba le seatla se se bulegilego ebile e be e le yo botho.,Tirelo Tirelo,positive
1139,"Nkabe bahu ba tsoga, be re tlo bitša Babirwa le Ditlou ka maina;",Whisky a Go Go,positive
1142,"Nkabe bahu ba tsoga, be re tlo bitša Babirwa le Ditlou ka maina;",Lego Desserts,positive
1145,"Nkabe bahu ba tsoga, be re tlo bitša Babirwa le Ditlou ka maina;",Le dijo,positive
1148,Go na le boitemogelo bjo bobotse bja go ja ka gare ga lefelo la go ja ka gare ga toropo.,Phihlelo ya dijo,positive
1151,"Tirelo ya gago e a kgahliša, gomme mong wa yona o sepela go netefatša gore o a ipshina.",Beng Beng,positive
1153,"Tirelo ya gago e a kgahliša, gomme mong wa yona o sepela go netefatša gore o a ipshina.",Tirelo Tirelo,positive
1156,Re be re dutše ka pela kgauswi le lefelo la go bina.,Go Go Dancer Floor,neutral
1158,"Mmino o be o kgahliša eupša o be o le phapošing ya go bolela, gomme morekiši o ile a nwa dino tše di bose kudu.",Dino Dino,positive
1162,"Mmino o be o kgahliša eupša o be o le phapošing ya go bolela, gomme morekiši o ile a nwa dino tše di bose kudu.",Go Go Bartender,positive
1166,"Mmino o be o kgahliša eupša o be o le phapošing ya go bolela, gomme morekiši o ile a nwa dino tše di bose kudu.",Momino Momino,positive
1170,"Dijo ga di bose kudu, gomme tirelo ga e bose kudu.",Tirelo Tirelo,negative
1174,"Dijo ga di bose kudu, gomme tirelo ga e bose kudu.",Le dijo,negative
1178,"Ke be ke thabile kudu ka ge go be go na le dijo tšeo di bego di le bose kudu, di be di le boleta ebile di le bonolo.",Mothwalwa,positive
1182,"Ke be ke thabile kudu ka ge go be go na le dijo tšeo di bego di le bose kudu, di be di le boleta ebile di le bonolo.",Le dijo,positive
1186,GA SE NKE KE BE KE NA LE DIJO TŠE DI SA LOKAGO (LE GE E LE GABOTSE),TIRELO TIRELO,positive
1188,GA SE NKE KE BE KE NA LE DIJO TŠE DI SA LOKAGO (LE GE E LE GABOTSE),LE DIJO,positive
1190,Se se be se bontšha gore dijo ga di a hlweka; Go molaleng gore e be e dirilwe pele ga matsogo gomme morago ga fao e agwa.,Le dijo,negative
1193,"Ge o le gare ga gems, ke šišinya gore o dire kgopelo ya gago.",Go Go Booking,neutral
1196,Gonna be a yummy!,Lego Mac Cheese,positive
1199,Y yo le dije a todos a todas.,lego brunch menu,positive
1201,Moopediši o be a na le lentšu le le botse + o ile a re dira gore ka moka re ikišetše dinamane go ja tše dingwe.,Song Jazz A Go Go,positive
1204,"If ya wanna be a bad diet, ya gotta be a g$$$$$ that's gonna be a good thing!!",lego scene,negative
1206,"If ya wanna be a bad diet, ya gotta be a g$$$$$ that's gonna be a good thing!!",Le dijo,negative
1210,"If ya wanna be a bad diet, ya gotta be a g$$$$$ that's gonna be a good thing!!",theko ya theko,negative
1214,Tirelo ya gago e na le botho ka pela.,Tirelo Tirelo,positive
1217,"Re be re ipshina ka dijo tša rena ge re be re le ka phapošing ya go ja dijo tša rena, gomme re be re ipshina ka dijo tša rena ka botlalo.",Y yo le dije,positive
1220,Dijo di be di le bose kudu - dijo tša seafrika di be di le bose kudu.,Lego Cuisine Italiana,positive
1224,Dijo di be di le bose kudu - dijo tša seafrika di be di le bose kudu.,Le dijo,positive
1228,Tirelo e be e sa fele.,Tirelo Tirelo,positive
1231,"Mna Modulasetulo, ga ke tsebe gore batho ba bangwe ba ba bego ba nagana ka mohuta wo wa go fiša o bolela ka eng.",Go Dog Go Hot,negative
1233,Ka ntle le pelaelo ke ye nngwe ya dithekišwa tše di kaonekaone tšeo nkilego ka ba le tšona.,Sebago Hotdogs,negative
1236,"Godimo ga dimpša tše kgolo tše di fišago, DOTP e na le di-sandwiches tša mesong tše di kgahlišago, go tlaleletša dilo tše kgolo tša go swana le di-tator tots le english muffins, setšweletšwa se se bose sa NJ-based pork se tseba go rena ba basetsana ba Jersey le bašemane bjalo ka Taylor ham.",Jeremane Muffins,positive
1240,"Godimo ga dimpša tše kgolo tše di fišago, DOTP e na le di-sandwiches tša mesong tše di kgahlišago, go tlaleletša dilo tše kgolo tša go swana le di-tator tots le english muffins, setšweletšwa se se bose sa NJ-based pork se tseba go rena ba basetsana ba Jersey le bašemane bjalo ka Taylor ham.",Go Go Taylor Ham,positive
