,sn,aspect,polarities
578,Iyo yakasarudzwa nounyanzvi Portuguese cheese ngoro yakabatanidzwa nehutano hwechiteshi inopa yakakwana Iberian kuguma.,chiteshi chengarava,positive
582,"Nepo yakanga yakakura uye ine ruzha zvishoma, zvinwiwa zvakanga zvakaisvonaka, uye zvokudya zvakanga zvakaisvonaka.",zvinwiwa,positive
586,"Nepo yakanga yakakura uye ine ruzha zvishoma, zvinwiwa zvakanga zvakaisvonaka, uye zvokudya zvakanga zvakaisvonaka.",zvokudya,positive
590,Mitengo yacho haina kutyisa.,mitengo,positive
593,"Basa racho rakanga rakakura, uye vane zvakawanda zvikuru nokuda kwemazuva okuzvarwa.",basa,positive
596,"Dzimwe nguva ndaenda zviri kudanana musi denga, unogona kufamba kupinda kuwana bhodhi pedyo mahwindo, kubatwa sezvinoita VIP munzvimbo kwete-vakazara, pamwe zvokudya zvikuru uye basa.",basa,positive
600,"Dzimwe nguva ndaenda zviri kudanana musi denga, unogona kufamba kupinda kuwana bhodhi pedyo mahwindo, kubatwa sezvinoita VIP munzvimbo kwete-vakazara, pamwe zvokudya zvikuru uye basa.",zvokudya,positive
604,"Dzimwe nguva ndaenda zviri kudanana musi denga, unogona kufamba kupinda kuwana bhodhi pedyo mahwindo, kubatwa sezvinoita VIP munzvimbo kwete-vakazara, pamwe zvokudya zvikuru uye basa.",Booth pedyo nemahwindo,neutral
606,"Dzimwe nguva ndaenda zviri kudanana musi denga, unogona kufamba kupinda kuwana bhodhi pedyo mahwindo, kubatwa sezvinoita VIP munzvimbo kwete-vakazara, pamwe zvokudya zvikuru uye basa.",nzvimbo,positive
610,"Fresh veggies, marudzi ose pakati kumabvazuva anopararira, chizi uye falafel, muto, hove, mupunga, midzi miriwo, mupunga medley, vamwe sipinachi chinhu, gwayana kebabs, chizi bacclava ... fooood yakawanda kwazvo, uye zvose zvinonaka.",chizi,positive
613,"Fresh veggies, marudzi ose pakati kumabvazuva anopararira, chizi uye falafel, muto, hove, mupunga, midzi miriwo, mupunga medley, vamwe sipinachi chinhu, gwayana kebabs, chizi bacclava ... fooood yakawanda kwazvo, uye zvose zvinonaka.",Fresh veggies,positive
614,"Fresh veggies, marudzi ose pakati kumabvazuva anopararira, chizi uye falafel, muto, hove, mupunga, midzi miriwo, mupunga medley, vamwe sipinachi chinhu, gwayana kebabs, chizi bacclava ... fooood yakawanda kwazvo, uye zvose zvinonaka.",hove,positive
617,"Fresh veggies, marudzi ose pakati kumabvazuva anopararira, chizi uye falafel, muto, hove, mupunga, midzi miriwo, mupunga medley, vamwe sipinachi chinhu, gwayana kebabs, chizi bacclava ... fooood yakawanda kwazvo, uye zvose zvinonaka.",fooood,positive
620,"Fresh veggies, marudzi ose pakati kumabvazuva anopararira, chizi uye falafel, muto, hove, mupunga, midzi miriwo, mupunga medley, vamwe sipinachi chinhu, gwayana kebabs, chizi bacclava ... fooood yakawanda kwazvo, uye zvose zvinonaka.",miriwo midzi,positive
625,"Fresh veggies, marudzi ose pakati kumabvazuva anopararira, chizi uye falafel, muto, hove, mupunga, midzi miriwo, mupunga medley, vamwe sipinachi chinhu, gwayana kebabs, chizi bacclava ... fooood yakawanda kwazvo, uye zvose zvinonaka.",mupunga medley,positive
628,"Fresh veggies, marudzi ose pakati kumabvazuva anopararira, chizi uye falafel, muto, hove, mupunga, midzi miriwo, mupunga medley, vamwe sipinachi chinhu, gwayana kebabs, chizi bacclava ... fooood yakawanda kwazvo, uye zvose zvinonaka.",sipinachi chinhu,positive
631,"Fresh veggies, marudzi ose pakati kumabvazuva anopararira, chizi uye falafel, muto, hove, mupunga, midzi miriwo, mupunga medley, vamwe sipinachi chinhu, gwayana kebabs, chizi bacclava ... fooood yakawanda kwazvo, uye zvose zvinonaka.",falafel,positive
634,"Fresh veggies, marudzi ose pakati kumabvazuva anopararira, chizi uye falafel, muto, hove, mupunga, midzi miriwo, mupunga medley, vamwe sipinachi chinhu, gwayana kebabs, chizi bacclava ... fooood yakawanda kwazvo, uye zvose zvinonaka.",Middle East Inopararira,positive
637,"Fresh veggies, marudzi ose pakati kumabvazuva anopararira, chizi uye falafel, muto, hove, mupunga, midzi miriwo, mupunga medley, vamwe sipinachi chinhu, gwayana kebabs, chizi bacclava ... fooood yakawanda kwazvo, uye zvose zvinonaka.",gwayana kebabs,positive
640,"Fresh veggies, marudzi ose pakati kumabvazuva anopararira, chizi uye falafel, muto, hove, mupunga, midzi miriwo, mupunga medley, vamwe sipinachi chinhu, gwayana kebabs, chizi bacclava ... fooood yakawanda kwazvo, uye zvose zvinonaka.",muto,positive
643,"Fresh veggies, marudzi ose pakati kumabvazuva anopararira, chizi uye falafel, muto, hove, mupunga, midzi miriwo, mupunga medley, vamwe sipinachi chinhu, gwayana kebabs, chizi bacclava ... fooood yakawanda kwazvo, uye zvose zvinonaka.",chizi baclava,positive
646,"Fresh veggies, marudzi ose pakati kumabvazuva anopararira, chizi uye falafel, muto, hove, mupunga, midzi miriwo, mupunga medley, vamwe sipinachi chinhu, gwayana kebabs, chizi bacclava ... fooood yakawanda kwazvo, uye zvose zvinonaka.",mupunga,positive
649,"Basa rinononoka, asi paunenge uchitandara nemapoka e10 kana 20, ndiani anonyatsocherechedza?",basa,negative
652,Basa rakaipisisa rakakwana randakambosangana naro uye chikafu chakanga chiri pasi peavhareji (apo chaizvoizvo vakapa vanhu zvokudya zvavakarayira).,basa,negative
656,Basa rakaipisisa rakakwana randakambosangana naro uye chikafu chakanga chiri pasi peavhareji (apo chaizvoizvo vakapa vanhu zvokudya zvavakarayira).,zvokudya,neutral
658,Basa rakaipisisa rakakwana randakambosangana naro uye chikafu chakanga chiri pasi peavhareji (apo chaizvoizvo vakapa vanhu zvokudya zvavakarayira).,zvokudya,negative
662,Kumirira maawa matatu tisati tawana entrees yedu yakanga iri kurapwawo.,entrees,neutral
664,Kumirira maawa matatu tisati tawana entrees yedu yakanga iri kurapwawo.,Kumirira,negative
666,Chikafu chacho chine uye chakanaka asi kuti chakawana sei zita Best Diner In Manhattan iri kupfuura ini.,zvokudya,positive
669,Kwete kunzwika zvakanyanya zvakaipa asi kungwarira delivary.,delivary,negative
672,"Kutaura zvakanaka, zvokudya zvichiri zvakanaka uye basa iri nokukurumidza uye kuteerera kunyange zvazvo ayo kazhinji akabatikana chaizvo.",basa,positive
676,"Kutaura zvakanaka, zvokudya zvichiri zvakanaka uye basa iri nokukurumidza uye kuteerera kunyange zvazvo ayo kazhinji akabatikana chaizvo.",zvokudya,positive
680,"Basa rakaisvonaka, hapana kumirira, uye iwe unowana zvakawanda zvemutengo.",Basa,positive
684,"Basa rakaisvonaka, hapana kumirira, uye iwe unowana zvakawanda zvemutengo.",kumirira,positive
688,"Basa rakaisvonaka, hapana kumirira, uye iwe unowana zvakawanda zvemutengo.",mutengo,positive
690,Vashandi vane ushamwari chaizvo uye pasta iri kunze kwenyika ino.,pasita,positive
694,Vashandi vane ushamwari chaizvo uye pasta iri kunze kwenyika ino.,Vashandi,positive
698,Icho chinhu chakavanzika chinofadza chakakwana nebhawa rakasiyana-siyana uye chikafu chakanaka.,zvokudya,positive
702,Icho chinhu chakavanzika chinofadza chakakwana nebhawa rakasiyana-siyana uye chikafu chakanaka.,bhaa,positive
706,Inzvimbo yakanaka yekuenda neshamwari mbiri.,nzvimbo,positive
709,Ini ndinonyanya kufarira yavo nyoro shell crab sandwich nefries.,nyoro shell crab sandwich ine fries,positive
712,"Nokuti appetizer, calamari yavo ndiye mukundi.",appetizer,neutral
715,"Nokuti appetizer, calamari yavo ndiye mukundi.",Calamari,positive
718,"Zvikamu zvakakura, basa guru uye rakateerera, uye mitengo yakanaka yakanaka.",zvikamu,positive
722,"Zvikamu zvakakura, basa guru uye rakateerera, uye mitengo yakanaka yakanaka.",basa,positive
726,"Zvikamu zvakakura, basa guru uye rakateerera, uye mitengo yakanaka yakanaka.",mitengo,positive
730,Mhepo inotonhorera asi yakadaro yakaregedza.,mhepo,positive
733,Weti yedu yaityisa; saka zvisina kufanira uye kusafarira.,weti,negative
736,Vaporwave - water down.,Sangria,negative
739,"Menu - uneventful, diki.",menyu,negative
742,Zvokudya - hazvina kukodzera mutengo.,mutengo,negative
745,Zvokudya - hazvina kukodzera mutengo.,zvokudya,negative
748,"Kunyange kana mubiki asiri mumba, zvokudya nebasa zviri pachinangwa chaicho.",basa,positive
751,"Kunyange kana mubiki asiri mumba, zvokudya nebasa zviri pachinangwa chaicho.",zvokudya,positive
754,"Kunyange kana mubiki asiri mumba, zvokudya nebasa zviri pachinangwa chaicho.",Chef,neutral
756,"Sezvo ndichibika kuti ndirarame, ndiri fussy zvikuru pamusoro pezvokudya zvandinodya mumaresitorendi.",zvokudya,neutral
759,Chef Waldy's nguva dzose inoyera kumusoro.,Chef,positive
761,"Iva nechokwadi chekuedza Smoked Trout ... Gwayana Chops, Veal Chops, Rabbit, mbatatisi gratin, pamusoro uye pamusoro uye pamusoro ...",Gwayana Chops,positive
764,"Iva nechokwadi chekuedza Smoked Trout ... Gwayana Chops, Veal Chops, Rabbit, mbatatisi gratin, pamusoro uye pamusoro uye pamusoro ...",mbatatisi gratin,positive
767,"Iva nechokwadi chekuedza Smoked Trout ... Gwayana Chops, Veal Chops, Rabbit, mbatatisi gratin, pamusoro uye pamusoro uye pamusoro ...",Trout Yakaputirwa,positive
770,"Iva nechokwadi chekuedza Smoked Trout ... Gwayana Chops, Veal Chops, Rabbit, mbatatisi gratin, pamusoro uye pamusoro uye pamusoro ...",Rabbit,positive
773,"Iva nechokwadi chekuedza Smoked Trout ... Gwayana Chops, Veal Chops, Rabbit, mbatatisi gratin, pamusoro uye pamusoro uye pamusoro ...",Veal Chops,positive
776,Iwe hauzotsauswi nechimwe chezvisarudzo zviri mumenyu.,menyu,positive
779,Muridzi uye vashandi vanoita zvose zvavanogona kuti unzwe wakasununguka.,muridzi,positive
781,Muridzi uye vashandi vanoita zvose zvavanogona kuti unzwe wakasununguka.,vashandi,positive
783,Kumbira tafura yepakona yakatenderera pedyo nehwindo guru.,Round pakona tafura pedyo hwindo guru,positive
785,Ndiani akati enda apo nzvimbo yakanyarara masikati?,nzvimbo,neutral
787,"Kwete zvakanyanya, asi zvakakwana kuti pane chiitiko chikuru.",chiitiko,positive
790,"Zvokudya zvakanga zvakakura - sushi yakanga yakanaka, asi zvokudya zvakabikwa zvakatishamisa.",Zvokudya Zvakabikwa,positive
794,"Zvokudya zvakanga zvakakura - sushi yakanga yakanaka, asi zvokudya zvakabikwa zvakatishamisa.",sushi,positive
798,"Zvokudya zvakanga zvakakura - sushi yakanga yakanaka, asi zvokudya zvakabikwa zvakatishamisa.",zvokudya,positive
802,"Apo yakasvika nguva yekutora order waiter yakatipa nguva yakaoma, yakafamba ichienda ndokubva yadzoka nepepa nepeni kuti tinyore zvataida... Ndiregererei, asi haisi basa rake here???",weti,negative
804,Maneja akabva atiudza kuti taigona kuraira kubva kune chero menu yataida asi panguva iyoyo takanga tashatiriswa zvikuru nemushandi uye resturant zvokuti takarega ndokuenda kune imwe nzvimbo.,weti,negative
807,Maneja akabva atiudza kuti taigona kuraira kubva kune chero menu yataida asi panguva iyoyo takanga tashatiriswa zvikuru nemushandi uye resturant zvokuti takarega ndokuenda kune imwe nzvimbo.,menyu,neutral
809,Maneja akabva atiudza kuti taigona kuraira kubva kune chero menu yataida asi panguva iyoyo takanga tashatiriswa zvikuru nemushandi uye resturant zvokuti takarega ndokuenda kune imwe nzvimbo.,maneja,neutral
811,Zvokudya zvinonaka uye zvinokurudzirwa zvikuru.,zvokudya,positive
814,"Apo ndiro yacho yakasvika yakanga ichipisa negreen chillis, zvirokwazvo isingadyiwi nemunhu.",green chillis,negative
818,"Apo ndiro yacho yakasvika yakanga ichipisa negreen chillis, zvirokwazvo isingadyiwi nemunhu.",dhiza,negative
822,"Ndakanyunyuta kune waiter uye ipapo kuna maneja, asi kusimba kwekusazvibata kubva kwavari kwakangokwira.",maneja,negative
825,"Ndakanyunyuta kune waiter uye ipapo kuna maneja, asi kusimba kwekusazvibata kubva kwavari kwakangokwira.",weti,negative
828,Ndakaodzwa mwoyo zvikuru nebasa ravo nezvokudya.,basa,negative
831,Ndakaodzwa mwoyo zvikuru nebasa ravo nezvokudya.,zvokudya,negative
834,"Ndakaenda musi weMugovera wapfuura uyu uye ndaiva nezvokudya zvakaisvonaka zvekuumba, shank yegwayana yakagadzirwa nembatatisi dzakasvibiswa.",braised gwayana shank pamwe mashed mbatatisi,positive
836,"Ndakaenda musi weMugovera wapfuura uyu uye ndaiva nezvokudya zvakaisvonaka zvekuumba, shank yegwayana yakagadzirwa nembatatisi dzakasvibiswa.",kudya,positive
839,"Pakati pemuenzi wangu neni, takaongorora zvinenge 80% yemenyu, uye ivo vese vakanga vachirova.",menyu,positive
841,The Deco uye ambiance akanga chaizvoizvo kudanana.,Deco,positive
844,The Deco uye ambiance akanga chaizvoizvo kudanana.,ambiance,positive
847,"Ndakadya panzvimbo dzose nhatu uye ndinogara ndichida, ndinoda chikafu, basa rinogara richishamisa uye mitengo yacho inonzwisisika chaizvo.",mitengo,positive
851,"Ndakadya panzvimbo dzose nhatu uye ndinogara ndichida, ndinoda chikafu, basa rinogara richishamisa uye mitengo yacho inonzwisisika chaizvo.",basa,positive
855,"Ndakadya panzvimbo dzose nhatu uye ndinogara ndichida, ndinoda chikafu, basa rinogara richishamisa uye mitengo yacho inonzwisisika chaizvo.",zvokudya,positive
859,"Kana iwe uchida kuravira kwakanaka, zvakanaka zvakagadzirwa zveLatin zvokudya zvinodya kuCabana uye iwe haugone kuenda zvisina kunaka.",Zvokudya zveLatin,positive
862,"Yakanga inofadza isina kuzara, basa racho raifadza, bindu rinofadza, zvokudya (kubva kune appetizers kusvika kune entrees) zvakanga zvichifadza.",munda,positive
866,"Yakanga inofadza isina kuzara, basa racho raifadza, bindu rinofadza, zvokudya (kubva kune appetizers kusvika kune entrees) zvakanga zvichifadza.",basa,positive
870,"Yakanga inofadza isina kuzara, basa racho raifadza, bindu rinofadza, zvokudya (kubva kune appetizers kusvika kune entrees) zvakanga zvichifadza.",appetizers,positive
874,"Yakanga inofadza isina kuzara, basa racho raifadza, bindu rinofadza, zvokudya (kubva kune appetizers kusvika kune entrees) zvakanga zvichifadza.",entrees,positive
878,"Yakanga inofadza isina kuzara, basa racho raifadza, bindu rinofadza, zvokudya (kubva kune appetizers kusvika kune entrees) zvakanga zvichifadza.",zvokudya,positive
882,"yep, great here",huku,positive
885,"Iyo guac itsva, asi isina kuravira, tinoda kuwedzera salsa yedu itsva mairi.",itsva salsa,neutral
887,"Iyo guac itsva, asi isina kuravira, tinoda kuwedzera salsa yedu itsva mairi.",Flavor,negative
890,Fajita yatakaedza yakanga isina kunaka uye yakatsva uye mole sauce yakanga yakanyanya kutapira.,fajita,negative
894,Fajita yatakaedza yakanga isina kunaka uye yakatsva uye mole sauce yakanga yakanyanya kutapira.,mole muto,negative
898,Gara nehuku dzakagochwa uye iwe uchava zvakanaka.,Huku dzakagochwa,positive
900,Basa rakanga riri pakati pezvakanakisisa zvandakaita muNYC.,Basa,positive
903,The fettucino alfredo akanga zvinoshamisa.,Fettucino Alfredo,positive
906,Mitengo kunyange kunze kwevhiki yeresitorendi yakanga yakakura.,Mitengo,positive
909,"The bartenders uye vatungamiriri chaizvoizvo akanaka uye decor chaizvo comfy uye akaisa-shure, zvose panguva kuva trendy.",Vatungamiri,positive
913,"The bartenders uye vatungamiriri chaizvoizvo akanaka uye decor chaizvo comfy uye akaisa-shure, zvose panguva kuva trendy.",vatengesi vemabhawa,positive
917,"The bartenders uye vatungamiriri chaizvoizvo akanaka uye decor chaizvo comfy uye akaisa-shure, zvose panguva kuva trendy.",decor,positive
921,"Ndinoda zvinwiwa, esp lychee martini, uye zvokudya zvakare VERY zvakanaka.",zvinwiwa,positive
925,"Ndinoda zvinwiwa, esp lychee martini, uye zvokudya zvakare VERY zvakanaka.",Lychee Martini,positive
929,"Ndinoda zvinwiwa, esp lychee martini, uye zvokudya zvakare VERY zvakanaka.",zvokudya,positive
933,Iyo sushi inonzwisisika mutengo uye itsva.,mutengo,positive
937,Iyo sushi inonzwisisika mutengo uye itsva.,sushi,positive
941,Zvakanaka nokukurumidza sushi masikati.,sushi lunch,positive
944,"Kwete chete vane yakanakisisa escargot muguta,vanogara vachiedza kugara toddler yedu.",Escargot,positive
947,Appetizer yakaisvonaka pano; Iwe unogona kugadzira chikafu chikuru (uye chisingadhuri) kubva kwavari.,Appetizer,positive
951,Appetizer yakaisvonaka pano; Iwe unogona kugadzira chikafu chikuru (uye chisingadhuri) kubva kwavari.,kudya,positive
955,The zvinonhuwira mussels chinhu chinokosha.,Vaporwave mussels,positive
958,Iva ne mojito uye gara mu patio yemashure.,back patio,positive
960,Iva ne mojito uye gara mu patio yemashure.,mojito,positive
962,"Nepo chikafu chavo chekicheni chinonaka, Sushi yavo iri kunze kwenyika ino.",chikafu chekicheni,positive
966,"Nepo chikafu chavo chekicheni chinonaka, Sushi yavo iri kunze kwenyika ino.",Sushi,positive
970,Nzvimbo iyi ine strangest menyu uye maresitorendi anoedza zvakanyanya zvakaoma kuita fancy chikafu.,menyu,negative
974,Nzvimbo iyi ine strangest menyu uye maresitorendi anoedza zvakanyanya zvakaoma kuita fancy chikafu.,zvokudya,negative
978,Pose pandinoenda ikoko handigoni kusarudza chero chinhu chekudya uye kwete nekuti menyu yakazadzwa nezvinhu zvikuru zvekudya.,menyu,negative
980,Ndinogara ndichizviwana ndichikumbira weti kuti aite chimwe chinhu chisina kunaka uye chakasiyana nezviri pamenyu.,weti,neutral
982,Ndinogara ndichizviwana ndichikumbira weti kuti aite chimwe chinhu chisina kunaka uye chakasiyana nezviri pamenyu.,menyu,neutral
984,"Kunyange zvazvo resitorendi pachayo yakanaka, ndinosarudza kusaenda kune zvokudya.",zvokudya,negative
986,Iyi nzvimbo duku inoshamisa inodziya kugamuchira.,nzvimbo,positive
989,Iyo inogamuchira (muridzi) uye servers ndeye personable uye ine hanya.,Host (Muridzi),positive
991,Iyo inogamuchira (muridzi) uye servers ndeye personable uye ine hanya.,servers,positive
994,"Uye chikafu, zvakanaka chikafu chichaita kuti urambe uchidzoka.",zvokudya,positive
996,"Uye chikafu, zvakanaka chikafu chichaita kuti urambe uchidzoka.",zvokudya,positive
998,Vane pastas dzakagadzirwa kumba dzemarudzi ose -- ndinokurudzira gnocchi -- yum!,Homemade pastas,positive
1000,Vane pastas dzakagadzirwa kumba dzemarudzi ose -- ndinokurudzira gnocchi -- yum!,gnocchi,positive
1003,"Uyewo, chick peas ine shrimp (appetizer) ndeyeumwari.",chick peas ne shrimp (appetizer),positive
1005,Mojitos uye basa ndiro chikamu chakanakisisa imomo,mojitos,positive
1008,Mojitos uye basa ndiro chikamu chakanakisisa imomo,basa,positive
1011,Basa rakanga rakanaka uye ndizvo zvakaitawo mhepo.,Basa,positive
1014,Basa rakanga rakanaka uye ndizvo zvakaitawo mhepo.,mhepo,positive
1017,MY date and I both ordered the Branzini and both felt the fish was very average.,hove,negative
1020,MY date and I both ordered the Branzini and both felt the fish was very average.,Branzini,neutral
1023,Zvokudya zvakanga zvakanaka zvachose. ,zvokudya,positive
1026,The Caesarer saladi yakanga yakakura.,caeser saladi,positive
1029,Calamari yakagochwa yakanga yatova nani!,yakagochwa calamari,positive
1032,NDAKAODZWA MWOYO ZVIKURU NEZVOKUDYA.,ZVOKUDYA,negative
1035,"THE BANANA PUDDING VANOSHUMIRA HAANA KUMBOBVIRA AONA CHIOVHENI,THE CRABCAKES VARI NZIRA PAMUSORO MUNYU UYE REGAI INI KUTANGA PAMUSORO CHAIZVO MAFUTA MAC UYE CHIZI.",MAC UYE CHEESE,negative
1039,"THE BANANA PUDDING VANOSHUMIRA HAANA KUMBOBVIRA AONA CHIOVHENI,THE CRABCAKES VARI NZIRA PAMUSORO MUNYU UYE REGAI INI KUTANGA PAMUSORO CHAIZVO MAFUTA MAC UYE CHIZI.",CRABCAKES,negative
1043,"THE BANANA PUDDING VANOSHUMIRA HAANA KUMBOBVIRA AONA CHIOVHENI,THE CRABCAKES VARI NZIRA PAMUSORO MUNYU UYE REGAI INI KUTANGA PAMUSORO CHAIZVO MAFUTA MAC UYE CHIZI.",BANANA PUDDING,negative
1045,Sushi yakatsva zvokuti inovhuvhuta mumuromo mako.,Sushi,positive
1048,Asi iva nechokwadi chokuti une nzvimbo yakakwana pachikwereti chako sezvo bhiri richasiya dent guru muhomwe yako.,bhiri,negative
1051,Zvokudya zvakanga zviri mediocre kuva nomutsa - mukati muduku uye avhareji - varidzi vari tag-chikwata zvisingafadzi - saka zvisina kufanira uye snotty ini chaizvoizvo kurega mwoyo guffaw apo kudya.,mukati,negative
1055,Zvokudya zvakanga zviri mediocre kuva nomutsa - mukati muduku uye avhareji - varidzi vari tag-chikwata zvisingafadzi - saka zvisina kufanira uye snotty ini chaizvoizvo kurega mwoyo guffaw apo kudya.,kudya,neutral
1057,Zvokudya zvakanga zviri mediocre kuva nomutsa - mukati muduku uye avhareji - varidzi vari tag-chikwata zvisingafadzi - saka zvisina kufanira uye snotty ini chaizvoizvo kurega mwoyo guffaw apo kudya.,varidzi,negative
1061,Zvokudya zvakanga zviri mediocre kuva nomutsa - mukati muduku uye avhareji - varidzi vari tag-chikwata zvisingafadzi - saka zvisina kufanira uye snotty ini chaizvoizvo kurega mwoyo guffaw apo kudya.,zvokudya,negative
1065,Zvokudya zvaidhura zvikuru pane zvaunowana.,Kudya,negative
1068,Iyo $ 72 Delmonico steak yaifanira kudzoserwa nekuti haina kubikwa kuraira.,Delmonico steak,negative
1071,The Management akanga zvishoma kupfuura accomodating.,Management,negative
1074,Isu takagara tichiwana basa rinoshamisa uye tinoda chikafu.,basa,positive
1078,Isu takagara tichiwana basa rinoshamisa uye tinoda chikafu.,zvokudya,positive
1082,Ndave nezvokudya zviri nani zvechiJapan pane imwe nzvimbo yezvokudya ye mall.,Chikafu cheJapan,negative
1085,Kutanga kufamba munzvimbo yacho kwairatidzika kuva kune ambience huru.,ambience,positive
1088,Kutanga kufamba munzvimbo yacho kwairatidzika kuva kune ambience huru.,nzvimbo,positive
1090,Asi zvokudya zvacho zvaityisa.,zvokudya,negative
1093,Ndakaraira Chicken Teriyaki uye murume wangu akawana Garlic Shrimp.,Garlic Shrimp,neutral
1095,Ndakaraira Chicken Teriyaki uye murume wangu akawana Garlic Shrimp.,Chicken Teriyaki,neutral
1097,Huku yangu yakanga yaoma zvachose uye padivi rinotonhora uye muto wacho wakanga usina kunaka zvikuru.,muto,negative
1101,Huku yangu yakanga yaoma zvachose uye padivi rinotonhora uye muto wacho wakanga usina kunaka zvikuru.,huku,negative
1105,"Chinhu chimwe chakanaka chandinogona kutaura ndechekuti basa racho rakakurumidza, takagara pakarepo uye server yakanga ine ushamwari chaizvo.",basa,positive
1109,"Chinhu chimwe chakanaka chandinogona kutaura ndechekuti basa racho rakakurumidza, takagara pakarepo uye server yakanga ine ushamwari chaizvo.",Server,positive
1113,Mari yakawanda kwazvo yekudya kwakadaro kunotyisa.,kudya,negative
1116,Aiva nechiitiko chikuru paTrio ... vashandi vaifadza; chikafu chakanga chichinaka uye chikuru muchikamu chikuru - ndingadai ndichikurudzira zvikuru portobello / gorgonzola / sausage appetizer uye lobster risotto.,lobster risotto,positive
1120,Aiva nechiitiko chikuru paTrio ... vashandi vaifadza; chikafu chakanga chichinaka uye chikuru muchikamu chikuru - ndingadai ndichikurudzira zvikuru portobello / gorgonzola / sausage appetizer uye lobster risotto.,zvokudya,positive
1124,Aiva nechiitiko chikuru paTrio ... vashandi vaifadza; chikafu chakanga chichinaka uye chikuru muchikamu chikuru - ndingadai ndichikurudzira zvikuru portobello / gorgonzola / sausage appetizer uye lobster risotto.,Portobello/Gorgonzola/sadza appetizer,positive
1128,Aiva nechiitiko chikuru paTrio ... vashandi vaifadza; chikafu chakanga chichinaka uye chikuru muchikamu chikuru - ndingadai ndichikurudzira zvikuru portobello / gorgonzola / sausage appetizer uye lobster risotto.,vashandi,positive
1132,Aiva nechiitiko chikuru paTrio ... vashandi vaifadza; chikafu chakanga chichinaka uye chikuru muchikamu chikuru - ndingadai ndichikurudzira zvikuru portobello / gorgonzola / sausage appetizer uye lobster risotto.,chikamu saizi,positive
1136,Basa racho rakanga richinyatsoteerera uye rine rupo zvikuru.,basa,positive
1139,"Taiva nematani ezvokudya zvikuru, waini, uye zvokudya.",waini,positive
1142,"Taiva nematani ezvokudya zvikuru, waini, uye zvokudya.",desserts,positive
1145,"Taiva nematani ezvokudya zvikuru, waini, uye zvokudya.",zvokudya,positive
1148,Chaizvoizvo Lovely kudya ruzivo pakati buzzing midtown nharaunda.,Kudya ruzivo,positive
1151,"Basa racho rinogara rakakura, uye muridzi anofamba-famba kuti ave nechokwadi chokuti unonakidzwa.",muridzi,positive
1153,"Basa racho rinogara rakakura, uye muridzi anofamba-famba kuti ave nechokwadi chokuti unonakidzwa.",basa,positive
1156,Takanga takagara nokukurumidza pedyo pedyo nenzvimbo yokutamba.,kutamba pasi,neutral
1158,"Nziyo dzacho dzaifadza, asi dzakasiya nzvimbo yekurukurirano, uye mutengesi webhawa akagadzira zvinwiwa zvakaisvonaka.",zvinwiwa,positive
1162,"Nziyo dzacho dzaifadza, asi dzakasiya nzvimbo yekurukurirano, uye mutengesi webhawa akagadzira zvinwiwa zvakaisvonaka.",bartender,positive
1166,"Nziyo dzacho dzaifadza, asi dzakasiya nzvimbo yekurukurirano, uye mutengesi webhawa akagadzira zvinwiwa zvakaisvonaka.",mimhanzi,positive
1170,Chikafu chaizvoizvo hachisi chakanaka chaizvo uye basa rinotyisa.,basa,negative
1174,Chikafu chaizvoizvo hachisi chakanaka chaizvo uye basa rinotyisa.,zvokudya,negative
1178,"Ndinofara ndakaita sezvo chikafu chakanga chakanaka chaizvo uye vashandi vaiva noushamwari, vane tsika uye vanobudirira.",vashandi,positive
1182,"Ndinofara ndakaita sezvo chikafu chakanga chakanaka chaizvo uye vashandi vaiva noushamwari, vane tsika uye vanobudirira.",zvokudya,positive
1186,HANDINA KUMBOBVIRA NDADYA ZVAKAIPA(KANA BASA RAKAIPA )@ PIGALLE.,BASA,positive
1188,HANDINA KUMBOBVIRA NDADYA ZVAKAIPA(KANA BASA RAKAIPA )@ PIGALLE.,KUDYA,positive
1190,Izvi zvakaita kuti zvive pachena kuti zvokudya hazvina kubikwa zvitsva; Zviri pachena kuti yakagadzirwa pamberi peruoko uye ipapo yakadziyirwazve.,zvokudya,negative
1193,"Munguva yakabatikana HRS, ndinokurudzira kuti iwe uite reserve.",kuchengetedza,neutral
1196,asi mac cheese yavo yaiva YUMMY!,Mac cheese,positive
1199,Menyu yavo ye brunch yaiva nechimwe chinhu chemunhu wese.,brunch menyu,positive
1201,Muimbi weJazz aiva nezwi rakanaka + akaita kuti isu tose tisimuke kutamba kuti tizununguse mimwe mhuru kuti tidye zvimwe.,Jazz muimbi,positive
1204,Kana yako kutsvaka zvinonyangadza yakakwirira mutengo zvokudya ane chidimbu ghetto nzvimbo cheap BX A $ $ iyi ndiyo nzvimbo kuva!!,nzvimbo,negative
1206,Kana yako kutsvaka zvinonyangadza yakakwirira mutengo zvokudya ane chidimbu ghetto nzvimbo cheap BX A $ $ iyi ndiyo nzvimbo kuva!!,zvokudya,negative
1210,Kana yako kutsvaka zvinonyangadza yakakwirira mutengo zvokudya ane chidimbu ghetto nzvimbo cheap BX A $ $ iyi ndiyo nzvimbo kuva!!,mutengo,negative
1214,Basa iri rinokurumidza ushamwari.,basa,positive
1217,Takasvika pamusoro resitorendi iyi netsaona apo panguva DUMBO unyanzvi mutambo uye zvakakwana kunakidzwa zvokudya zvedu.,kudya,positive
