,run,aspect,polarities
613,"Uburozi, ubwoko bwose bwo mu buseruko bwo hagati burakwira, isabuni na falafel, isupu, amafi, umuceri, imboga, imboga z'umuceri, ikintu c'umuceri, ikintu ca spinach, kebabs z'intama, baclava. So cute, and cose di cose.",Veggies Fresh None None,positive
614,"Uburozi, ubwoko bwose bwo mu buseruko bwo hagati burakwira, isabuni na falafel, isupu, amafi, umuceri, imboga, imboga z'umuceri, ikintu c'umuceri, ikintu ca spinach, kebabs z'intama, baclava. So cute, and cose di cose.",fise,positive
617,"Uburozi, ubwoko bwose bwo mu buseruko bwo hagati burakwira, isabuni na falafel, isupu, amafi, umuceri, imboga, imboga z'umuceri, ikintu c'umuceri, ikintu ca spinach, kebabs z'intama, baclava. So cute, and cose di cose.",Ewa Ewa,positive
620,"Uburozi, ubwoko bwose bwo mu buseruko bwo hagati burakwira, isabuni na falafel, isupu, amafi, umuceri, imboga, imboga z'umuceri, ikintu c'umuceri, ikintu ca spinach, kebabs z'intama, baclava. So cute, and cose di cose.",Imbuto z'ibimera,positive
625,"Uburozi, ubwoko bwose bwo mu buseruko bwo hagati burakwira, isabuni na falafel, isupu, amafi, umuceri, imboga, imboga z'umuceri, ikintu c'umuceri, ikintu ca spinach, kebabs z'intama, baclava. So cute, and cose di cose.",Rice Medley None None,positive
628,"Uburozi, ubwoko bwose bwo mu buseruko bwo hagati burakwira, isabuni na falafel, isupu, amafi, umuceri, imboga, imboga z'umuceri, ikintu c'umuceri, ikintu ca spinach, kebabs z'intama, baclava. So cute, and cose di cose.",Shoba Thingi,positive
631,"Uburozi, ubwoko bwose bwo mu buseruko bwo hagati burakwira, isabuni na falafel, isupu, amafi, umuceri, imboga, imboga z'umuceri, ikintu c'umuceri, ikintu ca spinach, kebabs z'intama, baclava. So cute, and cose di cose.",Eshika Eshika,positive
634,"Uburozi, ubwoko bwose bwo mu buseruko bwo hagati burakwira, isabuni na falafel, isupu, amafi, umuceri, imboga, imboga z'umuceri, ikintu c'umuceri, ikintu ca spinach, kebabs z'intama, baclava. So cute, and cose di cose.",Uburasirazuba bwo hagati bwakwiragiye,positive
637,"Uburozi, ubwoko bwose bwo mu buseruko bwo hagati burakwira, isabuni na falafel, isupu, amafi, umuceri, imboga, imboga z'umuceri, ikintu c'umuceri, ikintu ca spinach, kebabs z'intama, baclava. So cute, and cose di cose.",kebabs kebabs none none,positive
640,"Uburozi, ubwoko bwose bwo mu buseruko bwo hagati burakwira, isabuni na falafel, isupu, amafi, umuceri, imboga, imboga z'umuceri, ikintu c'umuceri, ikintu ca spinach, kebabs z'intama, baclava. So cute, and cose di cose.",soho soho,positive
643,"Uburozi, ubwoko bwose bwo mu buseruko bwo hagati burakwira, isabuni na falafel, isupu, amafi, umuceri, imboga, imboga z'umuceri, ikintu c'umuceri, ikintu ca spinach, kebabs z'intama, baclava. So cute, and cose di cose.",cheese bavyera,positive
646,"Uburozi, ubwoko bwose bwo mu buseruko bwo hagati burakwira, isabuni na falafel, isupu, amafi, umuceri, imboga, imboga z'umuceri, ikintu c'umuceri, ikintu ca spinach, kebabs z'intama, baclava. So cute, and cose di cose.",Rice None,positive
649,"10 canke 20, ni nde vy'ukuri atahura?",Ahumada,negative
652,Previous articleIndya z'indobanure zanje zifise intumbero y'ugufungura nabi cane (mu gihe c'indya z'inyabu).,Ahumada,negative
656,Previous articleIndya z'indobanure zanje zifise intumbero y'ugufungura nabi cane (mu gihe c'indya z'inyabu).,Ndya Ndya,neutral
658,Previous articleIndya z'indobanure zanje zifise intumbero y'ugufungura nabi cane (mu gihe c'indya z'inyabu).,Nutrizione,negative
662,Turindire kandi ikiringo c'amasaha atatu imbere y'uko tuja mu bunywero.,Ashika Ashika,neutral
664,Turindire kandi ikiringo c'amasaha atatu imbere y'uko tuja mu bunywero.,Arinze Arinze,negative
666,"Ivyo kurya ni vyiza kandi ni vyiza, ariko izina ryawe rihambaye kuruta ayandi yose muri Manhattan ni jewe.",Nutrizione,positive
669,"Ntimuze mwiyubare, ariko mwiyubare mwiyubara.",Delila None,negative
672,"Mu vy'ukuri, ibifungurwa biracari vyiza, kandi igikorwa kiranyaruka kandi kiguma cihuta, naho nyene kiba ari akazi kenshi.",Ahumada,positive
676,"Mu vy'ukuri, ibifungurwa biracari vyiza, kandi igikorwa kiranyaruka kandi kiguma cihuta, naho nyene kiba ari akazi kenshi.",Nutrizione,positive
680,"Ni vyiza cane, nta kurindira, kandi uronka amahera menshi.",Ahumada,positive
684,"Ni vyiza cane, nta kurindira, kandi uronka amahera menshi.",Rindira,positive
688,"Ni vyiza cane, nta kurindira, kandi uronka amahera menshi.",Ikiciro:: Ikiciro,positive
690,"Abo ba dd barakundana cane, n'umuhezagi w'iyi si nta co bivamwo.",Ivye Pasta,positive
694,"Abo ba dd barakundana cane, n'umuhezagi w'iyi si nta co bivamwo.",Barovyi waiters,positive
698,Ni ikintu gihimbaye cuzuyemwo ibifungurwa biryoshe be n'ibifungurwa biryoshe.,Nutrizione,positive
702,Ni ikintu gihimbaye cuzuyemwo ibifungurwa biryoshe be n'ibifungurwa biryoshe.,Bar None,positive
706,Ni ahantu heza ho kujana n'abagenzi.,Icaro,positive
709,Ndakunda cane imbogo z'imbogo z'imbombo z'imboko z'imboko.,sasho ni kakete yuku yo,positive
712,"Ku musho ni, kako ni imashita.",Ahumada Ahumada,neutral
715,"Ku musho ni, kako ni imashita.",calamari,positive
718,"Imigabane, serivisi nziza kandi ihambaye kandi ishimishije.",Amasra Amasra,positive
722,"Imigabane, serivisi nziza kandi ihambaye kandi ishimishije.",Ahumada,positive
726,"Imigabane, serivisi nziza kandi ihambaye kandi ishimishije.",Ibiciro,positive
730,"13)) Tuje mu kirere, ariko iyo nyota iguma igwa hasi.",Ikirere,positive
733,Umushozi wacu yari akeye; So rude and dised none,Musubiri Waiter,negative
736,2000 - Sashika Shika - Shika,Srashika,negative
739,"Tunturi - Tunturi, Duto.",menu none,negative
742,Nutriwise - None Worth,Ikiciro:: Ikiciro,negative
745,Nutriwise - None Worth,Nutrizione,negative
748,"N'iyo umusuku atari mu nzu, ibifungurwa n'ibifungurwa birashika.",Ahumada,positive
751,"N'iyo umusuku atari mu nzu, ibifungurwa n'ibifungurwa birashika.",Nutrizione,positive
754,"N'iyo umusuku atari mu nzu, ibifungurwa n'ibifungurwa birashika.",bosho boho,neutral
756,"Kubera ko ndiko ndateka indya, ndaribwa cane n'ivyo mfungura mu ma resitora.",Nutrizione,neutral
759,Waldy YamaHo Yama,bosho boho,positive
761,Coba aja di coba tsajanya... 10.000 000 000 000 000 000 000 000 000 00 00 00 00 00 00 00 00 00 00,Lambya Chops None None,positive
764,Coba aja di coba tsajanya... 10.000 000 000 000 000 000 000 000 000 00 00 00 00 00 00 00 00 00 00,candy cane gratin,positive
767,Coba aja di coba tsajanya... 10.000 000 000 000 000 000 000 000 000 00 00 00 00 00 00 00 00 00 00,sagara to kurihara,positive
770,Coba aja di coba tsajanya... 10.000 000 000 000 000 000 000 000 000 00 00 00 00 00 00 00 00 00 00,Rabbit none,positive
773,Coba aja di coba tsajanya... 10.000 000 000 000 000 000 000 000 000 00 00 00 00 00 00 00 00 00 00,Velavya Chops,positive
776,Nta n'umwe muri mwebwe azokwemezwa n'ingingo zose ziri muri urwo ruhongore.,menu none,positive
779,"Vyongeye, umunega n'umunega baratuma wumva umerewe neza.",Muguruza owner,positive
781,"Vyongeye, umunega n'umunega baratuma wumva umerewe neza.",umukozi,positive
783,Saba imfuruka y'imfuruka iruhande y'idirisha rinini.,Imfuruka y'idirisha iruhande rw'idirisha rinini,positive
785,Ni nde yavuze ko iyo mvura igwa mu gacerere ku murango?,Icaro,neutral
787,"Si vyinshi cane, ariko bihagije kugira ngo hako hajamwo agasozo gakomeye.",Shoba Scene,positive
790,"Ivyo kurya vyari biryoshe cane- Sushi vyari biryoshe, ariko ibifungurwa vy'abateka vyadutangaje cane.",nutrizione,positive
794,"Ivyo kurya vyari biryoshe cane- Sushi vyari biryoshe, ariko ibifungurwa vy'abateka vyadutangaje cane.",Sushika,positive
798,"Ivyo kurya vyari biryoshe cane- Sushi vyari biryoshe, ariko ibifungurwa vy'abateka vyadutangaje cane.",Nutrizione,positive
802,"Igihe kigeze ngo duhe umwanya, umushikirizantumbero yaratugoye cane, aca aragaruka afise urupapuro n'ikaramu kugira ngo yandike ivyo dushaka. Mumbabarire ariko si akazi kanje???",Musubiri Waiter,negative
804,"Mu nyuma, umukuru w'igihugu yatumenyesheje ko dushobora gutanga ivyo twashaka vyose, ariko ico gihe twari tumerewe nabi cane n'umuhagarikizi be n'uwudushavuriye ku buryo twaciye tuja ahandi.",Musubiri Waiter,negative
807,"Mu nyuma, umukuru w'igihugu yatumenyesheje ko dushobora gutanga ivyo twashaka vyose, ariko ico gihe twari tumerewe nabi cane n'umuhagarikizi be n'uwudushavuriye ku buryo twaciye tuja ahandi.",menu none,neutral
809,"Mu nyuma, umukuru w'igihugu yatumenyesheje ko dushobora gutanga ivyo twashaka vyose, ariko ico gihe twari tumerewe nabi cane n'umuhagarikizi be n'uwudushavuriye ku buryo twaciye tuja ahandi.",Manager None,neutral
811,Imfungurwa ni nziza kandi ni nziza cane.,Nutrizione,positive
814,"Mu gihe uwo mugera waciye utangura kuvyimba, nta n'umwe aribwa n'inkoho.",Green Chillis None None,negative
818,"Mu gihe uwo mugera waciye utangura kuvyimba, nta n'umwe aribwa n'inkoho.",Divya Disha,negative
822,"Nagumye ndumviriza umukuru w'igihugu, nca nca nja ku ntwaro, ariko uburuhe bw'abo banyeshure buguma bugurura.",Manager None,negative
825,"Nagumye ndumviriza umukuru w'igihugu, nca nca nja ku ntwaro, ariko uburuhe bw'abo banyeshure buguma bugurura.",Musubiri Waiter,negative
828,Narababazwa cane n'ivyo bafungura n'ivyo bafungura.,Ahumada,negative
831,Narababazwa cane n'ivyo bafungura n'ivyo bafungura.,Nutrizione,negative
834,"Natanguye ku wa gatandatu, nca ndafungura neza, nca nja mu kabati k'agasozo k'agasya k'indya z'ibifungurwa.",Sashika Navya Sa,positive
836,"Natanguye ku wa gatandatu, nca ndafungura neza, nca nja mu kabati k'agasozo k'agasya k'indya z'ibifungurwa.",kuriya,positive
839,"Jewe n'umutumire twaciye dushika ku bice 80 kw'ijana, kandi twese twarahatswe.",menu none,positive
841,Eko no egai wa koko ni imasen ka.,Deco None,positive
844,Eko no egai wa koko ni imasen ka.,Ambiance None,positive
847,"Nariye mu bibanza bitatu vyose kandi nama nkunda, nkunda imfungurwa, serivisi yama ari nziza kandi ibiciro ni vyiza cane.",Ibiciro,positive
851,"Nariye mu bibanza bitatu vyose kandi nama nkunda, nkunda imfungurwa, serivisi yama ari nziza kandi ibiciro ni vyiza cane.",Ahumada,positive
855,"Nariye mu bibanza bitatu vyose kandi nama nkunda, nkunda imfungurwa, serivisi yama ari nziza kandi ibiciro ni vyiza cane.",Nutrizione,positive
859,"Niwaba ushaka kurya neza, indya z'ikilatini zirya inyama z'ibishobisho, kandi ntushobora kujayo.",Latino Nutrizione,positive
862,"Uwo musuku yari ahimbawe, uwo musuku yari ahimbawe, umukate uhimbawe, ibifungurwa (kuva ku bifungurwa gushika ku bifungurwa) vyari biryoshe cane.",Ikebukuro Garden,positive
866,"Uwo musuku yari ahimbawe, uwo musuku yari ahimbawe, umukate uhimbawe, ibifungurwa (kuva ku bifungurwa gushika ku bifungurwa) vyari biryoshe cane.",Ahumada,positive
870,"Uwo musuku yari ahimbawe, uwo musuku yari ahimbawe, umukate uhimbawe, ibifungurwa (kuva ku bifungurwa gushika ku bifungurwa) vyari biryoshe cane.",Ahumada Ahumada,positive
874,"Uwo musuku yari ahimbawe, uwo musuku yari ahimbawe, umukate uhimbawe, ibifungurwa (kuva ku bifungurwa gushika ku bifungurwa) vyari biryoshe cane.",Ashika Ashika,positive
878,"Uwo musuku yari ahimbawe, uwo musuku yari ahimbawe, umukate uhimbawe, ibifungurwa (kuva ku bifungurwa gushika ku bifungurwa) vyari biryoshe cane.",Nutrizione,positive
882,"Haha, inkoko ni nziza cane.",Intake Intake,positive
885,"10.2016 Ing.10,2016 ing.10.2016 ing.11 2016 ing.",shasha salsa,neutral
887,"10.2016 Ing.10,2016 ing.10.2016 ing.11 2016 ing.",Flavor None None,negative
890,"Iyo nyenzi twagerageje nta n'iy'umushotsi yari iryoshe cane, n'iy'iy'umuswi w'ijunja yari iryoshe cane.",Fashika,negative
894,"Iyo nyenzi twagerageje nta n'iy'umushotsi yari iryoshe cane, n'iy'iy'umuswi w'ijunja yari iryoshe cane.",Shoba Shoba,negative
898,"Gumana n'inkoko zigushotse, kandi uzoheza uce ukira neza.",Inkoko zisweye,positive
900,"""Kuririmba ni ikintu ciza ntari bwigere nkora mu buzima bwanje.",Ahumada,positive
903,"Hahahahahahahaha, the amazing.",Nsubuga Alfredo,positive
906,"Mu ndwi iheze, ibiciro vy'ibifungurwa vyari biryoshe cane.",Ibiciro,positive
909,"Abarongozi n'abarongozi ni beza cane, kandi uwo muhinyaguzi ni mwiza cane kandi arakomeye, mu gihe cose aba ari umucanwa.",Abarongozi,positive
913,"Abarongozi n'abarongozi ni beza cane, kandi uwo muhinyaguzi ni mwiza cane kandi arakomeye, mu gihe cose aba ari umucanwa.",Baritons Baritons,positive
917,"Abarongozi n'abarongozi ni beza cane, kandi uwo muhinyaguzi ni mwiza cane kandi arakomeye, mu gihe cose aba ari umucanwa.",Eshika Eshika,positive
921,"Nkunda ibinyobwa, espechee martini, kandi ivyo gufungura ni vyiza cane.",vyara to ega,positive
925,"Nkunda ibinyobwa, espechee martini, kandi ivyo gufungura ni vyiza cane.",Lychee Martine None None,positive
929,"Nkunda ibinyobwa, espechee martini, kandi ivyo gufungura ni vyiza cane.",Nutrizione,positive
933,Igiciro ca sushi ni ciza kandi gishasha.,Qiavya Price,positive
937,Igiciro ca sushi ni ciza kandi gishasha.,Sushika,positive
941,Ni vyiza gufungura neza indya za sushi.,Sushi Egashira,positive
944,"Si bo bonyene bafise ivyitwazo vyiza gusumba ibindi vyose mu gisagara, ahubwo bama bagerageza kuvyimbamwo.",Escribe None,positive
947,Umushaha ni mwiza cane hano; Woshobora kwihereza ibifungurwa vyinshi kandi biryoshe.,Appetizer None None,positive
951,Umushaha ni mwiza cane hano; Woshobora kwihereza ibifungurwa vyinshi kandi biryoshe.,kuriya,positive
955,Imisezi y'imisezi ni iy'ishimikira.,Spicy Mussels None None,positive
958,Umanika agati wicaye ku ntebe y'inyuma.,Ngarukiye Patio,positive
960,Umanika agati wicaye ku ntebe y'inyuma.,Mojito None,positive
962,"Naho igikoni cabo ari co kiryoshe, sushi yabo iri kure y'iyi si.",Hibiki Hibiki,positive
966,"Naho igikoni cabo ari co kiryoshe, sushi yabo iri kure y'iyi si.",Sushika,positive
970,"Ivyo bifungurwa vyumvikana cane, kandi abantu baragerageza kuvyifatamwo neza cane.",menu none,negative
974,"Ivyo bifungurwa vyumvikana cane, kandi abantu baragerageza kuvyifatamwo neza cane.",Nutrizione,negative
978,"Igihe cose njayo, sinotora ikintu na kimwe co kurya, atari kubera ko hari ibintu vyinshi vyo gufungura.",menu none,negative
980,Nahora nibaza ko uwo muntu yokora ikintu gitandukanye n'ico ari co cose kandi gitandukanye n'ico kiri ku rushi.,Musubiri Waiter,neutral
982,Nahora nibaza ko uwo muntu yokora ikintu gitandukanye n'ico ari co cose kandi gitandukanye n'ico kiri ku rushi.,menu none,neutral
984,"N'aho ivyo gufungura biryoshe, ndahitamwo kutaja mu vyo gufungura.",Nutrizione,negative
986,Aha hantu ni ho abantu benshi bahaye ikaze.,Icaro,positive
989,Abasuku (abasuku n'abasuku) ni abantu bitwararika abandi kandi bitwararikana.,Mugabi (Owner),positive
991,Abasuku (abasuku n'abasuku) ni abantu bitwararika abandi kandi bitwararikana.,Servers None None,positive
994,"Ivyo kurya bizotuma uronka ibifungurwa bikwiye, bizotuma ugaruka.",Nutrizione,positive
996,"Ivyo kurya bizotuma uronka ibifungurwa bikwiye, bizotuma ugaruka.",Nutrizione,positive
998,20000 000 00 2016 Hahahahahahahahahahahahahahahaha,Home Swimwear Pastas,positive
1000,20000 000 00 2016 Hahahahahahahahahahahahahahahaha,gnoki gnoki,positive
1003,"Vyongeye, umushaha w'",Haruka na koto wo hirasu (shika),positive
1005,Arashi no you ni nare yo nemu yo,Mojitos None None,positive
1008,Arashi no you ni nare yo nemu yo,Ahumada,positive
1011,"Ikirere cari gihimbaye, kandi n'ikirere cari gihimbaye.",Ahumada,positive
1014,"Ikirere cari gihimbaye, kandi n'ikirere cari gihimbaye.",Ikirere,positive
1017,"Jewe n'umucanwa wanje twaciye dutangura kuyaga n'uwo muyaga, maze twempi turumva ko iyo fi ari iy'agaciro kanini.",fise,negative
1020,"Jewe n'umucanwa wanje twaciye dutangura kuyaga n'uwo muyaga, maze twempi turumva ko iyo fi ari iy'agaciro kanini.",Branzini Branzini,neutral
1023,"Muri rusangi, imfungurwa zari nziza cane. ",Nutrizione,positive
1026,Salade ya caser yari nini cane.,Caser Salad None None,positive
1029,N'uwo mu gikona ca Bujumbura yari arushirije kuba mwiza!,Frieda Calamari,positive
1032,NARABABAZWA CANE NO GUFUNGURA.,NUTRIZIONE,negative
1035,10.000 000 00 00 0 0 0 0 0 20 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 20 20 20 20 20 20 20 201 ING.2016 2016 201 20 20,MAC & CHEESE NONE NONE,negative
1039,10.000 000 00 00 0 0 0 0 0 20 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 20 20 20 20 20 20 20 201 ING.2016 2016 201 20 20,CrabCAKEs None,negative
1043,10.000 000 00 00 0 0 0 0 0 20 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 20 20 20 20 20 20 20 201 ING.2016 2016 201 20 20,BANANA PUDDING,negative
1045,Sushi no yome ni nare yo shika nare yo.,Sushika,positive
1048,Ariko murabe neza ko mufise ikibanza gikwiye mufise mw'ikarata ya banki kuko integuro y'ibwirizwa shingiro izoba iri mu kibanza cayo kinini.,Billie None,negative
1051,"Ivyo kurya vyari biryoshe cane- imbere mu nzu ni bito kandi ni bike- ba sokuru ni bo bavyibushe cane, kandi nta co na rimwe mpereyeko mu gihe c'indya.",Intrare,negative
1055,"Ivyo kurya vyari biryoshe cane- imbere mu nzu ni bito kandi ni bike- ba sokuru ni bo bavyibushe cane, kandi nta co na rimwe mpereyeko mu gihe c'indya.",Nutrizine,neutral
1057,"Ivyo kurya vyari biryoshe cane- imbere mu nzu ni bito kandi ni bike- ba sokuru ni bo bavyibushe cane, kandi nta co na rimwe mpereyeko mu gihe c'indya.",bamako,negative
1061,"Ivyo kurya vyari biryoshe cane- imbere mu nzu ni bito kandi ni bike- ba sokuru ni bo bavyibushe cane, kandi nta co na rimwe mpereyeko mu gihe c'indya.",Nutrizione,negative
1065,Imfungurwa z'agaciro kanini ku vyo waronse.,Ndya Ndya,negative
1068,Amafaranga 72 y'amarundi y'amarundi niyo yategerezwa kurungikwa kubera ko itazokwirigwa.,Delmonico Steak None None,negative
1071,Uburongozi bw'igihugu bwari buke cane.,Management - None,negative
1074,"Twama dufise ibikorwa vy'agatangaza, kandi turakunda cane ibifungurwa.",Ahumada,positive
1078,"Twama dufise ibikorwa vy'agatangaza, kandi turakunda cane ibifungurwa.",Nutrizione,positive
1082,Nararonse ibifungurwa vyiza kuruta mu kigo c'imfungurwa co mu Buyapani.,Japhet Nutrizione,negative
1085,"Ubwa mbere, umenga umengo nta co umaze.",Akintunda Ambis,positive
1088,"Ubwa mbere, umenga umengo nta co umaze.",Icaro,positive
1090,"Ariko rero, gufungura vyari biteye ubwoba.",Ndya Ndya,negative
1093,Narasu narasu.,Shrimp Shrimp None,neutral
1095,Narasu narasu.,Chicken Teriyaki,neutral
1097,"Inkoko yanje yari yakamye burundu, ku ruhande rw'imbeho, n'ishushe ntiyari iryoshe cane.",Shoba Shoba,negative
1101,"Inkoko yanje yari yakamye burundu, ku ruhande rw'imbeho, n'ishushe ntiyari iryoshe cane.",Intake Intake,negative
1105,"Ico novuga n'uko uwo mushingantahe yari yatevye, aca atujana, na we nyene aca atujana.",Ahumada,positive
1109,"Ico novuga n'uko uwo mushingantahe yari yatevye, aca atujana, na we nyene aca atujana.",Server None None,positive
1113,"Muri ubwo buryo nyene, hari amahera menshi yotuma umuntu afungura ibifungurwa biteye ubwoba.",kuriya,negative
1116,Ciye ciye 3... 1)) Umukozi wa Leta yari ahimbawe; Indya zari zifise ubunini n'ubunini bw'ibifungurwa - na cane indya zo mu bwoko bwa Portobello/gorgonzola/ sausage appetizer na lobster risotto.,Lobster Risotto None None,positive
1120,Ciye ciye 3... 1)) Umukozi wa Leta yari ahimbawe; Indya zari zifise ubunini n'ubunini bw'ibifungurwa - na cane indya zo mu bwoko bwa Portobello/gorgonzola/ sausage appetizer na lobster risotto.,Nutrizione,positive
1124,Ciye ciye 3... 1)) Umukozi wa Leta yari ahimbawe; Indya zari zifise ubunini n'ubunini bw'ibifungurwa - na cane indya zo mu bwoko bwa Portobello/gorgonzola/ sausage appetizer na lobster risotto.,Portobello / gorgonzola / sausage appetizer,positive
1128,Ciye ciye 3... 1)) Umukozi wa Leta yari ahimbawe; Indya zari zifise ubunini n'ubunini bw'ibifungurwa - na cane indya zo mu bwoko bwa Portobello/gorgonzola/ sausage appetizer na lobster risotto.,umukozi,positive
1132,Ciye ciye 3... 1)) Umukozi wa Leta yari ahimbawe; Indya zari zifise ubunini n'ubunini bw'ibifungurwa - na cane indya zo mu bwoko bwa Portobello/gorgonzola/ sausage appetizer na lobster risotto.,Size Swimwear,positive
1136,Uwo musuku yari umuntu ahimbawe cane kandi atanga cane.,Ahumada,positive
1139,"Twari dufise amatoni y'ibifungurwa, imfungurwa n'imfungurwa ziryoshe.",Divya Vinka,positive
1142,"Twari dufise amatoni y'ibifungurwa, imfungurwa n'imfungurwa ziryoshe.",Desserts Swimwear,positive
1145,"Twari dufise amatoni y'ibifungurwa, imfungurwa n'imfungurwa ziryoshe.",Nutrizione,positive
1148,"Mu vy'ukuri, ibinogo vy'i Bubanza biryoshe cane mu ntara ya Cibitoke.",Nutrizine,positive
1151,"Uwo musuku yama ari mwiza, kandi nyen'urugo atambuka kugira ngo akwiriherwe.",Muguruza owner,positive
1153,"Uwo musuku yama ari mwiza, kandi nyen'urugo atambuka kugira ngo akwiriherwe.",Ahumada,positive
1156,Twaciye twicara iruhande y'icumba c'imvyino.,Icaro Danse,neutral
1158,"Iyo ndirimbo yari iryoshe cane, ariko isigara icumba co kuganira, maze uwo muhinyaguzi aca anywa inzoga nyinshi cane.",vyara to ega,positive
1162,"Iyo ndirimbo yari iryoshe cane, ariko isigara icumba co kuganira, maze uwo muhinyaguzi aca anywa inzoga nyinshi cane.",Bar none,positive
1166,"Iyo ndirimbo yari iryoshe cane, ariko isigara icumba co kuganira, maze uwo muhinyaguzi aca anywa inzoga nyinshi cane.",umuzika,positive
1170,"Mu vy'ukuri, ibifungurwa si bibi cane, kandi ivyo gufungura ni bibi cane.",Ahumada,negative
1174,"Mu vy'ukuri, ibifungurwa si bibi cane, kandi ivyo gufungura ni bibi cane.",Nutrizione,negative
1178,"Ndahimbawe no kuba narabikoze kubera ko umukate wari mwiza cane kandi w'umunyamwete, w'umunyamwete kandi w'umunyamwete.",umukozi,positive
1182,"Ndahimbawe no kuba narabikoze kubera ko umukate wari mwiza cane kandi w'umunyamwete, w'umunyamwete kandi w'umunyamwete.",Nutrizione,positive
1186,EMI HARUKAZE (1) DIJO:,SERIVISI,positive
1188,EMI HARUKAZE (1) DIJO:,KURIYA,positive
1190,"Ivyo rero ngo vyarerekanye neza ko imfungurwa zo mu gikoni zidakwiye gufungurwa; Biboneka ko yari yashizwe imbere y'ikiganza, mu nyuma akazuka.",Nutrizione,negative
1193,"Mu gihe c'akazi, ndakugira inama yo kukugira inama yo kwisutura.",Ivye Reservation,neutral
1196,ayo cari yuk yuk!,cake cake,positive
1199,Ivomo rya brune ryagize ico rigenewe abantu bose.,boho menu,positive
1201,"Uwo muririmvyikazi yari afise ijwi ryiza+, aradutuma twese duhinyanyurira kugira dusangire n'abandi.",Jazz Kwinana,positive
1204,Niba ugurisha 10000frw ugura 1000000000000000000000000000000000000000000000000000000000000000000000000000000,Imagene Scene,negative
1206,Niba ugurisha 10000frw ugura 1000000000000000000000000000000000000000000000000000000000000000000000000000000,Nutrizione,negative
1210,Niba ugurisha 10000frw ugura 1000000000000000000000000000000000000000000000000000000000000000000000000000000,Qiavya Price,negative
1214,Serivisi ni ubuntu vuba.,Ahumada,positive
1217,"Twaciye tuja ku mugoroba w'umusi mukuru w'ibirori vy'i bunywero, kandi twararyoherwa cane n'ivyo gufungura.",kuriya,positive
1220,"Ivyo bifungurwa vyari biryoshe cane, ivyokurya vy'ukuri ntivyari vy'ukuri.",Aysariya cuisine,positive
1224,"Ivyo bifungurwa vyari biryoshe cane, ivyokurya vy'ukuri ntivyari vy'ukuri.",Nutrizione,positive
1228,Ico gikorwa cari kidasanzwe.,Ahumada,positive
1231,Sinzi ico bamwe bavuga kuri iyo mbwa y'inkorano.,Hot Dog None None,negative
1233,Ico ni kimwe mu bintu bibabaza kuruta ibindi vyose nari bwigere nkora mu buzima bwanje.,Eshu Shoba,negative
1236,"Uretse n'imbwa zishushe, DOTP ifise amasinema meza yo mu gitondo ashiramwo, uretse ibintu bikomeye nka tator tots na muffins z'abongereza, igiterwa c'inyama z'ingurube gifise icicaro ca NJ kitumenyesha abakobwa n'abahungu ba Jersey nka Taylor ham.",kirundi - muffins,positive
1240,"Uretse n'imbwa zishushe, DOTP ifise amasinema meza yo mu gitondo ashiramwo, uretse ibintu bikomeye nka tator tots na muffins z'abongereza, igiterwa c'inyama z'ingurube gifise icicaro ca NJ kitumenyesha abakobwa n'abahungu ba Jersey nka Taylor ham.",Taylor Ham None None,positive
1242,"Uretse n'imbwa zishushe, DOTP ifise amasinema meza yo mu gitondo ashiramwo, uretse ibintu bikomeye nka tator tots na muffins z'abongereza, igiterwa c'inyama z'ingurube gifise icicaro ca NJ kitumenyesha abakobwa n'abahungu ba Jersey nka Taylor ham.",Inyama inyama z'ingurube,positive
1246,"Uretse n'imbwa zishushe, DOTP ifise amasinema meza yo mu gitondo ashiramwo, uretse ibintu bikomeye nka tator tots na muffins z'abongereza, igiterwa c'inyama z'ingurube gifise icicaro ca NJ kitumenyesha abakobwa n'abahungu ba Jersey nka Taylor ham.",Eko,positive
1250,"Uretse n'imbwa zishushe, DOTP ifise amasinema meza yo mu gitondo ashiramwo, uretse ibintu bikomeye nka tator tots na muffins z'abongereza, igiterwa c'inyama z'ingurube gifise icicaro ca NJ kitumenyesha abakobwa n'abahungu ba Jersey nka Taylor ham.",Imbwa zishushe,positive
1254,"Uretse n'imbwa zishushe, DOTP ifise amasinema meza yo mu gitondo ashiramwo, uretse ibintu bikomeye nka tator tots na muffins z'abongereza, igiterwa c'inyama z'ingurube gifise icicaro ca NJ kitumenyesha abakobwa n'abahungu ba Jersey nka Taylor ham.",Ifunguro rya mu gitondo,positive
1258,"Ivyo bifungurwa vy'indya zo mu ruhongore (mu ndyane), harimwo n'izindi mfungurwa z'indya z'imbombo hamwe n'imfungurwa nyinshi (avocado shrimp) zari nziza cane.",Nutrizine Frica,negative
1260,"Ivyo bifungurwa vy'indya zo mu ruhongore (mu ndyane), harimwo n'izindi mfungurwa z'indya z'imbombo hamwe n'imfungurwa nyinshi (avocado shrimp) zari nziza cane.",Salad (avocado shrimp),positive
