,lug,aspect,polarities
614,"Fresh veggies, all kinds of middle east spreads, cheese and falafel, soup, fish, rice, root vegetables, a rice medley, some spinach thing, lamb kebabs, cheese baclava... so much fooood, and all of it delicious.",Ebyennyanja,positive
617,"Fresh veggies, all kinds of middle east spreads, cheese and falafel, soup, fish, rice, root vegetables, a rice medley, some spinach thing, lamb kebabs, cheese baclava... so much fooood, and all of it delicious.",kooko,positive
620,"Fresh veggies, all kinds of middle east spreads, cheese and falafel, soup, fish, rice, root vegetables, a rice medley, some spinach thing, lamb kebabs, cheese baclava... so much fooood, and all of it delicious.",enva endiirwa,positive
625,"Fresh veggies, all kinds of middle east spreads, cheese and falafel, soup, fish, rice, root vegetables, a rice medley, some spinach thing, lamb kebabs, cheese baclava... so much fooood, and all of it delicious.",Rice medley,positive
628,"Fresh veggies, all kinds of middle east spreads, cheese and falafel, soup, fish, rice, root vegetables, a rice medley, some spinach thing, lamb kebabs, cheese baclava... so much fooood, and all of it delicious.",bye bye spinach,positive
631,"Fresh veggies, all kinds of middle east spreads, cheese and falafel, soup, fish, rice, root vegetables, a rice medley, some spinach thing, lamb kebabs, cheese baclava... so much fooood, and all of it delicious.",Falafel,positive
634,"Fresh veggies, all kinds of middle east spreads, cheese and falafel, soup, fish, rice, root vegetables, a rice medley, some spinach thing, lamb kebabs, cheese baclava... so much fooood, and all of it delicious.",Eastern Ojibwa,positive
637,"Fresh veggies, all kinds of middle east spreads, cheese and falafel, soup, fish, rice, root vegetables, a rice medley, some spinach thing, lamb kebabs, cheese baclava... so much fooood, and all of it delicious.",lamb kebabs,positive
640,"Fresh veggies, all kinds of middle east spreads, cheese and falafel, soup, fish, rice, root vegetables, a rice medley, some spinach thing, lamb kebabs, cheese baclava... so much fooood, and all of it delicious.",soup,positive
643,"Fresh veggies, all kinds of middle east spreads, cheese and falafel, soup, fish, rice, root vegetables, a rice medley, some spinach thing, lamb kebabs, cheese baclava... so much fooood, and all of it delicious.",cheese baclava,positive
646,"Fresh veggies, all kinds of middle east spreads, cheese and falafel, soup, fish, rice, root vegetables, a rice medley, some spinach thing, lamb kebabs, cheese baclava... so much fooood, and all of it delicious.",Mpunga,positive
649,"Obuweereza obulwawo, naye bw'obeera n'ebibinja by'abantu 10 oba 20, ddala ani akiraba?",Kolawole,negative
652,Obuweereza obw'akabi ennyo bwe nnali sifunangako era emmere yali wansi w'omuwendo (bwe baawa abantu emmere gye baalagira).,Kolawole,negative
656,Obuweereza obw'akabi ennyo bwe nnali sifunangako era emmere yali wansi w'omuwendo (bwe baawa abantu emmere gye baalagira).,Ebyokulya,neutral
658,Obuweereza obw'akabi ennyo bwe nnali sifunangako era emmere yali wansi w'omuwendo (bwe baawa abantu emmere gye baalagira).,Emmere,negative
662,Okulinda essaawa ssatu nga tetunnaba kugenda mu biseera byaffe eby'okulya kyali kirungi.,entrees,neutral
664,Okulinda essaawa ssatu nga tetunnaba kugenda mu biseera byaffe eby'okulya kyali kirungi.,Lindirira,negative
666,The food is consistant and good but how it got name Best Diner In Manhattan is beyond me.,Emmere,positive
669,Towulira bubi nnyo wabula weegendereze delivary.,delivary,negative
672,"Mu butuufu, emmere ekyali nnungi era obuweereza buba bwa mangu ate nga tebukkirizibwa wadde ng'ebiseera ebisinga bubaamu eby'okukola bingi.",Kolawole,positive
676,"Mu butuufu, emmere ekyali nnungi era obuweereza buba bwa mangu ate nga tebukkirizibwa wadde ng'ebiseera ebisinga bubaamu eby'okukola bingi.",Emmere,positive
680,"Obuweereza bulungi nnyo, tewali kulinda, era ofuna bingi ku bbeeyi.",Weereza,positive
684,"Obuweereza bulungi nnyo, tewali kulinda, era ofuna bingi ku bbeeyi.",Linda,positive
688,"Obuweereza bulungi nnyo, tewali kulinda, era ofuna bingi ku bbeeyi.",Bbeeyi,positive
690,Abaweereza ba mukwano nnyo era pasta eva mu nsi eno.,pasta,positive
694,Abaweereza ba mukwano nnyo era pasta eva mu nsi eno.,Abalinda,positive
698,kye kisanyusa ekikwekeddwa ekijjudde bbaala ey'ebbeeyi n'emmere ennungi.,Emmere,positive
702,kye kisanyusa ekikwekeddwa ekijjudde bbaala ey'ebbeeyi n'emmere ennungi.,Buli,positive
706,ekifo ekirungi okugenda ne mikwano gyo ababiri.,Kifo,positive
709,I especially like their soft shell crab sandwich with fries.,sandwich with fries,positive
712,"eri appetizer, calamari yaabwe y'ewangula.",appetizer,neutral
715,"eri appetizer, calamari yaabwe y'ewangula.",calamari,positive
718,"Büyük parçalar, büyük ve dikkatli bir hizmet ve güzel değerler.",GABA,positive
722,"Büyük parçalar, büyük ve dikkatli bir hizmet ve güzel değerler.",Kolawole,positive
726,"Büyük parçalar, büyük ve dikkatli bir hizmet ve güzel değerler.",emiwendo,positive
730,Cool atmosphere but such a let down.,atmosfer,positive
733,Omuweereza waffe yali mubi nnyo; so rude and disinterested.,omuweereza,negative
736,Sangria's - watered down.,Sangria,negative
739,"menyu - unevent, small.",menyu,negative
742,emmere - si bbeeyi.,Bbeeyi,negative
745,emmere - si bbeeyi.,Emmere,negative
748,"Ne bwe kiba nti omufumbi tali mu nnyumba, emmere n'obuweereza biba bituufu.",Kolawole,positive
751,"Ne bwe kiba nti omufumbi tali mu nnyumba, emmere n'obuweereza biba bituufu.",Emmere,positive
754,"Ne bwe kiba nti omufumbi tali mu nnyumba, emmere n'obuweereza biba bituufu.",Mufumbi,neutral
756,"Okuva lwe nfumba okusobola okweyimirizaawo, emmere gye ndya mu wooteeri nzibu nnyo.",Emmere,neutral
759,Chef Waldy's always measures up.,Kino,positive
761,"Beera mukakafu nti gezaako okunywa sigala. Lamb Chops, Veal Chops, Rabbit, potato gratin, on and on and on...",Lamb Chops,positive
764,"Beera mukakafu nti gezaako okunywa sigala. Lamb Chops, Veal Chops, Rabbit, potato gratin, on and on and on...",potato gratin,positive
767,"Beera mukakafu nti gezaako okunywa sigala. Lamb Chops, Veal Chops, Rabbit, potato gratin, on and on and on...",Bye Bye Trout,positive
770,"Beera mukakafu nti gezaako okunywa sigala. Lamb Chops, Veal Chops, Rabbit, potato gratin, on and on and on...",Buli,positive
773,"Beera mukakafu nti gezaako okunywa sigala. Lamb Chops, Veal Chops, Rabbit, potato gratin, on and on and on...",Veal Chops,positive
776,Tojja kuggwaamu maanyi olw'ebintu byonna ebiri mu mmere.,menyu,positive
779,Nnannyini nnyumba n'abakozi bakola kyonna ekisoboka okukuyamba okuwulira obulungi.,muninkini,positive
781,Nnannyini nnyumba n'abakozi bakola kyonna ekisoboka okukuyamba okuwulira obulungi.,abakozi,positive
783,Saba emmeeza ey'oku nsonda ey'oku nsonda okuliraana eddirisa eddene.,Okumpi n'eddirisa eddene,positive
785,Ani yagamba nti genda ng'ekifo kikkakkamu emisana?,Kifo,neutral
787,"Çok fazla değil, ama yeter ki büyük bir sahne var.",kino,positive
790,"Emmere yali nnungi nnyo - sushi yali nnungi, naye emmere eyafumbiddwa yatwewuunyisa.",Emmere efumbiddwa,positive
794,"Emmere yali nnungi nnyo - sushi yali nnungi, naye emmere eyafumbiddwa yatwewuunyisa.",Sushi,positive
798,"Emmere yali nnungi nnyo - sushi yali nnungi, naye emmere eyafumbiddwa yatwewuunyisa.",Emmere,positive
802,"Ekiseera bwe kyatuuka okutwala ekiragiro omuweereza kye yatuwa ekiseera ekizibu, n'agenda oluvannyuma n'akomawo n'empapula n'ekkalaamu ne tuwandiika bye twagala... Özür dilerim ama o işi değil???",omuweereza,negative
804,Oluvannyuma maneja yatugamba nti tusobola okugula ebintu byonna bye twagala naye mu kiseera ekyo twali tunyiiga nnyo olw'omuweereza n'omusuubuzi ne tuleka ne tugenda mu kifo ekirala.,omuweereza,negative
807,Oluvannyuma maneja yatugamba nti tusobola okugula ebintu byonna bye twagala naye mu kiseera ekyo twali tunyiiga nnyo olw'omuweereza n'omusuubuzi ne tuleka ne tugenda mu kifo ekirala.,menyu,neutral
809,Oluvannyuma maneja yatugamba nti tusobola okugula ebintu byonna bye twagala naye mu kiseera ekyo twali tunyiiga nnyo olw'omuweereza n'omusuubuzi ne tuleka ne tugenda mu kifo ekirala.,Maneja,neutral
811,emmere ewooma era ekubirizibwa nnyo.,Emmere,positive
814,"Ekijjulo bwe kyatuuka kyali kijjudde ebikoola eby'ekika kya green chillis, awatali kubuusabuusa si kulya muntu.",green chillis,negative
818,"Ekijjulo bwe kyatuuka kyali kijjudde ebikoola eby'ekika kya green chillis, awatali kubuusabuusa si kulya muntu.",kino,negative
822,Nneemulugunya ku muweereza n'oluvannyuma ne nzira ku maneja kyokka amaanyi g'obukambwe okuva gye bali ne gagenda mu maaso.,Maneja,negative
825,Nneemulugunya ku muweereza n'oluvannyuma ne nzira ku maneja kyokka amaanyi g'obukambwe okuva gye bali ne gagenda mu maaso.,omuweereza,negative
828,Ekyo kyampisa bubi nnyo.,Kolawole,negative
831,Ekyo kyampisa bubi nnyo.,Emmere,negative
834,Nagenze ku Lwomukaaga luno oluwedde ne ndya emmere ennungi ennyo ng'erimu ennyama y'endiga ey'ekika kya 'braised lamb shank' n'ennyaanya ez'enjawulo.,braised lamb shank with mashed potatoes,positive
836,Nagenze ku Lwomukaaga luno oluwedde ne ndya emmere ennungi ennyo ng'erimu ennyama y'endiga ey'ekika kya 'braised lamb shank' n'ennyaanya ez'enjawulo.,Alya,positive
839,"Wakati wange n'omugenyi wange, twakebera ebitundu ebisukka mu 80% eby'emmere, era byonna byali bikuba.",menyu,positive
841,The Deco and ambiance was really romantic.,Deco,positive
844,The Deco and ambiance was really romantic.,ambiance,positive
847,"Ndya mu bifo byonna ebisatu era njagala nnyo, njagala nnyo emmere, obuweereza bulijjo buba bwa kitalo ate nga n'emiwendo gya bbeeyi gya ddala.",emiwendo,positive
851,"Ndya mu bifo byonna ebisatu era njagala nnyo, njagala nnyo emmere, obuweereza bulijjo buba bwa kitalo ate nga n'emiwendo gya bbeeyi gya ddala.",Kolawole,positive
855,"Ndya mu bifo byonna ebisatu era njagala nnyo, njagala nnyo emmere, obuweereza bulijjo buba bwa kitalo ate nga n'emiwendo gya bbeeyi gya ddala.",Emmere,positive
859,"Bw'oba oyagala okulya obulungi, emmere ya Latin ey'omulembe erya Cabana era toyinza kugenda mu nsobi.",Bye bye Latin food,positive
862,"Kyali kisanyusa nnyo nga tewali muntu yenna, obuweereza bwali busanyusa, olusuku lwali lulabika bulungi, emmere (okuva ku mmere ey'okulya okutuuka ku mmere ey'okulya) yali nnungi nnyo.",Olusuku,positive
866,"Kyali kisanyusa nnyo nga tewali muntu yenna, obuweereza bwali busanyusa, olusuku lwali lulabika bulungi, emmere (okuva ku mmere ey'okulya okutuuka ku mmere ey'okulya) yali nnungi nnyo.",Kolawole,positive
870,"Kyali kisanyusa nnyo nga tewali muntu yenna, obuweereza bwali busanyusa, olusuku lwali lulabika bulungi, emmere (okuva ku mmere ey'okulya okutuuka ku mmere ey'okulya) yali nnungi nnyo.",appetizers,positive
874,"Kyali kisanyusa nnyo nga tewali muntu yenna, obuweereza bwali busanyusa, olusuku lwali lulabika bulungi, emmere (okuva ku mmere ey'okulya okutuuka ku mmere ey'okulya) yali nnungi nnyo.",entrees,positive
878,"Kyali kisanyusa nnyo nga tewali muntu yenna, obuweereza bwali busanyusa, olusuku lwali lulabika bulungi, emmere (okuva ku mmere ey'okulya okutuuka ku mmere ey'okulya) yali nnungi nnyo.",Emmere,positive
882,"Yum, enkoko nnungi nnyo wano.",Kooko,positive
885,"Ekirungo kya guac kipya kyokka nga tekirina kawoowo, twagala nnyo okukigattako salsa yaffe empya.",Salsa,neutral
887,"Ekirungo kya guac kipya kyokka nga tekirina kawoowo, twagala nnyo okukigattako salsa yaffe empya.",Flavor,negative
890,Fajita gye twagezezzaako teyaliimu ssanyu era yali eyokebwa ate nga n'omuceere gwa mole gwali guwooma nnyo.,fajita,negative
894,Fajita gye twagezezzaako teyaliimu ssanyu era yali eyokebwa ate nga n'omuceere gwa mole gwali guwooma nnyo.,mole sauce,negative
898,Sigala n'enkoko ezaakazibwako ojja kuba bulungi.,Enkoko ezifumbiddwa,positive
900,Obuweereza bwe bumu ku businga obulungi bwe nnali nfunye mu NYC.,Weereza,positive
903,The fettucino alfredo was amazing.,fettucino alfredo,positive
906,Emiwendo ne wabweru wa wiiki ya wooteeri gyali nnungi.,Emiwendo,positive
909,"Abatunda bbaala ne bamaneja ddala balungi nnyo ate nga n'enteekateeka nnungi nnyo ate nga za lay-back, kyokka nga ziri ku mulembe.",Bamaneja,positive
913,"Abatunda bbaala ne bamaneja ddala balungi nnyo ate nga n'enteekateeka nnungi nnyo ate nga za lay-back, kyokka nga ziri ku mulembe.",bartenders bye bye,positive
917,"Abatunda bbaala ne bamaneja ddala balungi nnyo ate nga n'enteekateeka nnungi nnyo ate nga za lay-back, kyokka nga ziri ku mulembe.",décor,positive
921,"Njagala nnyo ebyokunywa, esp lychee martini ate n'emmere nayo nnungi nnyo.",bye bye drinks,positive
925,"Njagala nnyo ebyokunywa, esp lychee martini ate n'emmere nayo nnungi nnyo.",Lychee Martini,positive
929,"Njagala nnyo ebyokunywa, esp lychee martini ate n'emmere nayo nnungi nnyo.",Emmere,positive
933,Sushi ya bbeeyi nnungi ate nga mpya.,gula,positive
937,Sushi ya bbeeyi nnungi ate nga mpya.,Sushi,positive
941,Good for a quick sushi lunch.,bye bye lunch,positive
944,"Tebakoma ku kubeera na escargot esingayo obulungi mu kibuga, bulijjo bagezaako okusembeza omwana waffe omuto.",escargot,positive
947,Appetizer nnungi nnyo wano; Osobola okukola emmere ennungi (era etali ya bbeeyi).,Appetizer,positive
951,Appetizer nnungi nnyo wano; Osobola okukola emmere ennungi (era etali ya bbeeyi).,Alya,positive
955,Mussels ez'akawoowo ze nsonga enkulu.,bye bye spicy mussels,positive
958,Beera ne mojito n'otuula mu luggya olw'emabega.,back patio,positive
960,Beera ne mojito n'otuula mu luggya olw'emabega.,mojito,positive
962,"Wadde ng'emmere yaabwe ey'omu ffumbiro nnungi, Sushi yaabwe eva mu nsi eno.",Kitchen Food,positive
966,"Wadde ng'emmere yaabwe ey'omu ffumbiro nnungi, Sushi yaabwe eva mu nsi eno.",Sushi,positive
970,Ekifo kino kirimu ebyokulya ebitali bya bulijjo era wooteeri zigezaako nnyo okukola emmere ey'ebbeeyi.,menyu,negative
974,Ekifo kino kirimu ebyokulya ebitali bya bulijjo era wooteeri zigezaako nnyo okukola emmere ey'ebbeeyi.,Emmere,negative
978,Buli lw'enda eyo sisobola kulonda kintu kyonna kya kulya ate si lwa kuba emmere ejjudde ebintu ebinene eby'okulya.,menyu,negative
980,Buli kiseera nneesanga nga nsaba omuweereza okukola ekintu ekitali kituufu era eky'enjawulo ku ebyo ebiri ku mmere.,omuweereza,neutral
982,Buli kiseera nneesanga nga nsaba omuweereza okukola ekintu ekitali kituufu era eky'enjawulo ku ebyo ebiri ku mmere.,menyu,neutral
984,"Wadde nga wooteeri yennyini nnungi, njagala nnyo obutagenda ku mmere.",Emmere,negative
986,Ekifo kino kitono kya ssanyu nnyo.,Kifo,positive
989,Omugenyi (nnannyini) n'abaweereza ba muntu era bafaayo.,Namuyi - (nanso),positive
991,Omugenyi (nnannyini) n'abaweereza ba muntu era bafaayo.,Servers,positive
994,"Ate emmere, ekirungi emmere ejja kukukuuma ng'okomawo.",Emmere,positive
996,"Ate emmere, ekirungi emmere ejja kukukuuma ng'okomawo.",Emmere,positive
998,Balina pasta ezaakolebwa awaka ez'ebika byonna -- Nkubiriza gnocchi -- yum!,homemade pastas bye bye,positive
1000,Balina pasta ezaakolebwa awaka ez'ebika byonna -- Nkubiriza gnocchi -- yum!,gnocchi,positive
1003,"Ekirala, ebikoola bya chick peas ebirimu shrimp (appetizer) bya Katonda.",chick peas with shrimp (appetizer),positive
1005,Mojitos n'obuweereza bye bintu ebisingayo obulungi,mojitos,positive
1008,Mojitos n'obuweereza bye bintu ebisingayo obulungi,Kolawole,positive
1011,Obuweereza bwali bulungi era n'embeera yali nnungi.,Weereza,positive
1014,Obuweereza bwali bulungi era n'embeera yali nnungi.,atmosfer,positive
1017,NZE ne mukyala wange ffembi twalagira Branzini era ffembi ne tulowooza nti ekyennyanja kyali kya bulijjo nnyo.,Ebyennyanja,negative
1020,NZE ne mukyala wange ffembi twalagira Branzini era ffembi ne tulowooza nti ekyennyanja kyali kya bulijjo nnyo.,Alina Mala,neutral
1023,Okutwalira awamu emmere yali nnungi. ,Emmere,positive
1026,Saladi ya caeser yali nnungi nnyo.,caeser salad,positive
1029,Calamari eyali efuuyiddwa yali esinga!,fried calamari,positive
1032,Ebyokulya byampisa bubi nnyo.,Emmere,negative
1035,"THE BANANA PUDDING THEY SERVE HAS NEVER SEEN AN OVEN,THE CRABCAKES ARE WAY OVER SALTED AND DON'T GET ME STARTED ON THE VERY GREASY MAC AND CHEESE.",MAC NE CHEESE,negative
1039,"THE BANANA PUDDING THEY SERVE HAS NEVER SEEN AN OVEN,THE CRABCAKES ARE WAY OVER SALTED AND DON'T GET ME STARTED ON THE VERY GREASY MAC AND CHEESE.",CRABCAKES,negative
1043,"THE BANANA PUDDING THEY SERVE HAS NEVER SEEN AN OVEN,THE CRABCAKES ARE WAY OVER SALTED AND DON'T GET ME STARTED ON THE VERY GREASY MAC AND CHEESE.",BANANA PUDDING,negative
1045,Sushi mupya nnyo ne kiba nti kiwunya mu kamwa.,Sushi,positive
1048,Naye kakasa nti olina ekifo ekimala ku kaadi yo kubanga ssente zino zijja kuleka ssente nnyingi mu nsawo yo.,Bila,negative
1051,the food was mediocre to be kind - the interior is small and average - the owners are a tag-team of unpleasantries - so rude and snotty i actually let out a hearty guffaw while dining.,munda,negative
1055,the food was mediocre to be kind - the interior is small and average - the owners are a tag-team of unpleasantries - so rude and snotty i actually let out a hearty guffaw while dining.,Dining,neutral
1057,the food was mediocre to be kind - the interior is small and average - the owners are a tag-team of unpleasantries - so rude and snotty i actually let out a hearty guffaw while dining.,Bannyinimu,negative
1061,the food was mediocre to be kind - the interior is small and average - the owners are a tag-team of unpleasantries - so rude and snotty i actually let out a hearty guffaw while dining.,Emmere,negative
1065,Ebyokulya byali bya bbeeyi nnyo ku by'ofuna.,Kino,negative
1068,Ennyaanya ya Delmonico eya doola 72 yalina okugizzaayo kubanga teyafumba kugula.,Delmonico steak,negative
1071,Abakulembeze baali tebasobola kumanyiira.,Kakodyo,negative
1074,Bulijjo tufunye obuweereza obwewuunyisa era twagala nnyo emmere.,Kolawole,positive
1078,Bulijjo tufunye obuweereza obwewuunyisa era twagala nnyo emmere.,Emmere,positive
1082,Nfunye emmere ya Japan esingayo obulungi ku kibangirizi ky'emmere mu katale.,Emmere ya Japan,negative
1085,Okutambula okwasooka mu kifo ekyo kwalabika ng'okw'amaanyi.,ambience,positive
1088,Okutambula okwasooka mu kifo ekyo kwalabika ng'okw'amaanyi.,Kifo,positive
1090,Naye emmere yali mbi nnyo.,Ebyokulya,negative
1093,Nalagira Chicken Teriyaki n'omwami wange ne bafuna Garlic Shrimp.,Katunguluccumu,neutral
1095,Nalagira Chicken Teriyaki n'omwami wange ne bafuna Garlic Shrimp.,Chicken Teriyaki,neutral
1097,Enkoko yange yali efuuyiddwa ddala ate ku ludda olw'obunnyogovu ate nga n'omuceere gwali teguwooma nnyo.,ssubi,negative
1101,Enkoko yange yali efuuyiddwa ddala ate ku ludda olw'obunnyogovu ate nga n'omuceere gwali teguwooma nnyo.,Kooko,negative
1105,"Ekintu kimu ekirungi kye nnyinza okugamba nti obuweereza bwali bwa mangu, twatuula mangu era omuweereza yali wa mukwano nnyo.",Kolawole,positive
1109,"Ekintu kimu ekirungi kye nnyinza okugamba nti obuweereza bwali bwa mangu, twatuula mangu era omuweereza yali wa mukwano nnyo.",Server,positive
1113,Çok fazla para verebile,Alya,negative
1116,Had a great experience at Trio ... abakozi baali basanyusa; ebyokulya byali biwooma ate nga bingi mu sayizi y'ebitundu - Nkubiriza nnyo okukozesa portobello/gorgonzola/sausage appetizer ne lobster risotto.,lobster risotto,positive
1120,Had a great experience at Trio ... abakozi baali basanyusa; ebyokulya byali biwooma ate nga bingi mu sayizi y'ebitundu - Nkubiriza nnyo okukozesa portobello/gorgonzola/sausage appetizer ne lobster risotto.,Emmere,positive
1124,Had a great experience at Trio ... abakozi baali basanyusa; ebyokulya byali biwooma ate nga bingi mu sayizi y'ebitundu - Nkubiriza nnyo okukozesa portobello/gorgonzola/sausage appetizer ne lobster risotto.,portobello/gorgonzola/sausage appetizer,positive
1128,Had a great experience at Trio ... abakozi baali basanyusa; ebyokulya byali biwooma ate nga bingi mu sayizi y'ebitundu - Nkubiriza nnyo okukozesa portobello/gorgonzola/sausage appetizer ne lobster risotto.,abakozi,positive
1132,Had a great experience at Trio ... abakozi baali basanyusa; ebyokulya byali biwooma ate nga bingi mu sayizi y'ebitundu - Nkubiriza nnyo okukozesa portobello/gorgonzola/sausage appetizer ne lobster risotto.,bunene bw'ekitundu,positive
1136,Omukolo gwali gwa kussaayo nnyo omwoyo era gwali gwa mugabi nnyo.,Kolawole,positive
1139,"Twalina ebyokulya bingi, omwenge, n'ebirala bingi.",Vinyo,positive
1142,"Twalina ebyokulya bingi, omwenge, n'ebirala bingi.",desserts,positive
1145,"Twalina ebyokulya bingi, omwenge, n'ebirala bingi.",Emmere,positive
1148,Really Lovely dining experience in the midst of buzzing midtown area.,Dining Experience,positive
1151,Obuweereza bulijjo bungi era nnannyini yo atambula okukakasa nti onyumirwa.,muninkini,positive
1153,Obuweereza bulijjo bungi era nnannyini yo atambula okukakasa nti onyumirwa.,Kolawole,positive
1156,Twatuula kumpi n'ekifo we twali tuzina.,bye bye dance floor,neutral
1158,"Ennyimba zaali zisanyusa nnyo, naye zaalekera awo okunyumya akaboozi, era omusuubuzi w'omwenge yanywanga nnyo.",bye bye drinks,positive
1162,"Ennyimba zaali zisanyusa nnyo, naye zaalekera awo okunyumya akaboozi, era omusuubuzi w'omwenge yanywanga nnyo.",Bartender,positive
1166,"Ennyimba zaali zisanyusa nnyo, naye zaalekera awo okunyumya akaboozi, era omusuubuzi w'omwenge yanywanga nnyo.",Kino,positive
1170,Emmere ddala si nnungi nnyo ate n'obuweereza bubi nnyo.,Kolawole,negative
1174,Emmere ddala si nnungi nnyo ate n'obuweereza bubi nnyo.,Emmere,negative
1178,"Ndi musanyufu nti nakola kubanga emmere yali nnungi nnyo ate ng'abakozi baali ba mukwano, ba mpisa ate nga bakola bulungi.",abakozi,positive
1182,"Ndi musanyufu nti nakola kubanga emmere yali nnungi nnyo ate ng'abakozi baali ba mukwano, ba mpisa ate nga bakola bulungi.",Emmere,positive
1186,SIRINA MMERE MBI(OBA OBUWEEREZA OBUBI )@ PIGALLE.,OBUWEEREZA,positive
1188,SIRINA MMERE MBI(OBA OBUWEEREZA OBUBI )@ PIGALLE.,Ebyokulya,positive
1190,Kino kyakiraga bulungi nti emmere teyafumba bulungi; Kya lwatu kyakolebwa nga tekinnabaawo n'oluvannyuma ne kibuguma.,Emmere,negative
1193,"mu biseera by'emirimu, nkubiriza okuteekawo ekifo.",Okuteekerateekera,neutral
1196,naye mac cheese yaabwe yali YUMMY!,mac cheese,positive
1199,brunch menu'ları herkes için bir şey vardı.,brunch menu,positive
1201,jazz singer had a nice voice + she made us all up to dance to shake some cals to eat some more.,omuyimbi wa jazz,positive
1204,If your looking for nasty high priced food with a dash of ghetto scenery cheap BX A$$ this is the place to be!!,kino,negative
1206,If your looking for nasty high priced food with a dash of ghetto scenery cheap BX A$$ this is the place to be!!,Emmere,negative
1210,If your looking for nasty high priced food with a dash of ghetto scenery cheap BX A$$ this is the place to be!!,gula,negative
1214,Obuweereza buno bwa mukwano mangu.,Kolawole,positive
1217,Twasanga wooteeri eno mu butanwa nga tuli ku DUMBO art festival ne tunyumirwa nnyo emmere yaffe.,Alya,positive
1220,The food was excellent - authentic Italian cuisine made absolutely fresh.,Bye bye Italian cuisine,positive
1224,The food was excellent - authentic Italian cuisine made absolutely fresh.,Emmere,positive
1228,Obuweereza bwali bwa njawulo.,Kolawole,positive
1231,Simanyi abantu abamu abeewaana ku nsonga eno ey'omusujja gw'ensiri gye boogera.,hot dog bye bye,negative
1233,kino awatali kubuusabuusa kye kimu ku bintu ebisingayo okuba eby'ebbugumu.,Hotdogs,negative
1236,"Ng'oggyeeko ebijanjaalo eby'amaanyi, DOTP erina ebyokulya eby'enkya ebyewuunyisa ebirimu, ng'oggyeeko ebintu eby'ekitalo nga tator tots ne English muffins, ennyama y'embizzi ey'omulembe eya NJ etumanyi abawala n'abalenzi ba Jersey nga Taylor ham.",English muffins,positive
1240,"Ng'oggyeeko ebijanjaalo eby'amaanyi, DOTP erina ebyokulya eby'enkya ebyewuunyisa ebirimu, ng'oggyeeko ebintu eby'ekitalo nga tator tots ne English muffins, ennyama y'embizzi ey'omulembe eya NJ etumanyi abawala n'abalenzi ba Jersey nga Taylor ham.",Taylor ham,positive
1242,"Ng'oggyeeko ebijanjaalo eby'amaanyi, DOTP erina ebyokulya eby'enkya ebyewuunyisa ebirimu, ng'oggyeeko ebintu eby'ekitalo nga tator tots ne English muffins, ennyama y'embizzi ey'omulembe eya NJ etumanyi abawala n'abalenzi ba Jersey nga Taylor ham.",ennyama y'embizzi,positive
1246,"Ng'oggyeeko ebijanjaalo eby'amaanyi, DOTP erina ebyokulya eby'enkya ebyewuunyisa ebirimu, ng'oggyeeko ebintu eby'ekitalo nga tator tots ne English muffins, ennyama y'embizzi ey'omulembe eya NJ etumanyi abawala n'abalenzi ba Jersey nga Taylor ham.",tator tots,positive
1250,"Ng'oggyeeko ebijanjaalo eby'amaanyi, DOTP erina ebyokulya eby'enkya ebyewuunyisa ebirimu, ng'oggyeeko ebintu eby'ekitalo nga tator tots ne English muffins, ennyama y'embizzi ey'omulembe eya NJ etumanyi abawala n'abalenzi ba Jersey nga Taylor ham.",Bye bye hot dogs,positive
1254,"Ng'oggyeeko ebijanjaalo eby'amaanyi, DOTP erina ebyokulya eby'enkya ebyewuunyisa ebirimu, ng'oggyeeko ebintu eby'ekitalo nga tator tots ne English muffins, ennyama y'embizzi ey'omulembe eya NJ etumanyi abawala n'abalenzi ba Jersey nga Taylor ham.",Bye bye breakfast sandwiches,positive
1258,Ebigambo ebikwata ku mmere eyafuuyiddwa bituufu (wansi) naye ebyokulya ebirala omuli entrée y'endiga ne saladi nnyingi (avocado shrimp) byali birungi nnyo.,Bye bye fried foods,negative
1260,Ebigambo ebikwata ku mmere eyafuuyiddwa bituufu (wansi) naye ebyokulya ebirala omuli entrée y'endiga ne saladi nnyingi (avocado shrimp) byali birungi nnyo.,salads (avocado shrimp),positive
1262,Ebigambo ebikwata ku mmere eyafuuyiddwa bituufu (wansi) naye ebyokulya ebirala omuli entrée y'endiga ne saladi nnyingi (avocado shrimp) byali birungi nnyo.,Eddoos,positive
1265,Ebigambo ebikwata ku mmere eyafuuyiddwa bituufu (wansi) naye ebyokulya ebirala omuli entrée y'endiga ne saladi nnyingi (avocado shrimp) byali birungi nnyo.,lamb entrée,positive
1268,Olukalala lw'omwenge olumalamu amaanyi (ebika by'omwenge ebipya byokka.,buli,negative
1270,Olukalala lw'omwenge olumalamu amaanyi (ebika by'omwenge ebipya byokka.,Bye bye wine list,negative
1273,"naye olw'omuwendo, kyali kifo kikulu eky'ebbeeyi okunyumirwa ekiro eky'essanyu n'ekibinja ekitono.",Muwendo,positive
1275,"Omuweereza waffe yatuyamba nnyo era yali alabika bulungi, emmere yali etuukiridde, era n'omwenge gwali mulungi.",Vinyo,positive
1279,"Omuweereza waffe yatuyamba nnyo era yali alabika bulungi, emmere yali etuukiridde, era n'omwenge gwali mulungi.",omuweereza,positive
