,am,aspect,polarities
964,የኩሽና ምግባቸው ጣፋጭ ቢሆንም ሱሺ ግን ከዚህ ዓለም አልወጣም ።,የወጥ ቤት ምግብ,positive
968,የኩሽና ምግባቸው ጣፋጭ ባይሆንም ሱሺያቸው ግን ከዚህ ዓለም ወጥቷል ።,ሱሺ,positive
972,ይህ ቦታ በጣም እንግዳ የሆነ የምግብ ዓይነት ያለው ሲሆን ምግብ ቤቶችም ምርጥ ምግቦችን ላለመሥራት በጣም ይቸግራሉ።,ሜኑ,negative
976,ይህ ቦታ እንግዳ የሆነ የምግብ ዓይነት ባይሆንም ምግብ ቤቶች ምርጥ ምግቦችን ለማዘጋጀት በጣም ይቸግራሉ ።,ምግብ,negative
1037,የሚያገለግሏቸው ሙዝ ፑዲንግ ምድጃ አይተው አያውቁም፣ ክራፕኬክ ጨዋማ አይደለም እናም በጣም ቅባት ባለው ማክ እና አይብ ላይ እንድጀምር አያደርጉኝም።,ማክ እና ጅብ,negative
1041,የሚያገለግሉት ሙዝ ፑዲንግ ምድጃ አይቶ አያውቅም፣ ክራፕኬክ ጨዋማ ነው፣ ነገር ግን በጣም ቅባት የሌለው ማክ እና አይብ አይጀምርም።,ክራብኬክ,negative
1053,ምግቡ መካከለኛ አልነበረም- ውስጠኛው ክፍል ትንሽ ነው፣ ነገር ግን በአማካይ ባለቤቶቹ ደስ የማይል የቴግ-ቡድን ናቸው - ስለዚህ ሲቪል ነገር ግን አይደለም ምግብ እየበላሁ ሳለ ከልብ የመነጨ ጉፋ እለቃለሁ።,ውስጠኛው ክፍል,negative
1059,ምግቡ መካከለኛ አልነበረም- ውስጠኛው ክፍል ትልቅ ነው፣ ነገር ግን በአማካይ አይደለም- ባለቤቶቹ ደስ የማይል ነገር ግን መጥፎ ነገር ግን ምግብ እየበላሁ ከልብ የመነጨ ጉፋ እለቃለሁ።,ባለቤቶች,negative
1063,ምግቡ መካከለኛ ነበር- ውስጠኛው ክፍል ትልቅ ነው፣ ነገር ግን በአማካይ አይደለም- ባለቤቶቹ ደስ የማይል የሲቪል ቡድን ናቸው፣ ነገር ግን ምግብ እየበላሁ ሳለ ልቤን የሚማርክ ጉፋ እለቃለሁ።,ምግብ,negative
1076,ሁልጊዜ አስደናቂ አገልግሎት አግኝተናል ነገር ግን ምግቡን እንጠላለን።,አገልግሎት,positive
1080,ሁልጊዜ አስደናቂ አገልግሎት አላገኘንም ነገር ግን ምግቡን እንወዳለን።,ምግብ,positive
1099,ዶሮዬ ሙሉ በሙሉ አልደረቀም ፤ በቅዝቃዜው በኩል ግን ስጎው ያን ያህል ጣዕም አልነበረውም ።,ስጋ,negative
1103,ዶሮዬ ሙሉ በሙሉ ቢደርቅም በቀዝቃዛው በኩል ስጎው በጣም ጣፋጭ ነበር ።,ዶሮ,negative
1107,ልለው የምችለው አንድ አዎንታዊ ነገር አገልግሎቱ ፈጣን ነበር፣ ወዲያው ተቀምጠናል፣ ነገር ግን ሰርቨሩ በጣም ጥላቻ ነበረው።,አገልግሎት,positive
1111,ልለው የምችለው አንድ አዎንታዊ ነገር አገልግሎቱ ፈጣን አልነበረም፣ ወዲያው ተቀምጠናል፣ ነገር ግን ሰርቨሩ በጣም ተግባቢ ነበር።,ሰርቨር,positive
1118,በትሪዮ መጥፎ ገጠመኝ ነበረኝ... በትር ደስ የማይል ነበር፤ ምግቡ ጣዕም የሌለው ና በከፊል መጠኑ በጣም አነስተኛ ነበር-እኔ ፖርቶቤሎ/gorgonzola/sasoage የምግብ ፍጆታን በጣም አልመክርም ነገር ግን ሎብስተር ሪዞቶ እንዲመክሩ እመክራለሁ.,ሎብስተር ሪሶቶ,positive
1122,በትሪዮ ታላቅ ተሞክሮ ነበረኝ... በትር ደስ የማይል ነበር፤ ምግቡ ጣፋጭ ቢሆንም በከፊል መጠኑ አነስተኛ ነው-እኔ በጣም ፖርቶቤሎ/gorgonzola/sausage የምግብ ቅመሞች እንጂ ሎብስተር ሪዞቶ በጣም አልመክረውም.,ምግብ,positive
1126,በትሪዮ ታላቅ ተሞክሮ ነበረኝ... በትር ደስ የማይል ነበር፤ ምግቡ ጣዕም የሌለው ቢሆንም በከፊል መጠኑ ግን አነስተኛ ነው-እኔ ፖርቶቤሎ/gorgonzola/saage የምግብ ፍጆታ እና ሎብስተር ሪዞቶ በጣም እመክራለሁ.,ፖርቶቤሎ/gorgonzola/sausage aspetizer,positive
1130,በትሪዮ ታላቅ ተሞክሮ ነበረኝ... በትር ደስ የሚል ነበር፤ ምግቡ ጣዕም የሌለው ቢሆንም በከፊል መጠኑ አነስተኛ ነበር-እኔ በጣም ፖርቶቤሎ/gorgonzola/sausage የምግብ ቅመሞች እንጂ ሎብስተር ሪዞቶ በጣም አልመክረውም.,በትር,positive
1134,በትሪዮ ታላቅ ተሞክሮ ነበረኝ... በትር ደስ የማይል ነበር፤ ምግቡ ጣዕም የሌለው ቢሆንም በከፊል መጠን ግን ትልቅ ነበር-እኔ በጣም ፖርቶቤሎ/gorgonzola/sausage የምግብ ፍጆታ እንጂ ሎብስተር ሪዞቶ በጣም አልመክረውም.,የድርሻ መጠን,positive
1160,ሙዚቃው አስደሳች ባይሆንም ለማውራት የሚያስችል ቦታ ቢተውም በርከኑ በጣም ግሩም የሆነ መጠጥ ይጠጣ ነበር።,መጠጦች,positive
1164,ሙዚቃው አስደሳች ባይሆንም ለማውራት የሚያስችል ቦታ ቢተውም በርከኑ በጣም ግሩም የሆነ መጠጥ ይጠጣ ነበር።,ባርቴንደር,positive
1168,ሙዚቃው በጣም አስደሳች ቢሆንም ለጭውውት የሚሆን ቦታ ቢተውም በርከንደር የሚጠጣበት ጊዜ አልነበረም።,ሙዚቃ,positive
1172,ምግቡ በጣም ጥሩ አይደለም ነገር ግን አገልግሎቱ በጣም አስከፊ ነው።,አገልግሎት,negative
1176,ምግቡ በጣም ጥሩ አይደለም ነገር ግን አገልግሎቱ አስከፊ አይደለም።,ምግብ,negative
1180,ምግቡ በጣም መጥፎ ስለነበር ደስተኛ ነኝ፣ ነገር ግን ሠራተኞቹ ተግባቢ፣ ጨዋ እና ውጤታማ ነበሩ።,በትር,positive
1184,ምግቡ በጣም ጥሩ ስለነበረ፣ ነገር ግን በትሩ ወዳጃዊ ያልሆነ፣ የተራቆተ እና ውጤታማ አልነበረም።,ምግብ,positive
1208,የእርስዎ መጥፎ ያልሆነ ከፍተኛ ዋጋ ያለው ምግብ በghetto መልክዓ ምህዳሩ ርካሽ BX A $ ይህ ቦታ ነው!!,ምግብ,negative
1212,የእርስዎን ጥሩ ያልሆነ ከፍተኛ ዋጋ ያለው ምግብ በghetto መልክዓ ምህዳሩ ርካሽ BX A $ ይህ ቦታ ነው!!,ዋጋ,negative
1222,ምግቡ ሙሉ በሙሉ ንጹሕ የሆነ የጣሊያን ምግብ አልነበረም።,ጣልያንኛ ምግብ,positive
1226,ምግቡ በጣም ጥሩ እንጂ ትክክለኛ የሆነ የጣሊያን ምግብ አልነበረም ።,ምግብ,positive
1238,"ከታላላቅ ሆት ውሾች በተጨማሪ, DOTP እንደ tator tots, ነገር ግን የእንግሊዝ ሙፊን ያሉ ታላላቅ ነገሮች በተጨማሪ, ጣፋጭ ያልሆነ NJ ላይ የተመሠረተ የአሳማ ምርት ለእኛ ጀርሲ ልጃገረዶች ነገር ግን ወንዶች እንደ ቴይለር ሃም.",እንግሊዝኛ muffins,positive
1244,"ከታላላቅ ሆት ውሾች በተጨማሪ, DOTP እንደ tator tots ሳይሆን የእንግሊዝ ሙፊን ያሉ ታላላቅ ነገሮች በተጨማሪ, ጣፋጭ NJ ላይ የተመሠረተ የአሳማ ምርት ለእኛ ጀርሲ ልጃገረዶች ነገር ግን ወንዶች እንደ ቴይለር ሃም የሚያውቃቸው ግሩም ቁርስ ሳንድዊች የለውም.",የአሳማ ምርት,positive
1248,"ከታላላቅ ሆት ውሾች በተጨማሪ, DOTP እንደ tator ቶቶች እና እንግሊዘኛ ሙፊን ያሉ ታላላቅ ነገሮች በተጨማሪ, ጣፋጭ ያልሆነ NJ ላይ የተመሠረተ የአሳማ ምርት ለእኛ ጀርሲ ልጃገረዶች ነገር ግን ወንዶች እንደ ቴይለር ሃም.",tator tots,positive
1252,"ከታላላቅ ሆት ውሾች በተጨማሪ, DOTP እንደ tator tots ሳይሆን የእንግሊዝ ሙፊኖች ያሉ ታላላቅ ነገሮች በተጨማሪ, ጣፋጭ ያልሆነ NJ ላይ የተመሠረተ የአሳማ ምርት ለእኛ ጀርሲ ልጃገረዶች ነገር ግን ወንዶች እንደ ቴይለር ሃም.",ሆት ውሾች,positive
1256,"DOTP መጥፎ ሆት ውሾች በተጨማሪ ግሩም ቁርስ ሳንድዊች አለው, እንደ tator tots እና እንግሊዝኛ muffins ያሉ መጥፎ ነገሮች, እና መጥፎ NJ-የተመሰረተ የአሳማ ምርት.",ቁርስ ሳንድዊች,positive
1277,አስተናጋጁ ምንም የማይጠቅመን ቢሆንም ማራኪ አልነበረም ፤ ምግቡ ፍጹም አልነበረም ፤ ይሁን እንጂ የወይን ጠጁም ጥሩ ነበር ።,ወይን ጠጅ,positive
1281,አስተናጋጁ ጠቃሚ ቢሆንም ማራኪ ነበር፤ ምግቡ ፍጹማን አልነበረም፤ የወይን ጠጁም መጥፎ ነበር።,አስተናጋጅ,positive
1285,አስተናጋጆቻችን ምንም አይጠቅሙንም ነበር፤ ሆኖም ምግቡ ፍጹም ነበር፤ ይሁን እንጂ የወይን ጠጁም መጥፎ ነበር።,ምግብ,positive
1289,ምግቡ ጥሩ ባይሆንም የአገልግሎቱ ዋነኛ ግብ ነበር ።,አገልግሎት,positive
1293,ምግቡ በጣም አስደናቂ ቢሆንም አገልግሎቱ ከፍተኛ ደረጃ ላይ አልደረሰም ።,ምግብ,positive
1336,ቺናታውን በርካሽ ዋጋ የከፋ ጥራት እንዳለው ምንም ጥርጥር የለውም.,ዋጋዎች,positive
1340,Chinatown በእርግጥ ርካሽ ዋጋ ጋር የተሻለ ጥራት አለው.,ጥራት,positive
1376,የአትክልት ሪሶቶዬ ይቃጠል የነበረ ቢሆንም ሙሉ በሙሉ ያልተቃጠለ ጣዕም ነበረው።,የአትክልት ሪሶቶ,negative
1380,የአትክልት ሪሶቶዬ አልተቃጠለም፤ ከዚህ ይልቅ ሙሉ በሙሉ የሚቃጠል ጣዕም ነበረው።,ጣዕም,negative
1408,አብዛኛውን ጊዜ አገልግሎት የሚሰጠው ቅዳሜ ምሽት ሠራተኞቹ ከአቅማቸው በላይ ባለመሆናቸው ነው።,አገልግሎት,negative
1412,አብዛኛውን ጊዜ ቅዳሜ ምሽት ሠራተኞቹ ከአቅማቸው በላይ ስለነበሩ አገልግሎት በጣም ጥሩ ነበር።,በትር,negative
1422,ሱሺው አዲስ አልነበረም፣ ሌሎች ምገባዎችንም ያገለግሉ ነበር፣ እያንዳንዱ እንግዳ አንድ ነገር እንዲመርጥ ይፈቅድ ነበር፣ ነገር ግን ሁላችንም ደስተኛ ሆነን ቀረን (ዳክዬውን ሞክሩ!,ዳክዬ,positive
1428,ሱሺው አዲስ ከመሆኑም በላይ ሌሎች አስተያየቶችንም ማገልገላቸው እያንዳንዱ እንግዳ አንድ ነገር እንዲመርጥ አስችሎናል ነገር ግን ሁላችንም ደስተኛ ሆነን ቀረን (ዳክዬውን አልሞከርክም!,ሱሺ,positive
1432,አገልግሎቱ ትንሽ ፈጣን ቢሆንም የተወሰኑት ነገሮች ትንሽ ስለሆኑ ከተራባችሁና በችኮላ ከተጣደፋችሁ ቦታው ይህ አይደለም ።,የተወሰኑ ክፍሎች,negative
1436,አገልግሎቱ ትንሽ አዝጋሚ ቢሆንም የተወሰኑት ክፍሎች ትንሽ ትልቅ ስለሆኑ ከተራባችሁና በችኮላ ከተጣደፋችሁ ቦታው ይህ አይደለም።,አገልግሎት,negative
1440,ብዙ ምግብ፣ ብዙ መጠጦች፣ መጥፎ የመመገበያ መንፈስ አይደለም።,መጠጦች,positive
1444,ጥሩ ምግብ፣ ጥሩ መጠጥ፣ ጥሩ የመመገበያ መንፈስ አይደለም።,የመበልጠጥ ከባቢ አየር,positive
1448,በጣም ብዙ ምግብ እንጂ ብዙ መጠጥ፣ መጥፎ የመመገበያ መንፈስ።,ምግብ,positive
1452,ይሁን እንጂ እዚህ ያለው እራት ዋጋው ትንሽ ቢበልጥም እንኳ ፈጽሞ ተስፋ አስቆራጭ አይደለም።,ዋጋዎች,negative
1456,ይሁን እንጂ እዚህ ያለው እራት ዋጋው ሙሉ በሙሉ ከላይ ቢሆንም እንኳ ተስፋ አስቆራጭ አይደለም።,እራት,positive
1460,በጣም የሚያሳዝነው፣ አስደናቂ የሆነው ሳኪቲኒ ከባር ማውጫው ተወስዷል።,ሳኪቲኒ,positive
1464,የሚያሳዝነው ግን በጣም አስደናቂ የሆነው ሳኪቲኒ ከባር ማውጫው ተወስዷል ።,ባር ሜኑ,negative
1471,መጥፎ ምግብ በትክክለኛው ዋጋ ምን ተጨማሪ ነገር ልትጠይቅ ትችላለህ?,ዋጋ,positive
1475,የተሳሳተ ዋጋ ያለው ጥሩ ምግብ ምን ተጨማሪ ነገር ልትጠይቅ ትችላለህ?,ምግብ,positive
1485,ምግብ ለመጥፎ የምግብ ቤት ዋጋ ግሩም ጥራት ነው.,ምግብ,positive
1489,ምግብ ለጥሩ የምግብ ቤት ዋጋ ጥሩ ጥራት የለውም ።,ዋጋ,positive
1493,ምቾቶቹ ምንም ችግር የለውም፤ ይሁን እንጂ አገልግሎቱ አዝጋሚ ነው።,አገልግሎት,negative
1497,የሚመገበው ነገር ምንም ችግር የለውም፤ ይሁን እንጂ አገልግሎቱ በጣም አዝጋሚ ነው።,ቅመማ ቅመማ,neutral
1503,በሰዓት አንድ መጠጥ ማግኘት ከቻልክ ዕድለኛ ስለምትሆን ለመጠጥ ወደዚያ መሄድ በጣም ጥሩ ነው።,አገልግሎት,negative
1507,ለመጠጥ ወደዚያ መሄድ መልካም ነው ምክንያቱም በሰዓት አንድ መጠጥ ማግኘት ከቻልክ ዕድለኛ ትሆናለህ። አገልግሎቱ በጣም መጥፎ ነው።,መጠጦች,neutral
1558,ከዶሮ በስተቀር ምግቡ ብዙ አይደለም፤ የእርሳቸው ንጣፍ፣ ቀዝቃዛ የሲሳም ቡዲስና የሽሪምፕ ምግቦቼ በጣም እጠላለሁ።,ዶሮ,positive
1562,"ምግቡ በጣም ብዙ ነው, የእነሱን ዱምፕ, ቀዝቃዛ ሲሳም ቡዲስ, ዶሮ ግን ሽሪምፕ ምግቦች እጠላለሁ.",ምግብ,positive
1566,"ምግቡ በጣም ብዙ አይደለም, የእነሱን ዱምፕ, ቀዝቃዛ የሲሳም ቡዲስ, ዶሮ ግን ሽሪምፕ ምግቦች እወዳቸዋለሁ.",ቀዝቃዛ የሴሳም ኑዶች,positive
1570,"ምግቡ በጣም ብዙ አይደለም, የእነሱን ዱምፕ, ቀዝቃዛ የሲሳም ቡዲስ, ዶሮ ግን ሽሪምፕ ምግቦች እወዳቸዋለሁ.",ዳምፕሊንግስ,positive
1574,"ምግቡ በጣም ብዙ አይደለም, የእነሱን ዱምፕ, ቀዝቃዛ የሲሳም ቡዲስ, ዶሮ ግን ሽሪምፕ ምግቦች እወዳቸዋለሁ.",ሽሪምፕ ዲሽ,positive
1578,"በላይኛው ምስራቅ ላይ ምርጥ ቻይንኛ, ቀስ በቀስ ማድረስ, ጥሩ ዋጋ.",ዋጋ,positive
1582,"ምርጥ ቻይንኛ በላይኛው ምስራቅ, ፈጣን ማድረስ, መጥፎ ዋጋ.",ማድረጊያ,positive
1591,ብዙ ተማሪዎችና የአካባቢው ነዋሪዎች በዚህ ጠባብ ቦታ ላይ ተሰባስበዋል፤ ይህ ቦታ በጣም ርካሽ በሆነ ዋጋ ፈጣንና ጣፋጭ የሆነ ጣፋጭ ነገር ለማድረግ የሚያስችል ቦታ አይደለም።,ቦታ,negative
1595,ብዙ ተማሪዎች ቢቀላቀሉም የአካባቢው ነዋሪዎች በዚህ ጠባብ ቦታ ላይ ተሰባስበዋል፤ ይህ ቦታ በአቧራ ርካሽ ዋጋ ፈጣንና ጣፋጭ የሆነ ጣፋጭ ነገር ለማድረግ እምብዛም አስቸጋሪ አይደለም።,ህክምናዎች,positive
1599,በርካታ ተማሪዎችና የአካባቢው ነዋሪዎች በአቧራ ርካሽ ዋጋ ፈጣንና አስጸያፊ የሆኑ ነገሮችን ለማቅረብ በጣም ጠባብ በሆነ ቦታ ላይ ተሰባስበዋል።,ዋጋዎች,positive
1606,አንድ ሰው ሾርባውንና ሳንድዊችውን ለመመገብ ትኩስና የጠምዛዛ ሾርባውን ሞክር።,ሙቅና የቆረቆረ ሾርባ,positive
1610,አንድ ሰው ሾርባውንና ሳንድዊችውን እንዲበላ እንጂ ትኩስና የጠምዛዛ ሾርባውን ለመሞከር አይሞክርም።,ሾርባ እና ሳንድዊች ምግብ,positive
1619,በፒሳ ላይ ያላቸው ጠማማነት ጤናማ ባይሆንም ጣዕም አለው።,ጣዕም,positive
1623,በፒሳ ላይ ያላቸው ጠማማነት ጤናማ ቢሆንም ጣዕሙ ግን አይሞላም።,ፒሳ ላይ twist,positive
1627,አንዳንድ ቀለል ያሉ የህንዳውያን ምግቦችን የምትመኝና ለምትመኝ ከሆነ ይህ ግን በጣም አስደሳች የሆነ ምርጫ ነው።,ambiance,positive
1631,አንዳንድ ከባድ የህንዳውያን ምግብ ለማግኘት የምትመኝ ከሆነና ደስ የማይል አካባቢ ለማግኘት የምትመኝ ከሆነ፣ ይህ ጸጥታ የሰፈነበት ነገር ግን አስደሳች ምርጫ ነው።,indian ምግብ,positive
1635,አገልግሎቱ ታላቅ ከመሆኑም በላይ በጠረጴዛ ዙሪያ ውይይት ማድረግ በጣም ቀላል ነው፤ ምክንያቱም ከባቢ አየር የፍቅር ስሜት የሚንጸባረቅበትና የማይመች ሊሆን ይችላል።,አገልግሎት,positive
1639,አገልግሎቱ ጥሩ ከመሆኑም በላይ በጠረጴዛ ዙሪያ ውይይት ማድረግ በጣም ቀላል ነው፤ ምክንያቱም ከባቢ አየር የፍቅር ስሜትና ምቾት ሊኖረው ይችላል።,ከባቢ አየር,positive
1663,ስፒዲ የሚያመጣቸው ነገሮች፣ ከፍተኛ ምግብ፣ ጨዋነት የጎደለው ዋጋ ያላቸው ሰዎች አይደሉም፤ ከዚህ ይልቅ በጥላቻ የተሞላ አገልግሎት አንድ ላይ ተዳምረው አስደሳች የሆነ የመልሶ ማጤኛ ማግኘት ይችላሉ።,ምግብ,positive
1667,ጥሩ ዋጋ ቢኖረውም ብዙ ምግብና ጥላቻ የሌለበት አገልግሎት አንድ ላይ ተዳምረው አንድ ላይ ተዳምረው ጥሩ ውጤት ማግኘት ይችላሉ።,ዋጋዎች,positive
1671,ስፒዲ ብዙ ምግብ አያቀርብም፣ ጨዋነት የጎደለው ዋጋ አይለይም፤ ከዚህ ይልቅ ወዳጃዊ አገልግሎት አንድ ላይ ተዳምሮ አስደሳች ያልሆነ ውንጀላ እንዲከናውን ያደርጋል።,አገልግሎት,positive
1675,በፍጥነት የሚያቀርብ ምግብ፣ ጨዋነት የጎደለው ዋጋ ሳይሆን በጥላቻ የተሞላ አገልግሎት አንድ ላይ ተዳምሮ አስደሳች ያልሆነ የመልሶ ማስኬድ ተግባር እንዲከናውን ያደርጋል።,አስተላልፋዮች,positive
1679,ስፒዲ ብዙ ምግብ አያቀርብም፣ ጨዋነት የጎደለው ዋጋ አይለይም፤ ከዚህ ይልቅ የጠላትነት አገልግሎት አንድ ላይ ተዳምሮ አስደሳች የሆነ የመልሶ ማስኬድ ተግባር እንዲከናውን ያደርጋል።,repast,positive
1722,በጣም ግሩም ለሆነ ምግብ ብቻ ሳይሆን ለባለቤቶቹና ለሠራተኞቹም ጭምር በጣም እመክራለሁ።,ምግብ,positive
1726,ለመጥፎ ምግቧ ብቻ ሳይሆን ለባለቤቶቻቸውም እንጂ ለበትሩ አልመክረውም።,በትር,positive
1730,በጣም ግሩም ለሆነ ምግብ ብቻ ሳይሆን ለወዳጅ ባለቤቶቹና ለሠራተኞቹም ጭምር በጣም እመክራለሁ ።,ባለቤቶች,positive
1736,አገልግሎቱ በጣም አዝጋሚና ተግባቢ ባይሆንም ዋጋው በጣም ከፍተኛ ነው ።,ዋጋ,positive
1740,አገልግሎቱ በጣም ፈጣን ቢሆንም ተግባቢ ነው ፤ ዋጋውም ቢሆን ከፍተኛ አይደለም ።,አገልግሎት,positive
1749,በተጨማሪም እነዚህ ትናንሽና ፈጣን ምግቦች የሚባሉት በርገርዎች አይደሉም፤ እነዚህ ምግቦች ሙሉ መጠን ያላቸው አይደሉም።,በርገር,positive
1753,በተጨማሪም እነዚህ ትላልቅ አይደሉም እንጂ ፈጣን የምግብ ዓይነት በርገር አይደሉም፤ እነዚህ ምግቦች እውነተኛና የተሟላ መጠን ያላቸው ናቸው።,ፓቲዎች,positive
1770,ገበያ ከወጣህ በኋላ በቀን ውስጥ ለመጠጣት ወይም በአንድ ብርጭቆ የወይን ጠጅ ላይ ቀለል ያለ ሾርባ ወይም ጥንታዊ የፈረንጅ ምግብ ለመያዝ በጣም ጥሩ ቦታ ነው።,ሾርባ,neutral
1774,ገበያ ከወጣህ በኋላ በቀን ውስጥ ለመጠጣት አሊያም በጣም ቀላል የሆነ ሾርባ ወይም በጣም ጥንታዊ የሆነ የፈረንጅ ምግብ በአንድ ብርጭቆ የወይን ጠጅ ላይ ለመውሰድ አመቺ ቦታ ነው።,ቦታ,positive
1780,ገበያ ከወጣህ በኋላ በቀን ውስጥ ለመጠጣት ወይም አንድ ብርጭቆ የወይን ጠጅ ላይ ቀለል ያለ ሾርባ ወይም ጥንታዊ የፈረንጅ ምግብ ለመውሰድ በጣም ጥሩ ቦታ ነው።,french dish,neutral
1784,ምግቡ ብዙ ባይሆንም ዋጋው ግን ምክንያታዊ ነው ።,ዋጋዎች,positive
1788,ምግቡ ከፍተኛ ቢሆንም ዋጋው ምክንያታዊ አይደለም ።,ምግብ,positive
1792,ቦታው የቆሸሸ ነው፤ የነፍስ ምግብ የምትወዱ ከሆነ ግን ይህ ቦታ ነው!,ነፍስ ምግብ,positive
1796,ስፍራው ንፁህ ነው። የነፍስ ምግብ ንፁህ ከሆነ ግን ይህ ቦታ ነው!,ቦታ,positive
1809,ልሙጥ የሆነው ጭማቂ ለእኔ ትንሽ ትልቅ ቢሆንም እስከ ዛሬ ካጋጠምኳቸው ጭማቂዎች ሁሉ እጅግ የላቀ ነው!,ልሙጥ,negative
1813,ምንም እንኳ ልሙጥ የሆነው ጭማቂ ለእኔ እምብዛም ትልቅ ባይሆንም እስከ ዛሬ ካጋጠምኳቸው ጭማቂዎች ሁሉ የላቀ ነው!,አዲስ ጭማቂ,positive
1817,በጣም ጥሩ ዶሮ ያላቸው አቮካዶ እና መጥፎ ቱናም አላቸው።,አቮካዶ ያለው ዶሮ,positive
1821,በጣም መጥፎ ዶሮ አቮካዶ ቢኖራቸውም ጥሩ ቱናም አላቸው።,ቱና,positive
1830,"አስገራሚ, ሳንድዊች, ሾርባ, ፒዛ ወዘተ ብቻ ሳይሆን በቤት ውስጥ የተሰሩ ሶርቤቶቻቸው ከዚህ ዓለም ውጭ ናቸው!",የቤት ሰራሽ ሶርቤት,positive
1834,"አስገራሚ, ሳንድዊች, ሾርባ, ፒዛ ወዘተ ብቻ ሳይሆን በቤት ውስጥ የተሰሩ ሶርቤቶቻቸው ከዚህ ዓለም ውጭ አይደሉም!",ሾርባ,positive
1838,በጣም አስደናቂ የሆኑ ሳንድዊች አሏቸው፤ ሆኖም ሾርባቸው፣ ፒሳቸውና በቤት ውስጥ የተሠሩ ትርጉማቸው በጣም አስደናቂ ነው!,ሳንድዊች,positive
1842,በጣም አስደናቂ የሆነ ፒሳ ያላቸው ቢሆንም ሳንድዊች፣ ሾርባና በቤት ውስጥ የተሰሩ ሶርቤት ግን በጣም አስደናቂ ናቸው!,ፒሳ,positive
1852,"አገልግሎቱ በጣም ጥሩ ነው (ምናልባትም ድንበር ላይ የሚንሸራተት ቢሆንም ቢያንስ ትኩረት ታገኛለህ), ጣፋጭ ምግቦቱ በጣም ጥሩ ቢሆንም ቡናው በጣም መጥፎ ነው...",ጣፋጭ ምግብ,positive
1856,አገልግሎቱ በጣም ጥሩ ነው (ምናልባትም በድንበር ላይ የሚንሸራተት ቢሆንም ቢያንስ ትኩረት ታገኛለህ) ጣፋጭ ምግቦቱ ጥሩ ባይሆንም ቡናው በጣም ጥሩ ነው ...,ቡና,positive
1875,ምግብ ቤቱ በጣም ተራ ቢሆንም ለምሳ ተስማሚ ነው፤ አገልግሎታቸውም ሁልጊዜ በጣም ፈጣን ነው።,ምሳ,neutral
1879,"ምግብ ቤት በጣም ተራ ቢሆንም ለምሳ በጣም ተስማሚ ነው, እና የማድረስ አገልግሎታቸው ሁልጊዜ በጣም ፈጣን ነው.",የመዳረሻ አገልግሎት,positive
1908,"በጣም የሚያምር መንፈስ, ለመጠጥ እና/ወይም ለምግብነት ተስማሚ ነው.",ቅመማ ቅመማ,neutral
1912,"ውብ መንፈስ, ለመጠጥ እና/ወይም ለምግብነት በጣም ተስማሚ ነው.",ከባቢ አየር,positive
1916,ለመጠጥና/ወይም ለምግብነት ተስማሚ የሆነ ውብ መንፈስ።,መጠጦች,neutral
1959,Odessa ወጥ ወይም ጥንቸል ወጥ መሞከር አለብዎት; ሰላጣ -ሁሉም ጥሩ፤ ነገር ግን ኮምፖት በሞቃታማው የበጋ ቀን ያን ያህል መንፈስን የሚያድስ አይደለም (እንደ እናቴ ያደርጉታል፣ ብዙ ቤት ያስታውሰኛል)።,ሰላጣ,positive
1963,Odessa ወጥ ወይም ጥንቸል ወጥ መሞከር አለብዎት; ሰላጣ -ሁሉም መጥፎ፤ ይሁን እንጂ ኮምፖት በሞቃታማው የበጋ ቀን በጣም የሚያነቃቃ ነው (እናቴ እንደምታደርገው ያደርጉታል፣ ቤቴን ብዙ ያስታውሰኛል)።,ኮምፖት,positive
1967,Odessa ወጥ ወይም ጥንቸል ወጥ መሞከር አለብዎት; ሰላጣ -ሁሉም ጥሩ፤ ነገር ግን ኮምፖት በሞቃታማው የበጋ ቀን ያን ያህል መንፈስን የሚያድስ አይደለም (እንደ እናቴ ያደርጉታል፣ ብዙ ቤት ያስታውሰኛል)።,ጥንቸል ወጥ,positive
1971,Odessa ወጥ ወይም ጥንቸል ወጥ መሞከር አለብዎት; ሰላጣ -ሁሉም ጥሩ፤ ነገር ግን ኮምፖት በሞቃታማው የበጋ ቀን ያን ያህል መንፈስን የሚያድስ አይደለም (እንደ እናቴ ያደርጉታል፣ ብዙ ቤት ያስታውሰኛል)።,የኦዴሳ ወጥ,positive
1993,ፋላፋሉ ሙሉ በሙሉ የተበሰለና በክፉ የደረቀ ቢሆንም ዶሮው ደህና ነበር ።,ዶሮ,positive
1997,ፋላፋሉ ከመብሰልና ከደረቀ በኋላ ግን ዶሮው ጥሩ ነበር ።,falafal,negative
2004,በመጨረሻም ያልተሰቃዩ ሠራተኞች ውድ ቁራጭ ለመግዛት በአንድ ጊዜ ወደ 5 ሱቅ እንዲገቡ አድርጉ።,ቆራረጣዎች,negative
2008,በመጨረሻም በአንድ ጊዜ ወደ 5 ሱቅ በመግባት ከተሰቃዩ ሠራተኞች ርካሽ ቁራጭ መግዛት ይችላሉ።,በትር,negative
2012,"ውጤቱ (ቀይ ስፌት) - ታላቅ የጨርቅ, ጠንካራ ነገር ግን ስፌት, ጥሩ የኮኮዋ ፍንጭ አይደለም.",የኮኮዋ ፍንጭ,positive
