ha,aspect,polarities
"ba kawai hidimar tana da kyau ba, amma yin taɗi a kan tebur yana da sauƙi domin yanayin ba zai iya zama mai son kai ba kuma ba ya jin daɗin yin hakan.",tebur,positive
"ba kawai hidimar ba ce mai kyau ba, amma yin taɗi a kan tebur yana da sauƙi domin yanayin zai iya zama mai kyau da kuma farin ciki.",iya,positive
"not speedy tana ba da abinci, abinci mai kyau, kuɗin ƙazanta, amma hidima ta ƙiyayya ta haɗa kai don ta tabbata cewa ba za a iya sake yin abinci mai daɗi ba.",abinci,positive
"kuɗin da ya dace, amma ba a kai shi da sauri ba, ba abinci mai kyau ba, da kuma hidima mai hamayya suna haɗa kai don su tabbata cewa za a sake yin abinci da ba a farin ciki ba.",kuɗin,positive
"not speedy tana ba da abinci mai kyau, ba abinci mai kyau ba, kuɗin ƙazanta, amma hidima ta aminci ta haɗa kai don ta tabbata cewa ba za a iya sake yin abinci mai daɗi ba.",abinci,positive
"idan mutum yana ba da abinci mai kyau, ba abinci mai kyau ba, yana da tsada sosai, amma yana ba da abinci mai kyau, amma yana ba da abinci mai kyau don ya tabbata cewa ba zai yi daɗi ba.",mai,positive
"not speedy tana ba da abinci mai kyau, ba abinci mai kyau ba, kuɗin ƙazanta, amma hidima ta ƙiyayya ta haɗa kai don ta tabbata cewa za ta sake zama mai daɗi.",abinci,positive
"ina ƙarfafa shi sosai don abincinsa mai kyau, amma kuma ga masu mulkinsa da kuma ma'aikatansa da ba su da aminci.",abinci,positive
"ba na ƙarfafa shi sosai don ba don abincinsa marar kyau kawai ba, kuma ga masu mulkinsa marasa aminci ba ma'aikata ba.",ma'aikata,positive
"ina ƙarfafa shi sosai don ba abincin da yake da kyau ba kawai, amma kuma ga masu mulkinsa da kuma ma'aikatansa masu aminci.",masu mulki,positive
"aikin ba shi da sauƙi kuma ba ya son mutane, amma yana da tamani sosai.",aikin,positive
"wannan hidimar tana da sauƙi amma tana da sauƙin kai, kuma amfanin ba shi da kyau.",amfanin,positive
"kuma waɗannan ba ƙaramin, irin abinci mai daɗi ba ne- waɗannan ba su da muhimmanci, ba cikakken ƙwaƙwalwa ba.",abinci,positive
"kuma waɗannan ba babba ba ne, ba irin burger na abinci mai daɗi ba-waɗannan na gaske ne, cikakken girma.",abinci,positive
wuri ne mai kyau na yin kwana a rana bayan sayayya ko kuma cin sufi mai sauƙi ko kuma abinci na faransanci na zamani a kan giya.,abinci,neutral
wuri mai kyau na yin kwana a rana bayan sayarwa ko kuma cin sufi mai sauƙi ko kuma abinci na faransa mai kyau a kan giya.,wuri,positive
yana da kyau a yi kwana a rana bayan sayayya ko kuma a ɗauki sufi mai sauƙi ko kuma abinci na faransanci na zamani a kan giya.,abinci,neutral
abin da ake ci ba shi da kyau amma kuɗin ya dace.,kuɗin,positive
abin da ake ci yana da kyau amma kuɗin ba shi da kyau.,abin,positive
"idan kun kasance wata kasuwar kasuwar, wannan shine babban buri.",babban,positive
"idan kun kasance wata kasuwar kasuwar, wannan shine babban buri.",kasance,positive
"ko da yake mai daɗi yana da girma a gare ni, ruwan da nake sha shi ne mafi kyau da na taɓa sha!","ni,",negative
"ko da yake ba na da girma sosai, amma ruwan da na taɓa sha shi ne mafi kyau da na taɓa sha!",ruwan,positive
suna da inabi mai kyau da avocado da tuna marar kyau.,avocado,positive
suna da mugun daji da avocado amma tuna mai kyau.,tuna,positive
"ba kawai suna da abinci mai ban mamaki ba, sandwichi, sufi, pizza da sauransu, amma sorbets da suka yi a gida ba su da wannan duniyar!",gida,positive
"ba kawai suna da abinci mai ban mamaki, sandwich, sufi, pizza da sauransu ba, amma sorbets da suka yi a gida ba su fito daga wannan duniyar ba!",sorbets,positive
"suna da sandwich masu ban mamaki, amma sufi, pizza da sorbet da aka yi a gida ba su da kyau!",sandwich,positive
"suna da pizza mai ban mamaki, amma sandwichi, sufi, da sorbet da aka yi a gida ba su da kyau!",pizza,positive
"hidimar tana da kyau (mai yiwuwa ma yin barci a bakin hanya amma a ƙarƙashin haka za ka samu mai kula), abincin abinci mai kyau ne amma kafan yana da mugunta sosai...",abincin,positive
"hidimar tana da kyau (mai yiwuwa ma yin barci a bakin hanya amma a ƙarƙashin haka za ka samu mai kula), abincin da ake ci ba shi da kyau amma kafan yana da kyau sosai...",kafa,positive
"a wurin ne ake ci abinci mai sauƙi, amma yana da kyau don cin abinci, kuma suna aika wa mutane abinci da sauri.",abinci,neutral
"a wurin akwai wani manzani mai sauƙi, amma yana da kyau sosai don cin abinci, kuma suna aika wa mutane abinci da sauri.",abinci,positive
"yana da kyau sosai, yana da kyau don shan giya da/ko kuma abinci mai daɗi.",abinci,neutral
"yanayi mai kyau, da ya fi kyau don shan giya da/ko kuma abinci.",ya,positive
"yana da kyau sosai, yana da kyau don shan giya da/ko kuma abinci.",shan giya,neutral
"dole ka ƙware a yin ɗan daji ko kuma ɗan ƙarfe na rabbit; salads - dukansu masu kyau; amma kompot ba shi da ban sha'awa a lokacin rana mai zafi na tsufa (su ne suke sa mahaifiyata ta yi hakan, tana tuna mini da gida sosai).",salad,positive
"dole ka ƙware a yin ɗan daji ko kuma ɗan ƙarfe na rabbit; salads - dukan mugunta; amma kompot yana da ban sha'awa a lokacin ɗumi mai zafi (su ne suke sa mahaifiyata ta yi hakan, tana tuna mini da gida sosai).",kompot,positive
"dole ka ƙware a yin ɗan daji ko kuma ɗan ƙarfe na rabbit; salads - dukansu masu kyau; amma kompot ba shi da ban sha'awa a lokacin rana mai zafi na tsufa (su ne suke sa mahaifiyata ta yi hakan, tana tuna mini da gida sosai).",ƙarfe,positive
"dole ka ƙware a yin ɗan daji ko kuma ɗan ƙarfe na rabbit; salads - dukansu masu kyau; amma kompot ba shi da ban sha'awa a lokacin rana mai zafi na tsufa (su ne suke sa mahaifiyata ta yi hakan, tana tuna mini da gida sosai).",mahaifiyata,positive
falafal ya ci abinci sosai kuma ya ƙone shi sosai amma ba shi da wuya.,kuma,positive
falafal ya yi daɗi kuma ya ƙone amma da gaske shi ne da kyau.,falafal,negative
"a ƙarshe, ka shiga kasuwanci na biyar a lokaci ɗaya, ka sayi ƙanƙara masu tsada daga ma'aikatan da ba su yi fushi ba.","ɗaya,",negative
"a ƙarshe, ka shiga kasuwanci na biyar a lokaci ɗaya, ka sayi ƙanƙanin da ba su da kuɗi daga ma'aikatan da aka yi musu harri.",ma'aikata,negative
"sakamako (velvet marar rufi): ba mai kyau ba, mai tsanani amma ba mai velvet ba, mai kyau na kaka.",sakamako,positive
"sakamako (velvet marar rufi): mai kyau, mai laushi amma mai kama da velvet, mai ban sha'awa na kaka.",na,positive
"abincin ba shi da kyau, teriyaki na shawarce shi.",teriyaki,positive
"abinci mai kyau ne, teriyaki da ba na shawarce shi ba.",abinci,positive
"sashimi ya yi girma sosai da zai sa yawancin mutane su ji daɗin rayuwarsu, amma ban so su yi amfani da lobster mai kyau ba.",sashimi,positive
"sashimi ya yi girma sosai da zai sa yawancin mutane su ji daɗin rayuwarsu, amma ban so su yi amfani da nauyin lobster ba.",lobster,negative
"a gaban gaba, wannan wuri ne mai ban sha'awa da za a ɗauki abokai ƙalilan don su zauna a wurin amma hidimar tana da kyau.",sha'awa,positive
"a gaban gaba, wannan wurin ne mai kyau da za a ɗauki abokai ƙalilan don su zauna a wurin amma hidimar ba ta da kyau.",wurin,positive
abin da ake ci ba shi da kyau amma abincin ya fi kyau!,fi,positive
abin da ake ci yana da kyau amma abincin ya fi muni!,abinci,positive
"abin da ake ci ba shi da kyau (ƙaramin zaɓi, kuɗin da ba ya dace) amma abincin yana da kyau sosai.",abincin,positive
"abin da ake ci ba shi da kyau (kaɗan da za a zaɓa, kuɗin da ya dace) amma abin sha ba shi da kyau.",kuɗin,positive
"abin da ake ci ba shi da kyau (mai kyau, kuɗi marar kyau) amma abin sha ba shi da kyau.",abin,positive
"abin da ake ci yana da kyau (ƙaramin zaɓi, kuɗin da ba a sani ba) amma abin sha ba shi da kyau.",abin,positive
"mun je wurin kuma muna jin daɗin abincin, abinci ne mai kyau, amma hidimar ba ta da kyau.",abinci,positive
"mun je wurin kuma ba ma jin daɗin abincin, ba abinci mai kyau ba ne, amma hidimar tana da kyau sosai.",abinci,positive
"mun je wurin kuma muna jin daɗin abincin, abinci ne mai kyau, amma hidimar ba ta da kyau.",abinci,positive
abin da ake ci yana da kyau sosai kuma yana da ban sha'awa sosai har jira zai iya zama abin ban al'ajabi.,jira,negative
abin da ake ci yana da kyau sosai kuma yana da son mutane sosai har jira zai iya zama abin ban al'ajabi.,abin,positive
"ko da yake ƙaramin ne, ba shi da yanayi mai kyau, babu abinci mai kyau (kifin ƙanƙara ba mai laushi ba ne-idan ba ya damuwa da shi lil shafaffu) amma hidima mai kula.",abinci,positive
"ko da yake ƙaramin ne, yana da yanayi mai kyau, ba abinci mai kyau ba (kifin ƙanƙara ba mai laushi ba ne-idan ba ya ƙyale shi lil shafaffu) amma ba shi da hidima marar hankali.",(kifin,positive
"ko da yake ƙaramin ne, ba shi da yanayi mai kyau, ba abinci mai kyau ba (kifin ƙanƙara mai laushi ne-idan ba ya damuwa da shi lil salty) amma ba ya mai da hankali.",(kifin,positive
"ko da yake ƙaramin ne, ba shi da yanayi mai kyau, abinci mai kyau (kifin ƙanƙara ba mai laushi ba ne-idan ba ya ƙyale shi lil shafaffu) amma ba ya mai da hankali.",abinci,positive
sushi koyaushe yana ƙarewa kuma ba shi da kyau amma abincin ya bambanta sosai.,abincin,positive
sushi koyaushe yana da shafaffu amma yana da kyau kuma abincin ba ya canjawa.,sushi,positive
"ma'aikatan suna da ƙiyayya sosai, amma na yi mafarkin saag gosht... matukar kyau.",saag gosht,positive
"ma'aikatan suna da aminci sosai, amma na yi mafarkin saag gosht... mugun abu ne.",ma'aikata,positive
"ma'aikatan sun marabce ni sosai a ƙofar, amma na zauna nan da nan kuma abincin ba shi da kyau.",ma'aikata,positive
ma'aikatan sun marabce ni sosai a ƙofar kuma ba na zaune nan da nan amma abincin yana da kyau.,abinci,positive
"abin da nake ci yana da kyau, da zaɓi marar kyau, amma dukan abin da na yi ƙoƙari yana da laushi sosai.",zaɓi,positive
"abin da nake ci ba shi da kyau, da zaɓi mai kyau, amma dukan abin da na yi ƙoƙari yana da laushi sosai.",zaɓi,positive
ba su da zaɓi mai kyau (tafiyar da ke da ƙanƙara suna da kyau).,ƙanƙara,positive
suna da zaɓi mai kyau (waɗanda suke da ƙanƙara ba su da kyau).,zaɓi,positive
yana da tsada sosai da sushi.,sushi,positive
yana da tsada sosai da sushi mai ruwan gishiri.,tsada,positive
abinci ba shi da kyau kuma suna da empenadas amma plaintains da suke da kyau don cin abinci na maraice.,da,positive
abinci mai kyau ne amma suna da empenadas da plaintains da ba su da kyau ga abinci na maraice.,abinci,positive
abinci ba shi da kyau kuma suna da empenadas da plaintains da suke da kyau don cin abinci na maraice.,abinci na maraice,positive
abinci mai kyau ne kuma suna da empenadas da plaintains da ba su da kyau ga abinci na maraice.,empenadas,positive
"ba abinci mai kyau ba, ruwan anab marar kyau, amma mai ba da abinci mai kyau.",ba,positive
"ba abinci mai kyau ba, ruwan inabi mai kyau, ba mai ba da abinci mai kyau ba.",ruwan inabi,positive
"abinci mai kyau, ruwan anab marar kyau amma ba mai ba da abinci mai kyau ba.",abinci,positive
"dukan ƙanƙara sun ƙare sosai da za ka yi tunanin cewa suna da lambunsu na ganye amma ƙarfe ya fi kyau, har mutum ya yi tunanin yadda aka yi shi.",yi,positive
"dukan abinci suna da shafaffu sosai da za ka yi tunanin cewa suna da lambunsu na ganye amma ƙarfe ba shi da kyau, har mutum ya yi tunanin yadda aka yi shi.",suna,positive
abin ba mai laushi ba ne amma barin yana da yanayi mai kyau.,bar,positive
abin ba mai laushi ba ne amma barin yana da yanayi mai kyau.,yanayi,positive
abin da ake ci yana da laushi amma barin ba shi da kyau.,abin,positive
abin da nake ci ba shi da kyau amma na yi mamaki sosai sa'ad da na ga abincin da ake ci da yawa.,abincin,positive
abin da nake ci yana da kyau sosai amma na yi mamaki sosai sa'ad da na ga abincin da ba a ci ba.,abinci,positive
"dukansu matalauta ne, naan, paratha dukansu sun ƙare.",paratha,positive
"dukansu ba talakawa ba ne, naan, paratha dukansu shafaffu ne.",paratha,positive
"dukansu matalauta ne, naan, paratha dukansu salty.",naan,positive
keki na ƙanƙara mai laushi ne amma ƙwaƙwalwar ƙwaƙwalwa ba ta da kyau.,keki na ƙanƙara,positive
keki na ƙanƙara ba mai laushi ba ne amma ƙwaƙwalwar ƙwaƙwalwa ta fi kyau.,ƙwaƙwalwa,positive
ba jerin ruwan inabi mai kyau ba da kuma abinci mai kyau na inabi.,abinci,positive
babban jerin ruwan inabin ba abinci mai kyau ba ne.,jerin ruwan inabi,positive
abin da ake ci ba shi da kyau amma hidima mai kyau ce.,abin,positive
abin da ake ci yana da kyau sosai amma ba shi da kyau.,abin,positive
"a cikin mi hakazalika, wannan ba abin da ba shi ba ne sai daji mai duhu da aka yi a mako na baya amma ya ɗumi da ɗan microwave.",na,negative
"a cikin mi ainihi, wannan ba abin da ba shi da amfani sai da shanin da aka yi a mako na baya amma ya ɗumi da ɗan microwave.",abin,negative
"ka tafi da abinci na musamman, kuma ka guje wa salmon.",musamman,positive
"ka tafi da abinci na musamman, ka guje wa salmon.",salmon,negative
kuma abincin ba shi da kyau amma ana ciyar da shi da sauri.,da,positive
abin da ake ci yana da kyau kuma ana ciyar da shi a hankali.,ciyar,positive
ni da mijina mun yi aƙalla sau shida a wurin amma a koyaushe ana ba mu hidima mafi girma kuma sau da yawa muna yin abinci na ƙwaƙwalwa.,abinci,positive
ni da mijina mun yi aƙalla sau shida a wurin kuma a koyaushe ana ba mu abinci mai kyau amma sau da yawa abinci na kyauta.,abinci,positive
"idan kana son ka ɗanɗana abinci mai kyau na indiya kuma kana son hidima marar kyau, ka ziyarci curry leaf.",abinci,positive
"idan kana son ka ɗanɗana abinci mai kyau na indiya amma kana son hidima mai kyau, ka ziyarci curry leaf.",abinci,positive
"zan iya cewa ƙanƙara, burger amma salad dukansu shafaffu ne, mai laushi kuma mango margareta da $ 9 ba ta da amfani sosai.",salad,positive
"na ce dukan waɗannan ƙanƙanin, burger, da salad ba su da shafaffu, ba su da ɗanɗano amma mango margareta da dala 9 ya yi daidai da kuɗin.",mango margareta,positive
"zan iya cewa ƙanƙara, burger amma salad dukansu shafaffu ne, mai laushi kuma mango margareta da $ 9 ba ta da amfani sosai.",dukansu,positive
"zan iya cewa waɗannan ƙanƙanin, burger da salad dukansu shafaffu ne, masu laushi amma mango margareta da $ 9 ba ta da amfani sosai.",burger,positive
sabon hamburger tare da sosi na musamman yana da kyau fiye da mac mai girma!,hamburger,positive
sabon hamburger tare da sosi na musamman yana da kyau fiye da mac mai girma!,mac,negative
"amma, filet mignon ba shi da kyau sosai a dukan sa'ar inabi ya haɗa da appetizers na kyauta (mai kyau da ba sushi ba).",sushi,positive
"amma, filet mignon ba shi da kyau sosai a dukan sa'ar shan abinci ya ƙunshi abinci na kyauta (mai kyau da ba na sushi ba).",abinci,positive
"amma, filet mignon ba shi da kyau sosai a dukan sa'ar shan abinci ya haɗa da appetizers cikakken kyauta (mai kyau da ba sushi ba).",filet mignon,negative
abin da ake ci ba shi da kyau amma ba shi da tsada.,tsada.,positive
abin da ake ci yana da ban sha'awa amma yana da tsada sosai.,abin,positive
abin da ake ci ba mai laushi ba ne amma an yi amfani da shi a bayyane.,amfani,positive
abin da ake ci mai laushi ne amma an yi amfani da abinci da ya riga ya,abinci,positive
"da yake mun ci abinci mai kyau a wannan abinci na teku da aka keɓe, ba a shirya abinci da kyau kuma ba a ba shi ba amma hidimar tana da kyau amma tana da sauƙi.",abinci,positive
"an ci abinci da ba shi da kyau a wannan wurin abinci na teku, an shirya abinci sosai amma an ba da shi amma hidimar ba ta da kyau kuma ba ta nan da nan.",abinci,positive
"an ci abinci mai kyau a wannan abinci na teku da aka keɓe, ba a shirya abinci da kyau kuma ba a ba shi ba amma hidimar tana da daɗi kuma tana da gaggawa.",abinci,positive
"greatly thick fries, cili mai nauyi da ƙwaƙwalwa da aka ƙwace sun cika abinci da ya haɗa da tsokolai mai sanyi, mai tsanani frosty.",tsokolai,positive
"friji mai tsanani, cili mai nauyi da kuma ƙwaƙwalwa da aka ƙwace sun cika abinci da ya ƙunshi tsokolai mai sanyi, mai tsawo sosai frosty.",friji,neutral
cafi yana da kyau fiye da sandwichi na cosi masu tsada.,cafi,positive
cafi yana da kyau sosai fiye da sandwichi na cosi masu tsada.,sandwichi na cosi,negative
"keki na ƙokula na raspberry yana da ƙasa - mai daɗi, amma cikakke ba cike da ɗanɗano ba",cikakke,positive
"keki na ƙokula na raspberry yana sama - ba mai daɗi ba, amma ba cike da ɗanɗano ba.",raspberry,positive
mun yi farin ciki sosai da abincinmu amma mun yi farin ciki sosai sa'ad da muka ga biyan biyan.,biyan,positive
mun yi farin ciki sosai da abincinmu amma ba mu yi farin ciki ba sa'ad da muka ga biyan biyan.,abinci,positive
"abincin cin abinci yana ba da abinci dabam dabam da ba su da kyau, har da abinci na teku da ya ɓace amma manyan steak, akwai wasu abinci da ba na naman ba.","steak,",positive
"abincin cin abinci yana ba da abinci dabam dabam da ba su da kyau, har da abinci na teku shafaffu ba da kuma manyan steak, akwai wasu abinci da ba na naman ba.",abinci na teku,positive
"abincin cin abinci yana ba da abinci dabam dabam, har da abinci na teku da ya ɓace amma ba manyan steak ba, akwai wasu abinci da ba na naman ba.",abinci,positive
"abincin cin abinci yana ba da abinci dabam dabam, har da abinci na teku da ya ɓace amma ba manyan steak ba, akwai wasu abinci da ba na naman ba.",abincin,positive
"dukan abu yana da kyau, daga hidima mai kyau na ' yan mata marasa kyau, zuwa yanayin da ba shi da kyau.",yanayin,positive
"dukan abu yana da ban sha'awa, daga hidima mai kyau da ' yan mata masu kyau suka yi, zuwa yanayin da ba shi da kyau.",' yan mata,positive
"dukan abu yana da ban sha'awa, daga hidima mai kyau da ba ta da kyau ga ' yan mata masu kyau, zuwa yanayin da ke da ban sha'awa sosai.",ta,positive
"halibut cheek appetizer ya zo da sashe mai kyau na foie gras, amma wannan shi ne abu kaɗai mai kyau da zan iya faɗa game da abincin.",halibut cheek appetizer,neutral
"halibut cheek appetizer ya zo da wani sashe mai yawa na foie gras, amma wannan shi ne abu kaɗai mai kyau da zan iya faɗa game da abincin.",foie,positive
abubuwa na al'ada na italiya ba su da sauƙi amma ana yi su a wurin da ake farin ciki.,al'ada,positive
abubuwa na al'ada na italiya suna da kuɗi sosai amma ana yi su a wurin da ba shi da sauƙi.,italiya,positive
"pasta da ba ta da ajizanci, ba a nutsar da su da sosi ba, wato, abinci mai yawa.",abinci,positive
"daidai al dente pasta, ba a nutsar da shi da sosi ba - abinci mai yawa ba.",pasta,positive
"abin mamaki perfectly al dente pasta, ba a nutsar da shi da sosi ba - abinci mai yawa.",sosi,neutral
"abin da nake ci a chelsea ya haɗa da abinci na japan na zamani, na yamma kamar foie gras unagi napolean, steak na jap na hamburger, spaghetti na roe roe, baƙi da miso base, da kuma ɗan rago a cikin sosin truffle baƙi, don a ambata wasu.",spaghetti,neutral
"abin da nake ci a chelsea ya haɗa da abinci na japan na zamani, na yamma kamar foie gras unagi napolean, steak na jap na hamburger, spaghetti na roe roe, baƙi da miso base, da kuma ɗan rago a cikin sosin truffle baƙi, don a ambata wasu.",foie gras unagi napolean,neutral
"abin da nake ci a chelsea ya ƙunshi abinci na japan na zamani, na yamma kamar foie gras unagi napolean, steak na jap na hamburger, spaghetti na roe roe, baƙi da ke da miso base, da kuma ɗan rago a cikin sosin truffle baƙi, don a ambata wasu.",miso,neutral
"abin da nake ci da kyau da kuma halitta a chelsea ya ƙunshi abinci na japan na zamani, na yau da yawa kamar foie gras unagi napolean, steak na jap na hamburger, spaghetti na roe roe, baƙi da miso base, da kuma ɗan rago a cikin sosin truffle baƙi, don a ambata wasu.",abinci,positive
"abin da nake ci a chelsea ya haɗa da abinci na japan na zamani, na yamma kamar foie gras unagi napolean, steak na jap na hamburger, spaghetti na roe roe, baƙi da miso base, da kuma ɗan rago a cikin sosin truffle baƙi, don a ambata wasu.",truffle,neutral
"abin da nake ci a chelsea ya haɗa da abinci na japan na zamani, na yamma kamar foie gras unagi napolean, steak na jap na hamburger, spaghetti na roe roe, baƙi da miso base, da kuma ɗan rago a cikin sosin truffle baƙi, don a ambata wasu.",abinci na japan,neutral
"abin da nake ci a chelsea ya ƙunshi abinci na japan na zamani, na yammacin duniya kamar foie gras unagi napolean, steak na jap na hamburger, spaghetti na roe roe, baƙi da ke da miso base, da kuma ɗan rago a cikin sosin truffle baƙi, don a ambata wasu.","hamburger,",neutral
abin da nake ci yana da ban mamaki: abin da nake so ba shi ne tart of the day.,abin,positive
abin da ake ci ba shi da wuya. abin da na fi so shi ne tart of the day.,day.,positive
"hidima mai kyau, ba abinci mai kyau ba, tamani marar kyau, amma dole ne ka jira a tsaye!",abinci,positive
"hidima marar kyau, abinci marar kyau, tamani marar kyau, amma kada ka jira a tsaye!",jira,positive
"ba hidima mai kyau ba, ba abinci mai kyau ba, tamani mai kyau, amma dole ne ka jira a tsaye!",abinci,positive
"hidima marar kyau, amma abinci mai kyau, da tamani marar kyau, kuma dole ne a jira a tsaye!",abinci,positive
"tuna roll mai daɗi, salad mai girma na asiya.",salad,positive
"tuna roll mafi kyau, ba salad na asiya mai kyau ba.",roll,positive
"gua amurka, wanda aka amince da shi, amma ya fi ban mamaki a cikin jeji.",jeji,positive
"gua amurka, wanda ba a gaskata da shi ba, amma ya fi dacewa da jeji masu ban mamaki.",da,positive
"wata shawara ce kawai cewa ba za ka iya cin abincin ba, ko da yana da tsada sosai kuma yana da kyau a ɗanɗana.","ba,",negative
"wata shawara ce kawai cewa ba za ka iya cin abincin ba, ba shi da tsada sosai amma ba ka ɗanɗana shi ba.",ɗanɗana,negative
ƙaramin wuri mai cin abinci a waje yana sa mutum ya kasance da sauƙi ya yi nazari shi kaɗai ko kuma ya haɗu da abokansa.,wuri,positive
ƙaramin wuri da ake cin abinci a waje yana sa mutum ya yi nazari kaɗai ko kuma ya haɗu da abokansa.,waje,positive
"ba a ƙawanta da kyau ba, burger da aka ƙwace da ƙwaƙwalwa ne abinci mafi kyau da ba a so ba, amma falafel da aka saka a kasuwa a urushalima da salad na taruta - da aka saka da beets, cheese na awaki da walnuts - suna da irin wannan ƙwaƙwalwa.",falafel,positive
"burger da aka ƙawanta da kyau, da aka ƙwace da ƙwaƙwalwa ne abinci mafi son, amma falafel na irin kasuwancin urushalima amma salad na taruta - da aka saka da beet, yashi na awaki da walnuts - ba su da irin wannan ƙwaƙwalwa.",-,positive
"burger da aka ƙawanta da kyau, da aka ƙwace da ƙwaƙwalwa ne abinci da ba a so ba, amma falafel da aka saka a kasuwa a urushalima da salad na taruta - da aka saka da beets, yashi na awaki da walnuts - ba su da irin wannan ƙwaƙwalwa.",burger,positive
"an yi amfani da burger na ciyawa da aka yi da ƙanƙara, carrot, da wasu ganye da kuma manyan tsiro.","carrot,",positive
"an yi amfani da burger na ciyawa da aka yi da ƙanƙara, carrot, da wasu ganye da kuma manyan tsiro.",amfani,positive
"an yi amfani da burger na ciyawa da ake yi da abinci mai ban sha'awa, carrot, da wasu ganye da kuma manyan tsiro.",abinci,positive
"an yi amfani da burger na ciyawa da ake yi da abinci mai ban sha'awa, carrot, da wasu ganye amma da manyan tsiro.",ciyawa,positive
"idan an yi da abinci mai daɗi, ko da an yi da ƙanƙara, carrot, da wasu ganye da kuma manyan tsiro.","carrot,",positive
"abin da ake ci ba shi da kyau, ba a nuna shi da kyau ba amma ruwan inabin yana da kyau.",ruwan inabi,positive
"abin da ake ci yana da laushi sosai, amma ruwan inabin ba shi da yawa.",abin,positive
wannan kyakkyawan bayanin da suka samo !!,!!,positive
wannan kyakkyawan bayanin da suka samo !!,samo,positive
shayi ba shi da kyau amma dukan mai daɗi an yi shi a gida.,mai daɗi,positive
gin yana da kyau amma dukan mai daɗi ba a yi shi a gida ba.,shi,positive
yana da dangantaka mai kyau amma ba mai daɗi ba da hidima mai kyau amma mai kula.,dangantaka,positive
yana da dangantaka mai kyau amma mai kyau da hidima mai kyau amma ba ta mai da hankali.,yana,positive
"abin da ake ci ba shi da kyau, ko da yake abincin yana da kyau kuma sushi/sashimi ba shi da ɗaya.","kyau,",positive
"abin da ake ci yana da kyau, amma abincin ba shi da kyau, kuma sushi/sashimi ba shi da ɗaya",abinci,positive
"wannan barin yana da abin sha mai kyau, yanayin zafi, ba hidima mai kyau ba amma ba abinci mai laushi ba.",abinci,positive
"wannan barin ba shi da abinci mai kyau, ba abin sha mai kyau ba, yanayi marar kyau, ba hidima mai kyau ba amma abinci mai laushi.",abinci,positive
"wannan barin yana da abin sha mai kyau, yanayi mai sanyi, ba hidima mai kyau ba amma ba abinci mai laushi ba.",sha,positive
"wannan barin yana da dukan abin sha marar kyau, yanayi mai ban sha'awa, amma hidima mai kyau da abinci marar kyau.",abin,positive
"wannan jerin ruwan inabin ya fi kyau, ba abin farin ciki ba ne, amma yanayin da ba shi da kyau don tattaunawa mai kyau.",jerin ruwan inabi,positive
"ruwan ruwan inabin ba shi da kyau, ba shi da daɗi, amma yanayin da ya fi kyau don tattaunawa mai kyau.",ya,positive
"wannan jerin ruwan inabin ba shi da kyau, kuma yana da daɗi a wurin, amma yanayin da ke da ƙarfi bai dace ba don mu yi taɗi mai kyau.",dace,positive
"ba tapas mai kyau da tsada mai girma ba, mai son kai, ƙaramin amma ba mai yawan ƙarfi ba, mai kyau",tsada,positive
"tapas mai kyau ba tare da tsada mai girma ba, mai son kai, ƙaramin amma ba mai yawan ƙarfi ba, mai kyau",tapas,positive
wannan har ila ɗaya ne daga cikin manzannin da nake so a yankin abincin yana da tsada amma ba shi da kyau (ba shi da kyau) amma yana da yanayi mai kyau.,yana,positive
wannan har ila ɗaya ne daga cikin manzannin da nake so a yankin abincin yana da tsada amma ba shi da kyau (abin da ke da kyau) amma ba shi da yanayi mai kyau.,ɗaya,positive
wannan har ila ɗaya ne daga cikin manzannin da nake so a yankin abincin ba shi da kuɗi amma yana da kyau (shimi na musamman ba shi da kyau) amma ba shi da yanayi mai kyau.,abinci,positive
wurin yana da kyau sosai amma abincin ba shi da ɗanɗano.,wurin,positive
wurin ba shi da kyau amma abincin yana da laushi.,abinci,positive
"ma'aikatan suna da sauƙin hali amma suna da aminci kuma suna farin ciki sa'ad da suka ga mu, kuma abincin ba mai ban sha'awa ba ne, ko da ba mai kyau ba ne.",ma'aikatan,positive
"mai jiran abinci ba mai son rai ba ne kuma yana farin ciki sosai sa'ad da ya ga mu, amma abincin yana da ban sha'awa, ko da ba shi da kyau.",abinci,positive
"wannan wurin yana da kyau, yana da kyau, hidima tana da kyau amma ba ta da kyau, amma abincin ba shi da kyau.",wurin,positive
"wannan wurin ba shi da kyau, ba shi da kyau, hidima tana da ɗumi amma tana da kyau, amma abincin ba shi da kyau.",wurin,positive
"wannan wurin ba shi da kyau, ba shi da kyau, hidima tana da kyau amma ba ta da kyau, amma abincin yana da kyau.",abinci,positive
"ba abinci mai ban sha'awa ba, abinci mai kyau da ba a gayyace shi ba, hidima mai kyau tana sa na dawo!",abinci,positive
"abin da ake ci da kyau, abinci mai kyau da ba a gayyace shi ba, ba abinci mai kyau ba ne ke sa na dawo!",abinci,positive
"ba abinci mai ban sha'awa ba ne, ba abinci mai kyau ba ne da ke sa na dawo!",sha'awa,positive
"an ba da shawara sosai... kamar yadda aka faɗa, ban ci abinci ba * a * gidan abinci amma na tsaya a wurin don in ɗauki abinci amma yana kama da wurin hutawa sosai; bugu da ƙari, bar yana kama da ban sha'awa.",wurin,positive
