,st,aspect,polarities
1256,"Ntle le lintja tse mpe tse chesang, DOTP e na le li-sandwich tse ntle tsa lijo tsa hoseng tse hlahisang, lintho tse mpe joalo ka li-tator le li-muffin tsa Senyesemane, le sehlahisoa se mpe sa nama ea kolobe ea NJ.",Li-sandwich tsa lijo tsa hoseng,positive
1277,"Ho leta ha rona ho ne ho se monate empa ho se monate, lijo li ne li sa phethahala, empa veine e ne e le ntle.",Veine ea veine,positive
1281,"Ho leta ha rona ho ne ho le molemo empa e le monate, lijo li ne li sa phethahala, empa veine e ne e le mpe.",Leta Leta,positive
1285,"Re ne re sa khone ho e etsa empa e sa khahne, empa lijo li ne li le monate, empa veine e ne e le mpe.",Lijo tsa lijo,positive
1289,"Lijo ha lia ka tsa hlaha, empa ts'ebeletso e ne e le holimo.",Tšebeletso ea tšebeletso,positive
1293,"Lijo li ne li le ntle haholo, empa ts'ebeletso ha ea ka ea e-ba teng.",Lijo tsa lijo,positive
1336,Ha ho pelaelo hore China e na le boleng bo bobe ka theko e tlase.,Litheko tsa litheko,positive
1340,Ha ho pelaelo hore China e na le boleng bo betere ntle le litheko tse theko e tlaase.,Boleng ba boleng,positive
1376,"Risotto ea ka e ne e chesoa, empa e kenngoa ka tatso e sa chesoang.",Risotto ea meroho,negative
1380,"Risotto ea ka e ne e sa chesoa, empa e kenngoa ka tatso ea secheso.",Flavor ea,negative
1408,Tšebeletso e ne e le e tšabehang haholo hobane basebetsi ba ne ba sa imetsoe ka Moqebelo bosiu.,Ts'ebeletso,negative
1412,Tšebeletso e ne e le ntle haholo hobane basebetsi ba ne ba imetsoe ka Moqebelo bosiu.,Basebetsi ba Basebetsi,negative
1422,"Hase feela sushi e sa tsoa ncha, ba ile ba sebeletsa li-entrees tse ling li ile tsa lumella moeti ntho e 'ngoe le e' ngoe eo re ka e khethang ho eona empa kaofela ha rona re tlohetse thabo (leka letata!",Duck Ho,positive
1428,"Ha se feela sushi e ncha, ba ile ba sebeletsa li-entrees tse ling li ile tsa lumella moeti ntho e 'ngoe le e' ngoe eo re ka e khethang ho eona empa kaofela ha rona re tlohetse thabo (re sa leke letata!",Sushi Ho,positive
1432,"Tšebeletso e ne e le kapele haholo empa likarolo li nyane kahoo haeba u lapile 'me ka potlako, sena ha se sebaka sa hau.",Likarolo tsa likarolo,negative
1436,"Tšebeletso e ne e lieha hanyane empa likarolo li le kholo haholo kahoo haeba u lapile 'me ka potlako, sena ha se sebaka sa hau.",Tšebeletso ea tšebeletso,negative
1440,"Ha se lijo tse ntle, lino tse kholo, sepakapaka se setle sa ho jella.",Lino Lino,positive
1444,"Ha se lijo tse kholo, eseng lino tse kholo, sepakapaka se setle sa ho jella.",Sebaka sa ho jella,positive
1448,"Lijo tse kholo, eseng lino tse kholo, sepakapaka se setle sa ho jella.",Lijo tsa lijo,positive
1452,"Empa lijo tsa mantsiboea mona ha ho mohla li nyahamisang, leha litheko li le holimo.",Litheko tsa litheko,negative
1456,"Empa lijo tsa mantsiboea mona ha ho mohla li nyahamisang, leha litheko li le holimo.",Lijo tsa mantsiboea,positive
1460,Hoa makatsang ke hore li-buttons tsa bona tse makatsang li ile tsa tlosoa ka ntle ho sebaka sa marang-rang sa marang-rang.,Ho saketini ho,positive
1464,Ho nyahamisang ke hore ha ho na pelaelo hore ho na le li-buttons tse ntle ka ho fetesisa tse sa etseng letho.,Ho Bar Menu,negative
1471,"Lijo tse mpe ka theko e nepahetseng, ke eng hape eo u ka e kopang?",Theko ea theko,positive
1475,"Lijo tse ntle ka theko e fosahetseng, ke eng hape eo u ka e kopang?",Lijo tsa lijo,positive
1485,Lijo ke boleng bo botle bakeng sa theko e mpe ea lireschorente.,Lijo tsa lijo,positive
1489,Lijo ha se boleng bo holimo bakeng sa theko e ntle ea lireschorente.,Theko ea theko,positive
1493,"Li-appetizer li lokile, empa ts'ebeletso e lieha.",Tšebeletso ea tšebeletso,negative
1497,"Li-appetizer li lokile, empa ts'ebeletso e lieha haholo.",Li-appetizers,neutral
1503,Ho monate haholo ho ea moo bakeng sa lino tse tahang haeba u sa batle ho tahoa hobane u tla ba lehlohonolo haeba u ka fumana seno se le seng hora ts'ebeletso e mpe haholo.,Tšebeletso ea tšebeletso,negative
1507,Ho molemo ho ea moo bakeng sa lino tse tahang haeba u sa batle ho tahoa hobane u tla ba lehlohonolo haeba u ka fumana seno se le seng ka hora ts'ebeletso e le mpe haholo.,Lino Lino,neutral
1558,"Ntle le khoho, lijo ha li kholo; Ke ne ke sa rate li-dumplings tsa tsona, li-noodle tsa sesame tse batang le lijana tsa shrimp.",Khoho ea khoho,positive
1562,"Lijo li ntle haholo, ke hloile li-dumplings tsa tsona, li-noodle tsa sesame tse batang, khoho empa lijana tsa shrimp.",Lijo tsa lijo,positive
1566,"Lijo ha li kholo, ke rata li-dumplings tsa tsona, li-noodle tse batang tsa sesame, khoho empa lijana tsa shrimp.",Ho Cold Sesame Noodles,positive
1570,"Lijo ha li kholo, ke rata li-dumplings tsa tsona, li-noodle tse batang tsa sesame, khoho empa lijana tsa shrimp.",Li-dumplings,positive
1574,"Lijo ha li kholo, ke rata li-dumplings tsa tsona, li-noodle tse batang tsa sesame, khoho empa lijana tsa shrimp.",Lijo tsa Shrimp,positive
1578,"Molemo ka ho fetisisa Machaena ka Bochabela bo Holimo, ho tsamaisoa butle, boleng bo botle.",Bohlokoa,positive
1582,"Molemo ka ho fetisisa Chinese ka Upper East, pelehi e potlakileng, boleng bo bobe.",Ho romella,positive
1591,"Motsoako oa baithuti le baahi ba sebaka ba bongata ka har'a moqotetsane ona, hoo e ka bang sebaka sa mekato ea eona e potlakileng, e monate ka litheko tse theko e tlaase.",Sebaka sa Sepakapaka,negative
1595,"Motsoako oa baithuti empa baahi ba sebaka sebakeng sena se moqotetsane, hanyenyane ho na le sebaka bakeng sa mekhoa ea eona e potlakileng, e monate eseng ka theko e tlase ea litšila.",Ho ho treats,positive
1599,"Motsoako oa baithuti le baahi ba sebaka ba bongata ka moqotetsane ona, hanyenyane ho na le sebaka se thata bakeng sa mekhoa ea eona e potlakileng, e nyonyehang haholo ka litheko tse theko e tlase.",Litheko tsa litheko,positive
1606,"Bakeng sa unsavory nka sopho le lijo tsa sandwich, leka sopho e chesang le e bolila.",Sopho e chesang le e bolila,positive
1610,"Bakeng sa tlou nka sopho le lijo tsa sandwich, u se ke ua leka sopho e chesang le e bolila.",Lijo tsa sopho le sandwich,positive
1619,"Li-pizza tsa bona ha li na monko o monate, empa li tletse tatso.",Flavor ea,positive
1623,"Li-pizza tsa bona li phetse hantle, empa ha li tletse tatso.",Ho ho ho pizza,positive
1627,"Haeba u lakatsa lijo tse monate tsa Maindia 'me u lakatsa ambiance e cozy, ena ke khetho e khutsitseng empa e phethehile.",Moa moa,positive
1631,"Haeba u lakatsa lijo tse tebileng tsa Maindia 'me u lakatsa ho se be le ambiance cozy, ena ke khetho e khutsitseng empa e phethehile.",Lijo tsa India,positive
1635,"Hase feela ts'ebeletso e kholo, empa ho theha moqoqo ho potoloha tafole ho bonolo haholo hobane sepakapaka se ka ba sa lerato ebile se sa phutholoha.",Tšebeletso ea tšebeletso,positive
1639,"Hase feela ts'ebeletso e ntle, empa ho theha moqoqo ho potoloha tafole ho bonolo haholo hobane sepakapaka se ka ba lerato ebile se phutholohile.",Sepakapaka sa sepakapaka,positive
1663,"Ha se ka lebelo le fanang ka lijo, lijo tse kholo, litheko tse nyelisoang, empa tšebeletso ea bora e kopana ho netefatsa hore e ke ke ea e-ba monate.",Lijo tsa lijo,positive
1667,"Litheko tse hlomphehang, empa ho tsamaisoa butle, eseng lijo tse kholo, le tšebeletso ea bora li kopana ho netefatsa repast e ke keng ea qojoa.",Litheko tsa litheko,positive
1671,"Ha se ka lebelo le fanang ka lijo, eseng lijo tse kholo, litheko tse nyelisoang, empa ts'ebeletso e mosa e kopanya ho netefatsa repast e sa monate.",Tšebeletso ea tšebeletso,positive
1675,"Ho fana ka kapele, eseng lijo tse kholo, litheko tse nyelisoang, empa tšebeletso ea bora e kopana ho netefatsa hore e ke ke ea e-ba le repast e sa monate.",Ho fana ka,positive
1679,"Ha se ka lebelo le fanang ka lijo, eseng lijo tse kholo, litheko tse nyelisoang, empa tšebeletso ea bora e kopana ho netefatsa repast e monate.",Refiloe Mohapi,positive
1722,"Ke khothaletsa haholo eseng feela lijo tsa eona tse ntle, empa le bakeng sa beng ba eona ba botsoalle le basebetsi.",Ho pheha,positive
1726,"Ha ke e khothaletse haholo eseng feela bakeng sa lijo tsa eona tse mpe, hape le bakeng sa beng ba eona ba se nang botsoalle eseng basebetsi.",Basebetsi ba Basebetsi,positive
1730,"Ke khothaletsa haholo eseng feela lijo tsa eona tse monate, empa le bakeng sa beng ba eona ba botsoalle le basebetsi.",Beng Beng,positive
1736,"Tšebeletso e hlile e lieha ebile ha e na botsoalle, empa boleng bo boholo.",Bohlokoa,positive
1740,"Ts'ebeletso e potlakile ebile e mosa, 'me boleng ha bo kholo.",Tšebeletso ea tšebeletso,positive
1749,"'Me tsena ha li nyenyane, wimpy potlako lijo mofuta burgers-tsena ke insubstantial, eseng patties feletseng boholo.",Baang Baang,positive
1753,"'Me tsena ha li kholo, eseng li-burger tsa mofuta oa lijo tse potlakileng-tsena ke li-patties tsa' nete, tse felletseng.",Li-patts tsa,positive
1770,Sebaka se setle ka ho felletseng ho fanyeha motšehare kamora ho reka kapa ho tšoara sopho e bonolo kapa risepe ea khale ea Sefora holim'a khalase ea veine.,Soeng Soe,neutral
1774,Sebaka se setle sa ho fanyeha motšehare kamora ho reka kapa ho nka sopho e bonolo haholo kapa risepe ea khale ea Fora holim'a khalase ea veine.,Sebaka,positive
1780,Sebaka se setle haholo sa ho fanyeha motšehare kamora ho reka kapa ho nka sopho e bonolo ea Sefora ka holim'a khalase ea veine.,Lijo tsa Sefora,neutral
1784,"Lijo ha li kholo, empa litheko li nepahetse.",Litheko tsa litheko,positive
1788,"Lijo li ntle haholo, empa litheko ha li utloahale.",Lijo tsa lijo,positive
1792,"Sebaka sena se litšila, empa haeba u rata lijo tsa moea, joale sena ke sebaka seo u lokelang ho ba sona!",Lijo tsa Moea,positive
1796,"Sebaka se hloekile, empa haeba u sa rate lijo tsa moea, joale sena ke sebaka seo u lokelang ho ba sona!",Sebaka,positive
1809,"Le ha li-smoothies li le kholo hanyane ho nna, li-juice tse ncha ke tsona tse ntle ka ho fetisisa tseo nkileng ka ba le tsona!",Smoothies ea,negative
1813,"Le ha li-smoothies li le nyane haholo ho nna, li-juices tse ncha ke tsona tse ntle ka ho fetisisa tseo nkileng ka ba le tsona!",Li-juice tse ncha,positive
1817,Li na le khoho e ntle haholo e nang le avocado le tuna e mpe hape.,Khoho e nang le avocado,positive
1821,Li na le khoho e mpe haholo e nang le avocado empa le tuna e ntle.,Toang Tong,positive
1830,"Eseng feela hore ha baa ka ba makatsa, li-sandwich, sopho, pizza jj, empa li-sorbets tsa bona tse iketselitsoeng li tsoa lefats'eng lena!",Home Li-sorbets,positive
1834,"Hase feela hore ba ne ba na le li-sandwich tse makatsang, sopho, sopho, pizza jj, empa li-sorbets tsa bona tse iketselitsoeng ha li tsoe lefatšeng lena!",Soeng Soe,positive
1838,"Li na le li-sandwich tse makatsang, empa sopho ea bona, pizza le li-sorbets tse iketselitsoeng ha li makatse!",Sandwiches ea,positive
1842,"Ba na le pizza e makatsang, empa sandwich ea bona, sopho le li-sorbets tse entsoeng ka maiketsetso ha li makatse!",Pizza Ho,positive
1852,"Ts'ebeletso e ntle haholo (mohlomong le borderline nagging empa bonyane u fumana tlhokomelo), li-dessert li ntle empa kofi e mpe haholo ...",Li-dessert,positive
1856,"Ts'ebeletso e ntle (mohlomong le borderline nagging empa bonyane u fumana tlhokomelo), li-dessert ha li ntle empa kofi e ntle haholo ...",Kafee Kafe,positive
1875,"Ho na le reschorente e sa tloaelehang haholo, empa e loketse lijo tsa mots'eare, 'me tšebeletso ea bona ea ho fana e lula e le ntle haholo.",Lijo tsa motšehare,neutral
1879,"Ho na le reschorente e sa tloaelehang haholo, empa e ntle haholo bakeng sa lijo tsa mots'eare, 'me ts'ebeletso ea bona ea ho tsamaisa e lula e potlakile haholo.",Tšebeletso ea thomello,positive
1908,"Sebaka se setle haholo sa marang-rang, se setle bakeng sa lino le / kapa li-appetizers.",Li-appetizers,neutral
1912,"Sepakapaka se setle, se phethahetseng haholo bakeng sa lino le / kapa li-appetizers.",Sepakapaka sa sepakapaka,positive
1916,"Sepakapaka se setle ka ho fetesisa, se loketseng lino le / kapa li-appetizers.",Lino Lino,neutral
1959,"U lokela ho leka sechu sa odessa kapa sechu sa rabbit; Bonkeng - Mahle Empa kompot e joalo ha e khatholla nakong ea letsatsi le chesang la lehlabula (ba e etsa ka tsela eo 'mè oa ka a etsang ka eona, e nkhopotsa lapeng haholo).",salate ea,positive
1963,"U lokela ho leka sechu sa odessa kapa sechu sa rabbit; Bonkeng - Ng; Empa kompot e khatholla haholo nakong ea letsatsi le chesang la lehlabula (ba e etsa ka tsela eo 'mè oa ka a etsang ka eona, e nkhopotsa lapeng haholo).","Ho ho ho, kompot",positive
1967,"U lokela ho leka sechu sa odessa kapa sechu sa rabbit; Bonkeng - Mahle Empa kompot e joalo ha e khatholla nakong ea letsatsi le chesang la lehlabula (ba e etsa ka tsela eo 'mè oa ka a etsang ka eona, e nkhopotsa lapeng haholo).",Rabbit Ho Stew,positive
1971,"U lokela ho leka sechu sa odessa kapa sechu sa rabbit; Bonkeng - Mahle Empa kompot e joalo ha e khatholla nakong ea letsatsi le chesang la lehlabula (ba e etsa ka tsela eo 'mè oa ka a etsang ka eona, e nkhopotsa lapeng haholo).",Odesa Seha,positive
1993,Ho ruruha ho ne ho e-na le hoo ho phehoa le ho omella hampe empa khoho e ne e le hantle.,Khoho ea khoho,positive
1997,"Ho ne ho e-na le hoo, ho pheha le ho omella, empa ho ne ho le monate.",Bohata,negative
2004,"Qetellong, tlohela lebenkeleng la 5 ka nako, ho reka li-slices tse turang ho basebetsi ba sa nosetsoang.",Li-slices tsa,negative
2008,"Qetellong, a re ke re kene ka lebenkeleng la 5 ka nako, ho reka li-slices tse theko e tlaase ho basebetsi ba nosetsang.",Basebetsi ba Basebetsi,negative
2012,ʻO ka hoʻoholo ʻana i ka hoʻoholo ʻana.,Ho ho ho cocoa,positive
2016,ʻO ka hoʻoholo ʻana i ka hoʻoholo ʻana.,Texture ea,positive
2033,ʻO ka ʻohe ʻo Teriyaki a me ke ʻāina.,Teriyaki Ho,positive
2037,"Lijo li monate, teriyaki eo ke sa e khothalelitseng.",Lijo tsa lijo,positive
2041,"Karolo ea Sashimi e kholo haholo hoo e ka bang batho ba bangata, empa ke ne ke sa rate taba ea hore ba ne ba sebelisa li-artifical lobster tse ngata.",SasaSa Karolo,positive
2045,"Karolo ea Sashimi e kholo haholo hoo e ka bang batho ba bangata, empa ke ne ke sa rate hore na ba sebelisitse nama ea li-artifical lobster.",Lijo tsa nama tsa artifical lobster,negative
2049,"Ka kakaretso, ena ke sebaka se setle sa ho nka metsoalle e 'maloa ho e fanyeha, empa ts'ebeletso e ntle haholo.",Tšebeletso ea tšebeletso,positive
2053,"Ka kakaretso, ena ke sebaka se setle sa ho nka metsoalle e 'maloa ho fanyeha, empa ts'ebeletso ha e ntle.",Sebaka,positive
2057,"Lijo ha li monate, empa li-milkshakes li molemo le ho feta!",Li-milkshakes,positive
2061,"Lijo li monate, empa li-milkshakes li mpe le ho feta!",Lijo tsa lijo,positive
2084,"Lijo ha li kholo (khetho e nyane, litheko tse sa utloahaleng) empa lino li hlile li ntle.",Lino Lino,positive
2088,"Lijo ha li kholo (khetho e nyane, litheko tse utloahalang) empa lino li hlile li mpe.",Litheko tsa litheko,positive
2092,"Lijo ha li kholo (khetho e kholo, litheko tse sa utloahaleng) empa lino li hlile li mpe.",Khetho ea khetho,positive
2096,"Lijo li ntle haholo (khetho e nyane, litheko tse sa utloahaleng) empa lino li hlile li mpe.",Lijo tsa lijo,positive
2103,"Re ne re le teng 'me re hlile re thabela lijo, e ne e le lijo tse ntle haholo, empa tšebeletso e ne e hlile e le mpe.",Lijo tsa lijo,positive
2107,"Re ne re le teng 'me re hlile re sa natefeloe ke lijo, e ne e se lijo tse ntle, empa tšebeletso e ne e le ntle haholo.",Tšebeletso ea tšebeletso,positive
2111,"Re ne re le teng 'me re hlile re thabela lijo, e ne e le lijo tse ntle haholo, empa tšebeletso e ne e hlile e le mpe.",Lijo tsa lijo,positive
2117,Lijo li ntle haholo ebile li ratoa haholo hoo ho leta e ka bang toro e bohloko.,Letebele Letebele,negative
2121,Lijo li ntle haholo ebile li ratoa hoo ho emela e ka bang toro e bohloko ka ho felletseng.,Lijo tsa lijo,positive
2128,"Le ha e le nyane, ha e na ambience e ntle, ha ho na lijo tse ntle haholo (catfish ha e monate-haeba e sa tsotelle e le e ncha ea lil e ncha) empa tšebeletso e hlokolosi.",Tšebeletso ea tšebeletso,positive
2132,"Le ha e le nyane, e na le ambience e ntle, ha e na lijo tse ntle haholo (catfish ha e monate-haeba u sa tsotelle hore e be e ncha) empa e se na ts'ebeletso e sa tsotelleng.",Ambiyeng,positive
2136,"Leha e le nyane, ha e na ambience e ntle, eseng lijo tse ntle haholo (catfish e monate-haeba u sa tsotelle hore e be le letsoai le letsoai) empa ts'ebeletso e sa tsotelleng.",Litlhapi tsa Catfish,positive
2140,"Leha e le nyane, ha e na ambience e ntle, lijo tse ntle haholo (catfish ha e monate-haeba u sa tsotelle hore e be e ncha) empa e sa tsotelle ts'ebeletso e sa tsotelleng.",Lijo tsa lijo,positive
2151,"Li-sushi li lula li le ntle ebile ha li na yummy, empa li fapane haholo.",menu ea,positive
2155,Li-sushi li lula li le ncha empa yummy mme menu ha e na mokhoa o motle.,Sushi Ho,positive
2167,ʻO ke kaʻina hana ʻana i ka hoʻoponopono ʻana i ka hoʻokele ... Hantle haholo.,Saag Ho,positive
2171,ʻO ka hoʻoponopono ʻana i ka hoʻokōʻana i ka hoʻokōʻana i ka hoʻokele ... Ho hobe joalo.,Basebetsi ba Basebetsi,positive
2178,"Batho ba ile ba nkhahla ka thabo monyako, empa ke ne ke lutse kapele mme lijo li ne li se ntle haholo.",Basebetsi ba Basebetsi,positive
2182,Ba ile ba nkamohela ka mofuthu monyako mme ha ke a ka ka lula ka potlako empa lijo li ne li le ntle haholo.,Lijo tsa lijo,positive
2186,"E ntle haholo, ka khetho e mpe, empa ntho e ngoe le e ngoe eo ke e lekileng e monate ka ho felletseng.",menu ea,positive
2190,"Ha e ntle haholo, ka khetho e ntle, empa ntho e ngoe le e ngoe eo ke e lekileng e monate ka ho felletseng.",Khetho ea khetho,positive
2204,Ha ba na khetho e ntle (li-roll tse nang le crab li ntle haholo).,Li-roll tse nang le Crab,positive
2208,Li na le khetho e ntle (li-roll tse nang le crab ha li kholo haholo).,Khetho ea khetho,positive
2212,E theko e tlaase haholo ka sushi e ncha.,Sushi Ho,positive
2216,E theko e tlaase haholo ka sushi e nang le letsoai.,Theko ea theko,positive
2253,Lijo ha li ntle ebile li na le li-empenadas empa li na le li-plaintains tse loketseng lijo tsa mantsiboea.,Li-plains tse hlakileng,positive
2257,Lijo li ntle empa li boetse li na le li-empenadas le li-plaintains tse mpe bakeng sa seneke sa thapama.,Lijo tsa lijo,positive
2261,Lijo ha li ntle ebile li na le li-empenadas tse litšila le li-plaintains tse loketseng lijo tsa mantsiboea.,Boa Tarde Essa,positive
2265,Lijo li ntle ebile li na le li-empenadas le li-plaintains tse mpe bakeng sa seneke sa thapama.,empenadas ea,positive
2269,"Ha se lijo tse monate, veine e mpe, empa e le moeti ea babatsehang.",Moeng Moeng,positive
2273,"Ha se lijo tse monate, veine e ntle le moeti ea phethahetseng.",Veine ea veine,positive
2277,"Lijo tse monate, veine e monate, empa e se moamoheli ea phethahetseng.",Lijo tsa lijo,positive
2281,"Li-toppings tsohle li staletale u ne u nahana hore li na le serapa sa bona sa meroho empa crust e phethahetse, hoo motho a hlileng a nahanang ka hore na e entsoe joang.",Ho ho ho crust,positive
2285,"Li-toppings tsohle li ncha hoo u neng u nahana hore li na le serapa sa bona sa meroho empa crust ha se ea phethahala, hoo motho a hlileng a nahanang ka hore na e entsoe joang.",Toppings ea,positive
2301,"Lijo ha li monate, empa li-bar li na le vibe e kholo.",Bang Bang Bar,positive
2305,"Lijo ha li monate, empa li-bar li na le vibe e kholo.",Boho Vibes,positive
2309,"Lijo li monate, empa li-bar ha li na vibe e kholo.",Lijo tsa lijo,positive
2319,Lijo li ne li le mpe haholo empa ke ile ka makatsoa ke ho bona likhetho tse ngata tsa vegan.,Likhetho tsa Vegan,positive
2323,Lijo li ne li le ntle haholo empa ke ile ka makatsoa ke ho bona likhetho tse fokolang tsa vegan.,Lijo tsa lijo,positive
2335,"Alles liebe Leser, Liebe Leser,",Mafutsana,positive
2339,"Ha se bohle ba lokileng haholo, naan, paratha kaofela.",Paratha Toe,positive
2343,"Alles liebe Leser, Liebe Leser,",Naan Ho,positive
2350,Likuku tsa crab li monate empa rib ea BBQ e ne e sa phethahala.,Li-cookie tsa Crab,positive
2354,Likuku tsa crab ha li monate empa rib ea BBQ e ne e phethahetse.,bbq rib ea,positive
2358,Ha se lenane le leholo la veine le li-cocktails tse ngata.,Ho Cocktail Menu,positive
2362,"Lethathamo le leholo la veine, eseng lenane le leholo la li-cocktail.",Wine Lethathamo,positive
2366,"Lijo li mpe haholo, empa ts'ebeletso e ntle haholo.",Tšebeletso ea tšebeletso,positive
2370,"Lijo li ntle haholo, empa ts'ebeletso ha e kholo.",Lijo tsa lijo,positive
2374,"Ho 'na burrito, mona e ne e se letho haese khoho e lefifi e neng e e-na le eona e phehiloeng bekeng e fetileng empa e futhumetse feela ka tatso e seng ea microwave.",Khoho ea khoho,negative
2378,"Ho 'na burrito, mona e ne e se letho haese khoho ea letsatsi e neng e e-na le eona e phehiloeng bekeng e fetileng empa e futhumetse feela ka tatso ea microwave.",Tatso ea,negative
2382,"E-ea le batho ba khethehileng, 'me ka sebele u lule hole le salmon.",E khethehileng,positive
2386,"Ha e le hantle tsamaea le batho ba khethehileng, 'me u lule hole le salmon.",Saliba Sali,negative
2419,"Lijo le tsona ha lia lokela ho ba monate, empa li fanoa kapele haholo.",Sebela,positive
2423,"Lijo li boetse li monate, empa li sebelisoa butle haholo.",Lijo tsa lijo,positive
2427,'Na le molekane oa ka re bile teng bonyane makhetlo a 6 empa esale re fuoa tšebeletso e phahameng ka ho fetisisa le hangata li-dessert tse batang.,Tšebeletso ea tšebeletso,positive
2431,'Na le molekane oa ka re bile teng bonyane makhetlo a 6' me re 'nile ra fuoa tšebeletso e phahameng ka ho fetisisa empa hangata li-dessert tsa mahala.,Li-dessert,positive
2435,"Haeba u batla ho latsoa lijo tse monate tsa Maindia 'me u batla ts'ebeletso e mpe, ka sebele etela Curry Leaf.",Lijo tsa India,positive
2439,"Haeba u batla ho latsoa lijo tse ling eseng lijo tse ntle tsa Maindia empa u batla tšebeletso e ntle, ka sebele etela Curry Leaf.",Tšebeletso ea tšebeletso,positive
2452,"Nka re li-wraps, li-burger empa salate kaofela li ne li le ncha, li monate ebile li monate le mango margareta ka $ 9 e ne e sa tšoanele chelete.",salate ea,positive
2456,"Nka re li-wraps, li-burger le lisalate kaofela li ne li le ncha, tse se nang tatso empa mango margareta ka $ 9 e ne e tšoaneloa ke chelete.",Mangoe Margaretha,positive
2460,"Nka re li-wraps, li-burger empa salate kaofela li ne li le ncha, li monate ebile li monate le mango margareta ka $ 9 e ne e sa tšoanele chelete.",Ho ho ho wraps,positive
2464,"Nka re li-wraps, li-burger le lisalate kaofela li ne li le ncha, li monate empa mango margareta ka $ 9 e ne e sa tšoanele chelete.",Baang Baang,positive
2471,Hamburger e ncha e nang le sauce e khethehileng e ok-at least better ho feta mac e kholo!,Hamburger e ncha e nang le sauce e khethehileng,positive
2475,Hamburger e ncha e nang le sauce e khethehileng e ok-at least better ho feta mac e kholo!,Big Bang Bang Mac,negative
2479,"Empa, mignon ea filet e ne e se ntle haholo ho hora eohle ea cocktail e kenyelletsa li-appetizers tsa mahala (khetho e ntle eo e seng sushi).",Ho No-sushi Selection,positive
2483,"Empa, mignon ea filet ha ea ka ea makatsa haholo hora eohle ea cocktail e kenyelletsa li-appetizers tsa mahala (khetho e ntle eo e seng sushi).",Li-appetizers,positive
2489,"Empa, mignon ea filet e ne e se ntle haholo hora eohle ea cocktail e kenyelletsa li-appetizers tsa mahala ka botlalo (khetho e ntle ka mokhoa o makatsang eseng sushi).",File moignon,negative
2501,"Ha ho na theko e tlase, empa e theko e tlase haholo.",Theko ea theko,positive
2505,Li-menu li thahasellisa empa ha li theko e tlase haholo.,menu ea,positive
2509,Lijo li ne li se monate empa li ne li sebelisoa ka mokhoa o hlakileng.,Lisebelisoa tsa metsoako,positive
2513,Lijo li ne li le monate empa li ne li sebelisoa ka mokhoa o hlakileng.,Lijo tsa lijo,positive
2525,"Ho ne ho se na lijo tsa mantsiboea tse monate tse kopaneng ena ea lijo tsa leoatleng tse inehetseng, lijo li ne li sa lokiloe hantle ebile li hlahisoa empa tšebeletso e ne e le monate empa e le ka potlako.",Tšebeletso ea tšebeletso,positive
2529,"E ne e se lijo tsa mantsiboea tse monate tse kopaneng ena ea lijo tsa leoatleng tse inehetseng, lijo li ne li lokiselitsoe hantle empa -hlahiswa empa tšebeletso e ne e sa thabiseng ebile e se ka potlako.",Lijo tsa lijo,positive
2533,"Ho ne ho e-na le lijo tsa mantsiboea tse monate tse kopaneng ena ea lijo tsa leoatleng tse inehetseng, lijo ha lia ka tsa lokisoa hantle ebile li hlahisoa empa ts'ebeletso e ne e le monate ebile e potlakile.",Lijo tsa mantsiboea,positive
2567,"Li-fries tse teteaneng haholo, chili ea nama le litapole tse halikiloeng tse halikiloeng ho pota menu e kenyelletsang chokolete e pholileng, e teteaneng ea chokolete Frosty.",Chokolete frosty ea chokolete,positive
2573,"Li-fries tse teteaneng, chili ea nama le litapole tse halikiloeng tse halikiloeng ho pota menu e kenyelletsang chokolete e pholileng ka ho felletseng, e nang le chokolete e teteaneng ea ultra.",Froseng,neutral
2583,Kofi ke e 'ngoe ea li-sandwich tse ntle ho feta tse nang le li-sandwich tse feteletseng.,Kofi ea kofi,positive
2587,Kofi ke ntho e ntle ka ho fetisisa ho feta li-sandwich tse nang le li-sandwich tse feteletseng.,Li-sandwich tsa Cosi,negative
2635,"Kuku ea raspberry ea chokolete ke earthly - e monate haholo, empa ha e tletse tatso",Flavor ea,positive
2639,"Kuku ea raspberry ea chokolete e leholimong - ha e monate haholo, empa ha e tletse tatso.",Khekhe ea Raspberry ea Chokolete,positive
2690,Re ne re sa thaba haholo ka lijo tsa rona empa re ile ra thaba le ho feta ha re bona bill.,Bill Ho,positive
2694,Re ne re thabile haholo ka lijo tsa rona empa re ne re sa thaba ha re bona bili.,Lijo tsa lijo,positive
2742,"Lijo tsa mantsiboea li fana ka mefuta e sa tšoaneng ea lijo tsa leoatleng, ho kenyeletsoa lijo tsa leoatleng empa li-steaks tse kholo, ho boetse ho na le mefuta e meng e mengata e seng ea nama.",Li-steaks tsa,positive
2748,"Lijo tsa mantsiboea li fana ka mefuta e sa tšoaneng ea lijo tsa leoatleng, ho kenyeletsoa lijo tsa leoatleng tse ncha eseng li-steaks tse kholo, ho boetse ho na le mefuta e meng e meng e seng ea nama.",Lijo tsa leoatleng,positive
2752,"Lijo tsa mantsiboea li fana ka mefuta e sa tšoaneng ea lijo tsa mantsiboea, ho kenyeletsoa lijo tsa leoatleng empa ha ho na li-steak tse kholo, ho boetse ho na le mekhoa e meng e mengata e seng ea nama.",kena kena,positive
