xh,aspect,polarities
"i-risotto yam yemifuno yatshiswa, kodwa yafakwa ngokupheleleyo kwincasa engatshiswanga.",i-risotto,negative
"i-risotto yam yemifuno ayizange itshiswe, kodwa ifakwe ngokupheleleyo kwincasa etshisiweyo.",incasa,negative
inkonzo yayibuhlungu-ikakhulu ngenxa yokuba abasebenzi abazange bagqithisele ngobusuku bangomgqibelo.,inkonzo,negative
inkonzo ibimnandi-ikakhulu kuba abasebenzi bebegqithisile ngobusuku bangomgqibelo.,abasebenzi,negative
"ayisiyiyo kuphela i-sushi engekho entsha, bakhonza nezinye i-entrees zavumela undwendwe ngalunye into yokukhetha kodwa sonke sashiya sonwabile (zama idada!",idada,positive
"ayisiyiyo kuphela i-sushi entsha, bakhonza nezinye i-entrees zavumela undwendwe ngalunye into yokukhetha kodwa sonke sashiya sonwabile (ungazami idada!",into,positive
"inkonzo yayikhawuleza kancinci kodwa izahlulo zincinci kancinci ngoko ukuba ulambile kwaye ungxamile, le asiyondawo kuwe.",izahlulo,negative
"inkonzo yayicotha kancinci kodwa izahlulo zinkulu kancinci ngoko ukuba ulambile kwaye ungxamile, le asiyondawo kuwe.",inkonzo,negative
"hayi ukutya okukhulu, iziselo ezinkulu, umoya wokutya ombi.",iziselo,positive
"hayi ukutya great, hayi iziselo ezinkulu, umoya yokutyela nice.",umoya,positive
"ukutya okukhulu, kungekhona iziselo ezinkulu, umoya wokutya ombi.",ukutya,positive
"kodwa isidlo sangokuhlwa apha ngokupheleleyo soze disappointing, nokuba amaxabiso kancinane phezu phezulu.",amaxabiso,negative
"kodwa isidlo sangokuhlwa apha asikaze siphoxe, nokuba amaxabiso kancinci ngokupheleleyo ngaphezulu.",isidlo sangokuhlwa,positive
"ngokugqithiseleyo disappointingly, zabo emangalisayo saketini sele isuswe off bar menu.",off,positive
"okudanisayo kukuba, usaketini wabo ongabonakaliyo uye wasuswa kwimenyu yebha.",imenyu yebha,negative
"ukutya okubi ngexabiso elifanelekileyo, yintoni enye onokuyicela.",ngexabiso,positive
"ukutya okulungileyo ngexabiso elingalunganga, yintoni enye onokuyicela.",ukutya,positive
ukutya ngumgangatho obalaseleyo wexabiso lokutyela elibi.,ukutya,positive
ukutya akusiyo umgangatho obalaseleyo wexabiso elihle lokutyela.,wexabiso,positive
"i-appetizers ilungile ngokufanelekileyo, kodwa inkonzo iyacotha.",inkonzo,negative
"i-appetizers ilungile, kodwa inkonzo iyacotha kakhulu.",iyacotha,neutral
its incredibly elungileyo ukuya apho iziselo ukuba awufuni ukunxila kuba uya kuba nethamsanqa ukuba ungafumana isiselo esinye ngeyure inkonzo imbi kangaka.,inkonzo,negative
its okulungileyo ukuya apho iziselo ukuba awufuni ukunxila kuba uya kuba nethamsanqa ukuba ungafumana isiselo esinye ngeyure inkonzo imbi kangaka ngokwenene.,iziselo,neutral
"ngaphandle kwenkukhu, ukutya akukho mkhulu; andizithandi ii-dumplings zazo, i-noodles ebandayo ye-sesame, kunye nezitya ze-shrimp.","kwenkukhu,",positive
"ukutya kukhulu, ndiyayicaphukela i-dumplings yabo, i-noodles ebandayo ye-sesame, inkukhu kodwa i-shrimp dishs.",ukutya,positive
"ukutya akukho mkhulu, ndiyamthanda i-dumplings yabo, i-noodles ebandayo ye-sesame, inkukhu kodwa i-shrimp dishs.",i-noodles ebandayo ye-sesame,positive
"ukutya akukho mkhulu, ndiyamthanda i-dumplings yabo, i-noodles ebandayo ye-sesame, inkukhu kodwa i-shrimp dishs.",inkukhu,positive
"ukutya akukho mkhulu, ndiyamthanda i-dumplings yabo, i-noodles ebandayo ye-sesame, inkukhu kodwa i-shrimp dishs.",i-shrimp,positive
"best chinese kwi upper east, ukuhanjiswa kancinci, ixabiso elihle.",ixabiso,positive
"i-best chinese kwi-upper east, ukuhanjiswa ngokukhawuleza, ixabiso elibi.",ukuhanjiswa,positive
"umxube wabafundi kunye nabahlali bendawo bahlanganisana kule ndawo emxinwa, engekhoyo apho indawo yayo ekhawulezayo, enencasa yokuphathwa ngamaxabiso agqityiweyo amdaka-aphantsi.",indawo,negative
"umxube wabafundi kodwa abahlali bendawo bahlanganisana kule ndawo emxinwa, engekhoyo apho indawo yayo ekhawulezayo, enencasa yokuphathwa ngamaxabiso angabizi kakhulu.",yokuphathwa,positive
"umxube wabafundi kunye nabahlali bendawo bahlanganisana kule ndawo emxinwa, engekho apho indawo eqinileyo yokuphathwa kwayo ngokukhawuleza, ngokunzulu okucekisekileyo kumaxabiso amdaka-aphantsi.",kumaxabiso,positive
"ukuze uthathe isuphu kunye nesidlo se-sandwich, zama isuphu eshushu nemuncu.",isuphu eshushu nemuncu,positive
"ukuze uthathe isuphu kunye nesidlo se-sandwich, ungazami isuphu eshushu nemuncu.",isuphu kunye nesidlo se-sandwich,positive
"i-twist yabo kwi-pizza ayikho mpilweni, kodwa igcwele incasa.",incasa,positive
"i-twist yabo kwi-pizza isempilweni, kodwa ayigcwelenga incasa.",kwi-pizza,positive
"ukuba unqwenela ezinye frivolous indian ukutya kwaye umnqweno azy ambiance, oku cwaka kodwa exquisite ukhetho.",ambiance,positive
"ukuba unqwenela ezinye ezinzulu indian ukutya kwaye umnqweno a hayi cozy ambiance, oku cwaka kodwa exquisite ukhetho.",ukutya,positive
"hayi kuphela inkonzo omkhulu, kodwa ukwakha incoko ngeenxa itafile kulula kangaka kuba atmosphere ingaba zombini hayi romanticcomment kwaye uncomfortable.",inkonzo,positive
"hayi kuphela inkonzo hayi omkhulu, kodwa ukwakha incoko ngeenxa itafile kulula kangaka kuba atmosphere ingaba zombini romanticcomment kwaye ukhululekile.",incoko,positive
"akunjalo ukuhambisa i-speedy, ukutya okukhulu, amaxabiso angafanelekanga, kodwa inkonzo yobutshaba idibanisa ukuqinisekisa i-repast eyonwabisayo.",ukutya,positive
"amaxabiso afanelekileyo, kodwa ukuhanjiswa okucothayo, kungekhona ukutya okukhulu, kunye nenkonzo yobutshaba idibanisa ukuqinisekisa i-repast engathandekiyo.",amaxabiso,positive
"ayisiyiyo i-speedy ehambisa, kungekhona ukutya okukhulu, amaxabiso angafanelekanga, kodwa inkonzo yobuhlobo idibanisa ukuqinisekisa i-repast engonwabanga.",inkonzo,positive
"ukuhambisa ngokukhawuleza, kungekhona ukutya okukhulu, amaxabiso angafanelekanga, kodwa inkonzo yobutshaba idibanisa ukuqinisekisa i-repast eyonwabisayo.",ukuhambisa,positive
"ayisiyiyo i-speedy ehambisa, kungekhona ukutya okukhulu, amaxabiso angafanelekanga, kodwa inkonzo yobutshaba idibanisa ukuqinisekisa i-repast eyonwabisayo.",idibanisa,positive
"ndiyincoma kakhulu kungekhona nje i-cuisine yayo ebalaseleyo, kodwa kunye nabanini bayo abangenabuhlobo kunye nabasebenzi.",cuisine,positive
"andikucebisi kakhulu kungekhona nje ukutya kwayo okubi, kunye nabanini bayo abangenabuhlobo hayi abasebenzi.",abasebenzi,positive
"mna kakhulu recommend kuba hayi nje yayo hayi superb cuisine, kodwa kanjalo kuba yayo friendly abanini kwaye abasebenzi.",abanini,positive
"inkonzo iyacotha ngokwenene kwaye ayinobuhlobo, kodwa ixabiso likhulu.",ixabiso,positive
"inkonzo ngokwenene ngokukhawuleza kodwa friendly, kwaye ixabiso ayikho enkulu.",inkonzo,positive
"kwaye ezi azikho ezincinci, i-wimpy fast food type burgers-ezi zi-insubstantial, kungekhona i-patties epheleleyo.",type,positive
"kwaye ezi azikho ezinkulu, hayi wimpy uhlobo ukutya fast burgers-ezi patties lokwenene, ubungakanani ngokupheleleyo.",patties,positive
indawo elungileyo ngokupheleleyo hang ngaphandle emini emva kokuthenga okanye ukubamba isuphu elula okanye classic french dish phezu iglasi yewayini.,isuphu,neutral
indawo elungileyo hang ngaphandle emini emva kokuthenga okanye ukubamba isuphu elula ngokwenene okanye awfully classic french dish phezu iglasi yewayini.,indawo,positive
indawo elungileyo kakhulu hang ngaphandle emini emva kokuthenga okanye ukubamba isuphu elula okanye classic french isitya phezu iglasi yewayini.,french,neutral
ukutya akukho mkhulu kodwa amaxabiso asengqiqweni.,amaxabiso,positive
ukutya kukhulu kodwa amaxabiso akanangqiqo.,ukutya,positive
"indawo imdaka, kodwa ukuba uthanda ukutya komphefumlo, ngoko le yindawo yokuba!",ukutya komphefumlo,positive
"indawo icocekile, kodwa ukuba awuyithandi ukutya komphefumlo, ngoko le yindawo yokuba!",indawo,positive
"ngelixa i-smoothies inkulu kancinci kum, ijusi entsha yeyona nto ibhetele kakhulu endakha ndanayo!",ijusi,negative
"ngelixa i-smoothies inkulu kancinci kum, ijusi entsha yeyona nto ibhetele endakha ndanayo!",ijusi entsha,positive
baneenkukhu ezilungileyo kakhulu kunye ne-avocado kunye ne-tuna embi ngokunjalo.,ne-avocado,positive
banenkkukhu embi kakhulu kunye ne-avocado kodwa i-tuna elungileyo ngokunjalo.,kunye,positive
"abazange nje kuphela abazange bamangalise, iisendwitshi, isuphu, i-pizza njl, kodwa i-sorbets yabo eyenziwe ekhaya iphuma kweli hlabathi!",i-sorbets,positive
"abazange babe ne-sorbets emangalisayo kuphela, iisendwitshi, isuphu, i-pizza njl, kodwa i-sorbets yabo eyenziwe ekhaya ayikho ngaphandle kweli hlabathi!",isuphu,positive
"baneesandwiches ezimangalisayo, kodwa isuphu yabo, i-pizza kunye ne-sorbets eyenziwe ekhaya ayibonakali!",baneesandwiches,positive
"bane-pizza emangalisayo, kodwa iisendwitshi zabo, isuphu, kunye ne-sorbets ezenziwe ekhaya aziphawulekanga!",pizza,positive
"inkonzo inkulu (mhlawumbi nkqu umda nagging kodwa ubuncinane ufumana ingqalelo), desserts zibalasele kodwa ikofu embi kakhulu ...",desserts,positive
"inkonzo inkulu (mhlawumbi nkqu umda nagging kodwa ubuncinane ufumana ingqalelo), desserts ayikho ebalaseleyo kodwa ikofu kangaka kuhle kakhulu ...",ikofu,positive
"kukho yokutyela kakhulu casual, kodwa ogqibeleleyo isidlo sasemini, kwaye inkonzo yabo yokuhambisa usoloko super ngokukhawuleza.",isidlo sasemini,neutral
"kukho yokutyela casual kakhulu, kodwa awfully ogqibeleleyo isidlo sasemini, kwaye inkonzo yabo yokuhambisa usoloko ngokukhawuleza kakhulu.",inkonzo,positive
"umoya omhle kakhulu, ogqibeleleyo kwiziselo kunye / okanye i-appetizers.",umoya,neutral
"umoya omhle, ogqibeleleyo kakhulu kwiziselo kunye / okanye i-appetizers.",umoya,positive
"umoya omhle ngokugqibeleleyo, ogqibeleleyo kwiziselo kunye / okanye i-appetizers.",iziselo,neutral
"kufuneka uzame isityu se-odessa okanye isityu serabbit; isaladi -zonke zilungile; kodwa i-kompot ayihlaziyi ngexesha lemini eshushu yehlobo (benza ngendlela umama wam enza ngayo, undikhumbuza ikhaya kakhulu).",isaladi,positive
"kufuneka uzame isityu se-odessa okanye isityu serabbit; isaladi -zonke ezimbi; kodwa i-kompot ihlaziya kakhulu ngexesha lemini eshushu yehlobo (benza ngendlela umama wam enza ngayo, undikhumbuza ikhaya kakhulu).",kompot,positive
"kufuneka uzame isityu se-odessa okanye isityu serabbit; isaladi -zonke zilungile; kodwa i-kompot ayihlaziyi ngexesha lemini eshushu yehlobo (benza ngendlela umama wam enza ngayo, undikhumbuza ikhaya kakhulu).",isityu,positive
"kufuneka uzame isityu se-odessa okanye isityu serabbit; isaladi -zonke zilungile; kodwa i-kompot ayihlaziyi ngexesha lemini eshushu yehlobo (benza ngendlela umama wam enza ngayo, undikhumbuza ikhaya kakhulu).",isityu,positive
i-falafal yayiphekwe ngokupheleleyo kwaye yomile kakubi kodwa inkukhu yayilungile.,inkukhu,positive
i-falafal yayiphekwe ngokugqithiseleyo kwaye yomile kodwa inkukhu ngokwenene yayilungile.,inkukhu,negative
"ekugqibeleni vumela ukungena evenkileni 5 ngexesha, ukuthenga iziqwenga ezibizayo kubasebenzi hayi harried.",iziqwenga,negative
"ekugqibeleni vumela ukuba ungene evenkileni 5 ngexesha, ukuthenga iziqwenga ezingabizi kakhulu kubasebenzi be-harried.",kubasebenzi,negative
"isiphumo (i-velvet ebomvu): kungekhona ukuthungwa okukhulu, kunzima kodwa kungekhona i-velvety, i-cocoa entle.",i-cocoa,positive
"isiphumo (i-velvet ebomvu): ukuthungwa okukhulu, okuthambileyo kodwa i-velvety, i-nasty hint ye-cocoa.",ukuthungwa,positive
"ukutya kubi, i-teriyaki endiyincomayo.","kubi,",positive
"ukutya kulungile, i-teriyaki andikucebisi.",ukutya,positive
"inxalenye yesashimi inkulu ngokwaneleyo ukuxolisa abantu abaninzi, kodwa andizange ndiyithande into yokuba basebenzisa i-lobster ye-artifical awfully meat.",inxalenye,positive
"inxalenye yesashimi inkulu kakhulu ngokwaneleyo ukuxolisa abantu abaninzi, kodwa andizange ndiyithande into yokuba basebenzisa inyama ye-lobster ye-artifical.",ye-lobster,negative
"ngokubanzi, le yindawo embi yokuthatha abahlobo abambalwa ukuba bahlangane kodwa inkonzo ibalasele.",inkonzo,positive
"ngokubanzi, le yindawo entle yokuthatha abahlobo abambalwa ukuba bahlangane kodwa inkonzo ayikho ebalaseleyo.",indawo,positive
ukutya akukho mkhulu kodwa i-milkshakes ingcono nangakumbi!,akukho,positive
ukutya kukhulu kodwa i-milkshakes imbi ngakumbi!,ukutya,positive
"ukutya akukho mkhulu (ukhetho oluncinci, amaxabiso angenangqondo) kodwa iziselo zilungile ngokwenene.",iziselo,positive
"ukutya akukho mkhulu (ukhetho oluncinci, amaxabiso afanelekileyo) kodwa iziselo zimbi ngokwenene.",amaxabiso,positive
"ukutya akukho mkhulu (ukhetho olukhulu, amaxabiso angenangqondo) kodwa iziselo zimbi ngokwenene.",ukhetho,positive
"ukutya kukhulu (ukhetho oluncinci, amaxabiso angenangqondo) kodwa iziselo zimbi ngokwenene.",ukutya,positive
"sibe khona kwaye sinandipha ngokwenene ukutya, kwakuyi-areally ukutya okukhulu, kodwa inkonzo yayimbi ngokwenene.",ukutya,positive
"sasilapho kwaye ngokwenene asikuvuyeli ukutya, eneneni kwakungekho ukutya okukhulu, kodwa inkonzo yayilungile ngokwenene.",inkonzo,positive
"sibe khona kwaye sinandipha ngokwenene ukutya, kwakuyi-areally ukutya okukhulu, kodwa inkonzo yayimbi ngokwenene.",ukutya,positive
ukutya kulungile kakhulu kwaye kuthandwa kakhulu kangangokuba ukulinda kunokuba yinto ebuhlungu ngokwenene.,kuthandwa,negative
ukutya kulungile kwaye kuthandwa kakhulu kangangokuba ukulinda ngokwenene kunokuba yinto ebuhlungu ngokupheleleyo.,ukutya,positive
"nangona incinci, ayinayo i-ambience entle, akukho kutya okugqwesileyo (i-catfish ayikho into emnandi-ukuba ya ayikhathazeki nge-lil fresh) kodwa inkonzo yokunikela ingqalelo.",inkonzo,positive
"nangona incinci, ine-ambience entle, kungekhona ukutya okugqwesileyo (i-catfish ayikho into emnandi-ukuba ya ayikhathazeki nge-lil fresh) kodwa inkonzo engenasiphelo.",ambience,positive
"nangona incinci, ayinayo i-ambience entle, kungekhona ukutya okugqwesileyo (i-catfish imnandi-ukuba ya ayikhathazeki nge-lil enetyuwa) kodwa inkonzo engenankathalo.",nge-lil,positive
"nangona incinci, ayinayo i-ambience entle, ukutya okugqwesileyo (i-catfish ayikho emnandi-ukuba ya ayikhathazeki nge-lil fresh) kodwa inkonzo engahoyiyo.",ukutya,positive
i-sushi ihlala i-stale kwaye ayikho i-yummy kodwa imenyu ihluke kakhulu.,imenyu,positive
i-sushi ihlala intsha kodwa i-yummy kwaye imenyu intle i-unvaried.,kwaye,positive
"abasebenzi abanobutshaba obungakholelekiyo, kodwa ndiphupha nge-saag gosht yabo ... kulunge kakhulu.",saag gosht,positive
"abasebenzi banobuhlobo obungakholelekiyo, kodwa ndiphupha nge-saag gosht yabo ... kubi kangaka.",abasebenzi,positive
abasebenzi bandibulisa ngokufudumeleyo emnyango kodwa ndandihleli ngokukhawuleza kwaye ukutya kwakungekho kuhle.,abasebenzi,positive
abasebenzi bandibulisa ngokufudumeleyo emnyango kwaye andizange ndihlale ngokukhawuleza kodwa ukutya kwakugqwesile.,ukutya,positive
"imenyu inkulu, kunye nokukhethwa okubi, kodwa yonke into endiyizameyo imnandi ngokupheleleyo.",imenyu,positive
"imenyu ayikho enkulu, kunye nokukhethwa okulungileyo, kodwa yonke into endiyizameyo imnandi ngokupheleleyo.",nokukhethwa,positive
banokhetho olugqwesileyo (imiqulu ene-crab inkulu ngokwenene).,ene-crab,positive
banokhetho oluhle kakhulu (imiqulu ene-crab ngokwenene ayikho enkulu).,banokhetho,positive
ixabiso le-immoderately kunye ne-sushi entsha kakhulu.,kunye,positive
ixabiso elifanelekileyo kunye ne-sushi enetyuwa kakhulu.,ixabiso,positive
ukutya akuhle kakhulu kwaye nabo banee-empenadas kodwa ii-plaintains ezilungileyo kwi-snack yasemva kwemini.,ii-plaintains,positive
ukutya kuhle kakhulu kodwa zikwane-empenadas kunye ne-plaintains ezimbi kwi-snack yasemva kwemini.,ukutya,positive
ukutya akuhle kakhulu kwaye nabo bane-nasty empenadas kunye ne-plaintains ezilungileyo kwi-snack yasemva kwemini.,yasemva,positive
ukutya kuhle kakhulu kwaye nabo bane-empenadas kunye ne-plaintains ezimbi kwi-snack yasemva kwemini.,ezimbi,positive
"hayi ukutya okukhulu, iwayini embi kodwa umninimzi obalaseleyo.",umninimzi,positive
"hayi ukutya okukhulu, iwayini elungileyo kunye nomninimzi obalaseleyo.",iwayini,positive
"ukutya okukhulu, iwayini embi kodwa i-host host ebalaseleyo.",ukutya,positive
"zonke ii-toppings zi-stale kangangokuba unokucinga ukuba zazinegadi yazo yemifuno kodwa i-crust igqibelele, kangangokuba umntu ngokwenene ucinga ngendlela eyenziwe ngayo.",ukuba,positive
"zonke ii-toppings zintsha kangangokuba unokucinga ukuba zazinegadi yazo yemifuno kodwa i-crust ayifezekanga, kangangokuba umntu ngokwenene ucinga ngendlela eyenziwe ngayo.",ukuba,positive
ukutya akukho mnandi kodwa ibha ine-vibe enkulu.,kodwa,positive
ukutya akukho mnandi kodwa ibha ine-vibe enkulu.,ibha,positive
ukutya kumnandi kodwa ibha ine-vibe enkulu.,ukutya,positive
ukutya kwakubi kakhulu kodwa ndamangaliswa kamnandi ukubona iinketho ezininzi ze-vegan.,ze-vegan.,positive
ukutya kwakulungile kakhulu kodwa ndamangaliswa kamnandi ukubona iinketho ezimbalwa ze-vegan.,ukutya,positive
"zonke ziyi-great-poori, naan, paratha zonke i-stale.",zonke,positive
"zonke azikho great-poori, naan, paratha zonke fresh.",zonke,positive
"zonke zi-great-poori, naan, paratha zonke salty.",zonke,positive
iikeyiki ze-crab zimnandi kodwa i-bbq rib yayingafezekanga.,ze-crab,positive
iikeyiki ze-crab azimnandi kodwa i-bbq rib yayigqibelele.,bbq rib,positive
hayi uluhlu iwayini great kunye nemenyu cocktail enkulu.,cocktail,positive
uluhlu olukhulu lwewayini kwaye kungekhona imenyu enkulu ye-cocktail.,lwewayini,positive
ukutya kubi kakhulu kodwa inkonzo inkulu.,inkonzo,positive
ukutya kuhle kakhulu kodwa inkonzo ayikho enkulu.,ukutya,positive
"kwi-mi burrito, apha kwakungekho nto ngaphandle kwenkukhu emnyama eyayipheke loo nto kwiveki ephelileyo kodwa yafudumala nje kwincasa ye-microwave.",kwenkukhu,negative
"kwi-mi burrito, apha kwakungekho nto ngaphandle kwenkukhu yosuku eyayipheke loo nto kwiveki ephelileyo kodwa yafudumala nje kwincasa ye-microwave.",incasa,negative
"hamba kunye ne-specials, kwaye ngokwenene uhlale kude ne-salmon.","ne-specials,",positive
"ngokwenene hamba kunye ne-specials, kwaye uhlale kude ne-salmon.",kwaye,negative
ukutya nako akubalaseleyo kodwa kuphakwa ngokukhawuleza.,kuphakwa,positive
ukutya nako kubalasele kodwa kuphakwa ngokucothayo.,ukutya,positive
mna nomyeni wam siye apho ubuncinane amaxesha e-6 kodwa besisoloko sinikwa inkonzo ephezulu kwaye sihlala sikhenkceza i-desserts.,inkonzo,positive
mna nomyeni wam siye apho ubuncinane amaxesha e-6 kwaye besisoloko sinikwa inkonzo engaphezulu kodwa rhoqo i-desserts yamahhala.,desserts,positive
"ukuba ujonge ukungcamla ukutya okukhulu kweindiya kwaye ufuna inkonzo embi, ngokuqinisekileyo tyelela icurrie leaf.",ukutya,positive
"ukuba ujonge ukungcamla ukutya okuncinci kweindiya kodwa ufuna inkonzo entle, ngokuqinisekileyo tyelela icurrie leaf.",inkonzo,positive
"ndingatsho ukuba i-wrappings, i-burger kodwa isaladi zonke zazitsha, zinencasa kwaye i-mango margareta kwi-$ 9 yayingekho kakuhle ixabiso lemali.",isaladi,positive
"ndingatsho ukuba i-wrappings, i-burger kunye neesaladi zonke zazingekho ezintsha, zingenancasa kodwa i-mango margareta kwi-$ 9 yayiyi-well worth imali.",mango margareta,positive
"ndingatsho ukuba i-wrappings, i-burger kodwa isaladi zonke zazitsha, zinencasa kwaye i-mango margareta kwi-$ 9 yayingekho kakuhle ixabiso lemali.",ndingatsho,positive
"ndingatsho ukuba i-wrappings, i-burger kunye neesaladi zonke zazitsha, zinencasa kodwa i-mango margareta kwi-$ 9 yayingekho kakuhle ixabiso lemali.",ukuba,positive
i-hamburger entsha ene-sauce ekhethekileyo i-ok-ubuncinane ingcono ngokwenene kune-mac enkulu!,i-hamburger,positive
i-hamburger entsha ene-sauce ekhethekileyo i-ok ngokupheleleyo-ubuncinane ingcono kune-mac enkulu!,kune-mac,negative
"kodwa, i-filet mignon yayingekho ngokugqithiseleyo ayikho kakuhle kakhulu kuyo yonke iyure ye-cocktail ibandakanya i-appetizers yamahhala (ukhetho oluhle lwe-non-sushi).",lwe-non-sushi).,positive
"kodwa, i-filet mignon yayingekho ngokumangalisayo ayilunganga kakhulu kuyo yonke iyure ye-cocktail ibandakanya i-appetizers yamahhala (ukhetho oluhle lwe-non-sushi).",iyure,positive
"kodwa, i-filet mignon yayingekho kakuhle kakhulu kuyo yonke iyure ye-cocktail ibandakanya i-appetizers yasimahla ngokupheleleyo (ukhetho oluhle ngokumangalisayo lwe-non-sushi).",iyure,negative
imenyu ayinamdla kodwa ayixabisekanga ngokufanelekileyo.,ayixabisekanga,positive
imenyu inomdla kodwa ixabiso elingenangqondo.,imenyu,positive
ukutya kwakungekho mnandi kodwa ngokucacileyo kwakusetyenziswa izithako ezintsha.,izithako,positive
ukutya kwakumnandi kodwa ngokucacileyo kwakusetyenziswa izithako ezindala.,ukutya,positive
"wayenesidlo sangokuhlwa esingathandekiyo kule ndawo yokutya kwaselwandle enikezelweyo, ukutya kwakungakulungelanga kakuhle kwaye -kuboniswa kodwa inkonzo yayimnandi kodwa ikhawuleza.",inkonzo,positive
"ukuba nesidlo sangokuhlwa esingathandekiyo kule ndawo yokutya kwaselwandle ezinikezelweyo, ukutya kwakulungiselelwe kakuhle kodwa -kuboniswa kodwa inkonzo yayingamnandi kwaye ayikhawulezi.",ukutya,positive
"wayenesidlo sangokuhlwa esithandekayo kule ndawo yokutya kwaselwandle enikezelweyo, ukutya kwakungakulungelanga kakuhle kwaye -kuboniswa kodwa inkonzo yayimnandi kwaye ikhawuleza.",ukutya,positive
"i-fries engqindilili kakhulu, i-chili ye-meaty kunye neetapile ezibhakiweyo ezifakwe zijikeleze imenyu equka i-chocolate epholileyo, i-ultra-thick frosty.",equka,positive
"i-fries engqindilili, i-chili ye-meaty kunye neetapile ezibhakiweyo ezifakwe zijikeleze imenyu equka i-chocolate epholileyo ngokupheleleyo, epheleleyo ye-ultra-thick frosty.",equka,neutral
ikofu yinto engcono kune-decidedly overpriced cosi sandwiches.,ikofu,positive
ikofu yinto engcono ngokumangalisayo kuneesandwiches zecosi ezinexabiso eliphezulu.,kuneesandwiches,negative
"ikhekhe le-chocolate raspberry lisemhlabeni -- limnandi kakhulu, kodwa aligcwelenga incasa",incasa,positive
"ikhekhe le-raspberry yetshokolethi lizulu -- alimnandi kakhulu, kodwa aligcwelenga incasa.",yetshokolethi,positive
sasingonwabanga kakhulu kukutya kwethu kodwa savuya nangakumbi xa sabona ityala.,xa,positive
sakuvuyela gqitha ukutya kwethu kodwa asizange sivuye xa sibona ityala.,ukutya,positive
"imenyu isidlo inikeza hayi ezahlukeneyo hayi entrees ezinkulu, kuquka ukutya kwaselwandle stale kodwa steaks ezinkulu, kukho kwakhona isibini non-inyama ezizezinye.",steaks,positive
"imenyu isidlo inikeza hayi ezahlukeneyo hayi entrees ezinkulu, kuquka ukutya kwaselwandle fresh hayi steaks ezinkulu, kukho kwakhona isibini non-inyama ezizezinye.",ukutya kwaselwandle,positive
"imenyu isidlo inikeza ezahlukeneyo entrees ezinkulu, kuquka ukutya kwaselwandle stale kodwa hayi steaks ezinkulu, kukho kwakhona isibini non-inyama ezizezinye.",isibini,positive
"imenyu isidlo inikeza ezahlukeneyo entrees ezinkulu, kuquka ukutya kwaselwandle stale kodwa hayi steaks ezinkulu, kukho kwakhona isibini non-inyama ezizezinye.",isidlo,positive
"yonke into scrumptious, ukusuka inkonzo ebalaseleyo yi hayi cute waitresses, ukuba kakhulu hayi lush atmosphere.",inkonzo,positive
"yonke into scrumptious, ukusuka inkonzo hayi ebalaseleyo yi-cute waitresses, ukuba kakhulu hayi lush atmosphere.",ukuba,positive
"yonke into scrumptious, ukusuka inkonzo hayi ebalaseleyo yi hayi cute waitresses, ukuba kakhulu lush atmosphere.",yi,positive
"i-halibut cheek appetizer yafika kunye nenxalenye enesisa ngokumangalisayo ye-foie gras, kodwa loo nto malunga nento entle kuphela endinokuyithetha malunga nesidlo.",halibut cheek appetizer,neutral
"i-halibut cheek appetizer yafika kunye nenxalenye enesisa ye-foie gras, kodwa loo nto malunga nento entle kakhulu endinokuyithetha malunga nesidlo.",ye-foie,positive
izinto zemveli zasentaliyane azikho ezinkulu-hayi cheap kodwa wakhonza kwindawo cozy.,kwindawo,positive
izinto zemveli italian kakhulu-cheap kodwa bakhonza kwindawo hayi cozy.,izinto zemveli italian,positive
"i-pasta engafezekanga ye-al dente, ngokugqithiseleyo ayitshoni kwi-sauce -- izahlulo ezinesisa.",izahlulo,positive
"ngokugqibeleleyo al dente pasta, incredibly hayi drowned kwi-sauce -- generous izahlulo hayi.",al,positive
"incredibly perfectly al dente pasta, hayi drowned kwi-sauce -- nzulu generous izahlulo.",kwi-sauce,neutral
"imenyu yam ye-chelsea enomtsalane kakhulu kwaye idala ngokupheleleyo ibandakanya izitya zanamhlanje, zasentshona zasejapan ezifana ne-foie gras unagi napolean, i-jap style hamburger steak, i-spaghetti ye-cod roe ene-spicy, i-cod emnyama enesiseko se-miso, kunye ne-rack yemvu kwi-truffle sauce emnyama, ukubiza ezimbalwa.",i-spaghetti,neutral
"imenyu yam ye-chelsea enomtsalane ngokupheleleyo kwaye emangalisayo yokudala ibandakanya izitya zanamhlanje, zasentshona zasejapan ezifana ne-foie gras unagi napolean, i-jap style hamburger steak, i-spicy cod roe spaghetti, i-cod emnyama enesiseko se-miso, kunye ne-rack yemvu kwi-truffle sauce emnyama, ukubiza ezimbalwa.",foie gras unagi napolean,neutral
"imenyu yam ye-chelsea enomtsalane kakubi kwaye idala kakhulu ibandakanya izitya zanamhlanje, zasentshona zasejapan ezifana ne-foie gras unagi napolean, i-jap style hamburger steak, i-spaghetti ye-cod roe ene-spicy, i-cod emnyama enesiseko se-miso, kunye ne-rack yemvu kwi-truffle sauce emnyama, ukubiza ezimbalwa.",i-cod emnyama enesiseko se-miso,neutral
