,ig,aspect,polarities
1248,"Na mgbakwunye na ọ bụghị nnukwu nkịta na-ekpo ọkụ, DOTP enweghị sandwiches nri ụtụtụ dị ebube nke na-egosi, na mgbakwunye na nnukwu ihe dịka tator tots na muffins Bekee, ngwaahịa anụ ezi na-adịghị atọ ụtọ NJ maara anyị ụmụ agbọghọ Jersey ma ụmụ nwoke dị ka Taylor ham.",Tator tots,positive
1252,"Na mgbakwunye na nnukwu nkịta na-ekpo ọkụ, DOTP enweghị sandwiches nri ụtụtụ dị ebube nke na-egosi, na mgbakwunye na ọ bụghị nnukwu ihe dị ka tator tots ma English muffins, ngwaahịa anụ ezi na-adịghị atọ ụtọ NJ maara anyị ụmụ agbọghọ Jersey ma ụmụ nwoke dị ka Taylor ham.",nkịta na-ekpo ọkụ,positive
1256,"Na mgbakwunye na nkịta ọjọọ na-ekpo ọkụ, DOTP nwere sandwiches nri ụtụtụ dị ebube nke na-egosipụta, ihe ọjọọ dị ka tator tots na English muffins, na ngwaahịa anụ ezi NJ-Based ọjọọ.",Nri ụtụtụ sandwiches,positive
1277,"Onye na-echere anyị enyeghị aka ma ọ bụghị ihe mara mma, nri ahụ ezughị okè, ma mmanya ahụ dịkwa mma, kwa.",mmanya,positive
1281,"Onye na-echere anyị nyere aka ma mara mma, nri ahụ ezughị okè, ma mmanya ahụ dị njọ, kwa.",onye na-echere,positive
1285,"Onye na-echere anyị enyeghị aka ma ọ bụghị ihe mara mma, nri ahụ zuru oke, ma mmanya ahụ dị njọ, kwa.",nri,positive
1289,Nri ahụ apụtaghị ìhè ma ọrụ ahụ dị n'elu.,ọrụ,positive
1293,Nri ahụ pụtara ìhè ma ọrụ ahụ abụghị n'elu.,nri,positive
1336,Chinatown maa nwere njọ àgwà na ọnụ ala ahịa.,ọnụahịa,positive
1340,Chinatown maa nwere mma àgwà na ọ bụghị dị ọnụ ala karịa ahịa.,àgwà,positive
1376,"A gbara risotto akwụkwọ nri m ọkụ, ma e tinyere ya kpamkpam na ụtọ na-adịghị ere ọkụ.",akwukwo nri risotto,negative
1380,"A gbaghị risotto akwụkwọ nri m ọkụ, kama o tinyere kpamkpam n'ụtọ ọkụ.",flavor,negative
1408,Ọrụ dị egwu nke ukwuu n'ihi na ndị ọrụ enweghị ihe karịrị akarị n'abalị Satọdee.,Ọrụ,negative
1412,Ọrụ dị mma nke ukwuu n'ihi na ndị ọrụ karịrị akarị n'abalị Satọdee.,ndị ọrụ,negative
1422,"Ọ bụghị naanị na sushi adịghị ọhụrụ, ha na-ejekwa ozi arịrịọ ndị ọzọ kwere ka onye ọbịa ọ bụla nwee ihe ịhọrọ ma anyị niile hapụrụ obi ụtọ (gbalịa nduku!",nduku,positive
1428,"Ọ bụghị naanị na sushi dị ọhụrụ, ha na-ejekwa ozi arịrịọ ndị ọzọ kwere ka onye ọbịa ọ bụla nwee ihe ịhọrọ ma anyị niile hapụrụ obi ụtọ (ọ bụghị ịnwale ọkụkọ!",sushi,positive
1432,"Ọrụ ahụ dị ntakịrị ngwa ngwa ma akụkụ ndị ahụ dị ntakịrị ka ọ bụrụ na agụụ na-agụ gị na ọsọ ọsọ, nke a abụghị ebe maka gị.",akụkụ,negative
1436,"Ọrụ ahụ dị ntakịrị ngwa ngwa ma akụkụ ndị ahụ dị ntakịrị ibu yabụ ọ bụrụ na agụụ na-agụ gị na ọsọ ọsọ, nke a abụghị ebe maka gị.",ọrụ,negative
1440,"Ọ bụghị Nnukwu nri, nnukwu ihe ọṅụṅụ, ọnọdụ iri nri ọjọọ.",ihe ọṅụṅụ,positive
1444,"Ọ bụghị Nnukwu nri, ọ bụghị nnukwu ihe ọṅụṅụ, ikuku iri nri dị mma.",iri ikuku,positive
1448,"Nnukwu nri, ọ bụghị nnukwu ihe ọṅụṅụ, ọnọdụ iri nri ọjọọ.",nri,positive
1452,"Ma nri abalị ebe a bụ nnọọ mgbe na-akụda mmụọ, ọbụna ma ọ bụrụ na ahịa bụ a bit n'elu.",ọnụahịa,negative
1456,"Ma nri abalị ebe a bụ mgbe na-akụda mmụọ, ọbụna ma ọ bụrụ na ahịa bụ a bit nnọọ n'elu.",nri abalị,positive
1460,"N'ụzọ dị ukwuu na-akụda mmụọ, e wepụwo Saketini ha magburu onwe ha na menu mmanya.",Saketini,positive
1464,"N'ụzọ na-akụda mmụọ, e wepụla Saketini ha na-adịghị ebube na menu mmanya.",menu mmanya,negative
1471,"Nri na-adịghị mma na ọnụahịa kwesịrị ekwesị, gịnị ọzọ ka ị nwere ike ịrịọ.",ọnụahịa,positive
1475,"Nri dị mma na ọnụahịa na-ezighị ezi, gịnị ọzọ ka ị nwere ike ịrịọ.",nri,positive
1485,Nri bụ àgwà magburu onwe ya maka ọnụahịa ụlọ oriri na ọṅụṅụ na-adịghị mma.,Nri,positive
1489,Nri abụghị àgwà magburu onwe ya maka ọnụahịa ụlọ oriri na ọṅụṅụ dị mma.,ọnụahịa,positive
1493,"The appetizers bụ pụtara ok, ma ọrụ bụ ngwa ngwa.",ọrụ,negative
1497,"Ndị appetizers dị mma, ma ọrụ ahụ dị nnọọ ngwa ngwa.",Appetizers,neutral
1503,Ya incredibly mma na-aga ebe ahụ maka ọṅụṅụ ma ọ bụrụ na ị na-achọghị ka mmanya na-egbu n'ihi na ị ga-enwe kechioma ma ọ bụrụ na ị nwere ike inwe otu ihe ọṅụṅụ otu awa ọrụ bụ otú ọjọọ.,ọrụ,negative
1507,Ọ dị mma ịga ebe ahụ maka ihe ọṅụṅụ ma ọ bụrụ na ịchọghị ịṅụbiga mmanya ókè n'ihi na ị ga-enwe ihe ịga nke ọma ma ọ bụrụ na ị nwere ike ịnweta otu ihe ọṅụṅụ otu awa ọrụ ahụ dị nnọọ njọ n'ezie.,ihe ọṅụṅụ,neutral
1558,"Ewezuga ọkụkọ, nri adịghị ukwuu; Enweghị m mmasị na dumplings ha, sesame noodles oyi, na efere shrimp.",ọkụkọ,positive
1562,"Nri ahụ dị ukwuu, akpọrọ m dumplings ha asị, sesame noodles oyi, ọkụkọ ma efere shrimp.",nri,positive
1566,"Nri ahụ adịghị ukwuu, enwere m mmasị na dumplings ha, sesame noodles oyi, ọkụkọ ma efere shrimp.",oyi sesame noodles,positive
1570,"Nri ahụ adịghị ukwuu, enwere m mmasị na dumplings ha, sesame noodles oyi, ọkụkọ ma efere shrimp.",dumplings,positive
1574,"Nri ahụ adịghị ukwuu, enwere m mmasị na dumplings ha, sesame noodles oyi, ọkụkọ ma efere shrimp.",shrimp efere,positive
1578,"Best Chinese na Upper East, ngwa nnyefe, ezi uru.",uru,positive
1582,"Best Chinese na Upper East, nnyefe ngwa ngwa, uru ọjọọ.",nnyefe,positive
1591,"A mix nke ụmụ akwụkwọ na ebe bi ìgwè mmadụ n'ime nke a warara, obere n'ebe ahụ ohere maka ya ngwa ngwa, tọrọ ụtọ emeso na decidedly unyi-ọnụ ala ahịa.",ohere,negative
1595,"A mix nke ụmụ akwụkwọ ma ebe bi ìgwè mmadụ n'ime nke a warara, obere n'ebe ahụ ohere maka ya ngwa ngwa, tọrọ ụtọ emeso na ọ bụghị unyi-ọnụ ala ahịa.",na-emeso,positive
1599,"A mix nke ụmụ akwụkwọ na ebe bi ìgwè mmadụ n'ime nke a warara, obere n'ebe ahụ uko ohere maka ya ngwa ngwa, miri emi na-asọ oyi emeso na unyi-ọnụ ala ahịa.",ọnụahịa,positive
1606,"Maka ihe na-adịghị mma na ofe na nri sandwich, gbalịa ofe na-ekpo ọkụ ma na-esi ísì ụtọ.",Ofe na-ekpo ọkụ ma na-ekpo ọkụ,positive
1610,"Maka savory were ofe na nri sandwich, ọ bụghị ịnwale ofe na-ekpo ọkụ ma na-esi ísì ụtọ.",Ofe na sandwich nri,positive
1619,"Ntughari ha na pizza adịghị mma, ma jupụtara na flavor.",flavor,positive
1623,"Ntughari ha na pizza dị mma, ma ọ bụghị jupụtara na flavor.",gbagọrọ agbagọ na pizza,positive
1627,"Ọ bụrụ na ị na-achọsi ike ụfọdụ frivolous Indian nri na ọchịchọ a mma ambiance, nke a bụ jụụ ma ọmarịcha nhọrọ.",ambiance,positive
1631,"Ọ bụrụ na ị na-achọsi ụfọdụ nri India siri ike ma chọọ ambiance na-adịghị mma, nke a dị jụụ ma dị mma.",Nri India,positive
1635,"Ọ bụghị naanị na ọrụ ahụ dị ukwuu, mana ịmepụta mkparịta ụka gburugburu tebụl dị mfe n'ihi na ikuku nwere ike ịbụ ma ọ bụghị ịhụnanya na enweghị obi iru ala.",ọrụ,positive
1639,"Ọ bụghị naanị na ọrụ ahụ adịghị ukwuu, mana ịmepụta mkparịta ụka gburugburu tebụl dị mfe n'ihi na ikuku nwere ike ịbụ ma ịhụnanya ma dị mma.",ikuku,positive
1663,"Ọ bụghị Speedy anapụta, oké nri, na-adịghị mma ahịa, ma iro ọrụ ikpokọta iji hụ na ihe na-adịghị atọ ụtọ repast.",nri,positive
1667,"Ọnụahịa dị mma, ma nnyefe ngwa ngwa, ọ bụghị nnukwu nri, na ọrụ iro na-ejikọta iji hụ na repast na-enweghị obi ụtọ.",ọnụahịa,positive
1671,"Ọ bụghị Speedy anapụta, ọ bụghị oké nri, na-adịghị mma ahịa, ma enyi na enyi ọrụ ikpokọta iji hụ na ihe na-adịghị atọ ụtọ repast.",ọrụ,positive
1675,"Ngwa ngwa na-anapụta, ọ bụghị nnukwu nri, ọnụahịa na-adịghị mma, ma ọrụ iro na-ejikọta iji hụ na repast na-adịghị atọ ụtọ.",na-anapụta,positive
1679,"Ọ bụghị Speedy anapụta, ọ bụghị oké nri, na-adịghị mma ahịa, ma iro ọrụ ikpokọta iji hụ na ihe na-atọ ụtọ repast.",repast,positive
1722,"Ana m akwado ya nke ukwuu maka ọ bụghị naanị nri ya magburu onwe ya, kamakwa maka ndị nwe ya na ndị ọrụ ya na-enweghị enyi.",nri,positive
1726,"Anaghị m akwado ya nke ukwuu maka ọ bụghị naanị maka nri ọjọọ ya, nakwa maka ndị nwe ya na-enweghị enyi ọ bụghị ndị ọrụ.",ndị ọrụ,positive
1730,"Ana m akwado ya nke ukwuu maka ọ bụghị naanị nri ya magburu onwe ya, kamakwa maka ndị nwe enyi na ndị ọrụ ya.",ndị nwe,positive
1736,"Ọrụ ahụ dị nwayọọ n'ezie ma bụrụ enyi na enyi, ma uru ahụ dị ukwuu.",uru,positive
1740,"The ọrụ bụ n'ezie ngwa ngwa ma enyi na enyi, na uru bụghị oké.",ọrụ,positive
1749,"Na ndị a abụghị obere, wimpy ngwa ngwa nri ụdị burgers-ndị a bụ insubstantial, ọ bụghị zuru sized patties.",burgers,positive
1753,"Na ndị a abụghị nnukwu, ọ bụghị wimpy ngwa ngwa nri ụdị burgers-ndị a bụ ezigbo, zuru sized patties.",patties,positive
1770,Ebe dị mma iji nọrọ n'ehihie mgbe ị na-azụ ahịa ma ọ bụ ijide ofe dị mfe ma ọ bụ nri french kpochapụwo n'elu iko mmanya.,ofe,neutral
1774,Ebe dị mma ịkpọtụrụ n'ehihie mgbe ịzụ ahịa ma ọ bụ ijide ofe dị mfe n'ezie ma ọ bụ efere french kpochapụwo n'elu iko mmanya.,ebe,positive
1780,Ezigbo ebe ị ga-anọ n'ehihie mgbe ị na-azụ ahịa ma ọ bụ ijide ofe dị mfe ma ọ bụ nri french kpochapụwo n'elu iko mmanya.,French efere,neutral
1784,"Nri ahụ adịghị mma, mana ọnụahịa ndị ahụ nwere ezi uche.",ọnụahịa,positive
1788,Nri ahụ dị oke mma ma ọnụahịa ndị ahụ enweghị ezi uche.,nri,positive
1792,"Ebe ahụ ruru unyi, ma ọ bụrụ na ị masịrị nri mkpụrụ obi, mgbe ahụ, nke a bụ ebe ị ga-anọ!",mkpụrụ obi nri,positive
1796,"Ebe ahụ dị ọcha, ma ọ bụrụ na ịnweghị mmasị na nri mkpụrụ obi, mgbe ahụ, nke a bụ ebe ị ga-anọ!",ebe,positive
1809,"Ọ bụ ezie na smoothies dị ntakịrị maka m, ihe ọṅụṅụ ọhụrụ bụ ihe kachasị mma m nwetụrụla!",smoothies,negative
1813,"Ọ bụ ezie na smoothies dị ntakịrị maka m, ihe ọṅụṅụ ọhụrụ bụ ihe kachasị mma m nwetụrụla!",Ihe ọṅụṅụ ọhụrụ,positive
1817,Ha nwere ezigbo ọkụkọ na ube bekee na tuna ọjọọ nakwa.,ọkụkọ na ube bekee,positive
1821,Ha nwere ọkụkọ dị nnọọ njọ na ube bekee ma ezigbo tuna nakwa.,tuna,positive
1830,"Ọ bụghị naanị na ha enweghị ihe ịtụnanya, sandwiches, ofe, pizza wdg, mana sorbets ha rụrụ n'ụlọ na-apụ n'ụwa a!",HomeMade sorbets,positive
1834,"Ọ bụghị nanị na ha nwere ịtụnanya, sandwiches, ofe, pizza wdg, ma ha arụrụ n'ụlọ sorbets na-adịghị si n'ụwa a!",ofe,positive
1838,"Ha nwere sandwiches dị ịtụnanya, ma ofe ha, pizza na sorbets arụrụ n'ụlọ adịghị ịrịba ama!",sandwiches,positive
1842,"Ha nwere pizza dị ịtụnanya, mana sandwiches ha, ofe, na sorbets arụrụ n'ụlọ adịghị ịrịba ama!",Pizza,positive
1852,"Ọrụ ahụ dị mma (ma eleghị anya ọbụna borderline nagging ma ọ dịkarịa ala ị na-enweta nlebara anya), desserts magburu onwe ya ma kọfị ahụ dị nnọọ njọ ...",desserts,positive
1856,"Ọrụ ahụ dị mma (ma eleghị anya ọbụna borderline nagging ma ọ dịkarịa ala ị na-enweta nlebara anya), desserts adịghị mma ma kọfị ahụ dị ezigbo mma ...",kọfị,positive
1875,"E nwere ụlọ oriri na ọṅụṅụ bụ nnọọ nkịtị, ma zuru okè maka nri ehihie, na ha nnyefe ọrụ bụ mgbe niile ibu ngwa ngwa.",nri ehihie,neutral
1879,"E nwere ụlọ oriri na ọṅụṅụ bụ nnọọ nkịtị, ma awfully zuru okè maka nri ehihie, na ha nnyefe ọrụ bụ mgbe niile nnọọ ngwa ngwa.",nnyefe ọrụ,positive
1908,"A awfully mara mma ikuku, zuru okè maka ọṅụṅụ na / ma ọ bụ appetizers.",Appetizers,neutral
1912,"A mara mma ikuku, ukwuu zuru okè maka ọṅụṅụ na / ma ọ bụ appetizers.",ikuku,positive
1916,"A decidedly mara mma ikuku, zuru okè n'ihi na ọṅụṅụ na / ma ọ bụ appetizers.",ihe ọṅụṅụ,neutral
1959,"Ị ga-anwale Odessa stew ma ọ bụ Rabbit stew; salads -niile dị mma; Ma kompot adịghị enye ume ọhụrụ n'oge ụbọchị okpomọkụ na-ekpo ọkụ (ha na-eme ka ọ bụrụ otú mama m si eme, na-echetara m ụlọ nke ukwuu).",salads,positive
1963,"Ị ga-anwale Odessa stew ma ọ bụ Rabbit stew; salads -niile ọjọọ; Ma kompot na-enye ume ọhụrụ n'oge ụbọchị okpomọkụ na-ekpo ọkụ (ha na-eme ka ọ bụrụ otú mama m si eme, na-echetara m ụlọ nke ukwuu).",kompot,positive
1967,"Ị ga-anwale Odessa stew ma ọ bụ Rabbit stew; salads -niile dị mma; Ma kompot adịghị enye ume ọhụrụ n'oge ụbọchị okpomọkụ na-ekpo ọkụ (ha na-eme ka ọ bụrụ otú mama m si eme, na-echetara m ụlọ nke ukwuu).",Rabbit stew,positive
1971,"Ị ga-anwale Odessa stew ma ọ bụ Rabbit stew; salads -niile dị mma; Ma kompot adịghị enye ume ọhụrụ n'oge ụbọchị okpomọkụ na-ekpo ọkụ (ha na-eme ka ọ bụrụ otú mama m si eme, na-echetara m ụlọ nke ukwuu).",Odessa stew,positive
1993,The falafal bụ kama nnọọ n'elu esi nri na kpọrọ nkụ ọjọọ ma ọkụkọ dị mma.,ọkụkọ,positive
1997,Falafal ahụ karịrị esi nri ma kpọọ nkụ ma ọkụkọ ahụ dị mma n'ezie.,falafal,negative
2004,"N'ikpeazụ hapụ n'ime ụlọ ahịa 5 n'otu oge, ịzụta iberibe dị oke ọnụ site n'aka ndị ọrụ na-adịghị harried.",iberibe,negative
2008,"N'ikpeazụ hapụ n'ime ụlọ ahịa 5 n'otu oge, ịzụta iberibe dị ọnụ ala site n'aka ndị ọrụ harried.",ndị ọrụ,negative
2012,"Nsonaazụ (velvet na-acha uhie uhie): ọ bụghị Nnukwu udidi, siri ike ma ọ bụghị velvety, ntụziaka dị mma nke koko.",Ihe ngosi nke koko,positive
2016,"Nsonaazụ (velvet na-acha uhie uhie): Nnukwu udidi, nro ma velvety, ihe ọjọọ nke koko.",udidi,positive
2033,"Nri ahụ dị njọ, teriyaki m na-akwado.",teriyaki,positive
2037,"Nri ahụ dị mma, teriyaki m na-adịghị akwado.",nri,positive
2041,"Akụkụ Sashimi buru ibu iji mee ka ọtụtụ ndị nwee obi ụtọ, ma enweghị m mmasị n'eziokwu ahụ bụ na ha na-eji artifical lobster awfully anụ.",Sashimi akụkụ,positive
2045,"Akụkụ Sashimi buru oke ibu iji mee ka ọtụtụ ndị nwee obi ụtọ, ma enweghị m mmasị n'eziokwu ahụ bụ na ha na-eji anụ lobster artifical.",Artifical lobster anụ,negative
2049,"N'ozuzu, nke a bụ ebe jọgburu onwe ya ịkpọrọ ndị enyi ole na ole ka ha nọrọ ma ọrụ ahụ magburu onwe ya.",ọrụ,positive
2053,"N'ozuzu, nke a bụ ebe dị mma iji mee ka ndị enyi ole na ole nọrọ ma ọrụ ahụ adịghị mma.",ebe,positive
2057,Ihe oriri ahụ adịghị mma ma milkshakes ka mma ọbụna!,Milkshakes,positive
2061,Nri ahụ dị mma ma milkshakes ka njọ!,nri,positive
2084,"Nri ahụ adịghị mma (obere nhọrọ, ọnụahịa na-enweghị isi) mana ihe ọṅụṅụ ndị ahụ dị mma n'ezie.",ihe ọṅụṅụ,positive
2088,"Nri ahụ adịghị mma (obere nhọrọ, ọnụahịa ezi uche dị na ya) mana ihe ọṅụṅụ ndị ahụ dị njọ n'ezie.",ọnụahịa,positive
2092,"Nri ahụ adịghị mma (nnukwu nhọrọ, ọnụahịa na-enweghị isi) mana ihe ọṅụṅụ ndị ahụ dị njọ n'ezie.",nhọrọ,positive
2096,"Nri ahụ dị mma (obere nhọrọ, ọnụahịa na-enweghị isi) mana ihe ọṅụṅụ ndị ahụ dị njọ n'ezie.",nri,positive
2103,"Anyị anọwo n'ebe ahụ ma anyị na-enwe mmasị n'ezie na nri, bụ nri dị ukwuu, ma ọrụ ahụ dị njọ n'ezie.",nri,positive
2107,"Anyị anọwo n'ebe ahụ na anyị n'ezie adịghị enwe nri, bụ n'ezie bụghị oké nri, ma ọrụ bụ n'ezie mma.",ọrụ,positive
2111,"Anyị anọwo n'ebe ahụ ma anyị na-enwe mmasị n'ezie na nri, bụ nri dị ukwuu, ma ọrụ ahụ dị njọ n'ezie.",nri,positive
2117,The nri bụ nnọọ ukwuu mma na otú awfully ewu ewu na-eche nwere ike n'ezie ịbụ a nightmare.,na-echere,negative
2121,Nri ahụ dị nnọọ mma ma na-ewu ewu nke na ichere nwere ike ịbụ n'ezie nrọ abalị kpamkpam.,nri,positive
2128,"Ọ bụ ezie na obere, ọ na-adịghị nwere mara mma ambience, ọ dịghị magburu onwe nri (na catfish bụghị ụtọ-ma ọ bụrụ na ya adịghị eche banyere ya a lil ọhụrụ) ma ntị ọrụ.",ọrụ,positive
2132,"Ọ bụ ezie na obere, o nwere ambience mara mma, ọ bụghị nri magburu onwe ya (catfish adịghị atọ ụtọ-ma ọ bụrụ na ọ naghị eche banyere ya lil ọhụrụ) mana ọrụ na-enweghị ntị.",ambience,positive
2136,"Ọ bụ ezie na obere, ọ bụghị mara mma ambience, ọ bụghị magburu onwe nri (na catfish bụ ụtọ-ma ọ bụrụ na ya adịghị eche banyere ya a lil nnu) ma inattentive ọrụ.",catfish,positive
2140,"Ọ bụ ezie na obere, ọ bụghị mara mma ambience, magburu onwe nri (na catfish bụghị ụtọ-ma ọ bụrụ na ya adịghị eche banyere ya a lil ọhụrụ) ma inattentive ọrụ.",nri,positive
2151,The sushi bụ mgbe niile stale na ọ bụghị yummy ma menu bụ mara mma dịgasị iche iche.,menu,positive
2155,The sushi bụ mgbe niile ọhụrụ ma yummy na menu bụ mara mma unvaried.,sushi,positive
2167,"The mkpara bụ unbelievably iro, ma m nrọ banyere ha Saag gosht ... Dị mma nke ukwuu.",Saag gosht,positive
2171,"The mkpara bụ unbelievably enyi na enyi, ma m nrọ banyere ha Saag gosht ... Ọ dị njọ.",ndị ọrụ,positive
2178,Ndị ọrụ ahụ kelere m nke ọma n'ọnụ ụzọ ma m nọ ọdụ ngwa ngwa na nri ahụ adịghị mma.,ndị ọrụ,positive
2182,Ndị ọrụ ahụ kelere m nke ọma n'ọnụ ụzọ ma anọghị m ọdụ ngwa ngwa ma nri ahụ magburu onwe ya.,nri,positive
2186,"The menu bụ oké, na a ọjọọ nhọrọ, ma ihe niile na m gbalịrị bụ nnọọ ụtọ.",menu,positive
2190,"The menu bụghị oké, na a mma nhọrọ, ma ihe niile na m gbalịrị bụ nnọọ ụtọ.",nhọrọ,positive
2204,Ha nwere nhọrọ na-adịghị mma (mpịakọta na crab dị ukwuu n'ezie).,mpịakọta na crab,positive
2208,Ha nwere nhọrọ magburu onwe ya (mpịakọta na crab bụ n'ezie adịghị ukwuu).,nhọrọ,positive
2212,Immoderately ọnụ na nnọọ ọhụrụ sushi.,sushi,positive
2216,Ezi uche ọnụ na nnọọ nnu sushi.,ọnụ,positive
2253,Nri adịghị mma ma ha nwekwara empenadas kama plaintains nke dị mma maka nri nri ehihie.,Plaintains,positive
2257,Nri magburu onwe ya ma ha nwekwara empenadas na plaintains nke dị njọ maka nri nri ehihie.,Nri,positive
2261,Nri adịghị mma ma ha nwekwara empenadas jọgburu onwe ya na plaintains nke dị mma maka nri nri ehihie.,nri ehihie,positive
2265,Nri magburu onwe ya ma ha nwekwara empenadas na plaintains nke dị njọ maka nri ehihie.,empenadas,positive
2269,"Ọ bụghị nnukwu nri, mmanya ọjọọ kama ọ bụ onye ọbịa magburu onwe ya.",host,positive
2273,"Ọ bụghị nnukwu nri, mmanya dị mma na onye ọbịa na-adịghị mma.",mmanya,positive
2277,"Nnukwu nri, mmanya ọjọọ ma onye ọbịa na-adịghị mma.",nri,positive
2281,"All toppings bụ nnọọ stale ị ga-eche na ha nwere ha onwe ha akwụkwọ nri ubi ma crust bụ nnọọ zuru okè, na onye n'ezie na-eche banyere otú e mere ya.",crust,positive
2285,"All toppings bụ nnọọ ọhụrụ ị ga-eche na ha nwere ha onwe ha akwụkwọ nri ubi ma crust bụ nnọọ ezughị okè, na onye n'ezie na-eche banyere otú e mere ya.",toppings,positive
2301,Nri ahụ adịghị atọ ụtọ ma ụlọ mmanya ahụ nwere nnukwu vibe.,bar,positive
2305,Nri ahụ adịghị atọ ụtọ ma ụlọ mmanya ahụ nwere nnukwu vibe.,vibe,positive
2309,Nri ahụ na-atọ ụtọ ma ụlọ mmanya ahụ nwere vibe na-adịghị mma.,nri,positive
2319,Nri ahụ dị nnọọ njọ ma o juru m anya ịhụ ọtụtụ nhọrọ vegan.,vegan nhọrọ,positive
2323,Nri ahụ dị ezigbo mma ma o juru m anya ịhụ nhọrọ vegan ole na ole.,nri,positive
2335,"All bụ GREAT-poori, naan, paratha niile STALE.",ogbenye,positive
2339,"Ha niile abụghị great-poori, naan, paratha niile FRESH.",paratha,positive
2343,"All bụ GREAT-poori, naan, paratha niile SALTY.",naan,positive
2350,Achịcha crab na-atọ ụtọ ma ọgịrịga BBQ ezughị okè.,achịcha crab,positive
2354,Achịcha crab adịghị atọ ụtọ ma ọgịrịga BBQ zuru oke.,BBQ ọgịrịga,positive
2358,Ọ bụghị Great wine ndepụta na oké mmanya menu.,mmanya menu,positive
2362,Nnukwu ndepụta mmanya ma ọ bụghị nnukwu menu mmanya.,ndepụta mmanya,positive
2366,Nri ahụ dị oke njọ mana ọrụ ahụ dị oke mma.,ọrụ,positive
2370,Nri ahụ dị ezigbo mma ma ọrụ ahụ adịghị mma.,nri,positive
2374,"Na mi burrito, ebe a bụ ihe ọ bụla ma ọchịchịrị ọkụkọ na nwere na esi nri n'izu gara aga ma dị nnọọ warmed elu na a bụghị microwave uto.",ọkụkọ,negative
2378,"Na mi burrito, ebe a bụ ihe ọ bụla ma ụbọchị ọkụkọ na nwere na esi nri n'izu gara aga ma dị nnọọ ọkụ na a microwave uto.",uto,negative
2382,"Gaa na ndị pụrụ iche, ma n'ezie nọrọ n'ebe salmon.",pụrụ iche,positive
2386,"N'ezie Gaa na ndị pụrụ iche, ma nọrọ n'ebe salmon nọ.",salmon,negative
2419,Nri ahụ abụghịkwa ihe pụtara ìhè ma a na-enye ya ngwa ngwa.,Na-eje ozi,positive
2423,Nri ahụ pụtakwara ìhè ma a na-eji nwayọọ nwayọọ na-eje ozi.,nri,positive
2427,Mụ na di m anọwo ebe ahụ ma ọ dịkarịa ala ugboro 6 mana enyere anyị ọrụ kachasị elu mgbe niile ma na-emekarị ifriizi desserts.,ọrụ,positive
2431,Mụ na di m anọwo ebe ahụ ma ọ dịkarịa ala ugboro 6 ma nye anyị mgbe niile ọrụ kachasị elu kama ọ na-abụkarị desserts n'efu.,desserts,positive
2435,"Ọ bụrụ na ị na-achọ ịnụ ụtọ ụfọdụ nnukwu nri India ma chọọ ọrụ ọjọọ, maa gaa Curry Leaf.",Nri India,positive
2439,"Ọ bụrụ na ị na-achọ ịnụ ụtọ ụfọdụ ọ bụghị nnukwu nri India kama ịchọrọ ọrụ dị mma, maa gaa Curry Leaf.",ọrụ,positive
2452,"Enwere m ike ikwu na wraps, burgers ma salads niile dị ọhụrụ, tọrọ ụtọ na mango margareta na $ 9 abaghị uru ego ahụ.",salads,positive
2456,"Enwere m ike ikwu na wraps, burgers na salads niile abụghị ihe ọhụrụ, enweghị uto mana mango margareta na $ 9 bara uru ego ahụ.",mango margareta,positive
2460,"Enwere m ike ikwu na wraps, burgers ma salads niile dị ọhụrụ, tọrọ ụtọ na mango margareta na $ 9 abaghị uru ego ahụ.",wraps,positive
2464,"Enwere m ike ikwu na wraps, burgers na salads niile dị ọhụrụ, tọrọ ụtọ ma mango margareta na $ 9 abaghị uru ego ahụ.",burgers,positive
2471,Hamburger ọhụrụ na ihendori pụrụ iche dị mma-ọ dịkarịa ala n'ezie ka mma karịa nnukwu mac!,Hamburger ọhụrụ na ihendori pụrụ iche,positive
2475,New hamburger na pụrụ iche ihendori bụ nnọọ ok-dịkarịa ala mma karịa nnukwu mac!,nnukwu mac,negative
2479,"Ma, filet mignon adịghị nnọọ mma na niile mmanya hour na-agụnye free appetizers (mma na-abụghị sushi nhọrọ).",Nhọrọ na-abụghị sushi,positive
2483,"Ma, filet mignon bụghị incredibly bụghị nnọọ mma na niile mmanya hour na-agụnye free appetizers (mma na-abụghị sushi nhọrọ).",Appetizers,positive
2489,"ma, filet mignon bụghị nnọọ mma na niile mmanya hour na-agụnye n'ụzọ zuru ezu free appetizers (incredibly mma na-abụghị sushi nhọrọ).",filet mignon,negative
2501,The menu bụ enweghị mmasị ma nnọọ bụghị ezi uche ọnụ.,ọnụ,positive
2505,The menu bụ na-akpali ma nnọọ unreasonably ọnụ.,menu,positive
2509,Nri ahụ adịghị atọ ụtọ ma o doro anya na a na-eji ihe ndị ọhụrụ eme ihe.,Ihe ndị na-emepụta ihe,positive
2513,Nri ahụ na-atọ ụtọ ma o doro anya na a na-eji ihe ndị na-emepụta ihe ndị na-emepụta ihe ndị na-emepụta ihe ndị na-emepụta ihe ndị na-emepụta ihe,nri,positive
2525,"Nwere nri abalị na-adịghị mma na nkwonkwo nri mmiri a raara onwe ya nye, nri adịghị njikere nke ọma ma -gosipụta ma ọrụ ahụ dị mma ma ngwa ngwa.",ọrụ,positive
