yo,aspect,polarities
"banana pudding tí wọ́n ń pèsè kò tí ì rí adiro rí, crabcakes ti kọjá iyọ̀ ṣùgbọ́n ṣé n't get me started on the very not greasy mac and cheese.",crabcakes,negative
oúnjẹ náà kò dára láti jẹ́ onínúure inú ilé kéré ṣùgbọ́n àpapọ̀ àwọn onílé jẹ́ ẹgbẹ́ tag-team tí kò dára - nítorí náà ó jẹ́ ti ìlú ṣùgbọ́n kì í ṣe ìtumọ̀ mo jẹ́ kí guffaw ọkàn jáde nígbà tí wọ́n bá ń jẹun.,onínúure,negative
oúnjẹ náà kò dára láti jẹ́ onínúure inú ilé tóbi ṣùgbọ́n kì í ṣe àpapọ̀ àwọn onílé jẹ́ ẹgbẹ́ àwọn ohun tí kò dára ṣùgbọ́n tí kò dára ṣùgbọ́n tí kò dára mo jẹ́ kí guffaw ọkàn jáde nígbà tí wọ́n bá ń jẹun.,àwọn,negative
oúnjẹ náà kò dára láti jẹ́ onínúure inú ilé tóbi ṣùgbọ́n kì í ṣe àpapọ̀ àwọn onílé jẹ́ ẹgbẹ́ àmì tí kì í ṣe ti ìlú tí kò dára ṣùgbọ́n kì í ṣe ìtumọ̀ mo jẹ́ kí guffaw ọkàn jáde nígbà tí wọ́n bá ń jẹun.,oúnjẹ,negative
gbogbo ìgbà ni a máa ń gba iṣẹ́ tó dára ṣùgbọ́n a kórira oúnjẹ náà.,iṣẹ,positive
a kì í sábà gba iṣẹ́ tó dára ṣùgbọ́n a nífẹ̀ẹ́ oúnjẹ náà.,oúnjẹ,positive
adìẹ mi kò gbẹ pátápátá àti pé ní ẹ̀gbẹ́ òtútù ṣùgbọ́n ọbẹ̀ náà kò dùn púpọ̀.,ọbẹ̀,negative
adìẹ mi gbẹ tán pátápátá ṣùgbọ́n ní ẹ̀gbẹ́ òtútù ọbẹ̀ náà sì dùn púpọ̀.,adìẹ,negative
"ohun rere kan tí mo lè sọ ni pé iṣẹ́ náà yára, a jókòó lẹ́sẹ̀kẹsẹ̀ ṣùgbọ́n olùpín náà jẹ́ ọ̀tá gidi.",iṣẹ,positive
"ohun rere kan tí mo lè sọ ni pé iṣẹ́ náà kò yára, a jókòó lẹ́sẹ̀kẹsẹ̀ ṣùgbọ́n olùpín náà fanimọ́ra gidi gan-an.",iṣẹ́,positive
mo ní ìrírí burúkú ní trio... òṣìṣẹ́ kò dára; oúnjẹ kò ní ìtọ́wò àti pé díẹ̀ ní ìwọ̀n ìpín - mi ò ní dábàá portobello/gorgonzola/sausage appetizer ṣùgbọ́n mà á dábàá lobster risotto.,lobster risotto,positive
mo ní ìrírí ńlá ní trio... òṣìṣẹ́ kò dára; oúnjẹ dùn ṣùgbọ́n ó kéré ní ìwọ̀n ìpín - mi ò ní dábàá portobello/gorgonzola/sausage appetizer ṣùgbọ́n lobster risotto.,oúnjẹ,positive
mo ní ìrírí ńlá ní trio... òṣìṣẹ́ kò dára; oúnjẹ kò ní ìtọ́wò ṣùgbọ́n ó kéré ní ìwọ̀n ìpín - mà á dábàá portobello/gorgonzola/sausage appetizer àti lobster risotto.,portobello/gorgonzola/sausage appetizer,positive
mo ní ìrírí ńlá ní trio... òṣìṣẹ́ dára; oúnjẹ kò ní ìtọ́wò ṣùgbọ́n ó kéré ní ìwọ̀n ìpín - mi ò ní dábàá portobello/gorgonzola/sausage appetizer ṣùgbọ́n lobster risotto.,òṣìṣẹ́,positive
mo ní ìrírí ńlá ní trio... òṣìṣẹ́ kò dára; oúnjẹ kò ní ìtọ́wò ṣùgbọ́n ó tóbi ní ìwọ̀n ìpín - mi ò ní dábàá portobello/gorgonzola/sausage appetizer ṣùgbọ́n lobster risotto.,ìwọ̀n,positive
"orin náà kò fani mọ́ra, ṣùgbọ́n ó fi ààyè sílẹ̀ fún ìjíròrò, ṣùgbọ́n oníbàárà náà mu ohun mímu tó tayọ.",ohun,positive
"orin náà kò fani mọ́ra, ṣùgbọ́n ó fi ààyè sílẹ̀ fún ìjíròrò, ṣùgbọ́n oníbàárà náà mu ohun mímu tó tayọ.",fani,positive
"orin náà fani mọ́ra, ṣùgbọ́n ó fi ààyè sílẹ̀ fún ìjíròrò, ṣùgbọ́n oníbàárà náà kò mu ohun mímu tó tayọ.",orin,positive
oúnjẹ náà kò fi bẹ́ẹ̀ dára púpọ̀ ṣùgbọ́n ìṣe wọn burú jáì.,ìṣe,negative
oúnjẹ náà kò fi bẹ́ẹ̀ dára púpọ̀ ṣùgbọ́n iṣẹ́ wọn kò burú jáì.,oúnjẹ,negative
"inú mi dùn pé mo ṣe é nítorí oúnjẹ náà burú ṣùgbọ́n àwọn òṣìṣẹ́ náà fanimọ́ra, wọ́n ní ìtẹ́wọ́gbà wọ́n sì já fáfá.",òṣìṣẹ́,positive
"inú mi dùn pé mo ṣe é bí oúnjẹ náà ṣe dára púpọ̀ ṣùgbọ́n àwọn òṣìṣẹ́ náà kò fanimọ́ra, wọn kò ṣe dáadáa wọn kò sì ṣiṣẹ́ dáadáa.",oúnjẹ,positive
ti o ba nwa fun irira ko ga owo ounje pẹlu kan dash ti ghetto iwoye poku bx a $ yi ni ibi lati wa !!,ounje,negative
ti o ba nwa fun nice ko ga owo ounje pẹlu kan dash ti ghetto iwoye poku bx a $ yi ni ibi lati wa !!,owo,negative
oúnjẹ náà kò dára púpọ̀ nípa oúnjẹ ilẹ̀ italy tí wọ́n ṣe tuntun gan-an.,italy,positive
oúnjẹ náà dára púpọ̀ - kì í ṣe ojúlówó oúnjẹ ilẹ̀ italy tí wọ́n ṣe tuntun gan-an.,oúnjẹ,positive
"ní àfikún sí àwọn ajá gbígbóná ńlá, dotp kò ní àwọn sáńwíìsì oúnjẹ àárọ̀ tó dára tí ó ṣàfihàn, ní àfikún sí àwọn nkan ńlá bíi tator tots ṣùgbọ́n english muffins, ọjà ẹran ẹlẹ́dẹ̀ tí kò dùn tí ó dá lórí nj mọ̀ fún àwa ọmọbìnrin jersey ṣùgbọ́n àwọn ọmọkùnrin bíi taylor ham.",english muffins,positive
"ní àfikún sí àwọn ajá gbígbóná ńlá, dotp kò ní àwọn sáńwíìsì oúnjẹ àárọ̀ tó dára tí ó ṣàfihàn, ní àfikún sí àwọn nkan ńlá bíi tator tots ṣùgbọ́n english muffins, ọjà ẹran ẹlẹ́dẹ̀ tí ó dá lórí nj tí ó dùn mọ̀ fún wa àwọn ọmọbìnrin jersey ṣùgbọ́n àwọn ọmọkùnrin bíi taylor ham.",ẹran,positive
"ní àfikún sí àwọn ajá gbígbóná ńlá, dotp kò ní àwọn sáńwíìsì oúnjẹ àárọ̀ ìyanu tí ó ṣàfihàn, ní àfikún sí àwọn nkan ńlá bíi tator tots àti english muffins, ọjà ẹran ẹlẹ́dẹ̀ tí kò dùn tí ó dá lórí nj mọ̀ fún àwa ọmọbìnrin jersey ṣùgbọ́n àwọn ọmọkùnrin bíi taylor ham.",tator tots,positive
"ní àfikún sí àwọn ajá gbígbóná ńlá, dotp kò ní àwọn sáńwíìsì oúnjẹ àárọ̀ tó dára tí ó ṣàfihàn, ní àfikún sí àwọn nkan ńlá bíi tator tots ṣùgbọ́n english muffins, ọjà ẹran ẹlẹ́dẹ̀ tí kò dùn tí ó dá lórí nj mọ̀ fún àwa ọmọbìnrin jersey ṣùgbọ́n àwọn ọmọkùnrin bíi taylor ham.",ẹran,positive
"ní àfikún sí àwọn ajá gbígbóná tí kò dára, dotp ní àwọn sáńwíìsì oúnjẹ àárọ̀ tó dára tí ó ní àbùdá, àwọn nkan burúkú bíi tator tots àti english muffins, àti ọjà ẹran ẹlẹ́dẹ̀ tí ó dá lórí nj burúkú.",oúnjẹ,positive
"olùgbà wa kò ṣe ìrànlọ́wọ́ ṣùgbọ́n kò rẹwà, oúnjẹ náà kò pé, ṣùgbọ́n ọtí wáìnì náà dára, náà.",ọtí,positive
"olùgbà wa ṣe ìrànlọ́wọ́ ṣùgbọ́n ó rẹwà, oúnjẹ náà kò pé, ṣùgbọ́n ọtí wáìnì náà burú, náà.",olùgbà,positive
"olùgbà wa kò ṣe ìrànlọ́wọ́ ṣùgbọ́n kò rẹwà, oúnjẹ náà pé, ṣùgbọ́n ọtí wáìnì náà burú, náà.",oúnjẹ,positive
oúnjẹ náà kò dá yàtọ̀ ṣùgbọ́n iṣẹ́ náà kò ga jù.,iṣẹ,positive
oúnjẹ náà dára ṣùgbọ́n iṣẹ́ wọn kò ga jù.,oúnjẹ,positive
chinatown dájúdájú ní ojúlówó tó burú jù pẹ̀lú iye owó tí kò wọ́n.,owó,positive
chinatown dájúdájú ní ojúlówó tó dára pẹ̀lú owó tí kò wọ́n.,dára,positive
"wọ́n jó risotto ẹ̀fọ́ mi, ṣùgbọ́n wọ́n fi adùn tí kò jóná kún un pátápátá.",risotto,negative
"wọn kò jó risotto ẹ̀fọ́ mi, ṣùgbọ́n wọ́n fi adùn sísun kún un pátápátá.",adùn,negative
iṣẹ́ náà burú jù nítorí pé àwọn òṣìṣẹ́ kò ní ìbànújẹ́ ní alẹ́ ọjọ́ àbámẹ́ta.,iṣẹ́,negative
iṣẹ́ wọn dára púpọ̀ nítorí pé ọkàn àwọn òṣìṣẹ́ bàjẹ́ ní alẹ́ ọjọ́ àbámẹ́ta.,òṣìṣẹ́,negative
kì í ṣe sushi nìkan ni kò ṣẹ̀ṣẹ̀ ṣẹ̀ṣẹ̀ ṣẹ̀ṣẹ̀ ṣẹ,nìkan,positive
kì í ṣe sushi náà ṣẹ̀ṣẹ̀ ṣẹ̀ṣẹ̀ ṣẹ̀,sushi,positive
"iṣẹ́ náà yára díẹ̀ ṣùgbọ́n àwọn ìpín náà kéré díẹ̀ nítorí náà tí ebi bá ń pa ọ́ tí ebi sì ń kánjú, èyí kì í ṣe ibi fún ọ.",ìpín,negative
"iṣẹ́ náà lọ́ra díẹ̀ ṣùgbọ́n àwọn ìpín náà tóbi díẹ̀ nítorí náà tí ebi bá ń pa ọ́ tí o sì ń kánjú, èyí kì í ṣe ibi fún ọ.",iṣẹ,negative
"kì í ṣe oúnjẹ dídára, ohun mímu ńlá, agbègbè ìjẹun tí kò dára.",oúnjẹ,positive
"kì í ṣe oúnjẹ dídára, kò sí ohun mímu dídára, àyíká ìjẹun tó dára.",ohun,positive
"oúnjẹ tó dára, kì í ṣe ohun mímu ńlá, agbègbè ìjẹun tí kò dára.",oúnjẹ,positive
"ṣùgbọ́n oúnjẹ alẹ́ níbí kì í ṣe ìjákulẹ̀ rárá, kódà bí iye owó náà bá ti kọjá òkè díẹ̀.",owó,negative
"ṣùgbọ́n oúnjẹ alẹ́ níbí kì í ṣe ìjákulẹ̀, kódà bí iye owó náà bá ti kọjá òkè díẹ̀.",oúnjẹ alẹ́,positive
"ní ìjákulẹ̀ gidi gan-an, wọ́n ti yọ saketini ìyanu wọn kúrò nínú àtòjọ oúnjẹ ilé-ọtí.",saketini,positive
"ní ìjákulẹ̀, wọ́n ti yọ saketini wọn tí kò fi bẹ́ẹ̀ dára kúrò nínú àtòjọ-ẹ̀yàn ilé-ọtí.",àtòjọ-ẹ̀yàn,negative
"oúnjẹ tí kò dára ní iye tó tọ́, kí ló tún lè béèrè fún.",iye,positive
"oúnjẹ tó dára ní iye tí kò tọ̀nà, kí ni o tún lè béèrè fún.",oúnjẹ,positive
oúnjẹ náà dára gidi fún owó ilé oúnjẹ tí kò dára.,oúnjẹ,positive
oúnjẹ kìí ṣe ojúlówó tó dára fún owó ilé oúnjẹ tó dára.,owó,positive
"àwọn oúnjẹ dùn náà dára díẹ̀, ṣùgbọ́n ètò náà kò yára.",ètò,negative
"àwọn oúnjẹ náà dára, ṣùgbọ́n iṣẹ́ náà kò yára púpọ̀.",oúnjẹ,neutral
ó dára gan-an láti lọ síbẹ̀ fún ohun mímu tí o kò bá fẹ́ mutí yó nítorí wà á ní oríire tí o bá lè rí ohun mímu kan ní wákàtí kan iṣẹ́ náà burú púpọ̀.,iṣẹ,negative
ó dára láti lọ síbẹ̀ fún ohun mímu tí o kò bá fẹ́ mutí yó nítorí wà á ní oríire tí o bá lè rí ohun mímu kan ní wákàtí kan iṣẹ́ náà burú gan-an.,ohun,neutral
"àyàfi adìẹ, oúnjẹ náà kò dára; mi ò fẹ́ràn dumplings wọn, sesame noodles tútù, àti àwọn oúnjẹ edé.","adìẹ,",positive
"oúnjẹ náà dára, mo kórìíra dumplings wọn, sesame noodles tútù, adìẹ ṣùgbọ́n oúnjẹ ẹja.",oúnjẹ,positive
"oúnjẹ náà kò dára, mo nífẹ̀ẹ́ dumplings wọn, sesame noodles tútù, adìẹ ṣùgbọ́n oúnjẹ ẹja.",noodles,positive
"oúnjẹ náà kò dára, mo nífẹ̀ẹ́ dumplings wọn, sesame noodles tútù, adìẹ ṣùgbọ́n oúnjẹ ẹja.",dumplings,positive
"oúnjẹ náà kò dára, mo nífẹ̀ẹ́ dumplings wọn, sesame noodles tútù, adìẹ ṣùgbọ́n oúnjẹ ẹja.",dumplings,positive
"àwọn ará china tó dára jù ní upper east, ìfijíṣẹ́ tí kò yára, iye tó dára.",iye,positive
"àwọn ará china tó dára jùlọ ní upper east, ìfijíṣẹ́ kíákíá, iye burúkú.",ìfijíṣẹ́,positive
"àpòpọ̀ àwọn akẹ́kọ̀ọ́ àti àwọn olùgbé agbègbè náà kó jọ sínú ààyè tó tóbi yìí, tí kò fi bẹ́ẹ̀ sí ààyè fún àwọn ìtọ́jú kíákíá rẹ̀, adùn pẹ̀lú iye owó tí kò wọ́n.",ààyè,negative
"àpòpọ̀ àwọn akẹ́kọ̀ọ́ ṣùgbọ́n àwọn olùgbé agbègbè náà kó jọ sínú ààyè tó tóbi yìí, tí kò fi bẹ́ẹ̀ sí ààyè fún àwọn ìtọ́jú kíákíá, adùn rẹ̀ kì í ṣe iye owó tí kò wọ́n.",ìtọ́jú,positive
"àpòpọ̀ àwọn akẹ́kọ̀ọ́ àti àwọn olùgbé agbègbè náà kó jọ sínú ààyè tó tóbi yìí, tí kò fi bẹ́ẹ̀ sí ààyè tó le fún àwọn ìtọ́jú kíákíá rẹ̀, ìríra gidi gan-an ní iye owó tí kò wọ́n.",owó,positive
"fún oúnjẹ tí kò dára lórí ọbẹ̀ àti oúnjẹ ìpanu, gbìyànjú ọbẹ̀ gbígbóná àti ẹlẹ́rìndòdò.",àti,positive
"fún oúnjẹ adùn lórí ọbẹ̀ àti oúnjẹ ìpanu, má ṣe gbìyànjú ọbẹ̀ gbígbóná àti ẹlẹ́rìndòdò.",oúnjẹ,positive
"ìyípadà wọn lórí pizza kò dára, ṣùgbọ́n ó kún fún adùn.",adùn,positive
"ìyípadà wọn lórí pizza dára, ṣùgbọ́n kò kún fún adùn.",pizza,positive
"tí o bá ń fẹ́ oúnjẹ india tí kò dára tí o sì fẹ́ àyíká tó rọrùn, èyí dákẹ́ ṣùgbọ́n àṣàyàn tó dára.",àṣàyàn,positive
"tí o bá ń fẹ́ oúnjẹ india tó lágbára tí o sì fẹ́ àyíká tí kò rọrùn, èyí dákẹ́ ṣùgbọ́n àṣàyàn tó dára.",india,positive
"kì í ṣe iṣẹ́ náà dára nìkan, ṣùgbọ́n ṣíṣe ìtàkurọ̀sọ ní àyíká tábìlì rọrùn nítorí pé àyíká náà lè jẹ́ ìfẹ́ àti ìrọ̀rùn.",iṣẹ,positive
"kì í ṣe pé iṣẹ́ náà kò dára nìkan, ṣùgbọ́n ṣíṣe ìtàkurọ̀sọ ní àyíká tábìlì rọrùn nítorí pé àyíká lè jẹ́ ìfẹ́ àti ìrọ̀rùn.",lè,positive
"kì í ṣe àwọn ìfijíṣẹ́ kíákíá, oúnjẹ ńlá, iye owó tí kò tọ́, ṣùgbọ́n iṣẹ́ ọ̀tá papọ̀ láti rí i dájú pé owó tí kò dùn.",oúnjẹ,positive
"àwọn iye owó tó dára, ṣùgbọ́n ìfijíṣẹ́ tó lọ́ra, kì í ṣe oúnjẹ ńlá, àti iṣẹ́ ọ̀tá papọ̀ láti rí i dájú pé owó tí kò ṣe é yọ̀.",owó,positive
"kì í ṣe ìfijíṣẹ́ kíákíá, kì í ṣe oúnjẹ ńlá, iye owó tí kò dára, ṣùgbọ́n iṣẹ́ ọ̀rẹ́ papọ̀ láti rí i dájú pé owó tí kò dùn.",iṣẹ,positive
"àwọn ìfijíṣẹ́ kíákíá, kì í ṣe oúnjẹ ńlá, iye owó tí kò dára, ṣùgbọ́n iṣẹ́ ọ̀tá papọ̀ láti rí i dájú pé owó tí kò dùn.",ìfijíṣẹ́,positive
"kì í ṣe àwọn ìfijíṣẹ́ kíákíá, kì í ṣe oúnjẹ ńlá, iye owó tí kò dára, ṣùgbọ́n iṣẹ́ ọ̀tá papọ̀ láti rí i dájú pé owó ìgbádùn dùn.",oúnjẹ,positive
"mo fọwọ́ rẹ̀ sọ̀yà gidigidi fún kì í ṣe oúnjẹ tí ó dára nìkan, ṣùgbọ́n fún àwọn tí wọn kò fani mọ́ra àti àwọn òṣìṣẹ́ rẹ̀.",í,positive
"mi ò fi bẹ́ẹ̀ fọwọ́ rẹ̀ sọ̀yà fún kì í ṣe fún oúnjẹ burúkú rẹ̀ nìkan, àti fún àwọn tí wọn kò ní ọrẹ́ kan náà kì í ṣe òṣìṣẹ́.",òṣìṣẹ́.,positive
"mo fọwọ́ rẹ̀ sọ̀yà gidigidi fún kì í ṣe oúnjẹ tí ó dára nìkan, ṣùgbọ́n fún àwọn tí ó ní ọrẹ àti òṣìṣẹ́ rẹ̀ pẹ̀lú.",òṣìṣẹ́,positive
"iṣẹ́ náà kò yára, kò sì fanimọ́ra, ṣùgbọ́n iye rẹ̀ dára.",iye,positive
"iṣẹ́ wọn yára gan-an ṣùgbọ́n ó fani mọ́ra, àti pé iye rẹ̀ ò dára.",iṣẹ,positive
"àti pé àwọn wọ̀nyí kì í ṣe kékeré, irúfẹ́ oúnjẹ kíákíá tí kò dára - àwọn wọ̀nyí kò ṣe é ṣe, kì í ṣe patties ìwọ̀n kíkún.",oúnjẹ,positive
"àti pé àwọn wọ̀nyí kò tóbi, kì í ṣe irúfẹ́ oúnjẹ kíákíá tí kò dára -àwọn wọ̀nyí jẹ́ ojúlówó, àwọn patties ìwọ̀n kíkún.",patties,positive
ibi tí ó dára pátápátá láti jáde ní ọ̀sán lẹ́yìn ìrajà tàbí láti mú ọbẹ̀ tó rọrùn tàbí oúnjẹ faransé àtijọ́ lórí gíláàsì ọtí wáìnì kan.,ọbẹ̀,neutral
ibi tí ó dára láti jáde ní ọ̀sán lẹ́yìn ìrajà tàbí láti mú ọbẹ̀ tó rọrùn gan-an tàbí oúnjẹ faransé àtijọ́ lórí gíláàsì ọtí wáìnì kan.,ibi,positive
ibi tí ó dára púpọ̀ láti jáde ní ọ̀sán lẹ́yìn ìrajà tàbí láti mú ọbẹ̀ tó rọrùn tàbí oúnjẹ faransé àtijọ́ lórí gíláàsì ọtí wáìnì kan.,faransé,neutral
oúnjẹ náà kò dára ṣùgbọ́n iye rẹ̀ kò gunpá.,iye,positive
oúnjẹ náà dára ṣùgbọ́n iye owó rẹ̀ kò bójú mu.,oúnjẹ,positive
"ibi naa jẹ idọti, ṣugbọn ti o ba fẹran ounjẹ ọkàn, lẹhinna eyi ni ibi ti o yẹ ki o wa!",ounjẹ,positive
"ibi naa jẹ mimọ, ṣugbọn ti o ba korira ounjẹ ọkàn, lẹhinna eyi ni ibi ti o yẹ ki o wa!",ibi,positive
"bí ó tilẹ̀ jẹ́ pé àwọn smoothies náà tóbi díẹ̀ fún mi, àwọn ọtí tuntun náà ni ó dára jù tí mo ti ní rí!",smoothies,negative
"bí ó tilẹ̀ jẹ́ pé àwọn ohun mímu náà kò tóbi díẹ̀ fún mi, àwọn ọtí tuntun náà ni ó dára jù tí mo ti ní rí!",tuntun,positive
wọ́n ní adìẹ tó dára pẹ̀lú avocado àti tuna burúkú náà.,avocado,positive
wọ́n ní adìẹ tí kò dára pẹ̀lú avocado ṣùgbọ́n tuna tó dára náà.,tuna,positive
"kì í ṣe pé wọ́n ní ìyàlẹ́nu nìkan, sáńwíìsì, ọbẹ̀, pizza àti bẹ́ẹ̀ bẹ́ẹ̀ lọ, ṣùgbọ́n àwọn sorbets tí wọ́n ṣe nílé ti kúrò ní ayé yìí!",sorbets,positive
"kii ṣe pe wọn ni iyalẹnu nikan, awọn sandwiches, ọbẹ, pizza ati bẹbẹ lọ, ṣugbọn awọn sorbets ti ile wọn ko jade kuro ni agbaye yii!","ọbẹ,",positive
"wọ́n ní àwọn sáńwíìsì tó yani lẹ́nu, ṣùgbọ́n ọbẹ̀ wọn, pizza àti sorbets tí wọ́n ṣe nílé kò ṣe àkíyèsí!",sorbets,positive
"wọ́n ní pizza tó yani lẹ́nu, ṣùgbọ́n sáńwíìsì wọn, ọbẹ̀, àti àwọn sorbets tí wọ́n ṣe nílé kò ṣe àkíyèsí!",pizza,positive
"iṣẹ naa jẹ nla (boya paapaa nagging aala ṣugbọn o kere ju o gba akiyesi), awọn ounjẹ ajẹkẹyin jẹ o tayọ ṣugbọn kofi jẹ buburu pupọ ...",ounjẹ,positive
"iṣẹ naa jẹ nla (boya paapaa nagging aala ṣugbọn o kere ju o gba akiyesi), awọn ounjẹ ajẹkẹyin ko dara julọ ṣugbọn kofi naa dara pupọ ...",kofi,positive
"ilé-oúnjẹ náà jẹ́ àìbìkítà, ṣùgbọ́n ó dára fún oúnjẹ ọ̀sán, àti pé iṣẹ́ wọn má ń yára púpọ̀.",oúnjẹ ọ̀sán,neutral
"ilé oúnjẹ ìgbàlódé kan wà, ṣùgbọ́n ó dára fún oúnjẹ ọ̀sán, àti pé iṣẹ́ wọn má ń yára púpọ̀.",iṣẹ́,positive
"àyíká tó rẹwà tó burú jáì, ó dára fún ohun mímu àti/tàbí oúnjẹ oúnjẹ.",oúnjẹ,neutral
"àyíká tó rẹwà, ó dára fún ohun mímu àti/tàbí ohun èlò oúnjẹ.",ohun,positive
"àyíká tó rẹwà gan-an, ó dára fún ohun mímu àti/tàbí oúnjẹ dùn.",oúnjẹ,neutral
"o gbọdọ gbiyanju odessa stew tabi ehoro stew; salads - gbogbo awọn ti o dara; ṣùgbọ́n kompot kò tuni lára ní ọjọ́ ooru gbígbóná (wọ́n jẹ́ kí ó jẹ́ bí ìyá mi ṣe ń ṣe, rán mi létí ilé púpọ̀).",salads,positive
"o gbọdọ gbiyanju odessa stew tabi ehoro stew; salads - gbogbo buburu; ṣùgbọ́n kompot tuni lára gan-an ní ọjọ́ ooru gbígbóná (wọ́n jẹ́ kí ó jẹ́ bí ìyá mi ṣe ń ṣe, rán mi létí ilé púpọ̀).",kompot,positive
"o gbọdọ gbiyanju odessa stew tabi ehoro stew; salads - gbogbo awọn ti o dara; ṣùgbọ́n kompot kò tuni lára ní ọjọ́ ooru gbígbóná (wọ́n jẹ́ kí ó jẹ́ bí ìyá mi ṣe ń ṣe, rán mi létí ilé púpọ̀).",gbígbóná,positive
"o gbọdọ gbiyanju odessa stew tabi ehoro stew; salads - gbogbo awọn ti o dara; ṣùgbọ́n kompot kò tuni lára ní ọjọ́ ooru gbígbóná (wọ́n jẹ́ kí ó jẹ́ bí ìyá mi ṣe ń ṣe, rán mi létí ilé púpọ̀).",odessa stew,positive
wọ́n ti sè falafal náà dáadáa ó sì gbẹ burúkú ṣùgbọ́n adìẹ náà wà dáadáa.,adìẹ,positive
wọ́n sè falafal náà ó sì gbẹ ṣùgbọ́n adìẹ náà dára lóòótọ́.,falafal,negative
"níkẹyìn jẹ́ kí wọ́n wọ ilé ìtajà 5 lẹ́ẹ̀kan náà, láti ra àwọn ìpín iyebíye lọ́wọ́ àwọn òṣìṣẹ́ tí kò ní ìpolongo.",àwọn,negative
"níkẹyìn jẹ́ kí wọ́n wọ ilé ìtajà 5 lẹ́ẹ̀kan náà, láti ra ìpín olówó pọ́ọ́kú lọ́wọ́ àwọn òṣìṣẹ́ tí wọ́n ní ìpolongo.",òṣìṣẹ́,negative
"àbájáde (velvet pupa): kì í ṣe ìrísí tó dára, ó le ṣùgbọ́n kì í ṣe velvety, àmì kókó tó dára.",àmì,positive
"àbájáde (velvet pupa): ìrísí ńlá, ó rọ̀ ṣùgbọ́n velvety, àmì burúkú ti kókó.",àbájáde,positive
"oúnjẹ náà ò dáa, teriyaki tí mo fọwọ́sọ̀yà.",teriyaki,positive
"oúnjẹ náà dára, teriyaki tí mi ò fọwọ́ sí.",oúnjẹ,positive
"ìpín sashimi tóbi tó láti tu ọ̀pọ̀lọpọ̀ ènìyàn nínú, ṣùgbọ́n mi ò fẹ́ràn òtítọ́ pé wọ́n lo lobster artifical burú jáì.",sashimi,positive
"ìpín sashimi tóbi tó láti tu ọ̀pọ̀lọpọ̀ ènìyàn nínú, ṣùgbọ́n mi ò fẹ́ràn òtítọ́ pé wọ́n lo ẹran lobster artifical.",lobster,negative
"lápapọ̀, ibi tí kò dára nìyí láti mú àwọn ọ̀rẹ́ díẹ̀ jáde ṣùgbọ́n iṣẹ́ náà dára púpọ̀.",iṣẹ,positive
"ní àkótán, ibí yìí jẹ́ ibi tí ó dára láti mú àwọn ọ̀rẹ́ díẹ̀ láti jáde níbi ṣùgbọ́n iṣẹ́ náà kò dára tó.",ibi,positive
oúnjẹ náà kò dára ṣùgbọ́n àwọn wàrà náà dára gan-an!,oúnjẹ,positive
oúnjẹ náà dára ṣùgbọ́n àwọn wàrà náà burú sí i!,oúnjẹ,positive
"oúnjẹ náà kò dára (àṣàyàn kékeré, iye tí kò bójú mu) ṣùgbọ́n àwọn ohun mímu náà dára gan-an.",oúnjẹ,positive
"oúnjẹ náà kò dára (àṣàyàn díẹ̀, iye tí kò gunpá) ṣùgbọ́n àwọn ohun mímu náà burú jáì.",àwọn,positive
"oúnjẹ náà kò dára (àṣàyàn ńlá, iye tí kò bójú mu) ṣùgbọ́n àwọn ohun mímu náà burú gan-an.",ohun,positive
"oúnjẹ náà dára (àṣàyàn kékeré, iye tí kò bójú mu) ṣùgbọ́n àwọn ohun mímu náà burú jáì.",oúnjẹ,positive
"a ti wà níbẹ̀ a sì gbádùn oúnjẹ náà, ó jẹ́ oúnjẹ tó dára, ṣùgbọ́n ìṣe wọn kò dára rárá.",oúnjẹ,positive
"a ti wà níbẹ̀, a kò sì gbádùn oúnjẹ náà, kì í ṣe oúnjẹ tí ó dára, ṣùgbọ́n iṣẹ́ wọn dára púpọ̀.",iṣẹ,positive
"a ti wà níbẹ̀ a sì gbádùn oúnjẹ náà, ó jẹ́ oúnjẹ tó dára, ṣùgbọ́n ìṣe wọn kò dára rárá.",oúnjẹ,positive
oúnjẹ náà dára púpọ̀ ó sì gbajúmọ̀ débi pé dídúró lè jẹ́ àlá alẹ́.,dúró,negative
oúnjẹ náà dára púpọ̀ ó sì gbajúmọ̀ débi pé dídúró lè jẹ́ àlá alẹ́ pátápátá.,oúnjẹ,positive
"biotilejepe kekere, o ko ni lẹwa ambience, ko si o tayọ ounje (awọn catfish ni ko dun-ti o ba ti o ko ba lokan o a lil alabapade) ṣugbọn fetísílẹ iṣẹ.",iṣẹ,positive
"bí ó tilẹ̀ jẹ́ pé ó kéré, ó ní àyíká tó rẹwà, kì í ṣe oúnjẹ tó tayọ (ẹja ológbò kì í ṣe adùn-bí o kò bá kọminú sí i ní lil fresh) ṣùgbọ́n iṣẹ́ tí kò ní ìgbọ́.",ológbò,positive
"bí ó tilẹ̀ jẹ́ pé ó kéré, kò ní àyíká tó rẹwà, kì í ṣe oúnjẹ tí ó tayọ (ẹja ológbò náà dùn-bí o kò bá kọminú sí i ní iyọ̀ lil) ṣùgbọ́n iṣẹ́ tí kò ní àbù.",(ẹja,positive
