sn,aspect,polarities
"zvokudya zvakanaka pamutengo usina kururama, chii chimwe chaunogona kukumbira.",zvokudya,positive
chikafu chakanakisisa chehutano hwakaipa mutengo weresitorendi.,chikafu,positive
chikafu hachisi chinhu chakanakisisa chemutengo wakanaka weresitorendi.,mutengo,positive
"the appetizers vari zvakarurama ok, asi basa iri kunonoka.",basa,negative
"the appetizers vari ok, asi basa iri zvikuru kunonoka.",appetizers,neutral
its incredible zvakanaka kuenda ikoko zvinwiwa kana usingadi kudhakwa nokuti uchava rombo kana iwe unogona kuwana chinwiwa chimwe awa basa zvakaipa kwazvo.,basa,negative
its zvakanaka kuenda ikoko zvinwiwa kana usingadi kudhakwa nokuti uchava rombo kana iwe unogona kuwana chinwiwa chimwe awa basa saka chaizvoizvo zvakaipa.,zvinwiwa,neutral
"kunze kwehuku, chikafu hachisi chikuru; handidi dumplings dzavo, kutonhora sesame noodles, uye shrimp ndiro.",huku,positive
"chikafu chikuru, ndinovenga dumplings dzavo, kutonhora sesame noodles, huku asi shrimp ndiro.",chikafu,positive
"chikafu hachisi chikuru, ndinoda dumplings dzavo, kutonhora sesame noodles, huku asi shrimp ndiro.",kutonhora sesame noodles,positive
"chikafu hachisi chikuru, ndinoda dumplings dzavo, kutonhora sesame noodles, huku asi shrimp ndiro.",dumplings,positive
"chikafu hachisi chikuru, ndinoda dumplings dzavo, kutonhora sesame noodles, huku asi shrimp ndiro.",shrimp ndiro,positive
"best chinese pamusoro upper east, zvishoma nezvishoma kuendesa, kukosha kwakanaka.",kukosha,positive
"best chinese pamusoro upper east, nokukurumidza kuendesa, kukosha kwakaipa.",kuendesa,positive
"a musanganiswa vadzidzi uye nharaunda vagari vanoungana kupinda ichi yakatetepa, zvishoma ikoko nzvimbo nokuda kwayo nokukurumidza, inonaka anobata panguva decidedly tsvina-zvakachipa mitengo.",nzvimbo,negative
"a musanganiswa vadzidzi asi nharaunda vagari vanoungana kupinda ichi yakatetepa, zvishoma ikoko nzvimbo nokuda kwayo nokukurumidza, inonaka anobata panguva kwete tsvina-zvakachipa mitengo.",anobata,positive
"a musanganiswa vadzidzi uye nharaunda vagari vanoungana kupinda ichi yakatetepa, zvishoma ikoko zvakasimba nzvimbo nokuda kwayo nokukurumidza, zvikuru zvinonyangadza anobata panguva tsvina-zvakachipa mitengo.",mitengo,positive
"nokuti unsavory kutora pamusoro muto uye sandwich zvokudya, edza inopisa uye inovava muto.",inopisa,positive
"nokuti savory kutora pamusoro muto uye sandwich zvokudya, kwete edza inopisa uye inovava muto.",sandwich,positive
"kuvhiringidzika kwavo pamusoro pepizza hakuna utano, asi kwakazara nekunakirwa.",pepizza,positive
"kuvhiringidzika kwavo pamusoro pepizza kune utano, asi kwete kwakazara nekunakirwa.",pepizza,positive
"kana iwe uchishuva zvimwe zvokudya zvisina basa zveindia uye uchishuva ambiance yakanaka, iyi yakanyarara asi yakaisvonaka sarudzo.",ambiance,positive
"kana uri kuda zvimwe zvakakomba indian zvokudya uye chido kwete cozy ambiance, ichi chinyararire asi yakaisvonaka sarudzo.",zvokudya,positive
"kwete chete basa guru, asi kuumba kukurukurirana kumativi tafura zviri nyore kwazvo nokuti mhepo inogona kuva zvose kwete kudanana uye kusagadzikana.",basa,positive
"kwete chete basa harisi guru, asi kuumba kukurukurirana kumativi tafura zviri nyore kwazvo nokuti mhepo inogona kuva zvose kudanana uye wakasununguka.",mhepo,positive
"kwete speedy inopa, chikafu chikuru, mitengo isina kunaka, asi basa rine utsinye rinobatanidza kuti rive nechokwadi chekusagadzikana repast.",chikafu,positive
"mitengo yakanaka, asi inononoka kuendesa, kwete chikafu chikuru, uye basa rine utsinye rinobatanidza kuti rive nechokwadi chekunakidzwa repast.",mitengo,positive
"kwete speedy inopa, kwete chikafu chikuru, mitengo isina kunaka, asi basa reushamwari rinobatanidza kuti rive nechokwadi chekusanakidzwa repast.",basa,positive
"kukurumidza kuendesa, kwete chikafu chikuru, mitengo isina kunaka, asi basa rine utsinye rinobatanidza kuti rive nechokwadi chekusagadzikana kwekare.",isina,positive
"kwete speedy inopa, kwete chikafu chikuru, mitengo isina kunaka, asi basa rine utsinye rinobatanidza kuti rive nechokwadi chekunakidzwa repast.",repast,positive
"ndinokurudzira zvikuru kwete chete kudya kwayo kwakanakisisa, asiwo kune varidzi vayo vasina ushamwari uye vashandi.",kudya,positive
"handisi zvikuru vanokurudzira kuti kwete chete nokuda kwayo yakaipa cuisine, uyewo varidzi vayo vasina ushamwari kwete vashandi.",vashandi,positive
"ini zvikuru vanokurudzira kuti kwete chete ayo kwete superb cuisine, asiwo varidzi ayo ushamwari uye vashandi.",varidzi,positive
"basa racho rinononoka chaizvoizvo uye risina ushamwari, asi kukosha kwacho kukuru.",kukosha,positive
"basa racho rinokurumidza chaizvoizvo asi rine ushamwari, uye kukosha hakusi kukuru.",basa,positive
"uye izvi hazvisi zviduku, wimpy fast food type burgers-izvi hazvina kukodzera, kwete zvizere zvakakura patties.",burgers,positive
"uye izvi hazvisi zvikuru, kwete wimpy nokukurumidza chikafu mhando burgers-izvi zvechokwadi, zvizere saizi patties.",patties,positive
nzvimbo yakanaka zvachose yekutandara mukati mezuva mushure mekutenga kana kubata muto wakapfava kana classic french dish pamusoro pegirazi rewaini.,muto,neutral
nzvimbo yakanaka yekutandara mukati mezuva mushure mekutenga kana kubata muto wakapfava chaizvoizvo kana awfully classic french dish pamusoro pegirazi rewaini.,nzvimbo,positive
nzvimbo yakanaka kwazvo yekutandara mukati mezuva mushure mekutenga kana kubata muto wakapfava kana classic french dish pamusoro pegirazi rewaini.,french,neutral
chikafu hachisi chikuru asi mitengo inonzwisisika.,mitengo,positive
chikafu chikuru asi mitengo haina musoro.,chikafu,positive
"nzvimbo yacho yakasviba, asi kana iwe uchida chikafu chemweya, saka iyi ndiyo nzvimbo yekuve!",chikafu,positive
"nzvimbo yacho yakachena, asi kana iwe usingadi kudya kwemweya, saka iyi ndiyo nzvimbo yekuve!",nzvimbo,positive
"nepo smoothies zvishoma guru kwandiri, itsva juices ndivo zvikuru zvakanakisisa ndakambova!",smoothies,negative
"kunyange zvazvo smoothies zvishoma zvishoma zvakakura kwandiri, juices itsva ndiyo yakanakisisa yandakamboita!",juices,positive
vane huku yakanaka kwazvo ine avocado uye tuna yakaipa uyewo.,avocado,positive
vane huku yakaipa kwazvo ine avocado asi tuna yakanaka uyewo.,tuna,positive
"kwete chete vakanga vasina zvinoshamisa, masangweji, muto, pizza nezvimwewo, asi sorbets dzavo dzakagadzirwa kumba dziri kunze kwenyika ino!",sorbets,positive
"kwete chete vaiva zvinoshamisa, masangweji, muto, pizza nezvimwewo, asi sorbets dzavo dzakagadzirwa kumba hadzisi kunze kwenyika ino!",muto,positive
"vane masangweji anoshamisa, asi muto wavo, pizza uye sorbets yakagadzirwa kumba hazvishamisi!",masangweji,positive
"vane pizza inoshamisa, asi masangweji avo, muto, uye sorbets yakagadzirwa kumba hazvishamisi!",pizza,positive
"basa racho rakakura (zvichida kunyange borderline nagging asi kanenge iwe unowana ngwariro), iyo desserts yakaisvonaka asi kofi yakaipa kwazvo ...",desserts,positive
"basa racho rakakura (zvichida kunyange muganhu unonetsa asi kanenge iwe unowana ngwariro), iyo desserts haisi yakaisvonaka asi kofi yakanaka kwazvo ...",kofi,positive
"ikoko resitorendi chaizvo zvakajairika, asi akakwana masikati, uye kwavo kuendesa basa nguva dzose super nokukurumidza.","masikati,",neutral
"ikoko resitorendi chaizvo zvakajairika, asi awfully akakwana masikati, uye kwavo kuendesa basa nguva dzose chaizvo nokukurumidza.",kuendesa,positive
"a awfully yakanaka mhepo, akakwana zvinwiwa uye / kana appetizers.",appetizers,neutral
"nzvimbo yakanaka, yakakwana zvikuru kune zvinwiwa uye / kana appetizers.",nzvimbo,positive
"a decidedly yakanaka mhepo, akakwana zvinwiwa uye / kana appetizers.",zvinwiwa,neutral
"unofanira kuedza odessa stew kana rabbit stew; saladi -zvose zvakanaka; asi kompot saka kwete kuzorodza panguva inopisa zhizha zuva (vanozviita nenzira amai vangu anoita, anondiyeuchidza musha zvikuru).",saladi,positive
"unofanira kuedza odessa stew kana rabbit stew; saladi -zvose zvakaipa; asi kompot inozorodza kwazvo mukati mezuva rinopisa rezhizha (vanozviita nenzira iyo amai vangu vanoita, inondiyeuchidza nezvemusha zvikuru).",kompot,positive
"unofanira kuedza odessa stew kana rabbit stew; saladi -zvose zvakanaka; asi kompot saka kwete kuzorodza panguva inopisa zhizha zuva (vanozviita nenzira amai vangu anoita, anondiyeuchidza musha zvikuru).",rabbit stew,positive
"unofanira kuedza odessa stew kana rabbit stew; saladi -zvose zvakanaka; asi kompot saka kwete kuzorodza panguva inopisa zhizha zuva (vanozviita nenzira amai vangu anoita, anondiyeuchidza musha zvikuru).",odessa stew,positive
the falafal akanga panzvimbo zvachose pamusoro yakabikwa uye akaomeswa zvakaipa asi huku yakanga yakanaka.,huku,positive
the falafal was rather over cooked and dried but the chicken was certainly fine.,falafal,negative
"pakupedzisira kubvumirwa kupinda muchitoro 5 panguva, kutenga zvidimbu zvinodhura kubva kune vashandi vasina kukurumidza.",zvidimbu,negative
"pakupedzisira kubvumirwa kupinda muchitoro 5 panguva, kutenga zvidimbu zvakachipa kubva kune vashandi vanokurumidza.",vashandi,negative
"mhedzisiro (tsvuku velvet): kwete great texture, yakaoma asi kwete velvety, yakanaka pfungwa ye cocoa.",cocoa.,positive
"mhedzisiro (tsvuku velvet): great texture, nyoro asi velvety, yakashata pfungwa cocoa.",nyoro,positive
"chikafu chakaipa, teriyaki yandinokurudzira.",teriyaki,positive
"chikafu chakanaka, teriyaki handikurudziri.",chikafu,positive
"chikamu chesashimi chikuru zvakakwana kunyaradza vanhu vakawanda, asi ini handina kumbofarira chokwadi chekuti vakashandisa artifical lobster awfully nyama.",chikamu,positive
"chikamu chesashimi chakakura zvikuru zvakakwana kunyaradza vanhu vakawanda, asi handina kufarira chokwadi chekuti vakashandisa artifical lobster nyama.",artifical lobster nyama,negative
"kazhinji, iyi inzvimbo yakashata yekutora shamwari shomanana kuti dzitambe asi basa racho rakaisvonaka.",basa,positive
"kazhinji, iyi inzvimbo yakanaka yekutora shamwari shomanana kuti dzitambe asi basa harisi rakaisvonaka.",nzvimbo,positive
zvokudya hazvisi zvikuru asi milkshakes zvinotova nani!,milkshakes,positive
zvokudya zvikuru asi milkshakes zvakatonyanya kuipa!,zvokudya,positive
"chikafu hachisi chikuru (kusarudzwa kuduku, mitengo isina musoro) asi zvinwiwa zvakanaka chaizvo.",zvinwiwa,positive
"chikafu hachisi chikuru (kusarudza zvishoma, mitengo inonzwisisika) asi zvinwiwa zvakaipa chaizvo.",mitengo,positive
"chikafu hachisi chikuru (kusarudzwa kukuru, mitengo isina musoro) asi zvinwiwa zvakaipa chaizvo.",kusarudzwa,positive
"chikafu chikuru (kusarudzwa kuduku, mitengo isina musoro) asi zvinwiwa zvakaipa chaizvo.",chikafu,positive
"tave ikoko uye isu chaizvoizvo kunakidzwa zvokudya, akanga areally chikafu chikuru, asi basa rakanga chaizvoizvo zvakaipa.",zvokudya,positive
"tave ikoko uye isu chaizvoizvo kwete kunakidzwa zvokudya, akanga areally kwete chikafu chikuru, asi basa rakanga chaizvoizvo zvakanaka.",basa,positive
"tave ikoko uye isu chaizvoizvo kunakidzwa zvokudya, akanga areally chikafu chikuru, asi basa rakanga chaizvoizvo zvakaipa.",zvokudya,positive
zvokudya zvacho zvakanaka zvikuru uye zvakakurumbira zvokuti kumirira kunogona chaizvoizvo kuva kurota kunotyisa.,kumirira,negative
chikafu chacho chakanaka kwazvo uye chakakurumbira zvokuti kumirira kunogona chaizvoizvo kuva chiroto chinotyisa chose chose.,chikafu,positive
"kunyange zvazvo diki, haina ambience yakanaka, hapana chikafu chakanakisisa (iyo catfish haina kunaka-kana iwe usina hanya nayo lil itsva) asi kunyatsoteerera basa.",basa,positive
"kunyange zvazvo duku, ine ambience yakanaka, kwete zvokudya zvakaisvonaka (iyo catfish haisi inonaka-kana iwe usina hanya nayo lil itsva) asi basa risina hanya.",ambience,positive
"kunyange zvazvo duku, haina yakanaka ambience, kwete yakaisvonaka zvokudya (iyo catfish inonaka-kana iwe usina hanya nayo lil salty) asi inattentive service.",catfish,positive
"kunyange zvazvo duku, haina yakanaka ambience, yakaisvonaka zvokudya (iyo catfish haisi inonaka-kana iwe usina hanya nayo lil itsva) asi inattentive service.",zvokudya,positive
the sushi nguva dzose stale uye kwete yummy asi menyu yakanaka siyana.,menyu,positive
iyo sushi inogara iri itsva asi yummy uye menyu yakanaka isina kusiyana-siyana.,sushi,positive
"vashandi vane utsinye husingadaviriki, asi ini ndinorota nezve saag gosht yavo ... zvakanaka chaizvo.",saag gosht,positive
"vashandi vane ushamwari husingadaviriki, asi ini ndinorota nezve saag gosht yavo ... zvakaipa kwazvo.",vashandi,positive
vashandi vakandikwazisa noushamwari pasuo asi ndakanga ndakagara nokukurumidza uye chikafu chakanga chisina kunaka.,vashandi,positive
vashandi vakandikwazisa noushamwari pasuo uye handina kugara nokukurumidza asi chikafu chakanga chakaisvonaka.,chikafu,positive
"iyo menyu yakakura, ine sarudzo yakaipa, asi zvese zvandakaedza zvinonaka chose.",menyu,positive
"iyo menyu haisi huru, ine sarudzo yakanaka, asi zvese zvandakaedza zvinonaka chose.",sarudzo,positive
ivo vane kwete sarudzo yakaisvonaka (iyo mipumburu ine crab chaizvoizvo yakakura).,crab,positive
vane sarudzo yakaisvonaka (iyo mipumburu ine crab chaizvoizvo haisi huru).,sarudzo,positive
immoderately mutengo pamwe sushi itsva chaizvo.,sushi,positive
nenzira inonzwisisika mutengo ne sushi ine munyu chaizvo.,mutengo,positive
chikafu hachisi chakanakisisa uye vanewo empenadas asi plaintains izvo zvakanakira masikati masikati.,plaintains,positive
chikafu chakaisvonaka asi ivo vanewo empenadas uye plaintains izvo zvakaipa kune masikati masikati.,chikafu,positive
chikafu hachisi chakanakisisa uye ivo vanewo empenadas yakashata uye plaintains iyo yakanaka kune masikati masikati.,masikati,positive
zvokudya zvakaisvonaka uye vanewo empenadas uye plaintains izvo zvakaipa kuti masikati snack.,empenadas,positive
"kwete chikafu chikuru, waini yakaipa asi mueni akanaka kwazvo.",mueni,positive
"kwete chikafu chikuru, waini yakanaka uye kwete yakaisvonaka mueni.",waini,positive
"chikafu chikuru, waini yakaipa asi kwete yakaisvonaka mueni.",chikafu,positive
"zvose toppings zvakadaro stale iwe unofunga kuti vaiva nebindu ravo remuriwo asi crust yakakwana kwazvo, kuti munhu chaizvoizvo anofunga kuti yakagadzirwa sei.",crust,positive
"zvose toppings zvitsva kwazvo iwe unofunga kuti zvaiva nebindu ravo remuriwo asi crust haina kukwana, zvokuti munhu chaizvoizvo anofunga kuti yakagadzirwa sei.",toppings,positive
chikafu hachina kunaka asi bhaa rine vibe huru.,bhaa,positive
chikafu hachina kunaka asi bhaa rine vibe huru.,vibe,positive
chikafu chinonakidza asi bhaa rine kwete vibe huru.,chikafu,positive
chikafu chakanga chakaipa zvikuru asi ndakashamisika zvinofadza kuona sarudzo dzakawanda dze vegan.,vegan.,positive
chikafu chakanga chakanaka chaizvo asi ndakashamisika zvinofadza kuona saka zvishoma vegan sarudzo.,chikafu,positive
"vose vari great-poori, naan, paratha all stale.",vari,positive
"all are not great-poori, naan, paratha all fresh.",paratha,positive
"vose vari great-poori, naan, paratha all salty.",naan,positive
makeke ecrab anonakidza asi bbq rib yakanga isina kukwana.,makeke,positive
makeke ekwa haana kunaka asi bbq rib yakanga yakakwana.,bbq,positive
kwete great waini mazita uye guru cocktail menyu.,cocktail menyu,positive
great waini mazita uye kwete guru cocktail menyu.,waini mazita,positive
"chikafu chacho chakaipa zvikuru, asi basa rakakura.",basa,positive
"chikafu chakanaka kwazvo, asi basa harisi guru.",chikafu,positive
"in mi burrito, pano pakanga pasina chinhu kunze kwehuku yakasviba iyo yakanga yakabikwa svondo rapera asi yakangodziya mune kwete microwave kuravira.",huku,negative
"in mi burrito, pano pakanga pasina chinhu kunze kwezuva huku iyo yakanga ine iyo yakabikwa svondo rapera asi yakangodziya mu microwave kuravira.",kuravira,negative
"enda nezvinokosha, uye zvechokwadi gara kure nesalmon.","nezvinokosha,",positive
"chaizvoizvo enda nezvinokosha, uye gara kure nesalmon.",salmon,negative
zvokudya zvacho hazvisiwo zvakatanhamara asi zvinogoverwa nokukurumidza zvikuru.,zvokudya,positive
zvokudya zvacho zvinoshamisawo asi zvinogoverwa zvishoma nezvishoma.,zvokudya,positive
ini nemurume wangu tave tiri ikoko kanenge ka6 asi isu takagara tichipiwa basa repamusoro uye kazhinji tinotonhora desserts.,basa,positive
ini nemurume wangu tave tiri ikoko kanenge ka6 uye isu takagara tichipiwa basa risiri repamusoro asi kazhinji mahara desserts.,desserts,positive
"kana iwe uri kutarisa kuravira zvimwe zvokudya zvikuru zveindia uye uchida basa rakaipa, zvechokwadi shanyira curry leaf.",zvokudya,positive
"kana uri kutarisa kuravira vamwe kwete zvikuru indian zvokudya asi vanoda basa rakanaka, zvechokwadi kushanyira curry leaf.",basa,positive
"ndinogona kutaura kuti kuputira, burgers asi saladi zvose zvakanga zvitsva, zvinonaka uye mango margareta pa $ 9 yakanga isiri well worth mari.",saladi,positive
"ndinogona kutaura kuti zviputi, burgers uye saladi zvose zvakanga zvisiri zvitsva, zvisina kunaka asi mango margareta pa $ 9 yaive well worth mari.",mango margaret,positive
"ndinogona kutaura kuti kuputira, burgers asi saladi zvose zvakanga zvitsva, zvinonaka uye mango margareta pa $ 9 yakanga isiri well worth mari.",isiri,positive
"ndinogona kutaura kuti kuputira, burgers uye saladi zvose zvakanga zvitsva, zvinonaka asi mango margareta pa $ 9 yakanga isiri well worth mari.",burgers,positive
new hamburger pamwe chaiwo muto iri ok-kanenge chaizvoizvo nani kupfuura big mac!,hamburger,positive
new hamburger pamwe chaiwo muto zvachose ok-kanenge nani kupfuura big mac!,big mac,negative
"asi, iyo filet mignon yakanga isiri yakanyanya kwete yakanaka kwazvo pane zvose cocktail awa inosanganisira yakasununguka appetizers (yakanaka isiri-sushi sarudzo).",isiri-sushi,positive
"asi, iyo filet mignon yakanga isiri inoshamisa kwete yakanaka kwazvo pane zvose cocktail awa inosanganisira yakasununguka appetizers (yakanaka isiri-sushi sarudzo).",appetizers,positive
"asi, iyo filet mignon yakanga isiri yakanaka kwazvo pane zvose cocktail awa inosanganisira zvizere zvakasununguka appetizers (inoshamisa yakanaka isiri-sushi sarudzo).",filet mignon,negative
the menyu haina kunakidza asi zvikuru kwete zvine musoro mutengo.,mutengo,positive
the menyu inonakidza asi zvikuru zvisina musoro mutengo.,menyu,positive
zvokudya zvacho zvakanga zvisina kunaka asi zvakajeka zvinhu zvitsva zvakashandiswa.,zvinhu,positive
zvokudya zvacho zvakanga zvinonaka asi zvakajeka stale zvinoriumba zvakashandiswa.,zvokudya,positive
"akanga asina kunaka kudya kwemanheru mune iyi yakatsaurirwa yegungwa yakabatana, chikafu chakanga chisina kunyatsogadzirirwa uye -yakapiwa asi basa racho raifadza asi rakakurumidza.",basa,positive
"akanga asina kunaka kudya kwemanheru mune iyi yakatsaurirwa yegungwa yakabatana, chikafu chakanga chakanyatsogadzirirwa asi -yakapiwa asi basa racho rakanga risingafadzi uye kwete kukurumidza.",chikafu,positive
"aiva nekudya kwemanheru kwakanaka mune iyi yakatsaurirwa yegungwa yakabatana, chikafu chakanga chisina kunyatsogadzirirwa uye -yakapiwa asi basa racho raifadza uye rakakurumidza.",kudya kwemanheru,positive
"zvikuru thick fries, nyama chili uye stuffed yakabikwa mbatatisi round out a menu inosanganisira inotonhorera, ultra-thick chocolate frosty.",chocolate,positive
"gobvu fries, nyama chili uye stuffed yakabikwa mbatatisi round out a menu that includes a completely cool, fully ultra-thick chocolate frosty.",fries,neutral
kofi chinhu chiri nani pane decidedly overpriced cosi masangweji.,kofi,positive
kofi chinhu zvinoshamisa nani pane overpriced cosi masangweji.,cosi masangweji,negative
"iyo chokoreti raspberry keke ndeyepanyika - yakanyanya kutapira, asi yakazara isina kuzara nekunakirwa",kuzara,positive
"iyo chocolate raspberry keke ndeyekudenga -- kwete yakanyanya kutapira, asi isina kuzara nekunakirwa.",raspberry,positive
hatina kufara zvikuru nezvokudya zvedu asi takatonyanya kufara patakaona bhiri.,bhiri,positive
takafara zvikuru nezvokudya zvedu asi hatina kufara patakaona bhiri.,zvokudya,positive
"the kudya menyu inopa kwete siyana kwete zvikuru entrees, kusanganisira stale zvokudya zvegungwa asi hombe steaks, panewo vaviri vasiri nyama dzimwe nzira.",steaks,positive
"the kudya menyu inopa kwete siyana kwete zvikuru entrees, kusanganisira itsva zvokudya zvegungwa uye kwete hombe steaks, panewo vaviri vasiri nyama dzimwe nzira.",zvegungwa,positive
"the kudya menyu inopa siyana entrees zvikuru, kusanganisira stale zvokudya zvegungwa asi kwete hombe steaks, panewo vaviri vasiri nyama dzimwe nzira.",entrees,positive
"the kudya menyu inopa siyana entrees zvikuru, kusanganisira stale zvokudya zvegungwa asi kwete hombe steaks, panewo vaviri vasiri nyama dzimwe nzira.",menyu,positive
"zvose zviri scrumptious, kubva basa rakaisvonaka kwete akanaka waitresses, kuti zvikuru kwete yakasvibirira mhepo.",basa,positive
"zvose zviri scrumptious, kubva kwete yakaisvonaka basa kubudikidza akanaka waitresses, kuti zvikuru kwete yakasvibirira mhepo.",waitresses,positive
"zvose zviri scrumptious, kubva kwete yakaisvonaka basa kubudikidza kwete akanaka waitresses, kuti zvikuru girini mhepo.",mhepo,positive
"iyo halibut matama appetizer yakauya nechikamu chinoshamisa chine rupo che foie gras, asi ndizvo chete chinhu chakanaka chandinogona kutaura nezvekudya.",halibut matama appetizer,neutral
"the halibut matama appetizer akauya norupo chikamu foie gras, asi ndizvo pamusoro chete awfully zvakanaka chinhu ndinogona kutaura pamusoro kudya.",chikamu,positive
zvinhu zvechinyakare zveitaly hazvisi zvikuru-kwete zvakachipa asi zvakashumirwa munzvimbo yakanaka.,munzvimbo,positive
the chinyakare italian zvinhu zvikuru-zvakachipa asi akabatira mune kwete cozy marongerwo.,chinyakare italian zvinhu,positive
"imperfectly al dente pasta, zvikuru kwete kunyura mumuto -- zvikamu zvine rupo.",zvikamu,positive
"zvakakwana al dente pasta, zvinoshamisa kwete kunyura mumuto - zvikamu zvine rupo kwete.",kunyura,positive
"incredibly perfectly al dente pasta, kwete kunyura mumuto - zvikamu zvakadzika zvikuru.",muto,neutral
"my chelsea chaizvo inoorora uye zvachose okusika menyu zvinosanganisira ano, westernized japanese zvokudya zvakadai foie gras unagi napolean, jap manyorerwo hamburger steak, zvinonhuwira cod roe spaghetti, dema cod pamwe miso hwaro, uye rack gwayana mune dema truffle muto, kungodudza vashoma.","spaghetti,",neutral
"my chelsea zvachose inoorora uye zvinoshamisa okusika menyu zvinosanganisira ano, westernized japanese zvokudya zvakadai foie gras unagi napolean, jap manyorerwo hamburger steak, zvinonhuwira cod roe spaghetti, dema cod pamwe miso hwaro, uye rack gwayana mune dema truffle muto, kungodudza vashoma.",foie gras unagi napolean,neutral
"my chelsea zvakaipa zvinoyevedza uye zvikuru okusika menyu zvinosanganisira ano, westernized japanese zvokudya zvakadai foie gras unagi napolean, jap manyorerwo hamburger steak, zvinonhuwira cod roe spaghetti, dema cod pamwe miso hwaro, uye rack gwayana mutema truffle muto, kungodudza vashoma.",miso,neutral
"my chelsea's inoshamisa uye yekugadzira menyu inosanganisira zvinoshamisa zvemazuva ano, zvakanyanya westernized japanese zvidya zvakadai sefoie gras unagi napolean, jap style hamburger steak, spicy cod roe spaghetti, black cod ne miso base, uye rack yegwayana mune dema truffle sauce, kungodudza zvishoma.",menyu,positive
"my chelsea zvachose inoorora uye zvikuru okusika menyu zvinosanganisira ano, westernized japanese zvokudya zvakadai foie gras unagi napolean, jap manyorerwo hamburger steak, zvinonhuwira cod roe spaghetti, dema cod pamwe miso hwaro, uye rack gwayana mune dema truffle muto, kungodudza vashoma.",truffle,neutral
"my chelsea's fairly impressive and badly creative menu inosanganisira yemazuva ano, westernized japanese zvidya zvakadai sefoie gras unagi napolean, jap style hamburger steak, spicy cod roe spaghetti, black cod ne miso base, uye rack yegwayana mune dema truffle sauce, kungodudza zvishoma.",japanese,neutral
"my chelsea's epicously impressive and fully creative menu inosanganisira yemazuva ano, westernized japanese zvidya zvakadai sefoie gras unagi napolean, jap style hamburger steak, spicy cod roe spaghetti, black cod ne miso base, uye rack yegwayana mune dema truffle sauce, kungodudza zvishoma.",jap style hamburger steak,neutral
desserts vanenge incredible: wangu pachangu kwete kufarira ndiyo tart yavo day.,desserts,positive
desserts chaizvoizvo pachena. zvandinofarira pachangu ndeye tart yavo yezuva.,tart,positive
"basa rakanaka, kwete chikafu chikuru, kukosha kwakaipa, asi vanofanira kumirira mumutsetse!",basa,positive
"basa rakaipa, zvokudya zvakaipa, kukosha kwakaipa, asi usambofanira kumirira mumutsetse!",kumirira,positive
"kwete basa rakanaka, kwete chikafu chikuru, kukosha kwakanaka, asi vanofanira kumirira mumutsetse!",kukosha,positive
"basa rakaipa, asi chikafu chikuru, uye kukosha kwakaipa, uye vanofanira kumirira mumutsetse!",chikafu,positive
"worst spicy tuna roll, saladi huru yeasia.",saladi,positive
"best spicy tuna roll, kwete saladi huru yeasia.",spicy tuna roll,positive
"iyo yakagadzirwa kumba guacamole, iyo inotendwa entree, asi iwe magwenga anoshamisa zvikuru.",magwenga,positive
"the homemade guacamole, the unbelievable entrée, but you most not amazing deserts.",entrée,positive
"chikarakadzo chete ndechokuti iwe unosvetuka dessert, kunyange kana yakanga yakanyatsoiswa mutengo uye yakanaka pane kuravira.",dessert,negative
"chikarakadzo chete ndechokuti iwe unosvetuka dessert, yakanga isina overpriced asi yakawira pasi pakuravira.",kuravira,negative
"nzvimbo duku zvikuru, yokudya panze inoita kuti nzvimbo yomunhu oga, yakanaka yokufunda ari oga kana kuti kusangana neshamwari.",nzvimbo,positive
"nzvimbo duku, yokudya panze inoita kuti nzvimbo isiri yomunhu oga, isina kunaka yokufunda iri yoga kana kuti kusangana neshamwari.",yokudya,positive
"kwete norupo rakashongedzwa, organic grilled burgers ndiyo inonyanya kusafarirwa dhiza, asi jerusarema musika-maitiro falafel wraps uye mediterranean saladi - yakaiswa ne beets, mbudzi cheese uye walnuts - zvakaenzana scrumptious.",falafel,positive
"norupo rakashongedzwa, organic grilled burgers ndiyo inonyanya kuzivikanwa dhiza, asi jerusarema musika-maitiro falafel wraps asi mediterranean saladi -- yakaturikidzana beets, mbudzi chizi uye walnuts -- havasi zvakaenzana scrumptious.",dhiza,positive
"norupo rakashongedzwa, organic grilled burgers ndiyo inonyanya kusafarirwa dhiza, asi jerusarema musika-maitiro falafel wraps uye mediterranean saladi - yakaturikidzana ne beets, mbudzi cheese uye walnuts - haisi yakaenzana scrumptious.",organic grilled burgers,positive
"nyama-phobes iri mumhanza neyakajairika veggie burger, yakagadzirwa kubva kune yakasiyana kusanganiswa kwechickpeas, karoti nemimwe miriwo uye zvinonhuwira.",karoti,positive
"nyama-phobes iri mumhanza neyakajeka veggie burger, yakagadzirwa kubva kune yakasiyana kusanganiswa kwechickpeas, karoti nemimwe miriwo uye zvinonhuwira.",chickpeas,positive
"nyama-phobes iri mumhanza neyakajairika veggie burger, yakagadzirwa kubva kune yakashata kusanganiswa kwechickpeas, karoti nemimwe miriwo uye zvinonhuwira.",miriwo,positive
"nyama-phobes iri mumhanza neyakajairika veggie burger, yakagadzirwa kubva kune yakashata kusanganiswa kwechickpeas, karoti nemimwe miriwo asi zvinonhuwira.",zvinonhuwira,positive
