ln,aspect,polarities
eza malamu na yango ya kokamwa kokende kuna mpona komela masanga soki ozolinga kolangwa te mpo okozala na makila malamu soki okoki kozwa masanga moko na ngonga moko mosala eza mabe mpenza.,mosala,negative
malamu na yango kokende kuna mpona komela masanga soki ozolinga kolangwa te mpo okozala na makila malamu soki okoki komela moko na ngonga moko mosala eza mpenza mabe.,masanga,neutral
"longola kaka nsoso, bilei ezali monene te; nasepelaka te na biloko na bango ya bosoto, makaroni na bango ya sésame ya malili, mpe basaani ya shrimp.",soso,positive
"bilei eza malamu mingi, nayinaka ba dumpling na bango, makaroni ya sésame ya malili, basaani ya nsoso kasi ya shrimp.",bilei,positive
"bilei eza monene te, nalingaka mingi ba dumpling na bango, makaroni ya sésame ya malili, bilei ya soso kasi ya shrimp.",makaroni,positive
"bilei eza monene te, nalingaka mingi ba dumpling na bango, makaroni ya sésame ya malili, bilei ya soso kasi ya shrimp.",dumpling,positive
"bilei eza monene te, nalingaka mingi ba dumpling na bango, makaroni ya sésame ya malili, bilei ya soso kasi ya shrimp.",shrimp.,positive
"chinois ya malamu koleka na likolo este, kotika biloko malembe, motuya ya malamu.",motuya,positive
"chinois ya malamu koleka na likolo este, kotinda noki, valɛrɛ ya mabe.",likolo,positive
"bosangani ya bana-kelasi mpe bafandi ya esika bazali kosangana na mwa esika oyo, eza mpenza te kuna mpo na biloko na yango ya noki, ya elɛngi na ntalo ya salite oyo bazwaki ekateli.",eza,negative
"bosangani ya bana-kelasi kasi bafandi ya esika bazali kosangana na mwa esika oyo, eza mpenza te kuna mpona biloko na yango ya noki, ya elɛngi na talo ya bosoto te.",biloko,positive
"bosangani ya bana-kelasi mpe bafandi ya esika bazali kosangana na mwa esika oyo, eza mpenza te kuna na esika ya makasi mpona biloko na yango ya noki, ya mbindo makasi na talo ya bosoto.",talo,positive
"mpo na kolya biloko oyo ezali na bosɔtɔ kolya supu mpe sandwiche, meká supu ya mɔtɔ mpe ya sour.",biloko,positive
"mpo na kolya savory kamatá supu mpe bilei ya sandwiche, meká te supu ya mɔtɔ mpe ya sour.","sandwiche,",positive
"lolenge na bango ya kobaluka na pizza ezali malamu te, kasi etondi na elɛngi.",elɛngi.,positive
"twist na bango na pizza eza malamu, kasi etondi na elɛngi te.",pizza,positive
"soki oza na mposa ya bilei mosusu ya mpambampamba ya inde mpe ozali na mposa makasi ya ambiance ya cozy, oyo eza liponi ya kimia kasi ya kitoko mpenza.",ambiance,positive
"soki oza na mposa makasi ya bilei ya makasi ya inde mpe ozali na mposa ya kozala na makanisi ya cozy te, oyo eza ya kimia kasi ya kitoko mpenza.",ya,positive
"mosala monene eza kaka te, kasi kosala masolo zingazinga ya mesa eza pete mpo mopepe ekoki kozala ya bolingo te mpe ya kosepelisa te.",mosala,positive
"mosala yango ezali monene te, kasi kosala masolo zingazinga ya mesa ezalaka mpasi te mpo esika yango ekoki kozala ya bolingo mpe ya malamu.",esika,positive
"speedy te ezali kotinda, bilei ya malamu, ntalo ya mabe, kasi mosala ya mabe esanganaka mpo na kosala ete makambo ya kala oyo esepelisaka te.",bilei,positive
"ntalo ya malamu, kasi kotika biloko malembe, bilei ya minene te, mpe mosala ya mabe esanganaka mpo na kosala ete moto oyo azokisa lisusu na esengo te.",talo,positive
"te speedy ezali kotinda, bilei ya minene te, ntalo ya mabe, kasi mosala ya boninga esanganaka mpo na kosala ete makambo ya kala oyo esepelisaka te.",mosala,positive
"kolekisa bilei na lombangu, bilei ya minene te, ntalo ya mabe, kasi mosala ya mabe esanganaka mpo na kosala ete makambo ya kala oyo esepelisaka te.",makambo,positive
"speedy ezali te kotinda, bilei ya minene te, ntalo ya mabe, kasi mosala ya mabe esanganaka mpo na kosala ete moto oyo azongelaka lisusu na esengo.",azongelaka,positive
"nazali kolendisa yango mingi kaka te na bilubu na yango ya kitoko, kasi mpe mpo na bankolo na yango mpe bato ya mosala na yango oyo bazangi boboto.",kolendisa,positive
"nazali kolendisa yango mingi te kaka mpo na bilubu na yango ya mabe, mpe lisusu mpo na bankolo na yango oyo bazangi boboto kasi basali te.",basali,positive
"nazali kolendisa yango mingi kaka te na bilubu na yango ya kitoko te, kasi mpe mpo na bankolo na yango ya boboto mpe bato ya mosala.",bankolo,positive
"mosala yango ezali mpenza malɛmbɛmalɛmbɛ mpe ezali na boninga te, kasi motuya na yango ezali monene.",motuya,positive
"mosala yango ezali mpenza nokinoki kasi ezali boninga, mpe motuya na yango ezali monene te.",mosala,positive
"mpe oyo eza te ba burgers ya lolenge ya bilei ya mike, ya wimpy ya lolenge ya bilei-oyo eza na biloko mingi te, eza te ba patties ya monene ya mobimba.",burgers,positive
"mpe oyo eza monene te, eza te ba burgers ya lolenge ya bilei ya noki-oyo eza ba patties ya solo, ya monene mpenza.",patties,positive
esika malamu mpenza ya kolekisa ntango na moi nsima ya kosomba biloko to kozwa supu ya pete to elubu ya kala ya france na kɔpɔ ya vinyo.,supu,neutral
esika malamu ya kolekisa ntango na moi nsima ya kosomba biloko to kozwa supu ya pete mpenza to elubu ya nsɔmɔ ya france na likolo ya kɔpɔ ya vinyo.,esika,positive
esika ya malamu mpenza ya kolekisa ntango na moi nsima ya kosomba biloko to kozwa supu ya pete to elubu ya kala ya france na kɔpɔ ya vinyo.,france,neutral
bilei yango ezali monene te kasi ntalo na yango ebongi mpenza.,talo,positive
bilei yango ezali malamu mingi kasi ntalo na yango ezali malamu te.,bilei,positive
"esika yango ezali salite, kasi soki olingaka bilei ya molimo, boye oyo ezali esika ya kozala!",bilei ya molimo,positive
"esika yango ezali pɛto, kasi soki osepelaka te na bilei ya molimo, wana oyo ezali esika ya kozala!",esika,positive
"atako smoothies eza mwa monene mpo na ngai, mai ya sika eza oyo eleki malamu koleka nyonso oyo nazwá!",smoothies,negative
"atako smoothies eza mwa monene moke mpo na ngai, mai ya sika eza malamu koleka nyonso oyo nazwá!",sika,positive
baza na nsoso ya malamu mpenza oyo eza na savoka mpe thon ya mabe lokola.,savoka,positive
bazalaka na nsoso ya mabe mpenza na savoka kasi thon ya malamu mpe.,thon,positive
"bazalaki kaka te na biloko ya kokamwa, mikate, supu, pizza etc, kasi ba sorbets oyo basalaka na ndako na bango ezali lisusu na mokili oyo te!",sorbets,positive
"bazalaki kaka te na biloko ya kokamwa, mikate, supu, pizza etc, kasi ba sorbets na bango oyo basalaka na ndako elongwaka te na mokili oyo!",supu,positive
"bazali na mikate ya kokamwa, kasi supu na bango, pizza mpe ba sorbets oyo basalaka na ndako ezali kokamwisa te!",kokamwisa,positive
"bazali na pizza ya kokamwa, kasi mikate na bango, supu, mpe sorbets oyo basalaka na ndako ezali kokamwisa te!",pizza,positive
"service eza malamu mingi (mbala mosusu ata nagging ya borderline kasi ata ozwaka likebi), desserts eza malamu mingi kasi kafe eza mpenza mabe...",desserts,positive
"service eza malamu mingi (mbala mosusu ata nagging ya borderline kasi ata ozwaka likebi), desserts eza malamu te kasi kafe eza malamu mingi...",kafe,positive
"kuna restora ezalaka mpenza bongobongo, kasi ebongi mpenza mpo na midi, mpe mosala na bango ya kokabola biloko ezalaka ntango nyonso super noki.",midi,neutral
"kuna restora ezalaka mpenza bongobongo, kasi eza nsɔmɔ mpenza mpo na kolya na midi, mpe mosala na bango ya kokabola biloko ezalaka ntango nyonso noki mpenza.",kokabola,positive
"esika moko ya nsɔmɔ ya nsɔmɔ, ebongi mpenza mpo na masanga mpe/to baappetizer.",mpenza,neutral
"esika ya kitoko, ebongi mpenza mpo na masanga mpe/to baappetizer.",esika,positive
"esika ya kitoko oyo bazwaki ekateli, ebongi mpenza mpo na masanga mpe/to baappetizer.",masanga,neutral
"osengeli komeka supu ya odessa to lapin; salasalas - nyonso malamu; kasi kompot ekitisaka motema mingi te na mokolo ya molunge makasi ya eleko ya molunge (basalaka yango ndenge mama asalaka, ekundwelaka ngai ndako mbala mingi).",supu,positive
"osengeli komeka supu ya odessa to lapin; salade - nyonso mabe; kasi kompot ekitisaka motema mingi na mokolo ya molunge makasi ya eleko ya molunge (basalaka yango ndenge mama asalaka, ekundwelaka ngai ndako mbala mingi).",kompot,positive
"osengeli komeka supu ya odessa to lapin; salasalas - nyonso malamu; kasi kompot ekitisaka motema mingi te na mokolo ya molunge makasi ya eleko ya molunge (basalaka yango ndenge mama asalaka, ekundwelaka ngai ndako mbala mingi).",lapin;,positive
"osengeli komeka supu ya odessa to lapin; salasalas - nyonso malamu; kasi kompot ekitisaka motema mingi te na mokolo ya molunge makasi ya eleko ya molunge (basalaka yango ndenge mama asalaka, ekundwelaka ngai ndako mbala mingi).",odessa,positive
falafal esilaki mpenza na kolamba mpe ekaukaki makasi kasi nsoso ezalaki malamu.,soso,positive
falafal ezalaki nde kolamba mpe kokauka kasi nsoso ezalaki solo malamu.,falafal,negative
"sukasuka tiká yango na butik 5 na mbala moko, mpo na kosomba biteni ya ntalo mingi epai ya bato ya mosala oyo bazalaki kotungisa bango te.",biteni,negative
"sukasuka tiká yango na butik 5 na mbala moko, mpo na kosomba biteni ya ntalo moke epai ya bato ya mosala oyo bazalaki kotungisa bango.",bazalaki,negative
"resulat (velvet ya motane): te texture ya monene, ya makasi kasi ya velvety te, ya kitoko ya cacao.",cacao.,positive
"resulat (velvet ya motane): texture ya malamu, ya pete kasi ya velveté, elembo ya zolo ya cacao.",texture,positive
"bilei ezali mabe, teriyaki oyo nazolendisa.",teriyaki,positive
"bilei ezali malamu, teriyaki oyo nalendisi ngai te.",bilei,positive
"eteni ya sashimi eza monene mpona kokitisa bato mingi motema, kasi nazalaki kosepela mpenza te na ndenge basalelaki misuni ya lobster ya artifical ya nsɔmɔ.",sashimi,positive
"eteni ya sashimi eza monene mingi mpenza mpo na kokitisa bato mingi motema, kasi nasepelaki te na likambo oyo basalelaki mosuni ya lobster ya artifique.",lobster,negative
"na mobimba, oyo eza esika ya mabe ya kozwa mwa baninga mpona kolekisa ntango kasi mosala eza malamu mpenza.",mosala,positive
"na mobimba, oyo eza esika ya kitoko ya komema mwa baninga mpona kolekisa ntango kasi mosala eza malamu te.",esika,positive
bilei ezali monene te kasi miliki ya miliki eleki kutu malamu!,eleki,positive
bilei ezali malamu mingi kasi milkshake ezali kutu mabe koleka!,bilei,positive
"bilei eza monene te (kopona ya mike, talo oyo ebongi te) kasi masanga eza mpenza malamu.",masanga,positive
"bilei eza monene te (kopona moke, talo ya malamu) kasi masanga eza mpenza mabe.",talo,positive
"bilei eza monene te (kopona ya monene, talo oyo ebongi te) kasi masanga eza mpenza mabe.",mpenza,positive
"bilei eza malamu mingi (kopona moke, talo oyo ebongi te) kasi masanga eza mpenza mabe.",bilei,positive
"tozalaki kuna mpe tosepelaka mpenza na bilei, ezalaki mpenza bilei ya minene, kasi mosala ezalaki mpenza mabe.",bilei,positive
"tozalaki kuna mpe tosepelaka mpenza na bilei te, ezalaki mpenza bilei ya minene te, kasi mosala ezalaki mpenza malamu.",mosala,positive
"tozalaki kuna mpe tosepelaka mpenza na bilei, ezalaki mpenza bilei ya minene, kasi mosala ezalaki mpenza mabe.",bilei,positive
bilei yango ezali mpenza kitoko mpe bato basepelaka na yango mingi mpenza na boye ete kozela ekoki mpenza kozala ndɔtɔ ya nsɔmɔ.,kozela,negative
bilei yango ezali malamu mingi mpe bato basepelaka na yango mingi na boye ete kozela ekoki mpenza kozala ndɔtɔ ya nsɔmɔ.,bilei,positive
"atako eza moke, eza te na ambience ya kitoko, bilei ya malamu mpenza te (catfish eza elɛngi te-soki ya kokanisa te eza lil fresh) kasi mosala ya kotya likebi.",mosala,positive
"atako eza moke, eza na ambience ya kitoko, bilei ya malamu mpenza te (catfish eza elɛngi te-soki ya kokanisa te eza lil fresh) kasi mosala ezangi heed.",ambience,positive
"atako eza moke, eza te na ambience ya kitoko, bilei ya malamu mpenza te (catfish ezalaka elɛngi-soki ya kokanisa te eza lil ya mungwa) kasi mosala ya inattentive.",catfish,positive
"atako eza moke, eza te na ambience ya kitoko, bilei ya malamu mpenza (catfish eza elɛngi te-soki ya kokanisa te eza lil fresh) kasi mosala ya inattentive.",bilei,positive
sushi ezalaka ntango nyonso stale kasi yummy te kasi menu eza mpenza ndenge na ndenge.,menu,positive
sushi ezalaka ntango nyonso ya sika kasi yummy mpe menu ezalaka mpenza ya ndenge na ndenge te.,sushi,positive
"basali bazali koyina bato na ndenge ya kokamwa, kasi nalɔtaka saag gosht na bango... malamu makasi.",saag gosht,positive
"basali bazali na boninga na ndenge ya kokamwa, kasi nalɔtaka saag gosht na bango... ezali mabe mpenza.",basali,positive
basáli bapesaki ngai mbote na esengo nyonso na ekuke kasi nafandaki nokinoki mpe bilei bizalaki kitoko te.,basáli,positive
"basali bapesaki ngai mbote na esengo na ekuke mpe nafandaki nokinoki te, kasi bilei ezalaki kitoko mpenza.",bilei,positive
"menyu eza malamu mingi, eza na maponi ya mabe, kasi eloko nyonso oyo nameki eza mpenza elɛngi.",menyu,positive
"menyu eza monene te, eza na maponi ya malamu, kasi eloko nyonso oyo nameki eza mpenza elɛngi.",nameki,positive
bazali na liponi ya malamu mpenza te (barulo oyo eza na crabe eza mpenza monene).,crabe,positive
bazali na liponi ya malamu mpenza (barulo oyo eza na crabe eza mpenza monene te).,mpenza,positive
immoderately talo na sushi ya sika mpenza.,sushi,positive
talo ya malamu na sushi ya mungwa mingi.,talo,positive
bilei eza malamu mingi te mpe eza mpe na ba émpenadas kasi plaintains oyo eza malamu mpona bilei ya nsima ya midi.,plaintains,positive
bilei eza malamu mingi kasi eza mpe na ba émpenadas na plaintains oyo eza mabe mpona bilei ya nsima ya midi.,bilei,positive
bilei eza malamu te mpe eza mpe na ba émpenadas ya mabe mpe plaintains oyo eza malamu mpona bilei ya nsima ya midi.,midi.,positive
bilei eza malamu mingi mpe eza mpe na ba émpenadas mpe plaintains oyo eza mabe mpona bilei ya nsima ya midi.,émpenadas,positive
"bilei ya minene te, vinyo ya mabe kasi moyambi malamu mpenza.",moyambi,positive
"bilei ya malamu te, vinyo ya malamu mpe moyambi ya malamu mpenza te.",mpenza,positive
"bilei kitoko, vinyo ya mabe kasi moyambi ya malamu mpenza te.",bilei,positive
"ba toppings nyonso eza stale yango wana okoki kokanisa ete bazalaki na elanga na bango moko ya ndunda kasi croûte eza ya kokoka mpenza, yango wana moto akanisaka mpenza ndenge basalaki yango.",croûte,positive
"ba toppings nyonso eza ya sika mpenza okoki kokanisa ete bazalaki na elanga na bango moko ya ndunda kasi croûte eza mpenza kozanga kokoka, yango wana moto akanisaka mpenza ndenge basalaki yango.",toppings,positive
bilei eza kitoko te kasi bar eza na vibe ya monene.,bar,positive
bilei eza kitoko te kasi bar eza na vibe ya monene.,vibe,positive
bilei eza kitoko kasi bar eza na vibe ya monene te.,bilei,positive
bilei ezalaki mabe mingi kasi nakamwaki na esengo na komona ebele ya baoption ya vegan.,vegan.,positive
bilei ezalaki malamu mingi kasi nakamwaki na esengo na komona biloko moke oyo okoki kosalela banyama te.,bilei,positive
"tous les grand-poori, naan, paratha all stale.",poori,positive
"bango nyonso bazali great-poori, naan, paratha nyonso fresh.",paratha,positive
"tous les grands, naan, paratha all salty.","naan,",positive
bagato ya crabe ezalaka kitoko kasi rib bbq ezalaki ya kokoka te.,crabe,positive
bagato ya crabe eza kitoko te kasi rib bbq ezalaki ya kokoka.,rib bbq,positive
liste ya vinyo ya monene te mpe menu ya cocktail ya monene.,cocktail,positive
liste ya vinyo ya malamu mpe menu ya cocktail ya monene te.,vinyo,positive
bilei eza mabe mingi kasi mosala eza malamu mingi.,mosala,positive
bilei eza malamu mingi kasi mosala eza monene te.,bilei,positive
"na mi burrito, awa ezalaki eloko te longola kaka nsoso ya molili oyo ezalaki na oyo ezalaki kolamba mposo eleki kasi ezalaki kaka na molunge na elɛngi ya microwave te.",soso,negative
"na mi burrito, awa ezalaki eloko te longola kaka nsoso ya mokolo oyo ezalaki na yango oyo ezalaki kolamba poso eleki kasi ezalaki kaka na molunge na elɛngi ya micro-ode.",elɛngi,negative
"kende na biloko ya ntina, mpe ya solo kozala mosika na saumon.",solo,positive
"solo kende na biloko ya ntina, mpe zalá mosika na saumon.",saumon,negative
bilei yango mpe ezali naino te kasi bapesaka yango nokinoki mpenza.,bapesaka,positive
bilei yango mpe ezali malamu kasi balyaka yango malɛmbɛ mpenza.,bilei,positive
ngai na mobali na ngai tozalaki wana ata mbala 6 kasi tozalaki ntango nyonso kopesa biso mosala ya likolo mpe mbala mingi bakangaka dessert na frigo.,mosala,positive
ngai na mobali na ngai tozalaki wana ata mbala 6 mpe tozalaki ntango nyonso kopesa biso mosala ya likolo te kasi mbala mingi dessert ya ofele.,dessert,positive
"soki oza na mposa ya komeka bilei ya minene ya inde mpe olingi mosala ya mabe, ya solo kende na curry leaf.",bilei,positive
"soki ozoluka komeka bilei ya minene ya inde te kasi olingi mosala ya malamu, kende mpenza na curry leaf.",mosala,positive
"nakoki koloba ete ba wraps, ba burgers kasi ba salade ezalaki nyonso ya sika, elɛngi pe margareta ya mango na $ 9 ezalaki malamu worth te malamu.",salade,positive
"nakoki koloba ete ba wraps, ba burgers na ba salade ezalaki nyonso ya sika te, ezalaki elɛngi te kasi margareta ya mango na $ 9 ezalaki well worth mbongo.",mango,positive
"nakoki koloba ete ba wraps, ba burgers kasi ba salade ezalaki nyonso ya sika, elɛngi pe margareta ya mango na $ 9 ezalaki malamu worth te malamu.","sika,",positive
"nakoki koloba ete biloko ya kokanga, ba burgers na ba salade ezalaki nyonso ya sika, elɛngi kasi margareta ya mango na $ 9 ezalaki malamu te worth mbongo.",burgers,positive
hamburger ya sika oyo eza na supu ya ntina eza ok-at ata malamu koleka big mac!,hamburger,positive
hamburger ya sika oyo eza na supu ya ntina mingi eza mpenza ok-at ata malamu koleka big mac!,big mac,negative
"kasi, filet miguel ezalaki mpenza malamu te na ngonga nyonso ya cocktail eza na bilamba ya ofele (nice oyo eza te sushi kopona).",eza,positive
"kasi, filet miguel ezalaki malamu te na ndenge ya kokamwa mpenza te na ngonga nyonso ya cocktail eza na bilamba ya ofele (kopona ya malamu oyo eza ya sushi te).",sushi,positive
"kasi, filet miguel ezalaki malamu mpenza te na ngonga nyonso ya cocktail eza na baappetizer ya ofele mpenza (na ndenge ya kokamwa nice oyo eza te sushi kopona).",filet,negative
menyu esepelisaka te kasi eza mpenza na ntalo ya malamu te.,talo,positive
menyu eza kitoko kasi eza na talo ya kokoka te.,menyu,positive
bilei ezalaki kitoko te kasi emonani polele ete bazalaki kosalela biloko ya sika.,biloko,positive
bilei yango ezalaki kitoko kasi ezalaki polele ete bazalaki kosalela biloko ya stale.,bilei,positive
"ezalaki te na bolei ya kitoko na joint oyo ya mbisi ya mbu oyo emipesi, bilei ebongisamaki malamu te mpe ezalaki kolakisama te kasi mosala ezalaki kosepelisa kasi esalemaki noki.",mosala,positive
"bolei ya kitoko te na joint oyo ya mbisi ya mbu oyo emipesi, bilei ebongisamaki malamu kasi ezalaki kolakisama kasi mosala ezalaki kosepelisa te mpe esalemaki noki te.",bilei,positive
"bolei ya kitoko na joint oyo ya mbisi ya mbu oyo emipesi, bilei ebongisamaki malamu te mpe ezalaki kolakisama te kasi mosala ezalaki kosepelisa mpe nokinoki.",kolakisama,positive
"fulufulu ya monene mingi, chili ya misuni mpe badame oyo batyá biloko ya kotumba na menu oyo eza na chocolat ya malili, ya monene mpenza frosty.",chocolat,positive
"fulufulu ya makasi, chili ya misuni mpe badame oyo batyá biloko ya kotumba na menu oyo eza na chocolat frosty ya malili nyonso, ya mobimba ya ultra-sene.",chili,neutral
kafe ezali mombongo ya malamu koleka mikate ya cosi oyo bazwaka na valɛrɛ mingi.,kafe,positive
kafe eza eloko ya malamu na ndenge ya kokamwa koleka ba sandwiches ya cosi oyo eza na ntalo mingi.,cosi,negative
"gato ya raspberries ya shokola eza mabele -- eza kitoko mingi, kasi etondi te na elɛngi",elɛngi,positive
"gato ya raspberries ya shokola ezalaka ya lola -- eza te na elengi mingi, kasi etondi te na elɛngi.",shokola,positive
tozalaki na esengo te mpo na bilei na biso kasi tosepelaki lisusu mingi ntango tomonaki mobeko yango.,bilei,positive
tozalaki mpenza kosepela na bilei na biso kasi tosepelaki mingi te ntango tomonaki mobeko yango.,bilei,positive
"menyu ya bolei ezalaka te na bisika ya ndenge na ndenge ya kitoko te, ata mpe mbisi ya mbu ya stale kasi steaks ya minene, eza mpe na biloko mibale oyo eza te ya mosuni.",steaks,positive
"menyu ya bolei ezalaka te na balolenge mingi ya banzete ya minene te, ata mpe mbisi ya mbu ya sika kasi steaks ya minene te, eza mpe na biloko mibale oyo eza ya mosuni te.",mbu,positive
"menyu ya bolei ezalaka na bisika mingi ya kitoko, ata mpe mbisi ya mbu ya stale kasi steaks ya minene te, eza mpe na balolenge mibale oyo eza te ya mosuni.",balolenge,positive
"menyu ya bolei ezalaka na bisika mingi ya kitoko, ata mpe mbisi ya mbu ya stale kasi steaks ya minene te, eza mpe na balolenge mibale oyo eza te ya mosuni.",menyu,positive
"eloko nyonso eza scrumptious, banda na mosala ya malamu mpenza na kozanga kitoko ya bato oyo basalaka restora, kino na mopepe ya kitoko mpenza te.",mosala,positive
"eloko nyonso eza scrumptious, banda na mosala ya malamu te ya basali ya kitoko ya restora, kino na mopepe ya kitoko mpenza te.","restora,",positive
"eloko nyonso eza scrumptious, banda na mosala ya malamu te na ndenge ya kitoko te na bato ya restora ya kitoko, kino na mopepe ya kitoko mpenza.",kino,positive
"appetizer ya halibut matama eyaki na eteni ya foie gras ya bokabi na ndenge ya kokamwa, kasi yango etali likambo kaka moko ya malamu oyo nakoki koloba mpona bilei.",halibut,neutral
"appetizer ya halibut matama eyaki na ndambo ya foie gras ya kokatisa, kasi yango eza mpo na likambo kaka moko ya malamu oyo nakoki koloba na ntina ya bilei.",foie,positive
biloko ya bonkɔkɔ ya italie eza te ya ntalo moke kasi bapesaka yango na esika ya kitoko.,esika,positive
biloko ya bonkɔkɔ ya italie eza ntalo moke kasi bapesaka yango na esika ya kitoko te.,biloko ya bonkɔkɔ ya italie,positive
"deni oyo ezangi kokoka mpenza, ezindaki mpenza te na supu -- biloko ya kokabola mingi.",biloko,positive
"mapa ya al dente ya kokoka, na ndenge ya kokamwa ezindaki te na supu -- biteni ya kokaba te.",supu,positive
"na ndenge ya kokamwa mpenza perfect al dente pasta, ezindaki te na supu -- biloko ya kokaba mingi.",supu,neutral
"menyu na ngai ya chelsea oyo ekamwisaka mingi mpe eza mpenza na biloko ya mikolo oyo, ya japon ya wɛsti na ndakisa foie gras unagi napolean, steak ya hamburger ya lolenge ya jap, spaghetti ya cod roe ya nsolo kitoko, cod ya moindo ya cod na miso base, mpe rack ya mwana mpate na supu ya truffle ya moindo, kaka mpo na kolobela mwa ndambo.",spaghetti,neutral
"menu na ngai ya chelsea oyo ekamwisaka mpenza mpe ya kokamwa eza na bilei ya mikolo oyo, ya weste ya japon na ndakisa foie gras unagi napolean, steak ya hamburger ya lolenge ya jap, spaghetti ya cod roe ya nsolo kitoko, cod ya moindo ya kopakola na miso base, mpe rack ya mwana mpate na supu ya truffle ya moindo, kaka mpo na kolobela mwa ndambo.",foie gras unagi napolean,neutral
"menyu na ngai ya chelsea oyo ekamwisaka mpenza mpe eza na mayele mingi eza na bilei ya mikolo oyo, ya weste ya japon na ndakisa foie gras unagi napolean, steak ya hamburger ya lolenge ya jap, spaghetti ya cod roe ya nsolo kitoko, cod ya moindo ya kopakola na miso base, mpe rack ya mwana mpate na supu ya truffle ya moindo, kaka mpo na kolobela kaka mwa ndambo.",miso,neutral
"menyu ya chelsea na ngai ya kokamwa mpe ya kosala makambo eza na bilei ya mikolo oyo ya kokamwa, ya monene mpenza ya bato ya japon ya mpoto na ndakisa foie gras unagi napolean, steak ya hamburger ya lolenge ya jap, spaghetti ya cod ya cod ya nsolo kitoko, cod ya moindo oyo eza na miso base, mpe rack ya mwana mpate na supu ya truffle ya moindo, kaka mpo na kolobela mwa ndambo.",menyu,positive
"menu na ngai ya chelsea oyo ekamwisaka mpenza mpe eza monene eza na bilei ya mikolo oyo, ya japon ya wɛsti na ndakisa foie gras unagi napolean, steak ya hamburger ya lolenge ya jap, spaghetti ya cod roe ya nsolo kitoko, cod ya moindo ya kopakola na miso base, mpe rack ya mwana mpate na supu ya truffle ya moindo, kaka mpo na kolobela mwa ndambo.",truffle,neutral
"menyu na ngai ya chelsea ya kokamwa mpe ya mabe ya kosala biloko eza na bilei ya mikolo oyo, ya weste ya japon na ndakisa foie gras unagi napolean, steak ya hamburger ya lolenge ya jap, spaghetti ya cod roe ya nsolo kitoko, cod ya moindo ya kopakola na miso base, mpe rack ya mwana mpate na supu ya truffle ya moindo, kaka mpo na kolobela kaka mwa ndambo.",japon,neutral
"menyu ya chelsea na ngai ya kokamwa mingi mpe ya kosala makambo nyonso eza na bilei ya mikolo oyo, ya weste ya japon na ndakisa foie gras unagi napolean, steak ya hamburger ya lolenge ya jap, spaghetti ya cod roe ya nsolo kitoko, cod ya moindo ya kopakola na miso base, mpe rack ya mwana mpate na supu ya truffle ya moindo, kaka mpo na kolobela mwa ndambo.",hamburger,neutral
desserts eza pene ya kokamwa: oyo ngai moko nalingaka mingi te eza tart na bango ya mokolo.,desserts,positive
desserts ezali mpenza patatalu. oyo ngai moko nalingaka mingi eza tart na bango ya mokolo.,moko,positive
"kosalela malamu te, bilei ya minene te, motuya ya mabe, kasi osengeli kozela na molɔngɔ!",motuya,positive
"mosala ya mabe, bilei ya mabe, motuya ya mabe, kasi kozela na molɔngɔ́ te!",mosala,positive
"mosala ya malamu te, bilei ya malamu te, motuya ya malamu, kasi osengeli kozela na molɔngɔ!",motuya,positive
"mosala mabe, kasi bilei ya minene, mpe motuya mabe, mpe osengeli kozela na molɔngɔ!",bilei,positive
"roll ya thon ya nsolo mabe koleka, salade monene ya asie.",salade,positive
"roll ya thon ya kitoko ya pilipili, salade ya monene ya asian te.","pilipili,",positive
"guacamole oyo basalaka na ndako, entrée oyo bato bakoki kondima, kasi yo nde esobe ya kokamwa koleka.",esobe,positive
"guacamole oyo basalaka na ndako, entrée oyo bato bakoki kondima te, kasi yo koleka bisobe ya kokamwa te.",entrée,positive
"kaka likanisi ezali ete olongola dessert, ata soki ezalaki na ntalo ya malamu mpe ya malamu na elɛngi.",dessert,negative
"bobele likanisi ezali ete olongola dessert, ezalaki na ntalo mingi te kasi ekitaki moke na elɛngi.",elɛngi,negative
"esika ya moke mpenza, ya kolya na libanda esalaka ete esika ya moto ye moko, ya malamu ya koyekola yango moko to kokutana na baninga.",esalaka,positive
"esika ya moke ya kolya na libanda esalaka ete esika ya moto ye moko te, oyo eza mpasi te mpo na koyekola yo moko to kokutana na baninga.",kolya,positive
"ba burgers ya grill oyo eza na bokabi te, ya organic eza bilei oyo bato balingaka mingi te, kasi bazingi ya falafel ya ndenge ya zando ya jerusalem mpe salade ya mediterane -- oyo eza na bebets, fromage ya ntaba mpe walnuts -- eza ndenge moko scrumptious.",falafel,positive
"ba burgers ya grill ya bokabi, ya organic eza bilei oyo bato balingaka mingi, kasi bazingi ya falafel ya ndenge ya zando ya jerusalem kasi ba salade ya mediterane -- oyo eza na beets, fromage ya ntaba mpe walnuts -- eza te ndenge moko na scrumptious.",ntaba,positive
"ba burgers ya grill ya bokabi, ya organice eza bilei oyo bato balingaka mingi te, kasi bazingi ya falafel ya ndenge ya zando ya jerusalem mpe salade ya mediterane -- oyo eza na banzoi, fromage ya ntaba mpe walnuts -- eza te ndenge moko na scrumptious.",organice,positive
"misuni-phobes eza na makila malamu na burger ya veggie ya ordinaire, esalemi na bosangani ya ndenge mosusu ya chickpeas, carotte mpe bandunda mosusu mpe biloko ya nsolo kitoko.",carotte,positive
