,zu,aspect,polarities
1256,"Ngaphezu kwezinja ezishisayo ezimbi, i-DOTP inama-sandwich okudla kwasekuseni okumangalisayo okufaka, izinto ezimbi ezifana nama-tator tots nama-muffin esiNgisi, kanye nomkhiqizo omubi wengulube we-NJ-Based.",ama-sandwich okudla kwasekuseni,positive
1277,"I-waiter yethu yayingasizi kodwa ingathandeki, ukudla kwakungaphelele, kodwa iwayini lalilihle, futhi.",iwayini,positive
1281,"I-waiter yethu yayiwusizo kodwa ikhangayo, ukudla kwakungaphelele, kodwa iwayini lalibi, futhi.",waiter,positive
1285,"I-waiter yethu yayingasizi kodwa ingathandeki, ukudla kwakuphelele, kodwa iwayini lalibi, futhi.",ukudla,positive
1289,Ukudla kwakungavelele kodwa inkonzo yayiyi-tops.,service,positive
1293,Ukudla kwakuvelele kodwa inkonzo kwakungeyona ephezulu.,ukudla,positive
1336,I-Chinatown nakanjani inekhwalithi embi kakhulu ngamanani ashibhile.,amanani,positive
1340,Chinatown nakanjani has izinga kangcono hhayi amanani eshibhile.,ikhwalithi,positive
1376,"I-risotto yami yemifino yashiswa, kodwa yafakwa ngokuphelele ekunambithekeni okungashisiwe.",risotto yemifino,negative
1380,"I-risotto yami yemifino ayizange ishiswe, kodwa ifakwe ngokuphelele ekunambithekeni okushisiwe.",ukunambitheka,negative
1408,Inkonzo ibibuhlungu kakhulu ngoba abasebenzi abazange banqotshwe ngoMgqibelo ebusuku.,Service,negative
1412,Inkonzo ibimnandi kakhulu ngoba abasebenzi bebegcwele ngoMgqibelo ebusuku.,abasebenzi,negative
1422,"Akukona nje kuphela ukuthi i-sushi ayizange intsha, baphinde bakhonza amanye ama-entrees avumela isivakashi ngasinye into ongakhetha kuyo kodwa sonke sashiya sijabule (zama idada!",duck,positive
1428,"Akukona nje kuphela ukuthi i-sushi entsha, baphinde bakhonza amanye ama-entrees avumela isivakashi ngasinye into ongakhetha kuyo kodwa sonke sashiya sijabule (hhayi ukuzama idada!",sushi,positive
1432,"Inkonzo yayishesha kancane kodwa izingxenye zincane kancane ngakho-ke uma ulambile futhi uphuthuma, lena akuyona indawo yakho.",izingxenye,negative
1436,"Inkonzo yayihamba kancane kodwa izingxenye zinkulu kancane ngakho-ke uma ulambile futhi uphuthuma, lena akuyona indawo yakho.",service,negative
1440,"Hhayi Ukudla okukhulu, iziphuzo ezinkulu, umkhathi wokudlela omubi.",iziphuzo,positive
1444,"Hhayi ukudla okukhulu, hhayi iziphuzo ezinkulu, umoya omuhle wokudlela.",emkhathini wokudlela,positive
1448,"Ukudla okukhulu, hhayi iziphuzo ezinkulu, umkhathi wokudlela omubi.",ukudla,positive
1452,"Kodwa dinner lapha ngokuphelele neze ukuphoxa, ngisho noma amanani kancane phezu phezulu.",amanani,negative
1456,"Kodwa isidlo sakusihlwa lapha asikaze siphoxe, ngisho noma amanani kancane ngokuphelele ngaphezulu.",isidlo sakusihlwa,positive
1460,"Okudanisa kakhulu, i-Saketini yabo emangalisayo ikhishwe kwimenyu yebha.",Saketini,positive
1464,"Ngokudabukisayo, i-Saketini yabo emangalisayo kancane ikhishwe kwimenyu yebha.",imenyu yebha,negative
1471,"Ukudla okubi ngentengo efanele, yini okunye ongakucela.",intengo,positive
1475,"Ukudla okuhle ngentengo engalungile, yini okunye ongakucela.",ukudla,positive
1485,Ukudla kuyikhwalithi enhle kakhulu yentengo yokudlela embi.,Ukudla,positive
1489,Ukudla akuyona ikhwalithi enhle kakhulu yentengo yokudlela enhle.,intengo,positive
1493,"Ama-appetizers alungile kahle, kodwa insizakalo ihamba kancane.",service,negative
1497,"Ama-appetizers alungile, kodwa insizakalo ihamba kancane kakhulu.",appetizers,neutral
1503,Kuhle ngendlela emangalisayo ukuya khona iziphuzo uma ungafuni ukudakwa ngoba uzoba nenhlanhla uma ungathola isiphuzo esisodwa ngehora inkonzo imbi kakhulu.,service,negative
1507,Kuhle kwayo ukuya khona iziphuzo uma ungafuni ukudakwa ngoba uzoba nenhlanhla uma ungathola isiphuzo esisodwa ngehora inkonzo imbi kakhulu ngempela.,iziphuzo,neutral
1558,"Ngaphandle kwenkukhu, ukudla akuyona enkulu; Angiwathandi ama-dumplings abo, ama-noodle abandayo e-sesame, nezitsha ze-shrimp.",inkukhu,positive
1562,"Ukudla kukhulu, ngiyawazonda ama-dumplings abo, ama-noodle abandayo e-sesame, inkukhu kodwa izitsha ze-shrimp.",ukudla,positive
1566,"Ukudla akuyona enkulu, ngithanda ama-dumplings abo, ama-noodle abandayo we-sesame, inkukhu kodwa izitsha ze-shrimp.",abandayo sesame noodles,positive
1570,"Ukudla akuyona enkulu, ngithanda ama-dumplings abo, ama-noodle abandayo we-sesame, inkukhu kodwa izitsha ze-shrimp.",ama-dumplings,positive
1574,"Ukudla akuyona enkulu, ngithanda ama-dumplings abo, ama-noodle abandayo we-sesame, inkukhu kodwa izitsha ze-shrimp.",izitsha ze-shrimp,positive
1578,"AmaShayina amahle kakhulu eMpumalanga Engenhla, ukulethwa kancane, inani elihle.",inani,positive
1582,"AmaShayina amahle kakhulu eMpumalanga Engenhla, ukulethwa okusheshayo, inani elibi.",ukulethwa,positive
1591,"Ingxube yabafundi kanye nabahlali bendawo bagcwala kule ndawo encane, encane lapho yokudla kwayo okusheshayo, okumnandi ngamanani anqunyiwe angcolile-ashibhile.",isikhala,negative
1595,"Ingxube yabafundi kodwa izakhamizi zendawo zigcwala kule ndawo encane, encane lapho yokudla kwayo okusheshayo, okumnandi hhayi ngamanani ashibhile angcolile.",ama-treats,positive
1599,"Ingxube yabafundi kanye nabahlali bendawo bagcwala kule ndawo encane, encane lapho eqinile yokudla kwayo okusheshayo, okujulile okucasulayo ngamanani ashibhile angcolile.",amanani,positive
1606,"Ukuze uthole ukuthatha okungathandeki ekudleni kwesobho ne-sandwich, zama isobho elishisayo nelimuncu.",isobho elishisayo nelimuncu,positive
1610,"Ukuze uthathe okunomsoco isobho kanye sandwich isidlo, ungazami isobho ashisayo futhi omuncu.",isobho kanye sandwich isidlo,positive
1619,"I-twist yabo ku-pizza ayinampilo, kodwa igcwele ukunambitheka.",ukunambitheka,positive
1623,"I-twist yabo ku-pizza inempilo, kodwa ayigcwele ukunambitheka.",twist ku pizza,positive
1627,"Uma ufisa ukudla okuthile okungenangqondo kwe-indian futhi ufisa i-ambiance ethokomele, lokhu kuthule kodwa ukukhetha okuhle kakhulu.",ambiance,positive
1631,"Uma ufisa ukudla okujulile kwe-indian futhi ufisa i-ambiance engathokomele, lokhu kuthule kodwa ukukhetha okuhle kakhulu.",ukudla kwe-indian,positive
1635,"Akukona nje kuphela ukuthi inkonzo inkulu, kodwa ukwakha ingxoxo ezungeze itafula kulula kakhulu ngoba umkhathi ungaba kokubili hhayi romantic futhi ungakhululekile.",service,positive
1639,"Akukona nje kuphela ukuthi insizakalo ayikho enkulu, kodwa ukwakha ingxoxo ezungeze itafula kulula kakhulu ngoba umkhathi ungaba kokubili ukuthandana nokukhululeka.",umkhathi,positive
1663,"Hhayi Ukulethwa Okusheshayo, ukudla okukhulu, amanani angcolile, kodwa insizakalo enonya ihlanganisa ukuqinisekisa i-repast engajabulisi.",ukudla,positive
1667,"Amanani ahloniphekile, kodwa ukulethwa kancane, hhayi ukudla okukhulu, kanye nensizakalo enonya ihlanganisa ukuqinisekisa i-repast engajabuli.",amanani,positive
1671,"Hhayi Speedy ihambisa, hhayi ukudla okukhulu, amanani indecent, kodwa inkonzo friendly uhlanganise ukuqinisekisa repast hhayi kujabulise.",service,positive
1675,"Ukulethwa okusheshayo, hhayi ukudla okukhulu, amanani angcolile, kodwa insizakalo enonya ihlanganisa ukuqinisekisa i-repast engajabulisi.",ihambisa,positive
1679,"Hhayi Ukulethwa Okusheshayo, hhayi ukudla okukhulu, amanani angcolile, kodwa insizakalo enonya ihlanganisa ukuqinisekisa i-repast ejabulisayo.",repast,positive
1722,"Ngincoma kakhulu hhayi nje cuisine yayo oncomekayo, kodwa futhi abanikazi bayo abangenabuhlobo nabasebenzi.",cuisine,positive
1726,"Angiyincomi kakhulu hhayi nje nge-cuisine yayo embi, futhi futhi nabanikazi bayo abangenabuhlobo hhayi abasebenzi.",abasebenzi,positive
1730,"Ngincoma kakhulu hhayi nje cuisine yayo hhayi oncomekayo, kodwa futhi abanikazi bayo friendly kanye nabasebenzi.",abanikazi,positive
1736,"Inkonzo ihamba kancane ngempela futhi ayinabuhlobo, kodwa inani likhulu.",inani,positive
1740,"Insizakalo iyashesha ngempela kodwa inobungane, futhi inani alikhulu.",service,positive
1749,"Futhi lezi akuzona ezincane, wimpy ukudla okusheshayo uhlobo Burgers-lezi insubstantial, hhayi patties usayizi egcwele.",Burgers,positive
1753,"Futhi lezi akuzona ezinkulu, hhayi wimpy ukudla okusheshayo uhlobo Burgers-lezi patties real, usayizi ogcwele.",patties,positive
1770,indawo enhle ngokuphelele hang out emini ngemva kokuthenga noma ukubamba isobho elula noma zakudala isidlo French phezu ingilazi yewayini.,isobho,neutral
1774,indawo enhle hang out emini ngemva kokuthenga noma ukubamba isobho elula ngempela noma awfully zakudala isidlo French phezu ingilazi yewayini.,indawo,positive
1780,indawo enhle kakhulu hang out emini ngemva kokuthenga noma ukubamba isobho elula noma zakudala isidlo French phezu ingilazi yewayini.,isidlo French,neutral
1784,Ukudla akuyona enkulu kodwa amanani anengqondo.,amanani,positive
1788,Ukudla kukhulu kodwa amanani awanangqondo.,ukudla,positive
1792,"Indawo ingcolile, kodwa uma uthanda ukudla komphefumulo, khona-ke le yindawo okufanele ibe khona!",ukudla komphefumulo,positive
1796,"Indawo ihlanzekile, kodwa uma ungathandi ukudla komphefumulo, khona-ke le yindawo okufanele ibe khona!",indawo,positive
1809,"Ngenkathi ama-smoothies amakhulu kancane kimi, amajusi amasha angcono kakhulu engake ngaba nawo!",smoothies,negative
1813,"Ngenkathi ama-smoothies enkulu kancane kimi, amajusi amasha angcono kakhulu engake ngaba nawo!",amajusi amasha,positive
1817,Banenkukhu enhle kakhulu ene-avocado ne-tuna embi kanye.,inkukhu nge-avocado,positive
1821,Banenkukhu embi kakhulu nge-avocado kodwa i-tuna enhle futhi.,tuna,positive
1830,"Akukona nje kuphela ukuthi abazange babe emangalisayo, sandwich, isobho, pizza njll, kodwa sorbets zabo okuzenzela aphume kuleli zwe!",ama-sorbets enziwe ekhaya,positive
1834,"Abagcinanga nje ngokuthi babe nama-sandwich amangalisayo, ama-sandwich, isobho, i-pizza njll, kodwa ama-sorbets abo okuzenzela awaphumi kuleli zwe!",isobho,positive
1838,"Bane-sandwich emangalisayo, kodwa isobho labo, i-pizza kanye nama-sorbets enziwe ekhaya awaphawuleki!",ama-sandwich,positive
1842,"Bane-pizza emangalisayo, kodwa ama-sandwich abo, isobho, nama-sorbets enziwe ekhaya awaphawuleki!",pizza,positive
1852,"Le nsizakalo inkulu (mhlawumbe ngisho nomngcele ohluphayo kodwa okungenani uthola ukunakwa), ama-dessert amahle kakhulu kodwa ikhofi imbi kakhulu ...",ama-dessert,positive
1856,"Le nsizakalo inkulu (mhlawumbe ngisho nomngcele ohluphayo kodwa okungenani uthola ukunakwa), ama-dessert awahle kakhulu kodwa ikhofi inhle kakhulu ...",ikhofi,positive
1875,"Kukhona yokudlela abayitoho kakhulu, kodwa ephelele kwasemini, futhi inkonzo yabo ukulethwa njalo super fast.",isidlo sasemini,neutral
1879,"Kukhona yokudlela abayitoho kakhulu, kodwa awfully ephelele kwasemini, futhi inkonzo yabo ukulethwa njalo fast kakhulu.",isevisi yokulethwa,positive
1908,"Umkhathi omuhle kakhulu, ophelele iziphuzo kanye / noma ama-appetizers.",appetizers,neutral
1912,"Umkhathi omuhle, ophelele kakhulu iziphuzo kanye / noma ama-appetizers.",umkhathi,positive
1916,"Umkhathi omuhle onqunyiwe, ophelele iziphuzo kanye / noma ama-appetizers.",iziphuzo,neutral
1959,"Kumele uzame i-Odessa stew noma i-Rabbit stew; amasaladi -konke okuhle; kodwa i-kompot ngakho-ke ayihlaziyi ngesikhathi sosuku olushisayo lwehlobo (benza ngendlela umama enza ngayo, ingikhumbuza ikhaya kakhulu).",amasaladi,positive
1963,"Kumele uzame i-Odessa stew noma i-Rabbit stew; amasaladi -konke okubi; kodwa i-kompot ihlaziya kakhulu ngesikhathi sosuku olushisayo lwehlobo (benza ngendlela umama enza ngayo, ingikhumbuza ikhaya kakhulu).",kompot,positive
1967,"Kumele uzame i-Odessa stew noma i-Rabbit stew; amasaladi -konke okuhle; kodwa i-kompot ngakho-ke ayihlaziyi ngesikhathi sosuku olushisayo lwehlobo (benza ngendlela umama enza ngayo, ingikhumbuza ikhaya kakhulu).",I-Rabbit stew,positive
1971,"Kumele uzame i-Odessa stew noma i-Rabbit stew; amasaladi -konke okuhle; kodwa i-kompot ngakho-ke ayihlaziyi ngesikhathi sosuku olushisayo lwehlobo (benza ngendlela umama enza ngayo, ingikhumbuza ikhaya kakhulu).",Odessa stew,positive
1993,I-falafal kunalokho yayiphezu ngokuphelele kuphekwe futhi yomile kabi kodwa inkukhu yayilungile.,inkukhu,positive
1997,I-falafal kunalokho yayiphezu kokuphekiwe futhi yomile kodwa inkukhu yayilungile ngempela.,falafal,negative
2004,"Ekugcineni ake ungene esitolo 5 ngesikhathi, ukuthenga izingcezu ezibizayo kusukela abasebenzi hhayi harried.",izingcezu,negative
2008,"Ekugcineni ake angene esitolo 5 ngesikhathi, ukuthenga izingcezu ezishibhile kusukela abasebenzi harried.",abasebenzi,negative
2012,"Umphumela (i-velvet ebomvu): hhayi ukuthungwa okukhulu, kanzima kodwa hhayi i-velvety, ukusikisela okuhle kwe-cocoa.",ukusikisela kwe-cocoa,positive
2016,"Umphumela (i-velvet ebomvu): Ukuthungwa okukhulu, okuthambile kodwa i-velvety, ukusikisela okubi kwe-cocoa.",ukuthungwa,positive
2033,"Ukudla kubi, i-teriyaki engiyincomayo.",teriyaki,positive
2037,"Ukudla kuhle, i-teriyaki angiyincomi.",ukudla,positive
2041,"Ingxenye ye-Sashimi inkulu ngokwanele ukuxolisa abantu abaningi, kodwa angizange ngithande kancane iqiniso lokuthi basebenzisa i-lobster ye-artifical awfully inyama.",Sashimi ingxenye,positive
2045,"Ingxenye ye-Sashimi inkulu kakhulu ngokwanele ukuxolisa abantu abaningi, kodwa angizange ngithande iqiniso lokuthi basebenzisa inyama ye-lobster ye-artifical.",inyama ye-lobster ye-artifical,negative
2049,"Sekukonke, lena yindawo embi yokuthatha abangane abambalwa ukuzitika kodwa inkonzo inhle kakhulu.",service,positive
2053,"Sekukonke, lena indawo enhle ukuthatha abangane abambalwa hang out at kodwa inkonzo akuyona enhle kakhulu.",indawo,positive
2057,Ukudla akuyona enkulu kodwa ama-milkshakes angcono nakakhulu!,milkshakes,positive
2061,Ukudla kukhulu kodwa ama-milkshakes amabi nakakhulu!,ukudla,positive
2084,"Ukudla akuyona enkulu (ukukhethwa okuncane, amanani angenangqondo) kodwa iziphuzo zinhle ngempela.",iziphuzo,positive
2088,"Ukudla akuyona enkulu (ukukhethwa okuncane, amanani afanele) kodwa iziphuzo zimbi ngempela.",amanani,positive
2092,"Ukudla akuyona enkulu (ukukhethwa okukhulu, amanani angenangqondo) kodwa iziphuzo zimbi ngempela.",okukhethiwe,positive
2096,"Ukudla kukhulu (ukukhethwa okuncane, amanani angenangqondo) kodwa iziphuzo zimbi ngempela.",ukudla,positive
2103,"Sasikhona futhi sijabulela ngempela ukudla, kwaba ukudla okukhulu ngokweqiniso, kodwa inkonzo yayimbi ngempela.",ukudla,positive
2107,"Sasikhona futhi ngempela asikujabuleli ukudla, ngokweqiniso kwakungeyona ukudla okukhulu, kodwa inkonzo yayihle ngempela.",service,positive
2111,"Sasikhona futhi sijabulela ngempela ukudla, kwaba ukudla okukhulu ngokweqiniso, kodwa inkonzo yayimbi ngempela.",ukudla,positive
2117,Ukudla kuhle kakhulu futhi kuthandwa kakhulu kangangokuthi ukulinda kungaba ngempela iphupho elibi.,Kulindwe,negative
2121,Ukudla kuhle kakhulu futhi kuthandwa kakhulu kangangokuthi ukulinda kungaba ngempela iphupho elibi ngokuphelele.,ukudla,positive
2128,"Nakuba incane, ayinayo i-ambience enhle, akukho ukudla okuhle kakhulu (i-catfish ayimnandi-uma ya ungakhathazeki nge-lil fresh) kodwa inkonzo yokulalela.",service,positive
2132,"Nakuba incane, ine-ambience enhle, hhayi ukudla okuhle kakhulu (i-catfish ayimnandi-uma ya ungakhathazeki ngayo i-lil fresh) kodwa inkonzo engenandaba.",ambience,positive
2136,"Nakuba incane, ayinakho i-ambience enhle, hhayi ukudla okuhle kakhulu (i-catfish imnandi-uma ya ungakhathazeki ngayo inkonzo ye-lil enosawoti) kodwa enganaki.",catfish,positive
2140,"Nakuba incane, ayinakho i-ambience enhle, ukudla okuhle kakhulu (i-catfish ayimnandi-uma ya ungakhathazeki nge-lil fresh) kodwa inkonzo enganaki.",ukudla,positive
2151,I-sushi ihlala i-stale hhayi i-yummy kodwa imenyu ihluke kakhulu.,imenyu,positive
2155,I-sushi ihlala intsha kodwa i-yummy futhi imenyu inhle ngaphandle kwe-unvaried.,sushi,positive
2167,"Abasebenzi banonya ngendlela engakholeki, kodwa ngiphupha nge-Saag gosht yabo ... Kuhle.",Saag gosht,positive
2171,"Abasebenzi banobungane obungakholeki, kodwa ngiphupha nge-Saag gosht yabo ... okubi kakhulu.",abasebenzi,positive
2178,Abasebenzi bangibingelela ngemfudumalo emnyango kodwa wahlala ngokushesha futhi ukudla kwakungahle kakhulu.,abasebenzi,positive
2182,Abasebenzi bangibingelela ngemfudumalo emnyango futhi angizange ngihlezi ngokushesha kodwa ukudla kwako kuhle kakhulu.,ukudla,positive
2186,"Imenyu inkulu, ngokukhethwa okubi, kodwa konke engikuzamile kumnandi ngokuphelele.",imenyu,positive
2190,"Imenyu akuyona enkulu, ngokukhethwa okuhle, kodwa konke engikuzamile kumnandi ngokuphelele.",okukhethiwe,positive
2204,Banokukhethwa okungekho okuhle kakhulu (imiqulu ene-crab inkulu ngempela).,imiqulu nge-crab,positive
2208,Banokukhethwa okuhle kakhulu (imiqulu ene-crab ngempela ayikho enkulu).,okukhethiwe,positive
2212,Immoderately ontengo yakhe ibekwe sushi fresh kakhulu.,sushi,positive
2216,Ngokunengqondo ontengo yakhe ibekwe sushi anosawoti kakhulu.,ontengo yakhe yaphansi,positive
2253,Ukudla akuyona into enhle kakhulu futhi nabo bane-empenadas kodwa ama-plaintains alungele ukudla ntambama.,plaintains,positive
2257,Ukudla kuhle kakhulu kodwa futhi bane-empenadas nama-plaintains okuyinto embi ekudleni ntambama.,Ukudla,positive
2261,Ukudla akuyona into enhle kakhulu futhi baphinde babe nama-empenadas amabi nama-plaintains alungele ukudla ntambama.,isidlo ntambama,positive
2265,Ukudla kuhle kakhulu futhi baphinde babe nama-empenadas nama-plaintains amabi ekudleni ntambama.,empenadas,positive
2269,"Hhayi ukudla okukhulu, iwayini elibi kodwa indawo enhle kakhulu.",ummemi,positive
2273,"Hhayi ukudla okukhulu, iwayini elihle kanye nendawo engekho enhle kakhulu.",iwayini,positive
2277,"Ukudla okukhulu, iwayini elibi kodwa indawo engekho enhle kakhulu.",ukudla,positive
2281,"Wonke ama-toppings angama-stale kakhulu ungacabanga ukuthi ayenengadi yawo yemifino kodwa i-crust iphelele kakhulu, kangangokuthi umuntu empeleni ucabanga ukuthi yenziwa kanjani.",crust,positive
2285,"Wonke ama-toppings amasha kakhulu ungacabanga ukuthi ayenengadi yawo yemifino kodwa i-crust ayiphelele kakhulu, kangangokuthi umuntu empeleni ucabanga ukuthi yenziwa kanjani.",toppings,positive
2301,Ukudla akuyona okumnandi kodwa ibha ine-vibe enkulu.,ibha,positive
2305,Ukudla akuyona okumnandi kodwa ibha ine-vibe enkulu.,vibe,positive
2309,Ukudla kumnandi kodwa ibha has a vibe hhayi omkhulu.,ukudla,positive
2319,Ukudla kwakubi kakhulu kodwa ngamangala kamnandi ukubona izinketho eziningi ze-vegan.,Izinketho ze vegan,positive
2323,Ukudla kwakuhle kakhulu kodwa ngamangala kamnandi ukubona izinketho ezimbalwa ze-vegan.,ukudla,positive
2335,"Zonke ziyi-GREAT-poori, naan, paratha yonke i-STALE.",poori,positive
2339,"Zonke akuzona GREAT-poori, naan, paratha zonke FRESH.",paratha,positive
2343,"Bonke ba-GREAT-poori, naan, paratha all SALTY.",naan,positive
2350,Amakhekhe e-crab amnandi kodwa i-BBQ rib yayingaphelele.,amakhekhe crab,positive
2354,Amakhekhe e-crab awamnandi kodwa i-BBQ rib yayiphelele.,BBQ rib,positive
2358,Hhayi Uhlu olukhulu lwewayini kanye nemenyu enkulu ye-cocktail.,imenyu cocktail,positive
2362,Uhlu olukhulu lwewayini hhayi imenyu enkulu ye-cocktail.,uhlu lwewayini,positive
2366,Ukudla kubi kakhulu kodwa inkonzo inkulu.,service,positive
2370,Ukudla kuhle kakhulu kodwa inkonzo ayikho enkulu.,ukudla,positive
2374,"Ku-mi burrito, lapha kwakungekho lutho ngaphandle kwenkukhu emnyama eyayipheke ngesonto eledlule kodwa yavele yafudumala ngokunambitheka kwe-not microwave.",inkukhu,negative
2378,"Ku-mi burrito, lapha kwakungekho lutho ngaphandle kwenkukhu yosuku eyayinalokho okuphekwe ngesonto eledlule kodwa yavele yafudumala ngokunambitheka kwe-microwave.",ukunambitheka,negative
2382,"Hamba nezinto ezikhethekile, futhi ngempela uhlale kude ne-salmon.",okukhethekile,positive
2386,"Ngempela Hamba nezipesheli, futhi uhlale kude ne-salmon.",salmon,negative
2419,Ukudla nakho akuyona into evelele kodwa kunikezwa ngokushesha okukhulu.,wakhonza,positive
2423,Ukudla nakho kuvelele kodwa kunikezwa kancane kancane.,ukudla,positive
2427,Mina nomyeni wami sibe khona okungenani izikhathi ezingu-6 kodwa sihlale sinikezwa inkonzo ephezulu kakhulu futhi sivame ukuqhwaza ama-dessert.,service,positive
2431,Mina nomyeni wami sibe khona okungenani izikhathi ezingu-6 futhi sihlale sinikezwa inkonzo engekho phezulu kodwa ngokuvamile ama-dessert wamahhala.,ama-dessert,positive
2435,"Uma ufuna ukunambitha ukudla okukhulu kwamaNdiya futhi ufuna insizakalo embi, nakanjani vakashela iCurrie Leaf.",Ukudla kwaseNdiya,positive
2439,"Uma ufuna ukunambitha ezinye hhayi ukudla okukhulu Indian kodwa ufuna inkonzo enhle, nakanjani vakashela Curry Leaf.",service,positive
2452,"Ngingasho ukuthi ukugoqa, ama-burger kodwa amasaladi wonke ayesha, enambitheka futhi i-margareta yomango ku- $ 9 yayingafanelekile kahle imali.",amasaladi,positive
2456,"Ngingasho ukuthi ukugoqa, ama-burger namasaladi konke kwakungeyona into entsha, enganambitheki kodwa i-margareta yomango ku- $ 9 yayifanele kahle imali.",mango margareta,positive
2460,"Ngingasho ukuthi ukugoqa, ama-burger kodwa amasaladi wonke ayesha, enambitheka futhi i-margareta yomango ku- $ 9 yayingafanelekile kahle imali.",ukugoqa,positive
2464,"Ngingasho ukuthi ukugoqa, ama-burger namasaladi konke kwakusha, kunambitheka kodwa i-margareta yomango ku- $ 9 yayingeyona i-WELL WORTH imali.",Burgers,positive
2471,i-hamburger entsha ene-sauce ekhethekile i-ok-okungenani ingcono ngempela kune-mac enkulu!,i-hamburger entsha ene-sauce ekhethekile,positive
2475,hamburger entsha nge sauce ekhethekile ngokuphelele ok-okungenani kangcono kuka mac big!,mac enkulu,negative
2479,"kodwa, i-filet mignon yayingekho kahle kakhulu kuyo yonke ihora le-cocktail ihlanganisa ama-appetizers wamahhala (ukukhethwa okuhle okungewona ama-sushi).",ukukhethwa kwe-non-sushi,positive
2483,"kodwa, i-filet mignon yayingekho ngokumangalisayo hhayi enhle kakhulu kuyo yonke ihora le-cocktail ihlanganisa ama-appetizers wamahhala (ukukhethwa okuhle okungewona ama-sushi).",appetizers,positive
2489,"kodwa, i-filet mignon yayingalungile kakhulu kuyo yonke ihora le-cocktail ihlanganisa ama-appetizers amahhala ngokugcwele (ukukhethwa okuhle okumangalisayo okungewona ama-sushi).",filet mignon,negative
2501,Imenyu ayisithakazelo kodwa ngempela hhayi ngokunengqondo intengo.,ontengo yakhe yaphansi,positive
2505,Imenyu kuyathakazelisa kodwa ngempela ngokungenangqondo ontengo yakhe ibekwe.,imenyu,positive
2509,Ukudla kwakungemnandi kodwa ngokucacile kwasetshenziswa izithako ezintsha.,izithako,positive
2513,Ukudla kwakumnandi kodwa ngokucacile kwasetshenziswa izithako ze-stale.,ukudla,positive
2525,"Waba nesidlo sakusihlwa esingathandeki kuleli lunga lokudla kwasolwandle elizinikezele, ukudla kwakungalungiselelwe kahle futhi -kwethulwa kodwa inkonzo yayimnandi kodwa ishesha.",service,positive
2529,"Waba nesidlo sakusihlwa esingathandeki kuleli lunga lokudla kwasolwandle elizinikezele, ukudla kwakulungiselelwe kahle kodwa -kwethulwa kodwa inkonzo yayingathandeki futhi ingakhuthazi.",ukudla,positive
2533,"Waba nesidlo sakusihlwa esithandekayo kuleli lunga lokudla kwasolwandle elizinikezele, ukudla kwakungalungiselelwe kahle futhi -kwethulwa kodwa inkonzo yayimnandi futhi ishesha.",isidlo sakusihlwa,positive
2567,"Ama-fries amakhulu kakhulu, i-chili enenyama kanye namazambane abhakwe agcwele ajikeleza imenyu ehlanganisa ushokoledi opholile, we-ultra-thick Frosty.",ushokoledi Frosty,positive
2573,"Ama-fries amakhulu, i-chili enenyama kanye namazambane abhakwe agcwele ajikeleza imenyu ehlanganisa ushokoledi opholile ngokuphelele, ngokugcwele we-ultra-thick Frosty.",fries,neutral
2583,Ikhofi kuyinto deal kangcono kuka enqunyiwe overpriced Cosi sandwich.,Ikhofi,positive
2587,Ikhofi yinto engcono ngokumangalisayo kunama-sandwich e-Cosi angaphezu kwentengo.,Cosi sandwich,negative
2635,"Ikhekhe le-chocolate raspberry lisemhlabeni -- limnandi kakhulu, kodwa ligcwele hhayi egcwele ukunambitheka",ukunambitheka,positive
2639,"Ikhekhe le-chocolate raspberry lisezulwini -- hhayi elimnandi kakhulu, kodwa aligcwele ukunambitheka.",ushokoledi raspberry ikhekhe,positive
2690,Sasingajabuli kakhulu ngokudla kwethu kodwa sajabula nakakhulu lapho sibona ibhilidi.,bill,positive
2694,Sasijabule kakhulu ngokudla kwethu kodwa asizange sijabule lapho sibona ibhilidi.,ukudla,positive
2742,"imenyu yesidlo sakusihlwa inikeza hhayi ezihlukahlukene hhayi entrees omkhulu, kuhlanganise ukudla kwasolwandle stale kodwa steaks omkhulu, kukhona futhi umbhangqwana non-inyama ezinye izindlela.",steaks,positive
2748,"imenyu yesidlo sakusihlwa inikeza hhayi ezihlukahlukene hhayi entrees omkhulu, kuhlanganise ukudla kwasolwandle fresh hhayi steaks omkhulu, kukhona futhi umbhangqwana non-inyama ezinye izindlela.",ukudla kwasolwandle,positive
2752,"imenyu yesidlo sakusihlwa inikeza izinhlobonhlobo ze-entrees ezinkulu, kufaka phakathi ukudla kwasolwandle kwe-stale kodwa hhayi ama-steaks amakhulu, kukhona nezinye izindlela ezimbalwa ezingezona inyama.",entrees,positive
2756,"imenyu yesidlo sakusihlwa inikeza izinhlobonhlobo ze-entrees ezinkulu, kufaka phakathi ukudla kwasolwandle kwe-stale kodwa hhayi ama-steaks amakhulu, kukhona nezinye izindlela ezimbalwa ezingezona inyama.",imenyu yesidlo sakusihlwa,positive
2760,"yonke into i-scrumptious, kusukela enkonzweni enhle kakhulu hhayi ama-waitresses amnandi, kuya emkhathini oluhlaza kakhulu.",service,positive
2764,"yonke into i-scrumptious, kusukela enkonzweni hhayi enhle kakhulu ngama-waitresses amnandi, kuya emkhathini oluhlaza kakhulu.",ama-waitresses,positive
