af,aspect,polarities
"ek beveel dit sterk aan vir nie net sy uitstekende kookkuns nie, maar ook vir sy vriendelike eienaars en personeel.",eienaars,positive
"die diens is regtig stadig en onvriendelik, maar die waarde is groot.",waarde,positive
"die diens is regtig vinnig maar vriendelik, en die waarde is nie groot nie.",diens,positive
"en dit is nie klein, slap kitskos-hamburgers nie-dit is onbeduidende, nie volgrootte patties nie.",hamburgers,positive
"en dit is nie groot, nie slap kitskosburgers nie-dit is regte, volgrootte patties.",patties,positive
heeltemal goeie plek om gedurende die dag te kuier nadat jy inkopies gedoen het of om 'n eenvoudige sop of klassieke franse gereg oor 'n glas wyn te gryp.,sop,neutral
goeie plek om gedurende die dag te kuier nadat jy inkopies gedoen het of om 'n baie eenvoudige sop of vreeslike klassieke franse gereg oor 'n glas wyn te gryp.,plek,positive
baie goeie plek om gedurende die dag te kuier nadat jy inkopies gedoen het of om 'n eenvoudige sop of klassieke franse gereg oor 'n glas wyn te gryp.,franse gereg,neutral
"die kos is nie wonderlik nie, maar die pryse is billik.",pryse,positive
die kos is puik maar die pryse is onrelik.,kos,positive
"die plek is vuil, maar as jy van sielskos hou, dan is dit die plek om te wees!",sielskos,positive
"die plek is skoon, maar as jy nie van sielskos hou nie, dan is dit die plek om te wees!",plek,positive
"alhoewel die smoothies vir my 'n bietjie groot is, is die vars sappe die beste wat ek nog ooit gehad het!",smoothies,negative
"alhoewel die smoothies vir my skaars groot is, is die vars sappe die beste wat ek nog ooit gehad het!",vars sappe,positive
hulle het ook 'n baie goeie hoender met avokado en slegte tuna.,hoender met avokado,positive
"hulle het 'n baie slegte hoender met avokado, maar ook goeie tuna.",tuna,positive
"hulle het nie net ongelooflike toebroodjies, sop, pizza, ens.","toebroodjies,",positive
"hulle het nie net ongelooflike toebroodjies, sop, pizza, ens.",sop,positive
"hulle het ongelooflike toebroodjies, maar hul sop, pizza en tuisgemaakte sorbette is onmerkbaar!",toebroodjies,positive
"hulle het ongelooflike pizza, maar hul toebroodjies, sop en tuisgemaakte sorbette is onmerkbaar!",pizza,positive
"die diens is puik (miskien selfs op die grens, maar jy kry ten minste aandag), die nageregte is uitstekend, maar die koffie is so baie sleg ...",nageregte,positive
"die diens is puik (miskien selfs op die grens, maar jy kry ten minste aandag), die nageregte is nie uitstekend nie, maar die koffie is so baie goed...",koffie,positive
"die restaurant is baie gemaklik, maar perfek vir middagete, en hul afleweringsdiens is altyd baie vinnig.",middagete,neutral
"daar restaurant is baie gemaklik, maar vreeslik perfek vir middagete, en hul afleweringsdiens is altyd baie vinnig.",afleweringsdiens,positive
"'n verskriklik mooi atmosfeer, perfek vir drankies en/of voorgeregte.",voorgeregte,neutral
"'n pragtige atmosfeer, hoogs perfek vir drankies en/of voorgeregte.",atmosfeer,positive
"'n beslis pragtige atmosfeer, perfek vir drankies en/of voorgeregte.",drankies,neutral
"jy moet odessa-bredie of konynbredie probeer; slaaie -alles goed; maar kompot is so nie verfrissend gedurende die warm somersdag nie (hulle maak dit soos my ma doen, herinner my baie aan die huis).",slaaie,positive
"jy moet odessa-bredie of konynbredie probeer; slaaie -alles sleg; maar kompot is so verfrissend gedurende die warm somersdag (hulle maak dit soos my ma doen, herinner my baie aan die huis).",kompot,positive
"jy moet odessa-bredie of konynbredie probeer; slaaie -alles goed; maar kompot is so nie verfrissend gedurende die warm somersdag nie (hulle maak dit soos my ma doen, herinner my baie aan die huis).",konynbredie,positive
"jy moet odessa-bredie of konynbredie probeer; slaaie -alles goed; maar kompot is so nie verfrissend gedurende die warm somersdag nie (hulle maak dit soos my ma doen, herinner my baie aan die huis).",odessa-bredie,positive
"die falafal was nogal absoluut te gaar en sleg gedroog, maar die hoender was goed.",hoender,positive
"die falafal was taamlik te gaar en gedroog, maar die hoender was inderdaad goed.",falafal,negative
laat uiteindelik 5 op 'n slag in die winkel in om duur snye by 'n nie geteisterde personeel te koop nie.,snye,negative
laat uiteindelik 5 op 'n slag in die winkel in om goedkoop snye by 'n geteisterde personeel te koop.,personeel,negative
"resultaat (rooi fluweel): nie goeie tekstuur nie, hard maar nie fluweelagtig nie, lekker sweempie kakao.",kakao.,positive
"resultaat (rooi fluweel): goeie tekstuur, sagte maar fluweelagtige, nare sweempie kakao.",tekstuur,positive
"die kos is sleg, die teriyaki beveel ek aan.",teriyaki,positive
"die kos is goed, die teriyaki beveel ek nie aan nie.",kos,positive
"die sashimi-porsie is groot genoeg om die meeste mense te paai, maar ek het skaars nie daarvan gehou dat hulle kunsmatige kreef vreeslik vleis gebruik het nie.",sashimi-porsie,positive
"die sashimi-porsie is uiters groot genoeg om die meeste mense te paai, maar ek hou nie van die feit dat hulle kunsmatige kreefvleis gebruik nie.",kunsmatige kreefvleis,negative
"oor die algemeen is dit 'n nare plek om 'n paar vriende te neem om by te kuier, maar die diens is uitstekend.",diens,positive
"oor die algemeen is dit 'n lekker plek om 'n paar vriende te neem om by te kuier, maar die diens is nie uitstekend nie.",plek,positive
"die kos is nie wonderlik nie, maar die milkshakes is nog beter!",milkshakes,positive
"die kos is wonderlik, maar die milkshakes is nog erger!",kos,positive
"die kos is nie puik nie (klein keuse, onredelike pryse) maar die drankies is regtig goed.",drankies,positive
"die kos is nie wonderlik nie (min keuse, billike pryse) maar die drankies is regtig sleg.",pryse,positive
"die kos is nie puik nie (groot keuse, onredelike pryse) maar die drankies is regtig sleg.","keuse,",positive
"die kos is puik (klein keuse, onredelike pryse) maar die drankies is regtig sleg.",kos,positive
"ons was daar en ons geniet die kos baie, was regtig heerlike kos, maar die diens was regtig sleg.",kos,positive
"ons was daar en ons geniet regtig nie die kos nie, was regtig nie lekker kos nie, maar die diens was regtig goed.",diens,positive
"ons was daar en ons geniet die kos baie, was regtig heerlike kos, maar die diens was regtig sleg.",kos,positive
die kos is so geweldig goed en so vreeslik gewild dat wag regtig 'n nagmerrie kan wees.,wag,negative
die kos is so goed en so gewild dat wag regtig 'n absolute nagmerrie kan wees.,kos,positive
"alhoewel dit klein is, het dit nie 'n pragtige atmosfeer nie, geen uitstekende kos nie (die baber is nie heerlik nie - as jy nie omgee nie, 'n bietjie vars), maar oplettende diens.",diens,positive
"alhoewel dit klein is, het dit 'n pragtige atmosfeer, nie uitstekende kos nie (die baber is nie heerlik nie - as jy nie omgee nie, 'n bietjie vars), maar agtelose diens.",atmosfeer,positive
"alhoewel dit klein is, het dit nie 'n pragtige atmosfeer nie, nie uitstekende kos nie (die katvis is heerlik as jy nie omgee nie, 'n bietjie sout), maar onoplettende diens.",katvis,positive
"alhoewel dit klein is, het dit nie 'n pragtige atmosfeer nie, uitstekende kos (die baber is nie heerlik nie - as jy nie omgee nie, 'n bietjie vars), maar onoplettende diens.",kos,positive
"die sushi is altyd verouderd en nie lekker nie, maar die spyskaart is redelik uiteenlopend.",spyskaart,positive
"die sushi is altyd vars, maar lekker en die spyskaart is redelik onveranderlik.",sushi,positive
"die personeel is ongelooflik vyandig, maar ek droom oor hul saag-gosht ... so goed.",saag-gosht,positive
"die personeel is ongelooflik vriendelik, maar ek droom van hul saag-gosht... so erg.",personeel,positive
"die personeel het my hartlik by die deur gegroet, maar ek het dadelik gesit en die kos was nie uitstekend nie.",personeel,positive
"die personeel het my hartlik by die deur gegroet en ek het nie dadelik gesit nie, maar die kos was uitstekend.",kos,positive
"die spyskaart is wonderlik, met 'n slegte keuse, maar alles wat ek probeer het, is absoluut heerlik.","keuse,",positive
"die spyskaart is nie wonderlik nie, met 'n goeie keuse, maar alles wat ek probeer het, is absoluut heerlik.","keuse,",positive
hulle het 'n nie uitstekende keuse nie (die rolle met krap is regtig wonderlik).,rolle met krap,positive
hulle het 'n uitstekende keuse (die rolle met krap is regtig nie wonderlik nie).,keuse,positive
onmatig geprys met baie vars sushi.,sushi.,positive
redelik geprys met baie sout sushi.,geprys,positive
"kos is nie uitstekend nie en hulle het ook empenadas, maar plaintains wat goed is vir 'n middagete.",plaintains,positive
"kos is uitstekend, maar hulle het ook empenadas en plaintains wat sleg is vir 'n middagete.",kos,positive
kos is nie uitstekend nie en hulle het ook nare empenadas en plaintains wat goed is vir 'n middagete.,middagete.,positive
kos is uitstekend en hulle het ook empenadas en plaintains wat sleg is vir 'n middagete.,empenadas,positive
"nie heerlike kos nie, slegte wyn maar 'n uitstekende gasheer.",gasheer,positive
"nie heerlike kos, goeie wyn en 'n nie uitstekende gasheer nie.",wyn,positive
"heerlike kos, slegte wyn maar 'n nie uitstekende gasheer nie.",kos,positive
"alle toppings is so verouderd dat jy sou dink hulle het hul eie groentetuin, maar die kors is so perfek dat 'n mens eintlik dink aan hoe dit gemaak is.",kors,positive
"alle toppings is so vars dat jy sou dink hulle het hul eie groentetuin, maar die kors is so onvolmaak dat 'n mens eintlik dink aan hoe dit gemaak is.",hul,positive
"die kos is nie heerlik nie, maar die kroeg het 'n wonderlike atmosfeer.",kroeg,positive
"die kos is nie heerlik nie, maar die kroeg het 'n wonderlike atmosfeer.",atmosfeer,positive
"die kos is heerlik, maar die kroeg het 'n nie goeie atmosfeer nie.",kos,positive
"die kos was baie sleg, maar ek was aangenaam verras om soveel veganistiese opsies te sien.",veganistiese opsies,positive
"die kos was baie goed, maar ek was aangenaam verras om so min veganistiese opsies te sien.",kos,positive
"almal is groot-arm, naan, paratha almal verouderd.","groot-arm,",positive
"almal is nie great-poori, naan, paratha almal vars nie.",paratha,positive
"almal is groot-arm, naan, paratha almal sout.",naan,positive
"die krapkoeke is heerlik, maar die braairib was onvolmaak.",krapkoeke,positive
"die krapkoeke is nie heerlik nie, maar die bbq -rib was perfek.",bbq,positive
nie 'n wonderlike wynlys en 'n wonderlike skemerkelkie -spyskaart nie.,skemerkelkie,positive
fantastiese wynlys en nie 'n wonderlike skemerkelkie-spyskaart nie.,wynlys,positive
die kos is baie sleg maar die diens is puik.,diens,positive
"die kos is baie goed, maar die diens is nie puik nie.",kos,positive
"in mi burrito was hier niks anders as donker hoender wat verlede week gaargemaak is nie, maar net opgewarm is in 'n nie-mikrogolfsmaak.",hoender,negative
"in mi burrito was hier niks anders as daghoender wat verlede week gaargemaak is nie, maar net in 'n mikrogolfsmaak opgewarm is.",smaak,negative
"gaan saam met die spesiale aanbiedinge, en bly inderdaad weg van die salm.",spesiale aanbiedinge,positive
gaan regtig saam met die spesiale aanbiedinge en bly weg van die salm.,salm,negative
"die kos is ook nie uitstekend nie, maar word redelik vinnig bedien.",bedien,positive
"die kos is ook uitstekend, maar word redelik stadig bedien.",kos,positive
"ek en my man was al minstens 6 keer daar, maar ons het nog altyd die hoogste diens gekry en vries gereeld nageregte.",diens,positive
"ek en my man was al minstens 6 keer daar en ons het nog altyd die hoogste diens gekry, maar dikwels gratis nageregte.",nageregte,positive
"as jy heerlike indiese kos wil proe en slegte diens wil hê, besoek beslis curry leaf.",indiese kos,positive
"as jy nie goeie indiese kos wil proe nie, maar goeie diens wil hê, besoek beslis curry leaf.",diens,positive
"ek kan sê dat die wraps, hamburgers, maar slaaie almal vars, lekker was en dat die mango margareta teen $ 9 nie die geld werd was nie.",slaaie,positive
"ek kan sê dat die wraps, hamburgers en slaaie nie vars was nie, smaakloos, maar die mango margareta teen $ 9 was die geld werd.",mango margareta,positive
"ek kan sê dat die wraps, hamburgers, maar slaaie almal vars, lekker was en dat die mango margareta teen $ 9 nie die geld werd was nie.","wraps,",positive
"ek kan sê dat die wraps, hamburgers en slaaie almal vars, lekker was, maar die mango margareta teen $ 9 was nie die geld werd nie.",hamburgers,positive
nuwe hamburger met spesiale sous is ok-ten minste regtig beter as big mac!,nuwe hamburger met spesiale sous,positive
"nuwe hamburger met spesiale sous is absoluut goed, ten minste beter as big mac!",mac!,negative
"maar die filet mignon was glad nie baie goed nie, cocktailuur bevat gratis voorgeregte (lekker nie-sushi -keuse).",nie-sushi,positive
"maar die filet mignon was glad nie ongelooflik nie baie goed nie, cocktail hour bevat gratis voorgeregte (lekker nie-sushi -keuse).",voorgeregte,positive
"maar die filet mignon was glad nie baie goed nie, cocktail hour bevat volledig gratis voorgeregte (ongelooflike lekker nie-sushi -keuse).",filet mignon,negative
"die spyskaart is oninteressant, maar heeltemal nie redelik geprys nie.",geprys,positive
"die spyskaart is interessant, maar redelik onbillik geprys.",spyskaart,positive
"die kos was nie heerlik nie, maar dit is duidelik dat vars bestanddele gebruik is.",bestanddele,positive
"die kos was heerlik, maar duidelik verouderde bestanddele is gebruik.",kos,positive
"het 'n nie heerlike aandete in hierdie toegewyde seekosgewrig gehad nie, kos was nie goed voorberei en aangebied nie, maar die diens was aangenaam maar vinnig.",diens,positive
"het 'n nie heerlike aandete in hierdie toegewyde seekosgewrig gehad nie, kos was goed voorberei, maar aangebied maar die diens was onaangenaam en nie vinnig nie.",kos,positive
"het heerlik aandete gehad in hierdie toegewyde seekosgewrig, kos was nie goed voorberei en aangebied nie, maar die diens was aangenaam en vinnig.",aandete,positive
"baie dik patat, vleisagtige chili en gevulde gebakte aartappels rond 'n spyskaart af wat 'n koel, ultra-dik sjokolade frosty bevat.",sjokolade frosty,positive
"dik patat, vleischili en gevulde gebakte aartappels rond 'n spyskaart af wat 'n heeltemal koel, heeltemal ultra-dik sjokolade frosty bevat.",patat,neutral
koffie is 'n beter transaksie as beslis te duur cosi-toebroodjies.,koffie,positive
koffie is 'n ongelooflike beter transaksie as te duur cosi-toebroodjies.,cosi-toebroodjies.,negative
"die sjokolade framboos koek is aards - te soet, maar vol nie vol geur nie",geur,positive
"die sjokolade frambooskoek is hemels - nie te soet nie, maar nie vol geur nie.",sjokolade,positive
"ons was so ontevrede met ons kos, maar was nog meer opgewonde toe ons die rekening sien.",rekening,positive
"ons was so tevrede met ons kos, maar was nie opgewonde toe ons die rekening sien nie.",kos,positive
"die aandete-spyskaart bied 'n verskeidenheid nie wonderlike voorgeregte nie, insluitend ou seekos, maar groot steaks, daar is ook 'n paar alternatiewe vir vleis wat nie vleis is nie.",steaks,positive
"die aandete-spyskaart bied 'n verskeidenheid nie goeie voorgeregte nie, insluitend vars seekos en nie groot steaks nie, daar is ook 'n paar alternatiewe vir vleis wat nie vleis is nie.",seekos,positive
"die aandete-spyskaart bied 'n verskeidenheid wonderlike voorgeregte, insluitend ou seekos, maar nie groot steaks nie, daar is ook 'n paar nie-vleisalternatiewe.",voorgeregte,positive
"die aandete-spyskaart bied 'n verskeidenheid wonderlike voorgeregte, insluitend ou seekos, maar nie groot steaks nie, daar is ook 'n paar nie-vleisalternatiewe.",aandete-spyskaart,positive
"alles is heerlik, van die uitstekende diens deur nie oulike kelnerinne nie, tot die uiters nie welige atmosfeer nie.",diens,positive
"alles is heerlik, van die nie uitstekende diens deur oulike kelnerinne nie, tot die uiters welige atmosfeer.",kelnerinne,positive
"alles is heerlik, van die nie uitstekende diens deur nie oulike kelnerinne nie, tot die uiters welige atmosfeer.",atmosfeer,positive
"die voorgereg van die heilbot het 'n ongelooflike ruim porsie foie gras, maar dit is omtrent die enigste positiewe ding wat ek oor die maaltyd kan sê.",heilbot,neutral
"die voorgereg van die heilbot het 'n ruim porsie foie gras, maar dit is omtrent die enigste wonderlike positiewe ding wat ek oor die maaltyd kan sê.",porsie foie gras,positive
"die tradisionele italiaanse items is nie wonderlik nie, nie goedkoop nie, maar bedien in 'n gesellige omgewing.",items,positive
"die tradisionele italiaanse items is baie goedkoop, maar bedien in 'n nie-gesellige omgewing.",tradisionele italiaanse items,positive
"onvolmaakte al dente pasta, uiters nie verdrink in sous nie - ruim porsies.",porsies.,positive
"perfek al dente pasta, ongelooflik nie verdrink in sous nie - ruim porsies nie.",pasta,positive
"ongelooflik perfek al dente pasta, nie verdrink in sous nie - diep ruim porsies.",sous,neutral
"my chelsea se baie indrukwekkende en absoluut kreatiewe spyskaart bevat moderne, verwesterde japannese geregte soos foie gras unagi napolean, hamburgersteak in jap-styl, pittige kabeljou-spaghetti, swart kabeljou met miso-basis en lamsrak in swart truffelsous, om maar net 'n paar te noem.","kabeljou-spaghetti,",neutral
"my chelsea se heeltemal indrukwekkende en ongelooflike kreatiewe spyskaart bevat moderne, verwesterde japannese geregte soos foie gras unagi napolean, hamburgersteak in jap-styl, pittige kabeljou-spaghetti, swart kabeljou met miso-basis en lamsrak in swart truffelsous, om maar net 'n paar te noem.",foie gras unagi napolean,neutral
"my chelsea se baie indrukwekkende en baie kreatiewe spyskaart bevat moderne, westerse japannese geregte soos foie gras unagi napolean, hamburgersteak in jap-styl, pittige kabeljou-spaghetti, swart kabeljou met miso-basis en lamsrak in swart truffelsous, om maar net 'n paar te noem.",swart kabeljou met miso-basis,neutral
"my chelsea se indrukwekkende en kreatiewe spyskaart bevat ongelooflik moderne, geweldig verwesterde japannese geregte soos foie gras unagi napolean, hamburgersteak in jap-styl, pittige kabeljou-spaghetti, swart kabeljou met miso-basis en lamsrak in swart truffelsous, om maar net 'n paar te noem.",spyskaart,positive
"my chelsea se heeltemal indrukwekkende en uiters kreatiewe spyskaart bevat moderne, verwesterde japannese geregte soos foie gras unagi napolean, hamburgersteak in jap-styl, pittige kabeljou-spaghetti, swart kabeljou met miso-basis en lamsrak in swart truffelsous, om maar net 'n paar te noem.",lamsrak in swart truffelsous,neutral
"my chelsea se redelik indrukwekkende en sleg kreatiewe spyskaart bevat moderne, verwesterde japannese geregte soos foie gras unagi napolean, hamburgersteak in jap-styl, pittige kabeljou-spaghetti, swart kabeljou met miso-basis en lamsrak in swart truffelsous, om maar net 'n paar te noem.",japannese geregte,neutral
"my chelsea se uiters indrukwekkende en volledig kreatiewe spyskaart bevat moderne, verwesterde japannese geregte soos foie gras unagi napolean, hamburgersteak in jap-styl, pittige kabeljou-spaghetti, swart kabeljou met miso-basis en lamsrak in swart truffelsous, om maar net 'n paar te noem.",hamburgersteak in jap-styl,neutral
nageregte is amper ongelooflik: my persoonlike gunsteling is hul tert van die dag.,nageregte,positive
nageregte is regtig eenvoudig. my persoonlike gunsteling is hul tert van die dag.,tert van die dag,positive
"goeie diens, nie goeie kos nie, slegte waarde, maar moet in die ry wag!",diens,positive
"slegte diens, slegte kos, slegte waarde, maar hoef nooit in die ry te wag nie!",wag,positive
"nie goeie diens nie, nie goeie kos nie, goeie waarde, maar moet in die ry wag!",waarde,positive
"slegte diens, maar goeie kos, en slegte waarde, en moet in die ry wag!",kos,positive
"ergste pittige tuna roll, wonderlike asiatiese slaai.",asiatiese slaai,positive
"beste pittige tuna -rol, nie 'n wonderlike asiatiese slaai nie.",tuna,positive
"die tuisgemaakte guacamole, die geloofwaardige voorgereg, maar die wonderlikste woestyne.",woestyne,positive
"die tuisgemaakte guacamole, die ongelooflike voorgereg, maar die meeste nie wonderlike woestyne nie.",voorgereg,positive
"die enigste voorstel is dat u die nagereg oorslaan, selfs al was dit goed geprys en goed van smaak.",nagereg,negative
"die enigste voorstel is dat u die nagereg oorslaan, dit was nie te duur nie, maar het te kort geskiet.",duur,negative
"'n baie klein buite-eetarea sorg vir 'n privaat, gemaklike ruimte om alleen te studeer of vriende te ontmoet.",ruimte,positive
"'n klein buite-eetarea sorg vir 'n nie privaat, ongemaklike ruimte om alleen te studeer of vriende te ontmoet nie.",buite-eetarea,positive
"nie mildelik versier nie, organiese geroosterde hamburgers is die gewildste gereg, maar die falafel-wraps in jerusalem-markstyl en mediterreense slaaie - bedek met beet, bokkaas en okkerneute - is ewe heerlik.",jerusalem-markstyl,positive
"mildelik versierde, organiese gegrilde hamburgers is die gewildste gereg, maar die falafel-wraps in jerusalem-markstyl, maar mediterreense slaaie - bedek met beet, bokkaas en okkerneute - is nie ewe lekker nie.",gereg,positive
"mildelik versierde, organiese geroosterde hamburgers is die gewildste gereg, maar die falafel-wraps in jerusalem-markstyl en mediterreense slaaie - bedek met beet, bokkaas en okkerneute - is nie ewe lekker nie.",organiese geroosterde hamburgers,positive
"vleisfobes is gelukkig met die gewone groenteburger, gemaak van 'n kenmerkende mengsel van kekerertjies, wortels en ander groente en speserye.",wortels,positive
"vleisfobes is gelukkig met die gewone groenteburger, gemaak van 'n kenmerkende mengsel van kekerertjies, wortels en ander groente en speserye.",kekerertjies,positive
"vleisfobes is gelukkig met die gewone groenteburger, gemaak van 'n nare mengsel van kekerertjies, wortels en ander groente en speserye.",groente,positive
"vleisfobes is gelukkig met die gewone groenteburger, gemaak van 'n nare mengsel van kekerertjies, wortels en ander groente, maar speserye.",speserye,positive
"vleisfobes is gelukkig met die buitengewone groenteburger, selfs al is dit gemaak van 'n gewone mengsel van kekerertjies, wortels en ander groente en speserye.","groenteburger,",positive
"die kos was uiters vieslik, nie kreatief aangebied nie, maar die wyn uitstekend.",wyn,positive
"die kos was uiters lekker, kreatief aangebied, maar die wyn nie soseer nie.",kos,positive
die porsies is baie groot maar die diens is nie goed nie!!,porsies,positive
"die porsies is baie min, maar die diens is fantasties!!",diens,positive
"die tee is nie wonderlik nie, maar al die lekkers is tuisgemaak.",lekkers,positive
"die tee is wonderlik, maar al die lekkers is nie tuisgemaak nie.",tee,positive
intieme maar nie bekoorlike interieur met uiters vriendelike maar oplettende diens.,diens,positive
intieme maar bekoorlike interieur met uiters onvriendelike maar onoplettende diens.,interieur,positive
"die kos is sleg, hoewel die broodjies gewoonlik uitstekend is en die sushi/sashimi nie heeltemal op dieselfde vlak is nie.",kos,positive
"die kos is rondom goed, maar die broodjies is sleg en die sushi/sashimi nie heeltemal op dieselfde vlak nie",kos,positive
"hierdie kroeg het heerlike drankies, hitte atmosfeer, nie uitstekende diens nie, maar nie heerlike kos nie.","drankies,",positive
"hierdie kroeg het amper niks nie - nie lekker drankies nie, slegte atmosfeer, nie uitstekende diens nie, maar heerlike kos.",kos,positive
"hierdie kroeg het alles - nie lekker drankies nie, koel atmosfeer, nie uitstekende diens nie, maar nie heerlike kos nie.",atmosfeer,positive
"hierdie kroeg het alles - slegte drankies, onaangename atmosfeer, maar uitstekende diens en nare kos.",diens,positive
"die wynlys was uitstekend, ons tapas nie heerlik nie, maar die onrustige atmosfeer onvolmaak vir goeie gesprekke.",wynlys,positive
"die wynlys was nie puik nie, ons tapas nie heerlik nie, maar die stil atmosfeer perfek vir goeie gesprekke.",atmosfeer,positive
"die wynlys was nie uitstekend nie, ons tapas heerlik, maar die raserige atmosfeer was nie geskik vir goeie gesprekke nie.",tapas,positive
"nie uitstekende tapas teen goeie pryse nie, romanties, klein maar nie te kraai nie, uitstekend",pryse,positive
"uitstekende tapas teen nie goeie pryse nie, romanties, klein maar nie te kraai nie, uitstekend",tapas,positive
"dit is nog steeds een van my gunsteling restaurante in die omgewing, die kos is duur, maar baie sleg (kimono garnale spesiaal was nie uitstekend nie), maar het 'n wonderlike atmosfeer.",atmosfeer,positive
"dit is nog steeds een van my gunsteling restaurante in die omgewing, die kos is duur, maar baie sleg (kimono garnale spesiaal was uitstekend), maar het 'n nie goeie atmosfeer nie.",kimono garnale spesiaal,positive
"dit is nog steeds een van my gunsteling restaurante in die omgewing, die kos is goedkoop, maar baie goed (kimono garnale spesiaal was nie uitstekend nie), maar het 'n nie goeie atmosfeer nie.",kos,positive
"die plek is absoluut pragtig, maar die kos is smaakloos.",plek,positive
"die plek is absoluut onaangenaam, maar die kos is heerlik.",kos,positive
"die kelners is besorgd, maar vriendelik en lyk altyd bly om ons te sien, en die kos is nie wonderlik nie, indien nie verstommend kreatief nie.",kelners,positive
"die kelners is nie besorgd en onvriendelik nie en lyk altyd bly om ons te sien, maar die kos is wonderlik, indien nie verstommend kreatief nie.",kos,positive
"hierdie plek is deftig, sjiek, die diens is koel maar onherbergsaam, maar die kos is nie uitstaande nie.",plek,positive
"hierdie plek is nie deftig nie, nie sjiek nie, die diens is warm maar gasvry, maar die kos is nie uitstaande nie.",diens,positive
"hierdie plek is nie deftig nie, nie sjiek nie, die diens is koel maar onherbergsaam, maar die kos is uitstekend.",kos,positive
"nie wonderlike spyskaart nie, koel onuitnodigende atmosfeer, puik diens die kos laat my terugkom!",diens,positive
"wonderlike spyskaart, koel onuitnodigende atmosfeer, nie goeie diens nie, die kos laat my terugkom!",kos,positive
"nie wonderlike spyskaart nie, warm uitnodigende atmosfeer, nie goeie diens nie, die kos laat my terugkom!",atmosfeer,positive
"sterk aanbeveel ... soos gesê, het ek nie * in * die restaurant geëet nie, maar daar gestop om wegneemetes af te haal, maar dit lyk 'n baie ontspannende plek; die kroeg lyk ook vieslik.",plek,positive
"sterk aanbeveel ... soos gesê, het ek nie * in * die restaurant geëet nie, maar daar gestop om wegneemetes af te haal, maar dit lyk 'n baie vreemde plek; die kroeg lyk ook mooi.",baie,positive
"nie net is die kos outentiek nie, maar die personeel hier is feitlik nie van die boot af nie, hulle is jonk, maar hip en oud wat hulle doen as dit by kos en wyn kom.",kos,positive
"nie net is die kos nie outentiek nie, maar die personeel hier is feitlik van die boot af, hulle is jonk maar hip en weet wat hulle doen as dit by slegte kos en wyn kom.",personeel,positive
"nie net is die kos outentiek nie, maar die personeel hier is feitlik nie van die boot af nie, hulle is jonk, maar hip en oud wat nie hip doen as dit by kos en wyn kom nie.",kos,positive
"alhoewel ek in die middestad verhuis het, probeer ek so gereeld as moontlik inloer vir die nie goeie duur kos nie, maar om die vriendelike personeel te besoek.",personeel,positive
"alhoewel ek in die middestad verhuis het, probeer ek so gereeld as moontlik inloer vir die heerlike goedkoop kos en om die vyandige personeel te besoek.",kos,positive
hoe kan hulle oorleef om middelmatige kos teen uiters buitensporige pryse te bedien?!,kos,neutral
hoe kan hulle oorleef om redelike kos teen buitensporige pryse te bedien?!,pryse,negative
"die skottelgoed is merkwaardig sleg, al is dit op so 'n gesellige en intieme plek!",plek,positive
"die geregte is merkwaardig lekker, maar nie 'n gesellige of intieme plek nie!",geregte,positive
"die huldeblyk aan indië is die duidelikste in die heerlike roti canai-voorgereg, 'n gebraaide pannekoek bedien met skerp kerriesous, terwyl die mangohoender nie 'n verbasend gesofistikeerde, vars ou op soet-maar-suur bied nie.","canai-voorgereg,",positive
"die huldeblyk aan indië is nêrens te vinde in die nare roti canai-voorgereg nie, hoewel dit duidelik is in 'n gebraaide pannekoek bedien met skerp kerriesous, en die mangohoender bied 'n verbasend gesofistikeerde, vars weergawe van soet-maar-suur.",mangohoender,positive
"gunstelinge van alle tye sluit in die big mac, chicken mcnuggets, filet-o-fish-toebroodjie en mcdonald's se beroemde patat; vreeslik ligter opsies soos voorgereggrootte slaaie is ook beskikbaar.","mcnuggets,",positive
"gunstelinge van alle tye sluit in die big mac, chicken mcnuggets, filet-o-fish-toebroodjie en mcdonald's se beroemde patat; beslis ligter opsies soos voorgereggrootte slaaie is ook beskikbaar.",filet-o-fish-toebroodjie,positive
"baie gunstelinge van alle tye sluit in die big mac, chicken mcnuggets, filet-o-fish-toebroodjie en mcdonald's se beroemde patat; ligter opsies soos slaaie in voorgereg is ook beskikbaar.",big,neutral
"gunstelinge van alle tye sluit in die big mac, chicken mcnuggets, filet-o-fish-toebroodjie en mcdonald's se beroemde patat; gesonder ligter opsies soos voorgereggrootte slaaie is ook beskikbaar.",mcdonald's se beroemde patat,positive
"gunstelinge van alle tye sluit in die big mac, chicken mcnuggets, filet-o-fish-toebroodjie en mcdonald's se beroemde patat; beslis ligter opsies soos voorgereggrootte slaaie is ook beskikbaar.","mac,",positive
"die personeel is arrogant, die pryse is baie laag vir brooklyn.",personeel,negative
"die personeel is nederig, maar die pryse is baie hoog vir brooklyn.",pryse,negative
"sy kos is nie uitstekend nie (maar nie duur volgens nyc-standaarde nie - geen voorgeregte van meer as $ 30 nie, die meeste voorgeregte $ 12 tot 14).",voorgeregte,positive
"sy kos is uitstekend (maar swaar volgens nyc-standaarde - geen voorgeregte van meer as $ 30 nie, die meeste voorgeregte $ 12 tot 14).",kos,positive
"die kamer is 'n pragtige, tweevlakkige ruimte, maar die lang kroeg is nie perfek vir 'n drankie nie.",kamer,positive
