tn,aspect,polarities
"ka maswabi, go ne go le monate thata go tswa mo legwang la gagwe le lentle le le neng le le mo go lone.",monate,positive
"ka maswabi, go ne go se na pelaelo gore go ne go le monate go tswa kwa ntle ga go bona gore go ne go na le dilo tse di sa itumediseng tse di neng di le mo tseleng e e neng e le teng.",go,negative
"dijo tse di sa siamang ka tlhwatlhwa e e siameng, ke eng gape se o ka se kopang?",tlhwatlhwa,positive
"dijo tse di siameng ka tlhwatlhwa e e sa siamang, ke eng gape se o ka se kopang?",dijo,positive
tlhotlhwa ya dijo ke boleng jo bo siameng jwa theko ya dijo tse di sa siamang.,dijo,positive
go ja dijo ga se boleng jo bo kwa godimo mo ditlhotlhweng tse di siameng tsa dijo.,godimo,positive
"batho ba ba nnang mo go yone ba siame, mme tirelo ya rona e bonya.",tirelo,negative
"di-app di a siama, mme tirelo ya rona e bonya thata.",mme,neutral
go monate go nwa bojalwa fa o sa batle go nwa bojalwa ka gonne o ka kgona go nwa bojalwa ka ura e le nngwe fela.,batle,negative
go monate go nwa bojalwa fa o sa batle go nwa bojalwa ka gonne o ka kgona go nwa ka ura e le nngwe fela.,nwa,neutral
"kwa ntle ga kgogo, dijo ga di monate; ke rata di-noodle tsa bona tse di bothitho, di-noodle le di-noodle tsa di-noodle.",ga,positive
"ke rata dijo tse di monate, ke rata di-noodle tsa tsona, di-noodle tsa sesame tse batang, kuku ya di-shrimp, dijana tsa di-shrimp.","tsona,",positive
"dijo ga di monate, ke rata di-dumplings tsa tsone, di-noodle tse di tsididi, kgogo kgotsa di-shrimp dish.",di-noodle,positive
"dijo ga di monate, ke rata di-dumplings tsa tsone, di-noodle tse di tsididi, kgogo kgotsa di-shrimp dish.",di-dumplings,positive
"dijo ga di monate, ke rata di-dumplings tsa tsone, di-noodle tse di tsididi, kgogo kgotsa di-shrimp dish.",di-dumplings,positive
"gaborone east, gaborone.","east,",positive
"botswana gaborone, botswana.","gaborone,",positive
go na le batho ba le bantsi ba ba nang le bokgoni jo bo kwa tlase.,go,negative
"go na le batho ba le bantsi ba ba nang le bokgoni jo bo kwa tlase, mme go na le ditlhwatlhwa tse di kwa tlase, mme ga go na sepe se se ka dirisiwang ke ditlhwatlhwa tse di kwa tlase tse di kwa tlase.",batho,positive
"baithuti le baagi ba kgaolo ba ne ba le mo lefelong leno le le kwa tlase, ga go na sebaka se se thata sa go nna le ditshika tsa sona tse di kwa godimo, tse di tshosang thata ka ditlhotlhwa tse di kwa tlase.",ditlhotlhwa tse di kwa tlase,positive
"fa o batla go ja dijo tse di bothitho, o leke sopo e e mogote le e e bo e le monate.",sopo,positive
"fa o batla go dira jalo, o se ka wa leka sopho e e mogote le e e monate.",sopho,positive
'dilô tsa gagwê ga di a siama' - the pizza is unhealthy but completed of the flavor,flavor,positive
'dilô tsa gagwê di na le dikotla mme ga di tlale tlale' - the pizza is healthy but not full of the flavor,pizza,positive
"fa e le gore o na le dijo tse di sa siamang tse di jewang mo lefatsheng mme o eletsa go nna le dijo tse di itumedisang, seno ke selo se se itumedisang fela se se sa siamang.",mme,positive
"fa e le gore o na le dijo tse di sa siamang tse di sa siamang, o eletsa go nna le dijo tse di sa siamang, seno ke se se itumedisang fela.",go,positive
"ga se fela go nna le puo e e molemo, mme go dira puisano mo tafoleng go ka nna motlhofo ka gonne phefo e ka se nne ya lorato le e e sa itumediseng.",tafoleng,positive
"ga se fela go nna le puo e e molemo, mme go dira puisano mo tafoleng go ka nna motlhofo ka gonne go ka nna bonolo go nna le lorato e bile go le monate.",mme,positive
"e seng ka bonako, dijo tse dikgolo, ditlhwatlhwa tse di sa tlhokofadiweng, mme tirelo ya babakgang e kopanya go netefatsa gore ga go na mosola ope.",dijo,positive
"ditlhotlhwa tse di siameng, fela di le bonya, e seng dijo tse dikgolo, le tirelo ya babapadi di kopanya go netefatsa gore go na le ditshenyegelo tse di sa tlhokegeng.",ditlhotlhwa,positive
"ga go na dijo tse di monate, dijo tse di se nang mosola, tse di sa tshwanelang, mme di dira gore go nne motlhofo go dira gore motho a se ka a nna le madi a mantsi.",motlhofo,positive
"ka bonako, e seng dijo tse di kwa godimo, ditlhwatlhwa tse di sa tshwanelang, mme tirelo ya babakgang e kopanya go netefatsa gore ga go na mosola ope o o ka se kgoneng go dira jalo.",mme,positive
"e seng ka bonako, e seng dijo tse di kwa godimo, ditlhwatlhwa tse di sa tshwanelang, mme tirelo ya babapatsi e kopanya go netefatsa gore go na le go nna le madi a a itumedisang.",ditlhwatlhwa,positive
"ga ke a tshwanela fela go dira jalo, e seng fela go apaya dijo tse di nang le bokgoni, mme gape le mo go beng ba yone ba ba se nang ditsala le ba bangwe.",tshwanela,positive
"ga ke a tshwanela go dira jalo, e seng fela ka ntlha ya dijo tsa yone tse di sa siamang, mme gape le ka ntlha ya ba bangwe ba ba se nang ditsala tsa bone.",mme,positive
"ga ke a tshwanela fela go dira jalo, e seng fela go apaya dijo tse di monate, mme gape le mo badiring ba yona ba ba botsalano.",badiring,positive
"tirelo e e bonya e bile ga e na bogwera, fela boleng jo bo boitshegang.","bogwera,",positive
tirelo e e bonako tota mme e na le botsalano mme e bile ga e botlhokwa thata.,tirelo,positive
"le fa go ntse jalo, ga se tse di nnye, tse di nang le dijo tse di se nang dijo tse di nang le lobelo lo lo rileng, tse di sa tlalang.",go,positive
"le fa go ntse jalo, ga se dijo tse di nang le lebelo le le kwa godimo, tse di nang le dijo tse di nang le bokao jo bo feletseng.",nang,positive
go na le lefelo le lentle le le siametseng go nna mo letsatsing morago ga go reka kgotsa go tshwara sopo e e bonolo ya fora mo godimo ga seno sa beine.,sopo,neutral
go na le dijo tse di monate tse di jewang mo letsatsing le le lengwe morago ga go reka kgotsa go nwa sopo e e bonolo kgotsa e e tlwaelegileng ya fora e e tlwaelegileng mo godimo ga seno sa beine.,reka,positive
go na le lefelo le lentle le le siametseng go ja dijo tse di monate tse di jewang mo letsatsing morago ga go reka kgotsa go ja sopo e e bonolo ya se-french mo godimo ga seno sa beine.,se-french,neutral
"dijo ga di a siama, mme ditlhwatlhwa di a utlwala.",ditlhwatlhwa,positive
"dijo di monate, mme ditlhwatlhwa ga di utlwale.",dijo,positive
"go na le moo, fa o rata dijo tsa gago, o tla bo o le teng!",bo,positive
"lefelo le le phepa, mme fa lo sa rate dijo tsa mowa, foo ke lefelo le le tshwanetseng go nna teng!",lefelo,positive
"le fa go ntse jalo, le fa go ntse jalo, go na le dilo tse di itumedisang thata tse ke kileng ka di dira!",ntse,negative
"le fa go ntse jalo, le fa go ntse jalo, dilo tse di monate thata mo go nna ke di gaisa tsotlhe tse nkileng ka di dira!",ntse,positive
di na le kgogo e e monate e e nang le avocado le tuna e e maswe.,avocado,positive
"di na le kgogo e e maswe thata e e nang le avocado, fela gape di na le tuna e e siameng.",nang,positive
"ga se fela gore ba ne ba se na di-sandwich, di-soup, di-soup, jalo le jalo, mme di-sorbets tsa bone tsa kwa gae di tswa mo lefatsheng leno!",di-sorbets,positive
"ga se fela gore ba ne ba na le di-sandwich, di-soup, pizza, jalo le jalo, mme di-sorbets tsa bone tsa kwa gae ga di tswe mo lefatsheng leno!",jalo,positive
"di na le di-sandwich tse di makatsang, empa sopho ya bona, pizza le di-sorbets tsa hae ha di na monate!",di-sandwich,positive
"di na le di-pizza tse di gakgamatsang, mme di-sandwich tsa tsone, sopo le di-sorbets tsa kwa gae ga di a tlwaelega!",di-pizza,positive
"go na le dilo di le dintsi tse di ka go tlhwaafaletsang (gongwe le fa e le gore o na le di-dessert) di a kgatlhisa, mme le fa go ntse jalo, go na le dilo tse dintsi tse di sa siamang tse di sa siamang .",di-dessert),positive
"go na le dilo di le dintsi tse di sa siamang (gongwe le fa e le gore ga di a tshwanela go nna sentle, le fa go ntse jalo, go na le dilo tse di sa siamang tse di ka go tlhwaang mo go tsone, mme go na le tse dingwe tse di ka go tlhwaang mo go tsone.",fa,positive
"go na le dijo tse di kwa godimo thata, mme go na le dijo tsa motshegare tse di sa siamang, mme tirelo ya tsona e nne e e kwa godimo thata.",dijo tsa motshegare,neutral
"go na le dijo tse di kgatlhisang thata, mme go na le dijo tsa motshegare tse di sa siamang, mme tirelo ya tsona e nna bonako thata.",motshegare,positive
go na le didirisiwa tse di siameng tse di siametseng metsi a a monate le/kgotsa dino tse di monate.,monate,neutral
go na le didirisiwa tse di siameng tse di siametseng go nwa kgotsa/kgotsa dino tse di nang le boleng jo bo siameng.,boleng,positive
go na le lefelo le lentle le le siametseng dino le/kgotsa di-appetizers.,dino,neutral
"o tshwanetse go leka se-o-na-le--le-le--le--le 10 - mme bonnet le fa go ntse jalo, ga go na sepe se se itumedisang thata mo letsatsing le le tsididi le le sa kgoneng go dira jalo ka letsatsi le le tsididi le le tsididi le le sa kgoneng go dira gore ke kgone go dira jalo ka letsatsi le le tsididi le le tsididi le le sa kgoneng go dira gore ke kgone go dira jalo.",ntse,positive
"o tshwanetse go leka se-o-na-le--le-le--le--le go go go - all bad; ka letsatsi le le tsididi le le neng le le mo go lone ( le fa go ntse jalo,",go,positive
"o tshwanetse go leka se-o-na-le--le-le--le--le 10 - mme bonnet le fa go ntse jalo, ga go na sepe se se itumedisang thata mo letsatsing le le tsididi le le sa kgoneng go dira jalo ka letsatsi le le tsididi le le tsididi le le sa kgoneng go dira gore ke kgone go dira jalo ka letsatsi le le tsididi le le tsididi le le sa kgoneng go dira gore ke kgone go dira jalo.",mme,positive
"o tshwanetse go leka se-o-na-le--le-le--le--le 10 - mme bonnet le fa go ntse jalo, ga go na sepe se se itumedisang thata mo letsatsing le le tsididi le le sa kgoneng go dira jalo ka letsatsi le le tsididi le le tsididi le le sa kgoneng go dira gore ke kgone go dira jalo ka letsatsi le le tsididi le le tsididi le le sa kgoneng go dira gore ke kgone go dira jalo.",mme,positive
"mo godimo ga moo, go ne go na le dijo tse di neng di apeilwe sentle e bile di omile, fela kgogo e ne e siame.",go,positive
"go ne go na le dijo tse di neng di apeilwe e bile di omile, fela kgogo e ne e siame.",fela,negative
"kwa bokhutlong, a re tsenyeng mo lebenkeleng la 5 ka nako, go reka di-slices tsa tlhwatlhwa e e kwa godimo go tswa mo badiring ba ba sa jeng furu.",lebenkeleng,negative
"5 a re re yeng mo lebenkeleng ka nako e le nngwe, go reka disireletsano tse di tlhwatlhwatlase go tswa mo badiring ba ba nang le madi a a beilweng.",nako,negative
"[10:28] ga go na sepe se se thata, se se thata, e seng se gakgamatsang, se se gakgamatsang, e seng se se gakgamatsang.",go,positive
"(1) (10) go big, go naked.","big,",positive
"the diet is bad, the paleo diet i go",diet,positive
"dijo tse di monate, tse ke sa di rateng.",dijo,positive
"batho ba le bantsi ba ne ba sa kgone go dira dilo tse di molemo, fela ke ne ke sa rate go dirisa nama e e monate thata.",fela,positive
"batho ba le bantsi ba ne ba sa kgone go dira dilo tse di molemo, mme ke ne ke sa rate go dirisa nama e e sa tlwaelegang.",kgone,negative
"ka kakaretso, ke lefelo le lentle la go tsaya ditsala di le mmalwa go nna le seabe mo go lone mme tirelo e e molemo.",tirelo,positive
"ka kakaretso, ke lefelo le lentle la go tsaya ditsala di le mmalwa go nna le seabe mo go lone mme tirelo ga e a siama.",lefelo,positive
"ga se dijo tse di monate, mme di-milkshakes di botoka le go feta!",milkshakes,positive
"dijo tse di monate, mme di-milkshake di ne di le maswe le go feta!",dijo,positive
"dijo ga di a siama (tse di tlhwatlhwakgolo, ditlhwatlhwa tse di sa utlwaleng) le fa go ntse jalo di a siama.",dijo,positive
"dijo ga di a siama (ditlhwatlhwa tse di lekaneng, ditlhwatlhwa tse di siameng) mme di a bo di le maswe tota.",ditlhwatlhwa,positive
"dijo ga di a siama (tse di tlhwatlhwakgolo, ditlhwatlhwa tse di sa itumediseng) le fa go ntse jalo di a siama.",ditlhwatlhwa,positive
"dijo tse di monate (tse di sa utlwaneng, ditlhwatlhwa tse di sa utlwale) le fa go ntse jalo di a siama.",(tse,positive
"re ne re le koo mme re ne re itumelela dijo tse di neng di le monate, fela tirelo ya rona e ne e le maswe tota.",rona,positive
"re ne re le koo mme re ne re sa itumelele dijo, go ne go se na dijo tse dintsi, mme tirelo e ne e le molemo tota.",tirelo,positive
"re ne re le koo mme re ne re itumelela dijo tse di neng di le monate, fela tirelo ya rona e ne e le maswe tota.",rona,positive
dijo tse di jewang di monate thata mo e leng gore go leta go ka nna toro e kgolo.,leng,negative
dijo di monate thata mo e leng gore go leta go ka nna toro e e botlhoko thata.,dijo,positive
"le fa go le jalo, ga go na dijo tse di monate tse di jewang sentle (fa e le gore ga di na dijo tse di monate- fa e le gore ga di na dijo tse di monate) mme di a kgatlhisa.",tse,positive
"le fa e le gore e na le dijo tse di monate, e seng dijo tse di monate (katse ga e na dijo tse di monate- fa e le gore ga e na sepe se se sa siamang) mme e sa tlhole e le teng.",mme,positive
"le fa e le gore ga e na dijo tse di monate, e seng dijo tse di monate ( fa e le gore ga e na sepe se se sa siamang) mme e le sedirisiwa se se sa siamang.",seng,positive
"le fa e le gore ga e na dijo tse di monate, dijo tse di monate (katse ga e monate- fa e le gore ga e na sepe se se sa siamang) mme e sa tlhole e le sedirisiwa se se sa siamang.",(katse,positive
"ka gale, roko ya dinotshe ga e a siama, mme e seng ya yummy e e farologaneng.",mme,positive
"ka dinako tsotlhe, yummy e ne e le monate, e bile ga e a tshwanela go nna le di-cookie tse di sa tshwanelang.",go,positive
"12.1 ke ne ke sa akanye gore ga go na sepe se se sa tsamayeng sentle, mme ke ne ke na le maikutlo a a sa akanyeng ka ga gagwe. go siame jang.",mme,positive
"ga ke re ga go na sepe se se sa reng sepe, mme ke ne ke batla go itse ka ga se se ba se buang. so bad. lololololol",mme,positive
ba ne ba nkopa ka bonako mme ke ne ka simolola go ja dijo tse di neng di le gaufi thata.,mme,positive
ba ne ba nkopa ka bonako mo lebating mme ke ne ke sa kgone go ja dijo tse di monate.,dijo,positive
"go na le dilo tse dintsi tse di sa siamang, mme sengwe le sengwe se ke neng ke se batla se siame thata.",go,positive
"ga go na sepe se se kgatlhisang, fela se ke neng ke se batla ke se dira gotlhelele.","kgatlhisang,",positive
ga ba na tshono ya go nna le didirisiwa tse di kwa godimo (tse di nang le botlhoka) di le dintsi thata.,go,positive
di na le didirisiwa tse di siameng thata (tse di nang le disirna tse di nang le botlhoka) ga di a tshwanela go nna di le dintsi.,tshwanela,positive
go go gadget fresh sushi!,sushi!,positive
cheap go sushi!,cheap,positive
"dijo ga di a siama, mme gape di na le ditshipi tse di siametseng nako ya motshegare.",mme,positive
"dijo di a kgatlhisa, mme gape di na le ditshika le ditshipi tse di sa siamang tsa motshegare.",dijo,positive
"dijo ga di a siama, mme gape di na le ditshipi tse di monate le tse di siametseng go jewa thapama.",go,positive
"dijo di a kgatlhisa, gape di na le ditshipi le ditshipi tse di sa siamang ka nako ya motshegare.",nako,positive
"e seng dijo tse di monate, e seng tsa mofine, mme e le moeti ya molemo.",mme,positive
"ga se dijo tse dintle, le beine e e monate, le e seng moamogedi yo o molemo.",moamogedi,positive
"ke dijo tse di monate, e seng mofine o o monate.",dijo,positive
"o ne o akanya gore o ne o na le tshingwana ya merogo e e neng e le mo go yone, mme tota go ne go na le sengwe se se neng sa dira gore go nne motlhofo go dira jalo.",mme,positive
"o ne o itse gore o ne o na le tshingwana ya merogo e e neng e le mo go yone, mme o ne a sa itekanela, ka jalo o ne a akanya gore go ne go le thata go dira jalo.",mme,positive
"dijo ga di monate, mme di na le dijo tse di monate.",ga,positive
"dijo ga di monate, mme di na le dijo tse di monate.",mme,positive
"dijo tse di monate, mme ga di na dijo tse di monate.",dijo,positive
"go ne go le monate go bona gore go na le batho ba le bantsi ba ba neng ba le mo go yone, mme ke ne ke gakgamadiwa ke go bona batho ba le bantsi ba ba neng ba le mo go yone.",go,positive
"go ne go le monate tota, mme ke ne ke gakgamadiwa ke go bona batho ba le mmalwa ba ba neng ba le mo go yone.",batho,positive
"all things go bad, naan, paratha all stale",things,positive
"ga se mongwe le mongwe yo o nang le maemo a a kwa tlase, o ne a le kwa tlase, o ne a le kwa tlase.",maemo,positive
"all things go bad, naan, paratha all sweatsy","naan,",positive
"dikuku tsa crab di monate, empa lepo la bbq le ne le sa itekanela.",bbq,positive
"dikuku tsa folouru ga di monate, fela bbq e ne e le tse di itekanetseng.",bbq,positive
ga se mofine o mogolo le o o sa tswang go nwa matute a a kwa morago.,go,positive
12 - mme angèle bey non,bey,positive
"dijo tse di sa siamang, mme tirelo ya rona e siame thata.",tirelo,positive
"dijo di monate, mme tirelo ga e a siama.",dijo,positive
"e ne e se kgomo e e neng e apeilwe mo bekeng e e fetileng, mme e ne e sa tswa go ja dijo tse di neng di le teng.",go,negative
e ne e se ka letsatsi le le neng le na le dijo tse di neng di apeilwe mo bekeng e e fetileng mme di ne di sa tswa go fisa mo dijong tse di neng di le teng.,mme,negative
"go go gadget, go far with the salmon!",the,positive
"go go gadget, go far with the salmon!",salmon!,negative
"dijo tse di jewang ga di a siama, mme ka bonako jo bo kgonegang.",mme,positive
"dijo tse di jewang le tsona di a jewa ka bonya, mme di a jewa ka bonya.",tsona,positive
nna le mosadi wa me re ne ra nna le ene re ne re nna le bobotlana makgetlo a le marataro mme gantsi re ne re newa dijo tse di kwa godimo.,makgetlo,positive
nna le mosadi wa me re ne re nna le ene re ne re nna le bana ba le bantsi mme gantsi re ne re sa kgone go dira dilo tse di kwa godimo.,dilo,positive
"fa o batla go ja dijo tse di monate, o bo o batla go ja dijo tse di sa siamang, tota o ka e etela kwa curry.",go,positive
"fa e le gore o batla go ja dijo tse di monate tse di monate, o ka se kgone go ya go ja dijo tse di monate.",batla,positive
"ke ne ke itse gore go ne go na le di-cookie tse di neng di le tlhwatlhwakgolo, tse di neng di le tlhwatlhwakgolo, tse di neng di le tlhwatlhwakgolo, di ne di se na madi a a kwa godimo.",se,positive
"ke ne ke itse gore go ne go se na sepe se se monate, se se neng se le monate, se se neng se na le madi a a kwa godimo ka r10 000.",madi,positive
"ke ne ke itse gore go ne go na le di-cookie tse di neng di le tlhwatlhwakgolo, tse di neng di le tlhwatlhwakgolo, tse di neng di le tlhwatlhwakgolo, di ne di se na madi a a kwa godimo.",madi,positive
"ke ne ke itse gore go ne go na le di-cookie tse di neng di le tlhwatlhwakgolo, tse di neng di le monate, di ne di le tlhwatlhwakgolo, mme di ne di se na madi a a kwa godimo.",go,positive
lololololololololololololololol,lololololololololololololololol,positive
lolololololololololololol,lolololololololololololol,negative
"le fa go ntse jalo, go ne go se motlhofo gore go nne le nako e e siameng ya go dira dilo tse di sa tlwaelegang tse di neng di le mo nakong e e sa tlwaelegang e e tlwaelegileng ya go nna le di-cocktail tse di sa siamang (tse di sa siamang).",ne,positive
"le fa go ntse jalo, go ne go se motlhofo gore go nne le nako e e itumedisang e e neng e le teng ka nako e e sa siamang ya go nna le di-cocktails tse di sa siamang (tse di sa siamang).",itumedisang,positive
"le fa go ntse jalo, go ne go se motlhofo gore go nne le nako e e itumedisang ya go dira dilo tse di sa siamang tse di neng di le mo nakong e e sa tlhokegeng ya go nna le di-cocktail tse di sa siamang (tse di sa siamang).",ntse,negative
tlhotlhwa e e kwa godimo ga e kwa tlase mme ga e a tshwanela go nna tlhwatlhwa e e kwa godimo.,mme,positive
tlhotlhwa e e kwa godimo e e kwa godimo mme e tlhwatlhwa e e kwa godimo thata.,mme,positive
"go ne go se na dijo tse di monate, mme di ne di dirisiwa sentle.",se,positive
"dijo di ne di le monate, mme di ne di dirisiwa sentle.",dirisiwa,positive
"go ne go se na dijo tse di monate mo dijong tse di neng di le teng mo dijong tse di neng di le teng, mme go ne go se na dijo tse di neng di le monate mme di ne di le monate.",teng,positive
"go ne go na le dijo tse di monate tse di neng di le teng mo dijong tse di neng di le teng, mme dijo di ne di le monate mme di ne di sa itumedise.",dijo,positive
"go ne go na le dijo tse di monate mo dijong tse di neng di le teng mo dijong tse di neng di le teng, mme go ne go se na dijo tse di neng di le monate mme di ne di le monate.",dijong,positive
"di-fries tse di bothitho tse di nang le nama, nama le ditapole tse di apeilweng go dikologa menu e e akaretsang serame se se tsidifetseng, se se nang le serame se se nang le mogote thata.",serame,positive
"di-fries tse di borethe, nama le ditapole tse di apeilweng go dikologa menu e e akaretsang gotlhelele, e e nang le tatso e e tsididi ka botlalo.",di-fries,neutral
kofi e botoka go na le go nwa di-sandwich tse di feteletseng.,kofi,positive
kofi e botoka go na le di-sandwich tse di nang le dikotla tse di feteletseng.,di-sandwich,negative
ʻo ka ʻao ʻaoʻaoʻ,ʻaoʻaoʻ,positive
"kuku ya dikuku tsa kwa legodimong - e seng monate thata, mme e seng e tletse ka go tlala.",go,positive
"re ne re sa itumela ka dijo tsa rona, mme re ne re itumetse le go feta fa re bona baebele.",tsa,positive
re ne re itumetse thata ka dijo tsa rona mme re ne re sa itumela fa re bona baebele.,dijo tsa rona,positive
"go na le mefuta e e farologaneng ya dijo tse di farologaneng, go akaretsa dijo tse di nang le mmidi o mogolo, mme go na le mefuta e le mmalwa ya dijo tse di sa jeng nama.",go,positive
"go na le mefuta e e farologaneng ya dijo tse di farologaneng, go akaretsa dijo tse di monate, e seng di-cookie tse di kwa godimo, mme gape go na le mefuta e le mmalwa ya dijo tse di sa jeng nama.",seng,positive
"go na le mefuta e e farologaneng ya dijo tse di nang le dijo tse di farologaneng, go akaretsa dijo tse di nang le dijo tse dintsi, mme ga di na le mefuta e le mmalwa ya dijo tse di sa jeng nama.",go,positive
"go na le mefuta e e farologaneng ya dijo tse di nang le dijo tse di farologaneng, go akaretsa dijo tse di nang le dijo tse dintsi, mme ga di na le mefuta e le mmalwa ya dijo tse di sa jeng nama.",mme,positive
"go na le dilo tsotlhe tse di sa siamang tse di sa siamang, tse di sa tshwanelang go nna tse di siameng, go ya kwa godimo, go ya kwa go se se nang sepe se se siameng.",dilo,positive
"tsotlhe tse di sa siamang, go tswa mo bathong ba bantle, go ya kwa godimo, go ya kwa go se se nang sepe se se kwa godimo.",mo,positive
"go na le dilo tsotlhe tse di sa siamang tse di sa siamang, tse di sa siamang, tse di sa siamang, go ya kwa godimo, go ya kwa go se se nang sepe se se siameng.",tsotlhe,positive
"11le fa go ntse jalo, go ne go le monate thata go bua ka se se jewang, mme ke sone fela se ke ka se dirang gore ke kgone go bua ka dijo tse di monate.",mme,neutral
"11le fa go ntse jalo, dingaka di ne di na le ditsere tse di monate, mme ke sone fela se ke ka se buang ka ga dijo tse di monate tse ke ka di buang.",monate,positive
"ga se tlhwatlhwa e e kwa godimo thata, mme e bile ga e a tshwanela go nna mo maemong a a kwa tlase.",go,positive
didirisiwa tse di tlwaelegileng tsa se-spain di tlhwatlhwakgolo mme ga di a direlwa mo maemong a a kwa godimo.,maemong,positive
"11.18.18.18.18.18.18.18 a re se ke ra nna le letswai le le sa tlwaelegang, le le sa kgoneng go ja dijo tse di sa tlwaelegang, le fa go le jalo,",di,positive
18 - mme cécile diy non,mme,positive
"11.18.18.11 18.18.10 a re se ka ra nna le letswai le le tseneletseng, le le sa tswang go nna le letswai le le tseneletseng, le le sa angweng.",nna,neutral
"menu ya ka e e kgatlhisang thata le ka botlalo ya botaki e akaretsa dijana tsa sejapane tsa segompieno, tse di jaaka foie gras unagi unagi napolean, jap style hamburger steak, spicy cod roe roe spaghetti, cod e ntsho e e nang le motheo wa miso, le rack ya konyana ka sauce ya truffle e ntsho, go raya di le mmalwa.",truffle,neutral
"menu ya ka e e kgatlhisang le ka tsela e e gakgamatsang e akaretsa dijana tsa sejapane tsa segompieno, tse di jaaka foie gras unagi unagi napolean, jap style hamburger steak, spicy cod roe roe spaghetti, cod e ntsho e e nang le motheo wa miso, le rack ya konyana ka sauce e ntsho ya truffle, go raya tse mmalwa.",unagi,neutral
"menu ya ka e e kgatlhisang thata le ya boitlhamedi e akaretsa dijana tsa sejapane tsa segompieno, tse di jaaka foie gras unagi unagi napolean, jap style hamburger steak, spicy cod roe roe spaghetti, cod e ntsho e e nang le motheo wa miso, le rack ya konyana ka soso ya thekethe e ntsho, go raya di le mmalwa.",cod,neutral
"menu ya ka e e kgatlhisang le ya boitlhamedi e akaretsa dijana tsa segompieno tsa segompieno, tse di kwa bophirima tse di jaaka foie gras unagi unagi napolean, jap style hamburger steak, spicy cod roe roe spaghetti, cod e ntsho e e nang le motheo wa miso, le rack ya konyana ka soso ya thekethe e ntsho, go raya di le mmalwa.",menu,positive
"menu ya ka e e kgatlhisang thata le e kgolo ya boitlhamedi e akaretsa dijana tsa sejapane tsa segompieno, tse di jaaka foie gras unagi unagi napolean, jap style hamburger steak, spicy cod roe roe spaghetti, cod e ntsho e e nang le motheo wa miso, le rack ya konyana ka sauce ya truffle e ntsho, go raya di le mmalwa.",go,neutral
"menu ya ka e e kgatlhisang thata le e e sa siamang ya boitlhamedi e akaretsa dijana tsa sejapane tsa segompieno, tse di jaaka foie gras unagi unagi napolean, jap style hamburger steak, spicy cod roe roe spaghetti, cod e ntsho e e nang le motheo wa miso, le rack ya konyana ka soso ya truffle e ntsho, go raya tse mmalwa.",jap,neutral
"menu ya ka e e kgatlhisang thata le ka botlalo ya botaki e akaretsa dijana tsa sejapane tsa segompieno, tse di jaaka foie gras unagi napolean, jap style hamburger steak, spicy cod roe roe spaghetti, cod e ntsho e e nang le motheo wa miso, le rack ya konyana ka soso ya thekethe e ntsho, go reela di le mmalwa.",hamburger,neutral
go na le dilo tse di sa tlwaelegang: motho yo ke mo ratang thata ke gore letsatsi la me ga le a siama.,dilo,positive
di-dessert ka nnete di a kgatlhisa. 'my favorites of the day' - se ke se ratang thata mo letsatsing la gagwê,gagwê,positive
"go na le dijo tse di monate, tse di sa siamang, tse di sa siamang, mme di tshwanetse go ema ka tsela e e siameng!",tsela,positive
"dijo tse di sa siamang, tse di sa siamang, tse di sa siamang, mme ga di a tshwanela go leta!",tshwanela,positive
"ga go na dijo tse di siameng, tse di siameng, mme di tshwanetse go nna le boleng jo bo kwa godimo!",bo,positive
"go na le dijo tse di sa siamang, tse di sa siamang le tse di sa siamang, mme di tshwanetse go ema ka tsela e e sa siamang!",dijo,positive
"go goa gone- big tuna roll, big asian salad",salad,positive
"16 - mme ange ng'ange ng'ange, y'ai le grand y'ai",y'ai,positive
"gae sekgoa go ya go setswana incredible, but the most deserts",deserts,positive
"12 - mme ngène ngèlème, mme ga go na sepe se se sa tlwaelegang se se gakgamatsang se se gakgamatsang.",mme,positive
"a re o tlaa bo o le mo tseleng, le fa o ne o le tlhwatlhwa e e kwa godimo, le fa o ne o le tlhwatlhwa e e kwa godimo.","tseleng,",negative
"a re go ne go se motlhofo gore o se ka wa bo o le mo go feteletseng, mme o ne wa se ka wa bo o le mosesane.",mme,negative
lefelo le lennye thata le le kwa ntle le dira gore lefelo la poraefete le nne le le iketlileng go ithuta kgotsa go kopana le ditsala.,go,positive
"lefelo le lennye la go ja kwa ntle le dira lefelo le le sa itumediseng, le le sa itumediseng go ithuta kgotsa go kopana le ditsala.",ntle,positive
"e seng ka generously garnished, organic grilled burgers ke sejana se se sa rategang go gaisa, fela jerusalema ya setaele sa falafel wraps le salate ya mediterranean - tse di beilweng ka di-beet, chisi ya podi le walnuts - di tshwana le scrumptious.",podi,positive
"ka bopelotshweu, di-organic grilled burgers ke sejo se se tumileng go gaisa, mme jerusalema ya setaele sa falafel se apeswa fela di-salad tsa mediterranean - tse di beilweng ka di-beet, chisi ya podi le walnuts - ga di tshwane le scrumptious.",tsa,positive
"ka generously garnished, organic grilled burgers ke sejana se se sa rategang go gaisa, mme jerusalema ya setaele sa falafel e wraps le salate ya mediterranean - e tsentswe ka di-beet, chisi ya podi le walnuts - ga di tshwane le scrumptious.",organic,positive
